QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
1,4:33.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,13,14
1,4:29.0,Defensive rebound by R. Rubio,,13,14
1,4:22.0,R. Rubio makes 2-pt layup from 1 ft (assist by R. O'Neale),,15,14
1,4:10.0,,G. Harris misses 2-pt jump shot from 24 ft,15,14
1,4:07.0,Defensive rebound by J. Crowder,,15,14
1,4:00.0,Personal foul by M. Morris (drawn by R. Rubio),,15,14
1,3:52.0,Turnover by R. Rubio (bad pass; steal by N. Jokić),,15,14
1,3:43.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by N. Jokić),15,17
1,3:27.0,J. Crowder misses 3-pt jump shot from 25 ft,,15,17
1,3:26.0,,Defensive rebound by N. Jokić,15,17
1,3:15.0,,T. Lyles makes 2-pt layup from 1 ft (assist by N. Jokić),15,19
1,3:15.0,Utah full timeout,,15,19
1,3:15.0,G. Allen enters the game for R. Gobert,,15,19
1,3:15.0,D. Exum enters the game for D. Mitchell,,15,19
1,3:15.0,D. Favors enters the game for R. Rubio,,15,19
1,3:15.0,,M. Plumlee enters the game for N. Jokić,15,19
1,2:59.0,J. Crowder makes 2-pt layup from 3 ft (assist by R. O'Neale),,17,19
1,2:38.0,Violation by Team (kicked ball),,17,19
1,2:38.0,,J. Murray enters the game for G. Harris,17,19
1,2:25.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),17,21
1,2:02.0,D. Favors misses 2-pt dunk from 1 ft,,17,21
1,1:58.0,Offensive rebound by D. Favors,,17,21
1,1:57.0,D. Favors makes 2-pt dunk at rim,,19,21
1,1:33.0,,J. Murray makes 2-pt layup from 8 ft,19,23
1,1:15.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by R. O'Neale),,22,23
1,1:15.0,Shooting foul by J. Hernangómez (drawn by J. Crowder),,22,23
1,1:15.0,J. Ingles enters the game for R. O'Neale,,22,23
1,1:15.0,J. Crowder makes free throw 1 of 1,,23,23
1,1:00.0,,Denver full timeout,23,23
1,0:54.0,,T. Lyles misses 3-pt jump shot from 24 ft,23,23
1,0:51.0,Defensive rebound by D. Exum,,23,23
1,0:43.0,J. Crowder misses 2-pt jump shot from 21 ft,,23,23
1,0:40.0,,Defensive rebound by J. Murray,23,23
1,0:34.0,,Shooting foul by G. Allen (drawn by J. Murray),23,23
1,0:34.0,,J. Murray makes free throw 1 of 2,23,24
1,0:34.0,R. O'Neale enters the game for G. Allen,,23,24
1,0:34.0,,M. Beasley enters the game for M. Morris,23,24
1,0:34.0,,J. Murray makes free throw 2 of 2,23,25
1,0:24.0,D. Favors makes 2-pt jump shot from 14 ft (assist by J. Ingles),,25,25
1,0:00.0,,T. Lyles misses 3-pt jump shot from 24 ft,25,25
1,0:00.0,,Offensive rebound by Team,25,25
2,11:41.0,,M. Plumlee misses 2-pt hook shot from 5 ft,25,25
2,11:38.0,Defensive rebound by R. O'Neale,,25,25
2,11:32.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,25,25
2,11:28.0,,Defensive rebound by J. Hernangómez,25,25
2,11:25.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),25,28
2,11:00.0,T. Sefolosha misses 3-pt jump shot from 24 ft,,25,28
2,10:56.0,,Defensive rebound by M. Plumlee,25,28
2,10:41.0,,Turnover by M. Beasley (traveling),25,28
2,10:32.0,Shooting foul by M. Beasley (drawn by D. Exum),,25,28
2,10:32.0,D. Exum makes free throw 1 of 2,,26,28
2,10:32.0,D. Exum makes free throw 2 of 2,,27,28
2,10:19.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Beasley),27,30
2,9:59.0,Personal foul by M. Plumlee (drawn by D. Exum),,27,30
2,9:45.0,R. O'Neale misses 2-pt layup from 3 ft,,27,30
2,9:39.0,Offensive rebound by D. Favors,,27,30
2,9:35.0,D. Favors makes 2-pt layup from 1 ft,,29,30
2,9:26.0,,Personal foul by D. Favors (drawn by M. Plumlee),29,30
2,9:21.0,,Personal foul by T. Sefolosha (drawn by J. Murray),29,30
2,9:08.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by T. Lyles),29,32
2,8:58.0,Personal foul by M. Plumlee (drawn by R. O'Neale),,29,32
2,8:58.0,J. Crowder enters the game for R. O'Neale,,29,32
2,8:58.0,D. Mitchell enters the game for T. Sefolosha,,29,32
2,8:51.0,D. Favors makes 2-pt jump shot from 8 ft (assist by J. Ingles),,31,32
2,8:37.0,,J. Murray misses 2-pt jump shot from 23 ft,31,32
2,8:35.0,Defensive rebound by D. Favors,,31,32
2,8:20.0,D. Exum misses 3-pt jump shot from 25 ft,,31,32
2,8:17.0,,Defensive rebound by T. Lyles,31,32
2,8:13.0,,M. Beasley misses 3-pt jump shot from 24 ft,31,32
2,8:09.0,,Offensive rebound by J. Hernangómez,31,32
2,8:08.0,,Offensive foul by T. Lyles (drawn by D. Exum),31,32
2,8:08.0,,Turnover by T. Lyles (offensive foul),31,32
2,8:08.0,R. Gobert enters the game for D. Exum,,31,32
2,8:08.0,R. Rubio enters the game for D. Favors,,31,32
2,8:08.0,,G. Harris enters the game for J. Murray,31,32
2,7:55.0,J. Ingles misses 3-pt jump shot from 24 ft,,31,32
2,7:50.0,,Defensive rebound by T. Lyles,31,32
2,7:36.0,,M. Beasley misses 2-pt jump shot from 18 ft,31,32
2,7:34.0,Defensive rebound by R. Rubio,,31,32
2,7:29.0,J. Crowder makes 2-pt layup from 2 ft (assist by R. Rubio),,33,32
2,7:16.0,,Personal foul by R. Rubio (drawn by M. Beasley),33,32
2,7:16.0,,N. Jokić enters the game for T. Lyles,33,32
2,7:16.0,,P. Millsap enters the game for M. Plumlee,33,32
2,7:04.0,,Turnover by G. Harris (lost ball; steal by J. Crowder),33,32
2,7:01.0,Turnover by J. Crowder (bad pass; steal by J. Hernangómez),,33,32
2,6:48.0,,P. Millsap makes 2-pt jump shot from 6 ft,33,34
2,6:33.0,Personal foul by N. Jokić (drawn by R. Gobert),,33,34
2,6:33.0,,Denver full timeout,33,34
2,6:33.0,R. O'Neale enters the game for J. Ingles,,33,34
2,6:33.0,,T. Craig enters the game for M. Beasley,33,34
2,6:20.0,D. Mitchell misses 2-pt jump shot from 12 ft,,33,34
2,6:18.0,,Defensive rebound by T. Craig,33,34
2,6:01.0,,T. Craig misses 3-pt jump shot from 27 ft,33,34
2,6:00.0,Defensive rebound by Team,,33,34
2,5:43.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Gobert),,36,34
2,5:30.0,,G. Harris makes 2-pt layup from 1 ft (assist by N. Jokić),36,36
2,5:20.0,Personal foul by G. Harris (drawn by R. Gobert),,36,36
2,5:20.0,R. Gobert makes free throw 1 of 2,,37,36
2,5:20.0,,J. Murray enters the game for J. Hernangómez,37,36
2,5:20.0,R. Gobert misses free throw 2 of 2,,37,36
2,5:18.0,,Defensive rebound by T. Craig,37,36
2,5:11.0,,Personal foul by J. Crowder (drawn by J. Murray),37,36
2,5:05.0,,N. Jokić misses 3-pt jump shot from 25 ft,37,36
2,5:02.0,Defensive rebound by J. Crowder,,37,36
2,4:53.0,J. Crowder misses 3-pt jump shot from 25 ft,,37,36
2,4:49.0,,Defensive rebound by T. Craig,37,36
2,4:43.0,,G. Harris makes 2-pt layup from 3 ft,37,38
2,4:43.0,,Shooting foul by R. O'Neale (drawn by G. Harris),37,38
2,4:43.0,,G. Harris misses free throw 1 of 1,37,38
2,4:43.0,Defensive rebound by J. Crowder,,37,38
2,4:34.0,R. Rubio misses 2-pt jump shot from 11 ft,,37,38
2,4:32.0,Offensive rebound by R. Gobert,,37,38
2,4:29.0,Turnover by R. Rubio (lost ball; steal by P. Millsap),,37,38
2,4:22.0,,P. Millsap makes 2-pt layup from 4 ft,37,40
2,4:22.0,Utah full timeout,,37,40
2,4:22.0,J. Ingles enters the game for R. O'Neale,,37,40
2,4:12.0,D. Mitchell misses 2-pt jump shot from 23 ft,,37,40
2,4:09.0,,Defensive rebound by P. Millsap,37,40
2,3:50.0,,T. Craig makes 2-pt jump shot from 5 ft,37,42
2,3:29.0,Turnover by J. Crowder (lost ball; steal by P. Millsap),,37,42
2,3:24.0,,P. Millsap misses 2-pt layup from 3 ft (block by J. Crowder),37,42
2,3:24.0,,Offensive rebound by Team,37,42
2,3:21.0,,J. Murray makes 2-pt dunk from 2 ft (assist by P. Millsap),37,44
2,3:08.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,39,44
2,2:51.0,,P. Millsap misses 2-pt jump shot from 5 ft,39,44
2,2:49.0,Defensive rebound by R. Gobert,,39,44
2,2:33.0,D. Mitchell misses 3-pt jump shot from 25 ft,,39,44
2,2:27.0,Offensive rebound by R. Gobert,,39,44
2,2:27.0,R. Gobert makes 2-pt layup from 1 ft,,41,44
2,2:10.0,,G. Harris misses 3-pt jump shot from 24 ft,41,44
2,2:07.0,Defensive rebound by J. Ingles,,41,44
2,2:02.0,J. Ingles misses 3-pt jump shot from 25 ft,,41,44
2,1:58.0,,Defensive rebound by T. Craig,41,44
2,1:47.0,,Turnover by J. Murray (bad pass; steal by D. Mitchell),41,44
2,1:40.0,Personal foul by G. Harris (drawn by R. Rubio),,41,44
2,1:40.0,R. Rubio makes free throw 1 of 2,,42,44
2,1:40.0,R. Rubio makes free throw 2 of 2,,43,44
2,1:23.0,,G. Harris misses 2-pt jump shot from 14 ft,43,44
2,1:15.0,,Offensive rebound by T. Craig,43,44
2,1:15.0,,T. Craig misses 2-pt layup at rim,43,44
2,1:15.0,Defensive rebound by R. Gobert,,43,44
2,1:10.0,D. Mitchell misses 2-pt jump shot from 13 ft,,43,44
2,1:07.0,,Defensive rebound by G. Harris,43,44
2,1:07.0,,Personal foul by D. Mitchell (drawn by G. Harris),43,44
2,1:07.0,,G. Harris makes free throw 1 of 2,43,45
2,1:07.0,,G. Harris makes free throw 2 of 2,43,46
2,0:55.0,Shooting foul by N. Jokić (drawn by R. Gobert),,43,46
2,0:55.0,R. Gobert misses free throw 1 of 2,,43,46
2,0:55.0,Offensive rebound by Team,,43,46
2,0:55.0,R. Gobert makes free throw 2 of 2,,44,46
2,0:40.0,,Turnover by P. Millsap (bad pass; steal by J. Ingles),44,46
2,0:36.0,Offensive foul by R. Gobert (drawn by P. Millsap),,44,46
2,0:36.0,Turnover by R. Gobert (offensive foul),,44,46
2,0:23.0,,Shooting foul by J. Ingles (drawn by G. Harris),44,46
2,0:23.0,,G. Harris misses free throw 1 of 2,44,46
2,0:23.0,,Offensive rebound by Team,44,46
2,0:23.0,,M. Plumlee enters the game for N. Jokić,44,46
2,0:23.0,,G. Harris makes free throw 2 of 2,44,47
2,0:05.0,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),,46,47
2,0:01.0,,J. Murray misses 3-pt jump shot from 25 ft,46,47
2,0:01.0,,Offensive rebound by Team,46,47
3,11:44.0,,N. Jokić makes 2-pt layup from 4 ft (assist by P. Millsap),46,49
3,11:32.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),,48,49
3,11:10.0,,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),48,51
3,10:58.0,D. Mitchell makes 2-pt jump shot from 6 ft,,50,51
3,10:51.0,,Personal foul by R. Rubio (drawn by J. Murray),50,51
3,10:38.0,,Turnover by J. Murray (bad pass; steal by J. Ingles),50,51
3,10:25.0,R. Gobert misses 2-pt layup from 4 ft,,50,51
3,10:24.0,Offensive rebound by D. Favors,,50,51
3,10:24.0,D. Favors makes 2-pt layup from 2 ft,,52,51
3,10:24.0,Shooting foul by G. Harris (drawn by D. Favors),,52,51
3,10:24.0,D. Favors misses free throw 1 of 1,,52,51
3,10:24.0,,Defensive rebound by T. Craig,52,51
3,10:13.0,,P. Millsap misses 3-pt jump shot from 25 ft,52,51
3,10:09.0,Defensive rebound by J. Ingles,,52,51
3,9:59.0,R. Gobert misses 2-pt layup from 2 ft,,52,51
3,9:58.0,Offensive rebound by R. Gobert,,52,51
3,9:54.0,D. Mitchell misses 3-pt jump shot from 24 ft,,52,51
3,9:51.0,,Defensive rebound by P. Millsap,52,51
3,9:43.0,,Turnover by G. Harris (lost ball; steal by R. Rubio),52,51
3,9:33.0,Personal foul by P. Millsap (drawn by R. Gobert),,52,51
3,9:26.0,R. Rubio misses 2-pt jump shot from 19 ft,,52,51
3,9:23.0,,Defensive rebound by P. Millsap,52,51
3,9:09.0,,P. Millsap makes 2-pt layup from 3 ft,52,53
3,9:00.0,D. Favors misses 2-pt jump shot from 16 ft,,52,53
3,8:55.0,,Defensive rebound by N. Jokić,52,53
3,8:34.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),52,55
3,8:34.0,,Shooting foul by R. Gobert (drawn by P. Millsap),52,55
3,8:34.0,Utah full timeout,,52,55
3,8:34.0,J. Crowder enters the game for D. Favors,,52,55
3,8:34.0,,P. Millsap misses free throw 1 of 1,52,55
3,8:34.0,Defensive rebound by D. Mitchell,,52,55
3,8:15.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by D. Mitchell),,55,55
3,7:59.0,,Turnover by P. Millsap (lost ball; steal by D. Mitchell),55,55
3,7:56.0,J. Crowder makes 2-pt dunk from 1 ft (assist by J. Ingles),,57,55
3,7:28.0,,G. Harris misses 3-pt jump shot from 23 ft,57,55
3,7:26.0,Defensive rebound by J. Crowder,,57,55
3,7:26.0,Turnover by J. Crowder (step out of bounds),,57,55
3,7:23.0,,N. Jokić misses 3-pt jump shot from 25 ft,57,55
3,7:18.0,Defensive rebound by Team,,57,55
3,7:06.0,D. Mitchell misses 3-pt jump shot from 25 ft,,57,55
3,7:03.0,,Defensive rebound by N. Jokić,57,55
3,6:57.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),57,58
3,6:40.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,59,58
3,6:29.0,,Turnover by N. Jokić (bad pass; steal by R. Rubio),59,58
3,6:26.0,Turnover by R. Rubio (bad pass; steal by P. Millsap),,59,58
3,6:11.0,,J. Murray makes 2-pt jump shot from 19 ft,59,60
3,5:51.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),,62,60
3,5:35.0,,Turnover by N. Jokić (bad pass; steal by D. Mitchell),62,60
3,5:26.0,D. Mitchell makes 2-pt layup from 4 ft,,64,60
3,5:26.0,,Denver full timeout,64,60
3,5:26.0,D. Exum enters the game for J. Ingles,,64,60
3,5:26.0,R. O'Neale enters the game for D. Mitchell,,64,60
3,5:26.0,,M. Morris enters the game for J. Murray,64,60
3,5:06.0,,T. Craig misses 3-pt jump shot from 24 ft,64,60
3,5:04.0,Defensive rebound by R. Gobert,,64,60
3,4:53.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. O'Neale),,67,60
3,4:39.0,,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),67,62
3,4:33.0,Turnover by R. Rubio (bad pass; steal by T. Craig),,67,62
3,4:26.0,,N. Jokić misses 3-pt jump shot from 26 ft,67,62
3,4:22.0,,Offensive rebound by P. Millsap,67,62
3,4:20.0,,M. Morris misses 3-pt jump shot from 26 ft,67,62
3,4:17.0,Defensive rebound by R. Rubio,,67,62
3,4:17.0,Personal foul by T. Craig (drawn by R. Rubio),,67,62
3,4:17.0,,J. Hernangómez enters the game for T. Craig,67,62
3,4:02.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,69,62
3,3:44.0,,N. Jokić misses 2-pt layup from 3 ft (block by R. Gobert),69,62
3,3:41.0,,Offensive rebound by N. Jokić,69,62
3,3:39.0,,G. Harris misses 3-pt jump shot from 26 ft,69,62
3,3:37.0,Defensive rebound by R. O'Neale,,69,62
3,3:20.0,Turnover by R. Rubio (traveling),,69,62
3,3:20.0,,T. Lyles enters the game for N. Jokić,69,62
3,3:20.0,,M. Plumlee enters the game for P. Millsap,69,62
3,3:10.0,,Turnover by G. Harris (traveling),69,62
3,3:10.0,D. Mitchell enters the game for R. Rubio,,69,62
3,2:55.0,J. Crowder misses 3-pt jump shot from 24 ft,,69,62
3,2:52.0,Offensive rebound by R. Gobert,,69,62
3,2:47.0,R. Gobert makes 2-pt hook shot from 2 ft,,71,62
3,2:36.0,,G. Harris makes 2-pt layup from 1 ft,71,64
3,2:22.0,J. Crowder misses 3-pt jump shot from 23 ft,,71,64
3,2:17.0,Offensive rebound by R. Gobert,,71,64
3,2:17.0,R. Gobert misses 2-pt dunk at rim,,71,64
3,2:16.0,,Defensive rebound by M. Morris,71,64
3,1:54.0,,J. Hernangómez misses 2-pt layup from 2 ft,71,64
3,1:51.0,Defensive rebound by R. Gobert,,71,64
3,1:38.0,D. Mitchell makes 2-pt layup from 3 ft,,73,64
3,1:24.0,,T. Lyles misses 3-pt jump shot from 25 ft,73,64
3,1:21.0,Defensive rebound by R. Gobert,,73,64
3,1:04.0,D. Exum misses 3-pt jump shot from 22 ft,,73,64
3,1:01.0,,Defensive rebound by T. Lyles,73,64
3,0:55.0,,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by T. Lyles),73,67
3,0:55.0,,M. Beasley enters the game for G. Harris,73,67
3,0:31.0,D. Mitchell misses 3-pt jump shot from 22 ft,,73,67
3,0:28.0,,Defensive rebound by M. Plumlee,73,67
3,0:21.0,,Turnover by M. Plumlee (bad pass; steal by D. Mitchell),73,67
3,0:06.0,Personal take foul by M. Beasley (drawn by D. Mitchell),,73,67
3,0:06.0,Technical foul by D. Mitchell,,73,67
3,0:06.0,,M. Beasley makes technical free throw,73,68
3,0:01.0,J. Crowder misses 3-pt jump shot from 23 ft,,73,68
3,0:01.0,,Defensive rebound by M. Morris,73,68
4,11:35.0,Shooting foul by J. Hernangómez (drawn by R. O'Neale),,73,68
4,11:35.0,R. O'Neale makes free throw 1 of 2,,74,68
4,11:35.0,R. O'Neale makes free throw 2 of 2,,75,68
4,11:26.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),75,71
4,11:15.0,Personal foul by J. Murray (drawn by J. Ingles),,75,71
4,11:07.0,D. Favors makes 2-pt layup from 3 ft (assist by J. Ingles),,77,71
4,10:53.0,,T. Lyles makes 2-pt hook shot from 5 ft (assist by J. Murray),77,73
4,10:32.0,D. Favors misses 2-pt hook shot from 6 ft,,77,73
4,10:30.0,,Defensive rebound by M. Plumlee,77,73
4,10:23.0,,J. Murray misses 2-pt jump shot from 17 ft,77,73
4,10:21.0,,Offensive rebound by M. Plumlee,77,73
4,10:19.0,,M. Beasley misses 3-pt jump shot from 25 ft,77,73
4,10:16.0,Defensive rebound by J. Ingles,,77,73
4,10:09.0,J. Ingles misses 2-pt layup from 2 ft,,77,73
4,10:07.0,,Defensive rebound by M. Plumlee,77,73
4,9:58.0,,Personal foul by G. Niang (drawn by M. Plumlee),77,73
4,9:51.0,,Personal foul by D. Exum (drawn by M. Plumlee),77,73
4,9:51.0,D. Mitchell enters the game for R. O'Neale,,77,73
4,9:45.0,,J. Murray makes 2-pt layup from 4 ft (assist by T. Lyles),77,75
4,9:45.0,,Shooting foul by G. Niang (drawn by J. Murray),77,75
4,9:45.0,J. Crowder enters the game for G. Niang,,77,75
4,9:45.0,,J. Murray makes free throw 1 of 1,77,76
4,9:30.0,Turnover by J. Ingles (bad pass; steal by M. Plumlee),,77,76
4,9:30.0,R. Rubio enters the game for D. Exum,,77,76
4,9:20.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Plumlee),77,79
4,9:03.0,D. Mitchell misses 2-pt jump shot from 8 ft,,77,79
4,9:01.0,,Defensive rebound by T. Lyles,77,79
4,9:01.0,R. Gobert enters the game for D. Favors,,77,79
4,8:48.0,,T. Lyles misses 2-pt layup from 4 ft (block by J. Crowder),77,79
4,8:48.0,,Offensive rebound by Team,77,79
4,8:39.0,,M. Plumlee makes 3-pt jump shot from 24 ft (assist by M. Beasley),77,82
4,8:36.0,Utah full timeout,,77,82
4,8:26.0,Personal foul by M. Plumlee (drawn by R. Gobert),,77,82
4,8:18.0,J. Crowder misses 2-pt jump shot from 21 ft,,77,82
4,8:16.0,,Defensive rebound by J. Murray,77,82
4,8:14.0,,Personal foul by J. Ingles (drawn by T. Lyles),77,82
4,7:58.0,,M. Plumlee misses 2-pt layup from 2 ft,77,82
4,7:55.0,Defensive rebound by D. Mitchell,,77,82
4,7:46.0,D. Mitchell misses 2-pt layup from 3 ft,,77,82
4,7:43.0,,Defensive rebound by J. Murray,77,82
4,7:42.0,,J. Murray misses 3-pt jump shot from 25 ft,77,82
4,7:41.0,,Offensive rebound by Team,77,82
4,7:41.0,,Turnover by M. Plumlee (turnover),77,82
4,7:41.0,,Loose ball foul by M. Plumlee (drawn by J. Ingles),77,82
4,7:41.0,R. O'Neale enters the game for D. Mitchell,,77,82
4,7:26.0,R. Rubio misses 2-pt jump shot from 4 ft,,77,82
4,7:23.0,,Defensive rebound by T. Lyles,77,82
4,7:18.0,,Personal foul by R. Rubio (drawn by T. Lyles),77,82
4,7:18.0,,T. Lyles makes free throw 1 of 2,77,83
4,7:18.0,,T. Lyles makes free throw 2 of 2,77,84
4,7:10.0,R. Rubio misses 2-pt layup from 3 ft,,77,84
4,7:08.0,,Defensive rebound by M. Plumlee,77,84
4,7:01.0,,M. Beasley misses 2-pt layup from 2 ft,77,84
4,7:01.0,,Offensive rebound by J. Hernangómez,77,84
4,7:01.0,,Shooting foul by R. Gobert (drawn by J. Hernangómez),77,84
4,7:01.0,,J. Hernangómez makes free throw 1 of 2,77,85
4,7:01.0,,J. Hernangómez misses free throw 2 of 2,77,85
4,6:58.0,Defensive rebound by R. Gobert,,77,85
4,6:56.0,Technical foul by R. Gobert,,77,85
4,6:56.0,,J. Murray makes technical free throw,77,86
4,6:37.0,Turnover by Team (shot clock),,77,86
4,6:34.0,,Personal foul by R. O'Neale (drawn by M. Plumlee),77,86
4,6:34.0,,M. Plumlee misses free throw 1 of 2,77,86
4,6:34.0,,Offensive rebound by Team,77,86
4,6:34.0,,M. Plumlee misses free throw 2 of 2,77,86
4,6:33.0,Defensive rebound by Team,,77,86
4,6:33.0,,Loose ball foul by T. Lyles (drawn by R. Gobert),77,86
4,6:33.0,R. Gobert misses free throw 1 of 2,,77,86
4,6:33.0,Offensive rebound by Team,,77,86
4,6:33.0,,N. Jokić enters the game for M. Plumlee,77,86
4,6:33.0,R. Gobert misses free throw 2 of 2,,77,86
4,6:30.0,,Defensive rebound by J. Murray,77,86
4,6:16.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),77,89
4,6:08.0,Personal foul by M. Beasley (drawn by J. Ingles),,77,89
4,6:08.0,J. Ingles makes free throw 1 of 2,,78,89
4,6:08.0,J. Ingles misses free throw 2 of 2,,78,89
4,6:06.0,,Defensive rebound by Team,78,89
4,5:57.0,,J. Murray misses 2-pt jump shot from 10 ft,78,89
4,5:54.0,Defensive rebound by R. Gobert,,78,89
4,5:36.0,R. Rubio misses 3-pt jump shot from 24 ft,,78,89
4,5:34.0,,Defensive rebound by Team,78,89
4,5:20.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),78,91
4,5:20.0,Utah full timeout,,78,91
4,5:20.0,D. Mitchell enters the game for R. O'Neale,,78,91
4,5:10.0,Personal foul by T. Lyles (drawn by R. Gobert),,78,91
4,5:10.0,R. Gobert misses free throw 1 of 2,,78,91
4,5:10.0,Offensive rebound by Team,,78,91
