QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
1,6:46.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),,25,13
1,6:36.0,,Personal foul by K. Thompson (drawn by J. Murray),25,13
1,6:29.0,,J. Murray misses 3-pt jump shot from 25 ft,25,13
1,6:25.0,Defensive rebound by S. Curry,,25,13
1,6:21.0,D. Green misses 2-pt layup from 1 ft (block by T. Craig),,25,13
1,6:18.0,,Defensive rebound by W. Barton,25,13
1,6:15.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by W. Barton),25,16
1,6:00.0,K. Durant makes 2-pt jump shot from 4 ft,,27,16
1,5:47.0,,J. Murray makes 2-pt jump shot from 17 ft,27,18
1,5:28.0,Shooting foul by N. Jokić (drawn by K. Looney),,27,18
1,5:28.0,K. Looney makes free throw 1 of 2,,28,18
1,5:28.0,A. Iguodala enters the game for D. Green,,28,18
1,5:28.0,,M. Plumlee enters the game for N. Jokić,28,18
1,5:28.0,K. Looney makes free throw 2 of 2,,29,18
1,5:13.0,,J. Murray misses 3-pt jump shot from 25 ft,29,18
1,5:09.0,Defensive rebound by K. Durant,,29,18
1,4:56.0,Turnover by K. Looney (bad pass; steal by P. Millsap),,29,18
1,4:50.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Plumlee),29,21
1,4:48.0,Golden State full timeout,,29,21
1,4:48.0,,J. Hernangómez enters the game for P. Millsap,29,21
1,4:34.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,31,21
1,4:19.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Plumlee),31,24
1,4:12.0,S. Curry makes 3-pt jump shot from 27 ft,,34,24
1,3:53.0,,Shooting foul by K. Thompson (drawn by M. Plumlee),34,24
1,3:53.0,,M. Plumlee makes free throw 1 of 2,34,25
1,3:53.0,D. Green enters the game for K. Looney,,34,25
1,3:53.0,A. McKinnie enters the game for K. Thompson,,34,25
1,3:53.0,,M. Plumlee makes free throw 2 of 2,34,26
1,3:35.0,S. Curry misses 3-pt jump shot from 22 ft,,34,26
1,3:32.0,Offensive rebound by A. Iguodala,,34,26
1,3:31.0,K. Durant makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,37,26
1,3:20.0,,Turnover by W. Barton (bad pass; steal by D. Green),37,26
1,3:16.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),,39,26
1,3:16.0,,Denver full timeout,39,26
1,3:08.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by W. Barton),39,28
1,2:51.0,A. McKinnie makes 2-pt dunk from 1 ft (assist by D. Green),,41,28
1,2:30.0,,J. Murray misses 3-pt jump shot from 25 ft,41,28
1,2:27.0,,Offensive rebound by T. Craig,41,28
1,2:26.0,,T. Craig makes 2-pt layup from 2 ft,41,30
1,2:10.0,K. Durant makes 2-pt jump shot from 10 ft (assist by D. Green),,43,30
1,1:50.0,,M. Plumlee misses 2-pt layup from 2 ft (block by A. Iguodala),43,30
1,1:47.0,,Offensive rebound by M. Plumlee,43,30
1,1:46.0,,M. Plumlee misses 2-pt layup from 5 ft,43,30
1,1:46.0,Defensive rebound by D. Green,,43,30
1,1:31.0,A. Iguodala misses 3-pt jump shot from 25 ft,,43,30
1,1:28.0,,Defensive rebound by J. Hernangómez,43,30
1,1:13.0,,T. Craig misses 3-pt jump shot from 25 ft,43,30
1,1:10.0,Defensive rebound by A. McKinnie,,43,30
1,1:00.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,46,30
1,0:40.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,46,30
1,0:38.0,,Offensive rebound by M. Plumlee,46,30
1,0:36.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by M. Plumlee),46,32
1,0:30.0,K. Durant makes 3-pt jump shot from 30 ft,,49,32
1,0:07.0,,J. Murray makes 3-pt jump shot from 25 ft,49,35
1,0:03.0,K. Durant makes 2-pt dunk from 1 ft,,51,35
1,0:00.0,,J. Murray makes 3-pt jump shot from 40 ft,51,38
2,11:44.0,Personal foul by M. Morris (drawn by K. Thompson),,51,38
2,11:31.0,A. Iguodala makes 2-pt jump shot from 22 ft (assist by D. Green),,53,38
2,11:17.0,,W. Barton misses 2-pt jump shot from 3 ft,53,38
2,11:16.0,,Offensive rebound by W. Barton,53,38
2,11:15.0,,W. Barton misses 2-pt layup from 3 ft,53,38
2,11:12.0,Defensive rebound by D. Green,,53,38
2,11:04.0,S. Livingston makes 2-pt jump shot from 9 ft,,55,38
2,10:49.0,,W. Barton misses 2-pt jump shot from 19 ft,55,38
2,10:47.0,Defensive rebound by K. Thompson,,55,38
2,10:41.0,S. Livingston makes 2-pt jump shot from 16 ft,,57,38
2,10:21.0,,M. Morris misses 2-pt jump shot from 21 ft,57,38
2,10:17.0,Defensive rebound by D. Green,,57,38
2,10:10.0,D. Green misses 3-pt jump shot from 24 ft,,57,38
2,10:07.0,,Defensive rebound by J. Hernangómez,57,38
2,9:59.0,,M. Morris makes 2-pt layup from 2 ft (assist by W. Barton),57,40
2,9:46.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,60,40
2,9:45.0,,Denver full timeout,60,40
2,9:45.0,,N. Jokić enters the game for W. Barton,60,40
2,9:45.0,,J. Murray enters the game for M. Plumlee,60,40
2,9:34.0,,Turnover by N. Jokić (lost ball; steal by K. Thompson),60,40
2,9:24.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,63,40
2,9:04.0,,Personal foul by K. Thompson (drawn by N. Jokić),63,40
2,8:58.0,,N. Jokić makes 2-pt hook shot from 5 ft,63,42
2,8:58.0,,Shooting foul by D. Green (drawn by N. Jokić),63,42
2,8:58.0,Technical foul by D. Green,,63,42
2,8:58.0,,J. Murray makes technical free throw,63,43
2,8:58.0,,N. Jokić makes free throw 1 of 1,63,44
2,8:41.0,D. Green misses 2-pt jump shot from 17 ft,,63,44
2,8:37.0,,Defensive rebound by J. Murray,63,44
2,8:29.0,,N. Jokić makes 2-pt layup from 4 ft (assist by J. Murray),63,46
2,8:14.0,K. Thompson misses 3-pt jump shot from 25 ft,,63,46
2,8:12.0,,Defensive rebound by M. Morris,63,46
2,8:01.0,,M. Morris misses 2-pt jump shot from 16 ft,63,46
2,7:58.0,Defensive rebound by J. Jerebko,,63,46
2,7:51.0,K. Thompson makes 2-pt jump shot from 13 ft (assist by S. Livingston),,65,46
2,7:38.0,,Personal foul by A. Iguodala (drawn by N. Jokić),65,46
2,7:38.0,Q. Cook enters the game for D. Green,,65,46
2,7:38.0,K. Looney enters the game for A. Iguodala,,65,46
2,7:38.0,A. McKinnie enters the game for K. Thompson,,65,46
2,7:31.0,,J. Murray makes 2-pt jump shot from 13 ft (assist by N. Jokić),65,48
2,7:23.0,Golden State full timeout,,65,48
2,7:23.0,,T. Craig enters the game for M. Beasley,65,48
2,7:23.0,,P. Millsap enters the game for J. Hernangómez,65,48
2,7:12.0,S. Livingston makes 2-pt jump shot from 15 ft,,67,48
2,6:59.0,,J. Murray misses 2-pt layup from 3 ft,67,48
2,6:59.0,,Offensive rebound by N. Jokić,67,48
2,6:59.0,,Personal foul by S. Livingston (drawn by N. Jokić),67,48
2,6:46.0,,J. Murray misses 2-pt jump shot from 12 ft,67,48
2,6:41.0,Defensive rebound by K. Looney,,67,48
2,6:31.0,Q. Cook makes 2-pt jump shot from 20 ft (assist by K. Looney),,69,48
2,6:04.0,,P. Millsap makes 2-pt layup from 3 ft (assist by J. Murray),69,50
2,5:44.0,Q. Cook misses 3-pt jump shot from 24 ft,,69,50
2,5:42.0,,Defensive rebound by Team,69,50
2,5:42.0,Loose ball foul by A. McKinnie (drawn by N. Jokić),,69,50
2,5:42.0,,N. Jokić makes free throw 1 of 2,69,51
2,5:42.0,S. Curry enters the game for J. Jerebko,,69,51
2,5:42.0,K. Durant enters the game for S. Livingston,,69,51
2,5:42.0,,W. Barton enters the game for M. Morris,69,51
2,5:42.0,,M. Beasley enters the game for J. Murray,69,51
2,5:42.0,,N. Jokić makes free throw 2 of 2,69,52
2,5:27.0,S. Curry misses 3-pt jump shot from 22 ft,,69,52
2,5:26.0,,Defensive rebound by W. Barton,69,52
2,5:06.0,,W. Barton misses 3-pt jump shot from 26 ft,69,52
2,5:02.0,Defensive rebound by K. Looney,,69,52
2,4:52.0,K. Durant makes 3-pt jump shot from 25 ft (assist by K. Looney),,72,52
2,4:25.0,,W. Barton misses 2-pt jump shot from 7 ft (block by A. McKinnie),72,52
2,4:25.0,Defensive rebound by Team,,72,52
2,4:10.0,Q. Cook misses 3-pt jump shot from 22 ft,,72,52
2,4:06.0,,Defensive rebound by W. Barton,72,52
2,4:02.0,,M. Beasley misses 3-pt jump shot from 23 ft,72,52
2,4:02.0,Defensive rebound by Team,,72,52
2,4:02.0,,Loose ball foul by N. Jokić (drawn by K. Looney),72,52
2,4:02.0,,M. Plumlee enters the game for N. Jokić,72,52
2,3:49.0,S. Curry misses 2-pt layup from 2 ft (block by W. Barton),,72,52
2,3:48.0,Offensive rebound by S. Curry,,72,52
2,3:48.0,Turnover by S. Curry (bad pass; steal by T. Craig),,72,52
2,3:47.0,,Turnover by T. Craig (dbl dribble),72,52
2,3:37.0,S. Curry misses 3-pt jump shot from 25 ft,,72,52
2,3:33.0,,Defensive rebound by P. Millsap,72,52
2,3:26.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),72,55
2,3:12.0,A. McKinnie misses 3-pt jump shot from 22 ft,,72,55
2,3:10.0,Offensive rebound by K. Looney,,72,55
2,3:10.0,K. Looney misses 2-pt layup from 2 ft,,72,55
2,3:09.0,Offensive rebound by K. Looney,,72,55
2,3:08.0,K. Looney misses 2-pt layup from 1 ft,,72,55
2,3:08.0,Offensive rebound by K. Looney,,72,55
2,2:59.0,K. Durant misses 3-pt jump shot from 24 ft,,72,55
2,2:57.0,,Defensive rebound by P. Millsap,72,55
2,2:46.0,,M. Beasley makes 2-pt layup from 3 ft,72,57
2,2:38.0,Golden State full timeout,,72,57
2,2:38.0,D. Green enters the game for Q. Cook,,72,57
2,2:38.0,A. Iguodala enters the game for A. McKinnie,,72,57
2,2:38.0,,J. Murray enters the game for T. Craig,72,57
2,2:19.0,K. Durant misses 3-pt jump shot from 26 ft,,72,57
2,2:15.0,,Defensive rebound by W. Barton,72,57
2,2:11.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Plumlee),72,60
2,1:56.0,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),,74,60
2,1:28.0,,P. Millsap misses 3-pt jump shot from 23 ft,74,60
2,1:25.0,Defensive rebound by A. Iguodala,,74,60
2,1:22.0,Shooting foul by P. Millsap (drawn by D. Green),,74,60
2,1:22.0,D. Green makes free throw 1 of 2,,75,60
2,1:22.0,D. Green misses free throw 2 of 2,,75,60
2,1:20.0,,Defensive rebound by W. Barton,75,60
2,0:57.0,,J. Murray misses 2-pt layup from 2 ft,75,60
2,0:54.0,,Offensive rebound by W. Barton,75,60
2,0:54.0,,W. Barton misses 2-pt dunk from 1 ft,75,60
2,0:53.0,Defensive rebound by A. Iguodala,,75,60
2,0:53.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Durant),,77,60
2,0:31.0,,P. Millsap misses 2-pt layup from 3 ft,77,60
2,0:28.0,Defensive rebound by K. Looney,,77,60
2,0:11.0,Personal foul by W. Barton (drawn by S. Curry),,77,60
2,0:11.0,S. Curry makes free throw 1 of 2,,78,60
2,0:11.0,S. Curry makes free throw 2 of 2,,79,60
3,11:45.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,82,60
3,11:25.0,,N. Jokić misses 2-pt hook shot from 3 ft,82,60
3,11:25.0,Defensive rebound by K. Looney,,82,60
3,11:13.0,S. Curry misses 2-pt layup from 3 ft,,82,60
3,11:10.0,Offensive rebound by K. Looney,,82,60
3,11:09.0,S. Curry makes 2-pt layup from 20 ft (assist by K. Looney),,84,60
3,11:04.0,,M. Beasley misses 3-pt jump shot from 24 ft,84,60
3,11:01.0,Defensive rebound by S. Curry,,84,60
3,10:54.0,K. Thompson misses 3-pt jump shot from 27 ft,,84,60
3,10:51.0,,Defensive rebound by T. Craig,84,60
3,10:45.0,,J. Murray misses 2-pt jump shot from 7 ft,84,60
3,10:40.0,Defensive rebound by S. Curry,,84,60
3,10:40.0,Turnover by S. Curry (bad pass; steal by T. Craig),,84,60
3,10:30.0,,N. Jokić misses 2-pt jump shot from 19 ft,84,60
3,10:27.0,Defensive rebound by S. Curry,,84,60
3,10:27.0,Offensive foul by D. Green (drawn by J. Murray),,84,60
3,10:27.0,Turnover by D. Green (offensive foul),,84,60
3,10:09.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),84,62
3,10:03.0,S. Curry misses 3-pt jump shot from 26 ft,,84,62
3,9:57.0,,Defensive rebound by J. Murray,84,62
3,9:50.0,,Shooting foul by K. Looney (drawn by N. Jokić),84,62
3,9:50.0,,N. Jokić makes free throw 1 of 2,84,63
3,9:50.0,,N. Jokić makes free throw 2 of 2,84,64
3,9:40.0,Offensive foul by S. Curry (drawn by T. Craig),,84,64
3,9:40.0,Turnover by S. Curry (offensive foul),,84,64
3,9:18.0,,N. Jokić makes 2-pt hook shot from 5 ft (assist by P. Millsap),84,66
3,8:51.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),,87,66
3,8:33.0,,N. Jokić misses 2-pt jump shot from 13 ft,87,66
3,8:29.0,Defensive rebound by D. Green,,87,66
3,8:24.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Thompson),,89,66
3,8:24.0,,Denver full timeout,89,66
3,8:07.0,,P. Millsap makes 2-pt dunk at rim (assist by N. Jokić),89,68
3,7:52.0,Personal foul by J. Murray (drawn by K. Looney),,89,68
3,7:39.0,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),,91,68
3,7:26.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by N. Jokić),91,71
3,7:15.0,Def 3 sec tech foul by Team,,91,71
3,7:15.0,S. Curry makes technical free throw,,92,71
3,7:06.0,K. Thompson makes 2-pt jump shot from 13 ft,,94,71
3,6:46.0,,P. Millsap misses 3-pt jump shot from 24 ft,94,71
3,6:42.0,Defensive rebound by K. Looney,,94,71
3,6:38.0,Personal foul by P. Millsap (drawn by D. Green),,94,71
3,6:24.0,K. Thompson misses 2-pt jump shot from 19 ft,,94,71
3,6:21.0,Offensive rebound by K. Thompson,,94,71
3,6:20.0,K. Thompson misses 2-pt layup from 2 ft,,94,71
3,6:17.0,,Defensive rebound by N. Jokić,94,71
3,6:06.0,,T. Craig makes 2-pt dunk at rim (assist by N. Jokić),94,73
3,5:47.0,K. Durant misses 2-pt jump shot from 8 ft,,94,73
3,5:44.0,,Defensive rebound by N. Jokić,94,73
3,5:40.0,,Personal foul by S. Curry (drawn by J. Murray),94,73
3,5:40.0,A. Iguodala enters the game for D. Green,,94,73
3,5:40.0,,W. Barton enters the game for T. Craig,94,73
3,5:40.0,,M. Plumlee enters the game for P. Millsap,94,73
3,5:30.0,,Personal foul by K. Durant (drawn by J. Murray),94,73
3,5:19.0,,Turnover by M. Plumlee (lost ball),94,73
3,5:11.0,S. Curry misses 2-pt jump shot from 9 ft (block by J. Murray),,94,73
3,5:11.0,,Defensive rebound by N. Jokić,94,73
3,5:05.0,,Personal foul by K. Looney (drawn by N. Jokić),94,73
3,4:57.0,,Turnover by N. Jokić (bad pass; steal by K. Thompson),94,73
3,4:53.0,K. Thompson makes 2-pt dunk from 1 ft,,96,73
3,4:36.0,,N. Jokić makes 2-pt layup from 1 ft,96,75
3,4:17.0,K. Thompson misses 2-pt jump shot from 20 ft,,96,75
3,4:14.0,,Defensive rebound by M. Plumlee,96,75
3,4:12.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by N. Jokić),96,77
3,4:12.0,,Shooting foul by K. Durant (drawn by M. Plumlee),96,77
3,4:12.0,Golden State full timeout,,96,77
3,4:12.0,D. Green enters the game for K. Looney,,96,77
3,4:12.0,A. McKinnie enters the game for K. Thompson,,96,77
3,4:12.0,,J. Hernangómez enters the game for M. Beasley,96,77
3,4:12.0,,M. Plumlee makes free throw 1 of 1,96,78
3,3:54.0,K. Durant makes 2-pt jump shot from 17 ft,,98,78
3,3:34.0,,J. Murray misses 2-pt layup from 2 ft (block by K. Durant),98,78
3,3:31.0,Defensive rebound by K. Durant,,98,78
3,3:22.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,101,78
3,3:21.0,,Denver full timeout,101,78
3,3:21.0,,M. Morris enters the game for J. Murray,101,78
3,3:11.0,,N. Jokić misses 3-pt jump shot from 24 ft,101,78
3,3:08.0,Defensive rebound by A. Iguodala,,101,78
3,3:00.0,S. Curry makes 2-pt jump shot from 19 ft,,103,78
3,2:39.0,,M. Morris misses 3-pt jump shot from 24 ft,103,78
3,2:36.0,Defensive rebound by S. Curry,,103,78
3,2:27.0,S. Curry makes 3-pt jump shot from 31 ft (assist by D. Green),,106,78
3,2:12.0,,W. Barton makes 3-pt jump shot from 22 ft (assist by M. Plumlee),106,81
3,1:52.0,K. Durant makes 3-pt jump shot from 27 ft,,109,81
3,1:39.0,,W. Barton misses 3-pt jump shot from 27 ft,109,81
3,1:35.0,Defensive rebound by K. Durant,,109,81
3,1:30.0,K. Durant misses 2-pt layup from 3 ft,,109,81
3,1:27.0,Offensive rebound by A. Iguodala,,109,81
3,1:17.0,S. Curry makes 3-pt jump shot from 30 ft,,112,81
3,1:02.0,,M. Plumlee makes 2-pt hook shot from 4 ft (assist by J. Hernangómez),112,83
3,1:02.0,,Shooting foul by A. Iguodala (drawn by M. Plumlee),112,83
3,1:02.0,,J. Murray enters the game for N. Jokić,112,83
3,1:02.0,,M. Plumlee misses free throw 1 of 1,112,83
3,1:00.0,Defensive rebound by D. Green,,112,83
3,0:48.0,Turnover by K. Durant (bad pass),,112,83
3,0:25.0,,W. Barton misses 3-pt jump shot from 25 ft,112,83
3,0:21.0,Defensive rebound by K. Durant,,112,83
3,0:04.0,Personal take foul by M. Plumlee (drawn by K. Durant),,112,83
3,0:04.0,,T. Craig enters the game for J. Murray,112,83
3,0:03.0,D. Green misses 2-pt layup from 1 ft,,112,83
3,0:01.0,,Defensive rebound by M. Plumlee,112,83
3,0:00.0,,M. Plumlee misses 3-pt jump shot from 33 ft,112,83
3,0:00.0,,Offensive rebound by Team,112,83
4,11:49.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),112,85
4,11:33.0,Turnover by K. Thompson (bad pass; steal by M. Plumlee),,112,85
4,11:25.0,,M. Morris misses 2-pt jump shot from 19 ft,112,85
4,11:16.0,Defensive rebound by A. Iguodala,,112,85
4,11:04.0,S. Livingston misses 2-pt jump shot from 10 ft,,112,85
4,11:00.0,,Defensive rebound by J. Murray,112,85
4,10:49.0,,J. Hernangómez makes 2-pt hook shot from 1 ft (assist by M. Plumlee),112,87
4,10:33.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Livingston),,115,87
4,10:07.0,,Turnover by W. Barton (lost ball; steal by A. Iguodala),115,87
4,9:58.0,K. Thompson makes 2-pt layup from 3 ft (assist by J. Jerebko),,117,87
4,9:49.0,,M. Morris misses 2-pt jump shot from 12 ft,117,87
4,9:47.0,,Offensive rebound by W. Barton,117,87
4,9:47.0,,Shooting foul by A. Iguodala (drawn by W. Barton),117,87
4,9:47.0,,W. Barton makes free throw 1 of 2,117,88
4,9:47.0,,W. Barton makes free throw 2 of 2,117,89
4,9:33.0,J. Jerebko makes 2-pt jump shot from 5 ft (assist by D. Green),,119,89
4,9:33.0,Shooting foul by W. Barton (drawn by J. Jerebko),,119,89
4,9:33.0,,M. Beasley enters the game for W. Barton,119,89
4,9:33.0,J. Jerebko misses free throw 1 of 1,,119,89
4,9:31.0,,Defensive rebound by M. Plumlee,119,89
4,9:19.0,,M. Plumlee misses 2-pt jump shot from 13 ft,119,89
4,9:17.0,Defensive rebound by J. Jerebko,,119,89
4,9:09.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),,121,89
4,9:09.0,,Denver full timeout,121,89
4,9:09.0,,B. Goodwin enters the game for J. Hernangómez,121,89
4,9:09.0,,T. Lydon enters the game for J. Murray,121,89
4,9:09.0,,T. Lyles enters the game for M. Plumlee,121,89
4,9:01.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by T. Lyles),121,92
4,8:42.0,S. Livingston makes 2-pt jump shot from 14 ft,,123,92
4,8:39.0,,Personal foul by D. Green (drawn by B. Goodwin),123,92
4,8:39.0,J. Bell enters the game for D. Green,,123,92
4,8:39.0,Q. Cook enters the game for A. Iguodala,,123,92
4,8:39.0,A. McKinnie enters the game for S. Livingston,,123,92
4,8:26.0,,M. Morris misses 2-pt jump shot from 13 ft,123,92
4,8:22.0,Defensive rebound by J. Bell,,123,92
4,8:09.0,K. Thompson makes 2-pt dunk from 1 ft (assist by J. Jerebko),,125,92
4,8:02.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by B. Goodwin),125,95
4,7:39.0,A. McKinnie misses 3-pt jump shot from 22 ft,,125,95
4,7:36.0,,Defensive rebound by T. Lydon,125,95
4,7:33.0,,Turnover by T. Lydon (bad pass; steal by K. Thompson),125,95
4,7:27.0,K. Thompson makes 2-pt dunk from 1 ft,,127,95
4,7:26.0,,Personal take foul by Q. Cook (drawn by M. Morris),127,95
4,7:26.0,J. Evans enters the game for K. Thompson,,127,95
4,7:26.0,,T. Welsh enters the game for M. Morris,127,95
4,7:17.0,,B. Goodwin misses 2-pt jump shot from 14 ft,127,95
4,7:13.0,Defensive rebound by Team,,127,95
4,7:00.0,Q. Cook makes 2-pt jump shot from 8 ft,,129,95
4,6:46.0,,T. Lyles misses 2-pt jump shot from 6 ft,129,95
4,6:44.0,Defensive rebound by A. McKinnie,,129,95
4,6:34.0,J. Bell misses 2-pt jump shot from 19 ft,,129,95
4,6:32.0,Offensive rebound by Q. Cook,,129,95
4,6:29.0,Q. Cook makes 2-pt layup from 2 ft,,131,95
4,6:28.0,,Denver full timeout,131,95
4,6:15.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by T. Lyles),131,98
4,5:57.0,Personal foul by T. Welsh (drawn by J. Bell),,131,98
4,5:47.0,J. Evans misses 2-pt jump shot from 20 ft,,131,98
4,5:39.0,Offensive rebound by A. McKinnie,,131,98
4,5:37.0,J. Jerebko misses 3-pt jump shot from 25 ft,,131,98
4,5:35.0,,Defensive rebound by T. Lyles,131,98
4,5:19.0,,B. Goodwin misses 2-pt jump shot from 20 ft,131,98
4,5:15.0,,Offensive rebound by T. Lyles,131,98
4,5:11.0,,T. Lyles makes 2-pt layup from 2 ft,131,100
4,5:03.0,Turnover by Q. Cook (traveling),,131,100
4,4:39.0,,B. Goodwin misses 2-pt layup from 3 ft,131,100
4,4:37.0,Defensive rebound by J. Jerebko,,131,100
4,4:30.0,J. Bell makes 2-pt jump shot from 17 ft (assist by Q. Cook),,133,100
4,4:19.0,,T. Lydon misses 3-pt jump shot from 25 ft,133,100
4,4:17.0,Defensive rebound by Q. Cook,,133,100
4,4:08.0,Q. Cook makes 2-pt jump shot from 12 ft,,135,100
4,3:50.0,,T. Lyles misses 3-pt jump shot from 25 ft,135,100
4,3:46.0,Defensive rebound by J. Evans,,135,100
4,3:38.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Evans),,138,100
4,3:24.0,,M. Beasley misses 2-pt layup from 2 ft,138,100
4,3:21.0,Defensive rebound by Q. Cook,,138,100
4,3:14.0,Q. Cook misses 3-pt jump shot from 25 ft,,138,100
4,3:10.0,,Defensive rebound by M. Beasley,138,100
4,3:05.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by T. Lydon),138,103
4,2:53.0,J. Bell misses 2-pt jump shot from 19 ft,,138,103
4,2:51.0,,Defensive rebound by T. Welsh,138,103
4,2:40.0,,Shooting foul by A. McKinnie (drawn by T. Welsh),138,103
4,2:40.0,,T. Welsh misses free throw 1 of 2,138,103
4,2:40.0,,Offensive rebound by Team,138,103
4,2:40.0,,T. Welsh makes free throw 2 of 2,138,104
4,2:27.0,J. Evans misses 2-pt jump shot from 20 ft,,138,104
4,2:23.0,,Defensive rebound by T. Lyles,138,104
4,2:19.0,,M. Beasley misses 3-pt jump shot from 25 ft,138,104
4,2:15.0,Defensive rebound by A. McKinnie,,138,104
4,2:03.0,J. Jerebko makes 2-pt dunk from 1 ft (assist by J. Evans),,140,104
4,1:46.0,,M. Beasley makes 2-pt jump shot from 17 ft (assist by T. Welsh),140,106
4,1:21.0,J. Jerebko misses 2-pt jump shot from 22 ft,,140,106
4,1:17.0,,Defensive rebound by T. Lyles,140,106
4,1:06.0,,B. Goodwin misses 3-pt jump shot from 25 ft,140,106
4,1:03.0,Defensive rebound by J. Bell,,140,106
4,0:58.0,Turnover by J. Evans (traveling),,140,106
4,0:50.0,,Shooting foul by Q. Cook (drawn by B. Goodwin),140,106
4,0:50.0,,B. Goodwin misses free throw 1 of 2,140,106
