QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
1,2:19.0,,L. James misses free throw 1 of 2,21,20
1,2:19.0,,Offensive rebound by Team,21,20
1,2:19.0,G. Antetokounmpo enters the game for I. Canaan,,21,20
1,2:19.0,M. Brogdon enters the game for P. Connaughton,,21,20
1,2:19.0,T. Snell enters the game for K. Middleton,,21,20
1,2:19.0,,K. Kuzma enters the game for R. Bullock,21,20
1,2:19.0,,L. James makes free throw 2 of 2,21,21
1,2:10.0,T. Snell misses 3-pt jump shot from 27 ft,,21,21
1,2:07.0,,Defensive rebound by L. James,21,21
1,2:01.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by L. James),21,24
1,1:39.0,M. Brogdon makes 2-pt layup from 1 ft,,23,24
1,1:20.0,,K. Kuzma misses 2-pt jump shot from 6 ft (block by G. Antetokounmpo),23,24
1,1:17.0,Defensive rebound by G. Antetokounmpo,,23,24
1,1:13.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by M. Muscala),,23,24
1,1:08.0,,Defensive rebound by J. Hart,23,24
1,1:05.0,,B. Ingram makes 2-pt dunk from 2 ft,23,26
1,0:55.0,M. Brogdon makes 2-pt layup from 1 ft (assist by E. İlyasova),,25,26
1,0:41.0,,Turnover by L. James (bad pass; steal by N. Mirotić),25,26
1,0:36.0,T. Snell makes 2-pt dunk from 1 ft (assist by M. Brogdon),,27,26
1,0:20.0,,L. James misses 2-pt layup from 2 ft,27,26
1,0:20.0,Defensive rebound by N. Mirotić,,27,26
1,0:01.0,N. Mirotić misses 3-pt jump shot from 24 ft,,27,26
1,0:01.0,,Defensive rebound by K. Kuzma,27,26
2,11:45.0,,R. Rondo misses 2-pt jump shot from 13 ft,27,26
2,11:42.0,Defensive rebound by G. Antetokounmpo,,27,26
2,11:32.0,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,30,26
2,11:18.0,,K. Kuzma misses 2-pt hook shot from 2 ft,30,26
2,11:16.0,Defensive rebound by M. Brogdon,,30,26
2,11:15.0,G. Antetokounmpo makes 2-pt layup at rim (assist by M. Brogdon),,32,26
2,11:15.0,Shooting foul by J. Hart (drawn by G. Antetokounmpo),,32,26
2,11:15.0,B. Lopez enters the game for E. İlyasova,,32,26
2,11:15.0,G. Antetokounmpo misses free throw 1 of 1,,32,26
2,11:13.0,Offensive rebound by G. Antetokounmpo,,32,26
2,11:01.0,P. Connaughton misses 3-pt jump shot from 26 ft,,32,26
2,10:58.0,,Defensive rebound by K. Kuzma,32,26
2,10:48.0,,J. Hart misses 3-pt jump shot from 26 ft,32,26
2,10:44.0,,Offensive rebound by M. Muscala,32,26
2,10:41.0,,J. Hart makes 2-pt layup from 2 ft (assist by K. Kuzma),32,28
2,10:31.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by M. Brogdon),,35,28
2,10:17.0,,R. Rondo misses 3-pt jump shot from 26 ft,35,28
2,10:15.0,Defensive rebound by G. Antetokounmpo,,35,28
2,10:10.0,Turnover by G. Antetokounmpo (bad pass),,35,28
2,10:10.0,,J. McGee enters the game for J. Hart,35,28
2,9:50.0,,R. Rondo makes 3-pt jump shot from 22 ft (assist by K. Caldwell-Pope),35,31
2,9:36.0,G. Antetokounmpo misses 2-pt dunk from 2 ft (block by J. McGee),,35,31
2,9:33.0,,Defensive rebound by K. Caldwell-Pope,35,31
2,9:29.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by R. Rondo),35,34
2,9:13.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,37,34
2,9:01.0,,R. Rondo makes 3-pt jump shot from 28 ft (assist by M. Muscala),37,37
2,8:51.0,Milwaukee full timeout,,37,37
2,8:51.0,E. Bledsoe enters the game for G. Antetokounmpo,,37,37
2,8:51.0,N. Mirotić enters the game for M. Brogdon,,37,37
2,8:51.0,,R. Bullock enters the game for M. Muscala,37,37
2,8:37.0,B. Lopez misses 3-pt jump shot from 25 ft,,37,37
2,8:34.0,,Defensive rebound by R. Rondo,37,37
2,8:22.0,,J. McGee makes 2-pt hook shot from 9 ft (assist by K. Caldwell-Pope),37,39
2,8:15.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,37,39
2,8:15.0,E. Bledsoe makes free throw 1 of 2,,38,39
2,8:15.0,,B. Ingram enters the game for K. Kuzma,38,39
2,8:15.0,E. Bledsoe makes free throw 2 of 2,,39,39
2,8:01.0,,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),39,41
2,7:49.0,N. Mirotić makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,41,41
2,7:37.0,,J. McGee makes 2-pt hook shot from 3 ft,41,43
2,7:24.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,41,43
2,7:21.0,,Defensive rebound by K. Caldwell-Pope,41,43
2,7:10.0,,R. Rondo makes 2-pt layup from 2 ft (assist by B. Ingram),41,45
2,6:52.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,44,45
2,6:45.0,,Turnover by K. Caldwell-Pope (bad pass; steal by T. Snell),44,45
2,6:42.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by T. Snell),,46,45
2,6:35.0,,R. Rondo misses 2-pt layup from 1 ft,46,45
2,6:35.0,Defensive rebound by E. Bledsoe,,46,45
2,6:26.0,T. Snell misses 3-pt jump shot from 23 ft,,46,45
2,6:22.0,Offensive rebound by E. Bledsoe,,46,45
2,6:22.0,E. Bledsoe makes 2-pt layup from 1 ft,,48,45
2,6:22.0,,LA Lakers full timeout,48,45
2,6:22.0,K. Middleton enters the game for T. Snell,,48,45
2,6:22.0,,L. James enters the game for K. Caldwell-Pope,48,45
2,6:22.0,,K. Kuzma enters the game for J. McGee,48,45
2,6:09.0,,B. Ingram makes 2-pt jump shot from 9 ft,48,47
2,5:46.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,48,47
2,5:44.0,,Defensive rebound by R. Bullock,48,47
2,5:43.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),48,49
2,5:43.0,,Shooting foul by K. Middleton (drawn by K. Kuzma),48,49
2,5:43.0,,K. Kuzma makes free throw 1 of 1,48,50
2,5:30.0,Personal foul by B. Ingram (drawn by K. Middleton),,48,50
2,5:25.0,Turnover by N. Mirotić (bad pass),,48,50
2,5:16.0,,K. Kuzma misses 3-pt jump shot from 28 ft,48,50
2,5:11.0,Defensive rebound by E. Bledsoe,,48,50
2,5:03.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by P. Connaughton),,50,50
2,4:58.0,,K. Kuzma misses 2-pt layup from 2 ft (block by B. Lopez),50,50
2,4:58.0,,Offensive rebound by Team,50,50
2,4:58.0,G. Antetokounmpo enters the game for P. Connaughton,,50,50
2,4:53.0,,K. Kuzma misses 2-pt hook shot from 12 ft,50,50
2,4:51.0,Defensive rebound by B. Lopez,,50,50
2,4:46.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by K. Middleton),,53,50
2,4:23.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),53,52
2,4:15.0,Shooting foul by R. Bullock (drawn by K. Middleton),,53,52
2,4:15.0,K. Middleton makes free throw 1 of 2,,54,52
2,4:15.0,E. İlyasova enters the game for B. Lopez,,54,52
2,4:15.0,T. Snell enters the game for N. Mirotić,,54,52
2,4:15.0,K. Middleton makes free throw 2 of 2,,55,52
2,3:58.0,,L. James misses 3-pt jump shot from 27 ft,55,52
2,3:55.0,Defensive rebound by E. Bledsoe,,55,52
2,3:49.0,Personal foul by R. Rondo (drawn by G. Antetokounmpo),,55,52
2,3:49.0,G. Antetokounmpo makes free throw 1 of 2,,56,52
2,3:49.0,G. Antetokounmpo makes free throw 2 of 2,,57,52
2,3:37.0,,K. Kuzma makes 2-pt jump shot from 8 ft (assist by L. James),57,54
2,3:25.0,Turnover by E. Bledsoe (bad pass),,57,54
2,3:15.0,,R. Rondo misses 2-pt layup from 2 ft,57,54
2,3:11.0,Defensive rebound by T. Snell,,57,54
2,3:03.0,T. Snell misses 3-pt jump shot from 26 ft,,57,54
2,3:01.0,,Defensive rebound by R. Rondo,57,54
2,2:52.0,,B. Ingram makes 2-pt jump shot from 16 ft,57,56
2,2:38.0,T. Snell misses 3-pt jump shot from 26 ft,,57,56
2,2:36.0,,Defensive rebound by B. Ingram,57,56
2,2:32.0,,K. Kuzma misses 2-pt layup from 1 ft,57,56
2,2:25.0,,Offensive rebound by L. James,57,56
2,2:25.0,,L. James makes 2-pt dunk at rim,57,58
2,2:17.0,E. İlyasova misses 3-pt jump shot from 22 ft,,57,58
2,2:14.0,,Defensive rebound by R. Rondo,57,58
2,2:01.0,,K. Kuzma makes 2-pt jump shot from 4 ft,57,60
2,1:35.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,57,60
2,1:35.0,,Defensive rebound by Team,57,60
2,1:35.0,M. Brogdon enters the game for E. Bledsoe,,57,60
2,1:17.0,,K. Kuzma misses 3-pt jump shot from 28 ft,57,60
2,1:14.0,Defensive rebound by K. Middleton,,57,60
2,1:09.0,K. Middleton misses 3-pt jump shot from 25 ft,,57,60
2,1:07.0,,Defensive rebound by B. Ingram,57,60
2,0:57.0,,L. James makes 2-pt jump shot from 17 ft,57,62
2,0:48.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by T. Snell),,59,62
2,0:24.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),59,65
2,0:01.0,M. Brogdon misses 2-pt jump shot from 7 ft,,59,65
2,0:01.0,Offensive rebound by Team,,59,65
3,11:44.0,,R. Bullock misses 3-pt jump shot from 27 ft,59,65
3,11:42.0,Defensive rebound by E. Bledsoe,,59,65
3,11:32.0,M. Brogdon misses 2-pt jump shot from 20 ft,,59,65
3,11:30.0,,Defensive rebound by L. James,59,65
3,11:18.0,,B. Ingram makes 2-pt jump shot from 12 ft (assist by L. James),59,67
3,10:56.0,M. Brogdon makes 2-pt layup from 2 ft (assist by K. Middleton),,61,67
3,10:46.0,,R. Bullock misses 2-pt jump shot from 15 ft,61,67
3,10:43.0,Defensive rebound by G. Antetokounmpo,,61,67
3,10:38.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,63,67
3,10:26.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by R. Rondo),63,70
3,10:14.0,K. Middleton makes 2-pt layup from 2 ft,,65,70
3,9:54.0,,K. Kuzma misses 3-pt jump shot from 27 ft,65,70
3,9:51.0,Defensive rebound by E. Bledsoe,,65,70
3,9:42.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,65,70
3,9:40.0,,Defensive rebound by Team,65,70
3,9:23.0,,B. Ingram misses 3-pt jump shot from 23 ft,65,70
3,9:18.0,Defensive rebound by G. Antetokounmpo,,65,70
3,9:11.0,E. Bledsoe makes 2-pt jump shot from 3 ft (assist by G. Antetokounmpo),,67,70
3,8:58.0,,B. Ingram misses 2-pt layup from 3 ft (block by E. Bledsoe),67,70
3,8:56.0,,Offensive rebound by Team,67,70
3,8:48.0,,B. Ingram makes 2-pt layup from 2 ft,67,72
3,8:48.0,,Shooting foul by K. Middleton (drawn by B. Ingram),67,72
3,8:48.0,,B. Ingram misses free throw 1 of 1,67,72
3,8:46.0,Defensive rebound by G. Antetokounmpo,,67,72
3,8:39.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,67,72
3,8:35.0,Offensive rebound by E. Bledsoe,,67,72
3,8:26.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,67,72
3,8:24.0,,Defensive rebound by R. Rondo,67,72
3,8:21.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by R. Rondo),67,74
3,8:18.0,Milwaukee full timeout,,67,74
3,8:01.0,B. Lopez misses 3-pt jump shot from 26 ft,,67,74
3,7:59.0,,Defensive rebound by R. Bullock,67,74
3,7:45.0,,B. Ingram makes 2-pt jump shot from 20 ft (assist by R. Rondo),67,76
3,7:32.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,67,76
3,7:28.0,Offensive rebound by G. Antetokounmpo,,67,76
3,7:28.0,G. Antetokounmpo misses 2-pt layup at rim,,67,76
3,7:27.0,,Defensive rebound by B. Ingram,67,76
3,7:09.0,,L. James makes 2-pt layup from 1 ft,67,78
3,7:09.0,,Shooting foul by B. Lopez (drawn by L. James),67,78
3,7:09.0,P. Connaughton enters the game for M. Brogdon,,67,78
3,7:09.0,,L. James makes free throw 1 of 1,67,79
3,6:53.0,Personal foul by L. James (drawn by B. Lopez),,67,79
3,6:39.0,Turnover by G. Antetokounmpo (bad pass; steal by R. Rondo),,67,79
3,6:35.0,,K. Kuzma misses 2-pt layup from 2 ft (block by G. Antetokounmpo),67,79
3,6:31.0,Defensive rebound by B. Lopez,,67,79
3,6:26.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by P. Connaughton),,69,79
3,6:03.0,,B. Ingram misses 2-pt jump shot from 12 ft,69,79
3,5:58.0,Defensive rebound by K. Middleton,,69,79
3,5:53.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by K. Middleton),,71,79
3,5:51.0,,LA Lakers full timeout,71,79
3,5:51.0,N. Mirotić enters the game for B. Lopez,,71,79
3,5:41.0,,Personal foul by N. Mirotić (drawn by L. James),71,79
3,5:32.0,,L. James misses 2-pt layup from 3 ft (block by G. Antetokounmpo),71,79
3,5:31.0,,Offensive rebound by L. James,71,79
3,5:31.0,,Shooting foul by G. Antetokounmpo (drawn by L. James),71,79
3,5:31.0,,L. James makes free throw 1 of 2,71,80
3,5:31.0,,L. James makes free throw 2 of 2,71,81
3,5:17.0,E. Bledsoe makes 2-pt layup from 2 ft,,73,81
3,4:53.0,,Personal foul by G. Antetokounmpo (drawn by L. James),73,81
3,4:53.0,,L. James makes free throw 1 of 2,73,82
3,4:53.0,E. İlyasova enters the game for G. Antetokounmpo,,73,82
3,4:53.0,,K. Caldwell-Pope enters the game for R. Bullock,73,82
3,4:53.0,,M. Muscala enters the game for K. Kuzma,73,82
3,4:53.0,,L. James misses free throw 2 of 2,73,82
3,4:49.0,Defensive rebound by E. İlyasova,,73,82
3,4:39.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,75,82
3,4:19.0,,Turnover by R. Rondo (bad pass),75,82
3,4:19.0,T. Snell enters the game for K. Middleton,,75,82
3,4:13.0,P. Connaughton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,78,82
3,3:51.0,,M. Muscala misses 3-pt jump shot from 26 ft,78,82
3,3:48.0,Defensive rebound by E. Bledsoe,,78,82
3,3:45.0,E. İlyasova makes 2-pt layup from 2 ft (assist by E. Bledsoe),,80,82
3,3:28.0,,B. Ingram misses 2-pt layup from 3 ft,80,82
3,3:23.0,Defensive rebound by N. Mirotić,,80,82
3,3:18.0,E. Bledsoe makes 3-pt jump shot from 27 ft,,83,82
3,3:15.0,,LA Lakers full timeout,83,82
3,3:15.0,,J. Hart enters the game for R. Rondo,83,82
3,3:00.0,,Personal foul by E. İlyasova (drawn by L. James),83,82
3,3:00.0,,L. James makes free throw 1 of 2,83,83
3,3:00.0,,L. James makes free throw 2 of 2,83,84
3,2:50.0,P. Connaughton misses 2-pt dunk from 4 ft (block by J. Hart),,83,84
3,2:49.0,Offensive rebound by P. Connaughton,,83,84
3,2:49.0,Turnover by P. Connaughton (step out of bounds),,83,84
3,2:36.0,,L. James makes 2-pt layup from 1 ft (assist by J. Hart),83,86
3,2:19.0,N. Mirotić misses 3-pt jump shot from 28 ft,,83,86
3,2:16.0,,Defensive rebound by B. Ingram,83,86
3,2:03.0,,Personal foul by T. Snell (drawn by B. Ingram),83,86
3,2:03.0,,B. Ingram makes free throw 1 of 2,83,87
3,2:03.0,M. Brogdon enters the game for E. Bledsoe,,83,87
3,2:03.0,,B. Ingram makes free throw 2 of 2,83,88
3,1:45.0,N. Mirotić makes 2-pt hook shot from 2 ft,,85,88
3,1:28.0,,B. Ingram misses 3-pt jump shot from 25 ft,85,88
3,1:25.0,Defensive rebound by N. Mirotić,,85,88
3,1:16.0,M. Brogdon misses 2-pt jump shot from 3 ft,,85,88
3,1:14.0,Offensive rebound by P. Connaughton,,85,88
3,1:13.0,E. İlyasova makes 3-pt jump shot from 27 ft (assist by P. Connaughton),,88,88
3,0:47.0,,B. Ingram makes 3-pt jump shot from 27 ft,88,91
3,0:34.0,M. Brogdon makes 3-pt jump shot from 28 ft,,91,91
3,0:29.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by L. James),91,94
3,0:07.0,E. İlyasova misses 2-pt jump shot from 15 ft,,91,94
3,0:06.0,Offensive rebound by N. Mirotić,,91,94
3,0:06.0,Shooting foul by J. Hart (drawn by N. Mirotić),,91,94
3,0:06.0,N. Mirotić makes free throw 1 of 2,,92,94
3,0:06.0,N. Mirotić makes free throw 2 of 2,,93,94
3,0:00.0,,B. Ingram misses 3-pt jump shot from 24 ft,93,94
3,0:00.0,,Offensive rebound by Team,93,94
4,11:49.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,96,94
4,11:26.0,,K. Kuzma misses 2-pt layup from 3 ft (block by P. Connaughton),96,94
4,11:22.0,Defensive rebound by T. Snell,,96,94
4,11:21.0,M. Brogdon misses 2-pt layup from 2 ft,,96,94
4,11:21.0,Offensive rebound by T. Snell,,96,94
4,11:10.0,Shooting foul by J. Hart (drawn by E. İlyasova),,96,94
4,11:10.0,E. İlyasova makes free throw 1 of 2,,97,94
4,11:10.0,E. İlyasova makes free throw 2 of 2,,98,94
4,10:58.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by R. Rondo),98,96
4,10:48.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,100,96
4,10:48.0,Shooting foul by M. Muscala (drawn by G. Antetokounmpo),,100,96
4,10:48.0,,J. McGee enters the game for M. Muscala,100,96
4,10:48.0,G. Antetokounmpo misses free throw 1 of 1,,100,96
4,10:45.0,,Defensive rebound by J. McGee,100,96
4,10:28.0,,R. Rondo misses 2-pt layup from 2 ft,100,96
4,10:26.0,Defensive rebound by E. İlyasova,,100,96
4,10:25.0,Turnover by E. İlyasova (bad pass; steal by K. Caldwell-Pope),,100,96
4,10:18.0,,K. Caldwell-Pope makes 2-pt jump shot from 11 ft (assist by R. Rondo),100,98
4,9:50.0,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by P. Connaughton),,102,98
4,9:36.0,,J. McGee misses 2-pt dunk from 3 ft,102,98
4,9:34.0,,Offensive rebound by K. Kuzma,102,98
4,9:31.0,,R. Rondo misses 3-pt jump shot from 26 ft,102,98
4,9:29.0,,Offensive rebound by J. McGee,102,98
4,9:21.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,102,98
4,9:18.0,Defensive rebound by M. Brogdon,,102,98
4,8:59.0,M. Brogdon makes 2-pt layup from 1 ft,,104,98
4,8:50.0,,R. Rondo makes 2-pt jump shot from 17 ft (assist by K. Kuzma),104,100
4,8:36.0,E. İlyasova misses 3-pt jump shot from 26 ft,,104,100
4,8:33.0,,Defensive rebound by K. Kuzma,104,100
4,8:28.0,,K. Kuzma misses 3-pt jump shot from 27 ft,104,100
4,8:27.0,Defensive rebound by Team,,104,100
4,8:27.0,,Loose ball foul by J. McGee (drawn by P. Connaughton),104,100
4,8:27.0,K. Middleton enters the game for P. Connaughton,,104,100
4,8:27.0,N. Mirotić enters the game for E. İlyasova,,104,100
4,8:27.0,,L. James enters the game for K. Kuzma,104,100
4,8:12.0,G. Antetokounmpo makes 2-pt layup from 4 ft,,106,100
4,7:49.0,,L. James misses 2-pt jump shot from 8 ft,106,100
4,7:47.0,Defensive rebound by T. Snell,,106,100
4,7:36.0,K. Middleton misses 2-pt jump shot from 12 ft,,106,100
4,7:33.0,,Defensive rebound by K. Caldwell-Pope,106,100
4,7:28.0,,L. James makes 3-pt jump shot from 24 ft (assist by R. Rondo),106,103
4,7:12.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,106,103
4,7:09.0,,Defensive rebound by J. Hart,106,103
4,7:01.0,,R. Rondo makes 3-pt jump shot from 27 ft (assist by L. James),106,106
4,7:00.0,Milwaukee full timeout,,106,106
4,7:00.0,E. Bledsoe enters the game for M. Brogdon,,106,106
4,7:00.0,P. Connaughton enters the game for T. Snell,,106,106
4,7:00.0,,B. Ingram enters the game for J. Hart,106,106
4,6:46.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by N. Mirotić),,108,106
4,6:31.0,,R. Rondo makes 2-pt layup from 2 ft,108,108
4,6:19.0,Personal foul by R. Rondo (drawn by N. Mirotić),,108,108
4,6:06.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,108,108
4,6:03.0,Offensive rebound by P. Connaughton,,108,108
4,5:52.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,108,108
4,5:47.0,,Defensive rebound by R. Rondo,108,108
4,5:45.0,,Shooting foul by K. Middleton (drawn by R. Rondo),108,108
4,5:45.0,,R. Rondo makes free throw 1 of 2,108,109
4,5:45.0,E. İlyasova enters the game for G. Antetokounmpo,,108,109
4,5:45.0,,R. Rondo makes free throw 2 of 2,108,110
4,5:29.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Middleton),,110,110
4,5:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,110,110
4,5:03.0,,Offensive rebound by R. Rondo,110,110
4,4:59.0,,Turnover by R. Rondo (bad pass; steal by E. İlyasova),110,110
4,4:59.0,Personal foul by R. Rondo (drawn by K. Middleton),,110,110
4,4:59.0,K. Middleton misses free throw 1 of 2,,110,110
4,4:59.0,Offensive rebound by Team,,110,110
4,4:59.0,K. Middleton makes free throw 2 of 2,,111,110
