QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
1,5:22.0,S. Dinwiddie enters the game for J. Dudley,,12,19
1,5:22.0,R. Hollis-Jefferson enters the game for J. Harris,,12,19
1,5:22.0,,D. Harris enters the game for D. Finney-Smith,12,19
1,5:09.0,Turnover by D. Russell (bad pass; steal by D. Harris),,12,19
1,5:08.0,,Personal foul by D. Carroll (drawn by D. Harris),12,19
1,5:08.0,S. Napier enters the game for D. Russell,,12,19
1,4:53.0,,H. Barnes misses 2-pt jump shot from 4 ft,12,19
1,4:50.0,Defensive rebound by R. Hollis-Jefferson,,12,19
1,4:47.0,Shooting foul by D. Jordan (drawn by R. Hollis-Jefferson),,12,19
1,4:47.0,R. Hollis-Jefferson makes free throw 1 of 2,,13,19
1,4:47.0,,J. Barea enters the game for D. Smith,13,19
1,4:47.0,R. Hollis-Jefferson misses free throw 2 of 2,,13,19
1,4:44.0,,Defensive rebound by D. Jordan,13,19
1,4:23.0,,H. Barnes misses 2-pt jump shot from 17 ft,13,19
1,4:18.0,Defensive rebound by S. Dinwiddie,,13,19
1,4:13.0,R. Hollis-Jefferson misses 2-pt jump shot from 10 ft,,13,19
1,4:11.0,Offensive rebound by E. Davis,,13,19
1,4:10.0,E. Davis makes 2-pt layup from 1 ft,,15,19
1,4:10.0,Shooting foul by L. Dončić (drawn by E. Davis),,15,19
1,4:10.0,,S. Mejri enters the game for D. Jordan,15,19
1,4:10.0,E. Davis makes free throw 1 of 1,,16,19
1,3:50.0,,Shooting foul by R. Hollis-Jefferson (drawn by H. Barnes),16,19
1,3:50.0,,H. Barnes makes free throw 1 of 2,16,20
1,3:50.0,,R. Broekhoff enters the game for L. Dončić,16,20
1,3:50.0,,H. Barnes makes free throw 2 of 2,16,21
1,3:40.0,S. Napier misses 2-pt jump shot from 18 ft,,16,21
1,3:37.0,,Defensive rebound by D. Harris,16,21
1,3:26.0,,J. Barea misses 3-pt jump shot from 25 ft,16,21
1,3:22.0,Defensive rebound by R. Hollis-Jefferson,,16,21
1,3:12.0,E. Davis makes 2-pt hook shot from 3 ft (assist by R. Hollis-Jefferson),,18,21
1,3:00.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Harris),18,24
1,2:48.0,S. Dinwiddie makes 2-pt layup from 2 ft,,20,24
1,2:36.0,,J. Barea misses 2-pt jump shot from 8 ft,20,24
1,2:34.0,Defensive rebound by S. Dinwiddie,,20,24
1,2:26.0,S. Dinwiddie misses 2-pt hook shot from 4 ft,,20,24
1,2:23.0,Offensive rebound by E. Davis,,20,24
1,2:22.0,E. Davis makes 2-pt layup from 1 ft,,22,24
1,2:06.0,,H. Barnes makes 2-pt layup from 7 ft,22,26
1,1:44.0,S. Napier makes 3-pt jump shot from 27 ft (assist by E. Davis),,25,26
1,1:30.0,,J. Barea makes 3-pt jump shot from 25 ft,25,29
1,1:12.0,D. Carroll misses 2-pt jump shot from 7 ft,,25,29
1,1:10.0,Offensive rebound by E. Davis,,25,29
1,1:09.0,E. Davis makes 2-pt layup from 1 ft,,27,29
1,0:55.0,,D. Harris makes 2-pt jump shot from 21 ft (assist by J. Barea),27,31
1,0:49.0,Shooting foul by S. Mejri (drawn by S. Dinwiddie),,27,31
1,0:49.0,S. Dinwiddie makes free throw 1 of 2,,28,31
1,0:49.0,S. Dinwiddie makes free throw 2 of 2,,29,31
1,0:35.0,,H. Barnes misses 3-pt jump shot from 28 ft,29,31
1,0:33.0,Defensive rebound by Team,,29,31
1,0:30.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,29,31
1,0:27.0,,Defensive rebound by S. Mejri,29,31
1,0:11.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by J. Barea),29,34
1,0:04.0,S. Napier makes 3-pt jump shot from 27 ft,,32,34
1,0:00.0,,D. Harris misses 3-pt jump shot from 37 ft,32,34
1,0:00.0,,Offensive rebound by Team,32,34
2,11:44.0,,J. Barea makes 2-pt jump shot from 17 ft,32,36
2,11:28.0,D. Russell misses 2-pt jump shot from 18 ft,,32,36
2,11:25.0,,Defensive rebound by S. Mejri,32,36
2,11:19.0,,Shooting foul by D. Russell (drawn by D. Harris),32,36
2,11:19.0,,D. Harris makes free throw 1 of 2,32,37
2,11:19.0,,D. Harris makes free throw 2 of 2,32,38
2,11:06.0,Personal foul by J. Barea (drawn by J. Allen),,32,38
2,10:54.0,S. Napier makes 2-pt jump shot from 17 ft,,34,38
2,10:28.0,,S. Mejri makes 2-pt layup from 2 ft (assist by J. Barea),34,40
2,10:20.0,Personal foul by D. Harris (drawn by S. Napier),,34,40
2,10:10.0,D. Russell misses 3-pt jump shot from 23 ft,,34,40
2,10:06.0,,Defensive rebound by D. Harris,34,40
2,9:56.0,,J. Barea misses 2-pt jump shot from 8 ft,34,40
2,9:53.0,Defensive rebound by J. Dudley,,34,40
2,9:48.0,D. Carroll misses 3-pt jump shot from 24 ft,,34,40
2,9:46.0,,Defensive rebound by J. Barea,34,40
2,9:34.0,,S. Mejri misses 2-pt jump shot from 4 ft,34,40
2,9:33.0,Defensive rebound by J. Allen,,34,40
2,9:20.0,D. Russell makes 2-pt jump shot from 4 ft,,36,40
2,9:01.0,,D. Harris misses 3-pt jump shot from 27 ft,36,40
2,9:00.0,Defensive rebound by Team,,36,40
2,8:46.0,S. Napier misses 2-pt jump shot from 8 ft (block by M. Kleber),,36,40
2,8:42.0,Offensive rebound by J. Allen,,36,40
2,8:41.0,J. Allen misses 2-pt hook shot from 1 ft,,36,40
2,8:39.0,,Defensive rebound by S. Mejri,36,40
2,8:31.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Barea),36,43
2,8:09.0,D. Russell misses 3-pt jump shot from 26 ft,,36,43
2,8:05.0,,Defensive rebound by R. Broekhoff,36,43
2,7:55.0,,J. Barea makes 2-pt jump shot from 14 ft,36,45
2,7:47.0,Brooklyn full timeout,,36,45
2,7:47.0,S. Dinwiddie enters the game for J. Dudley,,36,45
2,7:47.0,J. Harris enters the game for S. Napier,,36,45
2,7:47.0,,D. Finney-Smith enters the game for D. Harris,36,45
2,7:31.0,D. Carroll misses 3-pt jump shot from 26 ft,,36,45
2,7:27.0,Offensive rebound by J. Allen,,36,45
2,7:25.0,Offensive foul by D. Carroll (drawn by S. Mejri),,36,45
2,7:25.0,Turnover by D. Carroll (offensive foul),,36,45
2,7:18.0,,R. Broekhoff misses 3-pt jump shot from 26 ft,36,45
2,7:15.0,Defensive rebound by J. Allen,,36,45
2,7:09.0,J. Harris misses 3-pt jump shot from 28 ft,,36,45
2,7:04.0,,Defensive rebound by S. Mejri,36,45
2,6:50.0,,Turnover by S. Mejri (traveling),36,45
2,6:50.0,,L. Dončić enters the game for R. Broekhoff,36,45
2,6:50.0,,D. Jordan enters the game for S. Mejri,36,45
2,6:41.0,J. Allen makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,38,45
2,6:20.0,,J. Barea makes 2-pt jump shot from 13 ft,38,47
2,6:06.0,Shooting foul by D. Finney-Smith (drawn by S. Dinwiddie),,38,47
2,6:06.0,S. Dinwiddie misses free throw 1 of 2,,38,47
2,6:06.0,Offensive rebound by Team,,38,47
2,6:06.0,A. Crabbe enters the game for D. Russell,,38,47
2,6:06.0,S. Dinwiddie makes free throw 2 of 2,,39,47
2,5:47.0,,M. Kleber makes 2-pt dunk from 1 ft (assist by L. Dončić),39,49
2,5:26.0,D. Carroll misses 3-pt jump shot from 25 ft,,39,49
2,5:22.0,,Defensive rebound by D. Jordan,39,49
2,5:14.0,,D. Jordan makes 2-pt hook shot from 4 ft (assist by J. Barea),39,51
2,5:00.0,D. Carroll misses 2-pt jump shot from 5 ft,,39,51
2,4:58.0,,Defensive rebound by M. Kleber,39,51
2,4:43.0,,Turnover by D. Jordan (bad pass; steal by D. Carroll),39,51
2,4:43.0,R. Hollis-Jefferson enters the game for D. Carroll,,39,51
2,4:43.0,,D. Smith enters the game for J. Barea,39,51
2,4:36.0,J. Harris misses 3-pt jump shot from 27 ft,,39,51
2,4:33.0,,Defensive rebound by D. Jordan,39,51
2,4:26.0,,L. Dončić misses 2-pt jump shot from 16 ft,39,51
2,4:24.0,,Offensive rebound by L. Dončić,39,51
2,4:14.0,,Shooting foul by J. Harris (drawn by M. Kleber),39,51
2,4:14.0,,M. Kleber makes free throw 1 of 2,39,52
2,4:14.0,,M. Kleber makes free throw 2 of 2,39,53
2,3:56.0,A. Crabbe makes 2-pt jump shot from 12 ft (assist by S. Dinwiddie),,41,53
2,3:44.0,,Turnover by D. Smith (bad pass),41,53
2,3:34.0,A. Crabbe makes 2-pt jump shot from 10 ft (assist by S. Dinwiddie),,43,53
2,3:34.0,,Dallas full timeout,43,53
2,3:34.0,,H. Barnes enters the game for M. Kleber,43,53
2,3:12.0,,D. Finney-Smith misses 2-pt jump shot from 21 ft,43,53
2,3:09.0,Defensive rebound by R. Hollis-Jefferson,,43,53
2,3:04.0,A. Crabbe misses 3-pt jump shot from 25 ft,,43,53
2,3:01.0,Offensive rebound by J. Harris,,43,53
2,2:58.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),,46,53
2,2:35.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),46,56
2,2:17.0,Turnover by A. Crabbe (bad pass; steal by D. Smith),,46,56
2,2:06.0,,Away from play foul by R. Hollis-Jefferson (drawn by D. Jordan),46,56
2,2:06.0,E. Davis enters the game for J. Allen,,46,56
2,2:03.0,,Personal foul by J. Harris (drawn by L. Dončić),46,56
2,1:57.0,,Offensive foul by D. Jordan (drawn by S. Dinwiddie),46,56
2,1:57.0,,Turnover by D. Jordan (offensive foul),46,56
2,1:43.0,Turnover by E. Davis (lost ball; steal by D. Jordan),,46,56
2,1:39.0,,H. Barnes makes 2-pt jump shot from 3 ft,46,58
2,1:29.0,Shooting foul by D. Finney-Smith (drawn by R. Hollis-Jefferson),,46,58
2,1:29.0,R. Hollis-Jefferson misses free throw 1 of 2,,46,58
2,1:29.0,Offensive rebound by Team,,46,58
2,1:29.0,R. Hollis-Jefferson makes free throw 2 of 2,,47,58
2,1:15.0,,Turnover by H. Barnes (bad pass; steal by R. Hollis-Jefferson),47,58
2,1:10.0,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,50,58
2,1:07.0,,Dallas full timeout,50,58
2,1:07.0,,Violation by Team (delay of game),50,58
2,0:54.0,,Shooting foul by E. Davis (drawn by D. Jordan),50,58
2,0:54.0,,D. Jordan misses free throw 1 of 2,50,58
2,0:54.0,,Offensive rebound by Team,50,58
2,0:54.0,,D. Jordan makes free throw 2 of 2,50,59
2,0:39.0,A. Crabbe misses 2-pt jump shot from 19 ft,,50,59
2,0:37.0,,Defensive rebound by D. Jordan,50,59
2,0:30.0,,H. Barnes misses 2-pt layup from 5 ft (block by A. Crabbe),50,59
2,0:27.0,,Offensive rebound by D. Finney-Smith,50,59
2,0:27.0,,D. Finney-Smith makes 2-pt layup from 1 ft,50,61
2,0:27.0,,Shooting foul by A. Crabbe (drawn by D. Finney-Smith),50,61
2,0:27.0,,D. Finney-Smith misses free throw 1 of 1,50,61
2,0:27.0,Defensive rebound by E. Davis,,50,61
2,0:03.0,A. Crabbe misses 3-pt jump shot from 26 ft,,50,61
2,0:01.0,Offensive rebound by R. Hollis-Jefferson,,50,61
2,0:00.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,50,61
2,0:00.0,,Defensive rebound by D. Jordan,50,61
3,11:50.0,,Personal foul by R. Hollis-Jefferson (drawn by H. Barnes),50,61
3,11:41.0,,H. Barnes misses 2-pt jump shot from 6 ft,50,61
3,11:40.0,Defensive rebound by Team,,50,61
3,11:18.0,J. Allen misses 2-pt hook shot from 7 ft,,50,61
3,11:16.0,,Defensive rebound by D. Jordan,50,61
3,11:11.0,,D. Finney-Smith misses 2-pt layup from 2 ft,50,61
3,11:09.0,Defensive rebound by J. Harris,,50,61
3,11:00.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,52,61
3,11:00.0,Shooting foul by L. Dončić (drawn by J. Harris),,52,61
3,11:00.0,J. Harris misses free throw 1 of 1,,52,61
3,11:00.0,,Defensive rebound by D. Jordan,52,61
3,10:54.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by D. Jordan),52,64
3,10:41.0,J. Harris misses 3-pt jump shot from 26 ft,,52,64
3,10:38.0,,Defensive rebound by D. Finney-Smith,52,64
3,10:32.0,,Turnover by D. Smith (bad pass; steal by J. Allen),52,64
3,10:28.0,R. Hollis-Jefferson misses 2-pt jump shot from 4 ft,,52,64
3,10:27.0,Offensive rebound by J. Allen,,52,64
3,10:26.0,J. Allen misses 2-pt layup at rim,,52,64
3,10:25.0,Offensive rebound by R. Hollis-Jefferson,,52,64
3,10:24.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by D. Finney-Smith),,52,64
3,10:23.0,Offensive rebound by R. Hollis-Jefferson,,52,64
3,10:22.0,R. Hollis-Jefferson makes 2-pt layup at rim,,54,64
3,9:59.0,,L. Dončić misses 2-pt jump shot from 10 ft,54,64
3,9:56.0,Defensive rebound by D. Russell,,54,64
3,9:51.0,D. Russell makes 3-pt jump shot from 26 ft,,57,64
3,9:31.0,,D. Jordan makes 2-pt layup from 2 ft (assist by L. Dončić),57,66
3,9:16.0,Turnover by A. Crabbe (bad pass; steal by L. Dončić),,57,66
3,9:12.0,,Turnover by L. Dončić (bad pass),57,66
3,8:51.0,J. Allen makes 2-pt jump shot from 5 ft (assist by J. Harris),,59,66
3,8:36.0,,H. Barnes misses 3-pt jump shot from 26 ft,59,66
3,8:34.0,,Offensive rebound by D. Finney-Smith,59,66
3,8:24.0,,D. Jordan misses 2-pt dunk from 2 ft,59,66
3,8:22.0,Defensive rebound by D. Russell,,59,66
3,8:19.0,J. Harris misses 3-pt jump shot from 26 ft,,59,66
3,8:17.0,Offensive rebound by J. Harris,,59,66
3,8:16.0,J. Harris makes 2-pt jump shot from 2 ft,,61,66
3,8:16.0,Shooting foul by D. Jordan (drawn by J. Harris),,61,66
3,8:16.0,,Dallas full timeout,61,66
3,8:16.0,J. Harris makes free throw 1 of 1,,62,66
3,7:53.0,,L. Dončić makes 3-pt jump shot from 29 ft,62,69
3,7:33.0,A. Crabbe misses 2-pt jump shot from 8 ft,,62,69
3,7:31.0,Offensive rebound by A. Crabbe,,62,69
3,7:25.0,Turnover by R. Hollis-Jefferson (lost ball; steal by L. Dončić),,62,69
3,7:19.0,,Turnover by L. Dončić (bad pass; steal by J. Harris),62,69
3,7:14.0,A. Crabbe makes 2-pt layup from 1 ft,,64,69
3,6:49.0,,H. Barnes misses 2-pt jump shot from 11 ft,64,69
3,6:46.0,Defensive rebound by D. Russell,,64,69
3,6:40.0,D. Russell misses 3-pt jump shot from 25 ft,,64,69
3,6:38.0,,Defensive rebound by D. Jordan,64,69
3,6:29.0,,D. Smith makes 2-pt jump shot from 12 ft,64,71
3,6:25.0,Brooklyn full timeout,,64,71
3,6:25.0,S. Dinwiddie enters the game for J. Harris,,64,71
3,6:25.0,,J. Barea enters the game for D. Smith,64,71
3,6:08.0,Shooting foul by J. Barea (drawn by D. Russell),,64,71
3,6:08.0,D. Russell makes free throw 1 of 2,,65,71
3,6:08.0,D. Russell makes free throw 2 of 2,,66,71
3,5:55.0,,H. Barnes makes 2-pt jump shot from 2 ft (assist by L. Dončić),66,73
3,5:32.0,R. Hollis-Jefferson makes 2-pt dunk from 2 ft (assist by S. Dinwiddie),,68,73
3,5:20.0,,L. Dončić misses 3-pt jump shot from 28 ft,68,73
3,5:18.0,Defensive rebound by D. Russell,,68,73
3,5:13.0,D. Russell misses 2-pt jump shot from 9 ft,,68,73
3,5:10.0,,Defensive rebound by D. Jordan,68,73
3,4:57.0,,D. Jordan makes 2-pt layup from 2 ft (assist by J. Barea),68,75
3,4:45.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,68,75
3,4:42.0,,Defensive rebound by L. Dončić,68,75
3,4:38.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,68,75
3,4:34.0,Defensive rebound by A. Crabbe,,68,75
3,4:24.0,D. Russell makes 2-pt layup from 1 ft,,70,75
3,4:05.0,,Shooting foul by J. Allen (drawn by D. Jordan),70,75
3,4:05.0,,D. Jordan makes free throw 1 of 2,70,76
3,4:05.0,D. Carroll enters the game for J. Allen,,70,76
3,4:05.0,E. Davis enters the game for A. Crabbe,,70,76
3,4:05.0,,D. Harris enters the game for D. Finney-Smith,70,76
3,4:05.0,,D. Jordan makes free throw 2 of 2,70,77
3,3:51.0,D. Russell misses 2-pt jump shot from 9 ft,,70,77
3,3:47.0,,Defensive rebound by L. Dončić,70,77
3,3:40.0,,Personal foul by E. Davis (drawn by D. Jordan),70,77
3,3:40.0,S. Napier enters the game for D. Russell,,70,77
3,3:33.0,,Turnover by D. Harris (bad pass; steal by S. Dinwiddie),70,77
3,3:16.0,S. Dinwiddie makes 2-pt jump shot from 6 ft,,72,77
3,2:59.0,,D. Harris misses 3-pt jump shot from 26 ft,72,77
3,2:55.0,Defensive rebound by E. Davis,,72,77
3,2:47.0,E. Davis makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),,74,77
3,2:45.0,,Dallas full timeout,74,77
3,2:30.0,,J. Barea makes 2-pt hook shot from 2 ft,74,79
3,2:13.0,Turnover by S. Napier (bad pass),,74,79
3,1:59.0,,J. Barea misses 3-pt jump shot from 27 ft,74,79
3,1:57.0,Defensive rebound by R. Hollis-Jefferson,,74,79
3,1:47.0,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Jordan),,74,79
3,1:39.0,,J. Barea misses 3-pt jump shot from 23 ft,74,79
3,1:34.0,Defensive rebound by R. Hollis-Jefferson,,74,79
3,1:33.0,Personal take foul by J. Barea (drawn by R. Hollis-Jefferson),,74,79
3,1:33.0,J. Dudley enters the game for R. Hollis-Jefferson,,74,79
3,1:33.0,,D. Finney-Smith enters the game for L. Dončić,74,79
3,1:33.0,,S. Mejri enters the game for D. Jordan,74,79
3,1:29.0,Personal foul by S. Mejri (drawn by S. Dinwiddie),,74,79
3,1:29.0,S. Dinwiddie makes free throw 1 of 2,,75,79
3,1:29.0,S. Dinwiddie makes free throw 2 of 2,,76,79
3,1:20.0,,Personal foul by J. Dudley (drawn by H. Barnes),76,79
3,1:08.0,,Def 3 sec tech foul by Team,76,79
3,1:08.0,,H. Barnes makes technical free throw,76,80
3,1:03.0,,Personal foul by D. Carroll (drawn by D. Harris),76,80
3,1:03.0,,D. Harris misses free throw 1 of 2,76,80
3,1:03.0,,Offensive rebound by Team,76,80
3,1:03.0,,D. Harris makes free throw 2 of 2,76,81
3,0:56.0,Personal foul by D. Finney-Smith (drawn by S. Dinwiddie),,76,81
3,0:56.0,S. Dinwiddie makes free throw 1 of 2,,77,81
3,0:56.0,S. Dinwiddie makes free throw 2 of 2,,78,81
3,0:45.0,,Shooting foul by S. Napier (drawn by D. Harris),78,81
3,0:45.0,,D. Harris makes free throw 1 of 2,78,82
3,0:45.0,,D. Harris makes free throw 2 of 2,78,83
3,0:37.0,S. Dinwiddie misses 2-pt jump shot from 5 ft,,78,83
3,0:35.0,Offensive rebound by Team,,78,83
3,0:30.0,J. Dudley misses 3-pt jump shot from 23 ft,,78,83
3,0:26.0,,Defensive rebound by J. Barea,78,83
3,0:08.0,,J. Barea makes 2-pt jump shot from 18 ft (assist by S. Mejri),78,85
3,0:03.0,S. Dinwiddie makes 3-pt jump shot from 29 ft,,81,85
3,0:00.0,,D. Finney-Smith misses 3-pt jump shot from 49 ft,81,85
3,0:00.0,,Offensive rebound by Team,81,85
4,11:43.0,S. Dinwiddie makes 2-pt jump shot from 7 ft,,83,85
4,11:31.0,,D. Finney-Smith misses 2-pt dunk from 2 ft,83,85
4,11:29.0,Defensive rebound by J. Dudley,,83,85
4,11:26.0,D. Carroll misses 2-pt jump shot from 22 ft,,83,85
4,11:22.0,Offensive rebound by E. Davis,,83,85
4,11:20.0,E. Davis makes 2-pt layup at rim,,85,85
4,11:02.0,,Turnover by J. Barea (lost ball; steal by E. Davis),85,85
4,10:58.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,85,85
4,10:55.0,Offensive rebound by J. Dudley,,85,85
4,10:52.0,Turnover by S. Dinwiddie (lost ball; steal by D. Harris),,85,85
4,10:40.0,,J. Barea makes 2-pt jump shot from 12 ft,85,87
4,10:13.0,E. Davis makes 2-pt layup from 2 ft (assist by S. Napier),,87,87
4,10:09.0,,Personal take foul by J. Dudley (drawn by J. Barea),87,87
4,10:09.0,D. Russell enters the game for S. Dinwiddie,,87,87
4,9:53.0,,M. Kleber misses 2-pt jump shot from 10 ft,87,87
4,9:51.0,Defensive rebound by D. Carroll,,87,87
4,9:45.0,Personal foul by S. Mejri (drawn by E. Davis),,87,87
4,9:32.0,D. Carroll misses 2-pt layup from 2 ft,,87,87
4,9:28.0,,Defensive rebound by S. Mejri,87,87
4,9:24.0,,Shooting foul by E. Davis (drawn by D. Harris),87,87
4,9:24.0,,D. Harris makes free throw 1 of 2,87,88
4,9:24.0,,D. Harris makes free throw 2 of 2,87,89
4,9:10.0,Turnover by J. Dudley (bad pass; steal by D. Harris),,87,89
4,9:10.0,,Shooting foul by D. Carroll (drawn by D. Harris),87,89
4,9:10.0,,D. Harris misses free throw 1 of 2,87,89
4,9:10.0,,Offensive rebound by Team,87,89
4,9:10.0,A. Crabbe enters the game for D. Carroll,,87,89
4,9:10.0,,D. Harris makes free throw 2 of 2,87,90
4,9:01.0,Personal foul by M. Kleber (drawn by J. Dudley),,87,90
4,8:47.0,D. Russell misses 3-pt jump shot from 24 ft,,87,90
4,8:45.0,,Defensive rebound by D. Harris,87,90
4,8:42.0,,D. Harris makes 3-pt jump shot from 26 ft,87,93
4,8:40.0,Brooklyn full timeout,,87,93
4,8:40.0,J. Allen enters the game for E. Davis,,87,93
4,8:40.0,J. Harris enters the game for S. Napier,,87,93
4,8:25.0,Turnover by J. Harris (bad pass; steal by D. Harris),,87,93
4,8:25.0,,Personal foul by A. Crabbe (drawn by D. Harris),87,93
4,8:25.0,,L. Dončić enters the game for D. Finney-Smith,87,93
4,8:15.0,,D. Harris makes 2-pt jump shot from 8 ft (assist by S. Mejri),87,95
4,7:58.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),,90,95
4,7:29.0,,M. Kleber misses 3-pt jump shot from 27 ft,90,95
4,7:27.0,,Offensive rebound by Team,90,95
4,7:27.0,,H. Barnes enters the game for D. Harris,90,95
4,7:13.0,,J. Barea makes 2-pt jump shot from 17 ft,90,97
4,7:13.0,S. Dinwiddie enters the game for D. Russell,,90,97
4,6:47.0,J. Harris misses 2-pt layup from 3 ft (block by S. Mejri),,90,97
4,6:44.0,,Defensive rebound by L. Dončić,90,97
4,6:35.0,,H. Barnes makes 2-pt layup from 1 ft (assist by M. Kleber),90,99
4,6:27.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,93,99
4,6:06.0,,Shooting foul by S. Dinwiddie (drawn by M. Kleber),93,99
4,6:06.0,,M. Kleber makes free throw 1 of 2,93,100
4,6:06.0,R. Hollis-Jefferson enters the game for J. Dudley,,93,100
4,6:06.0,,D. Jordan enters the game for J. Barea,93,100
4,6:06.0,,D. Smith enters the game for S. Mejri,93,100
4,6:06.0,,M. Kleber makes free throw 2 of 2,93,101
4,5:51.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,93,101
4,5:38.0,,Turnover by D. Jordan (lost ball; steal by A. Crabbe),93,101
4,5:37.0,Personal foul by D. Smith (drawn by A. Crabbe),,93,101
