QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
1,7:03.0,Loose ball foul by M. Leonard (drawn by M. Turner),,6,8
1,6:57.0,,D. Collison misses 2-pt jump shot from 20 ft (block by D. Lillard),6,8
1,6:54.0,Defensive rebound by C. McCollum,,6,8
1,6:47.0,C. McCollum misses 2-pt jump shot from 7 ft,,6,8
1,6:47.0,Offensive rebound by C. McCollum,,6,8
1,6:44.0,D. Lillard misses 3-pt jump shot from 26 ft,,6,8
1,6:41.0,Offensive rebound by C. McCollum,,6,8
1,6:38.0,,Indiana full timeout,6,8
1,6:37.0,Turnover by D. Lillard (offensive foul),,6,8
1,6:37.0,Offensive foul by D. Lillard (drawn by D. Collison),,6,8
1,6:27.0,,T. Young makes 2-pt jump shot from 5 ft (assist by D. Collison),6,10
1,6:12.0,Turnover by M. Leonard (offensive foul),,6,10
1,6:12.0,Offensive foul by M. Leonard (drawn by T. Young),,6,10
1,6:12.0,Z. Collins enters the game for J. Layman,,6,10
1,6:12.0,E. Turner enters the game for M. Leonard,,6,10
1,5:59.0,,V. Oladipo misses 2-pt jump shot from 18 ft,6,10
1,5:55.0,Defensive rebound by A. Aminu,,6,10
1,5:43.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by Z. Collins),,9,10
1,5:28.0,,T. Young misses 2-pt jump shot from 18 ft,9,10
1,5:25.0,,Offensive rebound by M. Turner,9,10
1,5:15.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,9,10
1,5:14.0,Defensive rebound by A. Aminu,,9,10
1,5:06.0,A. Aminu misses 3-pt jump shot from 26 ft,,9,10
1,5:04.0,,Defensive rebound by B. Bogdanović,9,10
1,4:59.0,,B. Bogdanović makes 2-pt layup from 1 ft,9,12
1,4:33.0,C. McCollum misses 3-pt jump shot from 25 ft,,9,12
1,4:30.0,,Defensive rebound by M. Turner,9,12
1,4:22.0,,V. Oladipo misses 2-pt jump shot from 11 ft,9,12
1,4:19.0,Defensive rebound by Z. Collins,,9,12
1,4:04.0,Turnover by E. Turner (traveling),,9,12
1,4:04.0,,T. Evans enters the game for B. Bogdanović,9,12
1,4:04.0,,D. Sabonis enters the game for T. Young,9,12
1,3:53.0,,M. Turner misses 2-pt jump shot from 21 ft,9,12
1,3:50.0,Defensive rebound by D. Lillard,,9,12
1,3:39.0,C. McCollum makes 2-pt jump shot from 4 ft,,11,12
1,3:30.0,,Shooting foul by D. Lillard (drawn by D. Collison),11,12
1,3:30.0,,D. Collison misses free throw 1 of 2,11,12
1,3:30.0,,Offensive rebound by Team,11,12
1,3:30.0,,D. Collison makes free throw 2 of 2,11,13
1,3:17.0,D. Lillard misses 2-pt layup from 1 ft (block by D. Sabonis),,11,13
1,3:16.0,Offensive rebound by Team,,11,13
1,3:16.0,,C. Joseph enters the game for D. Collison,11,13
1,3:13.0,Personal foul by C. Joseph (drawn by Z. Collins),,11,13
1,3:13.0,Portland full timeout,,11,13
1,3:13.0,S. Curry enters the game for D. Lillard,,11,13
1,3:13.0,N. Stauskas enters the game for C. McCollum,,11,13
1,3:04.0,Z. Collins misses 3-pt jump shot from 26 ft,,11,13
1,3:01.0,,Defensive rebound by D. Sabonis,11,13
1,2:47.0,,V. Oladipo misses 2-pt jump shot from 19 ft,11,13
1,2:45.0,Defensive rebound by A. Aminu,,11,13
1,2:26.0,Z. Collins misses 2-pt jump shot from 12 ft,,11,13
1,2:23.0,,Defensive rebound by D. Sabonis,11,13
1,2:16.0,,C. Joseph misses 2-pt jump shot from 16 ft,11,13
1,2:13.0,Defensive rebound by N. Stauskas,,11,13
1,2:05.0,E. Turner makes 2-pt jump shot from 14 ft (assist by N. Stauskas),,13,13
1,1:46.0,,V. Oladipo misses 2-pt jump shot from 14 ft,13,13
1,1:43.0,Defensive rebound by N. Stauskas,,13,13
1,1:32.0,Personal foul by T. Evans (drawn by N. Stauskas),,13,13
1,1:32.0,C. Swanigan enters the game for A. Aminu,,13,13
1,1:32.0,,T. Leaf enters the game for V. Oladipo,13,13
1,1:32.0,,D. McDermott enters the game for M. Turner,13,13
1,1:21.0,E. Turner makes 2-pt jump shot from 15 ft,,15,13
1,1:06.0,,T. Evans makes 3-pt jump shot from 28 ft,15,16
1,0:50.0,C. Swanigan makes 2-pt hook shot from 4 ft,,17,16
1,0:50.0,Shooting foul by D. Sabonis (drawn by C. Swanigan),,17,16
1,0:50.0,C. Swanigan makes free throw 1 of 1,,18,16
1,0:45.0,,D. McDermott misses 2-pt jump shot from 19 ft,18,16
1,0:45.0,Defensive rebound by Z. Collins,,18,16
1,0:32.0,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Turner),,21,16
1,0:25.0,,T. Evans misses 3-pt jump shot from 27 ft,21,16
1,0:22.0,,Offensive rebound by T. Leaf,21,16
1,0:12.0,,T. Evans misses 2-pt jump shot from 9 ft,21,16
1,0:08.0,Defensive rebound by N. Stauskas,,21,16
1,0:04.0,N. Stauskas makes 2-pt layup from 1 ft,,23,16
1,0:00.0,,C. Joseph misses 2-pt layup from 3 ft,23,16
1,0:00.0,,Offensive rebound by Team,23,16
2,11:37.0,,T. Leaf misses 2-pt hook shot from 5 ft (block by Z. Collins),23,16
2,11:36.0,Defensive rebound by C. Swanigan,,23,16
2,11:33.0,Turnover by C. Swanigan (lost ball; steal by D. Sabonis),,23,16
2,11:32.0,,Personal foul by C. Swanigan (drawn by D. Sabonis),23,16
2,11:18.0,,Turnover by T. Leaf (traveling),23,16
2,11:00.0,Z. Collins makes 2-pt layup from 1 ft,,25,16
2,10:45.0,,T. Evans makes 2-pt layup from 2 ft,25,18
2,10:45.0,,Away from play foul by E. Turner (drawn by D. Sabonis),25,18
2,10:45.0,,D. Sabonis misses free throw 1 of 1,25,18
2,10:45.0,Defensive rebound by C. Swanigan,,25,18
2,10:27.0,N. Stauskas misses 2-pt layup from 6 ft,,25,18
2,10:25.0,,Defensive rebound by Team,25,18
2,10:08.0,,Personal foul by E. Turner (drawn by T. Evans),25,18
2,9:56.0,,C. Joseph makes 2-pt jump shot from 14 ft,25,20
2,9:38.0,C. Swanigan makes 2-pt layup from 1 ft (assist by N. Stauskas),,27,20
2,9:29.0,,Personal foul by E. Turner (drawn by D. Sabonis),27,20
2,9:29.0,C. McCollum enters the game for E. Turner,,27,20
2,9:29.0,,T. Young enters the game for T. Leaf,27,20
2,9:24.0,,Turnover by C. Joseph (bad pass; steal by C. Swanigan),27,20
2,9:17.0,C. McCollum makes 2-pt jump shot from 17 ft,,29,20
2,8:48.0,,Shooting foul by C. Swanigan (drawn by T. Young),29,20
2,8:48.0,,T. Young makes free throw 1 of 2,29,21
2,8:48.0,,T. Young makes free throw 2 of 2,29,22
2,8:35.0,N. Stauskas makes 3-pt jump shot from 27 ft (assist by C. Swanigan),,32,22
2,8:08.0,,T. Young misses 2-pt jump shot from 6 ft,32,22
2,8:08.0,,Offensive rebound by Team,32,22
2,8:08.0,,Turnover by Team (shot clock),32,22
2,8:08.0,,B. Bogdanović enters the game for D. McDermott,32,22
2,7:53.0,Turnover by Z. Collins (lost ball; steal by D. Sabonis),,32,22
2,7:48.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,32,22
2,7:45.0,Defensive rebound by S. Curry,,32,22
2,7:39.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by C. McCollum),,35,22
2,7:38.0,,Indiana full timeout,35,22
2,7:38.0,D. Lillard enters the game for S. Curry,,35,22
2,7:38.0,,D. Collison enters the game for T. Evans,35,22
2,7:38.0,,V. Oladipo enters the game for C. Joseph,35,22
2,7:28.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Sabonis),35,25
2,7:08.0,C. McCollum misses 3-pt jump shot from 26 ft,,35,25
2,7:05.0,,Defensive rebound by V. Oladipo,35,25
2,6:51.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by V. Oladipo),35,27
2,6:31.0,Z. Collins misses 2-pt jump shot from 16 ft,,35,27
2,6:29.0,,Defensive rebound by T. Young,35,27
2,6:20.0,,T. Young misses 3-pt jump shot from 29 ft,35,27
2,6:16.0,Defensive rebound by C. Swanigan,,35,27
2,6:11.0,Personal foul by T. Young (drawn by Z. Collins),,35,27
2,6:11.0,J. Nurkić enters the game for Z. Collins,,35,27
2,6:03.0,D. Lillard misses 2-pt jump shot from 17 ft,,35,27
2,5:59.0,,Defensive rebound by D. Sabonis,35,27
2,5:53.0,,T. Young makes 2-pt layup from 2 ft,35,29
2,5:45.0,C. McCollum misses 2-pt layup from 1 ft,,35,29
2,5:43.0,Offensive rebound by C. Swanigan,,35,29
2,5:42.0,C. Swanigan misses 2-pt layup from 1 ft,,35,29
2,5:40.0,Offensive rebound by C. Swanigan,,35,29
2,5:40.0,C. Swanigan makes 2-pt layup from 1 ft,,37,29
2,5:29.0,,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),37,31
2,5:28.0,Portland full timeout,,37,31
2,5:28.0,,M. Turner enters the game for D. Sabonis,37,31
2,5:09.0,C. McCollum makes 2-pt jump shot from 16 ft,,39,31
2,4:48.0,,M. Turner misses 3-pt jump shot from 26 ft,39,31
2,4:45.0,Defensive rebound by J. Nurkić,,39,31
2,4:35.0,J. Nurkić misses 2-pt jump shot from 7 ft,,39,31
2,4:31.0,,Defensive rebound by V. Oladipo,39,31
2,4:27.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Oladipo),39,34
2,4:10.0,C. McCollum misses 2-pt jump shot from 11 ft,,39,34
2,4:05.0,Offensive rebound by C. Swanigan,,39,34
2,4:05.0,C. Swanigan makes 2-pt layup from 1 ft,,41,34
2,3:51.0,,M. Turner makes 2-pt layup from 3 ft (assist by D. Collison),41,36
2,3:35.0,Shooting foul by V. Oladipo (drawn by C. McCollum),,41,36
2,3:35.0,C. McCollum makes free throw 1 of 2,,42,36
2,3:35.0,C. McCollum makes free throw 2 of 2,,43,36
2,3:24.0,,D. Collison makes 2-pt jump shot from 17 ft,43,38
2,3:09.0,Turnover by J. Nurkić (bad pass; steal by V. Oladipo),,43,38
2,3:04.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),43,40
2,2:40.0,D. Lillard misses 2-pt layup from 1 ft (block by M. Turner),,43,40
2,2:37.0,,Defensive rebound by V. Oladipo,43,40
2,2:34.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by V. Oladipo),43,43
2,2:14.0,N. Stauskas misses 2-pt jump shot from 20 ft,,43,43
2,2:11.0,,Defensive rebound by T. Young,43,43
2,1:53.0,,M. Turner misses 2-pt jump shot from 20 ft,43,43
2,1:53.0,Defensive rebound by C. Swanigan,,43,43
2,1:42.0,Turnover by C. McCollum (bad pass),,43,43
2,1:28.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,43,43
2,1:24.0,Defensive rebound by C. Swanigan,,43,43
2,1:14.0,Personal foul by D. Collison (drawn by D. Lillard),,43,43
2,1:03.0,J. Nurkić misses 2-pt layup from 1 ft,,43,43
2,1:00.0,Offensive rebound by C. Swanigan,,43,43
2,0:56.0,Offensive foul by C. Swanigan (drawn by B. Bogdanović),,43,43
2,0:56.0,Turnover by C. Swanigan (offensive foul),,43,43
2,0:55.0,,Technical foul by T. Stotts,43,43
2,0:55.0,,V. Oladipo makes technical free throw,43,44
2,0:48.0,,V. Oladipo misses 2-pt jump shot from 9 ft,43,44
2,0:45.0,,Offensive rebound by M. Turner,43,44
2,0:41.0,,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),43,47
2,0:31.0,C. McCollum misses 3-pt jump shot from 26 ft,,43,47
2,0:29.0,Offensive rebound by Team,,43,47
2,0:24.0,C. McCollum misses 2-pt layup at rim (block by M. Turner),,43,47
2,0:19.0,,Defensive rebound by V. Oladipo,43,47
2,0:19.0,,T. Young makes 2-pt dunk from 1 ft (assist by D. Collison),43,49
2,0:02.0,D. Lillard makes 2-pt jump shot from 1 ft,,45,49
2,0:00.0,,D. Collison misses 2-pt jump shot from 14 ft,45,49
2,0:00.0,,Offensive rebound by Team,45,49
3,11:48.0,Violation by Team (kicked ball),,45,49
3,11:39.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),45,51
3,11:23.0,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),,47,51
3,11:01.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by M. Turner),47,53
3,10:46.0,A. Aminu misses 2-pt jump shot from 5 ft,,47,53
3,10:42.0,,Defensive rebound by M. Turner,47,53
3,10:32.0,,V. Oladipo makes 2-pt jump shot from 20 ft,47,55
3,10:08.0,C. McCollum makes 2-pt jump shot from 20 ft,,49,55
3,9:57.0,,V. Oladipo makes 2-pt layup from 1 ft,49,57
3,9:49.0,Personal foul by T. Young (drawn by D. Lillard),,49,57
3,9:39.0,A. Aminu makes 2-pt layup from 2 ft,,51,57
3,9:22.0,,D. Collison misses 2-pt jump shot from 17 ft,51,57
3,9:20.0,Defensive rebound by A. Aminu,,51,57
3,9:10.0,D. Lillard makes 3-pt jump shot from 29 ft,,54,57
3,8:55.0,,Turnover by B. Bogdanović (bad pass; steal by A. Aminu),54,57
3,8:49.0,Turnover by A. Aminu (traveling),,54,57
3,8:37.0,,Turnover by V. Oladipo (out of bounds lost ball),54,57
3,8:27.0,Personal foul by V. Oladipo (drawn by C. McCollum),,54,57
3,8:21.0,D. Lillard misses 3-pt jump shot from 27 ft,,54,57
3,8:18.0,,Defensive rebound by V. Oladipo,54,57
3,8:08.0,,V. Oladipo misses 2-pt jump shot from 19 ft,54,57
3,8:06.0,Defensive rebound by J. Layman,,54,57
3,8:02.0,Personal foul by V. Oladipo (drawn by C. McCollum),,54,57
3,7:56.0,C. McCollum misses 3-pt jump shot from 28 ft,,54,57
3,7:52.0,Offensive rebound by A. Aminu,,54,57
3,7:50.0,D. Lillard misses 3-pt jump shot from 27 ft,,54,57
3,7:47.0,,Defensive rebound by M. Turner,54,57
3,7:28.0,,M. Turner misses 2-pt jump shot from 20 ft,54,57
3,7:26.0,,Offensive rebound by Team,54,57
3,7:26.0,Loose ball foul by D. Lillard (drawn by T. Young),,54,57
3,7:14.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),54,59
3,6:55.0,J. Nurkić misses 3-pt jump shot from 27 ft,,54,59
3,6:52.0,,Defensive rebound by V. Oladipo,54,59
3,6:40.0,,D. Collison makes 2-pt jump shot from 17 ft,54,61
3,6:19.0,J. Nurkić makes 3-pt jump shot from 28 ft (assist by J. Layman),,57,61
3,5:57.0,,T. Young misses 2-pt jump shot from 16 ft,57,61
3,5:56.0,,Offensive rebound by M. Turner,57,61
3,5:56.0,,Shooting foul by J. Layman (drawn by M. Turner),57,61
3,5:56.0,,Indiana full timeout,57,61
3,5:56.0,,M. Turner misses free throw 1 of 2,57,61
3,5:56.0,,Offensive rebound by Team,57,61
3,5:56.0,,M. Turner misses free throw 2 of 2,57,61
3,5:53.0,Defensive rebound by J. Nurkić,,57,61
3,5:40.0,Shooting foul by M. Turner (drawn by D. Lillard),,57,61
3,5:40.0,D. Lillard makes free throw 1 of 2,,58,61
3,5:40.0,E. Turner enters the game for J. Layman,,58,61
3,5:40.0,D. Lillard makes free throw 2 of 2,,59,61
3,5:30.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,59,61
3,5:27.0,,Offensive rebound by Team,59,61
3,5:15.0,,D. Collison makes 2-pt jump shot from 20 ft,59,63
3,5:02.0,E. Turner makes 2-pt layup from 2 ft (assist by J. Nurkić),,61,63
3,4:46.0,,T. Young misses 2-pt jump shot from 4 ft,61,63
3,4:43.0,Defensive rebound by J. Nurkić,,61,63
3,4:42.0,Turnover by D. Lillard (bad pass),,61,63
3,4:31.0,,M. Turner misses 2-pt jump shot from 11 ft,61,63
3,4:27.0,Defensive rebound by J. Nurkić,,61,63
3,4:24.0,Personal foul by B. Bogdanović (drawn by D. Lillard),,61,63
3,4:24.0,D. Lillard makes free throw 1 of 2,,62,63
3,4:24.0,S. Curry enters the game for C. McCollum,,62,63
3,4:24.0,,D. Sabonis enters the game for T. Young,62,63
3,4:24.0,D. Lillard makes free throw 2 of 2,,63,63
3,4:07.0,,V. Oladipo misses 3-pt jump shot from 27 ft,63,63
3,4:04.0,Defensive rebound by S. Curry,,63,63
3,3:54.0,J. Nurkić misses 2-pt jump shot from 2 ft,,63,63
3,3:51.0,,Defensive rebound by D. Sabonis,63,63
3,3:45.0,,V. Oladipo misses 3-pt jump shot from 28 ft,63,63
3,3:43.0,,Offensive rebound by D. Collison,63,63
3,3:35.0,,V. Oladipo misses 2-pt jump shot from 18 ft,63,63
3,3:32.0,Defensive rebound by E. Turner,,63,63
3,3:20.0,E. Turner makes 2-pt jump shot from 12 ft,,65,63
3,2:59.0,,D. Collison makes 2-pt jump shot from 22 ft,65,65
3,2:55.0,Portland full timeout,,65,65
3,2:55.0,Z. Collins enters the game for D. Lillard,,65,65
3,2:55.0,N. Stauskas enters the game for J. Nurkić,,65,65
3,2:55.0,,T. Evans enters the game for B. Bogdanović,65,65
3,2:55.0,,C. Joseph enters the game for V. Oladipo,65,65
3,2:36.0,Z. Collins makes 2-pt hook shot from 4 ft,,67,65
3,2:17.0,,Turnover by D. Sabonis (3 sec),67,65
3,2:02.0,Turnover by N. Stauskas (lost ball; steal by M. Turner),,67,65
3,1:48.0,,Personal foul by A. Aminu (drawn by D. Sabonis),67,65
3,1:48.0,C. Swanigan enters the game for A. Aminu,,67,65
3,1:48.0,,B. Bogdanović enters the game for D. Collison,67,65
3,1:48.0,,D. McDermott enters the game for M. Turner,67,65
3,1:34.0,,T. Evans misses 2-pt layup from 4 ft,67,65
3,1:29.0,Defensive rebound by E. Turner,,67,65
3,1:24.0,Shooting foul by D. McDermott (drawn by Z. Collins),,67,65
3,1:24.0,Z. Collins makes free throw 1 of 2,,68,65
3,1:24.0,Z. Collins makes free throw 2 of 2,,69,65
3,1:13.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,69,65
3,1:11.0,Defensive rebound by E. Turner,,69,65
3,0:58.0,Turnover by C. Swanigan (traveling),,69,65
3,0:41.0,,Shooting foul by C. Swanigan (drawn by B. Bogdanović),69,65
3,0:41.0,,B. Bogdanović makes free throw 1 of 2,69,66
3,0:41.0,D. Lillard enters the game for C. Swanigan,,69,66
3,0:41.0,,D. Collison enters the game for D. McDermott,69,66
3,0:41.0,,B. Bogdanović makes free throw 2 of 2,69,67
3,0:34.0,Turnover by D. Lillard (bad pass; steal by D. Collison),,69,67
3,0:30.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),69,69
3,0:09.0,Z. Collins makes 2-pt dunk from 2 ft (assist by D. Lillard),,71,69
3,0:00.0,,D. Collison misses 2-pt jump shot from 16 ft,71,69
3,0:00.0,,Offensive rebound by Team,71,69
4,11:49.0,Personal foul by C. Joseph (drawn by C. Swanigan),,71,69
4,11:44.0,Personal foul by T. Evans (drawn by C. Swanigan),,71,69
4,11:36.0,E. Turner misses 2-pt jump shot from 17 ft,,71,69
4,11:31.0,,Defensive rebound by D. Sabonis,71,69
4,11:27.0,,Turnover by T. Evans (bad pass),71,69
4,11:09.0,C. Swanigan misses 2-pt jump shot from 7 ft,,71,69
4,11:09.0,,Defensive rebound by Team,71,69
4,11:09.0,Loose ball foul by C. Swanigan (drawn by D. Sabonis),,71,69
4,10:57.0,,D. McDermott misses 3-pt jump shot from 27 ft,71,69
4,10:55.0,Defensive rebound by E. Turner,,71,69
4,10:49.0,S. Curry misses 3-pt jump shot from 27 ft,,71,69
4,10:45.0,,Defensive rebound by D. Sabonis,71,69
4,10:39.0,,C. Joseph misses 2-pt jump shot from 22 ft,71,69
4,10:37.0,Defensive rebound by C. Swanigan,,71,69
4,10:27.0,Z. Collins makes 2-pt dunk from 1 ft (assist by N. Stauskas),,73,69
4,10:02.0,,D. Sabonis misses 2-pt layup from 6 ft,73,69
4,10:00.0,Defensive rebound by E. Turner,,73,69
4,9:56.0,S. Curry misses 2-pt jump shot from 18 ft,,73,69
4,9:53.0,,Defensive rebound by D. Sabonis,73,69
4,9:48.0,,Turnover by T. Evans (bad pass; steal by E. Turner),73,69
4,9:44.0,E. Turner misses 2-pt layup from 2 ft (block by T. Evans),,73,69
4,9:42.0,Offensive rebound by E. Turner,,73,69
4,9:42.0,Shooting foul by D. McDermott (drawn by C. Swanigan),,73,69
4,9:42.0,C. Swanigan makes free throw 1 of 2,,74,69
4,9:42.0,,T. Young enters the game for B. Bogdanović,74,69
4,9:42.0,C. Swanigan makes free throw 2 of 2,,75,69
4,9:27.0,,Turnover by D. Sabonis (traveling),75,69
4,9:13.0,Turnover by S. Curry (bad pass; steal by T. Young),,75,69
4,9:09.0,,Shooting foul by E. Turner (drawn by T. Evans),75,69
4,9:09.0,,T. Evans makes free throw 1 of 2,75,70
4,9:09.0,,T. Evans makes free throw 2 of 2,75,71
4,9:03.0,Personal foul by D. McDermott (drawn by S. Curry),,75,71
4,8:55.0,Z. Collins makes 2-pt jump shot from 9 ft (assist by N. Stauskas),,77,71
4,8:49.0,,Indiana full timeout,77,71
4,8:49.0,,D. Collison enters the game for T. Evans,77,71
4,8:49.0,,V. Oladipo enters the game for D. McDermott,77,71
4,8:39.0,,T. Young misses 2-pt layup from 6 ft,77,71
4,8:38.0,Defensive rebound by Z. Collins,,77,71
4,8:31.0,Z. Collins makes 2-pt layup from 3 ft (assist by N. Stauskas),,79,71
4,8:19.0,,V. Oladipo makes 2-pt jump shot from 16 ft,79,73
4,8:05.0,Turnover by N. Stauskas (bad pass; steal by T. Young),,79,73
4,8:03.0,,Shooting foul by Z. Collins (drawn by T. Young),79,73
4,8:03.0,,T. Young makes free throw 1 of 2,79,74
4,8:03.0,A. Aminu enters the game for C. Swanigan,,79,74
4,8:03.0,,B. Bogdanović enters the game for C. Joseph,79,74
4,8:03.0,,T. Young misses free throw 2 of 2,79,74
4,8:00.0,Defensive rebound by E. Turner,,79,74
4,7:42.0,A. Aminu makes 2-pt jump shot from 8 ft,,81,74
4,7:26.0,,D. Sabonis makes 2-pt jump shot from 6 ft (assist by V. Oladipo),81,76
4,7:11.0,E. Turner makes 3-pt jump shot from 28 ft (assist by S. Curry),,84,76
4,6:54.0,,V. Oladipo makes 2-pt jump shot from 17 ft,84,78
4,6:38.0,Shooting foul by D. Sabonis (drawn by N. Stauskas),,84,78
4,6:38.0,N. Stauskas makes free throw 1 of 2,,85,78
4,6:38.0,D. Lillard enters the game for S. Curry,,85,78
4,6:38.0,C. McCollum enters the game for E. Turner,,85,78
4,6:38.0,,M. Turner enters the game for T. Young,85,78
4,6:38.0,N. Stauskas makes free throw 2 of 2,,86,78
4,6:25.0,,V. Oladipo misses 2-pt jump shot from 21 ft,86,78
4,6:24.0,,Offensive rebound by Team,86,78
4,6:17.0,,V. Oladipo misses 3-pt jump shot from 27 ft,86,78
4,6:13.0,Defensive rebound by C. McCollum,,86,78
4,6:07.0,N. Stauskas misses 3-pt jump shot from 24 ft,,86,78
4,6:04.0,,Defensive rebound by M. Turner,86,78
4,5:59.0,,Personal foul by Z. Collins (drawn by D. Sabonis),86,78
4,5:59.0,E. Turner enters the game for N. Stauskas,,86,78
4,5:48.0,,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Collison),86,80
4,5:31.0,D. Lillard makes 2-pt jump shot from 20 ft (assist by E. Turner),,88,80
4,5:11.0,,D. Collison misses 3-pt jump shot from 24 ft,88,80
4,5:09.0,Defensive rebound by E. Turner,,88,80
4,5:03.0,Z. Collins makes 3-pt jump shot from 28 ft (assist by E. Turner),,91,80
4,4:54.0,,Indiana full timeout,91,80
4,4:46.0,,V. Oladipo makes 2-pt jump shot from 20 ft,91,82
4,4:25.0,E. Turner misses 2-pt jump shot from 17 ft,,91,82
4,4:21.0,,Defensive rebound by V. Oladipo,91,82
4,4:14.0,,Personal foul by A. Aminu (drawn by D. Sabonis),91,82
4,4:14.0,,D. Sabonis makes free throw 1 of 2,91,83
4,4:14.0,,D. Sabonis makes free throw 2 of 2,91,84
4,4:01.0,E. Turner makes 2-pt jump shot from 6 ft,,93,84
4,4:01.0,Shooting foul by B. Bogdanović (drawn by E. Turner),,93,84
4,4:01.0,,T. Young enters the game for D. Sabonis,93,84
4,4:01.0,E. Turner misses free throw 1 of 1,,93,84
4,4:01.0,,Defensive rebound by T. Young,93,84
4,3:49.0,,V. Oladipo misses 2-pt jump shot from 5 ft,93,84
4,3:49.0,,Offensive rebound by Team,93,84
4,3:48.0,,Shooting foul by D. Lillard (drawn by B. Bogdanović),93,84
4,3:48.0,,B. Bogdanović makes free throw 1 of 2,93,85
4,3:48.0,Portland full timeout,,93,85
4,3:48.0,,B. Bogdanović makes free throw 2 of 2,93,86
4,3:27.0,A. Aminu misses 3-pt jump shot from 25 ft,,93,86
4,3:23.0,,Defensive rebound by M. Turner,93,86
