QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
1,7:42.0,S. Curry misses 3-pt jump shot from 25 ft,,7,13
1,7:38.0,,Defensive rebound by A. Gordon,7,13
1,7:25.0,,N. Vučević misses 2-pt jump shot from 12 ft,7,13
1,7:21.0,Defensive rebound by D. Cousins,,7,13
1,7:05.0,A. McKinnie misses 2-pt jump shot from 23 ft,,7,13
1,7:03.0,,Defensive rebound by A. Gordon,7,13
1,6:53.0,,Personal foul by D. Green (drawn by A. Gordon),7,13
1,6:42.0,,Shooting foul by D. Cousins (drawn by N. Vučević),7,13
1,6:42.0,,N. Vučević makes free throw 1 of 2,7,14
1,6:42.0,,N. Vučević makes free throw 2 of 2,7,15
1,6:32.0,S. Curry makes 2-pt jump shot from 14 ft,,9,15
1,6:08.0,,D. Augustin makes 2-pt layup from 2 ft,9,17
1,6:04.0,Personal foul by E. Fournier (drawn by K. Thompson),,9,17
1,6:04.0,J. Jerebko enters the game for A. McKinnie,,9,17
1,6:04.0,,W. Iwundu enters the game for A. Gordon,9,17
1,5:56.0,S. Curry misses 3-pt jump shot from 26 ft,,9,17
1,5:55.0,Offensive rebound by J. Jerebko,,9,17
1,5:49.0,Shooting foul by D. Augustin (drawn by S. Curry),,9,17
1,5:49.0,S. Curry makes free throw 1 of 3,,10,17
1,5:49.0,S. Curry makes free throw 2 of 3,,11,17
1,5:49.0,J. Bell enters the game for D. Green,,11,17
1,5:49.0,S. Curry makes free throw 3 of 3,,12,17
1,5:32.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by N. Vučević),12,20
1,5:20.0,K. Thompson misses 2-pt jump shot from 8 ft,,12,20
1,5:20.0,,Defensive rebound by Team,12,20
1,5:03.0,,E. Fournier misses 2-pt jump shot from 13 ft,12,20
1,5:00.0,Defensive rebound by J. Bell,,12,20
1,4:54.0,D. Cousins misses 2-pt layup from 7 ft,,12,20
1,4:50.0,,Defensive rebound by W. Iwundu,12,20
1,4:46.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by W. Iwundu),12,23
1,4:33.0,S. Curry makes 3-pt jump shot from 25 ft,,15,23
1,4:12.0,,N. Vučević misses 2-pt jump shot from 10 ft,15,23
1,4:09.0,Defensive rebound by D. Cousins,,15,23
1,4:06.0,Offensive foul by S. Curry (drawn by D. Augustin),,15,23
1,4:06.0,Turnover by S. Curry (offensive foul),,15,23
1,4:06.0,S. Livingston enters the game for D. Cousins,,15,23
1,4:06.0,,I. Briscoe enters the game for D. Augustin,15,23
1,4:06.0,,T. Ross enters the game for E. Fournier,15,23
1,4:01.0,,Offensive foul by J. Isaac (drawn by S. Curry),15,23
1,4:01.0,,Turnover by J. Isaac (offensive foul),15,23
1,4:01.0,D. Lee enters the game for K. Thompson,,15,23
1,3:51.0,S. Curry makes 3-pt jump shot from 26 ft,,18,23
1,3:42.0,,Orlando full timeout,18,23
1,3:34.0,,Turnover by T. Ross (out of bounds lost ball),18,23
1,3:21.0,Turnover by J. Bell (bad pass),,18,23
1,3:10.0,,W. Iwundu misses 3-pt jump shot from 24 ft,18,23
1,3:05.0,Defensive rebound by Team,,18,23
1,3:05.0,,K. Birch enters the game for J. Isaac,18,23
1,3:05.0,,A. Gordon enters the game for N. Vučević,18,23
1,3:01.0,S. Curry misses 3-pt jump shot from 26 ft,,18,23
1,2:57.0,,Defensive rebound by T. Ross,18,23
1,2:38.0,,I. Briscoe misses 2-pt hook shot from 4 ft,18,23
1,2:36.0,Defensive rebound by S. Curry,,18,23
1,2:29.0,Personal foul by T. Ross (drawn by J. Jerebko),,18,23
1,2:24.0,D. Lee misses 3-pt jump shot from 27 ft,,18,23
1,2:21.0,,Defensive rebound by A. Gordon,18,23
1,2:12.0,,Shooting foul by J. Bell (drawn by K. Birch),18,23
1,2:12.0,,K. Birch misses free throw 1 of 2,18,23
1,2:12.0,,Offensive rebound by Team,18,23
1,2:12.0,,K. Birch makes free throw 2 of 2,18,24
1,1:53.0,Turnover by S. Livingston (bad pass; steal by T. Ross),,18,24
1,1:49.0,,W. Iwundu makes 2-pt jump shot from 5 ft (assist by T. Ross),18,26
1,1:35.0,J. Jerebko misses 3-pt jump shot from 27 ft,,18,26
1,1:31.0,,Defensive rebound by W. Iwundu,18,26
1,1:28.0,,Turnover by W. Iwundu (out of bounds lost ball),18,26
1,1:12.0,S. Curry makes 2-pt layup from 3 ft,,20,26
1,0:50.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by T. Ross),20,28
1,0:42.0,S. Curry makes 2-pt layup from 2 ft,,22,28
1,0:24.0,,T. Ross misses 3-pt jump shot from 27 ft,22,28
1,0:22.0,Defensive rebound by J. Bell,,22,28
1,0:05.0,S. Curry misses 3-pt jump shot from 27 ft,,22,28
1,0:02.0,,Defensive rebound by A. Gordon,22,28
2,11:37.0,D. Cousins makes 2-pt layup from 2 ft,,24,28
2,11:20.0,,Offensive foul by T. Ross (drawn by S. Livingston),24,28
2,11:20.0,,Turnover by T. Ross (offensive foul),24,28
2,11:12.0,Offensive foul by D. Cousins (drawn by K. Birch),,24,28
2,11:12.0,Turnover by D. Cousins (offensive foul),,24,28
2,11:02.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by K. Birch),24,31
2,10:48.0,K. Thompson misses 3-pt jump shot from 25 ft,,24,31
2,10:45.0,,Defensive rebound by I. Briscoe,24,31
2,10:42.0,,E. Fournier misses 2-pt jump shot from 12 ft,24,31
2,10:39.0,Defensive rebound by D. Cousins,,24,31
2,10:35.0,Shooting foul by K. Birch (drawn by D. Cousins),,24,31
2,10:35.0,D. Cousins makes free throw 1 of 2,,25,31
2,10:35.0,D. Cousins makes free throw 2 of 2,,26,31
2,10:25.0,,K. Birch makes 2-pt layup from 2 ft (assist by T. Ross),26,33
2,10:09.0,D. Green misses 3-pt jump shot from 27 ft,,26,33
2,10:06.0,,Defensive rebound by I. Briscoe,26,33
2,10:03.0,,A. Gordon makes 2-pt layup from 2 ft (assist by E. Fournier),26,35
2,9:47.0,K. Thompson misses 2-pt jump shot from 19 ft,,26,35
2,9:45.0,,Defensive rebound by E. Fournier,26,35
2,9:39.0,,E. Fournier misses 2-pt jump shot from 19 ft,26,35
2,9:36.0,Defensive rebound by Q. Cook,,26,35
2,9:31.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by Q. Cook),,29,35
2,9:13.0,,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),29,37
2,9:13.0,Golden State full timeout,,29,37
2,8:58.0,D. Cousins makes 2-pt layup from 2 ft,,31,37
2,8:41.0,,E. Fournier misses 2-pt layup from 1 ft,31,37
2,8:41.0,Defensive rebound by D. Cousins,,31,37
2,8:31.0,D. Cousins misses 3-pt jump shot from 25 ft,,31,37
2,8:26.0,,Defensive rebound by I. Briscoe,31,37
2,8:20.0,,Shooting foul by K. Thompson (drawn by I. Briscoe),31,37
2,8:20.0,,I. Briscoe makes free throw 1 of 2,31,38
2,8:20.0,A. McKinnie enters the game for S. Livingston,,31,38
2,8:20.0,,I. Briscoe makes free throw 2 of 2,31,39
2,8:07.0,K. Thompson misses 3-pt jump shot from 27 ft,,31,39
2,8:05.0,,Defensive rebound by I. Briscoe,31,39
2,8:00.0,,T. Ross misses 3-pt jump shot from 25 ft,31,39
2,7:56.0,Defensive rebound by D. Cousins,,31,39
2,7:50.0,Personal foul by I. Briscoe (drawn by K. Thompson),,31,39
2,7:50.0,K. Looney enters the game for D. Cousins,,31,39
2,7:50.0,,J. Isaac enters the game for E. Fournier,31,39
2,7:50.0,,W. Iwundu enters the game for A. Gordon,31,39
2,7:44.0,K. Thompson misses 3-pt jump shot from 25 ft,,31,39
2,7:42.0,,Defensive rebound by I. Briscoe,31,39
2,7:36.0,,K. Birch makes 2-pt dunk from 1 ft (assist by I. Briscoe),31,41
2,7:14.0,A. McKinnie makes 2-pt layup from 2 ft,,33,41
2,6:59.0,,T. Ross misses 3-pt jump shot from 26 ft,33,41
2,6:58.0,Defensive rebound by Q. Cook,,33,41
2,6:54.0,A. McKinnie misses 2-pt layup from 2 ft (block by I. Briscoe),,33,41
2,6:54.0,Offensive rebound by Team,,33,41
2,6:54.0,S. Curry enters the game for Q. Cook,,33,41
2,6:54.0,,N. Vučević enters the game for K. Birch,33,41
2,6:44.0,K. Looney misses 2-pt layup from 7 ft (block by J. Isaac),,33,41
2,6:38.0,Offensive rebound by K. Thompson,,33,41
2,6:37.0,K. Thompson makes 2-pt jump shot from 14 ft,,35,41
2,6:24.0,,I. Briscoe misses 2-pt jump shot from 15 ft,35,41
2,6:24.0,,Offensive rebound by I. Briscoe,35,41
2,6:20.0,,T. Ross misses 3-pt jump shot from 27 ft,35,41
2,6:20.0,Defensive rebound by D. Green,,35,41
2,6:12.0,A. McKinnie misses 2-pt layup from 2 ft,,35,41
2,6:07.0,Offensive rebound by A. McKinnie,,35,41
2,6:07.0,A. McKinnie makes 2-pt layup from 1 ft,,37,41
2,5:56.0,,Shooting foul by K. Looney (drawn by W. Iwundu),37,41
2,5:56.0,,W. Iwundu makes free throw 1 of 2,37,42
2,5:56.0,,D. Augustin enters the game for I. Briscoe,37,42
2,5:56.0,,W. Iwundu makes free throw 2 of 2,37,43
2,5:44.0,S. Curry misses 2-pt jump shot from 22 ft (block by D. Augustin),,37,43
2,5:41.0,Offensive rebound by D. Green,,37,43
2,5:36.0,S. Curry makes 2-pt layup from 2 ft,,39,43
2,5:13.0,,N. Vučević misses 2-pt jump shot from 19 ft,39,43
2,5:10.0,Defensive rebound by D. Green,,39,43
2,5:05.0,K. Thompson misses 3-pt jump shot from 25 ft,,39,43
2,5:02.0,,Defensive rebound by J. Isaac,39,43
2,5:00.0,,Offensive foul by J. Isaac (drawn by D. Green),39,43
2,5:00.0,,Turnover by J. Isaac (offensive foul),39,43
2,5:00.0,J. Jerebko enters the game for K. Thompson,,39,43
2,4:48.0,Turnover by K. Looney (bad pass; steal by D. Augustin),,39,43
2,4:44.0,,D. Augustin misses 2-pt layup from 1 ft,39,43
2,4:43.0,,Offensive rebound by J. Isaac,39,43
2,4:43.0,,J. Isaac makes 2-pt layup from 1 ft,39,45
2,4:43.0,,Shooting foul by J. Jerebko (drawn by J. Isaac),39,45
2,4:43.0,Golden State full timeout,,39,45
2,4:43.0,,J. Isaac misses free throw 1 of 1,39,45
2,4:40.0,Defensive rebound by J. Jerebko,,39,45
2,4:34.0,S. Curry misses 3-pt jump shot from 25 ft,,39,45
2,4:31.0,,Defensive rebound by N. Vučević,39,45
2,4:18.0,,N. Vučević makes 2-pt jump shot from 4 ft,39,47
2,4:18.0,,E. Fournier enters the game for T. Ross,39,47
2,3:59.0,S. Curry misses 2-pt jump shot from 16 ft,,39,47
2,3:56.0,Offensive rebound by S. Curry,,39,47
2,3:54.0,J. Jerebko makes 2-pt jump shot from 8 ft (assist by S. Curry),,41,47
2,3:40.0,,D. Augustin makes 2-pt jump shot from 13 ft,41,49
2,3:29.0,Personal foul by J. Isaac (drawn by S. Curry),,41,49
2,3:29.0,D. Cousins enters the game for K. Looney,,41,49
2,3:29.0,K. Thompson enters the game for A. McKinnie,,41,49
2,3:29.0,,A. Gordon enters the game for J. Isaac,41,49
2,3:23.0,S. Curry makes 2-pt jump shot from 19 ft,,43,49
2,2:59.0,,N. Vučević misses 2-pt hook shot from 5 ft,43,49
2,2:57.0,Defensive rebound by D. Green,,43,49
2,2:50.0,D. Green misses 2-pt layup from 5 ft (block by A. Gordon),,43,49
2,2:50.0,,Defensive rebound by Team,43,49
2,2:40.0,,E. Fournier makes 2-pt jump shot from 11 ft (assist by N. Vučević),43,51
2,2:22.0,Shooting foul by N. Vučević (drawn by D. Cousins),,43,51
2,2:22.0,D. Cousins misses free throw 1 of 2,,43,51
2,2:22.0,Offensive rebound by Team,,43,51
2,2:22.0,D. Cousins makes free throw 2 of 2,,44,51
2,2:12.0,,N. Vučević misses 2-pt jump shot from 15 ft,44,51
2,2:08.0,Defensive rebound by S. Curry,,44,51
2,2:01.0,J. Jerebko misses 2-pt layup from 3 ft,,44,51
2,1:59.0,,Defensive rebound by N. Vučević,44,51
2,1:50.0,,N. Vučević misses 2-pt jump shot from 8 ft (block by D. Cousins),44,51
2,1:46.0,,Offensive rebound by N. Vučević,44,51
2,1:38.0,,E. Fournier misses 3-pt jump shot from 25 ft,44,51
2,1:37.0,Defensive rebound by S. Curry,,44,51
2,1:31.0,K. Thompson makes 2-pt jump shot from 18 ft,,46,51
2,1:15.0,,D. Augustin makes 3-pt jump shot from 25 ft,46,54
2,1:03.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),,48,54
2,0:44.0,,N. Vučević misses 2-pt jump shot from 22 ft,48,54
2,0:42.0,Defensive rebound by S. Curry,,48,54
2,0:36.0,S. Curry misses 2-pt layup from 5 ft (block by E. Fournier),,48,54
2,0:33.0,,Defensive rebound by N. Vučević,48,54
2,0:31.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by N. Vučević),48,57
2,0:07.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,51,57
2,0:00.0,,A. Gordon makes 2-pt jump shot from 15 ft (assist by D. Augustin),51,59
3,11:46.0,Turnover by S. Curry (step out of bounds),,51,59
3,11:32.0,,E. Fournier misses 2-pt layup from 2 ft,51,59
3,11:31.0,Defensive rebound by Team,,51,59
3,11:22.0,S. Curry misses 3-pt jump shot from 25 ft (block by D. Augustin),,51,59
3,11:19.0,,Defensive rebound by N. Vučević,51,59
3,11:10.0,,Offensive foul by D. Augustin (drawn by S. Curry),51,59
3,11:10.0,,Turnover by D. Augustin (offensive foul),51,59
3,10:57.0,D. Green makes 3-pt jump shot from 26 ft (assist by D. Cousins),,54,59
3,10:43.0,,N. Vučević misses 3-pt jump shot from 26 ft,54,59
3,10:41.0,Defensive rebound by K. Thompson,,54,59
3,10:38.0,,Violation by Team (kicked ball),54,59
3,10:28.0,Turnover by A. McKinnie (off goaltending),,54,59
3,10:09.0,,A. Gordon misses 3-pt jump shot from 24 ft,54,59
3,10:05.0,Defensive rebound by D. Cousins,,54,59
3,9:59.0,D. Cousins makes 2-pt jump shot from 2 ft,,56,59
3,9:41.0,,D. Augustin misses 3-pt jump shot from 25 ft,56,59
3,9:39.0,,Offensive rebound by N. Vučević,56,59
3,9:33.0,,Turnover by A. Gordon (bad pass; steal by A. McKinnie),56,59
3,9:26.0,K. Thompson misses 3-pt jump shot from 23 ft,,56,59
3,9:22.0,,Defensive rebound by N. Vučević,56,59
3,9:14.0,,D. Augustin makes 2-pt jump shot from 5 ft,56,61
3,8:53.0,D. Cousins makes 2-pt layup from 2 ft (assist by A. McKinnie),,58,61
3,8:39.0,,Turnover by J. Isaac (bad pass),58,61
3,8:23.0,A. McKinnie misses 3-pt jump shot from 24 ft,,58,61
3,8:19.0,,Defensive rebound by E. Fournier,58,61
3,8:04.0,,J. Isaac misses 3-pt jump shot from 26 ft,58,61
3,8:01.0,Defensive rebound by Team,,58,61
3,7:48.0,Shooting foul by N. Vučević (drawn by D. Cousins),,58,61
3,7:48.0,D. Cousins makes free throw 1 of 2,,59,61
3,7:48.0,D. Cousins makes free throw 2 of 2,,60,61
3,7:30.0,,D. Augustin misses 2-pt layup from 1 ft,60,61
3,7:28.0,Defensive rebound by D. Cousins,,60,61
3,7:20.0,S. Curry misses 2-pt layup from 3 ft,,60,61
3,7:18.0,,Defensive rebound by N. Vučević,60,61
3,7:10.0,,N. Vučević makes 2-pt layup from 3 ft (assist by E. Fournier),60,63
3,6:57.0,K. Thompson misses 2-pt layup from 2 ft (block by N. Vučević),,60,63
3,6:51.0,,Defensive rebound by N. Vučević,60,63
3,6:45.0,,Turnover by N. Vučević (bad pass; steal by D. Cousins),60,63
3,6:39.0,D. Cousins makes 2-pt layup from 2 ft,,62,63
3,6:37.0,,Technical foul by N. Vučević,62,63
3,6:37.0,S. Curry makes technical free throw,,63,63
3,6:37.0,,Orlando full timeout,63,63
3,6:24.0,,A. Gordon misses 2-pt jump shot from 18 ft,63,63
3,6:22.0,,Offensive rebound by A. Gordon,63,63
3,6:14.0,,N. Vučević misses 2-pt jump shot from 16 ft,63,63
3,6:11.0,Defensive rebound by D. Cousins,,63,63
3,6:09.0,D. Green makes 2-pt layup from 1 ft (assist by D. Cousins),,65,63
3,5:43.0,,E. Fournier misses 3-pt jump shot from 24 ft,65,63
3,5:41.0,Defensive rebound by D. Cousins,,65,63
3,5:17.0,D. Cousins makes 2-pt dunk from 1 ft (assist by A. McKinnie),,67,63
3,4:57.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),67,66
3,4:39.0,K. Thompson makes 2-pt layup from 1 ft,,69,66
3,4:20.0,,E. Fournier misses 2-pt jump shot from 15 ft,69,66
3,4:18.0,Defensive rebound by D. Green,,69,66
3,4:09.0,Turnover by S. Curry (traveling),,69,66
3,4:09.0,J. Bell enters the game for D. Cousins,,69,66
3,4:09.0,J. Jerebko enters the game for A. McKinnie,,69,66
3,4:09.0,,K. Birch enters the game for D. Augustin,69,66
3,4:09.0,,I. Briscoe enters the game for A. Gordon,69,66
3,4:09.0,,W. Iwundu enters the game for N. Vučević,69,66
3,3:48.0,,I. Briscoe misses 2-pt jump shot from 19 ft,69,66
3,3:44.0,Defensive rebound by K. Thompson,,69,66
3,3:37.0,S. Curry makes 2-pt jump shot from 15 ft,,71,66
3,3:26.0,,E. Fournier misses 2-pt jump shot from 13 ft (block by J. Jerebko),71,66
3,3:26.0,Defensive rebound by Team,,71,66
3,3:26.0,S. Livingston enters the game for D. Green,,71,66
3,3:26.0,K. Looney enters the game for K. Thompson,,71,66
3,3:14.0,S. Curry makes 3-pt jump shot from 26 ft,,74,66
3,2:58.0,,K. Birch misses 2-pt hook shot from 5 ft,74,66
3,2:57.0,Defensive rebound by S. Curry,,74,66
3,2:54.0,S. Curry misses 3-pt jump shot from 30 ft,,74,66
3,2:49.0,Offensive rebound by J. Bell,,74,66
3,2:41.0,S. Curry makes 2-pt layup from 2 ft,,76,66
3,2:41.0,,Orlando full timeout,76,66
3,2:41.0,,A. Gordon enters the game for E. Fournier,76,66
3,2:41.0,,T. Ross enters the game for J. Isaac,76,66
3,2:23.0,,A. Gordon misses 2-pt hook shot from 11 ft,76,66
3,2:21.0,Defensive rebound by S. Curry,,76,66
3,2:17.0,S. Curry misses 2-pt layup from 2 ft (block by K. Birch),,76,66
3,2:14.0,Offensive rebound by J. Bell,,76,66
3,2:04.0,J. Jerebko misses 2-pt jump shot from 14 ft,,76,66
3,2:02.0,,Defensive rebound by I. Briscoe,76,66
3,2:01.0,Violation by Team (kicked ball),,76,66
3,1:56.0,,T. Ross misses 2-pt jump shot from 20 ft,76,66
3,1:53.0,Defensive rebound by S. Curry,,76,66
3,1:51.0,Personal foul by T. Ross (drawn by J. Bell),,76,66
3,1:47.0,S. Curry misses 3-pt jump shot from 26 ft,,76,66
3,1:44.0,,Defensive rebound by T. Ross,76,66
3,1:37.0,,T. Ross makes 2-pt layup from 2 ft,76,68
3,1:20.0,S. Curry misses 3-pt jump shot from 27 ft,,76,68
3,1:20.0,,Defensive rebound by I. Briscoe,76,68
3,1:04.0,,I. Briscoe misses 3-pt jump shot from 23 ft,76,68
3,1:01.0,Defensive rebound by J. Bell,,76,68
3,0:52.0,S. Curry makes 3-pt jump shot from 25 ft (assist by J. Bell),,79,68
3,0:41.0,,T. Ross misses 3-pt jump shot from 25 ft,79,68
3,0:38.0,,Offensive rebound by I. Briscoe,79,68
3,0:35.0,,A. Gordon misses 3-pt jump shot from 26 ft,79,68
3,0:32.0,Defensive rebound by K. Looney,,79,68
3,0:25.0,K. Looney misses 2-pt layup from 2 ft,,79,68
3,0:25.0,Offensive rebound by J. Bell,,79,68
3,0:25.0,J. Bell makes 2-pt dunk at rim,,81,68
3,0:05.0,,I. Briscoe makes 2-pt layup from 2 ft,81,70
3,0:00.0,S. Curry misses 3-pt jump shot from 34 ft,,81,70
3,0:00.0,Offensive rebound by Team,,81,70
4,11:45.0,,Turnover by K. Birch (bad pass; steal by D. Green),81,70
4,11:29.0,Turnover by S. Livingston (bad pass),,81,70
4,11:14.0,,T. Ross misses 3-pt jump shot from 25 ft,81,70
4,11:11.0,Defensive rebound by D. Cousins,,81,70
4,11:01.0,K. Thompson makes 2-pt jump shot from 15 ft,,83,70
4,10:40.0,,A. Gordon makes 2-pt jump shot from 18 ft,83,72
4,10:23.0,K. Thompson makes 2-pt layup from 4 ft (assist by D. Green),,85,72
4,10:05.0,,W. Iwundu misses 2-pt layup from 3 ft (block by D. Green),85,72
4,10:04.0,,Offensive rebound by W. Iwundu,85,72
4,10:03.0,,Turnover by W. Iwundu (lost ball; steal by Q. Cook),85,72
4,9:43.0,D. Cousins misses 2-pt jump shot from 11 ft,,85,72
4,9:42.0,,Defensive rebound by A. Gordon,85,72
4,9:42.0,,Personal take foul by D. Green (drawn by A. Gordon),85,72
4,9:26.0,,A. Gordon misses 3-pt jump shot from 22 ft,85,72
4,9:24.0,,Offensive rebound by A. Gordon,85,72
4,9:24.0,,Turnover by A. Gordon (step out of bounds),85,72
4,9:10.0,K. Thompson misses 2-pt jump shot from 18 ft,,85,72
4,9:07.0,,Defensive rebound by K. Birch,85,72
4,9:01.0,,I. Briscoe makes 2-pt layup from 5 ft,85,74
4,8:45.0,Q. Cook misses 3-pt jump shot from 22 ft,,85,74
4,8:40.0,,Defensive rebound by K. Birch,85,74
4,8:35.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),85,77
4,8:34.0,Golden State full timeout,,85,77
4,8:34.0,A. McKinnie enters the game for S. Livingston,,85,77
4,8:15.0,D. Cousins misses 2-pt layup from 1 ft,,85,77
4,8:13.0,,Defensive rebound by A. Gordon,85,77
4,8:11.0,,Personal foul by A. McKinnie (drawn by W. Iwundu),85,77
4,8:07.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),85,80
4,7:43.0,Turnover by D. Cousins (out of bounds lost ball),,85,80
4,7:29.0,,Turnover by I. Briscoe (bad pass; steal by A. McKinnie),85,80
4,7:26.0,Q. Cook makes 2-pt layup at rim (assist by A. McKinnie),,87,80
4,7:26.0,,Violation by Team (def goaltending),87,80
4,7:11.0,,I. Briscoe makes 2-pt layup from 1 ft,87,82
4,6:46.0,A. McKinnie misses 3-pt jump shot from 24 ft,,87,82
4,6:42.0,,Defensive rebound by T. Ross,87,82
4,6:37.0,,T. Ross misses 3-pt jump shot from 28 ft,87,82
4,6:35.0,Defensive rebound by Q. Cook,,87,82
4,6:29.0,Golden State full timeout,,87,82
4,6:29.0,J. Bell enters the game for Q. Cook,,87,82
4,6:29.0,S. Curry enters the game for D. Cousins,,87,82
4,6:29.0,J. Jerebko enters the game for K. Thompson,,87,82
4,6:29.0,,J. Isaac enters the game for K. Birch,87,82
4,6:29.0,,N. Vučević enters the game for A. Gordon,87,82
4,6:26.0,S. Curry misses 2-pt jump shot from 19 ft,,87,82
4,6:22.0,,Defensive rebound by N. Vučević,87,82
4,6:11.0,,J. Isaac makes 2-pt layup from 1 ft (assist by I. Briscoe),87,84
4,5:49.0,Turnover by J. Bell (bad pass),,87,84
4,5:36.0,,J. Isaac makes 2-pt dunk from 2 ft (assist by N. Vučević),87,86
4,5:24.0,S. Curry misses 3-pt jump shot from 27 ft,,87,86
4,5:22.0,,Defensive rebound by W. Iwundu,87,86
4,5:22.0,,Personal foul by A. McKinnie (drawn by W. Iwundu),87,86
4,5:22.0,,D. Augustin enters the game for I. Briscoe,87,86
4,5:09.0,,D. Augustin misses 3-pt jump shot from 24 ft,87,86
4,5:05.0,Defensive rebound by J. Bell,,87,86
4,4:55.0,J. Bell makes 2-pt dunk from 2 ft (assist by S. Curry),,89,86
4,4:38.0,,T. Ross misses 3-pt jump shot from 24 ft,89,86
4,4:36.0,Defensive rebound by J. Jerebko,,89,86
4,4:27.0,J. Jerebko misses 2-pt layup from 4 ft (block by N. Vučević),,89,86
4,4:24.0,,Defensive rebound by N. Vučević,89,86
4,4:21.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by W. Iwundu),89,89
4,4:07.0,S. Curry misses 2-pt jump shot from 19 ft,,89,89
4,4:03.0,,Defensive rebound by J. Isaac,89,89
4,3:53.0,,D. Augustin misses 3-pt jump shot from 28 ft,89,89
4,3:51.0,Defensive rebound by D. Green,,89,89
4,3:40.0,J. Bell makes 2-pt layup from 1 ft (assist by D. Green),,91,89
4,3:39.0,,Orlando full timeout,91,89
4,3:39.0,K. Thompson enters the game for A. McKinnie,,91,89
4,3:39.0,,A. Gordon enters the game for W. Iwundu,91,89
4,3:20.0,,J. Isaac misses 2-pt layup from 3 ft,91,89
4,3:18.0,Defensive rebound by J. Bell,,91,89
4,3:07.0,S. Curry makes 3-pt jump shot from 26 ft,,94,89
4,3:03.0,,Orlando full timeout,94,89
4,3:03.0,,E. Fournier enters the game for J. Isaac,94,89
4,2:49.0,,Shooting foul by J. Bell (drawn by N. Vučević),94,89
4,2:49.0,,N. Vučević makes free throw 1 of 2,94,90
4,2:49.0,D. Cousins enters the game for J. Bell,,94,90
4,2:49.0,,N. Vučević misses free throw 2 of 2,94,90
4,2:46.0,Defensive rebound by D. Cousins,,94,90
4,2:31.0,Turnover by D. Cousins (out of bounds lost ball),,94,90
4,2:10.0,,N. Vučević makes 2-pt hook shot from 4 ft,94,92
4,1:50.0,K. Thompson misses 3-pt jump shot from 25 ft,,94,92
4,1:48.0,,Defensive rebound by N. Vučević,94,92
4,1:41.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ross),94,95
