QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
1,7:25.0,Phoenix full timeout,,6,12
1,7:11.0,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Booker),,9,12
1,6:49.0,,Shooting foul by M. Bridges (drawn by D. Collison),9,12
1,6:49.0,,D. Collison makes free throw 1 of 2,9,13
1,6:49.0,,D. Collison makes free throw 2 of 2,9,14
1,6:28.0,D. Ayton makes 2-pt jump shot from 10 ft (assist by D. Booker),,11,14
1,6:20.0,,V. Oladipo makes 3-pt jump shot from 27 ft,11,17
1,6:03.0,Turnover by D. Melton (bad pass; steal by M. Turner),,11,17
1,6:03.0,J. Jackson enters the game for M. Bridges,,11,17
1,5:52.0,,M. Turner makes 2-pt layup from 6 ft (assist by B. Bogdanović),11,19
1,5:40.0,D. Melton misses 3-pt jump shot from 25 ft,,11,19
1,5:37.0,,Defensive rebound by B. Bogdanović,11,19
1,5:31.0,,V. Oladipo misses 2-pt layup from 5 ft (block by D. Melton),11,19
1,5:30.0,,Offensive rebound by T. Young,11,19
1,5:28.0,,T. Young makes 2-pt layup from 1 ft,11,21
1,5:11.0,D. Ayton misses 2-pt jump shot from 12 ft (block by T. Young),,11,21
1,5:11.0,Offensive rebound by Team,,11,21
1,5:10.0,Personal foul by D. Collison (drawn by D. Melton),,11,21
1,5:04.0,D. Booker makes 2-pt jump shot from 19 ft,,13,21
1,4:43.0,,D. Collison misses 2-pt jump shot from 18 ft,13,21
1,4:40.0,Defensive rebound by J. Jackson,,13,21
1,4:35.0,D. Ayton misses 2-pt layup from 1 ft,,13,21
1,4:34.0,Offensive rebound by D. Ayton,,13,21
1,4:34.0,D. Ayton misses 2-pt layup at rim,,13,21
1,4:34.0,,Defensive rebound by M. Turner,13,21
1,4:29.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),13,23
1,4:29.0,,Shooting foul by D. Melton (drawn by V. Oladipo),13,23
1,4:29.0,E. Okobo enters the game for D. Melton,,13,23
1,4:29.0,,V. Oladipo makes free throw 1 of 1,13,24
1,4:23.0,Personal foul by V. Oladipo (drawn by D. Booker),,13,24
1,4:09.0,Turnover by J. Jackson (bad pass; steal by D. Collison),,13,24
1,4:05.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,13,24
1,4:01.0,Defensive rebound by D. Ayton,,13,24
1,3:59.0,Offensive foul by J. Jackson (drawn by V. Oladipo),,13,24
1,3:59.0,Turnover by J. Jackson (offensive foul),,13,24
1,3:59.0,K. Oubre enters the game for D. Booker,,13,24
1,3:59.0,,D. Sabonis enters the game for T. Young,13,24
1,3:41.0,,Turnover by D. Collison (bad pass; steal by E. Okobo),13,24
1,3:38.0,J. Jackson makes 2-pt dunk from 1 ft (assist by E. Okobo),,15,24
1,3:29.0,,Indiana full timeout,15,24
1,3:29.0,,C. Joseph enters the game for B. Bogdanović,15,24
1,3:14.0,,Violation by Team (kicked ball),15,24
1,3:02.0,Turnover by J. Jackson (bad pass; steal by D. Collison),,15,24
1,2:58.0,,C. Joseph makes 3-pt jump shot from 23 ft (assist by D. Collison),15,27
1,2:38.0,T. Warren makes 2-pt jump shot from 16 ft,,17,27
1,2:24.0,,D. Sabonis misses 2-pt layup from 1 ft,17,27
1,2:21.0,Defensive rebound by T. Warren,,17,27
1,2:18.0,K. Oubre misses 3-pt jump shot from 26 ft,,17,27
1,2:16.0,,Defensive rebound by D. Collison,17,27
1,2:10.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by M. Turner),17,30
1,1:54.0,Offensive foul by D. Ayton (drawn by M. Turner),,17,30
1,1:54.0,Turnover by D. Ayton (offensive foul),,17,30
1,1:54.0,R. Holmes enters the game for D. Ayton,,17,30
1,1:54.0,,T. Evans enters the game for D. Collison,17,30
1,1:54.0,,T. Leaf enters the game for V. Oladipo,17,30
1,1:54.0,,D. McDermott enters the game for M. Turner,17,30
1,1:44.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),17,32
1,1:30.0,T. Warren misses 2-pt layup from 3 ft,,17,32
1,1:27.0,,Defensive rebound by C. Joseph,17,32
1,1:21.0,,T. Leaf misses 2-pt layup from 1 ft,17,32
1,1:21.0,Defensive rebound by T. Warren,,17,32
1,1:09.0,K. Oubre misses 2-pt layup from 2 ft,,17,32
1,1:06.0,,Defensive rebound by T. Evans,17,32
1,1:04.0,,Shooting foul by E. Okobo (drawn by T. Evans),17,32
1,1:04.0,,T. Evans makes free throw 1 of 2,17,33
1,1:04.0,,T. Evans makes free throw 2 of 2,17,34
1,0:51.0,K. Oubre makes 2-pt layup from 3 ft (assist by J. Jackson),,19,34
1,0:42.0,,T. Evans makes 2-pt layup from 1 ft,19,36
1,0:33.0,E. Okobo misses 3-pt jump shot from 30 ft,,19,36
1,0:30.0,,Defensive rebound by D. Sabonis,19,36
1,0:12.0,,C. Joseph misses 3-pt jump shot from 23 ft,19,36
1,0:09.0,Defensive rebound by J. Jackson,,19,36
1,0:04.0,Turnover by J. Jackson (out of bounds lost ball),,19,36
1,0:00.0,,C. Joseph makes 2-pt jump shot from 17 ft,19,38
2,11:46.0,Shooting foul by D. McDermott (drawn by J. Jackson),,19,38
2,11:46.0,J. Jackson makes free throw 1 of 2,,20,38
2,11:46.0,J. Jackson misses free throw 2 of 2,,20,38
2,11:44.0,,Defensive rebound by T. Evans,20,38
2,11:34.0,,D. McDermott misses 2-pt jump shot from 19 ft,20,38
2,11:31.0,Defensive rebound by K. Oubre,,20,38
2,11:24.0,Shooting foul by T. Leaf (drawn by K. Oubre),,20,38
2,11:24.0,K. Oubre misses free throw 1 of 2,,20,38
2,11:24.0,Offensive rebound by Team,,20,38
2,11:24.0,K. Oubre misses free throw 2 of 2,,20,38
2,11:22.0,,Defensive rebound by C. Joseph,20,38
2,11:13.0,,Turnover by T. Evans (lost ball),20,38
2,11:12.0,,Loose ball foul by T. Evans (drawn by J. Jackson),20,38
2,11:04.0,Personal foul by T. Evans (drawn by K. Oubre),,20,38
2,10:51.0,Shooting foul by D. Sabonis (drawn by E. Okobo),,20,38
2,10:51.0,E. Okobo makes free throw 1 of 2,,21,38
2,10:51.0,E. Okobo misses free throw 2 of 2,,21,38
2,10:49.0,,Defensive rebound by D. McDermott,21,38
2,10:33.0,,T. Evans misses 2-pt jump shot from 21 ft,21,38
2,10:31.0,Defensive rebound by Team,,21,38
2,10:19.0,J. Jackson misses 2-pt jump shot from 17 ft,,21,38
2,10:19.0,Offensive rebound by Team,,21,38
2,10:19.0,,Loose ball foul by D. Sabonis (drawn by R. Holmes),21,38
2,10:19.0,R. Holmes makes free throw 1 of 2,,22,38
2,10:19.0,R. Holmes makes free throw 2 of 2,,23,38
2,10:14.0,,Indiana full timeout,23,38
2,10:06.0,,Personal foul by J. Jackson (drawn by D. McDermott),23,38
2,9:56.0,,T. Leaf misses 2-pt hook shot from 9 ft,23,38
2,9:54.0,Defensive rebound by K. Oubre,,23,38
2,9:43.0,J. Jackson misses 2-pt layup at rim,,23,38
2,9:41.0,,Defensive rebound by C. Joseph,23,38
2,9:36.0,,Shooting foul by Q. Acy (drawn by D. Sabonis),23,38
2,9:36.0,,D. Sabonis makes free throw 1 of 2,23,39
2,9:36.0,,D. Sabonis misses free throw 2 of 2,23,39
2,9:34.0,Defensive rebound by R. Holmes,,23,39
2,9:21.0,K. Oubre makes 2-pt jump shot from 10 ft (assist by J. Jackson),,25,39
2,9:07.0,,D. McDermott misses 3-pt jump shot from 27 ft,25,39
2,9:06.0,,Offensive rebound by Team,25,39
2,9:06.0,,T. Young enters the game for T. Leaf,25,39
2,8:57.0,,T. Evans makes 2-pt layup from 3 ft (assist by D. McDermott),25,41
2,8:44.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by R. Holmes),,28,41
2,8:23.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),28,43
2,8:11.0,K. Oubre misses 3-pt jump shot from 26 ft,,28,43
2,8:04.0,Offensive rebound by R. Holmes,,28,43
2,7:59.0,Q. Acy misses 3-pt jump shot from 26 ft,,28,43
2,7:54.0,Offensive rebound by K. Oubre,,28,43
2,7:54.0,R. Holmes makes 2-pt dunk from 1 ft (assist by K. Oubre),,30,43
2,7:47.0,,Personal foul by K. Oubre (drawn by T. Evans),30,43
2,7:47.0,M. Bridges enters the game for Q. Acy,,30,43
2,7:47.0,,B. Bogdanović enters the game for T. Evans,30,43
2,7:47.0,,V. Oladipo enters the game for D. McDermott,30,43
2,7:36.0,,D. Sabonis misses 2-pt layup at rim,30,43
2,7:34.0,Defensive rebound by E. Okobo,,30,43
2,7:29.0,K. Oubre makes 2-pt jump shot from 6 ft (assist by E. Okobo),,32,43
2,7:06.0,,Personal foul by R. Holmes (drawn by D. Sabonis),32,43
2,7:06.0,D. Ayton enters the game for R. Holmes,,32,43
2,7:00.0,,B. Bogdanović misses 2-pt layup from 1 ft,32,43
2,6:57.0,Defensive rebound by D. Ayton,,32,43
2,6:49.0,J. Jackson misses 2-pt jump shot from 17 ft,,32,43
2,6:46.0,,Defensive rebound by D. Sabonis,32,43
2,6:32.0,,D. Sabonis makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),32,45
2,6:29.0,Phoenix full timeout,,32,45
2,6:29.0,T. Warren enters the game for J. Jackson,,32,45
2,6:29.0,,D. Collison enters the game for C. Joseph,32,45
2,6:29.0,,M. Turner enters the game for D. Sabonis,32,45
2,6:16.0,Personal foul by M. Turner (drawn by K. Oubre),,32,45
2,6:16.0,K. Oubre misses free throw 1 of 2,,32,45
2,6:16.0,Offensive rebound by Team,,32,45
2,6:16.0,K. Oubre misses free throw 2 of 2,,32,45
2,6:12.0,,Defensive rebound by B. Bogdanović,32,45
2,6:02.0,,Turnover by T. Young (lost ball; steal by T. Warren),32,45
2,5:57.0,E. Okobo misses 3-pt jump shot from 24 ft,,32,45
2,5:53.0,,Defensive rebound by T. Young,32,45
2,5:40.0,,D. Collison misses 2-pt jump shot from 19 ft,32,45
2,5:37.0,Defensive rebound by K. Oubre,,32,45
2,5:30.0,D. Ayton makes 2-pt hook shot from 5 ft (assist by K. Oubre),,34,45
2,5:20.0,,Shooting foul by D. Ayton (drawn by V. Oladipo),34,45
2,5:20.0,,V. Oladipo makes free throw 1 of 2,34,46
2,5:20.0,D. Booker enters the game for K. Oubre,,34,46
2,5:20.0,,V. Oladipo misses free throw 2 of 2,34,46
2,5:18.0,Defensive rebound by T. Warren,,34,46
2,5:06.0,E. Okobo makes 3-pt jump shot from 26 ft (assist by D. Booker),,37,46
2,4:40.0,,M. Turner misses 3-pt jump shot from 28 ft,37,46
2,4:37.0,Defensive rebound by M. Bridges,,37,46
2,4:29.0,D. Ayton makes 2-pt layup at rim (assist by E. Okobo),,39,46
2,4:18.0,,Personal foul by T. Warren (drawn by T. Young),39,46
2,4:18.0,,T. Young makes free throw 1 of 2,39,47
2,4:18.0,,T. Young makes free throw 2 of 2,39,48
2,4:03.0,D. Booker makes 2-pt jump shot from 15 ft,,41,48
2,3:50.0,,T. Young makes 2-pt hook shot from 5 ft,41,50
2,3:35.0,D. Ayton makes 2-pt layup from 3 ft (assist by D. Booker),,43,50
2,3:20.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),43,53
2,3:08.0,D. Booker misses 3-pt jump shot from 24 ft,,43,53
2,3:05.0,,Defensive rebound by T. Young,43,53
2,2:58.0,,Shooting foul by T. Warren (drawn by B. Bogdanović),43,53
2,2:58.0,,B. Bogdanović misses free throw 1 of 2,43,53
2,2:58.0,,Offensive rebound by Team,43,53
2,2:58.0,D. Melton enters the game for E. Okobo,,43,53
2,2:58.0,,B. Bogdanović makes free throw 2 of 2,43,54
2,2:40.0,T. Warren misses 3-pt jump shot from 27 ft,,43,54
2,2:37.0,,Defensive rebound by M. Turner,43,54
2,2:32.0,,M. Turner misses 3-pt jump shot from 27 ft,43,54
2,2:29.0,Defensive rebound by D. Booker,,43,54
2,2:23.0,T. Warren misses 2-pt layup from 2 ft,,43,54
2,2:21.0,,Defensive rebound by M. Turner,43,54
2,2:21.0,,Personal foul by T. Warren (drawn by M. Turner),43,54
2,2:21.0,Technical foul by T. Warren,,43,54
2,2:21.0,,B. Bogdanović makes technical free throw,43,55
2,2:21.0,,M. Turner makes free throw 1 of 2,43,56
2,2:21.0,K. Oubre enters the game for T. Warren,,43,56
2,2:21.0,,M. Turner misses free throw 2 of 2,43,56
2,2:19.0,Defensive rebound by D. Ayton,,43,56
2,2:08.0,D. Booker misses 3-pt jump shot from 27 ft,,43,56
2,2:04.0,,Defensive rebound by B. Bogdanović,43,56
2,1:47.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),43,58
2,1:47.0,,Shooting foul by M. Bridges (drawn by M. Turner),43,58
2,1:47.0,,M. Turner makes free throw 1 of 1,43,59
2,1:32.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Melton),,45,59
2,1:17.0,,Personal foul by D. Booker (drawn by M. Turner),45,59
2,1:17.0,,M. Turner misses free throw 1 of 2,45,59
2,1:17.0,,Offensive rebound by Team,45,59
2,1:17.0,,C. Joseph enters the game for D. Collison,45,59
2,1:17.0,,M. Turner makes free throw 2 of 2,45,60
2,1:04.0,D. Booker makes 2-pt jump shot from 15 ft (assist by D. Melton),,47,60
2,0:51.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),47,62
2,0:41.0,D. Booker misses 2-pt jump shot from 10 ft,,47,62
2,0:41.0,,Defensive rebound by M. Turner,47,62
2,0:34.0,,Turnover by V. Oladipo (bad pass; steal by M. Bridges),47,62
2,0:13.0,D. Ayton makes 2-pt layup from 2 ft (assist by D. Melton),,49,62
2,0:06.0,,C. Joseph misses 2-pt layup from 1 ft (block by D. Melton),49,62
2,0:06.0,,Offensive rebound by Team,49,62
2,0:06.0,Q. Acy enters the game for D. Booker,,49,62
2,0:04.0,,Turnover by V. Oladipo (bad pass; steal by K. Oubre),49,62
2,0:01.0,K. Oubre makes 2-pt dunk from 1 ft,,51,62
3,11:44.0,D. Ayton misses 2-pt layup from 1 ft,,51,62
3,11:42.0,,Defensive rebound by D. Collison,51,62
3,11:30.0,,M. Turner makes 2-pt jump shot from 7 ft (assist by V. Oladipo),51,64
3,11:13.0,D. Ayton misses 2-pt jump shot from 18 ft,,51,64
3,11:12.0,,Defensive rebound by T. Young,51,64
3,10:50.0,,Turnover by D. Collison (bad pass; steal by D. Melton),51,64
3,10:45.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Melton),,53,64
3,10:31.0,,Personal foul by D. Booker (drawn by M. Turner),53,64
3,10:26.0,,B. Bogdanović makes 2-pt dunk from 2 ft (assist by T. Young),53,66
3,10:10.0,Offensive foul by D. Booker (drawn by V. Oladipo),,53,66
3,10:10.0,Turnover by D. Booker (offensive foul),,53,66
3,9:58.0,,V. Oladipo misses 2-pt jump shot from 19 ft,53,66
3,9:56.0,,Offensive rebound by M. Turner,53,66
3,9:53.0,,V. Oladipo misses 2-pt jump shot from 22 ft,53,66
3,9:49.0,Defensive rebound by D. Ayton,,53,66
3,9:44.0,D. Booker misses 2-pt jump shot from 16 ft,,53,66
3,9:40.0,,Defensive rebound by V. Oladipo,53,66
3,9:33.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by T. Young),53,69
3,9:32.0,Phoenix full timeout,,53,69
3,9:19.0,T. Warren makes 2-pt jump shot from 15 ft,,55,69
3,9:19.0,Shooting foul by T. Young (drawn by T. Warren),,55,69
3,9:19.0,T. Warren makes free throw 1 of 1,,56,69
3,9:07.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,56,69
3,9:05.0,Defensive rebound by T. Warren,,56,69
3,8:57.0,D. Melton misses 2-pt jump shot from 19 ft,,56,69
3,8:54.0,Offensive rebound by D. Ayton,,56,69
3,8:52.0,D. Ayton makes 2-pt jump shot from 5 ft,,58,69
3,8:36.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by V. Oladipo),58,72
3,8:30.0,T. Warren misses 2-pt layup at rim,,58,72
3,8:25.0,,Defensive rebound by T. Young,58,72
3,8:18.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by T. Young),58,75
3,7:54.0,Turnover by D. Booker (bad pass; steal by D. Collison),,58,75
3,7:51.0,,D. Collison makes 2-pt layup from 1 ft,58,77
3,7:50.0,Phoenix full timeout,,58,77
3,7:50.0,J. Jackson enters the game for D. Booker,,58,77
3,7:50.0,E. Okobo enters the game for M. Bridges,,58,77
3,7:50.0,K. Oubre enters the game for D. Melton,,58,77
3,7:32.0,Shooting foul by V. Oladipo (drawn by D. Ayton),,58,77
3,7:32.0,D. Ayton misses free throw 1 of 2,,58,77
3,7:32.0,Offensive rebound by Team,,58,77
3,7:32.0,D. Ayton misses free throw 2 of 2,,58,77
3,7:30.0,,Defensive rebound by M. Turner,58,77
3,7:18.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by D. Collison),58,79
3,7:05.0,K. Oubre makes 2-pt jump shot from 17 ft,,60,79
3,6:48.0,,V. Oladipo misses 3-pt jump shot from 23 ft,60,79
3,6:45.0,Defensive rebound by J. Jackson,,60,79
3,6:41.0,Turnover by J. Jackson (bad pass; steal by V. Oladipo),,60,79
3,6:40.0,,Personal take foul by E. Okobo (drawn by V. Oladipo),60,79
3,6:29.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),60,81
3,6:09.0,E. Okobo misses 2-pt jump shot from 17 ft,,60,81
3,6:06.0,,Defensive rebound by V. Oladipo,60,81
3,6:01.0,,Shooting foul by E. Okobo (drawn by D. Collison),60,81
3,6:01.0,,D. Collison makes free throw 1 of 2,60,82
3,6:01.0,,D. Collison makes free throw 2 of 2,60,83
3,5:49.0,T. Warren misses 2-pt jump shot from 12 ft,,60,83
3,5:46.0,,Defensive rebound by V. Oladipo,60,83
3,5:41.0,,V. Oladipo misses 3-pt jump shot from 27 ft,60,83
3,5:38.0,Defensive rebound by D. Ayton,,60,83
3,5:31.0,J. Jackson misses 2-pt jump shot from 10 ft,,60,83
3,5:30.0,Offensive rebound by Team,,60,83
3,5:22.0,,Violation by Team (kicked ball),60,83
3,5:19.0,Personal foul by V. Oladipo (drawn by K. Oubre),,60,83
3,5:19.0,D. Booker enters the game for D. Ayton,,60,83
3,5:19.0,R. Holmes enters the game for E. Okobo,,60,83
3,5:08.0,Turnover by D. Booker (bad pass),,60,83
3,4:43.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by V. Oladipo),60,86
3,4:29.0,K. Oubre makes 3-pt jump shot from 29 ft (assist by T. Warren),,63,86
3,4:13.0,,Shooting foul by R. Holmes (drawn by V. Oladipo),63,86
3,4:13.0,,V. Oladipo misses free throw 1 of 2,63,86
3,4:13.0,,Offensive rebound by Team,63,86
3,4:13.0,,V. Oladipo makes free throw 2 of 2,63,87
3,3:58.0,J. Jackson makes 2-pt layup at rim,,65,87
3,3:41.0,,V. Oladipo misses 3-pt jump shot from 27 ft,65,87
3,3:38.0,Defensive rebound by K. Oubre,,65,87
3,3:32.0,K. Oubre misses 3-pt jump shot from 25 ft,,65,87
3,3:30.0,,Defensive rebound by V. Oladipo,65,87
3,3:27.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by K. Oubre),65,87
3,3:24.0,,Offensive rebound by D. Collison,65,87
3,3:14.0,,T. Young makes 2-pt layup from 8 ft,65,89
3,3:05.0,D. Booker makes 2-pt layup at rim,,67,89
3,3:05.0,,Indiana full timeout,67,89
3,3:05.0,,C. Joseph enters the game for B. Bogdanović,67,89
3,3:05.0,,D. Sabonis enters the game for T. Young,67,89
3,2:53.0,,D. Collison misses 2-pt jump shot from 15 ft,67,89
3,2:51.0,,Offensive rebound by D. Sabonis,67,89
3,2:49.0,,D. Sabonis misses 2-pt layup at rim,67,89
3,2:49.0,Defensive rebound by D. Booker,,67,89
3,2:41.0,R. Holmes makes 2-pt hook shot from 8 ft (assist by J. Jackson),,69,89
3,2:26.0,,V. Oladipo misses 3-pt jump shot from 27 ft,69,89
3,2:25.0,,Offensive rebound by C. Joseph,69,89
3,2:15.0,,Turnover by D. Sabonis (bad pass),69,89
3,1:56.0,R. Holmes misses 2-pt dunk from 1 ft (block by M. Turner),,69,89
3,1:54.0,,Defensive rebound by V. Oladipo,69,89
3,1:51.0,,V. Oladipo misses 2-pt layup from 2 ft (block by J. Jackson),69,89
3,1:48.0,Defensive rebound by D. Booker,,69,89
3,1:45.0,K. Oubre misses 2-pt jump shot from 6 ft (block by M. Turner),,69,89
3,1:45.0,Offensive rebound by Team,,69,89
3,1:39.0,R. Holmes misses 2-pt jump shot from 13 ft,,69,89
3,1:34.0,,Defensive rebound by D. Collison,69,89
3,1:28.0,,Personal foul by K. Oubre (drawn by D. Sabonis),69,89
3,1:28.0,,Offensive rebound by Team,69,89
3,1:28.0,,D. Sabonis misses free throw 1 of 2,69,89
3,1:28.0,,D. Sabonis makes free throw 2 of 2,69,90
3,1:11.0,Turnover by R. Holmes (out of bounds lost ball),,69,90
3,0:57.0,,Shooting foul by K. Oubre (drawn by D. Sabonis),69,90
3,0:57.0,Technical foul by J. Jackson,,69,90
3,0:57.0,,D. Collison makes technical free throw,69,91
3,0:57.0,,D. Sabonis makes free throw 1 of 2,69,92
3,0:57.0,,D. Sabonis misses free throw 2 of 2,69,92
3,0:55.0,Defensive rebound by R. Holmes,,69,92
3,0:50.0,D. Booker misses 2-pt jump shot from 10 ft,,69,92
3,0:46.0,Offensive rebound by J. Jackson,,69,92
3,0:42.0,Shooting foul by D. Sabonis (drawn by T. Warren),,69,92
3,0:42.0,T. Warren makes free throw 1 of 2,,70,92
3,0:42.0,,B. Bogdanović enters the game for M. Turner,70,92
3,0:42.0,T. Warren makes free throw 2 of 2,,71,92
3,0:30.0,,D. Sabonis makes 2-pt layup from 2 ft,71,94
3,0:07.0,T. Warren makes 2-pt jump shot from 10 ft,,73,94
3,0:03.0,,D. Collison makes 2-pt layup from 1 ft (assist by C. Joseph),73,96
3,0:00.0,K. Oubre misses 3-pt jump shot from 30 ft,,73,96
3,0:00.0,Offensive rebound by Team,,73,96
4,11:48.0,,Turnover by C. Joseph (bad pass; steal by D. Ayton),73,96
4,11:31.0,D. Ayton misses 2-pt jump shot from 5 ft,,73,96
4,11:30.0,,Defensive rebound by Team,73,96
4,11:30.0,Loose ball foul by Q. Acy (drawn by C. Joseph),,73,96
4,11:17.0,,Turnover by D. McDermott (step out of bounds),73,96
4,10:58.0,D. Ayton misses 2-pt layup at rim (block by D. Sabonis),,73,96
4,10:55.0,,Defensive rebound by B. Bogdanović,73,96
4,10:54.0,,Shooting foul by Q. Acy (drawn by T. Evans),73,96
4,10:54.0,,T. Evans makes free throw 1 of 2,73,97
4,10:54.0,R. Holmes enters the game for D. Ayton,,73,97
4,10:54.0,,T. Evans misses free throw 2 of 2,73,97
4,10:52.0,Defensive rebound by M. Bridges,,73,97
4,10:43.0,Shooting foul by D. McDermott (drawn by K. Oubre),,73,97
4,10:43.0,K. Oubre misses free throw 1 of 2,,73,97
4,10:43.0,Offensive rebound by Team,,73,97
4,10:43.0,K. Oubre makes free throw 2 of 2,,74,97
4,10:32.0,,B. Bogdanović misses 3-pt jump shot from 30 ft,74,97
4,10:29.0,Defensive rebound by R. Holmes,,74,97
4,10:23.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by E. Okobo),,77,97
4,10:04.0,,T. Evans misses 2-pt layup from 2 ft,77,97
4,10:02.0,,Offensive rebound by D. Sabonis,77,97
4,10:02.0,,D. Sabonis makes 2-pt layup at rim,77,99
4,10:02.0,,Technical foul by T. Evans,77,99
4,10:02.0,R. Holmes makes technical free throw,,78,99
4,9:49.0,K. Oubre makes 2-pt layup from 1 ft,,80,99
4,9:34.0,,D. McDermott misses 2-pt layup from 3 ft (block by R. Holmes),80,99
4,9:31.0,Defensive rebound by M. Bridges,,80,99
4,9:29.0,E. Okobo misses 3-pt jump shot from 26 ft,,80,99
4,9:25.0,Offensive rebound by R. Holmes,,80,99
4,9:24.0,R. Holmes makes 2-pt layup from 2 ft,,82,99
4,8:59.0,,C. Joseph makes 2-pt jump shot from 9 ft,82,101
4,8:43.0,R. Holmes misses 2-pt jump shot from 10 ft,,82,101
4,8:41.0,,Defensive rebound by D. Sabonis,82,101
4,8:38.0,,Personal take foul by K. Oubre (drawn by B. Bogdanović),82,101
4,8:38.0,D. Ayton enters the game for R. Holmes,,82,101
4,8:38.0,D. Booker enters the game for K. Oubre,,82,101
4,8:38.0,,T. Young enters the game for B. Bogdanović,82,101
4,8:27.0,,T. Young misses 2-pt jump shot from 10 ft,82,101
4,8:26.0,,Offensive rebound by Team,82,101
4,8:26.0,Loose ball foul by E. Okobo (drawn by D. Sabonis),,82,101
4,8:22.0,,Turnover by T. Young (bad pass; steal by Q. Acy),82,101
4,8:15.0,Q. Acy misses 3-pt jump shot from 23 ft,,82,101
4,8:13.0,,Defensive rebound by T. Evans,82,101
4,8:09.0,,T. Evans makes 2-pt layup from 1 ft,82,103
