QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
1,5:43.0,C. Sexton misses 3-pt jump shot from 23 ft,,1,9
1,5:41.0,Offensive rebound by L. Nance,,1,9
1,5:41.0,L. Nance misses 2-pt layup at rim (block by K. Anderson),,1,9
1,5:41.0,Offensive rebound by Team,,1,9
1,5:41.0,J. Clarkson enters the game for A. Burks,,1,9
1,5:41.0,,D. Brooks enters the game for K. Anderson,1,9
1,5:41.0,,Violation by Team (delay of game),1,9
1,5:36.0,Turnover by C. Osman (lost ball; steal by J. Jackson),,1,9
1,5:19.0,,D. Brooks makes 2-pt jump shot from 12 ft,1,11
1,5:04.0,C. Frye misses 3-pt jump shot from 25 ft,,1,11
1,5:02.0,,Defensive rebound by S. Mack,1,11
1,4:53.0,,G. Temple makes 2-pt layup from 2 ft (assist by S. Mack),1,13
1,4:36.0,J. Clarkson misses 2-pt jump shot from 8 ft,,1,13
1,4:33.0,Offensive rebound by L. Nance,,1,13
1,4:26.0,C. Frye makes 3-pt jump shot from 23 ft (assist by C. Sexton),,4,13
1,4:07.0,,D. Brooks misses 3-pt jump shot from 26 ft,4,13
1,4:04.0,Defensive rebound by C. Osman,,4,13
1,4:00.0,C. Osman makes 2-pt layup from 1 ft,,6,13
1,4:00.0,Shooting foul by M. Gasol (drawn by C. Osman),,6,13
1,4:00.0,,Memphis full timeout,6,13
1,4:00.0,J. Blossomgame enters the game for L. Nance,,6,13
1,4:00.0,M. Dellavedova enters the game for C. Sexton,,6,13
1,4:00.0,,J. Green enters the game for J. Jackson,6,13
1,4:00.0,,W. Selden enters the game for G. Temple,6,13
1,4:00.0,C. Osman makes free throw 1 of 1,,7,13
1,3:45.0,,W. Selden misses 2-pt jump shot from 13 ft,7,13
1,3:42.0,Defensive rebound by J. Blossomgame,,7,13
1,3:29.0,Turnover by C. Frye (step out of bounds),,7,13
1,3:29.0,,J. Noah enters the game for M. Gasol,7,13
1,3:14.0,,J. Noah makes 2-pt hook shot from 4 ft,7,15
1,3:06.0,Turnover by C. Osman (out of bounds lost ball),,7,15
1,2:56.0,,S. Mack misses 3-pt jump shot from 26 ft,7,15
1,2:53.0,Defensive rebound by C. Osman,,7,15
1,2:43.0,J. Clarkson misses 3-pt jump shot from 25 ft,,7,15
1,2:43.0,Offensive rebound by Team,,7,15
1,2:43.0,,Loose ball foul by S. Mack (drawn by C. Osman),7,15
1,2:43.0,J. Jones enters the game for C. Osman,,7,15
1,2:43.0,,M. Conley enters the game for S. Mack,7,15
1,2:36.0,C. Frye misses 3-pt jump shot from 25 ft,,7,15
1,2:33.0,,Defensive rebound by J. Noah,7,15
1,2:23.0,,W. Selden makes 2-pt layup from 1 ft (assist by J. Noah),7,17
1,2:04.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,7,17
1,2:00.0,Offensive rebound by C. Frye,,7,17
1,1:58.0,J. Jones misses 3-pt jump shot from 24 ft,,7,17
1,1:56.0,,Defensive rebound by J. Noah,7,17
1,1:50.0,,M. Conley makes 2-pt jump shot from 14 ft,7,19
1,1:26.0,Turnover by C. Frye (3 sec),,7,19
1,1:15.0,,J. Green makes 2-pt jump shot from 16 ft (assist by J. Noah),7,21
1,1:00.0,C. Frye misses 2-pt jump shot from 13 ft,,7,21
1,0:56.0,,Defensive rebound by M. Conley,7,21
1,0:51.0,,Turnover by W. Selden (lost ball; steal by J. Clarkson),7,21
1,0:39.0,J. Clarkson makes 2-pt layup from 2 ft,,9,21
1,0:26.0,,M. Conley misses 2-pt jump shot from 20 ft,9,21
1,0:23.0,Defensive rebound by J. Clarkson,,9,21
1,0:01.0,C. Frye misses 3-pt jump shot from 28 ft,,9,21
1,0:01.0,Offensive rebound by Team,,9,21
2,11:39.0,J. Jones makes 2-pt dunk at rim (assist by M. Dellavedova),,11,21
2,11:19.0,,Turnover by J. Green (traveling),11,21
2,11:07.0,J. Clarkson misses 2-pt jump shot from 8 ft,,11,21
2,11:04.0,Offensive rebound by A. Žižić,,11,21
2,11:01.0,Personal foul by J. Noah (drawn by J. Clarkson),,11,21
2,10:52.0,M. Dellavedova makes 2-pt jump shot from 9 ft,,13,21
2,10:32.0,,D. Brooks misses 2-pt layup from 9 ft,13,21
2,10:29.0,Defensive rebound by A. Žižić,,13,21
2,10:25.0,J. Blossomgame misses 3-pt jump shot from 23 ft,,13,21
2,10:20.0,Offensive rebound by J. Jones,,13,21
2,10:13.0,J. Clarkson misses 3-pt jump shot from 27 ft,,13,21
2,10:11.0,,Defensive rebound by W. Selden,13,21
2,10:00.0,,Turnover by J. Noah (lost ball; steal by J. Clarkson),13,21
2,9:54.0,J. Jones makes 2-pt layup from 1 ft,,15,21
2,9:54.0,,Memphis full timeout,15,21
2,9:54.0,,K. Anderson enters the game for D. Brooks,15,21
2,9:54.0,,J. Jackson enters the game for J. Noah,15,21
2,9:41.0,,M. Conley misses 3-pt jump shot from 23 ft,15,21
2,9:37.0,Defensive rebound by A. Žižić,,15,21
2,9:32.0,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. Dellavedova),,17,21
2,9:20.0,,J. Green misses 2-pt hook shot from 9 ft,17,21
2,9:17.0,Defensive rebound by A. Žižić,,17,21
2,9:06.0,Turnover by M. Dellavedova (bad pass; steal by K. Anderson),,17,21
2,9:00.0,,W. Selden makes 2-pt layup at rim,17,23
2,8:36.0,Shooting foul by W. Selden (drawn by A. Žižić),,17,23
2,8:36.0,A. Žižić makes free throw 1 of 2,,18,23
2,8:36.0,A. Burks enters the game for J. Jones,,18,23
2,8:36.0,,G. Temple enters the game for W. Selden,18,23
2,8:36.0,A. Žižić makes free throw 2 of 2,,19,23
2,8:21.0,,J. Jackson misses 2-pt jump shot from 8 ft,19,23
2,8:16.0,,G. Temple misses 2-pt layup from 1 ft,19,23
2,8:16.0,,Offensive rebound by G. Temple,19,23
2,8:16.0,Defensive rebound by A. Žižić,,19,23
2,8:06.0,Turnover by A. Žižić (offensive foul),,19,23
2,8:06.0,Offensive foul by A. Žižić (drawn by J. Green),,19,23
2,8:06.0,L. Nance enters the game for M. Dellavedova,,19,23
2,8:06.0,C. Sexton enters the game for A. Žižić,,19,23
2,7:53.0,,J. Jackson misses 2-pt hook shot from 5 ft,19,23
2,7:53.0,,Offensive rebound by Team,19,23
2,7:53.0,Loose ball foul by C. Sexton (drawn by J. Green),,19,23
2,7:44.0,,K. Anderson makes 3-pt jump shot from 26 ft (assist by M. Conley),19,26
2,7:37.0,Personal foul by K. Anderson (drawn by A. Burks),,19,26
2,7:37.0,C. Osman enters the game for J. Blossomgame,,19,26
2,7:37.0,,M. Gasol enters the game for M. Conley,19,26
2,7:37.0,,S. Mack enters the game for J. Green,19,26
2,7:22.0,J. Clarkson misses 2-pt layup from 2 ft,,19,26
2,7:22.0,Offensive rebound by J. Clarkson,,19,26
2,7:19.0,J. Clarkson makes 2-pt layup at rim,,21,26
2,7:00.0,,J. Jackson makes 2-pt layup from 1 ft,21,28
2,6:35.0,C. Sexton makes 2-pt layup at rim (assist by J. Clarkson),,23,28
2,6:14.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Gasol),23,30
2,5:56.0,J. Clarkson misses 2-pt jump shot from 10 ft,,23,30
2,5:54.0,,Defensive rebound by M. Gasol,23,30
2,5:49.0,,K. Anderson makes 2-pt layup from 1 ft,23,32
2,5:49.0,Cleveland full timeout,,23,32
2,5:49.0,C. Frye enters the game for J. Clarkson,,23,32
2,5:39.0,C. Frye makes 3-pt jump shot from 25 ft (assist by C. Sexton),,26,32
2,5:24.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by K. Anderson),26,34
2,5:05.0,A. Burks misses 2-pt jump shot from 16 ft,,26,34
2,5:03.0,,Defensive rebound by J. Jackson,26,34
2,4:47.0,,Turnover by J. Jackson (lost ball; steal by C. Frye),26,34
2,4:42.0,C. Osman makes 2-pt layup from 1 ft (assist by L. Nance),,28,34
2,4:21.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by J. Jackson),28,37
2,4:06.0,C. Osman misses 3-pt jump shot from 24 ft,,28,37
2,4:02.0,Offensive rebound by L. Nance,,28,37
2,3:54.0,C. Sexton makes 2-pt jump shot from 9 ft,,30,37
2,3:34.0,,K. Anderson makes 2-pt jump shot from 18 ft,30,39
2,3:17.0,Turnover by C. Osman (out of bounds lost ball),,30,39
2,2:57.0,,S. Mack makes 2-pt jump shot from 10 ft,30,41
2,2:33.0,C. Sexton misses 2-pt jump shot from 16 ft,,30,41
2,2:31.0,,Defensive rebound by Team,30,41
2,2:31.0,,M. Conley enters the game for J. Jackson,30,41
2,2:31.0,,J. Green enters the game for G. Temple,30,41
2,2:07.0,,M. Conley misses 2-pt jump shot from 17 ft,30,41
2,2:04.0,Defensive rebound by C. Osman,,30,41
2,1:47.0,Shooting foul by S. Mack (drawn by L. Nance),,30,41
2,1:47.0,L. Nance makes free throw 1 of 2,,31,41
2,1:47.0,J. Clarkson enters the game for C. Frye,,31,41
2,1:47.0,M. Dellavedova enters the game for C. Sexton,,31,41
2,1:47.0,L. Nance makes free throw 2 of 2,,32,41
2,1:37.0,,J. Green makes 2-pt jump shot from 22 ft (assist by M. Conley),32,43
2,1:22.0,J. Clarkson misses 2-pt jump shot from 5 ft,,32,43
2,1:20.0,,Defensive rebound by M. Gasol,32,43
2,1:12.0,Violation by Team (kicked ball),,32,43
2,1:07.0,,Turnover by M. Gasol (lost ball; steal by L. Nance),32,43
2,0:57.0,M. Dellavedova misses 2-pt jump shot from 12 ft,,32,43
2,0:54.0,Offensive rebound by L. Nance,,32,43
2,0:44.0,C. Osman misses 2-pt layup from 2 ft,,32,43
2,0:41.0,,Defensive rebound by J. Green,32,43
2,0:35.0,,Personal foul by M. Dellavedova (drawn by M. Conley),32,43
2,0:29.0,Violation by Team (kicked ball),,32,43
2,0:20.0,,J. Green makes 2-pt dunk from 1 ft (assist by M. Conley),32,45
2,0:01.0,A. Burks misses 3-pt jump shot from 27 ft,,32,45
2,0:01.0,Offensive rebound by Team,,32,45
3,11:37.0,A. Burks makes 3-pt jump shot from 23 ft (assist by A. Žižić),,35,45
3,11:18.0,,M. Conley makes 2-pt jump shot from 17 ft (assist by M. Gasol),35,47
3,10:57.0,A. Žižić misses 2-pt layup at rim (block by M. Gasol),,35,47
3,10:53.0,Offensive rebound by A. Žižić,,35,47
3,10:53.0,A. Žižić makes 2-pt layup from 1 ft,,37,47
3,10:39.0,,M. Conley misses 2-pt jump shot from 22 ft,37,47
3,10:36.0,Defensive rebound by A. Žižić,,37,47
3,10:19.0,C. Osman misses 3-pt jump shot from 26 ft,,37,47
3,10:16.0,,Defensive rebound by M. Conley,37,47
3,10:07.0,,J. Jackson misses 2-pt hook shot from 6 ft,37,47
3,10:04.0,Defensive rebound by A. Burks,,37,47
3,9:58.0,L. Nance makes 2-pt dunk from 1 ft (assist by A. Burks),,39,47
3,9:39.0,,M. Gasol makes 2-pt hook shot from 1 ft (assist by M. Conley),39,49
3,9:39.0,,Shooting foul by L. Nance (drawn by M. Gasol),39,49
3,9:39.0,,M. Gasol makes free throw 1 of 1,39,50
3,9:22.0,C. Sexton misses 2-pt layup from 1 ft (block by M. Gasol),,39,50
3,9:22.0,Offensive rebound by Team,,39,50
3,9:15.0,A. Žižić misses 2-pt layup from 2 ft (block by G. Temple),,39,50
3,9:15.0,Offensive rebound by Team,,39,50
3,9:15.0,Turnover by Team (shot clock),,39,50
3,8:55.0,,J. Jackson misses 2-pt layup from 1 ft,39,50
3,8:51.0,Defensive rebound by L. Nance,,39,50
3,8:50.0,A. Žižić makes 2-pt dunk from 1 ft (assist by L. Nance),,41,50
3,8:24.0,,Turnover by M. Conley (lost ball; steal by C. Sexton),41,50
3,8:24.0,Personal take foul by M. Gasol (drawn by C. Sexton),,41,50
3,8:03.0,A. Žižić misses 2-pt dunk from 2 ft (block by K. Anderson),,41,50
3,8:03.0,Offensive rebound by Team,,41,50
3,7:59.0,L. Nance misses 2-pt jump shot from 22 ft,,41,50
3,7:56.0,,Defensive rebound by G. Temple,41,50
3,7:53.0,,M. Conley misses 3-pt jump shot from 26 ft,41,50
3,7:50.0,Defensive rebound by L. Nance,,41,50
3,7:39.0,A. Burks misses 2-pt layup from 1 ft,,41,50
3,7:38.0,Offensive rebound by L. Nance,,41,50
3,7:36.0,L. Nance makes 2-pt layup from 1 ft,,43,50
3,7:17.0,,M. Gasol makes 2-pt jump shot from 21 ft,43,52
3,7:06.0,C. Sexton misses 2-pt jump shot from 13 ft,,43,52
3,7:03.0,,Defensive rebound by K. Anderson,43,52
3,6:58.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by K. Anderson),43,55
3,6:37.0,A. Burks misses 2-pt layup from 2 ft (block by M. Gasol),,43,55
3,6:37.0,Offensive rebound by Team,,43,55
3,6:37.0,,Memphis full timeout,43,55
3,6:37.0,,S. Mack enters the game for M. Conley,43,55
3,6:31.0,C. Sexton makes 2-pt jump shot from 11 ft,,45,55
3,6:15.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Gasol),45,57
3,6:07.0,,Violation by Team (kicked ball),45,57
3,6:07.0,C. Frye enters the game for A. Žižić,,45,57
3,5:49.0,L. Nance misses 2-pt layup from 1 ft,,45,57
3,5:46.0,,Defensive rebound by M. Gasol,45,57
3,5:38.0,,M. Gasol misses 2-pt layup from 1 ft,45,57
3,5:34.0,Defensive rebound by C. Osman,,45,57
3,5:30.0,C. Sexton misses 3-pt jump shot from 25 ft,,45,57
3,5:27.0,Offensive rebound by L. Nance,,45,57
3,5:19.0,C. Osman misses 2-pt jump shot from 2 ft,,45,57
3,5:17.0,,Defensive rebound by M. Gasol,45,57
3,5:13.0,,Shooting foul by C. Sexton (drawn by J. Jackson),45,57
3,5:13.0,,J. Jackson makes free throw 1 of 2,45,58
3,5:13.0,J. Clarkson enters the game for A. Burks,,45,58
3,5:13.0,,D. Brooks enters the game for G. Temple,45,58
3,5:13.0,,J. Jackson misses free throw 2 of 2,45,58
3,5:11.0,Defensive rebound by C. Frye,,45,58
3,4:49.0,L. Nance misses 2-pt jump shot from 19 ft,,45,58
3,4:46.0,Offensive rebound by C. Sexton,,45,58
3,4:45.0,C. Sexton makes 2-pt layup from 1 ft,,47,58
3,4:36.0,,Offensive foul by D. Brooks (drawn by J. Clarkson),47,58
3,4:36.0,,Turnover by D. Brooks (offensive foul),47,58
3,4:23.0,C. Sexton misses 2-pt jump shot from 20 ft,,47,58
3,4:18.0,,Defensive rebound by D. Brooks,47,58
3,4:04.0,,S. Mack makes 2-pt jump shot from 14 ft,47,60
3,3:42.0,C. Frye misses 3-pt jump shot from 27 ft,,47,60
3,3:37.0,Offensive rebound by J. Clarkson,,47,60
3,3:27.0,Turnover by C. Frye (bad pass; steal by K. Anderson),,47,60
3,3:22.0,,K. Anderson misses 2-pt dunk from 2 ft,47,60
3,3:22.0,Defensive rebound by Team,,47,60
3,3:22.0,J. Blossomgame enters the game for C. Osman,,47,60
3,3:22.0,M. Dellavedova enters the game for C. Sexton,,47,60
3,3:22.0,,J. Green enters the game for J. Jackson,47,60
3,3:12.0,J. Blossomgame makes 3-pt jump shot from 23 ft (assist by L. Nance),,50,60
3,2:57.0,,K. Anderson makes 2-pt dunk at rim (assist by M. Gasol),50,62
3,2:37.0,J. Clarkson misses 3-pt jump shot from 26 ft,,50,62
3,2:31.0,,Defensive rebound by M. Gasol,50,62
3,2:28.0,,J. Green misses 3-pt jump shot from 26 ft,50,62
3,2:25.0,Defensive rebound by M. Dellavedova,,50,62
3,2:20.0,Cleveland full timeout,,50,62
3,2:20.0,J. Jones enters the game for L. Nance,,50,62
3,2:20.0,,M. Conley enters the game for K. Anderson,50,62
3,2:20.0,,J. Noah enters the game for M. Gasol,50,62
3,2:20.0,,W. Selden enters the game for S. Mack,50,62
3,2:13.0,C. Frye misses 2-pt layup from 1 ft (block by J. Green),,50,62
3,2:09.0,Offensive rebound by J. Blossomgame,,50,62
3,2:00.0,C. Frye misses 3-pt jump shot from 23 ft,,50,62
3,1:56.0,,Defensive rebound by J. Green,50,62
3,1:48.0,,M. Conley misses 2-pt jump shot from 7 ft,50,62
3,1:45.0,Defensive rebound by J. Jones,,50,62
3,1:31.0,J. Clarkson misses 2-pt layup from 1 ft (block by J. Green),,50,62
3,1:31.0,,Defensive rebound by D. Brooks,50,62
3,1:15.0,,W. Selden misses 3-pt jump shot from 26 ft,50,62
3,1:12.0,Defensive rebound by M. Dellavedova,,50,62
3,1:00.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Blossomgame),,53,62
3,0:48.0,,Personal foul by J. Blossomgame (drawn by M. Conley),53,62
3,0:41.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),53,64
3,0:41.0,,Shooting foul by J. Jones (drawn by J. Noah),53,64
3,0:41.0,,J. Noah misses free throw 1 of 1,53,64
3,0:38.0,Defensive rebound by J. Clarkson,,53,64
3,0:30.0,J. Clarkson misses 2-pt jump shot from 12 ft,,53,64
3,0:26.0,,Defensive rebound by J. Green,53,64
3,0:12.0,,Shooting foul by J. Jones (drawn by J. Noah),53,64
3,0:12.0,,J. Noah makes free throw 1 of 2,53,65
3,0:12.0,,J. Noah misses free throw 2 of 2,53,65
3,0:11.0,Defensive rebound by Team,,53,65
3,0:04.0,Personal take foul by M. Conley (drawn by M. Dellavedova),,53,65
3,0:00.0,J. Jones misses 3-pt jump shot from 26 ft,,53,65
3,0:00.0,Offensive rebound by Team,,53,65
4,11:50.0,,Def 3 sec tech foul by Team,53,65
4,11:50.0,,M. Conley makes technical free throw,53,66
4,11:41.0,,M. Conley misses 3-pt jump shot from 25 ft,53,66
4,11:38.0,Defensive rebound by J. Jones,,53,66
4,11:32.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,53,66
4,11:28.0,,Defensive rebound by W. Selden,53,66
4,11:12.0,,M. Conley makes 2-pt layup from 2 ft,53,68
4,10:57.0,Turnover by J. Clarkson (bad pass),,53,68
4,10:46.0,,Shooting foul by J. Jones (drawn by D. Brooks),53,68
4,10:46.0,,D. Brooks misses free throw 1 of 2,53,68
4,10:46.0,,Offensive rebound by Team,53,68
4,10:46.0,,D. Brooks misses free throw 2 of 2,53,68
4,10:44.0,,Offensive rebound by J. Noah,53,68
4,10:39.0,,W. Selden misses 2-pt layup from 2 ft,53,68
4,10:36.0,Defensive rebound by A. Žižić,,53,68
4,10:32.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,56,68
4,10:17.0,,J. Green misses 3-pt jump shot from 26 ft,56,68
4,10:13.0,Defensive rebound by A. Žižić,,56,68
4,10:07.0,Personal foul by W. Selden (drawn by M. Dellavedova),,56,68
4,10:07.0,,G. Temple enters the game for D. Brooks,56,68
4,9:58.0,J. Blossomgame makes 2-pt jump shot from 11 ft (assist by J. Clarkson),,58,68
4,9:45.0,,Turnover by W. Selden (out of bounds lost ball),58,68
4,9:26.0,M. Dellavedova misses 2-pt layup from 6 ft,,58,68
4,9:23.0,,Defensive rebound by J. Noah,58,68
4,9:19.0,,Turnover by W. Selden (lost ball; steal by J. Jones),58,68
4,9:17.0,Shooting foul by J. Noah (drawn by J. Jones),,58,68
4,9:17.0,J. Jones misses free throw 1 of 2,,58,68
4,9:17.0,Offensive rebound by Team,,58,68
4,9:17.0,,K. Anderson enters the game for J. Noah,58,68
4,9:17.0,,M. Gasol enters the game for W. Selden,58,68
4,9:17.0,J. Jones makes free throw 2 of 2,,59,68
4,9:07.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),59,71
4,8:44.0,Turnover by M. Dellavedova (bad pass; steal by K. Anderson),,59,71
4,8:28.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Gasol),59,74
4,8:27.0,Cleveland full timeout,,59,74
4,8:14.0,Turnover by M. Dellavedova (bad pass),,59,74
4,7:58.0,,M. Gasol misses 2-pt jump shot from 13 ft,59,74
4,7:57.0,,Offensive rebound by Team,59,74
4,7:57.0,Loose ball foul by J. Blossomgame (drawn by J. Green),,59,74
4,7:44.0,,J. Green misses 3-pt jump shot from 22 ft,59,74
4,7:43.0,,Offensive rebound by M. Gasol,59,74
4,7:34.0,,M. Conley makes 2-pt jump shot from 17 ft,59,76
4,7:34.0,A. Burks enters the game for M. Dellavedova,,59,76
4,7:34.0,C. Sexton enters the game for J. Jones,,59,76
4,7:34.0,,S. Mack enters the game for M. Conley,59,76
4,7:09.0,A. Burks makes 3-pt jump shot from 27 ft (assist by A. Žižić),,62,76
4,6:47.0,,G. Temple misses 3-pt jump shot from 25 ft,62,76
4,6:44.0,Defensive rebound by A. Burks,,62,76
4,6:31.0,A. Burks misses 2-pt jump shot from 17 ft,,62,76
4,6:29.0,Offensive rebound by J. Blossomgame,,62,76
4,6:29.0,A. Žižić misses 2-pt layup from 1 ft,,62,76
4,6:29.0,Offensive rebound by A. Žižić,,62,76
4,6:24.0,J. Blossomgame misses 2-pt layup from 1 ft,,62,76
4,6:24.0,Offensive rebound by J. Blossomgame,,62,76
4,6:23.0,J. Blossomgame misses 2-pt layup from 1 ft,,62,76
4,6:23.0,,Defensive rebound by J. Green,62,76
4,6:13.0,,M. Gasol makes 2-pt hook shot from 6 ft (assist by S. Mack),62,78
4,5:57.0,J. Clarkson makes 2-pt jump shot from 7 ft,,64,78
4,5:45.0,,M. Gasol misses 3-pt jump shot from 26 ft,64,78
4,5:42.0,Defensive rebound by C. Sexton,,64,78
4,5:32.0,J. Clarkson makes 2-pt jump shot from 7 ft,,66,78
4,5:13.0,,Personal foul by A. Burks (drawn by G. Temple),66,78
4,5:13.0,L. Nance enters the game for J. Blossomgame,,66,78
4,5:13.0,C. Osman enters the game for A. Žižić,,66,78
4,5:13.0,,M. Conley enters the game for J. Green,66,78
4,5:13.0,,J. Jackson enters the game for S. Mack,66,78
4,5:05.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Anderson),66,80
4,4:53.0,Shooting foul by J. Jackson (drawn by C. Sexton),,66,80
4,4:53.0,C. Sexton makes free throw 1 of 2,,67,80
4,4:53.0,C. Sexton makes free throw 2 of 2,,68,80
4,4:39.0,,Shooting foul by L. Nance (drawn by M. Gasol),68,80
4,4:39.0,,M. Gasol makes free throw 1 of 2,68,81
4,4:39.0,,M. Gasol makes free throw 2 of 2,68,82
4,4:32.0,C. Sexton makes 2-pt jump shot from 12 ft,,70,82
4,4:15.0,,M. Conley misses 3-pt jump shot from 26 ft,70,82
4,4:13.0,Defensive rebound by C. Osman,,70,82
4,4:06.0,Personal foul by K. Anderson (drawn by C. Sexton),,70,82
4,3:59.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),,73,82
4,3:36.0,,Turnover by J. Jackson (lost ball; steal by J. Clarkson),73,82
4,3:32.0,C. Osman makes 2-pt layup from 1 ft (assist by C. Sexton),,75,82
4,3:32.0,,Memphis full timeout,75,82
4,3:20.0,,Shooting foul by C. Sexton (drawn by K. Anderson),75,82
4,3:20.0,,K. Anderson makes free throw 1 of 2,75,83
4,3:20.0,,K. Anderson makes free throw 2 of 2,75,84
4,3:02.0,Personal foul by J. Jackson (drawn by C. Osman),,75,84
4,3:02.0,C. Osman misses free throw 1 of 2,,75,84
4,3:02.0,Offensive rebound by Team,,75,84
4,3:02.0,C. Osman makes free throw 2 of 2,,76,84
4,2:49.0,,G. Temple misses 3-pt jump shot from 22 ft,76,84
4,2:46.0,Defensive rebound by C. Sexton,,76,84
4,2:34.0,Turnover by J. Clarkson (bad pass; steal by M. Conley),,76,84
4,2:15.0,,Personal foul by L. Nance (drawn by M. Gasol),76,84
4,2:15.0,,M. Gasol makes free throw 1 of 2,76,85
4,2:15.0,,M. Gasol makes free throw 2 of 2,76,86
4,2:07.0,C. Sexton makes 2-pt layup at rim,,78,86
4,1:49.0,,M. Gasol misses 3-pt jump shot from 25 ft,78,86
4,1:48.0,Defensive rebound by J. Clarkson,,78,86
4,1:40.0,J. Clarkson makes 2-pt jump shot from 13 ft (assist by A. Burks),,80,86
4,1:22.0,,M. Conley misses 2-pt layup from 3 ft (block by A. Burks),80,86
4,1:19.0,Defensive rebound by C. Sexton,,80,86
4,1:19.0,C. Osman makes 2-pt layup at rim (assist by C. Sexton),,82,86
4,1:19.0,,Memphis full timeout,82,86
4,0:59.0,,M. Conley makes 2-pt layup at rim (assist by M. Gasol),82,88
4,0:47.0,Turnover by C. Sexton (bad pass; steal by M. Conley),,82,88
4,0:46.0,,Personal take foul by C. Osman (drawn by M. Conley),82,88
