QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
2,1:09.0,Defensive rebound by K. Kuzma,,61,64
2,1:06.0,K. Kuzma misses 2-pt layup from 2 ft,,61,64
2,1:06.0,Offensive rebound by L. James,,61,64
2,0:59.0,L. James makes 2-pt dunk from 1 ft,,63,64
2,0:50.0,,Turnover by J. Teague (bad pass; steal by L. James),63,64
2,0:46.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,66,64
2,0:28.0,,T. Gibson misses 2-pt jump shot from 15 ft,66,64
2,0:25.0,Defensive rebound by L. James,,66,64
2,0:06.0,K. Kuzma misses 3-pt jump shot from 23 ft,,66,64
2,0:03.0,,Defensive rebound by J. Butler,66,64
3,11:44.0,B. Ingram misses 2-pt layup from 1 ft,,66,64
3,11:41.0,Offensive rebound by B. Ingram,,66,64
3,11:40.0,B. Ingram misses 2-pt layup from 1 ft,,66,64
3,11:39.0,Offensive rebound by B. Ingram,,66,64
3,11:39.0,B. Ingram makes 2-pt layup at rim,,68,64
3,11:20.0,,T. Gibson misses 2-pt layup from 2 ft,68,64
3,11:17.0,,Offensive rebound by T. Gibson,68,64
3,11:17.0,,Shooting foul by K. Kuzma (drawn by T. Gibson),68,64
3,11:17.0,,T. Gibson makes free throw 1 of 2,68,65
3,11:17.0,,T. Gibson makes free throw 2 of 2,68,66
3,11:03.0,B. Ingram misses 2-pt jump shot from 14 ft (block by J. Okogie),,68,66
3,11:00.0,,Defensive rebound by K. Towns,68,66
3,10:58.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Towns),68,68
3,10:39.0,L. James makes 2-pt layup from 1 ft,,70,68
3,10:28.0,,Personal foul by B. Ingram (drawn by J. Butler),70,68
3,10:28.0,J. Hart enters the game for B. Ingram,,70,68
3,10:23.0,,Personal foul by J. Hart (drawn by J. Butler),70,68
3,10:15.0,,K. Towns misses 3-pt jump shot from 25 ft,70,68
3,10:12.0,Defensive rebound by J. Hart,,70,68
3,10:09.0,J. McGee makes 2-pt dunk from 1 ft (assist by J. Hart),,72,68
3,9:54.0,,Personal foul by J. Hart (drawn by J. Butler),72,68
3,9:45.0,,J. Butler makes 3-pt jump shot from 25 ft (assist by J. Teague),72,71
3,9:32.0,L. Ball misses 3-pt jump shot from 25 ft,,72,71
3,9:31.0,,Defensive rebound by Team,72,71
3,9:24.0,,J. Teague misses 3-pt jump shot from 24 ft,72,71
3,9:20.0,Defensive rebound by J. Hart,,72,71
3,9:19.0,Personal foul by J. Teague (drawn by J. Hart),,72,71
3,9:11.0,L. Ball makes 2-pt layup from 1 ft (assist by L. James),,74,71
3,8:47.0,,J. Okogie misses 3-pt jump shot from 25 ft,74,71
3,8:44.0,,Offensive rebound by T. Gibson,74,71
3,8:33.0,,K. Towns misses 3-pt jump shot from 25 ft,74,71
3,8:32.0,,Offensive rebound by Team,74,71
3,8:32.0,,Turnover by Team (shot clock),74,71
3,8:21.0,L. Ball misses 3-pt jump shot from 25 ft,,74,71
3,8:18.0,,Defensive rebound by J. Okogie,74,71
3,8:07.0,,K. Towns misses 2-pt jump shot from 13 ft,74,71
3,8:05.0,,Offensive rebound by K. Towns,74,71
3,8:03.0,,K. Towns makes 2-pt layup from 1 ft,74,73
3,7:53.0,K. Kuzma misses 2-pt layup from 2 ft (block by K. Towns),,74,73
3,7:53.0,Offensive rebound by Team,,74,73
3,7:51.0,L. James misses 2-pt layup from 1 ft (block by J. Butler),,74,73
3,7:48.0,,Defensive rebound by J. Teague,74,73
3,7:43.0,,J. Okogie misses 3-pt jump shot from 23 ft,74,73
3,7:43.0,,Offensive rebound by K. Towns,74,73
3,7:40.0,,Shooting foul by J. McGee (drawn by K. Towns),74,73
3,7:40.0,,K. Towns makes free throw 1 of 2,74,74
3,7:40.0,,K. Towns makes free throw 2 of 2,74,75
3,7:38.0,Turnover by J. McGee (bad pass; steal by J. Okogie),,74,75
3,7:34.0,,J. Okogie misses 2-pt layup at rim,74,75
3,7:31.0,Defensive rebound by J. Hart,,74,75
3,7:26.0,L. James makes 2-pt jump shot from 12 ft,,76,75
3,7:14.0,,J. Butler makes 2-pt layup from 2 ft,76,77
3,6:57.0,L. James misses 2-pt jump shot from 14 ft,,76,77
3,6:55.0,,Defensive rebound by K. Towns,76,77
3,6:52.0,,Personal foul by L. James (drawn by T. Gibson),76,77
3,6:52.0,,Minnesota full timeout,76,77
3,6:52.0,R. Rondo enters the game for L. Ball,,76,77
3,6:52.0,J. Williams enters the game for J. McGee,,76,77
3,6:52.0,,T. Gibson misses free throw 1 of 2,76,77
3,6:52.0,,Offensive rebound by Team,76,77
3,6:52.0,,T. Gibson misses free throw 2 of 2,76,77
3,6:50.0,Defensive rebound by L. James,,76,77
3,6:34.0,Turnover by R. Rondo (bad pass; steal by J. Teague),,76,77
3,6:29.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),76,79
3,6:14.0,J. Hart makes 2-pt dunk from 1 ft (assist by R. Rondo),,78,79
3,6:03.0,,J. Teague misses 2-pt jump shot from 6 ft,78,79
3,6:02.0,Defensive rebound by Team,,78,79
3,6:02.0,LA Lakers full timeout,,78,79
3,6:02.0,L. Stephenson enters the game for L. James,,78,79
3,5:53.0,R. Rondo makes 2-pt layup from 3 ft,,80,79
3,5:29.0,,J. Butler misses 3-pt jump shot from 25 ft,80,79
3,5:25.0,Defensive rebound by L. Stephenson,,80,79
3,5:15.0,L. Stephenson makes 2-pt jump shot from 11 ft,,82,79
3,4:59.0,,J. Teague makes 2-pt jump shot from 10 ft (assist by K. Towns),82,81
3,4:44.0,J. Hart misses 3-pt jump shot from 25 ft,,82,81
3,4:39.0,,Defensive rebound by J. Teague,82,81
3,4:30.0,,Turnover by K. Towns (lost ball; steal by L. Stephenson),82,81
3,4:18.0,L. Stephenson misses 2-pt jump shot from 19 ft,,82,81
3,4:18.0,Offensive rebound by J. Williams,,82,81
3,4:14.0,J. Williams makes 2-pt layup from 1 ft,,84,81
3,4:05.0,,Personal foul by J. Williams (drawn by K. Towns),84,81
3,4:05.0,,K. Towns makes free throw 1 of 2,84,82
3,4:05.0,L. James enters the game for K. Kuzma,,84,82
3,4:05.0,,D. Rose enters the game for J. Butler,84,82
3,4:05.0,,K. Towns makes free throw 2 of 2,84,83
3,3:56.0,L. James makes 3-pt jump shot from 25 ft,,87,83
3,3:41.0,,Shooting foul by L. Stephenson (drawn by J. Teague),87,83
3,3:41.0,,J. Teague makes free throw 1 of 2,87,84
3,3:41.0,,A. Tolliver enters the game for T. Gibson,87,84
3,3:41.0,,J. Teague makes free throw 2 of 2,87,85
3,3:28.0,L. Stephenson makes 3-pt jump shot from 22 ft (assist by L. James),,90,85
3,3:27.0,,Minnesota full timeout,90,85
3,3:10.0,,J. Teague misses 2-pt jump shot from 12 ft,90,85
3,3:08.0,,Offensive rebound by K. Towns,90,85
3,3:05.0,,K. Towns misses 2-pt hook shot from 6 ft,90,85
3,3:04.0,Defensive rebound by J. Williams,,90,85
3,2:48.0,Turnover by R. Rondo (bad pass),,90,85
3,2:48.0,Loose ball foul by L. James (drawn by J. Okogie),,90,85
3,2:48.0,,J. Okogie makes free throw 1 of 2,90,86
3,2:48.0,,J. Okogie makes free throw 2 of 2,90,87
3,2:33.0,L. Stephenson misses 2-pt jump shot from 19 ft,,90,87
3,2:32.0,Offensive rebound by Team,,90,87
3,2:32.0,,G. Dieng enters the game for J. Teague,90,87
3,2:32.0,,T. Jones enters the game for K. Towns,90,87
3,2:26.0,R. Rondo misses 3-pt jump shot from 23 ft,,90,87
3,2:24.0,,Defensive rebound by G. Dieng,90,87
3,2:18.0,,D. Rose misses 2-pt layup from 1 ft (block by L. James),90,87
3,2:15.0,Defensive rebound by L. Stephenson,,90,87
3,2:10.0,J. Hart misses 2-pt layup from 2 ft,,90,87
3,2:07.0,Offensive rebound by J. Williams,,90,87
3,2:07.0,J. Williams misses 2-pt layup at rim,,90,87
3,2:06.0,,Defensive rebound by G. Dieng,90,87
3,2:02.0,,A. Tolliver makes 2-pt dunk from 1 ft (assist by J. Okogie),90,89
3,2:01.0,LA Lakers full timeout,,90,89
3,1:42.0,L. Stephenson misses 3-pt jump shot from 25 ft,,90,89
3,1:37.0,,Defensive rebound by A. Tolliver,90,89
3,1:32.0,,D. Rose makes 2-pt layup from 1 ft,90,91
3,1:18.0,Personal foul by T. Jones (drawn by R. Rondo),,90,91
3,1:18.0,K. Caldwell-Pope enters the game for J. Hart,,90,91
3,1:18.0,,J. Butler enters the game for J. Okogie,90,91
3,1:03.0,R. Rondo makes 2-pt layup from 2 ft,,92,91
3,0:51.0,,D. Rose makes 2-pt jump shot from 16 ft,92,93
3,0:35.0,L. James misses 3-pt jump shot from 26 ft,,92,93
3,0:31.0,Offensive rebound by R. Rondo,,92,93
3,0:20.0,L. James makes 2-pt jump shot from 22 ft,,94,93
3,0:00.0,,D. Rose misses 2-pt jump shot from 7 ft,94,93
3,0:00.0,,Offensive rebound by Team,94,93
4,11:43.0,,D. Rose misses 2-pt layup at rim,94,93
4,11:41.0,,Offensive rebound by D. Rose,94,93
4,11:39.0,,G. Dieng misses 2-pt jump shot from 17 ft,94,93
4,11:36.0,Defensive rebound by L. James,,94,93
4,11:27.0,R. Rondo misses 2-pt layup at rim (block by A. Tolliver),,94,93
4,11:24.0,,Defensive rebound by A. Tolliver,94,93
4,11:21.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Rose),94,96
4,10:57.0,L. James makes 3-pt jump shot from 24 ft,,97,96
4,10:40.0,,Shooting foul by J. Williams (drawn by D. Rose),97,96
4,10:40.0,,D. Rose misses free throw 1 of 2,97,96
4,10:40.0,,Offensive rebound by Team,97,96
4,10:40.0,,D. Rose makes free throw 2 of 2,97,97
4,10:30.0,,Violation by Team (kicked ball),97,97
4,10:25.0,Turnover by B. Ingram (bad pass),,97,97
4,10:12.0,,Turnover by G. Dieng (traveling),97,97
4,9:54.0,R. Rondo makes 2-pt layup from 1 ft,,99,97
4,9:42.0,,Shooting foul by J. Williams (drawn by G. Dieng),99,97
4,9:42.0,,G. Dieng makes free throw 1 of 2,99,98
4,9:42.0,L. Ball enters the game for K. Caldwell-Pope,,99,98
4,9:42.0,,G. Dieng makes free throw 2 of 2,99,99
4,9:27.0,L. Ball misses 3-pt jump shot from 25 ft,,99,99
4,9:24.0,,Defensive rebound by J. Butler,99,99
4,9:18.0,,J. Butler makes 3-pt jump shot from 26 ft,99,102
4,9:16.0,LA Lakers full timeout,,99,102
4,9:16.0,J. McGee enters the game for J. Williams,,99,102
4,9:01.0,L. James makes 2-pt jump shot from 17 ft,,101,102
4,8:36.0,,J. Butler makes 3-pt jump shot from 25 ft,101,105
4,8:20.0,R. Rondo makes 2-pt layup from 4 ft,,103,105
4,8:05.0,,J. Butler misses 2-pt jump shot from 15 ft,103,105
4,8:01.0,Defensive rebound by B. Ingram,,103,105
4,7:52.0,Personal foul by A. Tolliver (drawn by J. McGee),,103,105
4,7:52.0,K. Kuzma enters the game for L. James,,103,105
