QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
1,3:59.0,Defensive rebound by M. Robinson,,22,16
1,3:55.0,New York full timeout,,22,16
1,3:55.0,J. Jenkins enters the game for D. Dotson,,22,16
1,3:55.0,L. Kornet enters the game for M. Robinson,,22,16
1,3:55.0,,M. Carter-Williams enters the game for D. Augustin,22,16
1,3:55.0,,T. Ross enters the game for E. Fournier,22,16
1,3:44.0,L. Kornet makes 2-pt layup from 1 ft (assist by J. Jenkins),,24,16
1,3:25.0,,J. Isaac misses 3-pt jump shot from 23 ft,24,16
1,3:23.0,,Offensive rebound by M. Carter-Williams,24,16
1,3:16.0,,J. Isaac makes 2-pt layup from 2 ft (assist by T. Ross),24,18
1,3:00.0,K. Knox misses 2-pt layup from 2 ft (block by M. Carter-Williams),,24,18
1,2:56.0,,Defensive rebound by W. Iwundu,24,18
1,2:54.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by W. Iwundu),24,21
1,2:39.0,K. Knox misses 3-pt jump shot from 26 ft,,24,21
1,2:37.0,,Defensive rebound by Team,24,21
1,2:37.0,,K. Birch enters the game for J. Isaac,24,21
1,2:37.0,,A. Gordon enters the game for N. Vučević,24,21
1,2:25.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by T. Ross),24,24
1,2:05.0,E. Mudiay misses 2-pt layup from 2 ft (block by A. Gordon),,24,24
1,2:01.0,,Defensive rebound by M. Carter-Williams,24,24
1,1:49.0,,A. Gordon makes 2-pt layup from 2 ft,24,26
1,1:44.0,New York full timeout,,24,26
1,1:44.0,B. Garrett enters the game for E. Mudiay,,24,26
1,1:29.0,L. Kornet misses 3-pt jump shot from 26 ft,,24,26
1,1:25.0,,Defensive rebound by M. Carter-Williams,24,26
1,1:17.0,,K. Birch misses 2-pt hook shot from 4 ft (block by L. Kornet),24,26
1,1:16.0,,Offensive rebound by K. Birch,24,26
1,1:15.0,,W. Iwundu misses 3-pt jump shot from 23 ft,24,26
1,1:06.0,Defensive rebound by J. Jenkins,,24,26
1,1:05.0,Personal foul by A. Gordon (drawn by L. Thomas),,24,26
1,1:05.0,H. Ellenson enters the game for K. Knox,,24,26
1,0:57.0,Turnover by L. Kornet (bad pass),,24,26
1,0:44.0,,K. Birch misses 2-pt layup from 1 ft,24,26
1,0:44.0,Defensive rebound by L. Thomas,,24,26
1,0:26.0,B. Garrett makes 2-pt jump shot from 3 ft (assist by J. Jenkins),,26,26
1,0:06.0,,M. Carter-Williams misses 3-pt jump shot from 27 ft,26,26
1,0:05.0,,Offensive rebound by Team,26,26
1,0:05.0,,Turnover by Team (shot clock),26,26
1,0:01.0,B. Garrett misses 3-pt jump shot from 26 ft,,26,26
1,0:01.0,,Defensive rebound by W. Iwundu,26,26
2,11:35.0,B. Garrett makes 2-pt layup from 2 ft,,28,26
2,11:19.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by T. Ross),28,29
2,11:01.0,H. Ellenson misses 2-pt jump shot from 7 ft,,28,29
2,11:01.0,,Defensive rebound by Team,28,29
2,10:48.0,,K. Birch makes 2-pt hook shot from 1 ft (assist by E. Fournier),28,31
2,10:33.0,Personal foul by M. Carter-Williams (drawn by B. Garrett),,28,31
2,10:27.0,J. Jenkins makes 2-pt jump shot from 13 ft (assist by B. Garrett),,30,31
2,10:11.0,,E. Fournier makes 2-pt jump shot from 23 ft,30,33
2,9:52.0,B. Garrett misses 2-pt jump shot from 20 ft,,30,33
2,9:49.0,,Defensive rebound by T. Ross,30,33
2,9:44.0,,T. Ross misses 3-pt jump shot from 26 ft,30,33
2,9:41.0,Defensive rebound by L. Thomas,,30,33
2,9:35.0,L. Kornet misses 3-pt jump shot from 26 ft,,30,33
2,9:32.0,,Defensive rebound by T. Ross,30,33
2,9:23.0,,T. Ross makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),30,36
2,9:13.0,New York full timeout,,30,36
2,9:13.0,E. Mudiay enters the game for B. Garrett,,30,36
2,9:03.0,J. Jenkins makes 2-pt jump shot from 21 ft (assist by E. Mudiay),,32,36
2,8:46.0,,T. Ross makes 2-pt layup from 2 ft (assist by A. Gordon),32,38
2,8:38.0,Shooting foul by M. Carter-Williams (drawn by E. Mudiay),,32,38
2,8:38.0,E. Mudiay makes free throw 1 of 2,,33,38
2,8:38.0,M. Hezonja enters the game for H. Ellenson,,33,38
2,8:38.0,M. Robinson enters the game for L. Kornet,,33,38
2,8:38.0,E. Mudiay misses free throw 2 of 2,,33,38
2,8:35.0,,Defensive rebound by K. Birch,33,38
2,8:19.0,,M. Carter-Williams misses 3-pt jump shot from 25 ft,33,38
2,8:15.0,Defensive rebound by M. Hezonja,,33,38
2,8:09.0,J. Jenkins misses 3-pt jump shot from 26 ft,,33,38
2,8:06.0,,Defensive rebound by K. Birch,33,38
2,7:56.0,,M. Carter-Williams makes 2-pt jump shot from 7 ft,33,40
2,7:39.0,E. Mudiay misses 2-pt jump shot from 15 ft,,33,40
2,7:35.0,,Defensive rebound by K. Birch,33,40
2,7:32.0,,E. Fournier makes 2-pt jump shot from 10 ft,33,42
2,7:32.0,Violation by Team (def goaltending),,33,42
2,7:32.0,,Shooting foul by J. Jenkins (drawn by E. Fournier),33,42
2,7:32.0,D. Dotson enters the game for J. Jenkins,,33,42
2,7:32.0,,D. Augustin enters the game for M. Carter-Williams,33,42
2,7:32.0,,J. Isaac enters the game for A. Gordon,33,42
2,7:32.0,,E. Fournier makes free throw 1 of 1,33,43
2,7:11.0,L. Thomas misses 3-pt jump shot from 25 ft,,33,43
2,7:08.0,,Defensive rebound by D. Augustin,33,43
2,7:04.0,,E. Fournier makes 2-pt jump shot from 16 ft (assist by D. Augustin),33,45
2,6:48.0,M. Hezonja makes 2-pt jump shot from 15 ft (assist by E. Mudiay),,35,45
2,6:28.0,,E. Fournier misses 2-pt jump shot from 21 ft,35,45
2,6:25.0,Defensive rebound by L. Thomas,,35,45
2,6:19.0,L. Thomas makes 2-pt layup from 1 ft,,37,45
2,6:19.0,Shooting foul by J. Isaac (drawn by L. Thomas),,37,45
2,6:19.0,,W. Iwundu enters the game for K. Birch,37,45
2,6:19.0,,N. Vučević enters the game for E. Fournier,37,45
2,6:19.0,L. Thomas misses free throw 1 of 1,,37,45
2,6:16.0,,Defensive rebound by N. Vučević,37,45
2,6:06.0,,Turnover by J. Isaac (bad pass; steal by L. Thomas),37,45
2,5:55.0,L. Thomas misses 2-pt jump shot from 13 ft,,37,45
2,5:51.0,,Defensive rebound by J. Isaac,37,45
2,5:36.0,,W. Iwundu makes 2-pt dunk from 1 ft (assist by N. Vučević),37,47
2,5:20.0,Turnover by D. Dotson (traveling),,37,47
2,5:20.0,K. Knox enters the game for L. Thomas,,37,47
2,5:12.0,,N. Vučević misses 3-pt jump shot from 26 ft,37,47
2,5:09.0,Defensive rebound by M. Hezonja,,37,47
2,5:05.0,,Violation by Team (kicked ball),37,47
2,4:57.0,E. Mudiay makes 2-pt jump shot from 14 ft,,39,47
2,4:35.0,,N. Vučević makes 2-pt hook shot from 11 ft,39,49
2,4:22.0,Turnover by K. Knox (traveling),,39,49
2,4:22.0,,A. Gordon enters the game for T. Ross,39,49
2,4:01.0,,J. Isaac misses 2-pt layup from 7 ft (block by E. Mudiay),39,49
2,4:01.0,,Offensive rebound by Team,39,49
2,3:59.0,,A. Gordon misses 2-pt jump shot from 19 ft,39,49
2,3:56.0,Defensive rebound by E. Mudiay,,39,49
2,3:44.0,M. Hezonja misses 2-pt jump shot from 9 ft,,39,49
2,3:41.0,M. Robinson makes 2-pt dunk from 1 ft,,41,49
2,3:41.0,Offensive rebound by M. Robinson,,41,49
2,3:20.0,,J. Isaac misses 3-pt jump shot from 24 ft,41,49
2,3:17.0,Defensive rebound by M. Hezonja,,41,49
2,3:08.0,M. Hezonja misses 3-pt jump shot from 27 ft,,41,49
2,3:04.0,,Defensive rebound by W. Iwundu,41,49
2,2:51.0,,Turnover by D. Augustin (bad pass; steal by M. Hezonja),41,49
2,2:46.0,M. Hezonja makes 2-pt layup from 1 ft,,43,49
2,2:41.0,,Orlando full timeout,43,49
2,2:41.0,,E. Fournier enters the game for W. Iwundu,43,49
2,2:33.0,,Turnover by J. Isaac (bad pass; steal by K. Knox),43,49
2,2:27.0,K. Knox makes 2-pt layup from 1 ft,,45,49
2,2:11.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),45,51
2,1:54.0,M. Hezonja misses 2-pt layup from 2 ft (block by N. Vučević),,45,51
2,1:50.0,,Defensive rebound by E. Fournier,45,51
2,1:47.0,,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),45,53
2,1:31.0,E. Mudiay misses 3-pt jump shot from 22 ft,,45,53
2,1:28.0,,Defensive rebound by E. Fournier,45,53
2,1:28.0,,T. Ross enters the game for J. Isaac,45,53
2,1:15.0,,E. Fournier misses 2-pt jump shot from 19 ft,45,53
2,1:13.0,Defensive rebound by E. Mudiay,,45,53
2,1:07.0,M. Hezonja misses 3-pt jump shot from 23 ft,,45,53
2,1:04.0,,Defensive rebound by N. Vučević,45,53
2,0:45.0,,D. Augustin misses 3-pt jump shot from 27 ft,45,53
2,0:41.0,,Offensive rebound by A. Gordon,45,53
2,0:36.0,,D. Augustin misses 2-pt layup from 2 ft,45,53
2,0:36.0,,N. Vučević makes 2-pt dunk at rim,45,55
2,0:36.0,,Offensive rebound by N. Vučević,45,55
2,0:15.0,Turnover by D. Dotson (bad pass),,45,55
2,0:05.0,,Personal take foul by E. Mudiay (drawn by D. Augustin),45,55
2,0:01.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),45,58
3,11:48.0,Violation by Team (kicked ball),,45,58
3,11:30.0,,Shooting foul by M. Hezonja (drawn by A. Gordon),45,58
3,11:30.0,,A. Gordon misses free throw 1 of 2,45,58
3,11:30.0,,Offensive rebound by Team,45,58
3,11:30.0,,A. Gordon makes free throw 2 of 2,45,59
3,11:19.0,K. Knox misses 2-pt jump shot from 14 ft,,45,59
3,11:17.0,,Defensive rebound by N. Vučević,45,59
3,11:10.0,,N. Vučević misses 3-pt jump shot from 25 ft,45,59
3,11:10.0,Defensive rebound by K. Knox,,45,59
3,10:55.0,Turnover by M. Hezonja (traveling),,45,59
3,10:45.0,,E. Fournier misses 2-pt layup from 4 ft (block by K. Knox),45,59
3,10:40.0,Defensive rebound by E. Mudiay,,45,59
3,10:38.0,D. Dotson misses 2-pt layup from 2 ft (block by J. Isaac),,45,59
3,10:32.0,,Defensive rebound by J. Isaac,45,59
3,10:27.0,,Turnover by A. Gordon (bad pass; steal by M. Robinson),45,59
3,10:18.0,Shooting foul by N. Vučević (drawn by K. Knox),,45,59
3,10:18.0,K. Knox makes free throw 1 of 2,,46,59
3,10:18.0,K. Knox makes free throw 2 of 2,,47,59
3,10:00.0,,N. Vučević misses 2-pt jump shot from 7 ft,47,59
3,10:00.0,,Offensive rebound by Team,47,59
3,10:00.0,Loose ball foul by K. Knox (drawn by J. Isaac),,47,59
3,9:53.0,,Shooting foul by M. Robinson (drawn by A. Gordon),47,59
3,9:53.0,,A. Gordon misses free throw 1 of 2,47,59
3,9:53.0,,Offensive rebound by Team,47,59
3,9:53.0,,A. Gordon makes free throw 2 of 2,47,60
3,9:42.0,E. Mudiay misses 3-pt jump shot from 25 ft,,47,60
3,9:39.0,,Defensive rebound by Team,47,60
3,9:27.0,,D. Augustin makes 3-pt jump shot from 25 ft,47,63
3,9:14.0,Shooting foul by N. Vučević (drawn by M. Hezonja),,47,63
3,9:14.0,M. Hezonja makes free throw 1 of 2,,48,63
3,9:14.0,M. Hezonja makes free throw 2 of 2,,49,63
3,9:02.0,,N. Vučević misses 2-pt layup from 2 ft,49,63
3,9:00.0,Defensive rebound by M. Robinson,,49,63
3,8:58.0,M. Hezonja makes 2-pt layup from 1 ft (assist by E. Mudiay),,51,63
3,8:58.0,,Violation by Team (def goaltending),51,63
3,8:43.0,,J. Isaac misses 3-pt jump shot from 27 ft,51,63
3,8:42.0,Defensive rebound by Team,,51,63
3,8:33.0,M. Hezonja makes 2-pt layup from 1 ft,,53,63
3,8:33.0,,Orlando full timeout,53,63
3,8:33.0,Violation by Team (delay of game),,53,63
3,8:19.0,,N. Vučević misses 2-pt jump shot from 9 ft,53,63
3,8:15.0,,Offensive rebound by J. Isaac,53,63
3,8:15.0,,J. Isaac misses 2-pt dunk from 1 ft,53,63
3,8:14.0,,Offensive rebound by J. Isaac,53,63
3,8:12.0,,J. Isaac misses 2-pt layup from 3 ft,53,63
3,8:09.0,Defensive rebound by M. Robinson,,53,63
3,8:03.0,Shooting foul by J. Isaac (drawn by M. Hezonja),,53,63
3,8:03.0,M. Hezonja makes free throw 1 of 2,,54,63
3,8:03.0,M. Hezonja makes free throw 2 of 2,,55,63
3,7:52.0,,E. Fournier misses 2-pt jump shot from 22 ft,55,63
3,7:49.0,Defensive rebound by M. Hezonja,,55,63
3,7:35.0,K. Knox misses 2-pt jump shot from 7 ft,,55,63
3,7:34.0,M. Robinson misses 2-pt dunk at rim,,55,63
3,7:34.0,Offensive rebound by M. Robinson,,55,63
3,7:34.0,Offensive rebound by M. Robinson,,55,63
3,7:33.0,M. Robinson misses 2-pt layup from 4 ft (block by E. Fournier),,55,63
3,7:33.0,,Defensive rebound by Team,55,63
3,7:24.0,,J. Isaac misses 3-pt jump shot from 26 ft,55,63
3,7:21.0,Defensive rebound by D. Dotson,,55,63
3,7:17.0,Personal foul by A. Gordon (drawn by M. Hezonja),,55,63
3,7:12.0,M. Hezonja misses 2-pt jump shot from 17 ft,,55,63
3,7:10.0,Offensive rebound by E. Mudiay,,55,63
3,7:08.0,E. Mudiay makes 2-pt jump shot from 12 ft,,57,63
3,6:53.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),57,65
3,6:36.0,Turnover by M. Hezonja (bad pass; steal by A. Gordon),,57,65
3,6:32.0,,Personal take foul by E. Mudiay (drawn by D. Augustin),57,65
3,6:19.0,,Personal foul by M. Hezonja (drawn by N. Vučević),57,65
3,6:19.0,,N. Vučević misses free throw 1 of 2,57,65
3,6:19.0,,Offensive rebound by Team,57,65
3,6:19.0,,N. Vučević makes free throw 2 of 2,57,66
3,6:08.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by K. Knox),,59,66
3,5:43.0,,J. Isaac misses 2-pt jump shot from 14 ft,59,66
3,5:40.0,,Offensive rebound by N. Vučević,59,66
3,5:35.0,,D. Augustin makes 2-pt jump shot from 11 ft (assist by N. Vučević),59,68
3,5:17.0,K. Knox makes 2-pt hook shot from 10 ft,,61,68
3,5:00.0,,A. Gordon misses 3-pt jump shot from 23 ft,61,68
3,4:57.0,Defensive rebound by M. Hezonja,,61,68
3,4:49.0,E. Mudiay makes 3-pt jump shot from 27 ft (assist by M. Hezonja),,64,68
3,4:26.0,,J. Isaac misses 3-pt jump shot from 23 ft,64,68
3,4:22.0,,Offensive rebound by A. Gordon,64,68
3,4:19.0,,A. Gordon makes 2-pt dunk from 1 ft,64,70
3,4:03.0,M. Hezonja makes 2-pt jump shot from 2 ft,,66,70
3,3:37.0,,J. Isaac misses 3-pt jump shot from 23 ft,66,70
3,3:33.0,,Offensive rebound by D. Augustin,66,70
3,3:24.0,,A. Gordon misses 2-pt jump shot from 8 ft,66,70
3,3:22.0,,Offensive rebound by Team,66,70
3,3:22.0,B. Garrett enters the game for D. Dotson,,66,70
3,3:22.0,L. Kornet enters the game for M. Robinson,,66,70
3,3:22.0,,M. Carter-Williams enters the game for D. Augustin,66,70
3,3:22.0,,W. Iwundu enters the game for E. Fournier,66,70
3,3:22.0,,T. Ross enters the game for A. Gordon,66,70
3,3:11.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,66,70
3,3:10.0,,Offensive rebound by J. Isaac,66,70
3,3:10.0,,J. Isaac makes 2-pt layup from 1 ft,66,72
3,2:54.0,E. Mudiay misses 2-pt layup from 2 ft,,66,72
3,2:54.0,Offensive rebound by L. Kornet,,66,72
3,2:49.0,K. Knox makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,69,72
3,2:27.0,,N. Vučević makes 2-pt hook shot from 6 ft,69,74
3,2:16.0,M. Hezonja makes 2-pt jump shot from 11 ft,,71,74
3,2:00.0,,T. Ross makes 2-pt jump shot from 5 ft (assist by M. Carter-Williams),71,76
3,1:51.0,Personal foul by J. Isaac (drawn by E. Mudiay),,71,76
3,1:51.0,New York full timeout,,71,76
3,1:51.0,,K. Birch enters the game for J. Isaac,71,76
3,1:51.0,,A. Gordon enters the game for N. Vučević,71,76
3,1:51.0,E. Mudiay misses free throw 1 of 2,,71,76
3,1:51.0,Offensive rebound by Team,,71,76
3,1:51.0,E. Mudiay makes free throw 2 of 2,,72,76
3,1:36.0,,T. Ross misses 3-pt jump shot from 26 ft,72,76
3,1:33.0,Defensive rebound by M. Hezonja,,72,76
3,1:23.0,M. Hezonja misses 2-pt layup from 2 ft,,72,76
3,1:23.0,Offensive rebound by L. Kornet,,72,76
3,1:23.0,Personal foul by K. Birch (drawn by L. Kornet),,72,76
3,1:23.0,L. Kornet makes free throw 1 of 2,,73,76
3,1:23.0,L. Kornet makes free throw 2 of 2,,74,76
3,1:05.0,,T. Ross makes 3-pt jump shot from 27 ft,74,79
3,0:45.0,L. Kornet misses 3-pt jump shot from 29 ft,,74,79
3,0:42.0,,Defensive rebound by T. Ross,74,79
3,0:36.0,,T. Ross makes 3-pt jump shot from 26 ft,74,82
3,0:24.0,Turnover by E. Mudiay (bad pass; steal by T. Ross),,74,82
3,0:02.0,,T. Ross makes 3-pt jump shot from 27 ft,74,85
4,11:45.0,,K. Birch makes 2-pt dunk from 1 ft (assist by A. Gordon),74,87
4,11:33.0,M. Hezonja makes 2-pt layup from 1 ft,,76,87
4,11:18.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by A. Gordon),76,89
4,11:01.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by M. Hezonja),,79,89
4,10:40.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by T. Ross),79,91
4,10:22.0,L. Kornet misses 3-pt jump shot from 26 ft,,79,91
4,10:18.0,,Defensive rebound by A. Gordon,79,91
4,10:13.0,,T. Ross misses 3-pt jump shot from 25 ft,79,91
4,10:11.0,,Offensive rebound by Team,79,91
4,10:08.0,,E. Fournier makes 2-pt jump shot from 16 ft (assist by T. Ross),79,93
4,10:08.0,New York full timeout,,79,93
4,10:08.0,E. Mudiay enters the game for B. Garrett,,79,93
4,10:08.0,M. Robinson enters the game for L. Kornet,,79,93
4,9:59.0,Turnover by E. Mudiay (bad pass; steal by E. Fournier),,79,93
4,9:54.0,,E. Fournier misses 3-pt jump shot from 26 ft,79,93
4,9:51.0,Defensive rebound by M. Hezonja,,79,93
4,9:46.0,M. Hezonja makes 3-pt jump shot from 28 ft,,82,93
4,9:26.0,,E. Fournier misses 2-pt layup from 3 ft,82,93
4,9:24.0,Defensive rebound by M. Hezonja,,82,93
4,9:19.0,J. Jenkins misses 2-pt jump shot from 21 ft,,82,93
4,9:16.0,,Defensive rebound by A. Gordon,82,93
4,9:10.0,,Turnover by A. Gordon (bad pass; steal by M. Robinson),82,93
4,9:05.0,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Mudiay),,84,93
4,9:05.0,,Orlando full timeout,84,93
4,8:56.0,,T. Ross misses 3-pt jump shot from 27 ft (block by M. Robinson),84,93
4,8:51.0,Defensive rebound by J. Jenkins,,84,93
4,8:43.0,M. Hezonja misses 3-pt jump shot from 26 ft,,84,93
4,8:39.0,,Defensive rebound by T. Ross,84,93
4,8:30.0,,Turnover by T. Ross (bad pass; steal by E. Mudiay),84,93
4,8:20.0,Shooting foul by K. Birch (drawn by E. Mudiay),,84,93
4,8:20.0,E. Mudiay makes free throw 1 of 2,,85,93
4,8:20.0,E. Mudiay makes free throw 2 of 2,,86,93
4,8:05.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),86,96
4,7:47.0,M. Hezonja makes 2-pt jump shot from 2 ft,,88,96
4,7:26.0,,E. Fournier misses 2-pt jump shot from 21 ft,88,96
4,7:25.0,,Offensive rebound by K. Birch,88,96
4,7:25.0,,K. Birch makes 2-pt layup from 1 ft,88,98
4,7:25.0,,Shooting foul by M. Robinson (drawn by K. Birch),88,98
4,7:25.0,K. Knox enters the game for J. Jenkins,,88,98
4,7:25.0,,K. Birch makes free throw 1 of 1,88,99
4,7:14.0,Turnover by M. Hezonja (lost ball; steal by M. Carter-Williams),,88,99
4,7:08.0,,T. Ross misses 3-pt jump shot from 22 ft,88,99
4,7:02.0,,Offensive rebound by A. Gordon,88,99
4,7:02.0,,A. Gordon misses 2-pt dunk from 1 ft (block by M. Robinson),88,99
4,7:00.0,Defensive rebound by M. Hezonja,,88,99
4,6:59.0,E. Mudiay misses 2-pt layup from 2 ft (block by K. Birch),,88,99
4,6:55.0,,Defensive rebound by M. Carter-Williams,88,99
4,6:53.0,,Turnover by E. Fournier (traveling),88,99
4,6:53.0,,N. Vučević enters the game for K. Birch,88,99
4,6:41.0,K. Knox misses 2-pt layup from 7 ft,,88,99
4,6:38.0,,Defensive rebound by M. Carter-Williams,88,99
4,6:32.0,,T. Ross makes 2-pt layup from 2 ft (assist by M. Carter-Williams),88,101
4,6:31.0,New York full timeout,,88,101
4,6:31.0,,D. Augustin enters the game for E. Fournier,88,101
4,6:19.0,M. Hezonja makes 2-pt jump shot from 14 ft,,90,101
4,6:02.0,,N. Vučević misses 2-pt jump shot from 17 ft,90,101
4,6:00.0,Defensive rebound by K. Knox,,90,101
4,5:52.0,Def 3 sec tech foul by Team,,90,101
4,5:52.0,M. Hezonja makes technical free throw,,91,101
4,5:47.0,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),,93,101
4,5:33.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by D. Augustin),93,104
4,5:20.0,M. Hezonja misses 3-pt jump shot from 27 ft,,93,104
4,5:15.0,Offensive rebound by K. Knox,,93,104
4,5:13.0,K. Knox makes 3-pt jump shot from 23 ft,,96,104
4,5:01.0,,N. Vučević misses 2-pt layup from 6 ft,96,104
4,5:00.0,,Offensive rebound by M. Carter-Williams,96,104
4,5:00.0,,Shooting foul by D. Dotson (drawn by M. Carter-Williams),96,104
