QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
1,5:56.0,,Turnover by A. Johnson (bad pass),16,8
1,5:56.0,,Philadelphia full timeout,16,8
1,5:56.0,,M. Muscala enters the game for W. Chandler,16,8
1,5:40.0,R. Hood makes 2-pt jump shot from 15 ft (assist by C. Osman),,18,8
1,5:29.0,,Turnover by B. Simmons (bad pass; steal by D. Nwaba),18,8
1,5:22.0,C. Osman misses 3-pt jump shot from 23 ft,,18,8
1,5:18.0,Offensive rebound by T. Thompson,,18,8
1,5:17.0,Turnover by T. Thompson (lost ball; steal by J. Butler),,18,8
1,5:13.0,,M. Muscala misses 3-pt jump shot from 27 ft,18,8
1,5:08.0,Defensive rebound by D. Nwaba,,18,8
1,5:03.0,R. Hood misses 2-pt layup from 5 ft,,18,8
1,5:00.0,Offensive rebound by T. Thompson,,18,8
1,5:00.0,T. Thompson misses 2-pt layup from 1 ft,,18,8
1,4:59.0,Offensive rebound by R. Hood,,18,8
1,4:56.0,T. Thompson makes 2-pt hook shot from 3 ft (assist by C. Osman),,20,8
1,4:31.0,,L. Shamet misses 3-pt jump shot from 30 ft,20,8
1,4:29.0,Defensive rebound by Team,,20,8
1,4:11.0,C. Sexton makes 2-pt jump shot from 13 ft,,22,8
1,3:57.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by L. Shamet),22,11
1,3:32.0,Turnover by C. Sexton (turnover),,22,11
1,3:32.0,,Personal foul by C. Sexton (drawn by M. Muscala),22,11
1,3:32.0,J. Clarkson enters the game for R. Hood,,22,11
1,3:32.0,L. Nance enters the game for T. Thompson,,22,11
1,3:32.0,,J. Redick enters the game for J. Butler,22,11
1,3:18.0,,L. Shamet misses 3-pt jump shot from 26 ft,22,11
1,3:14.0,Defensive rebound by L. Nance,,22,11
1,2:57.0,C. Osman makes 2-pt layup from 1 ft,,24,11
1,2:47.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),24,14
1,2:34.0,C. Sexton makes 2-pt jump shot from 21 ft,,26,14
1,2:23.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Redick),26,17
1,2:07.0,Cleveland full timeout,,26,17
1,2:07.0,K. Korver enters the game for D. Nwaba,,26,17
1,2:07.0,,J. Embiid enters the game for A. Johnson,26,17
1,2:07.0,,T. McConnell enters the game for B. Simmons,26,17
1,1:59.0,Shooting foul by T. McConnell (drawn by C. Osman),,26,17
1,1:59.0,C. Osman makes free throw 1 of 2,,27,17
1,1:59.0,C. Osman makes free throw 2 of 2,,28,17
1,1:50.0,,Personal foul by L. Nance (drawn by J. Embiid),28,17
1,1:42.0,,L. Shamet makes 2-pt layup from 4 ft (assist by M. Muscala),28,19
1,1:26.0,C. Sexton misses 2-pt jump shot from 17 ft,,28,19
1,1:24.0,,Defensive rebound by J. Embiid,28,19
1,1:07.0,,Turnover by J. Embiid (lost ball; steal by C. Sexton),28,19
1,1:03.0,J. Clarkson misses 3-pt jump shot from 23 ft,,28,19
1,1:00.0,Offensive rebound by C. Sexton,,28,19
1,0:52.0,C. Osman misses 3-pt jump shot from 26 ft,,28,19
1,0:49.0,,Defensive rebound by J. Embiid,28,19
1,0:34.0,,L. Shamet makes 2-pt jump shot from 9 ft,28,21
1,0:12.0,C. Osman makes 3-pt jump shot from 27 ft (assist by L. Nance),,31,21
1,0:03.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),31,23
2,11:43.0,,Turnover by J. Embiid (bad pass; steal by L. Nance),31,23
2,11:37.0,K. Korver misses 3-pt jump shot from 26 ft,,31,23
2,11:34.0,,Defensive rebound by M. Muscala,31,23
2,11:23.0,,J. Redick misses 3-pt jump shot from 26 ft,31,23
2,11:23.0,Defensive rebound by Team,,31,23
2,11:23.0,,Loose ball foul by J. Embiid (drawn by K. Korver),31,23
2,11:10.0,J. Clarkson misses 3-pt jump shot from 25 ft,,31,23
2,11:07.0,,Defensive rebound by M. Muscala,31,23
2,11:00.0,,Personal foul by A. Harrison (drawn by M. Muscala),31,23
2,10:53.0,,Shooting foul by J. Clarkson (drawn by J. Redick),31,23
2,10:53.0,,J. Redick makes free throw 1 of 2,31,24
2,10:53.0,,J. Redick makes free throw 2 of 2,31,25
2,10:41.0,Offensive foul by K. Korver (drawn by W. Chandler),,31,25
2,10:41.0,Turnover by K. Korver (offensive foul),,31,25
2,10:31.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by T. McConnell),31,28
2,10:20.0,L. Nance misses 2-pt layup from 7 ft,,31,28
2,10:17.0,Offensive rebound by A. Harrison,,31,28
2,10:12.0,R. Hood misses 2-pt layup from 4 ft,,31,28
2,10:09.0,Offensive rebound by R. Hood,,31,28
2,10:07.0,K. Korver misses 3-pt jump shot from 28 ft,,31,28
2,10:04.0,,Defensive rebound by J. Embiid,31,28
2,10:03.0,,Personal foul by A. Harrison (drawn by T. McConnell),31,28
2,9:59.0,,Personal foul by J. Clarkson (drawn by J. Redick),31,28
2,9:46.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by W. Chandler),31,31
2,9:33.0,Cleveland full timeout,,31,31
2,9:33.0,T. Thompson enters the game for J. Clarkson,,31,31
2,9:16.0,T. Thompson makes 2-pt jump shot from 8 ft (assist by A. Harrison),,33,31
2,9:05.0,,Personal foul by T. Thompson (drawn by J. Embiid),33,31
2,9:05.0,,J. Embiid misses free throw 1 of 2,33,31
2,9:05.0,,Offensive rebound by Team,33,31
2,9:05.0,,J. Embiid makes free throw 2 of 2,33,32
2,8:44.0,T. Thompson makes 2-pt jump shot from 5 ft,,35,32
2,8:35.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. McConnell),35,35
2,8:11.0,R. Hood makes 2-pt jump shot from 11 ft,,37,35
2,7:58.0,,Shooting foul by L. Nance (drawn by J. Embiid),37,35
2,7:58.0,,J. Embiid makes free throw 1 of 2,37,36
2,7:58.0,D. Nwaba enters the game for A. Harrison,,37,36
2,7:58.0,C. Osman enters the game for K. Korver,,37,36
2,7:58.0,C. Sexton enters the game for L. Nance,,37,36
2,7:58.0,,J. Butler enters the game for T. McConnell,37,36
2,7:58.0,,B. Simmons enters the game for M. Muscala,37,36
2,7:58.0,,J. Embiid makes free throw 2 of 2,37,37
2,7:39.0,R. Hood makes 2-pt jump shot from 9 ft,,39,37
2,7:31.0,,J. Redick misses 2-pt jump shot from 22 ft,39,37
2,7:29.0,Defensive rebound by D. Nwaba,,39,37
2,7:12.0,C. Osman makes 2-pt jump shot from 15 ft,,41,37
2,7:12.0,Shooting foul by J. Redick (drawn by C. Osman),,41,37
2,7:12.0,C. Osman misses free throw 1 of 1,,41,37
2,7:12.0,,Defensive rebound by J. Embiid,41,37
2,6:55.0,,J. Embiid misses 2-pt jump shot from 10 ft,41,37
2,6:53.0,Defensive rebound by T. Thompson,,41,37
2,6:49.0,D. Nwaba makes 2-pt layup from 3 ft (assist by C. Sexton),,43,37
2,6:24.0,,J. Embiid makes 3-pt jump shot from 27 ft (assist by W. Chandler),43,40
2,6:03.0,Shooting foul by J. Redick (drawn by D. Nwaba),,43,40
2,6:03.0,D. Nwaba misses free throw 1 of 2,,43,40
2,6:03.0,Offensive rebound by Team,,43,40
2,6:03.0,,A. Johnson enters the game for J. Embiid,43,40
2,6:03.0,,L. Shamet enters the game for J. Redick,43,40
2,6:03.0,D. Nwaba makes free throw 2 of 2,,44,40
2,5:42.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Simmons),44,43
2,5:17.0,C. Sexton makes 2-pt layup from 2 ft,,46,43
2,5:06.0,,W. Chandler misses 3-pt jump shot from 26 ft,46,43
2,5:04.0,Defensive rebound by D. Nwaba,,46,43
2,4:54.0,R. Hood makes 2-pt jump shot from 6 ft,,48,43
2,4:34.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by A. Johnson),48,45
2,4:19.0,C. Sexton misses 2-pt jump shot from 21 ft,,48,45
2,4:16.0,,Defensive rebound by L. Shamet,48,45
2,4:09.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by B. Simmons),48,48
2,3:48.0,Turnover by C. Sexton (bad pass; steal by B. Simmons),,48,48
2,3:45.0,,B. Simmons makes 2-pt layup from 2 ft,48,50
2,3:23.0,R. Hood misses 2-pt jump shot from 7 ft,,48,50
2,3:20.0,,Defensive rebound by A. Johnson,48,50
2,3:14.0,,A. Johnson misses 3-pt jump shot from 25 ft,48,50
2,3:10.0,Defensive rebound by C. Osman,,48,50
2,2:50.0,D. Nwaba misses 2-pt layup from 1 ft,,48,50
2,2:48.0,,Defensive rebound by J. Butler,48,50
2,2:42.0,,W. Chandler makes 2-pt layup at rim (assist by B. Simmons),48,52
2,2:17.0,C. Osman misses 2-pt layup from 2 ft,,48,52
2,2:17.0,Offensive rebound by T. Thompson,,48,52
2,2:16.0,T. Thompson makes 2-pt dunk from 1 ft,,50,52
2,2:16.0,,Philadelphia full timeout,50,52
2,2:16.0,,J. Embiid enters the game for W. Chandler,50,52
2,2:16.0,,M. Muscala enters the game for A. Johnson,50,52
2,2:02.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),50,54
2,1:38.0,R. Hood makes 2-pt jump shot from 19 ft,,52,54
2,1:25.0,,L. Shamet misses 3-pt jump shot from 26 ft,52,54
2,1:23.0,Defensive rebound by C. Osman,,52,54
2,1:03.0,C. Osman misses 2-pt jump shot from 9 ft,,52,54
2,1:01.0,,Defensive rebound by M. Muscala,52,54
2,0:56.0,,M. Muscala misses 3-pt jump shot from 26 ft,52,54
2,0:53.0,Defensive rebound by T. Thompson,,52,54
2,0:34.0,C. Sexton misses 2-pt layup from 3 ft,,52,54
2,0:34.0,Offensive rebound by Team,,52,54
2,0:34.0,A. Žižić enters the game for T. Thompson,,52,54
2,0:32.0,C. Sexton makes 2-pt layup from 1 ft (assist by D. Nwaba),,54,54
2,0:17.0,,J. Embiid misses 2-pt jump shot from 14 ft,54,54
2,0:14.0,Defensive rebound by C. Sexton,,54,54
2,0:00.0,C. Sexton misses 2-pt jump shot from 22 ft,,54,54
2,0:00.0,Offensive rebound by Team,,54,54
3,11:47.0,,J. Embiid makes 2-pt jump shot from 13 ft,54,56
3,11:33.0,Shooting foul by J. Redick (drawn by D. Nwaba),,54,56
3,11:33.0,D. Nwaba makes free throw 1 of 2,,55,56
3,11:33.0,,L. Shamet enters the game for J. Redick,55,56
3,11:33.0,D. Nwaba misses free throw 2 of 2,,55,56
3,11:30.0,,Defensive rebound by J. Embiid,55,56
3,11:10.0,,B. Simmons makes 2-pt hook shot from 7 ft,55,58
3,10:57.0,C. Sexton makes 2-pt jump shot from 18 ft,,57,58
3,10:45.0,,B. Simmons misses 2-pt layup from 5 ft (block by C. Sexton),57,58
3,10:42.0,Defensive rebound by C. Sexton,,57,58
3,10:37.0,T. Thompson makes 2-pt hook shot from 11 ft (assist by C. Sexton),,59,58
3,10:24.0,,Personal foul by C. Osman (drawn by B. Simmons),59,58
3,10:11.0,,J. Embiid makes 2-pt dunk from 1 ft,59,60
3,9:53.0,Offensive foul by T. Thompson (drawn by W. Chandler),,59,60
3,9:53.0,Turnover by T. Thompson (offensive foul),,59,60
3,9:42.0,,J. Butler misses 2-pt layup from 1 ft,59,60
3,9:39.0,Defensive rebound by D. Nwaba,,59,60
3,9:23.0,R. Hood makes 3-pt jump shot from 27 ft,,62,60
3,9:07.0,,W. Chandler makes 2-pt jump shot from 6 ft (assist by J. Butler),62,62
3,8:41.0,R. Hood misses 2-pt jump shot from 18 ft,,62,62
3,8:37.0,,Defensive rebound by B. Simmons,62,62
3,8:35.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),62,65
3,8:33.0,Cleveland full timeout,,62,65
3,8:18.0,D. Nwaba makes 3-pt jump shot from 27 ft (assist by R. Hood),,65,65
3,7:58.0,,J. Butler misses 2-pt jump shot from 9 ft,65,65
3,7:56.0,Defensive rebound by C. Osman,,65,65
3,7:43.0,C. Sexton makes 2-pt jump shot from 16 ft,,67,65
3,7:22.0,,Turnover by W. Chandler (traveling),67,65
3,7:22.0,,A. Johnson enters the game for W. Chandler,67,65
3,7:22.0,,M. Muscala enters the game for J. Embiid,67,65
3,7:09.0,Turnover by D. Nwaba (bad pass; steal by J. Butler),,67,65
3,7:06.0,,J. Butler makes 2-pt dunk at rim,67,67
3,6:42.0,C. Sexton misses 2-pt jump shot from 6 ft,,67,67
3,6:42.0,Offensive rebound by Team,,67,67
3,6:41.0,Turnover by Team (shot clock),,67,67
3,6:29.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Simmons),67,70
3,6:11.0,C. Sexton misses 2-pt jump shot from 19 ft,,67,70
3,6:09.0,,Defensive rebound by A. Johnson,67,70
3,5:50.0,,Shooting foul by C. Osman (drawn by J. Butler),67,70
3,5:50.0,,J. Butler misses free throw 1 of 2,67,70
3,5:50.0,,Offensive rebound by Team,67,70
3,5:50.0,,J. Butler makes free throw 2 of 2,67,71
3,5:42.0,Shooting foul by J. Butler (drawn by C. Sexton),,67,71
3,5:42.0,C. Sexton makes free throw 1 of 2,,68,71
3,5:42.0,L. Nance enters the game for D. Nwaba,,68,71
3,5:42.0,C. Sexton makes free throw 2 of 2,,69,71
3,5:27.0,,J. Butler misses 2-pt layup from 6 ft,69,71
3,5:23.0,,A. Johnson misses 2-pt layup from 1 ft,69,71
3,5:23.0,,Offensive rebound by A. Johnson,69,71
3,5:21.0,,Offensive rebound by J. Butler,69,71
3,5:21.0,,J. Butler misses 2-pt layup from 1 ft,69,71
3,5:21.0,,Offensive rebound by A. Johnson,69,71
3,5:18.0,,A. Johnson makes 2-pt layup from 2 ft,69,73
3,5:05.0,T. Thompson misses 2-pt hook shot from 7 ft,,69,73
3,5:02.0,,Defensive rebound by B. Simmons,69,73
3,4:56.0,,M. Muscala misses 3-pt jump shot from 26 ft,69,73
3,4:56.0,Defensive rebound by C. Sexton,,69,73
3,4:50.0,C. Sexton makes 2-pt layup from 2 ft,,71,73
3,4:41.0,,B. Simmons misses 2-pt layup from 2 ft,71,73
3,4:39.0,Defensive rebound by L. Nance,,71,73
3,4:34.0,Turnover by C. Osman (lost ball; steal by M. Muscala),,71,73
3,4:28.0,,J. Butler makes 2-pt layup from 3 ft (assist by B. Simmons),71,75
3,4:04.0,T. Thompson misses 2-pt hook shot from 9 ft,,71,75
3,4:02.0,,Defensive rebound by L. Shamet,71,75
3,3:57.0,,L. Shamet misses 3-pt jump shot from 26 ft,71,75
3,3:56.0,Defensive rebound by L. Nance,,71,75
3,3:56.0,Cleveland full timeout,,71,75
3,3:35.0,R. Hood makes 3-pt jump shot from 25 ft,,74,75
3,3:14.0,,J. Butler makes 2-pt jump shot from 16 ft,74,77
3,2:58.0,C. Sexton misses 2-pt layup from 3 ft,,74,77
3,2:56.0,,Defensive rebound by M. Muscala,74,77
3,2:52.0,,B. Simmons makes 2-pt layup from 1 ft,74,79
3,2:30.0,R. Hood makes 3-pt jump shot from 26 ft,,77,79
3,2:28.0,,Philadelphia full timeout,77,79
3,2:28.0,J. Clarkson enters the game for C. Osman,,77,79
3,2:28.0,D. Nwaba enters the game for T. Thompson,,77,79
3,2:28.0,,W. Chandler enters the game for J. Butler,77,79
3,2:28.0,,J. Embiid enters the game for A. Johnson,77,79
3,2:28.0,,T. McConnell enters the game for B. Simmons,77,79
3,2:15.0,,T. McConnell makes 2-pt jump shot from 19 ft (assist by J. Embiid),77,81
3,2:06.0,Personal foul by W. Chandler (drawn by R. Hood),,77,81
3,1:53.0,R. Hood misses 2-pt jump shot from 18 ft,,77,81
3,1:50.0,,Defensive rebound by W. Chandler,77,81
3,1:47.0,,Turnover by T. McConnell (bad pass; steal by L. Nance),77,81
3,1:47.0,Personal foul by J. Embiid (drawn by L. Nance),,77,81
3,1:34.0,J. Clarkson misses 2-pt jump shot from 22 ft,,77,81
3,1:31.0,,Defensive rebound by W. Chandler,77,81
3,1:23.0,,Personal foul by L. Nance (drawn by J. Embiid),77,81
3,1:23.0,A. Harrison enters the game for C. Sexton,,77,81
3,1:10.0,,M. Muscala misses 3-pt jump shot from 24 ft,77,81
3,1:06.0,Defensive rebound by R. Hood,,77,81
3,0:59.0,L. Nance makes 2-pt dunk from 1 ft (assist by A. Harrison),,79,81
3,0:45.0,,Turnover by T. McConnell (lost ball; steal by L. Nance),79,81
3,0:42.0,J. Clarkson makes 2-pt layup from 2 ft (assist by L. Nance),,81,81
3,0:42.0,Shooting foul by L. Shamet (drawn by J. Clarkson),,81,81
3,0:42.0,J. Clarkson makes free throw 1 of 1,,82,81
3,0:28.0,,Shooting foul by A. Harrison (drawn by J. Embiid),82,81
3,0:28.0,,J. Embiid makes free throw 1 of 2,82,82
3,0:28.0,,J. Embiid makes free throw 2 of 2,82,83
3,0:07.0,J. Clarkson makes 2-pt jump shot from 18 ft,,84,83
3,0:00.0,,M. Muscala misses 3-pt jump shot from 29 ft,84,83
3,0:00.0,,Offensive rebound by Team,84,83
4,11:48.0,J. Clarkson makes 2-pt jump shot from 13 ft,,86,83
4,11:30.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),86,85
4,11:03.0,J. Clarkson makes 2-pt jump shot from 16 ft,,88,85
4,10:43.0,,J. Embiid misses 2-pt jump shot from 18 ft,88,85
4,10:43.0,,Offensive rebound by Team,88,85
4,10:37.0,,Personal foul by D. Nwaba (drawn by M. Muscala),88,85
4,10:28.0,,L. Shamet misses 3-pt jump shot from 27 ft,88,85
4,10:25.0,Defensive rebound by C. Osman,,88,85
4,10:18.0,C. Osman makes 2-pt jump shot from 20 ft,,90,85
4,10:06.0,,Personal foul by L. Nance (drawn by J. Embiid),90,85
4,9:56.0,,M. Muscala misses 3-pt jump shot from 26 ft,90,85
4,9:51.0,Defensive rebound by D. Nwaba,,90,85
4,9:33.0,C. Osman misses 2-pt jump shot from 20 ft,,90,85
4,9:31.0,,Defensive rebound by J. Embiid,90,85
4,9:28.0,,Shooting foul by J. Clarkson (drawn by J. Redick),90,85
4,9:28.0,,J. Redick makes free throw 1 of 3,90,86
4,9:28.0,,J. Redick makes free throw 2 of 3,90,87
4,9:28.0,,J. Butler enters the game for T. McConnell,90,87
4,9:28.0,,B. Simmons enters the game for L. Shamet,90,87
4,9:28.0,,J. Redick makes free throw 3 of 3,90,88
4,9:09.0,J. Clarkson misses 2-pt layup from 2 ft,,90,88
4,9:03.0,,Defensive rebound by J. Embiid,90,88
4,9:02.0,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),90,90
4,8:51.0,Personal foul by B. Simmons (drawn by A. Harrison),,90,90
4,8:51.0,T. Thompson enters the game for D. Nwaba,,90,90
4,8:38.0,A. Harrison misses 2-pt layup from 3 ft,,90,90
4,8:38.0,Offensive rebound by J. Clarkson,,90,90
4,8:28.0,J. Clarkson misses 2-pt jump shot from 11 ft,,90,90
4,8:28.0,Offensive rebound by Team,,90,90
4,8:28.0,,Loose ball foul by J. Embiid (drawn by T. Thompson),90,90
4,8:23.0,C. Osman makes 2-pt layup from 2 ft (assist by L. Nance),,92,90
4,8:23.0,,Philadelphia full timeout,92,90
4,8:23.0,,W. Chandler enters the game for M. Muscala,92,90
4,8:08.0,,Turnover by J. Butler (lost ball; steal by T. Thompson),92,90
4,7:48.0,L. Nance makes 2-pt dunk from 2 ft (assist by A. Harrison),,94,90
4,7:33.0,,Shooting foul by A. Harrison (drawn by J. Butler),94,90
4,7:33.0,,J. Butler makes free throw 1 of 2,94,91
4,7:33.0,,J. Butler makes free throw 2 of 2,94,92
4,7:19.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by A. Harrison),,97,92
4,7:06.0,,Offensive foul by W. Chandler (drawn by A. Harrison),97,92
4,7:06.0,,Turnover by W. Chandler (offensive foul),97,92
4,6:53.0,T. Thompson makes 2-pt hook shot from 10 ft (assist by A. Harrison),,99,92
4,6:42.0,,Shooting foul by L. Nance (drawn by J. Embiid),99,92
4,6:42.0,,J. Embiid misses free throw 1 of 2,99,92
4,6:42.0,,Offensive rebound by Team,99,92
4,6:42.0,R. Hood enters the game for L. Nance,,99,92
4,6:42.0,,J. Embiid makes free throw 2 of 2,99,93
4,6:20.0,A. Harrison makes 2-pt layup from 3 ft,,101,93
4,6:09.0,,Shooting foul by R. Hood (drawn by J. Redick),101,93
4,6:09.0,,J. Redick makes free throw 1 of 2,101,94
4,6:09.0,,J. Redick makes free throw 2 of 2,101,95
4,5:47.0,R. Hood misses 2-pt jump shot from 19 ft,,101,95
4,5:44.0,Offensive rebound by T. Thompson,,101,95
4,5:42.0,R. Hood misses 3-pt jump shot from 26 ft,,101,95
4,5:38.0,,Defensive rebound by J. Embiid,101,95
4,5:29.0,,J. Redick misses 3-pt jump shot from 27 ft,101,95
4,5:26.0,Defensive rebound by T. Thompson,,101,95
4,5:12.0,A. Harrison makes 3-pt jump shot from 26 ft,,104,95
4,5:09.0,,Philadelphia full timeout,104,95
4,4:58.0,,J. Embiid misses 3-pt jump shot from 26 ft,104,95
4,4:55.0,Defensive rebound by C. Osman,,104,95
4,4:34.0,T. Thompson makes 2-pt jump shot from 12 ft,,106,95
4,4:14.0,,J. Embiid makes 2-pt jump shot from 5 ft (assist by J. Redick),106,97
4,3:52.0,J. Clarkson makes 3-pt jump shot from 27 ft,,109,97
4,3:41.0,,J. Embiid misses 3-pt jump shot from 26 ft,109,97
4,3:37.0,Defensive rebound by J. Clarkson,,109,97
4,3:23.0,J. Clarkson misses 3-pt jump shot from 26 ft,,109,97
4,3:21.0,,Defensive rebound by B. Simmons,109,97
4,3:20.0,,Personal foul by C. Osman (drawn by B. Simmons),109,97
4,3:20.0,,B. Simmons misses free throw 1 of 2,109,97
4,3:20.0,,Offensive rebound by Team,109,97
4,3:20.0,,B. Simmons misses free throw 2 of 2,109,97
4,3:18.0,Defensive rebound by R. Hood,,109,97
4,3:18.0,Cleveland full timeout,,109,97
4,2:55.0,R. Hood makes 3-pt jump shot from 27 ft,,112,97
4,2:53.0,,Philadelphia full timeout,112,97
4,2:43.0,,Turnover by J. Redick (lost ball; steal by T. Thompson),112,97
4,2:39.0,Personal foul by B. Simmons (drawn by C. Osman),,112,97
4,2:23.0,C. Osman misses 3-pt jump shot from 23 ft,,112,97
4,2:21.0,,Defensive rebound by J. Embiid,112,97
4,2:13.0,,B. Simmons makes 2-pt layup from 1 ft,112,99
4,1:49.0,J. Clarkson misses 2-pt jump shot from 6 ft (block by J. Butler),,112,99
4,1:49.0,Offensive rebound by J. Clarkson,,112,99
4,1:48.0,J. Clarkson makes 2-pt layup from 3 ft,,114,99
4,1:44.0,,Personal foul by R. Hood (drawn by J. Redick),114,99
4,1:44.0,,J. Redick makes free throw 1 of 2,114,100
4,1:44.0,,L. Shamet enters the game for J. Butler,114,100
4,1:44.0,,J. Redick makes free throw 2 of 2,114,101
4,1:27.0,Personal foul by W. Chandler (drawn by R. Hood),,114,101
4,1:27.0,C. Sexton enters the game for T. Thompson,,114,101
4,1:27.0,,M. Muscala enters the game for J. Embiid,114,101
4,1:16.0,R. Hood misses 3-pt jump shot from 23 ft,,114,101
4,1:12.0,,Defensive rebound by W. Chandler,114,101
4,1:09.0,,B. Simmons makes 2-pt layup from 1 ft,114,103
4,1:09.0,,Shooting foul by A. Harrison (drawn by B. Simmons),114,103
4,1:09.0,T. Thompson enters the game for C. Sexton,,114,103
4,1:09.0,,B. Simmons misses free throw 1 of 1,114,103
4,1:09.0,Defensive rebound by C. Osman,,114,103
4,0:48.0,J. Clarkson makes 2-pt layup from 2 ft,,116,103
4,0:48.0,,Philadelphia full timeout,116,103
4,0:48.0,C. Sexton enters the game for T. Thompson,,116,103
4,0:44.0,,J. Redick misses 3-pt jump shot from 26 ft,116,103
4,0:42.0,,Offensive rebound by B. Simmons,116,103
4,0:42.0,,Personal foul by C. Osman (drawn by B. Simmons),116,103
4,0:42.0,,B. Simmons makes free throw 1 of 2,116,104
4,0:42.0,T. Thompson enters the game for C. Sexton,,116,104
4,0:42.0,,T. McConnell enters the game for M. Muscala,116,104
4,0:42.0,,B. Simmons makes free throw 2 of 2,116,105
4,0:33.0,Turnover by J. Clarkson (lost ball; steal by T. McConnell),,116,105
4,0:31.0,,B. Simmons makes 2-pt dunk from 2 ft (assist by J. Redick),116,107
4,0:31.0,Cleveland full timeout,,116,107
4,0:31.0,C. Sexton enters the game for T. Thompson,,116,107
