QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
1,6:32.0,C. Sexton makes 3-pt jump shot from 25 ft,,12,16
1,6:20.0,,Z. LaVine makes 3-pt jump shot from 23 ft,12,19
1,5:58.0,Turnover by J. Smith (lost ball; steal by J. Holiday),,12,19
1,5:54.0,,J. Holiday makes 2-pt layup from 1 ft,12,21
1,5:37.0,Shooting foul by J. Holiday (drawn by R. Hood),,12,21
1,5:37.0,R. Hood makes free throw 1 of 2,,13,21
1,5:37.0,J. Clarkson enters the game for J. Smith,,13,21
1,5:37.0,R. Hood makes free throw 2 of 2,,14,21
1,5:27.0,,Z. LaVine misses 3-pt jump shot from 25 ft,14,21
1,5:23.0,,Offensive rebound by W. Carter,14,21
1,5:22.0,,J. Holiday misses 3-pt jump shot from 26 ft,14,21
1,5:20.0,Defensive rebound by L. Nance,,14,21
1,5:11.0,R. Hood misses 2-pt jump shot from 13 ft,,14,21
1,5:08.0,,Defensive rebound by J. Holiday,14,21
1,4:57.0,,W. Carter misses 2-pt jump shot from 7 ft,14,21
1,4:54.0,Defensive rebound by T. Thompson,,14,21
1,4:47.0,J. Clarkson misses 2-pt jump shot from 17 ft,,14,21
1,4:44.0,Offensive rebound by J. Clarkson,,14,21
1,4:34.0,J. Clarkson misses 2-pt jump shot from 5 ft (block by W. Carter),,14,21
1,4:31.0,,Defensive rebound by R. Arcidiacono,14,21
1,4:30.0,,Z. LaVine misses 2-pt layup from 1 ft (block by L. Nance),14,21
1,4:30.0,,Offensive rebound by Team,14,21
1,4:30.0,A. Žižić enters the game for T. Thompson,,14,21
1,4:30.0,,A. Blakeney enters the game for J. Holiday,14,21
1,4:22.0,,Z. LaVine makes 2-pt jump shot from 21 ft,14,23
1,4:04.0,C. Sexton misses 2-pt layup from 5 ft,,14,23
1,4:02.0,,Defensive rebound by W. Carter,14,23
1,3:51.0,,W. Carter makes 2-pt dunk at rim (assist by A. Blakeney),14,25
1,3:30.0,R. Hood makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,17,25
1,3:19.0,,R. Arcidiacono misses 2-pt jump shot from 14 ft,17,25
1,3:15.0,Defensive rebound by L. Nance,,17,25
1,3:07.0,C. Sexton makes 2-pt layup from 1 ft,,19,25
1,3:07.0,,Chicago full timeout,19,25
1,3:07.0,,C. Hutchison enters the game for W. Carter,19,25
1,3:07.0,,R. Lopez enters the game for J. Parker,19,25
1,2:52.0,,R. Lopez makes 2-pt hook shot from 4 ft,19,27
1,2:33.0,R. Hood makes 2-pt layup from 3 ft (assist by J. Clarkson),,21,27
1,2:14.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by C. Hutchison),21,30
1,1:56.0,A. Žižić makes 2-pt jump shot from 6 ft (assist by J. Clarkson),,23,30
1,1:37.0,,A. Blakeney makes 2-pt jump shot from 22 ft,23,32
1,1:23.0,Turnover by A. Žižić (out of bounds lost ball),,23,32
1,1:23.0,K. Korver enters the game for R. Hood,,23,32
1,1:23.0,D. Nwaba enters the game for L. Nance,,23,32
1,1:10.0,,Z. LaVine makes 2-pt layup from 1 ft,23,34
1,0:59.0,A. Žižić misses 2-pt jump shot from 13 ft,,23,34
1,0:57.0,,Defensive rebound by R. Arcidiacono,23,34
1,0:48.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by A. Blakeney),23,37
1,0:28.0,D. Nwaba misses 3-pt jump shot from 24 ft,,23,37
1,0:24.0,,Defensive rebound by Z. LaVine,23,37
1,0:04.0,,Z. LaVine misses 2-pt jump shot from 19 ft,23,37
1,0:02.0,Defensive rebound by C. Sexton,,23,37
1,0:01.0,Personal foul by R. Arcidiacono (drawn by C. Sexton),,23,37
2,11:46.0,,A. Blakeney misses 2-pt jump shot from 18 ft,23,37
2,11:43.0,Defensive rebound by D. Nwaba,,23,37
2,11:28.0,A. Harrison misses 2-pt jump shot from 20 ft,,23,37
2,11:23.0,Offensive rebound by A. Žižić,,23,37
2,11:22.0,Turnover by A. Žižić (lost ball; steal by S. Harrison),,23,37
2,11:18.0,,A. Blakeney makes 2-pt jump shot from 1 ft (assist by S. Harrison),23,39
2,10:59.0,D. Nwaba misses 3-pt jump shot from 25 ft,,23,39
2,10:57.0,,Defensive rebound by J. Holiday,23,39
2,10:52.0,,A. Blakeney misses 2-pt jump shot from 9 ft,23,39
2,10:49.0,Defensive rebound by D. Nwaba,,23,39
2,10:42.0,D. Nwaba misses 2-pt layup from 2 ft,,23,39
2,10:40.0,,Defensive rebound by A. Blakeney,23,39
2,10:36.0,,A. Blakeney misses 2-pt jump shot from 5 ft,23,39
2,10:34.0,Defensive rebound by J. Clarkson,,23,39
2,10:29.0,J. Clarkson makes 2-pt jump shot from 1 ft,,25,39
2,10:09.0,,C. Hutchison misses 3-pt jump shot from 23 ft,25,39
2,10:07.0,Defensive rebound by A. Harrison,,25,39
2,10:00.0,A. Žižić misses 2-pt hook shot from 4 ft,,25,39
2,9:57.0,,Defensive rebound by S. Harrison,25,39
2,9:56.0,,Personal foul by J. Clarkson (drawn by S. Harrison),25,39
2,9:56.0,T. Thompson enters the game for A. Žižić,,25,39
2,9:47.0,,C. Hutchison misses 2-pt jump shot from 13 ft,25,39
2,9:44.0,Defensive rebound by A. Harrison,,25,39
2,9:33.0,J. Clarkson makes 3-pt jump shot from 25 ft,,28,39
2,9:21.0,,S. Harrison makes 2-pt layup from 2 ft (assist by J. Holiday),28,41
2,9:21.0,,Shooting foul by J. Clarkson (drawn by S. Harrison),28,41
2,9:21.0,,S. Harrison misses free throw 1 of 1,28,41
2,9:18.0,Defensive rebound by T. Thompson,,28,41
2,8:59.0,Turnover by T. Thompson (lost ball; steal by S. Harrison),,28,41
2,8:54.0,,S. Harrison makes 2-pt layup from 1 ft,28,43
2,8:36.0,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,31,43
2,8:20.0,,C. Hutchison misses 2-pt layup from 2 ft,31,43
2,8:18.0,Defensive rebound by K. Korver,,31,43
2,8:14.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by K. Korver),,34,43
2,8:12.0,,Chicago full timeout,34,43
2,8:12.0,,J. Parker enters the game for C. Hutchison,34,43
2,7:46.0,,J. Parker misses 2-pt jump shot from 8 ft,34,43
2,7:44.0,Defensive rebound by K. Korver,,34,43
2,7:30.0,D. Nwaba misses 3-pt jump shot from 26 ft,,34,43
2,7:28.0,,Defensive rebound by J. Holiday,34,43
2,7:19.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by J. Parker),34,45
2,6:56.0,Shooting foul by J. Parker (drawn by D. Nwaba),,34,45
2,6:56.0,D. Nwaba misses free throw 1 of 2,,34,45
2,6:56.0,Offensive rebound by Team,,34,45
2,6:56.0,,Z. LaVine enters the game for A. Blakeney,34,45
2,6:56.0,D. Nwaba makes free throw 2 of 2,,35,45
2,6:33.0,,S. Harrison misses 3-pt jump shot from 24 ft,35,45
2,6:30.0,Defensive rebound by J. Clarkson,,35,45
2,6:24.0,J. Clarkson misses 2-pt layup from 6 ft,,35,45
2,6:21.0,,Defensive rebound by J. Holiday,35,45
2,6:09.0,,J. Parker makes 2-pt hook shot from 3 ft,35,47
2,5:50.0,J. Clarkson misses 2-pt layup from 3 ft (block by J. Holiday),,35,47
2,5:44.0,Offensive rebound by J. Clarkson,,35,47
2,5:44.0,J. Clarkson makes 2-pt layup from 1 ft,,37,47
2,5:39.0,,J. Holiday misses 2-pt jump shot from 21 ft,37,47
2,5:37.0,Defensive rebound by K. Korver,,37,47
2,5:20.0,J. Clarkson misses 3-pt jump shot from 27 ft,,37,47
2,5:17.0,,Defensive rebound by S. Harrison,37,47
2,5:09.0,,S. Harrison misses 2-pt jump shot from 11 ft,37,47
2,5:07.0,Defensive rebound by T. Thompson,,37,47
2,5:00.0,A. Harrison misses 2-pt layup from 1 ft,,37,47
2,4:56.0,Offensive rebound by T. Thompson,,37,47
2,4:56.0,T. Thompson makes 2-pt layup from 1 ft,,39,47
2,4:45.0,,J. Holiday misses 2-pt jump shot from 7 ft (block by D. Nwaba),39,47
2,4:45.0,Defensive rebound by K. Korver,,39,47
2,4:35.0,K. Korver makes 2-pt jump shot from 21 ft,,41,47
2,4:21.0,,Turnover by J. Parker (bad pass),41,47
2,4:21.0,L. Nance enters the game for J. Clarkson,,41,47
2,4:21.0,C. Sexton enters the game for A. Harrison,,41,47
2,4:21.0,J. Smith enters the game for D. Nwaba,,41,47
2,4:21.0,,R. Arcidiacono enters the game for S. Harrison,41,47
2,4:21.0,,W. Carter enters the game for R. Lopez,41,47
2,4:07.0,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Smith),,44,47
2,4:05.0,,Chicago full timeout,44,47
2,3:53.0,,J. Parker misses 2-pt jump shot from 21 ft,44,47
2,3:50.0,Defensive rebound by L. Nance,,44,47
2,3:38.0,K. Korver misses 3-pt jump shot from 25 ft,,44,47
2,3:35.0,,Defensive rebound by J. Parker,44,47
2,3:27.0,,J. Parker makes 2-pt layup from 2 ft,44,49
2,3:13.0,Personal foul by R. Arcidiacono (drawn by J. Smith),,44,49
2,3:13.0,R. Hood enters the game for K. Korver,,44,49
2,3:13.0,,S. Harrison enters the game for R. Arcidiacono,44,49
2,3:02.0,L. Nance misses 2-pt jump shot from 22 ft,,44,49
2,3:00.0,,Defensive rebound by J. Holiday,44,49
2,2:56.0,,Offensive foul by W. Carter (drawn by R. Hood),44,49
2,2:56.0,,Turnover by W. Carter (offensive foul),44,49
2,2:36.0,C. Sexton makes 2-pt layup from 3 ft (assist by R. Hood),,46,49
2,2:24.0,,J. Parker misses 2-pt hook shot from 5 ft,46,49
2,2:19.0,Defensive rebound by T. Thompson,,46,49
2,2:15.0,R. Hood misses 2-pt jump shot from 6 ft,,46,49
2,2:15.0,Offensive rebound by Team,,46,49
2,2:15.0,,Loose ball foul by J. Holiday (drawn by T. Thompson),46,49
2,2:05.0,T. Thompson makes 2-pt layup from 4 ft (assist by L. Nance),,48,49
2,1:48.0,,Z. LaVine misses 3-pt jump shot from 25 ft,48,49
2,1:44.0,Defensive rebound by L. Nance,,48,49
2,1:34.0,C. Sexton makes 2-pt jump shot from 9 ft,,50,49
2,1:19.0,,Turnover by J. Parker (bad pass; steal by J. Smith),50,49
2,1:09.0,T. Thompson makes 2-pt dunk from 1 ft (assist by C. Sexton),,52,49
2,0:50.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by J. Parker),52,51
2,0:35.0,C. Sexton misses 2-pt jump shot from 22 ft,,52,51
2,0:32.0,,Defensive rebound by Z. LaVine,52,51
2,0:30.0,,Shooting foul by J. Smith (drawn by Z. LaVine),52,51
2,0:30.0,,Z. LaVine makes free throw 1 of 2,52,52
2,0:30.0,K. Korver enters the game for J. Smith,,52,52
2,0:30.0,,C. Hutchison enters the game for J. Holiday,52,52
2,0:30.0,,Z. LaVine makes free throw 2 of 2,52,53
2,0:12.0,Shooting foul by J. Parker (drawn by T. Thompson),,52,53
2,0:12.0,T. Thompson misses free throw 1 of 2,,52,53
2,0:12.0,Offensive rebound by Team,,52,53
2,0:12.0,T. Thompson makes free throw 2 of 2,,53,53
2,0:12.0,D. Nwaba enters the game for K. Korver,,53,53
2,0:12.0,,J. Holiday enters the game for C. Hutchison,53,53
2,0:03.0,,Turnover by S. Harrison (bad pass),53,53
2,0:03.0,K. Korver enters the game for D. Nwaba,,53,53
2,0:03.0,J. Smith enters the game for T. Thompson,,53,53
2,0:03.0,,A. Blakeney enters the game for J. Holiday,53,53
2,0:03.0,,C. Hutchison enters the game for J. Parker,53,53
2,0:00.0,K. Korver misses 2-pt jump shot from 21 ft,,53,53
2,0:00.0,Offensive rebound by Team,,53,53
3,12:00.0,Violation by Team (delay of game),,53,53
3,11:47.0,,W. Carter makes 2-pt jump shot from 16 ft,53,55
3,11:27.0,T. Thompson misses 2-pt hook shot from 5 ft (block by W. Carter),,53,55
3,11:24.0,Offensive rebound by L. Nance,,53,55
3,11:23.0,L. Nance misses 3-pt jump shot from 25 ft,,53,55
3,11:21.0,,Defensive rebound by J. Holiday,53,55
3,11:01.0,,R. Arcidiacono makes 2-pt layup from 1 ft,53,57
3,10:54.0,C. Sexton makes 2-pt jump shot from 19 ft,,55,57
3,10:34.0,,Shooting foul by J. Smith (drawn by W. Carter),55,57
3,10:34.0,,W. Carter misses free throw 1 of 2,55,57
3,10:34.0,,Offensive rebound by Team,55,57
3,10:34.0,,W. Carter makes free throw 2 of 2,55,58
3,10:18.0,C. Sexton makes 3-pt jump shot from 25 ft,,58,58
3,9:57.0,Violation by Team (kicked ball),,58,58
3,9:50.0,,Personal foul by R. Hood (drawn by J. Holiday),58,58
3,9:44.0,Violation by Team (kicked ball),,58,58
3,9:40.0,,Turnover by W. Carter (bad pass),58,58
3,9:27.0,L. Nance misses 3-pt jump shot from 23 ft,,58,58
3,9:25.0,,Defensive rebound by J. Parker,58,58
3,9:14.0,,Z. LaVine misses 2-pt layup from 3 ft,58,58
3,9:11.0,Defensive rebound by R. Hood,,58,58
3,9:09.0,Shooting foul by J. Parker (drawn by R. Hood),,58,58
3,9:09.0,R. Hood makes free throw 1 of 2,,59,58
3,9:09.0,R. Hood makes free throw 2 of 2,,60,58
3,8:52.0,,J. Parker makes 2-pt dunk from 1 ft (assist by W. Carter),60,60
3,8:23.0,T. Thompson makes 2-pt hook shot from 6 ft,,62,60
3,8:07.0,,J. Parker misses 3-pt jump shot from 25 ft,62,60
3,8:05.0,Defensive rebound by J. Smith,,62,60
3,8:01.0,Turnover by L. Nance (lost ball; steal by Z. LaVine),,62,60
3,7:54.0,,J. Parker misses 2-pt layup from 2 ft,62,60
3,7:52.0,Defensive rebound by C. Sexton,,62,60
3,7:49.0,C. Sexton makes 2-pt jump shot from 22 ft,,64,60
3,7:37.0,,Personal foul by L. Nance (drawn by W. Carter),64,60
3,7:30.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,64,60
3,7:28.0,Defensive rebound by L. Nance,,64,60
3,7:17.0,J. Smith makes 2-pt jump shot from 14 ft,,66,60
3,7:15.0,,Chicago full timeout,66,60
3,7:03.0,,W. Carter makes 2-pt dunk at rim (assist by Z. LaVine),66,62
3,6:45.0,J. Smith misses 2-pt jump shot from 11 ft,,66,62
3,6:41.0,,Defensive rebound by J. Parker,66,62
3,6:35.0,,J. Holiday misses 3-pt jump shot from 26 ft,66,62
3,6:32.0,,Offensive rebound by J. Parker,66,62
3,6:31.0,,J. Holiday misses 3-pt jump shot from 25 ft,66,62
3,6:31.0,Defensive rebound by L. Nance,,66,62
3,6:13.0,L. Nance misses 2-pt layup from 2 ft,,66,62
3,6:12.0,,Defensive rebound by Team,66,62
3,6:12.0,Loose ball foul by L. Nance (drawn by J. Holiday),,66,62
3,5:58.0,,Personal foul by J. Smith (drawn by W. Carter),66,62
3,5:58.0,,W. Carter misses free throw 1 of 2,66,62
3,5:58.0,,Offensive rebound by Team,66,62
3,5:58.0,J. Clarkson enters the game for J. Smith,,66,62
3,5:58.0,,W. Carter misses free throw 2 of 2,66,62
3,5:57.0,,Offensive rebound by Z. LaVine,66,62
3,5:57.0,,Z. LaVine makes 2-pt dunk from 1 ft,66,64
3,5:31.0,T. Thompson makes 2-pt hook shot from 9 ft (assist by R. Hood),,68,64
3,5:10.0,,Personal foul by L. Nance (drawn by W. Carter),68,64
3,5:10.0,,W. Carter makes free throw 1 of 2,68,65
3,5:10.0,,W. Carter makes free throw 2 of 2,68,66
3,4:56.0,Personal foul by J. Holiday (drawn by T. Thompson),,68,66
3,4:49.0,L. Nance misses 2-pt jump shot from 22 ft,,68,66
3,4:47.0,,Defensive rebound by Z. LaVine,68,66
3,4:35.0,,Z. LaVine misses 2-pt jump shot from 6 ft,68,66
3,4:33.0,Defensive rebound by T. Thompson,,68,66
3,4:25.0,L. Nance misses 2-pt layup from 4 ft,,68,66
3,4:22.0,Offensive rebound by T. Thompson,,68,66
3,4:21.0,T. Thompson misses 2-pt layup from 1 ft,,68,66
3,4:19.0,Offensive rebound by T. Thompson,,68,66
3,4:19.0,T. Thompson makes 2-pt layup at rim,,70,66
3,4:19.0,Technical foul by R. Hood,,70,66
3,4:19.0,,Z. LaVine makes technical free throw,70,67
3,4:19.0,A. Žižić enters the game for T. Thompson,,70,67
3,4:19.0,,R. Lopez enters the game for W. Carter,70,67
3,4:09.0,,J. Parker misses 2-pt jump shot from 9 ft,70,67
3,4:06.0,Defensive rebound by J. Clarkson,,70,67
3,4:01.0,J. Clarkson misses 2-pt jump shot from 17 ft,,70,67
3,3:58.0,,Defensive rebound by J. Parker,70,67
3,3:44.0,,R. Arcidiacono makes 3-pt jump shot from 28 ft (assist by J. Parker),70,70
3,3:31.0,Shooting foul by R. Arcidiacono (drawn by C. Sexton),,70,70
3,3:31.0,C. Sexton makes free throw 1 of 2,,71,70
3,3:31.0,K. Korver enters the game for R. Hood,,71,70
3,3:31.0,,S. Harrison enters the game for R. Arcidiacono,71,70
3,3:31.0,,C. Hutchison enters the game for J. Parker,71,70
3,3:31.0,C. Sexton makes free throw 2 of 2,,72,70
3,3:15.0,,Z. LaVine misses 2-pt jump shot from 6 ft,72,70
3,3:13.0,,Offensive rebound by R. Lopez,72,70
3,3:09.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),72,73
3,2:48.0,J. Clarkson makes 2-pt jump shot from 21 ft (assist by C. Sexton),,74,73
3,2:29.0,,R. Lopez misses 2-pt hook shot from 5 ft,74,73
3,2:29.0,Defensive rebound by L. Nance,,74,73
3,2:22.0,Turnover by A. Žižić (offensive foul),,74,73
3,2:22.0,Offensive foul by A. Žižić (drawn by C. Hutchison),,74,73
3,2:22.0,Cleveland full timeout,,74,73
3,2:22.0,A. Harrison enters the game for L. Nance,,74,73
3,2:22.0,D. Nwaba enters the game for C. Sexton,,74,73
3,2:22.0,,A. Blakeney enters the game for J. Holiday,74,73
3,2:11.0,,Z. LaVine makes 2-pt layup from 2 ft,74,75
3,2:02.0,Personal foul by R. Lopez (drawn by A. Žižić),,74,75
3,1:55.0,Turnover by A. Žižić (lost ball; steal by S. Harrison),,74,75
3,1:52.0,,S. Harrison makes 2-pt dunk at rim,74,77
3,1:35.0,A. Harrison misses 2-pt layup from 2 ft,,74,77
3,1:29.0,Offensive rebound by A. Žižić,,74,77
3,1:29.0,A. Žižić makes 2-pt layup at rim,,76,77
3,1:06.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by C. Hutchison),76,79
3,0:46.0,J. Clarkson misses 2-pt jump shot from 14 ft,,76,79
3,0:43.0,,Defensive rebound by Z. LaVine,76,79
3,0:36.0,,Z. LaVine misses 3-pt jump shot from 26 ft,76,79
3,0:33.0,Defensive rebound by A. Žižić,,76,79
3,0:29.0,Shooting foul by R. Lopez (drawn by J. Clarkson),,76,79
3,0:29.0,J. Clarkson makes free throw 1 of 2,,77,79
3,0:29.0,J. Clarkson misses free throw 2 of 2,,77,79
3,0:26.0,,Defensive rebound by S. Harrison,77,79
3,0:08.0,,Z. LaVine misses 2-pt layup from 3 ft (block by A. Žižić),77,79
3,0:05.0,Defensive rebound by A. Žižić,,77,79
3,0:02.0,Turnover by A. Harrison (traveling),,77,79
4,11:38.0,J. Clarkson misses 2-pt jump shot from 9 ft,,77,79
4,11:37.0,,Defensive rebound by Team,77,79
4,11:26.0,,Turnover by A. Blakeney (bad pass; steal by D. Nwaba),77,79
4,11:26.0,Personal foul by J. Holiday (drawn by D. Nwaba),,77,79
4,11:11.0,Personal foul by C. Hutchison (drawn by A. Žižić),,77,79
4,11:05.0,Turnover by A. Harrison (bad pass),,77,79
4,10:51.0,,C. Hutchison makes 2-pt dunk at rim (assist by S. Harrison),77,81
4,10:51.0,Cleveland full timeout,,77,81
4,10:37.0,J. Clarkson misses 3-pt jump shot from 26 ft,,77,81
4,10:34.0,,Defensive rebound by Team,77,81
4,10:19.0,,A. Blakeney misses 2-pt jump shot from 11 ft,77,81
4,10:18.0,Defensive rebound by Team,,77,81
4,9:59.0,Turnover by A. Harrison (bad pass; steal by J. Holiday),,77,81
4,9:41.0,,Offensive foul by R. Lopez (drawn by D. Nwaba),77,81
4,9:41.0,,Turnover by R. Lopez (offensive foul),77,81
4,9:27.0,J. Clarkson makes 2-pt layup from 2 ft,,79,81
4,9:17.0,,A. Blakeney makes 3-pt jump shot from 24 ft (assist by S. Harrison),79,84
4,9:01.0,D. Nwaba makes 2-pt layup from 1 ft,,81,84
4,8:50.0,,Turnover by S. Harrison (traveling),81,84
4,8:50.0,T. Thompson enters the game for A. Žižić,,81,84
4,8:33.0,A. Harrison misses 3-pt jump shot from 28 ft,,81,84
4,8:31.0,,Defensive rebound by A. Blakeney,81,84
4,8:25.0,,A. Blakeney misses 2-pt jump shot from 7 ft,81,84
4,8:23.0,Defensive rebound by A. Harrison,,81,84
4,8:21.0,Shooting foul by J. Holiday (drawn by D. Nwaba),,81,84
4,8:21.0,D. Nwaba makes free throw 1 of 2,,82,84
4,8:21.0,C. Sexton enters the game for A. Harrison,,82,84
4,8:21.0,,R. Arcidiacono enters the game for S. Harrison,82,84
4,8:21.0,,Z. LaVine enters the game for J. Holiday,82,84
4,8:21.0,D. Nwaba makes free throw 2 of 2,,83,84
4,7:58.0,,Shooting foul by K. Korver (drawn by Z. LaVine),83,84
4,7:58.0,,Z. LaVine makes free throw 1 of 2,83,85
4,7:58.0,,Z. LaVine makes free throw 2 of 2,83,86
4,7:53.0,Personal foul by C. Hutchison (drawn by D. Nwaba),,83,86
4,7:48.0,J. Clarkson misses 2-pt jump shot from 17 ft,,83,86
4,7:42.0,Offensive rebound by T. Thompson,,83,86
4,7:42.0,T. Thompson makes 2-pt dunk at rim,,85,86
4,7:26.0,,A. Blakeney makes 2-pt jump shot from 19 ft,85,88
4,7:07.0,Offensive foul by J. Clarkson (drawn by R. Lopez),,85,88
4,7:07.0,Turnover by J. Clarkson (offensive foul),,85,88
4,6:51.0,,C. Hutchison makes 3-pt jump shot from 25 ft (assist by R. Lopez),85,91
4,6:35.0,C. Sexton misses 2-pt jump shot from 17 ft,,85,91
4,6:35.0,,Defensive rebound by C. Hutchison,85,91
4,6:28.0,,Shooting foul by K. Korver (drawn by C. Hutchison),85,91
4,6:28.0,,C. Hutchison makes free throw 1 of 2,85,92
4,6:28.0,R. Hood enters the game for J. Clarkson,,85,92
4,6:28.0,L. Nance enters the game for K. Korver,,85,92
4,6:28.0,J. Smith enters the game for D. Nwaba,,85,92
4,6:28.0,,C. Hutchison misses free throw 2 of 2,85,92
4,6:25.0,Defensive rebound by J. Smith,,85,92
4,6:09.0,R. Hood makes 2-pt jump shot from 16 ft (assist by T. Thompson),,87,92
4,5:48.0,,Z. LaVine misses 2-pt jump shot from 20 ft,87,92
4,5:46.0,Defensive rebound by R. Hood,,87,92
4,5:31.0,R. Hood misses 2-pt jump shot from 10 ft,,87,92
4,5:29.0,Offensive rebound by L. Nance,,87,92
4,5:19.0,R. Hood misses 3-pt jump shot from 26 ft,,87,92
4,5:16.0,,Defensive rebound by Z. LaVine,87,92
4,5:08.0,,A. Blakeney misses 2-pt jump shot from 16 ft,87,92
4,5:05.0,Defensive rebound by L. Nance,,87,92
4,4:54.0,C. Sexton misses 2-pt layup from 3 ft,,87,92
4,4:52.0,,Defensive rebound by C. Hutchison,87,92
4,4:44.0,,A. Blakeney misses 2-pt layup from 8 ft (block by L. Nance),87,92
4,4:44.0,,Offensive rebound by A. Blakeney,87,92
4,4:44.0,,A. Blakeney misses 2-pt layup from 1 ft,87,92
4,4:43.0,Defensive rebound by Team,,87,92
4,4:43.0,Cleveland full timeout,,87,92
4,4:43.0,,W. Carter enters the game for A. Blakeney,87,92
4,4:43.0,,J. Holiday enters the game for C. Hutchison,87,92
4,4:43.0,,J. Parker enters the game for R. Lopez,87,92
4,4:27.0,T. Thompson makes 2-pt layup from 2 ft (assist by C. Sexton),,89,92
4,4:05.0,,J. Parker makes 2-pt hook shot from 5 ft (assist by R. Arcidiacono),89,94
4,3:48.0,R. Hood makes 3-pt jump shot from 24 ft (assist by J. Smith),,92,94
4,3:33.0,,J. Parker makes 2-pt jump shot from 16 ft,92,96
4,3:09.0,Shooting foul by R. Arcidiacono (drawn by L. Nance),,92,96
4,3:09.0,L. Nance misses free throw 1 of 2,,92,96
4,3:09.0,Offensive rebound by Team,,92,96
4,3:09.0,L. Nance misses free throw 2 of 2,,92,96
4,3:06.0,,Defensive rebound by Z. LaVine,92,96
