QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
1,5:54.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by J. Wall),18,14
1,5:40.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,20,14
1,5:15.0,,K. Oubre misses 2-pt jump shot from 15 ft,20,14
1,5:12.0,Defensive rebound by M. Gortat,,20,14
1,5:05.0,Def 3 sec tech foul by Team,,20,14
1,5:05.0,D. Gallinari makes technical free throw,,21,14
1,5:05.0,,M. Morris enters the game for T. Bryant,21,14
1,4:51.0,D. Gallinari misses 3-pt jump shot from 27 ft,,21,14
1,4:49.0,,Defensive rebound by M. Morris,21,14
1,4:42.0,,J. Wall misses 2-pt jump shot from 14 ft,21,14
1,4:39.0,Defensive rebound by M. Gortat,,21,14
1,4:33.0,M. Gortat makes 2-pt layup from 3 ft (assist by T. Harris),,23,14
1,4:33.0,Shooting foul by K. Oubre (drawn by M. Gortat),,23,14
1,4:33.0,P. Beverley enters the game for A. Bradley,,23,14
1,4:33.0,,A. Rivers enters the game for K. Oubre,23,14
1,4:33.0,M. Gortat makes free throw 1 of 1,,24,14
1,4:26.0,,Shooting foul by M. Gortat (drawn by B. Beal),24,14
1,4:26.0,,B. Beal makes free throw 1 of 2,24,15
1,4:26.0,M. Harrell enters the game for M. Gortat,,24,15
1,4:26.0,,B. Beal makes free throw 2 of 2,24,16
1,4:02.0,M. Harrell misses 2-pt hook shot from 5 ft,,24,16
1,4:00.0,,Defensive rebound by O. Porter,24,16
1,3:54.0,,M. Morris misses 2-pt jump shot from 11 ft,24,16
1,3:50.0,Defensive rebound by T. Harris,,24,16
1,3:38.0,Shooting foul by B. Beal (drawn by D. Gallinari),,24,16
1,3:38.0,D. Gallinari makes free throw 1 of 2,,25,16
1,3:38.0,,J. Green enters the game for O. Porter,25,16
1,3:38.0,D. Gallinari makes free throw 2 of 2,,26,16
1,3:24.0,,M. Morris misses 3-pt jump shot from 25 ft,26,16
1,3:21.0,Defensive rebound by D. Gallinari,,26,16
1,3:12.0,Turnover by P. Beverley (bad pass; steal by J. Green),,26,16
1,3:00.0,,Turnover by J. Wall (lost ball; steal by S. Gilgeous-Alexander),26,16
1,2:57.0,Shooting foul by B. Beal (drawn by S. Gilgeous-Alexander),,26,16
1,2:57.0,LA Clippers full timeout,,26,16
1,2:57.0,L. Williams enters the game for D. Gallinari,,26,16
1,2:57.0,,T. Satoranský enters the game for B. Beal,26,16
1,2:57.0,S. Gilgeous-Alexander makes free throw 1 of 2,,27,16
1,2:57.0,S. Gilgeous-Alexander misses free throw 2 of 2,,27,16
1,2:55.0,,Defensive rebound by J. Wall,27,16
1,2:42.0,,A. Rivers misses 2-pt jump shot from 8 ft,27,16
1,2:39.0,Defensive rebound by P. Beverley,,27,16
1,2:34.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by L. Williams),,30,16
1,2:17.0,,J. Wall misses 2-pt layup from 2 ft (block by M. Harrell),30,16
1,2:15.0,,Offensive rebound by M. Morris,30,16
1,2:15.0,,M. Morris makes 2-pt layup from 1 ft,30,18
1,1:56.0,T. Harris makes 3-pt jump shot from 27 ft,,33,18
1,1:43.0,,M. Morris misses 2-pt jump shot from 9 ft,33,18
1,1:42.0,Defensive rebound by M. Harrell,,33,18
1,1:37.0,T. Harris makes 3-pt jump shot from 26 ft,,36,18
1,1:15.0,,J. Wall misses 2-pt layup from 2 ft,36,18
1,1:13.0,Defensive rebound by M. Harrell,,36,18
1,1:09.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by M. Harrell),,38,18
1,1:08.0,,Washington full timeout,38,18
1,1:08.0,M. Scott enters the game for S. Gilgeous-Alexander,,38,18
1,0:53.0,,M. Morris misses 2-pt layup from 2 ft,38,18
1,0:50.0,Defensive rebound by P. Beverley,,38,18
1,0:37.0,M. Scott misses 3-pt jump shot from 24 ft,,38,18
1,0:34.0,Offensive rebound by T. Harris,,38,18
1,0:33.0,T. Harris makes 2-pt layup from 3 ft,,40,18
1,0:13.0,,J. Green makes 3-pt jump shot from 23 ft (assist by A. Rivers),40,21
1,0:02.0,T. Harris misses 3-pt jump shot from 26 ft,,40,21
1,0:02.0,,Defensive rebound by J. Green,40,21
1,0:00.0,,J. Green misses 3-pt jump shot from 75 ft,40,21
1,0:00.0,Defensive rebound by Team,,40,21
2,11:50.0,M. Harrell makes 2-pt layup from 1 ft,,42,21
2,11:40.0,,A. Rivers misses 3-pt jump shot from 26 ft,42,21
2,11:36.0,Defensive rebound by L. Williams,,42,21
2,11:31.0,Shooting foul by M. Morris (drawn by L. Williams),,42,21
2,11:31.0,L. Williams makes free throw 1 of 2,,43,21
2,11:31.0,L. Williams makes free throw 2 of 2,,44,21
2,11:24.0,,T. Satoranský misses 2-pt jump shot from 10 ft,44,21
2,11:22.0,Defensive rebound by P. Beverley,,44,21
2,11:17.0,P. Beverley misses 2-pt layup from 5 ft (block by T. Satoranský),,44,21
2,11:13.0,,Defensive rebound by J. Green,44,21
2,11:08.0,,Turnover by T. Satoranský (bad pass; steal by M. Scott),44,21
2,11:00.0,M. Harrell misses 2-pt jump shot from 10 ft,,44,21
2,10:58.0,,Defensive rebound by T. Satoranský,44,21
2,10:58.0,,Personal take foul by P. Beverley (drawn by T. Satoranský),44,21
2,10:43.0,,O. Porter misses 3-pt jump shot from 26 ft (block by M. Scott),44,21
2,10:42.0,,Offensive rebound by Team,44,21
2,10:38.0,,J. Green makes 2-pt jump shot from 13 ft (assist by O. Porter),44,23
2,10:28.0,L. Williams makes 2-pt layup from 3 ft,,46,23
2,10:14.0,,O. Porter makes 2-pt jump shot from 7 ft (assist by J. Green),46,25
2,10:05.0,L. Williams makes 2-pt jump shot from 14 ft,,48,25
2,9:49.0,,Personal foul by T. Wallace (drawn by M. Morris),48,25
2,9:46.0,,A. Rivers misses 3-pt jump shot from 29 ft,48,25
2,9:43.0,,Offensive rebound by T. Satoranský,48,25
2,9:43.0,,T. Satoranský makes 2-pt layup from 1 ft,48,27
2,9:30.0,Turnover by M. Scott (palming),,48,27
2,9:25.0,,A. Rivers misses 2-pt layup from 1 ft,48,27
2,9:22.0,,Offensive rebound by M. Morris,48,27
2,9:19.0,,T. Satoranský makes 3-pt jump shot from 27 ft (assist by J. Green),48,30
2,9:15.0,Personal foul by A. Rivers (drawn by M. Scott),,48,30
2,9:00.0,T. Wallace makes 2-pt layup from 2 ft,,50,30
2,9:00.0,Shooting foul by M. Morris (drawn by T. Wallace),,50,30
2,9:00.0,T. Wallace misses free throw 1 of 1,,50,30
2,9:00.0,,Defensive rebound by O. Porter,50,30
2,8:42.0,,A. Rivers misses 3-pt jump shot from 25 ft,50,30
2,8:39.0,,Offensive rebound by J. Green,50,30
2,8:39.0,,J. Green makes 2-pt layup from 2 ft,50,32
2,8:18.0,L. Williams makes 3-pt jump shot from 32 ft (assist by P. Beverley),,53,32
2,8:11.0,,Shooting foul by T. Wallace (drawn by T. Satoranský),53,32
2,8:11.0,,T. Satoranský makes free throw 1 of 2,53,33
2,8:11.0,,B. Beal enters the game for A. Rivers,53,33
2,8:11.0,,T. Satoranský makes free throw 2 of 2,53,34
2,7:59.0,M. Harrell misses 2-pt layup from 10 ft,,53,34
2,7:57.0,,Defensive rebound by O. Porter,53,34
2,7:45.0,,M. Morris misses 3-pt jump shot from 25 ft,53,34
2,7:42.0,Defensive rebound by T. Wallace,,53,34
2,7:35.0,M. Scott makes 3-pt jump shot from 26 ft (assist by P. Beverley),,56,34
2,7:30.0,,Washington full timeout,56,34
2,7:30.0,,K. Oubre enters the game for M. Morris,56,34
2,7:30.0,,J. Wall enters the game for T. Satoranský,56,34
2,7:18.0,,J. Wall misses 2-pt layup from 5 ft (block by P. Beverley),56,34
2,7:15.0,Defensive rebound by P. Beverley,,56,34
2,6:59.0,L. Williams makes 2-pt jump shot from 14 ft,,58,34
2,6:40.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by J. Wall),58,37
2,6:28.0,Personal foul by K. Oubre (drawn by L. Williams),,58,37
2,6:28.0,A. Bradley enters the game for T. Wallace,,58,37
2,6:18.0,Turnover by L. Williams (bad pass; steal by O. Porter),,58,37
2,6:18.0,,Personal foul by L. Williams (drawn by B. Beal),58,37
2,6:10.0,,K. Oubre misses 2-pt jump shot from 6 ft,58,37
2,6:09.0,Defensive rebound by P. Beverley,,58,37
2,6:01.0,M. Scott makes 3-pt jump shot from 27 ft (assist by P. Beverley),,61,37
2,5:48.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),61,40
2,5:38.0,L. Williams misses 2-pt layup from 2 ft,,61,40
2,5:35.0,,Defensive rebound by O. Porter,61,40
2,5:35.0,,Personal take foul by P. Beverley (drawn by J. Wall),61,40
2,5:35.0,D. Gallinari enters the game for M. Scott,,61,40
2,5:35.0,T. Harris enters the game for L. Williams,,61,40
2,5:35.0,,J. Wall makes free throw 1 of 2,61,41
2,5:35.0,,J. Wall makes free throw 2 of 2,61,42
2,5:15.0,P. Beverley misses 3-pt jump shot from 26 ft,,61,42
2,5:12.0,,Defensive rebound by O. Porter,61,42
2,5:09.0,,B. Beal misses 3-pt jump shot from 26 ft,61,42
2,5:04.0,Defensive rebound by M. Harrell,,61,42
2,4:49.0,D. Gallinari misses 3-pt jump shot from 26 ft,,61,42
2,4:47.0,Offensive rebound by M. Harrell,,61,42
2,4:47.0,M. Harrell makes 2-pt layup from 1 ft,,63,42
2,4:31.0,,J. Wall misses 3-pt jump shot from 25 ft,63,42
2,4:29.0,Defensive rebound by T. Harris,,63,42
2,4:23.0,T. Harris misses 2-pt jump shot from 10 ft (block by J. Green),,63,42
2,4:20.0,,Defensive rebound by J. Green,63,42
2,4:19.0,,J. Green makes 2-pt jump shot from 1 ft (assist by J. Wall),63,44
2,4:19.0,,Shooting foul by D. Gallinari (drawn by J. Green),63,44
2,4:19.0,S. Gilgeous-Alexander enters the game for P. Beverley,,63,44
2,4:19.0,M. Gortat enters the game for M. Harrell,,63,44
2,4:19.0,,J. Green makes free throw 1 of 1,63,45
2,4:02.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,63,45
2,3:58.0,,Defensive rebound by K. Oubre,63,45
2,3:54.0,,O. Porter misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),63,45
2,3:54.0,,Offensive rebound by Team,63,45
2,3:54.0,,T. Bryant enters the game for J. Green,63,45
2,3:43.0,,B. Beal misses 2-pt layup from 3 ft,63,45
2,3:41.0,Defensive rebound by T. Harris,,63,45
2,3:28.0,T. Harris makes 2-pt layup from 5 ft,,65,45
2,3:14.0,,O. Porter misses 2-pt jump shot from 8 ft,65,45
2,3:13.0,,Offensive rebound by Team,65,45
2,3:13.0,Loose ball foul by D. Gallinari (drawn by B. Beal),,65,45
2,3:13.0,,B. Beal misses free throw 1 of 2,65,45
2,3:13.0,,Offensive rebound by Team,65,45
2,3:13.0,,B. Beal makes free throw 2 of 2,65,46
2,3:13.0,LA Clippers full timeout,,65,46
2,3:03.0,Shooting foul by K. Oubre (drawn by T. Harris),,65,46
2,3:03.0,T. Harris makes free throw 1 of 2,,66,46
2,3:03.0,,T. Satoranský enters the game for K. Oubre,66,46
2,3:03.0,T. Harris misses free throw 2 of 2,,66,46
2,3:00.0,,Defensive rebound by O. Porter,66,46
2,2:51.0,,B. Beal makes 2-pt layup at rim (assist by T. Bryant),66,48
2,2:24.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,66,48
2,2:20.0,,Defensive rebound by O. Porter,66,48
2,2:03.0,,J. Wall misses 2-pt jump shot from 15 ft,66,48
2,2:01.0,Defensive rebound by M. Gortat,,66,48
2,1:51.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,68,48
2,1:36.0,,O. Porter makes 2-pt layup from 2 ft (assist by B. Beal),68,50
2,1:15.0,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by D. Gallinari),,71,50
2,1:05.0,,B. Beal misses 2-pt jump shot from 13 ft,71,50
2,1:01.0,Defensive rebound by M. Gortat,,71,50
2,0:58.0,A. Bradley misses 3-pt jump shot from 27 ft,,71,50
2,0:55.0,,Defensive rebound by O. Porter,71,50
2,0:51.0,,Shooting foul by M. Gortat (drawn by O. Porter),71,50
2,0:51.0,,O. Porter makes free throw 1 of 2,71,51
2,0:51.0,,O. Porter makes free throw 2 of 2,71,52
2,0:32.0,D. Gallinari misses 2-pt layup from 4 ft,,71,52
2,0:30.0,Offensive rebound by M. Gortat,,71,52
2,0:30.0,M. Gortat makes 2-pt hook shot from 5 ft,,73,52
2,0:07.0,,Shooting foul by M. Gortat (drawn by T. Satoranský),73,52
2,0:07.0,,T. Satoranský makes free throw 1 of 2,73,53
2,0:07.0,L. Williams enters the game for M. Gortat,,73,53
2,0:07.0,,J. Green enters the game for B. Beal,73,53
2,0:07.0,,T. Satoranský makes free throw 2 of 2,73,54
2,0:00.0,L. Williams misses 2-pt jump shot from 8 ft,,73,54
2,0:00.0,,Defensive rebound by T. Satoranský,73,54
3,11:49.0,Turnover by M. Gortat (bad pass; steal by K. Oubre),,73,54
3,11:45.0,,Offensive foul by K. Oubre (drawn by M. Gortat),73,54
3,11:45.0,,Turnover by K. Oubre (offensive foul),73,54
3,11:45.0,,T. Satoranský enters the game for K. Oubre,73,54
3,11:28.0,T. Harris makes 2-pt layup from 4 ft,,75,54
3,11:18.0,,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),75,56
3,11:07.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Satoranský),,75,56
3,11:02.0,,Turnover by B. Beal (bad pass; steal by M. Gortat),75,56
3,10:45.0,M. Gortat makes 2-pt layup from 1 ft (assist by D. Gallinari),,77,56
3,10:25.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by T. Satoranský),77,59
3,10:11.0,Shooting foul by T. Bryant (drawn by S. Gilgeous-Alexander),,77,59
3,10:11.0,S. Gilgeous-Alexander makes free throw 1 of 2,,78,59
3,10:11.0,S. Gilgeous-Alexander makes free throw 2 of 2,,79,59
3,9:53.0,,B. Beal makes 2-pt layup from 2 ft,79,61
3,9:35.0,T. Harris misses 2-pt jump shot from 20 ft,,79,61
3,9:33.0,,Defensive rebound by T. Satoranský,79,61
3,9:20.0,,J. Wall misses 2-pt jump shot from 19 ft,79,61
3,9:17.0,Defensive rebound by M. Gortat,,79,61
3,9:03.0,Offensive foul by M. Gortat (drawn by O. Porter),,79,61
3,9:03.0,Turnover by M. Gortat (offensive foul),,79,61
3,8:50.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by B. Beal),79,63
3,8:39.0,Personal foul by T. Satoranský (drawn by M. Gortat),,79,63
3,8:26.0,D. Gallinari misses 2-pt jump shot from 19 ft,,79,63
3,8:23.0,,Defensive rebound by B. Beal,79,63
3,8:18.0,,Shooting foul by M. Gortat (drawn by J. Wall),79,63
3,8:18.0,,J. Wall misses free throw 1 of 2,79,63
3,8:18.0,,Offensive rebound by Team,79,63
3,8:18.0,M. Harrell enters the game for M. Gortat,,79,63
3,8:18.0,,J. Wall makes free throw 2 of 2,79,64
3,8:07.0,Turnover by T. Harris (lost ball; steal by J. Wall),,79,64
3,8:07.0,,Personal take foul by T. Harris (drawn by O. Porter),79,64
3,7:56.0,,B. Beal misses 2-pt layup from 5 ft,79,64
3,7:53.0,,Offensive rebound by T. Bryant,79,64
3,7:53.0,,T. Bryant misses 2-pt layup from 1 ft,79,64
3,7:53.0,Defensive rebound by M. Harrell,,79,64
3,7:49.0,D. Gallinari misses 3-pt jump shot from 30 ft,,79,64
3,7:45.0,,Defensive rebound by J. Wall,79,64
3,7:39.0,,J. Wall misses 2-pt jump shot from 18 ft,79,64
3,7:37.0,Defensive rebound by D. Gallinari,,79,64
3,7:37.0,LA Clippers full timeout,,79,64
3,7:18.0,T. Harris misses 2-pt layup from 5 ft,,79,64
3,7:17.0,Offensive rebound by M. Harrell,,79,64
3,7:16.0,M. Harrell misses 2-pt layup from 1 ft,,79,64
3,7:15.0,,Defensive rebound by B. Beal,79,64
3,7:11.0,,T. Satoranský misses 3-pt jump shot from 25 ft,79,64
3,7:08.0,Defensive rebound by S. Gilgeous-Alexander,,79,64
3,6:53.0,Turnover by A. Bradley (traveling),,79,64
3,6:40.0,,Shooting foul by M. Harrell (drawn by T. Bryant),79,64
3,6:40.0,,T. Bryant misses free throw 1 of 2,79,64
3,6:40.0,,Offensive rebound by Team,79,64
3,6:40.0,,T. Bryant makes free throw 2 of 2,79,65
3,6:38.0,Personal foul by T. Satoranský (drawn by S. Gilgeous-Alexander),,79,65
3,6:30.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by T. Satoranský),,79,65
3,6:24.0,,J. Wall misses 2-pt layup from 1 ft,79,65
3,6:22.0,Defensive rebound by T. Harris,,79,65
3,6:19.0,M. Harrell makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),,81,65
3,6:01.0,,J. Wall makes 3-pt jump shot from 24 ft (assist by T. Satoranský),81,68
3,5:38.0,D. Gallinari misses 2-pt jump shot from 20 ft,,81,68
3,5:35.0,,Defensive rebound by O. Porter,81,68
3,5:31.0,,T. Satoranský misses 3-pt jump shot from 26 ft,81,68
3,5:27.0,Defensive rebound by A. Bradley,,81,68
3,5:14.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,81,68
3,5:11.0,,Defensive rebound by O. Porter,81,68
3,4:56.0,,B. Beal makes 2-pt layup from 1 ft (assist by O. Porter),81,70
3,4:35.0,T. Harris makes 2-pt jump shot from 17 ft (assist by M. Harrell),,83,70
3,4:19.0,,B. Beal misses 3-pt jump shot from 26 ft,83,70
3,4:16.0,,Offensive rebound by T. Satoranský,83,70
3,4:15.0,,J. Wall misses 3-pt jump shot from 26 ft,83,70
3,4:12.0,Defensive rebound by D. Gallinari,,83,70
3,4:12.0,Personal foul by O. Porter (drawn by D. Gallinari),,83,70
3,4:12.0,P. Beverley enters the game for D. Gallinari,,83,70
3,4:12.0,L. Williams enters the game for S. Gilgeous-Alexander,,83,70
3,3:53.0,T. Harris misses 2-pt jump shot from 9 ft,,83,70
3,3:48.0,,Defensive rebound by T. Bryant,83,70
3,3:45.0,,Shooting foul by A. Bradley (drawn by J. Wall),83,70
3,3:45.0,,M. Morris enters the game for T. Bryant,83,70
3,3:45.0,,J. Wall misses free throw 1 of 2,83,70
3,3:45.0,,Offensive rebound by Team,83,70
3,3:45.0,,J. Wall makes free throw 2 of 2,83,71
3,3:22.0,L. Williams misses 3-pt jump shot from 25 ft,,83,71
3,3:21.0,Offensive rebound by Team,,83,71
3,3:21.0,Turnover by Team (shot clock),,83,71
3,3:11.0,,B. Beal makes 2-pt layup from 2 ft (assist by M. Morris),83,73
3,2:54.0,L. Williams makes 2-pt layup from 2 ft,,85,73
3,2:41.0,,J. Wall misses 3-pt jump shot from 28 ft,85,73
3,2:38.0,,Offensive rebound by T. Satoranský,85,73
3,2:37.0,,O. Porter misses 3-pt jump shot from 26 ft,85,73
3,2:34.0,,Offensive rebound by M. Morris,85,73
3,2:33.0,,J. Wall misses 3-pt jump shot from 28 ft,85,73
3,2:29.0,Defensive rebound by M. Harrell,,85,73
3,2:13.0,T. Harris makes 2-pt jump shot from 6 ft (assist by L. Williams),,87,73
3,2:13.0,,Washington full timeout,87,73
3,2:13.0,M. Scott enters the game for A. Bradley,,87,73
3,2:13.0,,J. Green enters the game for O. Porter,87,73
3,2:03.0,,Shooting foul by M. Harrell (drawn by B. Beal),87,73
3,2:03.0,,B. Beal makes free throw 1 of 2,87,74
3,2:03.0,,B. Beal makes free throw 2 of 2,87,75
3,1:41.0,Turnover by L. Williams (bad pass; steal by M. Morris),,87,75
3,1:40.0,,Personal take foul by M. Harrell (drawn by J. Wall),87,75
3,1:40.0,,J. Wall makes free throw 1 of 2,87,76
3,1:40.0,,J. Wall makes free throw 2 of 2,87,77
3,1:28.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),,90,77
3,1:12.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Wall),90,80
3,0:56.0,M. Scott makes 3-pt jump shot from 27 ft (assist by P. Beverley),,93,80
3,0:45.0,,Shooting foul by P. Beverley (drawn by B. Beal),93,80
3,0:45.0,T. Wallace enters the game for T. Harris,,93,80
3,0:45.0,,A. Rivers enters the game for J. Wall,93,80
3,0:45.0,,B. Beal makes free throw 1 of 2,93,81
3,0:45.0,,B. Beal makes free throw 2 of 2,93,82
3,0:40.0,L. Williams misses 3-pt jump shot from 26 ft,,93,82
3,0:38.0,,Defensive rebound by Team,93,82
3,0:38.0,Loose ball foul by P. Beverley (drawn by A. Rivers),,93,82
3,0:38.0,,A. Rivers makes free throw 1 of 2,93,83
3,0:38.0,,A. Rivers makes free throw 2 of 2,93,84
3,0:32.0,Personal foul by B. Beal (drawn by T. Wallace),,93,84
3,0:32.0,S. Thornwell enters the game for T. Wallace,,93,84
3,0:32.0,S. Thornwell makes free throw 1 of 2,,94,84
3,0:32.0,S. Thornwell makes free throw 2 of 2,,95,84
3,0:13.0,,B. Beal misses 3-pt jump shot from 25 ft,95,84
3,0:10.0,,Offensive rebound by T. Satoranský,95,84
3,0:09.0,,T. Satoranský makes 2-pt layup from 4 ft,95,86
3,0:03.0,P. Beverley misses 3-pt jump shot from 23 ft,,95,86
3,0:01.0,,Defensive rebound by J. Green,95,86
3,0:00.0,,J. Green misses 3-pt jump shot from 61 ft,95,86
3,0:00.0,,Offensive rebound by Team,95,86
4,11:44.0,,J. Green makes 2-pt dunk from 2 ft (assist by T. Satoranský),95,88
4,11:24.0,Turnover by L. Williams (lost ball; steal by T. Satoranský),,95,88
4,11:20.0,,T. Satoranský makes 2-pt layup from 1 ft,95,90
4,10:59.0,Turnover by M. Scott (bad pass),,95,90
4,10:51.0,,M. Morris misses 3-pt jump shot from 26 ft,95,90
4,10:48.0,,Offensive rebound by B. Beal,95,90
4,10:38.0,,B. Beal misses 2-pt jump shot from 18 ft,95,90
4,10:34.0,Defensive rebound by M. Scott,,95,90
4,10:25.0,Personal foul by M. Morris (drawn by B. Marjanović),,95,90
4,10:16.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. Beverley),,97,90
4,10:07.0,,Personal foul by B. Marjanović (drawn by M. Morris),97,90
4,10:07.0,,J. Wall enters the game for T. Satoranský,97,90
4,9:55.0,,Turnover by M. Morris (bad pass; steal by L. Williams),97,90
4,9:50.0,Turnover by L. Williams (bad pass; steal by A. Rivers),,97,90
4,9:46.0,,J. Wall makes 2-pt layup from 1 ft (assist by B. Beal),97,92
4,9:28.0,L. Williams misses 2-pt jump shot from 9 ft,,97,92
4,9:27.0,Offensive rebound by M. Harrell,,97,92
4,9:26.0,M. Harrell makes 2-pt layup from 2 ft,,99,92
4,9:14.0,,B. Beal makes 2-pt jump shot from 12 ft,99,94
4,8:48.0,M. Harrell makes 2-pt hook shot from 9 ft,,101,94
4,8:38.0,,M. Morris misses 2-pt jump shot from 16 ft,101,94
4,8:34.0,Defensive rebound by M. Scott,,101,94
4,8:21.0,B. Marjanović misses 2-pt hook shot from 11 ft,,101,94
4,8:16.0,,Defensive rebound by J. Green,101,94
4,8:14.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by J. Green),101,97
4,8:12.0,LA Clippers full timeout,,101,97
4,8:12.0,A. Bradley enters the game for P. Beverley,,101,97
4,8:12.0,D. Gallinari enters the game for B. Marjanović,,101,97
4,8:12.0,T. Harris enters the game for M. Scott,,101,97
4,7:52.0,T. Harris makes 2-pt jump shot from 17 ft,,103,97
4,7:32.0,,J. Wall misses 3-pt jump shot from 25 ft,103,97
4,7:29.0,Defensive rebound by L. Williams,,103,97
4,7:28.0,,Clear path foul by M. Harrell,103,97
4,7:28.0,M. Harrell makes clear path free throw 1 of 2,,104,97
4,7:28.0,M. Harrell makes clear path free throw 2 of 2,,105,97
4,7:28.0,,O. Porter enters the game for A. Rivers,105,97
4,7:12.0,D. Gallinari misses 2-pt jump shot from 4 ft,,105,97
4,7:11.0,,Defensive rebound by O. Porter,105,97
4,7:06.0,,J. Green makes 3-pt jump shot from 27 ft (assist by J. Wall),105,100
4,6:48.0,L. Williams misses 2-pt layup from 5 ft (block by J. Wall),,105,100
4,6:46.0,,Defensive rebound by J. Wall,105,100
4,6:36.0,,J. Green makes 3-pt jump shot from 26 ft (assist by J. Wall),105,103
4,6:11.0,M. Harrell makes 2-pt hook shot from 2 ft (assist by D. Gallinari),,107,103
4,5:55.0,,Shooting foul by A. Bradley (drawn by B. Beal),107,103
4,5:55.0,,B. Beal misses free throw 1 of 2,107,103
