QUARTER,TIME_REMAINING,ORLANDO_ACTION,HOUSTON_ACTION,ORLANDO_SCORE,HOUSTON_SCORE
2,10:40.0,,K. Faried misses free throw 2 of 2,34,24
2,10:40.0,Defensive rebound by A. Gordon,,34,24
2,10:28.0,T. Ross misses 2-pt jump shot from 21 ft,,34,24
2,10:25.0,,Defensive rebound by K. Faried,34,24
2,10:14.0,,K. Faried makes 2-pt dunk from 2 ft (assist by C. Paul),34,26
2,9:49.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Grant),,37,26
2,9:39.0,,E. Gordon misses 3-pt jump shot from 27 ft,37,26
2,9:36.0,Defensive rebound by T. Ross,,37,26
2,9:29.0,J. Grant misses 3-pt jump shot from 27 ft,,37,26
2,9:25.0,,Defensive rebound by P. Tucker,37,26
2,9:20.0,,P. Tucker makes 3-pt jump shot from 26 ft (assist by C. Paul),37,29
2,9:05.0,T. Ross makes 2-pt dunk from 1 ft (assist by J. Grant),,39,29
2,8:52.0,,K. Faried makes 2-pt dunk from 1 ft (assist by C. Paul),39,31
2,8:29.0,A. Gordon misses 3-pt jump shot from 25 ft,,39,31
2,8:27.0,,Defensive rebound by K. Faried,39,31
2,8:18.0,,A. Rivers misses 3-pt jump shot from 23 ft,39,31
2,8:16.0,Defensive rebound by T. Ross,,39,31
2,8:06.0,T. Ross misses 3-pt jump shot from 26 ft,,39,31
2,8:03.0,Offensive rebound by T. Ross,,39,31
2,7:56.0,Personal foul by A. Rivers (drawn by A. Gordon),,39,31
2,7:56.0,,Houston full timeout,39,31
2,7:56.0,E. Fournier enters the game for J. Simmons,,39,31
2,7:56.0,,J. Ennis enters the game for C. Paul,39,31
2,7:56.0,,J. Harden enters the game for A. Rivers,39,31
2,7:47.0,T. Ross makes 3-pt jump shot from 24 ft (assist by J. Grant),,42,31
2,7:33.0,,E. Gordon makes 2-pt layup from 2 ft,42,33
2,7:14.0,E. Fournier makes 2-pt jump shot from 12 ft,,44,33
2,7:04.0,,J. Harden makes 3-pt jump shot from 25 ft,44,36
2,6:51.0,Shooting foul by J. Harden (drawn by J. Grant),,44,36
2,6:51.0,J. Grant makes free throw 1 of 2,,45,36
2,6:51.0,N. Vučević enters the game for M. Bamba,,45,36
2,6:51.0,J. Grant makes free throw 2 of 2,,46,36
2,6:37.0,,K. Faried makes 2-pt dunk at rim (assist by J. Harden),46,38
2,6:12.0,N. Vučević misses 2-pt hook shot from 6 ft,,46,38
2,6:09.0,,Defensive rebound by E. Gordon,46,38
2,6:05.0,,K. Faried makes 2-pt dunk from 2 ft (assist by J. Harden),46,40
2,5:43.0,T. Ross misses 3-pt jump shot from 26 ft,,46,40
2,5:38.0,Offensive rebound by N. Vučević,,46,40
2,5:36.0,E. Fournier misses 2-pt jump shot from 21 ft,,46,40
2,5:34.0,,Defensive rebound by K. Faried,46,40
2,5:21.0,,J. Harden makes 2-pt jump shot from 4 ft,46,42
2,5:17.0,Orlando full timeout,,46,42
2,5:17.0,D. Augustin enters the game for J. Grant,,46,42
2,5:17.0,J. Isaac enters the game for T. Ross,,46,42
2,5:00.0,E. Fournier misses 2-pt layup from 1 ft,,46,42
2,5:00.0,Offensive rebound by N. Vučević,,46,42
2,4:52.0,N. Vučević makes 2-pt hook shot from 3 ft,,48,42
2,4:31.0,,E. Gordon misses 3-pt jump shot from 25 ft (block by N. Vučević),48,42
2,4:28.0,Defensive rebound by J. Isaac,,48,42
2,4:21.0,Turnover by N. Vučević (bad pass; steal by K. Faried),,48,42
2,4:15.0,,J. Ennis makes 2-pt layup from 1 ft (assist by E. Gordon),48,44
2,3:52.0,E. Fournier makes 2-pt jump shot from 9 ft,,50,44
2,3:35.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),50,46
2,3:14.0,N. Vučević misses 2-pt jump shot from 19 ft,,50,46
2,3:11.0,,Defensive rebound by K. Faried,50,46
2,3:01.0,,Turnover by K. Faried (off goaltending),50,46
2,3:01.0,,G. Green enters the game for E. Gordon,50,46
2,2:43.0,N. Vučević makes 2-pt hook shot from 8 ft,,52,46
2,2:43.0,Shooting foul by K. Faried (drawn by N. Vučević),,52,46
2,2:43.0,N. Vučević misses free throw 1 of 1,,52,46
2,2:43.0,Offensive rebound by J. Isaac,,52,46
2,2:42.0,Personal foul by P. Tucker (drawn by J. Isaac),,52,46
2,2:37.0,D. Augustin makes 3-pt jump shot from 28 ft,,55,46
2,2:24.0,,Shooting foul by J. Isaac (drawn by G. Green),55,46
2,2:24.0,,G. Green makes free throw 1 of 3,55,47
2,2:24.0,,G. Green misses free throw 2 of 3,55,47
2,2:24.0,,Offensive rebound by Team,55,47
2,2:24.0,,G. Green misses free throw 3 of 3,55,47
2,2:23.0,,Offensive rebound by Team,55,47
2,2:16.0,,J. Harden makes 3-pt jump shot from 24 ft,55,50
2,1:56.0,Def 3 sec tech foul by Team,,55,50
2,1:56.0,D. Augustin makes technical free throw,,56,50
2,1:47.0,A. Gordon makes 2-pt hook shot from 4 ft,,58,50
2,1:47.0,Shooting foul by P. Tucker (drawn by A. Gordon),,58,50
2,1:47.0,A. Gordon makes free throw 1 of 1,,59,50
2,1:35.0,,Def 3 sec tech foul by Team,59,50
2,1:35.0,,J. Harden makes technical free throw,59,51
2,1:22.0,,J. Harden misses 2-pt jump shot from 11 ft,59,51
2,1:19.0,Defensive rebound by J. Isaac,,59,51
2,1:05.0,N. Vučević misses 2-pt hook shot from 7 ft,,59,51
2,1:03.0,,Defensive rebound by J. Ennis,59,51
2,1:01.0,,Turnover by J. Harden (bad pass; steal by J. Isaac),59,51
2,0:47.0,E. Fournier misses 2-pt jump shot from 10 ft,,59,51
2,0:42.0,,Defensive rebound by J. Ennis,59,51
2,0:39.0,,J. Harden makes 2-pt layup from 1 ft,59,53
2,0:29.0,D. Augustin misses 2-pt jump shot from 12 ft (block by J. Harden),,59,53
2,0:26.0,Offensive rebound by N. Vučević,,59,53
2,0:26.0,N. Vučević makes 2-pt hook shot from 6 ft,,61,53
2,0:02.0,,G. Green misses 3-pt jump shot from 23 ft,61,53
2,0:01.0,Defensive rebound by E. Fournier,,61,53
3,11:50.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Paul),61,56
3,11:34.0,Personal foul by E. Gordon (drawn by A. Gordon),,61,56
3,11:22.0,Turnover by N. Vučević (lost ball),,61,56
3,11:22.0,Loose ball foul by N. Vučević (drawn by E. Gordon),,61,56
3,11:12.0,,K. Faried misses 2-pt layup from 2 ft,61,56
3,11:10.0,Defensive rebound by N. Vučević,,61,56
3,10:58.0,E. Fournier misses 3-pt jump shot from 25 ft,,61,56
3,10:54.0,Offensive rebound by J. Isaac,,61,56
3,10:53.0,J. Isaac misses 2-pt layup from 2 ft,,61,56
3,10:51.0,,Defensive rebound by J. Harden,61,56
3,10:43.0,,Turnover by J. Harden (bad pass; steal by E. Fournier),61,56
3,10:40.0,J. Isaac makes 2-pt dunk from 1 ft (assist by E. Fournier),,63,56
3,10:19.0,,J. Harden misses 3-pt jump shot from 26 ft,63,56
3,10:16.0,Defensive rebound by J. Isaac,,63,56
3,9:57.0,E. Fournier makes 2-pt jump shot from 20 ft (assist by J. Isaac),,65,56
3,9:45.0,,E. Gordon misses 2-pt jump shot from 7 ft,65,56
3,9:44.0,Defensive rebound by N. Vučević,,65,56
3,9:34.0,D. Augustin misses 3-pt jump shot from 27 ft,,65,56
3,9:30.0,,Defensive rebound by C. Paul,65,56
3,9:30.0,,Shooting foul by D. Augustin (drawn by K. Faried),65,56
3,9:30.0,,K. Faried misses free throw 1 of 2,65,56
3,9:30.0,,Offensive rebound by Team,65,56
3,9:30.0,,K. Faried misses free throw 2 of 2,65,56
3,9:30.0,Defensive rebound by E. Fournier,,65,56
3,9:15.0,E. Fournier makes 2-pt layup from 1 ft,,67,56
3,9:02.0,,Shooting foul by E. Fournier (drawn by J. Harden),67,56
3,9:02.0,,J. Harden makes free throw 1 of 2,67,57
3,9:02.0,,J. Harden makes free throw 2 of 2,67,58
3,8:50.0,E. Fournier misses 2-pt jump shot from 9 ft,,67,58
3,8:48.0,,Defensive rebound by J. Harden,67,58
3,8:42.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by K. Faried),67,61
3,8:22.0,Turnover by A. Gordon (traveling),,67,61
3,8:18.0,,C. Paul misses 3-pt jump shot from 26 ft,67,61
3,8:14.0,Defensive rebound by N. Vučević,,67,61
3,8:05.0,J. Isaac misses 3-pt jump shot from 26 ft,,67,61
3,8:02.0,Offensive rebound by D. Augustin,,67,61
3,8:01.0,D. Augustin makes 2-pt layup at rim,,69,61
3,7:46.0,,Turnover by C. Paul (bad pass; steal by N. Vučević),69,61
3,7:45.0,Personal take foul by C. Paul (drawn by E. Fournier),,69,61
3,7:33.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by D. Augustin),,72,61
3,7:13.0,,P. Tucker misses 2-pt layup from 4 ft,72,61
3,7:13.0,Defensive rebound by Team,,72,61
3,7:13.0,,Loose ball foul by K. Faried (drawn by N. Vučević),72,61
3,7:13.0,,N. Hilário enters the game for K. Faried,72,61
3,7:05.0,Personal foul by J. Harden (drawn by E. Fournier),,72,61
3,6:53.0,A. Gordon makes 2-pt jump shot from 12 ft,,74,61
3,6:28.0,,J. Harden misses 3-pt jump shot from 26 ft,74,61
3,6:25.0,Defensive rebound by D. Augustin,,74,61
3,6:10.0,Personal foul by J. Harden (drawn by N. Vučević),,74,61
3,6:10.0,,Houston full timeout,74,61
3,6:10.0,T. Ross enters the game for A. Gordon,,74,61
3,6:10.0,,A. Rivers enters the game for C. Paul,74,61
3,6:10.0,N. Vučević makes free throw 1 of 2,,75,61
3,6:10.0,N. Vučević makes free throw 2 of 2,,76,61
3,5:49.0,,Turnover by J. Harden (bad pass; steal by E. Fournier),76,61
3,5:44.0,N. Vučević misses 3-pt jump shot from 26 ft,,76,61
3,5:40.0,,Defensive rebound by E. Gordon,76,61
3,5:30.0,,N. Hilário misses 2-pt jump shot from 16 ft,76,61
3,5:27.0,Defensive rebound by J. Isaac,,76,61
3,5:09.0,D. Augustin misses 2-pt layup from 2 ft,,76,61
3,5:06.0,,Defensive rebound by J. Harden,76,61
3,5:03.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by J. Harden),76,64
3,4:47.0,T. Ross makes 2-pt layup from 2 ft (assist by N. Vučević),,78,64
3,4:32.0,,E. Gordon misses 2-pt layup from 4 ft (block by T. Ross),78,64
3,4:30.0,Defensive rebound by N. Vučević,,78,64
3,4:30.0,Shooting foul by A. Rivers (drawn by D. Augustin),,78,64
3,4:30.0,D. Augustin misses free throw 1 of 2,,78,64
3,4:30.0,Offensive rebound by Team,,78,64
3,4:30.0,J. Simmons enters the game for E. Fournier,,78,64
3,4:30.0,,J. Ennis enters the game for E. Gordon,78,64
3,4:30.0,D. Augustin misses free throw 2 of 2,,78,64
3,4:30.0,,Defensive rebound by J. Harden,78,64
3,4:11.0,,N. Hilário makes 2-pt hook shot from 1 ft,78,66
3,3:47.0,Turnover by N. Vučević (bad pass; steal by P. Tucker),,78,66
3,3:38.0,,A. Rivers makes 2-pt layup from 2 ft (assist by J. Ennis),78,68
3,3:38.0,Orlando full timeout,,78,68
3,3:38.0,A. Gordon enters the game for D. Augustin,,78,68
3,3:38.0,J. Grant enters the game for J. Isaac,,78,68
3,3:23.0,N. Vučević misses 2-pt hook shot from 7 ft,,78,68
3,3:19.0,,Defensive rebound by J. Harden,78,68
3,3:14.0,,J. Harden misses 3-pt jump shot from 25 ft,78,68
3,3:12.0,Defensive rebound by J. Simmons,,78,68
3,3:01.0,A. Gordon misses 2-pt layup from 3 ft (block by N. Hilário),,78,68
3,3:01.0,Offensive rebound by Team,,78,68
3,3:01.0,Offensive foul by A. Gordon (drawn by N. Hilário),,78,68
3,3:01.0,Turnover by A. Gordon (offensive foul),,78,68
3,2:52.0,,Offensive foul by A. Rivers (drawn by J. Grant),78,68
3,2:52.0,,Turnover by A. Rivers (offensive foul),78,68
3,2:52.0,M. Bamba enters the game for N. Vučević,,78,68
3,2:37.0,A. Gordon makes 2-pt jump shot from 23 ft (assist by T. Ross),,80,68
3,2:20.0,,Personal foul by M. Bamba (drawn by J. Harden),80,68
3,2:10.0,,J. Harden misses 3-pt jump shot from 29 ft,80,68
3,2:07.0,Defensive rebound by T. Ross,,80,68
3,1:50.0,A. Gordon misses 2-pt jump shot from 9 ft,,80,68
3,1:47.0,,Defensive rebound by J. Ennis,80,68
3,1:39.0,,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Harden),80,70
3,1:17.0,Turnover by M. Bamba (bad pass; steal by J. Ennis),,80,70
3,1:16.0,,Shooting foul by M. Bamba (drawn by J. Ennis),80,70
3,1:16.0,,J. Ennis makes free throw 1 of 2,80,71
3,1:16.0,,E. Gordon enters the game for J. Harden,80,71
3,1:16.0,,C. Paul enters the game for P. Tucker,80,71
3,1:16.0,,J. Ennis makes free throw 2 of 2,80,72
3,0:56.0,M. Bamba misses 2-pt hook shot from 10 ft,,80,72
3,0:56.0,,Defensive rebound by N. Hilário,80,72
3,0:43.0,,Turnover by C. Paul (bad pass; steal by J. Grant),80,72
3,0:36.0,A. Gordon makes 2-pt jump shot from 15 ft,,82,72
3,0:29.0,,E. Gordon misses 2-pt layup from 1 ft,82,72
3,0:29.0,Defensive rebound by J. Grant,,82,72
3,0:23.0,A. Gordon misses 3-pt jump shot from 25 ft,,82,72
3,0:19.0,Offensive rebound by J. Grant,,82,72
3,0:07.0,J. Simmons misses 2-pt jump shot from 5 ft (block by A. Rivers),,82,72
3,0:07.0,Offensive rebound by Team,,82,72
3,0:04.0,Turnover by Team (shot clock),,82,72
3,0:01.0,,C. Paul makes 2-pt jump shot from 15 ft,82,74
4,11:41.0,Turnover by J. Simmons (lost ball; steal by C. Paul),,82,74
4,11:32.0,,A. Rivers makes 2-pt layup from 2 ft,82,76
4,11:16.0,J. Simmons misses 3-pt jump shot from 26 ft,,82,76
4,11:14.0,Offensive rebound by J. Grant,,82,76
4,11:11.0,A. Gordon makes 2-pt dunk from 1 ft (assist by J. Grant),,84,76
4,10:51.0,,E. Gordon misses 2-pt layup from 3 ft,84,76
4,10:49.0,Defensive rebound by A. Gordon,,84,76
4,10:42.0,T. Ross misses 3-pt jump shot from 26 ft,,84,76
4,10:40.0,,Defensive rebound by C. Paul,84,76
4,10:36.0,,E. Gordon misses 3-pt jump shot from 28 ft,84,76
4,10:33.0,Defensive rebound by T. Ross,,84,76
4,10:27.0,T. Ross misses 2-pt jump shot from 20 ft,,84,76
4,10:25.0,,Defensive rebound by Team,84,76
4,10:12.0,,C. Paul makes 3-pt jump shot from 27 ft (assist by E. Gordon),84,79
4,9:47.0,Turnover by T. Ross (bad pass; steal by C. Paul),,84,79
4,9:36.0,,A. Rivers misses 3-pt jump shot from 26 ft,84,79
4,9:34.0,Defensive rebound by A. Gordon,,84,79
4,9:21.0,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),,87,79
4,9:04.0,,C. Paul makes 3-pt jump shot from 26 ft,87,82
4,8:43.0,T. Ross misses 3-pt jump shot from 27 ft,,87,82
4,8:41.0,,Defensive rebound by E. Gordon,87,82
4,8:31.0,,C. Paul misses 3-pt jump shot from 27 ft,87,82
4,8:28.0,Defensive rebound by J. Simmons,,87,82
4,8:19.0,J. Grant misses 3-pt jump shot from 27 ft,,87,82
4,8:16.0,Offensive rebound by A. Gordon,,87,82
4,8:15.0,A. Gordon misses 2-pt jump shot from 2 ft (block by J. Ennis),,87,82
4,8:15.0,Offensive rebound by Team,,87,82
4,8:15.0,,Houston full timeout,87,82
4,8:15.0,E. Fournier enters the game for J. Simmons,,87,82
4,8:15.0,,G. Green enters the game for J. Ennis,87,82
4,8:15.0,,J. Harden enters the game for C. Paul,87,82
4,8:15.0,,P. Tucker enters the game for A. Rivers,87,82
4,8:03.0,T. Ross misses 3-pt jump shot from 25 ft,,87,82
4,8:03.0,Offensive rebound by Team,,87,82
4,8:03.0,Turnover by Team (shot clock),,87,82
4,7:50.0,,G. Green misses 3-pt jump shot from 24 ft,87,82
4,7:49.0,Defensive rebound by J. Grant,,87,82
4,7:39.0,E. Fournier misses 2-pt layup at rim,,87,82
4,7:37.0,,Defensive rebound by J. Harden,87,82
4,7:33.0,,Shooting foul by J. Grant (drawn by J. Harden),87,82
4,7:33.0,,J. Harden makes free throw 1 of 2,87,83
4,7:33.0,D. Augustin enters the game for M. Bamba,,87,83
4,7:33.0,N. Vučević enters the game for J. Grant,,87,83
4,7:33.0,,J. Harden makes free throw 2 of 2,87,84
4,7:20.0,Personal foul by P. Tucker (drawn by N. Vučević),,87,84
4,7:13.0,D. Augustin misses 3-pt jump shot from 26 ft,,87,84
4,7:12.0,,Defensive rebound by Team,87,84
4,7:12.0,Loose ball foul by N. Vučević (drawn by P. Tucker),,87,84
4,7:06.0,,G. Green makes 3-pt jump shot from 25 ft (assist by J. Harden),87,87
4,6:41.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by A. Gordon),,89,87
4,6:24.0,,J. Harden misses 3-pt jump shot from 27 ft,89,87
4,6:24.0,Defensive rebound by Team,,89,87
4,6:14.0,N. Vučević misses 2-pt jump shot from 10 ft,,89,87
4,6:11.0,,Defensive rebound by K. Faried,89,87
4,6:09.0,,E. Gordon misses 3-pt jump shot from 26 ft,89,87
4,6:06.0,Defensive rebound by A. Gordon,,89,87
4,5:59.0,A. Gordon misses 3-pt jump shot from 26 ft,,89,87
4,5:55.0,,Defensive rebound by P. Tucker,89,87
4,5:41.0,,G. Green makes 2-pt jump shot from 11 ft,89,89
4,5:24.0,Turnover by A. Gordon (bad pass; steal by K. Faried),,89,89
4,5:11.0,,J. Harden misses 3-pt jump shot from 27 ft,89,89
4,5:08.0,Defensive rebound by A. Gordon,,89,89
4,4:59.0,T. Ross makes 3-pt jump shot from 23 ft (assist by A. Gordon),,92,89
4,4:58.0,,Houston full timeout,92,89
4,4:58.0,J. Isaac enters the game for A. Gordon,,92,89
4,4:58.0,,J. Ennis enters the game for G. Green,92,89
4,4:46.0,,J. Harden makes 2-pt jump shot from 13 ft (assist by K. Faried),92,91
4,4:18.0,N. Vučević misses 3-pt jump shot from 22 ft,,92,91
4,4:16.0,,Defensive rebound by J. Harden,92,91
4,4:13.0,,P. Tucker makes 2-pt layup at rim (assist by K. Faried),92,93
4,4:01.0,Shooting foul by E. Gordon (drawn by D. Augustin),,92,93
4,4:01.0,D. Augustin makes free throw 1 of 2,,93,93
4,4:01.0,D. Augustin misses free throw 2 of 2,,93,93
4,4:01.0,,Defensive rebound by K. Faried,93,93
4,3:39.0,,J. Harden misses 3-pt jump shot from 27 ft,93,93
4,3:36.0,Defensive rebound by J. Isaac,,93,93
4,3:31.0,Orlando full timeout,,93,93
4,3:31.0,A. Gordon enters the game for J. Isaac,,93,93
4,3:31.0,,C. Paul enters the game for J. Ennis,93,93
4,3:18.0,E. Fournier misses 3-pt jump shot from 23 ft,,93,93
4,3:16.0,,Defensive rebound by Team,93,93
4,3:00.0,,Turnover by J. Harden (bad pass),93,93
4,2:35.0,D. Augustin misses 3-pt jump shot from 24 ft,,93,93
4,2:33.0,Offensive rebound by Team,,93,93
