QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
2,10:42.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by D. Bembry),,41,36
2,10:19.0,,R. Arcidiacono makes 2-pt jump shot from 6 ft,41,38
2,10:06.0,K. Huerter misses 3-pt jump shot from 25 ft,,41,38
2,10:03.0,Offensive rebound by A. Len,,41,38
2,9:57.0,A. Len misses 2-pt jump shot from 16 ft,,41,38
2,9:54.0,,Defensive rebound by Team,41,38
2,9:41.0,,A. Blakeney makes 2-pt jump shot from 13 ft (assist by C. Felício),41,40
2,9:30.0,A. Len makes 2-pt dunk from 1 ft (assist by J. Adams),,43,40
2,9:06.0,,Turnover by A. Blakeney (lost ball; steal by D. Bembry),43,40
2,9:04.0,Turnover by J. Adams (out of bounds lost ball),,43,40
2,9:04.0,K. Bazemore enters the game for J. Adams,,43,40
2,9:04.0,T. Young enters the game for D. Bembry,,43,40
2,8:51.0,,A. Blakeney misses 3-pt jump shot from 23 ft,43,40
2,8:48.0,Defensive rebound by A. Len,,43,40
2,8:43.0,V. Carter misses 3-pt jump shot from 26 ft,,43,40
2,8:39.0,,Defensive rebound by W. Selden,43,40
2,8:38.0,,Personal foul by K. Huerter (drawn by W. Selden),43,40
2,8:31.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,43,40
2,8:28.0,Defensive rebound by T. Young,,43,40
2,8:21.0,T. Young makes 2-pt layup from 2 ft,,45,40
2,8:06.0,,Shooting foul by V. Carter (drawn by C. Felício),45,40
2,8:06.0,,C. Felício misses free throw 1 of 2,45,40
2,8:06.0,,Offensive rebound by Team,45,40
2,8:06.0,,C. Felício misses free throw 2 of 2,45,40
2,8:00.0,Defensive rebound by A. Len,,45,40
2,7:53.0,K. Huerter misses 2-pt jump shot from 14 ft,,45,40
2,7:45.0,Offensive rebound by K. Bazemore,,45,40
2,7:41.0,A. Len misses 3-pt jump shot from 25 ft,,45,40
2,7:35.0,,Defensive rebound by R. Arcidiacono,45,40
2,7:26.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,45,40
2,7:23.0,,Offensive rebound by R. Arcidiacono,45,40
2,7:21.0,,R. Arcidiacono makes 2-pt layup from 1 ft,45,42
2,7:10.0,Shooting foul by W. Selden (drawn by A. Len),,45,42
2,7:10.0,A. Len misses free throw 1 of 2,,45,42
2,7:10.0,Offensive rebound by Team,,45,42
2,7:10.0,,Z. LaVine enters the game for A. Blakeney,45,42
2,7:10.0,,R. Lopez enters the game for C. Felício,45,42
2,7:10.0,,L. Markkanen enters the game for W. Selden,45,42
2,7:10.0,A. Len misses free throw 2 of 2,,45,42
2,7:07.0,,Defensive rebound by S. Harrison,45,42
2,6:45.0,,Turnover by Z. LaVine (bad pass; steal by V. Carter),45,42
2,6:42.0,Personal foul by R. Arcidiacono (drawn by T. Young),,45,42
2,6:42.0,,Chicago full timeout,45,42
2,6:42.0,B. Johnson enters the game for K. Huerter,,45,42
2,6:35.0,V. Carter makes 3-pt jump shot from 24 ft (assist by T. Young),,48,42
2,6:16.0,,L. Markkanen misses 3-pt jump shot from 26 ft,48,42
2,6:11.0,,Offensive rebound by S. Harrison,48,42
2,6:05.0,,R. Lopez makes 2-pt hook shot from 5 ft,48,44
2,5:46.0,B. Johnson makes 3-pt jump shot from 22 ft (assist by V. Carter),,51,44
2,5:26.0,,Personal foul by A. Len (drawn by R. Lopez),51,44
2,5:11.0,,L. Markkanen misses 2-pt jump shot from 17 ft,51,44
2,5:08.0,Defensive rebound by K. Bazemore,,51,44
2,5:06.0,Shooting foul by R. Arcidiacono (drawn by T. Young),,51,44
2,5:06.0,T. Young makes free throw 1 of 2,,52,44
2,5:06.0,,K. Dunn enters the game for R. Arcidiacono,52,44
2,5:06.0,T. Young makes free throw 2 of 2,,53,44
2,4:48.0,,L. Markkanen makes 2-pt dunk at rim,53,46
2,4:33.0,V. Carter misses 3-pt jump shot from 26 ft,,53,46
2,4:30.0,,Defensive rebound by K. Dunn,53,46
2,4:25.0,,L. Markkanen misses 2-pt jump shot from 20 ft,53,46
2,4:21.0,Defensive rebound by T. Young,,53,46
2,4:16.0,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),,56,46
2,4:02.0,,Shooting foul by A. Len (drawn by Z. LaVine),56,46
2,4:02.0,,Z. LaVine makes free throw 1 of 2,56,47
2,4:02.0,D. Bembry enters the game for K. Bazemore,,56,47
2,4:02.0,D. Dedmon enters the game for V. Carter,,56,47
2,4:02.0,A. Poythress enters the game for A. Len,,56,47
2,4:02.0,,Z. LaVine makes free throw 2 of 2,56,48
2,3:53.0,T. Young makes 3-pt jump shot from 26 ft (assist by A. Poythress),,59,48
2,3:39.0,,L. Markkanen misses 2-pt jump shot from 12 ft,59,48
2,3:35.0,,Offensive rebound by K. Dunn,59,48
2,3:27.0,,S. Harrison makes 2-pt layup from 3 ft (assist by K. Dunn),59,50
2,3:10.0,A. Poythress misses 3-pt jump shot from 24 ft,,59,50
2,3:06.0,,Defensive rebound by S. Harrison,59,50
2,3:02.0,,L. Markkanen makes 3-pt jump shot from 27 ft (assist by S. Harrison),59,53
2,2:59.0,Atlanta full timeout,,59,53
2,2:59.0,J. Anderson enters the game for B. Johnson,,59,53
2,2:59.0,,T. Luwawu-Cabarrot enters the game for S. Harrison,59,53
2,2:40.0,J. Anderson makes 2-pt hook shot from 7 ft,,61,53
2,2:23.0,,L. Markkanen misses 2-pt layup from 1 ft,61,53
2,2:23.0,Defensive rebound by D. Dedmon,,61,53
2,2:19.0,Shooting foul by R. Lopez (drawn by D. Dedmon),,61,53
2,2:19.0,D. Dedmon makes free throw 1 of 2,,62,53
2,2:19.0,D. Dedmon makes free throw 2 of 2,,63,53
2,2:06.0,,K. Dunn makes 2-pt jump shot from 15 ft,63,55
2,1:49.0,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Poythress),,63,55
2,1:49.0,A. Poythress makes free throw 1 of 2,,64,55
2,1:49.0,A. Poythress makes free throw 2 of 2,,65,55
2,1:41.0,,K. Dunn misses 3-pt jump shot from 25 ft,65,55
2,1:37.0,Defensive rebound by D. Dedmon,,65,55
2,1:27.0,Turnover by T. Young (bad pass; steal by L. Markkanen),,65,55
2,1:23.0,,Turnover by L. Markkanen (bad pass),65,55
2,1:12.0,Turnover by T. Young (bad pass),,65,55
2,1:00.0,,K. Dunn makes 3-pt jump shot from 26 ft,65,58
2,0:46.0,A. Poythress misses 2-pt layup from 3 ft,,65,58
2,0:44.0,,Defensive rebound by R. Lopez,65,58
2,0:41.0,,Turnover by Z. LaVine (lost ball; steal by D. Bembry),65,58
2,0:40.0,Turnover by D. Bembry (bad pass; steal by K. Dunn),,65,58
2,0:35.0,,R. Lopez makes 2-pt layup from 1 ft (assist by K. Dunn),65,60
2,0:28.0,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),,67,60
2,0:03.0,,L. Markkanen misses 2-pt jump shot from 16 ft,67,60
2,0:02.0,Defensive rebound by D. Bembry,,67,60
2,0:00.0,D. Bembry misses 3-pt jump shot from 35 ft,,67,60
2,0:00.0,Offensive rebound by Team,,67,60
3,11:51.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,67,60
3,11:48.0,Defensive rebound by D. Dedmon,,67,60
3,11:36.0,T. Young makes 3-pt jump shot from 25 ft (assist by A. Len),,70,60
3,11:19.0,,L. Markkanen misses 2-pt jump shot from 13 ft,70,60
3,11:16.0,Defensive rebound by A. Len,,70,60
3,11:10.0,Personal foul by L. Markkanen (drawn by D. Dedmon),,70,60
3,11:03.0,T. Young misses 2-pt jump shot from 10 ft,,70,60
3,11:00.0,,Defensive rebound by R. Lopez,70,60
3,10:49.0,,R. Lopez misses 2-pt hook shot from 7 ft,70,60
3,10:47.0,Defensive rebound by D. Dedmon,,70,60
3,10:43.0,K. Bazemore misses 3-pt jump shot from 27 ft,,70,60
3,10:39.0,,Defensive rebound by L. Markkanen,70,60
3,10:31.0,,L. Markkanen misses 2-pt jump shot from 18 ft,70,60
3,10:29.0,Defensive rebound by D. Dedmon,,70,60
3,10:22.0,Technical foul by P. Myers,,70,60
3,10:22.0,D. Dedmon misses technical free throw,,70,60
3,10:22.0,Offensive rebound by Team,,70,60
3,10:16.0,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),,73,60
3,10:00.0,,R. Lopez makes 2-pt hook shot from 5 ft,73,62
3,9:46.0,K. Huerter misses 3-pt jump shot from 22 ft,,73,62
3,9:43.0,Offensive rebound by A. Len,,73,62
3,9:42.0,A. Len makes 2-pt hook shot from 2 ft,,75,62
3,9:28.0,,L. Markkanen misses 3-pt jump shot from 25 ft,75,62
3,9:25.0,Defensive rebound by D. Dedmon,,75,62
3,9:20.0,T. Young makes 3-pt jump shot from 25 ft,,78,62
3,9:20.0,,Chicago full timeout,78,62
3,9:20.0,Technical foul by T. Young,,78,62
3,9:20.0,T. Young ejected from game,,78,62
3,9:20.0,,L. Markkanen makes technical free throw,78,63
3,9:20.0,J. Adams enters the game for T. Young,,78,63
3,9:08.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Lopez),78,66
3,8:51.0,Turnover by K. Bazemore (bad pass; steal by L. Markkanen),,78,66
3,8:48.0,,Shooting foul by K. Bazemore (drawn by L. Markkanen),78,66
3,8:48.0,,L. Markkanen makes free throw 1 of 2,78,67
3,8:48.0,,L. Markkanen misses free throw 2 of 2,78,67
3,8:47.0,,Offensive rebound by T. Luwawu-Cabarrot,78,67
3,8:45.0,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by K. Bazemore),78,67
3,8:33.0,K. Huerter misses 2-pt layup from 2 ft,,78,67
3,8:30.0,Offensive rebound by A. Len,,78,67
3,8:30.0,A. Len misses 2-pt layup at rim,,78,67
3,8:28.0,Offensive rebound by A. Len,,78,67
3,8:28.0,A. Len misses 2-pt layup at rim,,78,67
3,8:27.0,,Defensive rebound by T. Luwawu-Cabarrot,78,67
3,8:22.0,,Turnover by K. Dunn (bad pass; steal by K. Huerter),78,67
3,8:18.0,K. Huerter makes 2-pt layup from 2 ft,,80,67
3,8:01.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by Z. LaVine),80,69
3,7:46.0,A. Len misses 3-pt jump shot from 25 ft,,80,69
3,7:43.0,,Defensive rebound by Z. LaVine,80,69
3,7:28.0,,Z. LaVine makes 2-pt dunk at rim (assist by R. Lopez),80,71
3,7:17.0,J. Adams makes 2-pt layup from 2 ft,,82,71
3,7:03.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Lopez),82,74
3,6:54.0,Shooting foul by R. Lopez (drawn by A. Len),,82,74
3,6:54.0,A. Len misses free throw 1 of 2,,82,74
3,6:54.0,Offensive rebound by Team,,82,74
3,6:54.0,D. Bembry enters the game for D. Dedmon,,82,74
3,6:54.0,A. Poythress enters the game for K. Huerter,,82,74
3,6:54.0,A. Len makes free throw 2 of 2,,83,74
3,6:33.0,,L. Markkanen misses 3-pt jump shot from 25 ft,83,74
3,6:26.0,,Offensive rebound by Team,83,74
3,6:17.0,,Shooting foul by A. Len (drawn by Z. LaVine),83,74
3,6:17.0,,Z. LaVine makes free throw 1 of 2,83,75
3,6:17.0,V. Carter enters the game for A. Len,,83,75
3,6:17.0,,W. Selden enters the game for L. Markkanen,83,75
3,6:17.0,,Z. LaVine makes free throw 2 of 2,83,76
3,6:03.0,K. Bazemore makes 2-pt layup from 2 ft (assist by V. Carter),,85,76
3,5:48.0,,K. Dunn makes 2-pt jump shot from 8 ft,85,78
3,5:45.0,Personal foul by K. Dunn (drawn by V. Carter),,85,78
3,5:45.0,,S. Harrison enters the game for T. Luwawu-Cabarrot,85,78
3,5:39.0,J. Adams misses 3-pt jump shot from 25 ft,,85,78
3,5:36.0,,Defensive rebound by R. Lopez,85,78
3,5:24.0,,Turnover by Z. LaVine (bad pass; steal by A. Poythress),85,78
3,5:18.0,K. Bazemore misses 3-pt jump shot from 26 ft,,85,78
3,5:15.0,,Defensive rebound by R. Lopez,85,78
3,5:09.0,,Turnover by K. Dunn (bad pass; steal by K. Bazemore),85,78
3,5:06.0,Turnover by K. Bazemore (lost ball; steal by Z. LaVine),,85,78
3,5:02.0,,Z. LaVine makes 2-pt layup from 1 ft,85,80
3,4:47.0,A. Poythress makes 3-pt jump shot from 26 ft (assist by D. Bembry),,88,80
3,4:33.0,,R. Lopez misses 2-pt layup from 2 ft,88,80
3,4:30.0,Defensive rebound by A. Poythress,,88,80
3,4:21.0,V. Carter misses 2-pt jump shot from 19 ft,,88,80
3,4:20.0,,Defensive rebound by K. Dunn,88,80
3,4:20.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),88,82
3,4:20.0,,Shooting foul by K. Bazemore (drawn by Z. LaVine),88,82
3,4:20.0,,Z. LaVine makes free throw 1 of 1,88,83
3,4:06.0,D. Bembry makes 2-pt layup from 1 ft (assist by J. Adams),,90,83
3,3:55.0,,Turnover by K. Dunn (traveling),90,83
3,3:55.0,B. Johnson enters the game for K. Bazemore,,90,83
3,3:55.0,,R. Arcidiacono enters the game for Z. LaVine,90,83
3,3:55.0,,C. Felício enters the game for R. Lopez,90,83
3,3:42.0,Turnover by D. Bembry (bad pass),,90,83
3,3:36.0,,W. Selden makes 2-pt jump shot from 8 ft (assist by K. Dunn),90,85
3,3:19.0,A. Poythress misses 2-pt layup from 2 ft,,90,85
3,3:16.0,,Defensive rebound by S. Harrison,90,85
3,2:54.0,,R. Arcidiacono misses 2-pt jump shot from 5 ft,90,85
3,2:51.0,,Offensive rebound by C. Felício,90,85
3,2:51.0,,C. Felício misses 2-pt layup from 1 ft,90,85
3,2:51.0,Defensive rebound by B. Johnson,,90,85
3,2:44.0,J. Adams makes 3-pt jump shot from 26 ft (assist by A. Poythress),,93,85
3,2:25.0,,K. Dunn misses 2-pt jump shot from 17 ft,93,85
3,2:23.0,Defensive rebound by D. Bembry,,93,85
3,2:10.0,V. Carter misses 2-pt layup from 4 ft,,93,85
3,2:10.0,,Defensive rebound by W. Selden,93,85
3,2:03.0,,W. Selden misses 3-pt jump shot from 27 ft,93,85
3,2:01.0,Defensive rebound by J. Adams,,93,85
3,2:00.0,Atlanta full timeout,,93,85
3,2:00.0,J. Anderson enters the game for V. Carter,,93,85
3,2:00.0,D. Dedmon enters the game for A. Poythress,,93,85
3,2:00.0,,A. Blakeney enters the game for K. Dunn,93,85
3,1:47.0,B. Johnson makes 3-pt jump shot from 23 ft (assist by D. Bembry),,96,85
3,1:28.0,,Turnover by A. Blakeney (bad pass; steal by D. Dedmon),96,85
3,1:23.0,Offensive foul by J. Anderson (drawn by W. Selden),,96,85
3,1:23.0,Turnover by J. Anderson (offensive foul),,96,85
3,1:11.0,,A. Blakeney makes 2-pt jump shot from 17 ft,96,87
3,0:49.0,D. Bembry misses 2-pt layup from 2 ft,,96,87
3,0:44.0,Offensive rebound by D. Bembry,,96,87
3,0:44.0,D. Bembry misses 2-pt layup at rim (block by R. Arcidiacono),,96,87
3,0:44.0,,Defensive rebound by R. Arcidiacono,96,87
3,0:36.0,,R. Arcidiacono makes 2-pt jump shot from 7 ft (assist by S. Harrison),96,89
3,0:29.0,Offensive foul by J. Adams (drawn by S. Harrison),,96,89
3,0:29.0,Turnover by J. Adams (offensive foul),,96,89
3,0:12.0,,Personal foul by D. Dedmon (drawn by R. Arcidiacono),96,89
3,0:04.0,,R. Arcidiacono makes 2-pt jump shot from 7 ft,96,91
3,0:00.0,J. Anderson misses 3-pt jump shot from 47 ft,,96,91
3,0:00.0,Offensive rebound by Team,,96,91
4,11:46.0,Shooting foul by A. Blakeney (drawn by D. Bembry),,96,91
4,11:46.0,D. Bembry misses free throw 1 of 2,,96,91
4,11:46.0,Offensive rebound by Team,,96,91
4,11:46.0,D. Bembry makes free throw 2 of 2,,97,91
4,11:37.0,,R. Arcidiacono misses 2-pt layup from 3 ft (block by D. Bembry),97,91
4,11:34.0,Defensive rebound by A. Poythress,,97,91
4,11:28.0,Personal foul by C. Felício (drawn by D. Bembry),,97,91
4,11:14.0,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Bembry),,99,91
4,10:57.0,,A. Blakeney misses 2-pt jump shot from 18 ft,99,91
4,10:56.0,,Offensive rebound by C. Felício,99,91
4,10:56.0,,Shooting foul by J. Anderson (drawn by C. Felício),99,91
4,10:56.0,,C. Felício makes free throw 1 of 2,99,92
4,10:56.0,,C. Felício makes free throw 2 of 2,99,93
4,10:38.0,D. Dedmon makes 2-pt layup from 3 ft (assist by K. Huerter),,101,93
4,10:23.0,,S. Harrison misses 2-pt layup from 1 ft (block by J. Anderson),101,93
4,10:19.0,Defensive rebound by A. Poythress,,101,93
4,10:15.0,K. Huerter makes 3-pt jump shot from 26 ft,,104,93
4,10:15.0,,Chicago full timeout,104,93
4,10:15.0,,L. Markkanen enters the game for C. Felício,104,93
4,10:00.0,,A. Blakeney makes 2-pt jump shot from 8 ft (assist by L. Markkanen),104,95
4,9:42.0,Personal foul by R. Arcidiacono (drawn by A. Poythress),,104,95
4,9:34.0,D. Bembry misses 3-pt jump shot from 25 ft,,104,95
4,9:29.0,Offensive rebound by D. Dedmon,,104,95
4,9:24.0,A. Poythress misses 2-pt hook shot from 3 ft,,104,95
4,9:22.0,Offensive rebound by D. Dedmon,,104,95
4,9:22.0,D. Dedmon misses 2-pt layup at rim,,104,95
4,9:22.0,Offensive rebound by A. Poythress,,104,95
4,9:22.0,Shooting foul by W. Selden (drawn by A. Poythress),,104,95
4,9:22.0,A. Poythress misses free throw 1 of 2,,104,95
4,9:22.0,Offensive rebound by Team,,104,95
4,9:22.0,A. Poythress makes free throw 2 of 2,,105,95
4,9:08.0,,A. Blakeney misses 2-pt jump shot from 17 ft,105,95
4,9:05.0,Defensive rebound by D. Dedmon,,105,95
4,8:54.0,D. Dedmon misses 3-pt jump shot from 26 ft,,105,95
4,8:52.0,,Defensive rebound by A. Blakeney,105,95
4,8:39.0,,W. Selden makes 2-pt jump shot from 19 ft (assist by L. Markkanen),105,97
4,8:17.0,A. Poythress makes 3-pt jump shot from 22 ft (assist by K. Huerter),,108,97
4,8:03.0,,Personal foul by A. Poythress (drawn by L. Markkanen),108,97
4,8:03.0,J. Adams enters the game for J. Anderson,,108,97
4,8:03.0,K. Bazemore enters the game for D. Bembry,,108,97
4,7:55.0,,A. Blakeney makes 2-pt jump shot from 17 ft (assist by L. Markkanen),108,99
4,7:40.0,D. Dedmon misses 3-pt jump shot from 26 ft,,108,99
4,7:38.0,,Defensive rebound by L. Markkanen,108,99
4,7:29.0,,W. Selden misses 3-pt jump shot from 26 ft,108,99
4,7:25.0,,Offensive rebound by L. Markkanen,108,99
4,7:14.0,,L. Markkanen misses 2-pt layup from 2 ft,108,99
4,7:12.0,Defensive rebound by D. Dedmon,,108,99
4,7:02.0,D. Dedmon misses 2-pt jump shot from 7 ft (block by S. Harrison),,108,99
4,6:59.0,,Defensive rebound by L. Markkanen,108,99
4,6:46.0,,L. Markkanen misses 3-pt jump shot from 25 ft,108,99
4,6:43.0,Defensive rebound by K. Huerter,,108,99
4,6:31.0,D. Dedmon misses 2-pt hook shot from 7 ft,,108,99
4,6:29.0,,Defensive rebound by L. Markkanen,108,99
4,6:16.0,,A. Blakeney makes 3-pt jump shot from 25 ft (assist by S. Harrison),108,102
4,6:15.0,Atlanta full timeout,,108,102
4,6:15.0,B. Johnson enters the game for D. Dedmon,,108,102
4,6:15.0,A. Len enters the game for K. Huerter,,108,102
4,6:15.0,,Z. LaVine enters the game for S. Harrison,108,102
4,6:15.0,,R. Lopez enters the game for W. Selden,108,102
4,6:01.0,J. Adams misses 3-pt jump shot from 26 ft,,108,102
4,5:59.0,Offensive rebound by K. Bazemore,,108,102
