QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
1,6:23.0,,Turnover by T. Ferguson (step out of bounds),5,14
1,6:15.0,Turnover by D. Smith (bad pass),,5,14
1,6:15.0,J. Barea enters the game for D. Smith,,5,14
1,6:08.0,,R. Westbrook makes 2-pt jump shot from 10 ft,5,16
1,5:42.0,J. Barea misses 3-pt jump shot from 22 ft,,5,16
1,5:40.0,,Defensive rebound by R. Westbrook,5,16
1,5:35.0,,Turnover by R. Westbrook (bad pass; steal by L. Dončić),5,16
1,5:25.0,L. Dončić misses 3-pt jump shot from 26 ft,,5,16
1,5:21.0,,Defensive rebound by J. Grant,5,16
1,5:14.0,,R. Westbrook makes 2-pt jump shot from 17 ft,5,18
1,5:13.0,Dallas full timeout,,5,18
1,5:13.0,D. Harris enters the game for L. Dončić,,5,18
1,5:13.0,,D. Schröder enters the game for T. Ferguson,5,18
1,4:57.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Harris),,8,18
1,4:52.0,,Personal take foul by D. Harris (drawn by S. Adams),8,18
1,4:52.0,,S. Adams misses free throw 1 of 2,8,18
1,4:52.0,,Offensive rebound by Team,8,18
1,4:52.0,,S. Adams misses free throw 2 of 2,8,18
1,4:51.0,,Offensive rebound by Team,8,18
1,4:49.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),8,21
1,4:41.0,Personal foul by P. George (drawn by D. Harris),,8,21
1,4:33.0,Turnover by J. Barea (bad pass; steal by J. Grant),,8,21
1,4:25.0,,S. Adams misses 2-pt hook shot from 8 ft,8,21
1,4:23.0,Defensive rebound by D. Harris,,8,21
1,4:17.0,Turnover by D. Harris (bad pass; steal by P. George),,8,21
1,4:12.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),8,23
1,3:58.0,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Barea),,10,23
1,3:41.0,,D. Schröder misses 2-pt jump shot from 13 ft,10,23
1,3:38.0,Defensive rebound by J. Barea,,10,23
1,3:37.0,Personal foul by R. Westbrook (drawn by D. Jordan),,10,23
1,3:37.0,D. Finney-Smith enters the game for D. Jordan,,10,23
1,3:37.0,D. Powell enters the game for W. Matthews,,10,23
1,3:33.0,D. Harris misses 3-pt jump shot from 24 ft,,10,23
1,3:30.0,,Defensive rebound by P. George,10,23
1,3:23.0,,P. George misses 2-pt layup at rim (block by D. Powell),10,23
1,3:22.0,,Offensive rebound by P. George,10,23
1,3:22.0,,Shooting foul by D. Powell (drawn by P. George),10,23
1,3:22.0,,P. George makes free throw 1 of 2,10,24
1,3:22.0,M. Kleber enters the game for H. Barnes,,10,24
1,3:22.0,,A. Nader enters the game for S. Adams,10,24
1,3:22.0,,N. Noel enters the game for R. Westbrook,10,24
1,3:22.0,,P. George makes free throw 2 of 2,10,25
1,3:09.0,Personal foul by P. George (drawn by D. Finney-Smith),,10,25
1,3:09.0,D. Finney-Smith misses free throw 1 of 2,,10,25
1,3:09.0,Offensive rebound by Team,,10,25
1,3:09.0,D. Finney-Smith makes free throw 2 of 2,,11,25
1,2:54.0,,P. George misses 2-pt jump shot from 18 ft,11,25
1,2:49.0,,Offensive rebound by N. Noel,11,25
1,2:49.0,,N. Noel misses 2-pt layup at rim,11,25
1,2:48.0,Defensive rebound by M. Kleber,,11,25
1,2:41.0,Turnover by J. Barea (out of bounds lost ball),,11,25
1,2:30.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),11,27
1,2:17.0,Shooting foul by A. Nader (drawn by J. Barea),,11,27
1,2:17.0,J. Barea makes free throw 1 of 2,,12,27
1,2:17.0,,P. Patterson enters the game for J. Grant,12,27
1,2:17.0,J. Barea misses free throw 2 of 2,,12,27
1,2:15.0,,Defensive rebound by N. Noel,12,27
1,2:06.0,,D. Schröder makes 2-pt jump shot from 10 ft,12,29
1,1:48.0,J. Barea misses 2-pt layup from 3 ft (block by N. Noel),,12,29
1,1:46.0,,Defensive rebound by N. Noel,12,29
1,1:41.0,,D. Schröder misses 2-pt jump shot from 11 ft,12,29
1,1:38.0,Defensive rebound by D. Powell,,12,29
1,1:32.0,Shooting foul by A. Nader (drawn by D. Harris),,12,29
1,1:32.0,D. Harris misses free throw 1 of 2,,12,29
1,1:32.0,Offensive rebound by Team,,12,29
1,1:32.0,D. Harris makes free throw 2 of 2,,13,29
1,1:18.0,,Turnover by D. Schröder (bad pass; steal by J. Barea),13,29
1,1:14.0,Personal foul by N. Noel (drawn by J. Barea),,13,29
1,1:14.0,J. Barea makes free throw 1 of 2,,14,29
1,1:14.0,J. Barea makes free throw 2 of 2,,15,29
1,1:06.0,,P. Patterson misses 3-pt jump shot from 23 ft,15,29
1,1:05.0,Defensive rebound by D. Finney-Smith,,15,29
1,0:57.0,D. Finney-Smith makes 2-pt jump shot from 17 ft,,17,29
1,0:40.0,,Personal foul by D. Finney-Smith (drawn by P. George),17,29
1,0:40.0,,P. George makes free throw 1 of 2,17,30
1,0:40.0,,P. George makes free throw 2 of 2,17,31
1,0:30.0,Personal foul by A. Nader (drawn by D. Harris),,17,31
1,0:30.0,D. Harris makes free throw 1 of 2,,18,31
1,0:30.0,,T. Ferguson enters the game for A. Nader,18,31
1,0:30.0,D. Harris makes free throw 2 of 2,,19,31
1,0:15.0,,Personal foul by D. Powell (drawn by N. Noel),19,31
1,0:15.0,,N. Noel makes free throw 1 of 2,19,32
1,0:15.0,,H. Diallo enters the game for P. George,19,32
1,0:15.0,,N. Noel misses free throw 2 of 2,19,32
1,0:13.0,Defensive rebound by M. Kleber,,19,32
1,0:05.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,21,32
1,0:01.0,,D. Schröder misses 3-pt jump shot from 25 ft,21,32
1,0:01.0,Defensive rebound by M. Kleber,,21,32
2,11:45.0,M. Kleber misses 3-pt jump shot from 23 ft,,21,32
2,11:42.0,,Defensive rebound by P. Patterson,21,32
2,11:34.0,,T. Ferguson misses 2-pt jump shot from 22 ft,21,32
2,11:30.0,Defensive rebound by M. Kleber,,21,32
2,11:25.0,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),,23,32
2,11:15.0,,P. Patterson misses 2-pt jump shot from 12 ft,23,32
2,11:13.0,Defensive rebound by M. Kleber,,23,32
2,10:56.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,23,32
2,10:51.0,,Defensive rebound by T. Ferguson,23,32
2,10:46.0,,D. Schröder makes 2-pt layup from 1 ft,23,34
2,10:34.0,J. Barea misses 3-pt jump shot from 26 ft,,23,34
2,10:32.0,,Defensive rebound by N. Noel,23,34
2,10:25.0,,Turnover by H. Diallo (traveling),23,34
2,10:19.0,Personal foul by H. Diallo (drawn by D. Harris),,23,34
2,10:17.0,Turnover by D. Powell (offensive foul),,23,34
2,10:17.0,Offensive foul by D. Powell (drawn by H. Diallo),,23,34
2,10:17.0,S. Mejri enters the game for D. Powell,,23,34
2,10:03.0,,D. Schröder misses 2-pt layup from 2 ft,23,34
2,10:02.0,,Offensive rebound by N. Noel,23,34
2,10:01.0,,N. Noel makes 2-pt dunk at rim,23,36
2,9:44.0,Personal foul by D. Schröder (drawn by S. Mejri),,23,36
2,9:37.0,Turnover by D. Harris (bad pass),,23,36
2,9:30.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),23,39
2,9:27.0,Dallas full timeout,,23,39
2,9:27.0,J. Brunson enters the game for D. Harris,,23,39
2,9:09.0,S. Mejri makes 2-pt dunk from 1 ft (assist by J. Barea),,25,39
2,8:55.0,,D. Schröder misses 2-pt jump shot from 4 ft,25,39
2,8:52.0,Defensive rebound by D. Finney-Smith,,25,39
2,8:34.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Barea),,27,39
2,8:19.0,,Shooting foul by D. Finney-Smith (drawn by H. Diallo),27,39
2,8:19.0,,S. Adams enters the game for N. Noel,27,39
2,8:19.0,,R. Westbrook enters the game for D. Schröder,27,39
2,8:19.0,,H. Diallo makes free throw 1 of 2,27,40
2,8:19.0,,H. Diallo misses free throw 2 of 2,27,40
2,8:17.0,,Offensive rebound by Team,27,40
2,8:13.0,,R. Westbrook misses 2-pt jump shot from 17 ft,27,40
2,8:12.0,Defensive rebound by Team,,27,40
2,7:57.0,Shooting foul by T. Ferguson (drawn by J. Barea),,27,40
2,7:57.0,J. Barea misses free throw 1 of 2,,27,40
2,7:57.0,Offensive rebound by Team,,27,40
2,7:57.0,J. Barea makes free throw 2 of 2,,28,40
2,7:49.0,,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),28,42
2,7:31.0,D. Finney-Smith misses 2-pt layup from 3 ft,,28,42
2,7:28.0,Offensive rebound by D. Finney-Smith,,28,42
2,7:28.0,D. Finney-Smith makes 2-pt layup from 1 ft,,30,42
2,7:12.0,,T. Ferguson misses 3-pt jump shot from 25 ft,30,42
2,7:09.0,Defensive rebound by S. Mejri,,30,42
2,7:02.0,J. Barea misses 2-pt layup from 1 ft,,30,42
2,7:00.0,,Defensive rebound by S. Adams,30,42
2,6:53.0,,R. Westbrook makes 2-pt jump shot from 14 ft,30,44
2,6:38.0,J. Brunson misses 2-pt jump shot from 17 ft,,30,44
2,6:35.0,,Defensive rebound by P. Patterson,30,44
2,6:31.0,,Turnover by R. Westbrook (bad pass; steal by S. Mejri),30,44
2,6:30.0,Personal take foul by P. Patterson (drawn by M. Kleber),,30,44
2,6:30.0,H. Barnes enters the game for J. Barea,,30,44
2,6:30.0,L. Dončić enters the game for J. Brunson,,30,44
2,6:30.0,D. Jordan enters the game for D. Finney-Smith,,30,44
2,6:30.0,W. Matthews enters the game for M. Kleber,,30,44
2,6:30.0,D. Smith enters the game for S. Mejri,,30,44
2,6:13.0,H. Barnes misses 2-pt jump shot from 8 ft,,30,44
2,6:10.0,,Defensive rebound by S. Adams,30,44
2,6:07.0,,Shooting foul by D. Smith (drawn by R. Westbrook),30,44
2,6:07.0,,R. Westbrook makes free throw 1 of 2,30,45
2,6:07.0,,P. George enters the game for H. Diallo,30,45
2,6:07.0,,J. Grant enters the game for P. Patterson,30,45
2,6:07.0,,R. Westbrook makes free throw 2 of 2,30,46
2,5:56.0,Turnover by W. Matthews (lost ball; steal by T. Ferguson),,30,46
2,5:54.0,,J. Grant makes 2-pt dunk from 1 ft (assist by T. Ferguson),30,48
2,5:41.0,Turnover by L. Dončić (bad pass; steal by J. Grant),,30,48
2,5:28.0,,R. Westbrook makes 2-pt jump shot from 15 ft,30,50
2,5:26.0,Dallas full timeout,,30,50
2,5:19.0,Turnover by H. Barnes (offensive foul),,30,50
2,5:19.0,Offensive foul by H. Barnes (drawn by J. Grant),,30,50
2,5:10.0,,R. Westbrook misses 2-pt layup from 1 ft,30,50
2,5:09.0,Defensive rebound by D. Jordan,,30,50
2,5:04.0,H. Barnes misses 3-pt jump shot from 23 ft,,30,50
2,5:00.0,,Defensive rebound by J. Grant,30,50
2,4:55.0,,R. Westbrook misses 2-pt layup from 2 ft,30,50
2,4:55.0,,Offensive rebound by Team,30,50
2,4:53.0,,P. George misses 2-pt jump shot from 12 ft,30,50
2,4:50.0,Defensive rebound by L. Dončić,,30,50
2,4:48.0,Shooting foul by T. Ferguson (drawn by L. Dončić),,30,50
2,4:48.0,L. Dončić makes free throw 1 of 2,,31,50
2,4:48.0,L. Dončić makes free throw 2 of 2,,32,50
2,4:36.0,,S. Adams misses 2-pt jump shot from 6 ft,32,50
2,4:34.0,,Offensive rebound by S. Adams,32,50
2,4:32.0,,S. Adams misses 2-pt layup at rim,32,50
2,4:31.0,Defensive rebound by H. Barnes,,32,50
2,4:04.0,Turnover by Team (shot clock),,32,50
2,4:04.0,,D. Schröder enters the game for T. Ferguson,32,50
2,3:59.0,,Shooting foul by D. Smith (drawn by R. Westbrook),32,50
2,3:59.0,,R. Westbrook makes free throw 1 of 2,32,51
2,3:59.0,,R. Westbrook makes free throw 2 of 2,32,52
2,3:51.0,Offensive foul by D. Jordan (drawn by P. George),,32,52
2,3:51.0,Turnover by D. Jordan (offensive foul),,32,52
2,3:33.0,,J. Grant misses 2-pt hook shot from 5 ft,32,52
2,3:31.0,Defensive rebound by D. Jordan,,32,52
2,3:25.0,Turnover by H. Barnes (offensive foul),,32,52
2,3:25.0,Offensive foul by H. Barnes (drawn by D. Schröder),,32,52
2,3:14.0,,J. Grant misses 3-pt jump shot from 23 ft,32,52
2,3:11.0,,Offensive rebound by S. Adams,32,52
2,3:02.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),32,54
2,2:44.0,W. Matthews makes 2-pt jump shot from 16 ft,,34,54
2,2:30.0,,P. George misses 2-pt jump shot from 18 ft,34,54
2,2:29.0,Defensive rebound by Team,,34,54
2,2:29.0,,Loose ball foul by P. George (drawn by H. Barnes),34,54
2,2:29.0,H. Barnes makes free throw 1 of 2,,35,54
2,2:29.0,H. Barnes makes free throw 2 of 2,,36,54
2,2:19.0,,R. Westbrook makes 2-pt jump shot from 14 ft (assist by S. Adams),36,56
2,2:03.0,D. Jordan misses 2-pt dunk from 2 ft (block by J. Grant),,36,56
2,2:03.0,,Defensive rebound by Team,36,56
2,1:58.0,,R. Westbrook makes 2-pt jump shot from 13 ft,36,58
2,1:55.0,Dallas full timeout,,36,58
2,1:44.0,D. Smith makes 2-pt dunk at rim (assist by L. Dončić),,38,58
2,1:34.0,,R. Westbrook misses 2-pt dunk at rim,38,58
2,1:32.0,Defensive rebound by L. Dončić,,38,58
2,1:30.0,Shooting foul by D. Schröder (drawn by L. Dončić),,38,58
2,1:30.0,L. Dončić makes free throw 1 of 2,,39,58
2,1:30.0,L. Dončić makes free throw 2 of 2,,40,58
2,1:14.0,,J. Grant misses 3-pt jump shot from 25 ft,40,58
2,1:11.0,Defensive rebound by D. Jordan,,40,58
2,0:49.0,W. Matthews misses 3-pt jump shot from 25 ft,,40,58
2,0:48.0,,Defensive rebound by Team,40,58
2,0:38.0,,J. Grant makes 2-pt jump shot from 10 ft (assist by R. Westbrook),40,60
2,0:27.0,Turnover by L. Dončić (bad pass; steal by R. Westbrook),,40,60
2,0:09.0,,P. George misses 2-pt jump shot from 13 ft,40,60
2,0:06.0,Defensive rebound by D. Jordan,,40,60
2,0:00.0,W. Matthews makes 3-pt jump shot from 23 ft,,43,60
3,11:39.0,W. Matthews misses 2-pt jump shot from 13 ft,,43,60
3,11:35.0,,Defensive rebound by R. Westbrook,43,60
3,11:29.0,,J. Grant makes 2-pt layup from 3 ft (assist by R. Westbrook),43,62
3,11:29.0,,Shooting foul by W. Matthews (drawn by J. Grant),43,62
3,11:29.0,,J. Grant makes free throw 1 of 1,43,63
3,11:16.0,Personal foul by R. Westbrook (drawn by L. Dončić),,43,63
3,11:13.0,Personal foul by P. George (drawn by L. Dončić),,43,63
3,11:06.0,L. Dončić makes 2-pt jump shot from 8 ft,,45,63
3,10:52.0,,P. George misses 2-pt jump shot from 19 ft,45,63
3,10:50.0,Defensive rebound by D. Smith,,45,63
3,10:35.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by H. Barnes),,48,63
3,10:20.0,,P. George misses 2-pt layup from 8 ft (block by W. Matthews),48,63
3,10:19.0,Defensive rebound by L. Dončić,,48,63
3,10:17.0,Turnover by L. Dončić (bad pass; steal by S. Adams),,48,63
3,10:07.0,,S. Adams makes 2-pt jump shot from 12 ft (assist by R. Westbrook),48,65
3,9:55.0,D. Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),,51,65
3,9:39.0,,T. Ferguson misses 2-pt layup from 1 ft,51,65
3,9:39.0,,Offensive rebound by Team,51,65
3,9:38.0,,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),51,67
3,9:38.0,,Shooting foul by D. Smith (drawn by P. George),51,67
3,9:38.0,,P. George misses free throw 1 of 1,51,67
3,9:35.0,Defensive rebound by D. Jordan,,51,67
3,9:25.0,Turnover by D. Jordan (lost ball; steal by R. Westbrook),,51,67
3,9:21.0,,T. Ferguson makes 2-pt layup from 1 ft,51,69
3,9:21.0,Dallas full timeout,,51,69
3,9:05.0,L. Dončić misses 2-pt hook shot from 5 ft,,51,69
3,9:03.0,Offensive rebound by L. Dončić,,51,69
3,8:52.0,W. Matthews misses 3-pt jump shot from 24 ft,,51,69
3,8:49.0,Offensive rebound by D. Jordan,,51,69
3,8:46.0,D. Smith misses 2-pt layup from 3 ft,,51,69
3,8:44.0,Offensive rebound by Team,,51,69
3,8:44.0,,Loose ball foul by J. Grant (drawn by D. Jordan),51,69
3,8:41.0,D. Smith makes 3-pt jump shot from 25 ft (assist by D. Jordan),,54,69
3,8:25.0,,R. Westbrook misses 2-pt jump shot from 16 ft,54,69
3,8:23.0,Defensive rebound by L. Dončić,,54,69
3,8:15.0,Offensive foul by D. Jordan (drawn by J. Grant),,54,69
3,8:15.0,Turnover by D. Jordan (offensive foul),,54,69
3,8:12.0,,Turnover by R. Westbrook (bad pass; steal by W. Matthews),54,69
3,8:07.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Smith),,57,69
3,8:06.0,,Oklahoma City full timeout,57,69
3,7:54.0,,T. Ferguson misses 3-pt jump shot from 23 ft,57,69
3,7:50.0,,Offensive rebound by P. George,57,69
3,7:44.0,,P. George makes 2-pt jump shot from 7 ft,57,71
3,7:27.0,Turnover by W. Matthews (lost ball; steal by R. Westbrook),,57,71
3,7:24.0,,R. Westbrook makes 2-pt layup from 1 ft,57,73
3,7:14.0,L. Dončić misses 2-pt jump shot from 13 ft,,57,73
3,7:12.0,,Defensive rebound by R. Westbrook,57,73
3,7:07.0,,Turnover by R. Westbrook (bad pass; steal by W. Matthews),57,73
3,7:07.0,,Violation by Team (kicked ball),57,73
3,6:58.0,Shooting foul by T. Ferguson (drawn by D. Smith),,57,73
3,6:58.0,D. Smith misses free throw 1 of 2,,57,73
3,6:58.0,Offensive rebound by Team,,57,73
3,6:58.0,D. Smith misses free throw 2 of 2,,57,73
3,6:58.0,,Defensive rebound by R. Westbrook,57,73
3,6:48.0,,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),57,75
3,6:45.0,Dallas full timeout,,57,75
3,6:38.0,Personal foul by T. Ferguson (drawn by W. Matthews),,57,75
3,6:38.0,W. Matthews makes free throw 1 of 2,,58,75
3,6:38.0,,D. Schröder enters the game for T. Ferguson,58,75
3,6:38.0,W. Matthews makes free throw 2 of 2,,59,75
3,6:28.0,,R. Westbrook makes 2-pt jump shot from 16 ft,59,77
3,6:19.0,Offensive foul by D. Jordan (drawn by P. George),,59,77
3,6:19.0,Turnover by D. Jordan (offensive foul),,59,77
3,6:08.0,,D. Schröder misses 3-pt jump shot from 26 ft,59,77
3,6:02.0,Defensive rebound by W. Matthews,,59,77
3,6:00.0,Turnover by D. Jordan (bad pass),,59,77
3,5:51.0,,Personal foul by W. Matthews (drawn by P. George),59,77
3,5:45.0,,Turnover by R. Westbrook (bad pass; steal by H. Barnes),59,77
3,5:39.0,W. Matthews misses 3-pt jump shot from 23 ft,,59,77
3,5:33.0,,Defensive rebound by S. Adams,59,77
3,5:16.0,,J. Grant misses 2-pt layup from 2 ft,59,77
3,5:14.0,Defensive rebound by L. Dončić,,59,77
3,5:04.0,L. Dončić misses 3-pt jump shot from 24 ft,,59,77
3,5:01.0,,Defensive rebound by D. Schröder,59,77
3,4:58.0,,P. George misses 3-pt jump shot from 26 ft,59,77
3,4:56.0,Defensive rebound by W. Matthews,,59,77
3,4:48.0,Turnover by D. Jordan (lost ball; steal by J. Grant),,59,77
3,4:43.0,,P. George misses 3-pt jump shot from 25 ft,59,77
3,4:40.0,,Offensive rebound by S. Adams,59,77
3,4:33.0,,R. Westbrook makes 2-pt jump shot from 20 ft,59,79
3,4:16.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,62,79
3,4:05.0,,R. Westbrook makes 2-pt jump shot from 20 ft,62,81
3,3:46.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by L. Dončić),,65,81
3,3:32.0,,R. Westbrook misses 2-pt jump shot from 20 ft,65,81
3,3:29.0,Defensive rebound by H. Barnes,,65,81
3,3:20.0,Shooting foul by S. Adams (drawn by L. Dončić),,65,81
3,3:20.0,L. Dončić makes free throw 1 of 2,,66,81
3,3:20.0,J. Barea enters the game for D. Jordan,,66,81
3,3:20.0,D. Powell enters the game for D. Smith,,66,81
3,3:20.0,,A. Nader enters the game for P. George,66,81
3,3:20.0,L. Dončić makes free throw 2 of 2,,67,81
3,3:06.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),67,84
3,2:54.0,L. Dončić misses 2-pt layup from 3 ft,,67,84
3,2:51.0,,Defensive rebound by S. Adams,67,84
3,2:49.0,,D. Schröder misses 3-pt jump shot from 24 ft,67,84
3,2:49.0,,Offensive rebound by A. Nader,67,84
3,2:45.0,,A. Nader misses 2-pt dunk from 1 ft,67,84
3,2:45.0,,Offensive rebound by S. Adams,67,84
3,2:45.0,,Shooting foul by W. Matthews (drawn by S. Adams),67,84
3,2:45.0,D. Finney-Smith enters the game for L. Dončić,,67,84
3,2:45.0,D. Harris enters the game for W. Matthews,,67,84
3,2:45.0,,S. Adams misses free throw 1 of 2,67,84
3,2:45.0,,Offensive rebound by Team,67,84
3,2:45.0,,S. Adams misses free throw 2 of 2,67,84
3,2:43.0,Defensive rebound by H. Barnes,,67,84
3,2:35.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),,70,84
3,2:28.0,,Personal take foul by D. Harris (drawn by S. Adams),70,84
3,2:28.0,,S. Adams makes free throw 1 of 2,70,85
3,2:28.0,,S. Adams makes free throw 2 of 2,70,86
3,2:17.0,H. Barnes makes 2-pt jump shot from 13 ft,,72,86
3,2:01.0,,J. Grant misses 3-pt jump shot from 23 ft,72,86
3,2:01.0,Defensive rebound by D. Finney-Smith,,72,86
3,1:54.0,D. Harris misses 3-pt jump shot from 22 ft,,72,86
3,1:49.0,Offensive rebound by D. Finney-Smith,,72,86
3,1:49.0,D. Finney-Smith misses 2-pt layup from 2 ft,,72,86
3,1:46.0,,Defensive rebound by R. Westbrook,72,86
3,1:36.0,,R. Westbrook misses 2-pt jump shot from 14 ft,72,86
3,1:33.0,Defensive rebound by D. Powell,,72,86
3,1:28.0,J. Barea misses 3-pt jump shot from 25 ft,,72,86
3,1:27.0,,Defensive rebound by A. Nader,72,86
3,1:27.0,,Oklahoma City full timeout,72,86
3,1:27.0,,N. Noel enters the game for S. Adams,72,86
3,1:10.0,,D. Schröder misses 2-pt layup from 8 ft (block by D. Powell),72,86
3,1:10.0,,Offensive rebound by Team,72,86
3,1:07.0,,Personal foul by D. Harris (drawn by N. Noel),72,86
3,1:07.0,,N. Noel makes free throw 1 of 2,72,87
3,1:07.0,,N. Noel makes free throw 2 of 2,72,88
3,0:54.0,D. Finney-Smith misses 2-pt jump shot from 6 ft,,72,88
3,0:53.0,,Defensive rebound by R. Westbrook,72,88
3,0:48.0,,R. Westbrook makes 2-pt layup from 2 ft,72,90
3,0:36.0,Turnover by D. Powell (lost ball; steal by R. Westbrook),,72,90
3,0:27.0,,R. Westbrook misses 3-pt jump shot from 26 ft,72,90
3,0:25.0,,Offensive rebound by Team,72,90
3,0:25.0,Loose ball foul by D. Powell (drawn by N. Noel),,72,90
3,0:25.0,,N. Noel makes free throw 1 of 2,72,91
3,0:25.0,,N. Noel makes free throw 2 of 2,72,92
3,0:07.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),,75,92
3,0:02.0,,N. Noel misses 2-pt jump shot from 15 ft,75,92
3,0:02.0,Defensive rebound by H. Barnes,,75,92
4,11:39.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),75,94
4,11:22.0,H. Barnes makes 3-pt jump shot from 25 ft,,78,94
4,11:07.0,,A. Nader misses 3-pt jump shot from 26 ft,78,94
4,11:04.0,Defensive rebound by J. Barea,,78,94
4,10:59.0,H. Barnes makes 3-pt jump shot from 25 ft,,81,94
4,10:58.0,,Oklahoma City full timeout,81,94
4,10:58.0,,P. George enters the game for P. Patterson,81,94
4,10:44.0,,P. George makes 2-pt layup from 2 ft,81,96
4,10:29.0,Personal foul by N. Noel (drawn by H. Barnes),,81,96
4,10:28.0,Personal foul by H. Diallo (drawn by J. Barea),,81,96
