QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
1,2:14.0,A. Nader misses 2-pt jump shot from 6 ft,,28,19
1,2:12.0,Offensive rebound by A. Nader,,28,19
1,2:09.0,A. Nader misses 2-pt layup from 1 ft,,28,19
1,2:08.0,,Defensive rebound by B. Adebayo,28,19
1,2:07.0,,J. Richardson misses 2-pt layup from 2 ft (block by N. Noel),28,19
1,2:07.0,,Offensive rebound by Team,28,19
1,2:07.0,P. George enters the game for R. Westbrook,,28,19
1,1:57.0,,J. Richardson makes 2-pt jump shot from 18 ft,28,21
1,1:42.0,D. Schröder misses 3-pt jump shot from 26 ft,,28,21
1,1:42.0,,Defensive rebound by K. Olynyk,28,21
1,1:29.0,,Turnover by D. Wade (traveling),28,21
1,1:08.0,Turnover by P. Patterson (bad pass; steal by D. Wade),,28,21
1,1:06.0,,Personal foul by A. Nader (drawn by D. Wade),28,21
1,0:59.0,,D. Waiters misses 2-pt jump shot from 19 ft,28,21
1,0:57.0,,Offensive rebound by B. Adebayo,28,21
1,0:54.0,,Shooting foul by A. Nader (drawn by D. Wade),28,21
1,0:54.0,,D. Wade misses free throw 1 of 2,28,21
1,0:54.0,,Offensive rebound by Team,28,21
1,0:54.0,T. Ferguson enters the game for A. Nader,,28,21
1,0:54.0,,D. Wade makes free throw 2 of 2,28,22
1,0:41.0,N. Noel misses 2-pt jump shot from 11 ft,,28,22
1,0:39.0,,Defensive rebound by B. Adebayo,28,22
1,0:32.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Wade),28,24
1,0:32.0,,Shooting foul by T. Ferguson (drawn by B. Adebayo),28,24
1,0:32.0,,B. Adebayo misses free throw 1 of 1,28,24
1,0:30.0,Defensive rebound by N. Noel,,28,24
1,0:14.0,P. George makes 3-pt jump shot from 25 ft,,31,24
1,0:01.0,,D. Wade misses 3-pt jump shot from 26 ft,31,24
1,0:01.0,Defensive rebound by N. Noel,,31,24
2,11:51.0,,D. Wade makes 2-pt layup from 2 ft (assist by J. Winslow),31,26
2,11:34.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. George),,34,26
2,11:25.0,,Personal foul by T. Ferguson (drawn by D. Wade),34,26
2,11:10.0,,J. Winslow misses 3-pt jump shot from 23 ft,34,26
2,11:07.0,Defensive rebound by D. Schröder,,34,26
2,10:59.0,Personal foul by D. Waiters (drawn by D. Schröder),,34,26
2,10:51.0,Turnover by N. Noel (traveling),,34,26
2,10:34.0,,J. Winslow misses 2-pt layup from 3 ft (block by N. Noel),34,26
2,10:31.0,Defensive rebound by P. George,,34,26
2,10:27.0,P. George makes 3-pt jump shot from 27 ft,,37,26
2,10:03.0,,D. Wade misses 3-pt jump shot from 24 ft,37,26
2,9:59.0,Defensive rebound by D. Schröder,,37,26
2,9:52.0,D. Schröder makes 2-pt jump shot from 17 ft,,39,26
2,9:46.0,,Miami full timeout,39,26
2,9:33.0,,D. Waiters misses 3-pt jump shot from 23 ft,39,26
2,9:31.0,Defensive rebound by N. Noel,,39,26
2,9:17.0,D. Schröder makes 2-pt jump shot from 16 ft (assist by P. George),,41,26
2,9:08.0,,Turnover by D. Waiters (step out of bounds),41,26
2,8:54.0,P. Patterson makes 2-pt jump shot from 9 ft (assist by P. George),,43,26
2,8:54.0,Á. Abrines enters the game for T. Ferguson,,43,26
2,8:54.0,R. Westbrook enters the game for P. George,,43,26
2,8:34.0,,K. Olynyk misses 3-pt jump shot from 26 ft,43,26
2,8:28.0,,Offensive rebound by D. Wade,43,26
2,8:28.0,,D. Wade makes 2-pt layup at rim,43,28
2,8:15.0,P. Patterson misses 2-pt jump shot from 9 ft,,43,28
2,8:12.0,,Defensive rebound by K. Olynyk,43,28
2,7:52.0,,K. Olynyk misses 2-pt hook shot from 6 ft (block by N. Noel),43,28
2,7:48.0,Defensive rebound by N. Noel,,43,28
2,7:45.0,D. Schröder makes 3-pt jump shot from 25 ft,,46,28
2,7:20.0,,D. Waiters makes 3-pt jump shot from 26 ft (assist by D. Wade),46,31
2,7:04.0,Á. Abrines misses 3-pt jump shot from 23 ft,,46,31
2,7:01.0,,Defensive rebound by B. Adebayo,46,31
2,6:51.0,,D. Waiters misses 2-pt layup at rim,46,31
2,6:48.0,,Offensive rebound by B. Adebayo,46,31
2,6:48.0,,B. Adebayo makes 2-pt layup at rim,46,33
2,6:34.0,D. Schröder makes 2-pt jump shot from 7 ft,,48,33
2,6:19.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Winslow),48,36
2,6:10.0,D. Schröder makes 2-pt jump shot from 9 ft,,50,36
2,5:58.0,,Personal foul by Á. Abrines (drawn by B. Adebayo),50,36
2,5:58.0,S. Adams enters the game for N. Noel,,50,36
2,5:58.0,J. Grant enters the game for P. Patterson,,50,36
2,5:58.0,,J. Richardson enters the game for B. Adebayo,50,36
2,5:58.0,,H. Whiteside enters the game for D. Wade,50,36
2,5:50.0,,Turnover by K. Olynyk (lost ball; steal by S. Adams),50,36
2,5:46.0,Turnover by S. Adams (bad pass; steal by H. Whiteside),,50,36
2,5:43.0,,Turnover by H. Whiteside (lost ball; steal by S. Adams),50,36
2,5:38.0,D. Schröder makes 3-pt jump shot from 26 ft,,53,36
2,5:38.0,,Miami full timeout,53,36
2,5:21.0,,J. Richardson misses 3-pt jump shot from 28 ft,53,36
2,5:20.0,Defensive rebound by R. Westbrook,,53,36
2,5:11.0,S. Adams misses 2-pt jump shot from 9 ft,,53,36
2,5:09.0,,Defensive rebound by Team,53,36
2,4:55.0,,H. Whiteside makes 2-pt dunk from 5 ft (assist by J. Richardson),53,38
2,4:55.0,,Shooting foul by J. Grant (drawn by H. Whiteside),53,38
2,4:55.0,P. George enters the game for Á. Abrines,,53,38
2,4:55.0,,H. Whiteside misses free throw 1 of 1,53,38
2,4:52.0,Defensive rebound by R. Westbrook,,53,38
2,4:37.0,D. Schröder makes 2-pt jump shot from 18 ft,,55,38
2,4:27.0,,Offensive foul by H. Whiteside (drawn by P. George),55,38
2,4:27.0,,Turnover by H. Whiteside (offensive foul),55,38
2,4:20.0,Shooting foul by J. Richardson (drawn by D. Schröder),,55,38
2,4:20.0,D. Schröder makes free throw 1 of 2,,56,38
2,4:20.0,,T. Johnson enters the game for D. Waiters,56,38
2,4:20.0,D. Schröder makes free throw 2 of 2,,57,38
2,4:10.0,,K. Olynyk misses 2-pt jump shot from 14 ft,57,38
2,4:10.0,,Offensive rebound by Team,57,38
2,4:10.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,57,38
2,3:56.0,,Turnover by Team (shot clock),57,38
2,3:47.0,Turnover by D. Schröder (bad pass),,57,38
2,3:28.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by T. Johnson),57,40
2,3:16.0,S. Adams misses 2-pt hook shot from 7 ft,,57,40
2,3:15.0,Offensive rebound by J. Grant,,57,40
2,3:15.0,J. Grant makes 2-pt jump shot from 4 ft,,59,40
2,3:15.0,Shooting foul by H. Whiteside (drawn by J. Grant),,59,40
2,3:15.0,,J. Johnson enters the game for H. Whiteside,59,40
2,3:15.0,J. Grant makes free throw 1 of 1,,60,40
2,3:00.0,,J. Winslow misses 2-pt layup from 2 ft,60,40
2,2:59.0,Defensive rebound by R. Westbrook,,60,40
2,2:55.0,P. George misses 3-pt jump shot from 25 ft,,60,40
2,2:51.0,,Defensive rebound by K. Olynyk,60,40
2,2:43.0,,J. Richardson misses 3-pt jump shot from 24 ft,60,40
2,2:40.0,Defensive rebound by S. Adams,,60,40
2,2:35.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,63,40
2,2:11.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by T. Johnson),63,43
2,2:03.0,Shooting foul by J. Winslow (drawn by P. George),,63,43
2,2:03.0,P. George makes free throw 1 of 2,,64,43
2,2:03.0,,D. Wade enters the game for J. Winslow,64,43
2,2:03.0,P. George makes free throw 2 of 2,,65,43
2,1:44.0,,J. Johnson makes 2-pt layup from 1 ft,65,45
2,1:44.0,,Shooting foul by P. George (drawn by J. Johnson),65,45
2,1:44.0,,J. Johnson makes free throw 1 of 1,65,46
2,1:31.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,67,46
2,1:21.0,,Shooting foul by S. Adams (drawn by J. Richardson),67,46
2,1:21.0,,J. Richardson makes free throw 1 of 2,67,47
2,1:21.0,,J. Richardson makes free throw 2 of 2,67,48
2,1:08.0,J. Grant misses 2-pt layup from 1 ft,,67,48
2,1:06.0,Offensive rebound by J. Grant,,67,48
2,1:04.0,J. Grant misses 2-pt layup from 3 ft,,67,48
2,1:02.0,Offensive rebound by S. Adams,,67,48
2,1:02.0,Turnover by S. Adams (bad pass),,67,48
2,0:47.0,,T. Johnson makes 2-pt layup from 4 ft,67,50
2,0:40.0,R. Westbrook misses 3-pt jump shot from 25 ft,,67,50
2,0:37.0,,Defensive rebound by J. Johnson,67,50
2,0:32.0,,J. Johnson misses 2-pt layup from 1 ft,67,50
2,0:27.0,Defensive rebound by R. Westbrook,,67,50
2,0:25.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,70,50
2,0:05.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Wade),70,53
2,0:00.0,P. George makes 2-pt layup from 2 ft (assist by R. Westbrook),,72,53
3,11:46.0,,H. Whiteside misses 2-pt layup from 1 ft,72,53
3,11:41.0,,Offensive rebound by H. Whiteside,72,53
3,11:39.0,,J. Winslow misses 3-pt jump shot from 25 ft,72,53
3,11:37.0,Defensive rebound by P. George,,72,53
3,11:26.0,P. George misses 3-pt jump shot from 24 ft,,72,53
3,11:23.0,Offensive rebound by S. Adams,,72,53
3,11:23.0,S. Adams misses 2-pt layup at rim,,72,53
3,11:23.0,Offensive rebound by Team,,72,53
3,11:23.0,,Loose ball foul by J. Winslow (drawn by P. George),72,53
3,11:18.0,Shooting foul by J. Richardson (drawn by R. Westbrook),,72,53
3,11:18.0,R. Westbrook makes free throw 1 of 2,,73,53
3,11:18.0,R. Westbrook misses free throw 2 of 2,,73,53
3,11:14.0,,Defensive rebound by H. Whiteside,73,53
3,10:51.0,,J. Richardson makes 2-pt layup from 1 ft,73,55
3,10:38.0,P. George misses 3-pt jump shot from 25 ft,,73,55
3,10:36.0,,Defensive rebound by J. Johnson,73,55
3,10:28.0,,Turnover by T. Johnson (bad pass; steal by S. Adams),73,55
3,10:15.0,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),,75,55
3,10:05.0,,J. Johnson misses 3-pt jump shot from 24 ft,75,55
3,10:03.0,Defensive rebound by P. George,,75,55
3,9:57.0,P. George misses 3-pt jump shot from 25 ft,,75,55
3,9:54.0,,Defensive rebound by J. Johnson,75,55
3,9:53.0,,Turnover by J. Johnson (lost ball; steal by R. Westbrook),75,55
3,9:48.0,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,78,55
3,9:47.0,,Miami full timeout,78,55
3,9:34.0,,J. Richardson misses 2-pt layup from 2 ft,78,55
3,9:31.0,,Offensive rebound by H. Whiteside,78,55
3,9:31.0,,H. Whiteside misses 2-pt layup from 1 ft,78,55
3,9:30.0,,Offensive rebound by H. Whiteside,78,55
3,9:30.0,,H. Whiteside misses 2-pt layup from 1 ft,78,55
3,9:30.0,,Offensive rebound by H. Whiteside,78,55
3,9:20.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by J. Johnson),78,58
3,9:02.0,S. Adams misses 2-pt jump shot from 12 ft,,78,58
3,8:59.0,,Defensive rebound by J. Richardson,78,58
3,8:42.0,,J. Richardson makes 3-pt jump shot from 29 ft (assist by J. Johnson),78,61
3,8:15.0,J. Grant misses 2-pt jump shot from 11 ft,,78,61
3,8:10.0,Offensive rebound by S. Adams,,78,61
3,8:10.0,S. Adams misses 2-pt layup at rim,,78,61
3,8:10.0,,Defensive rebound by H. Whiteside,78,61
3,8:06.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Winslow),78,63
3,8:06.0,Oklahoma City full timeout,,78,63
3,7:53.0,J. Grant makes 3-pt jump shot from 23 ft (assist by S. Adams),,81,63
3,7:33.0,,H. Whiteside makes 2-pt jump shot from 6 ft (assist by J. Richardson),81,65
3,7:19.0,R. Westbrook makes 2-pt jump shot from 17 ft,,83,65
3,7:04.0,,Offensive foul by H. Whiteside (drawn by P. George),83,65
3,7:04.0,,Turnover by H. Whiteside (offensive foul),83,65
3,6:55.0,P. George misses 2-pt layup from 2 ft,,83,65
3,6:52.0,,Defensive rebound by H. Whiteside,83,65
3,6:35.0,,H. Whiteside misses 2-pt jump shot from 14 ft,83,65
3,6:32.0,Defensive rebound by R. Westbrook,,83,65
3,6:23.0,R. Westbrook misses 2-pt jump shot from 9 ft,,83,65
3,6:20.0,,Defensive rebound by H. Whiteside,83,65
3,6:12.0,,J. Winslow misses 3-pt jump shot from 25 ft,83,65
3,6:09.0,Defensive rebound by R. Westbrook,,83,65
3,5:55.0,S. Adams misses 2-pt hook shot from 11 ft,,83,65
3,5:52.0,Offensive rebound by J. Grant,,83,65
3,5:52.0,J. Grant misses 2-pt layup at rim,,83,65
3,5:51.0,,Defensive rebound by H. Whiteside,83,65
3,5:44.0,,Personal foul by S. Adams (drawn by H. Whiteside),83,65
3,5:44.0,D. Schröder enters the game for P. George,,83,65
3,5:44.0,,D. Wade enters the game for J. Winslow,83,65
3,5:28.0,,J. Richardson misses 3-pt jump shot from 24 ft,83,65
3,5:25.0,Defensive rebound by J. Grant,,83,65
3,5:20.0,R. Westbrook makes 2-pt dunk from 1 ft,,85,65
3,5:04.0,,Personal foul by T. Ferguson (drawn by J. Richardson),85,65
3,4:56.0,,T. Johnson misses 3-pt jump shot from 26 ft,85,65
3,4:52.0,Defensive rebound by J. Grant,,85,65
3,4:48.0,R. Westbrook misses 2-pt layup from 3 ft,,85,65
3,4:46.0,,Defensive rebound by H. Whiteside,85,65
3,4:40.0,,T. Johnson makes 2-pt layup from 1 ft (assist by D. Wade),85,67
3,4:28.0,D. Schröder misses 3-pt jump shot from 25 ft,,85,67
3,4:26.0,Offensive rebound by S. Adams,,85,67
3,4:24.0,S. Adams makes 2-pt layup from 3 ft,,87,67
3,4:12.0,,J. Richardson makes 2-pt dunk from 1 ft,87,69
3,3:45.0,S. Adams misses 2-pt hook shot from 8 ft,,87,69
3,3:43.0,,Defensive rebound by H. Whiteside,87,69
3,3:25.0,,Turnover by J. Richardson (bad pass; steal by T. Ferguson),87,69
3,3:21.0,D. Schröder makes 2-pt layup from 2 ft,,89,69
3,3:05.0,,D. Wade misses 2-pt jump shot from 9 ft (block by R. Westbrook),89,69
3,3:05.0,,Offensive rebound by Team,89,69
3,3:05.0,P. George enters the game for S. Adams,,89,69
3,3:05.0,N. Noel enters the game for R. Westbrook,,89,69
3,3:05.0,,B. Adebayo enters the game for J. Johnson,89,69
3,3:05.0,,K. Olynyk enters the game for T. Johnson,89,69
3,3:05.0,,D. Waiters enters the game for H. Whiteside,89,69
3,2:58.0,,D. Waiters misses 3-pt jump shot from 23 ft,89,69
3,2:54.0,Defensive rebound by N. Noel,,89,69
3,2:48.0,Shooting foul by D. Wade (drawn by P. George),,89,69
3,2:48.0,P. George makes free throw 1 of 2,,90,69
3,2:48.0,A. Nader enters the game for T. Ferguson,,90,69
3,2:48.0,P. George misses free throw 2 of 2,,90,69
3,2:45.0,,Defensive rebound by K. Olynyk,90,69
3,2:24.0,,D. Waiters misses 3-pt jump shot from 23 ft,90,69
3,2:24.0,,Offensive rebound by Team,90,69
3,2:24.0,Loose ball foul by D. Schröder (drawn by B. Adebayo),,90,69
3,2:13.0,,B. Adebayo makes 2-pt hook shot from 5 ft (assist by D. Wade),90,71
3,1:49.0,Turnover by J. Grant (lost ball; steal by D. Wade),,90,71
3,1:41.0,,D. Wade misses 2-pt jump shot from 17 ft,90,71
3,1:38.0,,Offensive rebound by J. Richardson,90,71
3,1:38.0,,J. Richardson misses 2-pt layup from 1 ft,90,71
3,1:36.0,,Offensive rebound by J. Richardson,90,71
3,1:33.0,,J. Richardson misses 3-pt jump shot from 23 ft,90,71
3,1:31.0,Defensive rebound by N. Noel,,90,71
3,1:28.0,Personal foul by J. Richardson (drawn by N. Noel),,90,71
3,1:28.0,,Technical foul by D. Wade,90,71
3,1:28.0,P. George makes technical free throw,,91,71
3,1:28.0,P. Patterson enters the game for J. Grant,,91,71
3,1:17.0,P. Patterson misses 3-pt jump shot from 23 ft,,91,71
3,1:14.0,,Defensive rebound by J. Richardson,91,71
3,1:09.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Adebayo),91,74
3,0:49.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by P. George),,94,74
3,0:39.0,,Personal foul by A. Nader (drawn by B. Adebayo),94,74
3,0:25.0,,Turnover by D. Wade (bad pass; steal by P. George),94,74
3,0:00.0,N. Noel misses 2-pt jump shot from 16 ft,,94,74
3,0:00.0,,Defensive rebound by B. Adebayo,94,74
4,11:46.0,N. Noel misses 2-pt layup from 4 ft (block by K. Olynyk),,94,74
4,11:42.0,Offensive rebound by N. Noel,,94,74
4,11:41.0,N. Noel makes 2-pt layup from 2 ft,,96,74
4,11:22.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),96,77
4,11:03.0,A. Nader misses 3-pt jump shot from 25 ft,,96,77
4,10:59.0,,Defensive rebound by B. Adebayo,96,77
4,10:37.0,,D. Waiters misses 2-pt layup from 1 ft,96,77
4,10:34.0,Defensive rebound by A. Nader,,96,77
4,10:21.0,N. Noel misses 2-pt layup from 1 ft,,96,77
4,10:19.0,,Defensive rebound by J. Winslow,96,77
4,10:13.0,,J. Winslow misses 2-pt jump shot from 5 ft,96,77
4,10:09.0,Defensive rebound by A. Nader,,96,77
4,10:08.0,Shooting foul by D. Wade (drawn by A. Nader),,96,77
4,10:08.0,A. Nader makes free throw 1 of 2,,97,77
4,10:08.0,A. Nader makes free throw 2 of 2,,98,77
4,9:48.0,,Shooting foul by N. Noel (drawn by B. Adebayo),98,77
4,9:48.0,,B. Adebayo makes free throw 1 of 2,98,78
4,9:48.0,,B. Adebayo makes free throw 2 of 2,98,79
4,9:36.0,P. George makes 3-pt jump shot from 25 ft,,101,79
4,9:25.0,,D. Wade misses 3-pt jump shot from 23 ft,101,79
4,9:21.0,,Offensive rebound by J. Winslow,101,79
4,9:11.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),101,81
4,9:11.0,,Shooting foul by N. Noel (drawn by K. Olynyk),101,81
4,9:11.0,,K. Olynyk makes free throw 1 of 1,101,82
4,8:59.0,Turnover by P. George (bad pass; steal by D. Wade),,101,82
4,8:53.0,,K. Olynyk misses 3-pt jump shot from 23 ft,101,82
4,8:49.0,Defensive rebound by A. Nader,,101,82
4,8:47.0,D. Schröder makes 2-pt layup from 2 ft,,103,82
4,8:47.0,,Violation by Team (def goaltending),103,82
4,8:36.0,,J. Winslow makes 2-pt jump shot from 2 ft,103,84
4,8:24.0,P. George makes 3-pt jump shot from 25 ft,,106,84
4,8:10.0,,D. Wade misses 2-pt layup from 1 ft,106,84
4,8:06.0,Defensive rebound by P. George,,106,84
4,8:05.0,Turnover by A. Nader (out of bounds lost ball),,106,84
4,8:05.0,,Miami full timeout,106,84
4,8:05.0,Á. Abrines enters the game for P. George,,106,84
4,8:05.0,R. Westbrook enters the game for D. Schröder,,106,84
4,8:05.0,,J. Richardson enters the game for D. Wade,106,84
4,7:58.0,,Personal foul by P. Patterson (drawn by J. Richardson),106,84
4,7:40.0,,J. Winslow misses 2-pt jump shot from 19 ft,106,84
4,7:37.0,Defensive rebound by P. Patterson,,106,84
4,7:18.0,A. Nader misses 3-pt jump shot from 23 ft,,106,84
4,7:16.0,,Defensive rebound by D. Waiters,106,84
4,6:59.0,,D. Waiters makes 2-pt jump shot from 2 ft (assist by J. Winslow),106,86
4,6:50.0,Turnover by R. Westbrook (bad pass),,106,86
4,6:46.0,,J. Richardson misses 3-pt jump shot from 23 ft,106,86
4,6:44.0,Defensive rebound by P. Patterson,,106,86
4,6:41.0,Turnover by R. Westbrook (out of bounds lost ball),,106,86
4,6:17.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by D. Waiters),106,89
4,6:17.0,Oklahoma City full timeout,,106,89
4,6:17.0,S. Adams enters the game for A. Nader,,106,89
4,6:17.0,P. George enters the game for N. Noel,,106,89
4,6:17.0,J. Grant enters the game for P. Patterson,,106,89
4,6:02.0,P. George misses 3-pt jump shot from 24 ft,,106,89
4,6:00.0,,Defensive rebound by D. Waiters,106,89
4,5:52.0,,D. Waiters misses 2-pt layup from 1 ft,106,89
4,5:50.0,Defensive rebound by P. George,,106,89
4,5:45.0,P. George makes 3-pt jump shot from 25 ft,,109,89
4,5:17.0,,J. Richardson misses 2-pt jump shot from 20 ft,109,89
4,5:14.0,Defensive rebound by R. Westbrook,,109,89
4,5:13.0,R. Westbrook makes 2-pt jump shot from 12 ft,,111,89
4,5:13.0,Shooting foul by J. Winslow (drawn by R. Westbrook),,111,89
4,5:13.0,D. Schröder enters the game for Á. Abrines,,111,89
4,5:13.0,R. Westbrook misses free throw 1 of 1,,111,89
4,5:13.0,,Defensive rebound by K. Olynyk,111,89
4,4:58.0,,J. Richardson makes 2-pt layup from 1 ft (assist by K. Olynyk),111,91
4,4:49.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,114,91
4,4:31.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Olynyk),114,93
4,4:18.0,Turnover by R. Westbrook (bad pass),,114,93
4,4:18.0,,Miami full timeout,114,93
4,4:18.0,,W. Ellington enters the game for J. Richardson,114,93
4,4:18.0,,R. McGruder enters the game for J. Winslow,114,93
