QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
2,10:33.0,,Turnover by J. Parker (bad pass; steal by D. Sabonis),33,25
2,10:29.0,C. Joseph makes 2-pt layup from 2 ft,,35,25
2,10:17.0,,T. Bryant makes 3-pt jump shot from 26 ft (assist by T. Brown),35,28
2,10:09.0,Personal foul by T. Brown (drawn by T. Evans),,35,28
2,9:57.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,38,28
2,9:39.0,,Shooting foul by D. McDermott (drawn by W. Johnson),38,28
2,9:39.0,,W. Johnson misses free throw 1 of 2,38,28
2,9:39.0,,Offensive rebound by Team,38,28
2,9:39.0,,W. Johnson makes free throw 2 of 2,38,29
2,9:21.0,D. McDermott misses 2-pt jump shot from 18 ft,,38,29
2,9:18.0,,Defensive rebound by C. Randle,38,29
2,9:09.0,,J. Parker makes 3-pt jump shot from 27 ft (assist by W. Johnson),38,32
2,8:59.0,Offensive foul by D. Sabonis (drawn by W. Johnson),,38,32
2,8:59.0,Turnover by D. Sabonis (offensive foul),,38,32
2,8:59.0,,T. Satoranský enters the game for C. Randle,38,32
2,8:44.0,,J. Parker makes 2-pt layup from 2 ft (assist by T. Brown),38,34
2,8:35.0,T. Evans misses 3-pt jump shot from 26 ft,,38,34
2,8:35.0,,Defensive rebound by J. Parker,38,34
2,8:20.0,,T. Brown misses 3-pt jump shot from 26 ft,38,34
2,8:16.0,Defensive rebound by D. Sabonis,,38,34
2,8:09.0,T. Leaf makes 2-pt hook shot from 9 ft (assist by C. Joseph),,40,34
2,7:56.0,,Turnover by J. Parker (lost ball; steal by D. Sabonis),40,34
2,7:51.0,D. McDermott misses 2-pt layup from 2 ft (block by T. Bryant),,40,34
2,7:51.0,Offensive rebound by Team,,40,34
2,7:44.0,C. Joseph makes 2-pt layup from 3 ft,,42,34
2,7:44.0,,Violation by Team (def goaltending),42,34
2,7:33.0,,Turnover by T. Bryant (bad pass; steal by T. Evans),42,34
2,7:29.0,T. Evans makes 2-pt layup from 2 ft,,44,34
2,7:29.0,,Washington full timeout,44,34
2,7:29.0,,T. Ariza enters the game for T. Brown,44,34
2,7:07.0,,Turnover by T. Ariza (bad pass; steal by T. Evans),44,34
2,7:02.0,Turnover by T. Evans (lost ball; steal by T. Ariza),,44,34
2,6:59.0,,J. Parker makes 2-pt layup from 3 ft (assist by T. Ariza),44,36
2,6:59.0,,Shooting foul by D. McDermott (drawn by J. Parker),44,36
2,6:59.0,T. Young enters the game for T. Leaf,,44,36
2,6:59.0,,J. Parker misses free throw 1 of 1,44,36
2,6:55.0,Defensive rebound by C. Joseph,,44,36
2,6:33.0,T. Young makes 2-pt hook shot from 7 ft,,46,36
2,6:16.0,,T. Ariza misses 2-pt jump shot from 4 ft,46,36
2,6:14.0,,Offensive rebound by T. Ariza,46,36
2,6:07.0,,T. Bryant makes 2-pt layup from 1 ft (assist by T. Satoranský),46,38
2,5:48.0,Turnover by C. Joseph (bad pass; steal by T. Satoranský),,46,38
2,5:42.0,,J. Parker misses 2-pt dunk from 1 ft,46,38
2,5:39.0,Defensive rebound by D. Sabonis,,46,38
2,5:34.0,T. Evans misses 2-pt layup from 2 ft,,46,38
2,5:32.0,Offensive rebound by D. Sabonis,,46,38
2,5:23.0,C. Joseph makes 3-pt jump shot from 28 ft,,49,38
2,5:07.0,,Turnover by J. Parker (lost ball; steal by D. McDermott),49,38
2,5:02.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by C. Joseph),,52,38
2,5:01.0,,Washington full timeout,52,38
2,5:01.0,B. Bogdanović enters the game for T. Evans,,52,38
2,5:01.0,W. Matthews enters the game for D. McDermott,,52,38
2,5:01.0,,B. Beal enters the game for T. Bryant,52,38
2,5:01.0,,J. Green enters the game for W. Johnson,52,38
2,5:01.0,,B. Portis enters the game for J. Parker,52,38
2,4:53.0,,T. Satoranský makes 2-pt layup from 1 ft,52,40
2,4:39.0,C. Joseph misses 2-pt jump shot from 16 ft,,52,40
2,4:37.0,Offensive rebound by C. Joseph,,52,40
2,4:35.0,C. Joseph misses 3-pt jump shot from 26 ft,,52,40
2,4:32.0,Offensive rebound by C. Joseph,,52,40
2,4:31.0,C. Joseph makes 2-pt layup from 2 ft,,54,40
2,4:07.0,,J. Green misses 3-pt jump shot from 24 ft,54,40
2,4:03.0,Defensive rebound by B. Bogdanović,,54,40
2,3:47.0,T. Young makes 2-pt layup from 4 ft (assist by B. Bogdanović),,56,40
2,3:47.0,Shooting foul by J. Green (drawn by T. Young),,56,40
2,3:47.0,D. Collison enters the game for C. Joseph,,56,40
2,3:47.0,T. Young makes free throw 1 of 1,,57,40
2,3:33.0,,J. Green makes 2-pt layup from 2 ft (assist by B. Beal),57,42
2,3:33.0,,Shooting foul by D. Sabonis (drawn by J. Green),57,42
2,3:33.0,K. O'Quinn enters the game for D. Sabonis,,57,42
2,3:33.0,,J. Green makes free throw 1 of 1,57,43
2,3:20.0,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by W. Matthews),,59,43
2,3:09.0,,B. Beal makes 2-pt jump shot from 14 ft,59,45
2,2:50.0,Turnover by K. O'Quinn (bad pass; steal by B. Beal),,59,45
2,2:44.0,,Turnover by T. Satoranský (lost ball; steal by T. Young),59,45
2,2:33.0,W. Matthews makes 2-pt layup from 2 ft (assist by K. O'Quinn),,61,45
2,2:12.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Portis),61,47
2,1:59.0,W. Matthews misses 3-pt jump shot from 27 ft,,61,47
2,1:56.0,,Defensive rebound by T. Ariza,61,47
2,1:45.0,,B. Beal makes 2-pt jump shot from 18 ft,61,49
2,1:27.0,T. Young makes 2-pt jump shot from 3 ft (assist by D. Collison),,63,49
2,1:10.0,,J. Green misses 2-pt jump shot from 5 ft,63,49
2,1:08.0,Defensive rebound by K. O'Quinn,,63,49
2,0:49.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,63,49
2,0:47.0,,Defensive rebound by J. Green,63,49
2,0:34.0,,Shooting foul by T. Young (drawn by J. Green),63,49
2,0:34.0,,J. Green misses free throw 1 of 2,63,49
2,0:34.0,,Offensive rebound by Team,63,49
2,0:34.0,,J. Green makes free throw 2 of 2,63,50
2,0:12.0,B. Bogdanović makes 2-pt layup from 3 ft,,65,50
2,0:02.0,,B. Beal misses 2-pt jump shot from 11 ft,65,50
2,0:00.0,Defensive rebound by T. Young,,65,50
3,11:42.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Ariza),65,53
3,11:20.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,65,53
3,11:19.0,,Defensive rebound by Team,65,53
3,11:19.0,Loose ball foul by K. O'Quinn (drawn by B. Portis),,65,53
3,11:08.0,,J. Green misses 3-pt jump shot from 25 ft,65,53
3,11:03.0,Defensive rebound by D. Collison,,65,53
3,10:56.0,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),,67,53
3,10:45.0,Violation by Team (kicked ball),,67,53
3,10:42.0,,Turnover by T. Satoranský (bad pass; steal by B. Bogdanović),67,53
3,10:38.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,67,53
3,10:35.0,,Defensive rebound by Team,67,53
3,10:25.0,,Personal foul by T. Young (drawn by B. Beal),67,53
3,10:13.0,,T. Satoranský misses 2-pt jump shot from 18 ft,67,53
3,10:10.0,Defensive rebound by K. O'Quinn,,67,53
3,9:56.0,T. Young makes 3-pt jump shot from 23 ft (assist by K. O'Quinn),,70,53
3,9:42.0,,B. Portis makes 2-pt jump shot from 18 ft,70,55
3,9:21.0,Turnover by B. Bogdanović (bad pass),,70,55
3,9:09.0,,Turnover by B. Beal (lost ball; steal by W. Matthews),70,55
3,9:07.0,Shooting foul by B. Portis (drawn by B. Bogdanović),,70,55
3,9:07.0,B. Bogdanović misses free throw 1 of 2,,70,55
3,9:07.0,Offensive rebound by Team,,70,55
3,9:07.0,B. Bogdanović misses free throw 2 of 2,,70,55
3,9:05.0,,Defensive rebound by T. Ariza,70,55
3,8:42.0,,Turnover by J. Green (step out of bounds),70,55
3,8:29.0,Turnover by W. Matthews (lost ball; steal by B. Beal),,70,55
3,8:26.0,,Personal foul by W. Matthews (drawn by B. Beal),70,55
3,8:19.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by T. Ariza),70,58
3,8:07.0,Turnover by D. Collison (bad pass; steal by T. Satoranský),,70,58
3,8:05.0,,T. Satoranský makes 2-pt dunk from 2 ft (assist by B. Beal),70,60
3,8:04.0,Indiana full timeout,,70,60
3,7:44.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by B. Bogdanović),,72,60
3,7:25.0,,Offensive foul by B. Portis (drawn by W. Matthews),72,60
3,7:25.0,,Turnover by B. Portis (offensive foul),72,60
3,7:25.0,,T. Bryant enters the game for B. Portis,72,60
3,7:11.0,T. Young misses 2-pt jump shot from 18 ft,,72,60
3,7:06.0,Offensive rebound by K. O'Quinn,,72,60
3,7:06.0,K. O'Quinn misses 2-pt layup from 2 ft,,72,60
3,7:03.0,Offensive rebound by D. Collison,,72,60
3,7:03.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,72,60
3,7:00.0,,Defensive rebound by Team,72,60
3,6:48.0,,Personal foul by T. Young (drawn by J. Green),72,60
3,6:32.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Ariza),72,62
3,6:12.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. O'Quinn),,75,62
3,5:52.0,,Turnover by J. Green (traveling),75,62
3,5:33.0,T. Young makes 2-pt hook shot from 5 ft,,77,62
3,5:14.0,,B. Beal misses 2-pt layup from 3 ft,77,62
3,5:13.0,,Offensive rebound by T. Bryant,77,62
3,5:13.0,,T. Bryant makes 2-pt layup from 2 ft,77,64
3,5:13.0,Violation by Team (def goaltending),,77,64
3,5:01.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by W. Matthews),,79,64
3,4:41.0,,T. Satoranský makes 2-pt jump shot from 8 ft,79,66
3,4:25.0,Personal foul by T. Bryant (drawn by W. Matthews),,79,66
3,4:25.0,,C. Randle enters the game for T. Satoranský,79,66
3,4:12.0,W. Matthews misses 3-pt jump shot from 29 ft,,79,66
3,4:07.0,Offensive rebound by K. O'Quinn,,79,66
3,4:06.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by K. O'Quinn),,82,66
3,4:06.0,,Washington full timeout,82,66
3,4:06.0,,J. Parker enters the game for J. Green,82,66
3,3:55.0,,B. Beal makes 2-pt jump shot from 22 ft,82,68
3,3:36.0,Turnover by T. Young (bad pass; steal by T. Ariza),,82,68
3,3:31.0,,T. Ariza makes 2-pt layup from 2 ft (assist by B. Beal),82,70
3,3:11.0,T. Young misses 2-pt hook shot from 10 ft (block by T. Bryant),,82,70
3,3:07.0,,Defensive rebound by C. Randle,82,70
3,3:05.0,,T. Ariza misses 3-pt jump shot from 24 ft,82,70
3,3:01.0,,Offensive rebound by T. Bryant,82,70
3,3:00.0,,C. Randle makes 3-pt jump shot from 25 ft (assist by T. Bryant),82,73
3,2:58.0,Indiana full timeout,,82,73
3,2:58.0,T. Leaf enters the game for K. O'Quinn,,82,73
3,2:58.0,D. Sabonis enters the game for T. Young,,82,73
3,2:42.0,B. Bogdanović misses 2-pt layup from 4 ft,,82,73
3,2:41.0,Offensive rebound by D. Sabonis,,82,73
3,2:40.0,D. Sabonis misses 2-pt layup from 2 ft,,82,73
3,2:38.0,,Defensive rebound by C. Randle,82,73
3,2:31.0,,T. Ariza misses 3-pt jump shot from 27 ft,82,73
3,2:31.0,Defensive rebound by D. Sabonis,,82,73
3,2:26.0,D. Collison misses 3-pt jump shot from 29 ft,,82,73
3,2:23.0,,Defensive rebound by T. Bryant,82,73
3,2:12.0,,T. Ariza misses 2-pt layup from 6 ft,82,73
3,2:12.0,Defensive rebound by D. Collison,,82,73
3,2:09.0,B. Bogdanović makes 2-pt dunk from 2 ft (assist by D. Collison),,84,73
3,1:58.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by C. Randle),84,76
3,1:58.0,T. Evans enters the game for B. Bogdanović,,84,76
3,1:58.0,C. Joseph enters the game for D. Collison,,84,76
3,1:58.0,D. McDermott enters the game for W. Matthews,,84,76
3,1:32.0,C. Joseph makes 2-pt layup from 3 ft,,86,76
3,1:21.0,,Shooting foul by T. Leaf (drawn by T. Bryant),86,76
3,1:21.0,,T. Bryant makes free throw 1 of 2,86,77
3,1:21.0,,W. Johnson enters the game for T. Ariza,86,77
3,1:21.0,,T. Bryant misses free throw 2 of 2,86,77
3,1:17.0,Defensive rebound by D. McDermott,,86,77
3,1:00.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,89,77
3,0:46.0,,B. Beal misses 2-pt jump shot from 16 ft,89,77
3,0:42.0,Defensive rebound by C. Joseph,,89,77
3,0:34.0,Offensive foul by T. Evans (drawn by B. Beal),,89,77
3,0:34.0,Turnover by T. Evans (offensive foul),,89,77
3,0:27.0,,C. Randle makes 3-pt jump shot from 26 ft (assist by T. Bryant),89,80
3,0:05.0,T. Evans misses 3-pt jump shot from 25 ft,,89,80
3,0:02.0,Offensive rebound by D. Sabonis,,89,80
3,0:00.0,D. McDermott misses 3-pt jump shot from 26 ft,,89,80
3,0:00.0,Offensive rebound by Team,,89,80
4,11:40.0,D. Sabonis makes 2-pt layup from 2 ft (assist by D. McDermott),,91,80
4,11:21.0,,B. Beal misses 2-pt jump shot from 5 ft,91,80
4,11:20.0,,Offensive rebound by T. Bryant,91,80
4,11:19.0,,T. Bryant makes 2-pt layup from 2 ft,91,82
4,10:59.0,Personal foul by C. Randle (drawn by C. Joseph),,91,82
4,10:53.0,Turnover by C. Joseph (bad pass; steal by T. Bryant),,91,82
4,10:51.0,,Personal foul by D. McDermott (drawn by J. Parker),91,82
4,10:41.0,,W. Johnson misses 3-pt jump shot from 23 ft,91,82
4,10:37.0,Defensive rebound by C. Joseph,,91,82
4,10:25.0,Shooting foul by B. Beal (drawn by D. Sabonis),,91,82
4,10:25.0,D. Sabonis makes free throw 1 of 2,,92,82
4,10:25.0,D. Sabonis misses free throw 2 of 2,,92,82
4,10:21.0,,Defensive rebound by T. Bryant,92,82
4,10:05.0,,Shooting foul by C. Joseph (drawn by B. Beal),92,82
4,10:05.0,,B. Beal makes free throw 1 of 2,92,83
4,10:05.0,,B. Beal makes free throw 2 of 2,92,84
4,9:48.0,C. Joseph misses 2-pt layup from 4 ft (block by T. Bryant),,92,84
4,9:47.0,Offensive rebound by Team,,92,84
4,9:41.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by T. Leaf),,95,84
4,9:15.0,,W. Johnson misses 3-pt jump shot from 23 ft,95,84
4,9:13.0,Defensive rebound by D. Sabonis,,95,84
4,9:06.0,T. Evans misses 2-pt layup from 4 ft,,95,84
4,9:02.0,Offensive rebound by D. Sabonis,,95,84
4,8:51.0,C. Joseph misses 2-pt jump shot from 21 ft,,95,84
4,8:51.0,Offensive rebound by T. Leaf,,95,84
4,8:48.0,T. Leaf makes 2-pt layup at rim,,97,84
4,8:48.0,Violation by Team (delay of game),,97,84
4,8:34.0,,J. Parker misses 3-pt jump shot from 26 ft,97,84
4,8:31.0,Defensive rebound by T. Evans,,97,84
4,8:28.0,Turnover by C. Joseph (traveling),,97,84
4,8:28.0,,T. Satoranský enters the game for C. Randle,97,84
4,8:10.0,,T. Bryant makes 3-pt jump shot from 28 ft (assist by B. Beal),97,87
4,7:49.0,T. Evans misses 3-pt jump shot from 26 ft,,97,87
4,7:47.0,,Defensive rebound by T. Bryant,97,87
4,7:42.0,,B. Beal misses 3-pt jump shot from 26 ft,97,87
4,7:39.0,Defensive rebound by Team,,97,87
4,7:30.0,Turnover by D. Sabonis (out of bounds lost ball),,97,87
4,7:30.0,T. Young enters the game for T. Leaf,,97,87
4,7:30.0,,T. Ariza enters the game for W. Johnson,97,87
4,7:12.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Bryant),97,89
4,7:12.0,,Shooting foul by T. Young (drawn by B. Beal),97,89
4,7:12.0,B. Bogdanović enters the game for D. McDermott,,97,89
4,7:12.0,,B. Beal makes free throw 1 of 1,97,90
4,6:57.0,,Violation by Team (kicked ball),97,90
4,6:57.0,,Washington full timeout,97,90
4,6:57.0,W. Matthews enters the game for T. Evans,,97,90
4,6:57.0,K. O'Quinn enters the game for D. Sabonis,,97,90
4,6:47.0,B. Bogdanović makes 2-pt jump shot from 19 ft,,99,90
4,6:30.0,,T. Satoranský makes 3-pt jump shot from 26 ft,99,93
4,6:20.0,Personal foul by T. Ariza (drawn by B. Bogdanović),,99,93
4,6:10.0,Turnover by B. Bogdanović (bad pass; steal by J. Parker),,99,93
4,5:55.0,,B. Beal makes 3-pt jump shot from 26 ft,99,96
4,5:55.0,,Shooting foul by W. Matthews (drawn by B. Beal),99,96
4,5:55.0,,B. Beal makes free throw 1 of 1,99,97
4,5:31.0,Turnover by T. Young (lost ball; steal by J. Parker),,99,97
4,5:23.0,,Turnover by J. Parker (step out of bounds),99,97
4,5:23.0,D. Collison enters the game for C. Joseph,,99,97
4,5:23.0,D. Sabonis enters the game for K. O'Quinn,,99,97
4,5:09.0,D. Collison makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,102,97
4,4:50.0,,Personal foul by D. Collison (drawn by J. Parker),102,97
4,4:50.0,,J. Parker makes free throw 1 of 2,102,98
4,4:50.0,,J. Parker makes free throw 2 of 2,102,99
4,4:34.0,B. Bogdanović misses 2-pt layup from 4 ft,,102,99
4,4:32.0,,Defensive rebound by J. Parker,102,99
4,4:31.0,,Turnover by T. Bryant (offensive foul),102,99
4,4:31.0,,Offensive foul by T. Bryant (drawn by W. Matthews),102,99
4,4:10.0,D. Collison makes 2-pt jump shot from 10 ft,,104,99
4,3:58.0,,Personal foul by T. Young (drawn by T. Bryant),104,99
4,3:58.0,,T. Bryant misses free throw 1 of 2,104,99
4,3:58.0,,Offensive rebound by Team,104,99
4,3:58.0,,T. Bryant makes free throw 2 of 2,104,100
4,3:41.0,Turnover by D. Collison (bad pass; steal by T. Satoranský),,104,100
4,3:38.0,,Turnover by J. Parker (bad pass; steal by D. Collison),104,100
4,3:17.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,107,100
4,3:00.0,,J. Parker misses 2-pt jump shot from 14 ft,107,100
4,2:58.0,Defensive rebound by D. Collison,,107,100
4,2:51.0,Personal foul by T. Satoranský (drawn by T. Young),,107,100
4,2:50.0,Personal foul by T. Satoranský (drawn by D. Collison),,107,100
4,2:50.0,D. Collison makes free throw 1 of 2,,108,100
4,2:50.0,D. Collison makes free throw 2 of 2,,109,100
4,2:33.0,,Shooting foul by D. Sabonis (drawn by B. Beal),109,100
4,2:33.0,,B. Beal makes free throw 1 of 2,109,101
4,2:33.0,,B. Beal makes free throw 2 of 2,109,102
4,2:13.0,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Young),,111,102
4,2:13.0,Shooting foul by J. Parker (drawn by D. Sabonis),,111,102
4,2:13.0,D. Sabonis misses free throw 1 of 1,,111,102
4,2:09.0,,Defensive rebound by T. Bryant,111,102
4,2:02.0,,Turnover by T. Satoranský (bad pass; steal by D. Sabonis),111,102
4,1:58.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,111,102
4,1:55.0,,Defensive rebound by J. Parker,111,102
4,1:39.0,,J. Parker misses 3-pt jump shot from 26 ft,111,102
4,1:35.0,,Offensive rebound by B. Beal,111,102
4,1:33.0,,B. Beal misses 3-pt jump shot from 26 ft,111,102
4,1:32.0,Defensive rebound by D. Sabonis,,111,102
4,1:32.0,Personal foul by J. Parker (drawn by D. Sabonis),,111,102
4,1:32.0,D. Sabonis makes free throw 1 of 2,,112,102
4,1:32.0,D. Sabonis makes free throw 2 of 2,,113,102
4,1:32.0,,Washington full timeout,113,102
4,1:27.0,,Shooting foul by D. Sabonis (drawn by B. Beal),113,102
4,1:27.0,,B. Beal makes free throw 1 of 2,113,103
4,1:27.0,,B. Beal makes free throw 2 of 2,113,104
4,1:18.0,Turnover by D. Sabonis (lost ball; steal by T. Satoranský),,113,104
