QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
2,8:39.0,W. Iwundu enters the game for E. Fournier,,27,34
2,8:39.0,,B. Caboclo enters the game for C. Miles,27,34
2,8:39.0,,J. Holiday enters the game for C. Parsons,27,34
2,8:39.0,,M. Conley makes free throw 1 of 1,27,35
2,8:26.0,A. Gordon makes 2-pt dunk from 1 ft,,29,35
2,8:06.0,,J. Noah makes 2-pt dunk from 1 ft (assist by M. Conley),29,37
2,7:45.0,T. Ross makes 2-pt jump shot from 21 ft (assist by K. Birch),,31,37
2,7:31.0,,M. Conley misses 3-pt jump shot from 25 ft,31,37
2,7:27.0,Defensive rebound by A. Gordon,,31,37
2,7:17.0,A. Gordon misses 2-pt hook shot from 8 ft,,31,37
2,7:15.0,,Defensive rebound by J. Noah,31,37
2,7:10.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by B. Caboclo),31,40
2,6:57.0,T. Ross misses 3-pt jump shot from 25 ft,,31,40
2,6:54.0,,Defensive rebound by B. Caboclo,31,40
2,6:48.0,,A. Bradley misses 3-pt jump shot from 25 ft,31,40
2,6:45.0,Defensive rebound by A. Gordon,,31,40
2,6:39.0,A. Gordon makes 2-pt layup from 4 ft,,33,40
2,6:39.0,Shooting foul by J. Holiday (drawn by A. Gordon),,33,40
2,6:39.0,D. Augustin enters the game for K. Birch,,33,40
2,6:39.0,N. Vučević enters the game for J. Grant,,33,40
2,6:39.0,,J. Valančiūnas enters the game for J. Holiday,33,40
2,6:39.0,,D. Wright enters the game for J. Noah,33,40
2,6:39.0,A. Gordon makes free throw 1 of 1,,34,40
2,6:25.0,,M. Conley misses 2-pt jump shot from 17 ft,34,40
2,6:21.0,Defensive rebound by W. Iwundu,,34,40
2,6:17.0,Shooting foul by A. Bradley (drawn by W. Iwundu),,34,40
2,6:17.0,W. Iwundu makes free throw 1 of 2,,35,40
2,6:17.0,J. Isaac enters the game for A. Gordon,,35,40
2,6:17.0,W. Iwundu makes free throw 2 of 2,,36,40
2,5:54.0,,D. Wright misses 3-pt jump shot from 25 ft,36,40
2,5:50.0,Defensive rebound by T. Ross,,36,40
2,5:43.0,Shooting foul by J. Valančiūnas (drawn by N. Vučević),,36,40
2,5:43.0,N. Vučević misses free throw 1 of 2,,36,40
2,5:43.0,Offensive rebound by Team,,36,40
2,5:43.0,N. Vučević makes free throw 2 of 2,,37,40
2,5:31.0,,Shooting foul by T. Ross (drawn by A. Bradley),37,40
2,5:31.0,,A. Bradley makes free throw 1 of 2,37,41
2,5:31.0,,A. Bradley makes free throw 2 of 2,37,42
2,5:14.0,T. Ross misses 3-pt jump shot from 25 ft,,37,42
2,5:12.0,,Defensive rebound by J. Valančiūnas,37,42
2,4:53.0,,Turnover by A. Bradley (bad pass; steal by D. Augustin),37,42
2,4:49.0,D. Augustin misses 2-pt jump shot from 6 ft,,37,42
2,4:43.0,Offensive rebound by J. Isaac,,37,42
2,4:43.0,J. Isaac misses 2-pt layup from 1 ft (block by J. Valančiūnas),,37,42
2,4:43.0,Offensive rebound by J. Isaac,,37,42
2,4:43.0,Shooting foul by J. Valančiūnas (drawn by J. Isaac),,37,42
2,4:43.0,J. Isaac makes free throw 1 of 2,,38,42
2,4:43.0,A. Gordon enters the game for T. Ross,,38,42
2,4:43.0,J. Isaac misses free throw 2 of 2,,38,42
2,4:41.0,,Defensive rebound by J. Valančiūnas,38,42
2,4:19.0,,M. Conley misses 2-pt jump shot from 18 ft,38,42
2,4:14.0,Defensive rebound by J. Isaac,,38,42
2,4:04.0,D. Augustin misses 3-pt jump shot from 26 ft,,38,42
2,4:01.0,,Defensive rebound by A. Bradley,38,42
2,3:54.0,,A. Bradley makes 2-pt jump shot from 9 ft,38,44
2,3:37.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,41,44
2,3:24.0,,J. Valančiūnas misses 2-pt layup from 2 ft (block by N. Vučević),41,44
2,3:24.0,,Offensive rebound by Team,41,44
2,3:10.0,,A. Bradley misses 3-pt jump shot from 23 ft,41,44
2,3:08.0,Defensive rebound by W. Iwundu,,41,44
2,2:58.0,J. Isaac makes 2-pt jump shot from 23 ft (assist by W. Iwundu),,43,44
2,2:42.0,,B. Caboclo misses 3-pt jump shot from 24 ft,43,44
2,2:42.0,,Offensive rebound by D. Wright,43,44
2,2:33.0,,D. Wright makes 3-pt jump shot from 24 ft (assist by A. Bradley),43,47
2,2:18.0,Turnover by D. Augustin (bad pass; steal by D. Wright),,43,47
2,2:18.0,,Personal foul by W. Iwundu (drawn by D. Wright),43,47
2,2:18.0,Orlando full timeout,,43,47
2,2:00.0,,D. Wright misses 2-pt jump shot from 10 ft,43,47
2,1:54.0,,D. Wright makes 2-pt layup at rim,43,49
2,1:54.0,,Offensive rebound by D. Wright,43,49
2,1:36.0,A. Gordon misses 2-pt dunk from 2 ft (block by B. Caboclo),,43,49
2,1:36.0,A. Gordon makes 2-pt dunk from 1 ft,,45,49
2,1:36.0,Offensive rebound by A. Gordon,,45,49
2,1:36.0,Shooting foul by J. Valančiūnas (drawn by A. Gordon),,45,49
2,1:36.0,,J. Noah enters the game for J. Valančiūnas,45,49
2,1:36.0,A. Gordon makes free throw 1 of 1,,46,49
2,1:18.0,,J. Noah misses 2-pt layup from 3 ft,46,49
2,1:13.0,Defensive rebound by D. Augustin,,46,49
2,1:11.0,W. Iwundu misses 2-pt layup from 2 ft,,46,49
2,1:08.0,,Defensive rebound by J. Noah,46,49
2,1:07.0,,Turnover by J. Noah (lost ball; steal by W. Iwundu),46,49
2,1:04.0,D. Augustin misses 3-pt jump shot from 26 ft,,46,49
2,0:59.0,,Defensive rebound by B. Caboclo,46,49
2,0:52.0,,B. Caboclo misses 3-pt jump shot from 25 ft,46,49
2,0:49.0,Defensive rebound by N. Vučević,,46,49
2,0:28.0,Offensive foul by A. Gordon (drawn by A. Bradley),,46,49
2,0:28.0,Turnover by A. Gordon (offensive foul),,46,49
2,0:28.0,T. Ross enters the game for A. Gordon,,46,49
2,0:28.0,,C. Miles enters the game for B. Caboclo,46,49
2,0:08.0,,J. Noah misses 2-pt layup from 2 ft,46,49
2,0:05.0,Defensive rebound by W. Iwundu,,46,49
2,0:02.0,N. Vučević makes 2-pt layup from 2 ft (assist by W. Iwundu),,48,49
2,0:00.0,,A. Bradley misses 3-pt jump shot from 47 ft,48,49
2,0:00.0,,Offensive rebound by Team,48,49
3,11:38.0,,Shooting foul by N. Vučević (drawn by J. Valančiūnas),48,49
3,11:38.0,,J. Valančiūnas makes free throw 1 of 2,48,50
3,11:38.0,A. Gordon enters the game for W. Iwundu,,48,50
3,11:38.0,,J. Valančiūnas makes free throw 2 of 2,48,51
3,11:25.0,E. Fournier misses 2-pt layup from 3 ft,,48,51
3,11:20.0,Offensive rebound by N. Vučević,,48,51
3,11:20.0,N. Vučević makes 2-pt layup at rim,,50,51
3,11:13.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by M. Conley),50,53
3,10:59.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by D. Augustin),,52,53
3,10:42.0,,J. Valančiūnas makes 2-pt jump shot from 8 ft (assist by M. Conley),52,55
3,10:42.0,Violation by Team (def goaltending),,52,55
3,10:26.0,E. Fournier misses 2-pt jump shot from 12 ft,,52,55
3,10:22.0,Offensive rebound by E. Fournier,,52,55
3,10:21.0,Turnover by E. Fournier (bad pass),,52,55
3,10:21.0,Technical foul by E. Fournier,,52,55
3,10:21.0,Technical foul by E. Fournier,,52,55
3,10:21.0,,J. Holiday makes technical free throw,52,56
3,10:21.0,,J. Holiday makes technical free throw,52,57
3,10:21.0,E. Fournier ejected from game,,52,57
3,10:21.0,W. Iwundu enters the game for E. Fournier,,52,57
3,9:56.0,,J. Valančiūnas misses 2-pt hook shot from 8 ft,52,57
3,9:54.0,Defensive rebound by N. Vučević,,52,57
3,9:47.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by A. Gordon),,55,57
3,9:34.0,,A. Bradley misses 3-pt jump shot from 27 ft,55,57
3,9:30.0,Defensive rebound by D. Augustin,,55,57
3,9:15.0,W. Iwundu misses 2-pt jump shot from 14 ft,,55,57
3,9:11.0,,Defensive rebound by J. Valančiūnas,55,57
3,9:04.0,,J. Valančiūnas misses 2-pt layup from 5 ft,55,57
3,9:02.0,Defensive rebound by A. Gordon,,55,57
3,9:02.0,Personal take foul by M. Conley (drawn by A. Gordon),,55,57
3,9:02.0,,C. Miles enters the game for B. Caboclo,55,57
3,8:54.0,N. Vučević makes 2-pt layup from 4 ft (assist by D. Augustin),,57,57
3,8:42.0,,A. Bradley makes 2-pt jump shot from 17 ft (assist by M. Conley),57,59
3,8:15.0,Turnover by Team (shot clock),,57,59
3,8:06.0,,C. Miles misses 2-pt jump shot from 15 ft,57,59
3,8:02.0,Defensive rebound by A. Gordon,,57,59
3,7:54.0,N. Vučević makes 2-pt hook shot from 8 ft,,59,59
3,7:36.0,,Personal foul by A. Gordon (drawn by J. Holiday),59,59
3,7:30.0,,M. Conley misses 2-pt jump shot from 13 ft,59,59
3,7:26.0,Defensive rebound by W. Iwundu,,59,59
3,7:23.0,A. Gordon misses 2-pt layup from 1 ft,,59,59
3,7:20.0,Offensive rebound by A. Gordon,,59,59
3,7:17.0,N. Vučević misses 3-pt jump shot from 25 ft,,59,59
3,7:13.0,,Defensive rebound by A. Bradley,59,59
3,7:07.0,,M. Conley misses 2-pt layup from 4 ft,59,59
3,7:03.0,Defensive rebound by D. Augustin,,59,59
3,7:02.0,Shooting foul by C. Miles (drawn by W. Iwundu),,59,59
3,7:02.0,W. Iwundu makes free throw 1 of 2,,60,59
3,7:02.0,,J. Noah enters the game for J. Valančiūnas,60,59
3,7:02.0,W. Iwundu misses free throw 2 of 2,,60,59
3,7:01.0,,Defensive rebound by Team,60,59
3,6:46.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by M. Conley),60,62
3,6:31.0,A. Gordon misses 3-pt jump shot from 23 ft,,60,62
3,6:27.0,Offensive rebound by N. Vučević,,60,62
3,6:21.0,Offensive foul by N. Vučević (drawn by M. Conley),,60,62
3,6:21.0,Turnover by N. Vučević (offensive foul),,60,62
3,6:21.0,,Memphis full timeout,60,62
3,5:58.0,,A. Bradley misses 2-pt layup from 4 ft (block by J. Isaac),60,62
3,5:58.0,,Offensive rebound by Team,60,62
3,5:56.0,,J. Noah misses 2-pt hook shot from 6 ft,60,62
3,5:54.0,Defensive rebound by N. Vučević,,60,62
3,5:47.0,N. Vučević misses 2-pt jump shot from 16 ft,,60,62
3,5:44.0,,Defensive rebound by J. Holiday,60,62
3,5:38.0,,M. Conley misses 2-pt jump shot from 11 ft,60,62
3,5:34.0,Defensive rebound by N. Vučević,,60,62
3,5:34.0,,I. Rabb enters the game for M. Conley,60,62
3,5:34.0,,D. Wright enters the game for J. Holiday,60,62
3,5:28.0,Turnover by D. Augustin (bad pass),,60,62
3,5:19.0,,J. Noah makes 2-pt dunk from 1 ft (assist by A. Bradley),60,64
3,5:01.0,Turnover by N. Vučević (lost ball; steal by A. Bradley),,60,64
3,4:55.0,,J. Noah makes 2-pt layup from 2 ft (assist by C. Miles),60,66
3,4:55.0,Orlando full timeout,,60,66
3,4:55.0,T. Ross enters the game for A. Gordon,,60,66
3,4:42.0,D. Augustin misses 3-pt jump shot from 22 ft,,60,66
3,4:38.0,,Defensive rebound by J. Noah,60,66
3,4:33.0,,Personal foul by T. Ross (drawn by A. Bradley),60,66
3,4:28.0,,A. Bradley misses 2-pt jump shot from 10 ft (block by T. Ross),60,66
3,4:24.0,,Offensive rebound by I. Rabb,60,66
3,4:22.0,,Shooting foul by J. Isaac (drawn by J. Noah),60,66
3,4:22.0,,J. Noah misses free throw 1 of 2,60,66
3,4:22.0,,Offensive rebound by Team,60,66
3,4:22.0,,C. Parsons enters the game for A. Bradley,60,66
3,4:22.0,,J. Noah makes free throw 2 of 2,60,67
3,4:02.0,,Violation by Team (kicked ball),60,67
3,4:02.0,J. Grant enters the game for D. Augustin,,60,67
3,3:56.0,J. Grant makes 3-pt jump shot from 23 ft (assist by N. Vučević),,63,67
3,3:29.0,,C. Parsons misses 2-pt jump shot from 15 ft (block by T. Ross),63,67
3,3:29.0,,Offensive rebound by I. Rabb,63,67
3,3:29.0,,Turnover by Team (shot clock),63,67
3,3:29.0,A. Gordon enters the game for W. Iwundu,,63,67
3,3:21.0,Personal foul by J. Noah (drawn by A. Gordon),,63,67
3,3:16.0,J. Grant makes 3-pt jump shot from 24 ft (assist by J. Isaac),,66,67
3,2:50.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by D. Wright),66,70
3,2:29.0,N. Vučević misses 2-pt jump shot from 15 ft,,66,70
3,2:27.0,,Defensive rebound by I. Rabb,66,70
3,2:16.0,,Turnover by D. Wright (lost ball; steal by T. Ross),66,70
3,2:11.0,A. Gordon misses 3-pt jump shot from 23 ft,,66,70
3,2:07.0,,Defensive rebound by I. Rabb,66,70
3,1:46.0,,C. Miles misses 3-pt jump shot from 23 ft,66,70
3,1:44.0,Defensive rebound by J. Grant,,66,70
3,1:35.0,Personal foul by I. Rabb (drawn by N. Vučević),,66,70
3,1:35.0,K. Birch enters the game for J. Isaac,,66,70
3,1:35.0,J. Martin enters the game for N. Vučević,,66,70
3,1:25.0,J. Martin makes 3-pt jump shot from 26 ft (assist by A. Gordon),,69,70
3,1:15.0,,Shooting foul by J. Martin (drawn by D. Wright),69,70
3,1:15.0,,D. Wright makes free throw 1 of 2,69,71
3,1:15.0,,D. Wright makes free throw 2 of 2,69,72
3,1:00.0,J. Martin misses 2-pt layup at rim,,69,72
3,0:57.0,,Defensive rebound by I. Rabb,69,72
3,0:43.0,,D. Wright misses 3-pt jump shot from 25 ft,69,72
3,0:40.0,Defensive rebound by J. Martin,,69,72
3,0:34.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),,72,72
3,0:22.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. Wright),72,75
3,0:03.0,J. Grant misses 3-pt jump shot from 25 ft,,72,75
3,0:03.0,Offensive rebound by K. Birch,,72,75
4,11:44.0,Shooting foul by J. Noah (drawn by T. Ross),,72,75
4,11:44.0,T. Ross makes free throw 1 of 3,,73,75
4,11:44.0,T. Ross misses free throw 2 of 3,,73,75
4,11:44.0,Offensive rebound by Team,,73,75
4,11:44.0,T. Ross makes free throw 3 of 3,,74,75
4,11:24.0,,C. Parsons misses 2-pt jump shot from 16 ft,74,75
4,11:21.0,Defensive rebound by T. Ross,,74,75
4,11:17.0,T. Ross makes 3-pt jump shot from 25 ft,,77,75
4,10:48.0,,C. Parsons misses 3-pt jump shot from 23 ft,77,75
4,10:46.0,Defensive rebound by J. Grant,,77,75
4,10:30.0,K. Birch makes 2-pt jump shot from 4 ft (assist by A. Gordon),,79,75
4,10:29.0,,Memphis full timeout,79,75
4,10:29.0,W. Iwundu enters the game for A. Gordon,,79,75
4,10:29.0,,A. Bradley enters the game for C. Miles,79,75
4,10:29.0,,M. Conley enters the game for J. Noah,79,75
4,10:29.0,,J. Holiday enters the game for C. Parsons,79,75
4,10:29.0,,J. Valančiūnas enters the game for I. Rabb,79,75
4,10:07.0,,Shooting foul by K. Birch (drawn by J. Valančiūnas),79,75
4,10:07.0,,J. Valančiūnas makes free throw 1 of 2,79,76
4,10:07.0,,J. Valančiūnas makes free throw 2 of 2,79,77
4,9:48.0,T. Ross misses 3-pt jump shot from 25 ft (block by J. Valančiūnas),,79,77
4,9:44.0,,Defensive rebound by J. Holiday,79,77
4,9:42.0,,Turnover by (5 sec),79,77
4,9:27.0,J. Grant makes 3-pt jump shot from 25 ft (assist by T. Ross),,82,77
4,9:09.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by J. Valančiūnas),82,79
4,8:51.0,T. Ross misses 3-pt jump shot from 25 ft,,82,79
4,8:49.0,,Defensive rebound by D. Wright,82,79
4,8:45.0,,J. Holiday misses 3-pt jump shot from 23 ft,82,79
4,8:42.0,Defensive rebound by J. Grant,,82,79
4,8:28.0,J. Martin misses 3-pt jump shot from 23 ft,,82,79
4,8:25.0,,Defensive rebound by J. Valančiūnas,82,79
4,8:17.0,,M. Conley makes 2-pt layup from 2 ft,82,81
4,8:03.0,Personal foul by M. Conley (drawn by K. Birch),,82,81
4,8:03.0,D. Augustin enters the game for K. Birch,,82,81
4,8:03.0,N. Vučević enters the game for J. Grant,,82,81
4,8:03.0,,C. Miles enters the game for D. Wright,82,81
4,7:58.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. Augustin),,84,81
4,7:45.0,,M. Conley misses 3-pt jump shot from 25 ft,84,81
4,7:42.0,Defensive rebound by T. Ross,,84,81
4,7:36.0,N. Vučević misses 3-pt jump shot from 24 ft,,84,81
4,7:32.0,,Defensive rebound by M. Conley,84,81
4,7:16.0,,J. Valančiūnas misses 2-pt hook shot from 9 ft,84,81
4,7:11.0,Defensive rebound by N. Vučević,,84,81
4,6:56.0,W. Iwundu misses 3-pt jump shot from 23 ft,,84,81
4,6:54.0,Personal foul by C. Miles (drawn by J. Martin),,84,81
4,6:54.0,Offensive rebound by J. Martin,,84,81
4,6:54.0,J. Isaac enters the game for J. Martin,,84,81
4,6:48.0,Shooting foul by J. Valančiūnas (drawn by N. Vučević),,84,81
4,6:48.0,N. Vučević makes free throw 1 of 2,,85,81
4,6:48.0,N. Vučević makes free throw 2 of 2,,86,81
4,6:34.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by M. Conley),86,84
4,6:18.0,D. Augustin makes 3-pt jump shot from 25 ft,,89,84
4,5:59.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,89,84
4,5:56.0,Defensive rebound by D. Augustin,,89,84
4,5:38.0,Shooting foul by C. Miles (drawn by J. Isaac),,89,84
4,5:38.0,J. Isaac makes free throw 1 of 2,,90,84
4,5:38.0,J. Isaac makes free throw 2 of 2,,91,84
4,5:31.0,,M. Conley misses 3-pt jump shot from 25 ft,91,84
4,5:28.0,Defensive rebound by T. Ross,,91,84
4,5:19.0,Turnover by D. Augustin (bad pass; steal by A. Bradley),,91,84
4,5:14.0,,C. Miles misses 3-pt jump shot from 26 ft,91,84
4,5:10.0,Defensive rebound by W. Iwundu,,91,84
4,5:10.0,Turnover by W. Iwundu (bad pass),,91,84
4,5:03.0,,A. Bradley makes 2-pt jump shot from 12 ft (assist by J. Valančiūnas),91,86
4,4:43.0,N. Vučević misses 3-pt jump shot from 25 ft,,91,86
4,4:41.0,,Defensive rebound by Team,91,86
4,4:27.0,,Shooting foul by W. Iwundu (drawn by M. Conley),91,86
4,4:27.0,,M. Conley makes free throw 1 of 2,91,87
