QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
1,5:58.0,Offensive rebound by Team,,19,7
1,5:58.0,,Loose ball foul by J. Crowder (drawn by J. Isaac),19,7
1,5:58.0,W. Iwundu enters the game for A. Gordon,,19,7
1,5:58.0,,K. Korver enters the game for J. Ingles,19,7
1,5:50.0,E. Fournier misses 2-pt jump shot from 12 ft,,19,7
1,5:46.0,,Defensive rebound by K. Korver,19,7
1,5:39.0,,D. Mitchell misses 2-pt layup from 5 ft,19,7
1,5:35.0,Defensive rebound by N. Vučević,,19,7
1,5:30.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by J. Isaac),,22,7
1,5:21.0,,Utah full timeout,22,7
1,5:09.0,,K. Korver misses 2-pt jump shot from 17 ft (block by W. Iwundu),22,7
1,5:07.0,,Offensive rebound by Team,22,7
1,5:05.0,,Turnover by D. Mitchell (bad pass; steal by W. Iwundu),22,7
1,4:56.0,N. Vučević misses 2-pt hook shot from 10 ft,,22,7
1,4:55.0,Offensive rebound by D. Augustin,,22,7
1,4:43.0,N. Vučević makes 2-pt hook shot from 8 ft,,24,7
1,4:29.0,,D. Mitchell misses 2-pt jump shot from 8 ft,24,7
1,4:27.0,,Offensive rebound by R. Gobert,24,7
1,4:25.0,,R. Gobert misses 2-pt layup from 3 ft,24,7
1,4:23.0,Defensive rebound by J. Isaac,,24,7
1,4:17.0,Shooting foul by K. Korver (drawn by D. Augustin),,24,7
1,4:17.0,D. Augustin makes free throw 1 of 2,,25,7
1,4:17.0,D. Augustin makes free throw 2 of 2,,26,7
1,4:11.0,,Personal foul by W. Iwundu (drawn by K. Korver),26,7
1,4:11.0,I. Briscoe enters the game for D. Augustin,,26,7
1,3:57.0,,J. Crowder misses 3-pt jump shot from 25 ft,26,7
1,3:53.0,Defensive rebound by I. Briscoe,,26,7
1,3:39.0,Personal foul by D. Mitchell (drawn by N. Vučević),,26,7
1,3:39.0,T. Ross enters the game for E. Fournier,,26,7
1,3:39.0,,J. Ingles enters the game for D. Mitchell,26,7
1,3:39.0,,R. Neto enters the game for R. O'Neale,26,7
1,3:31.0,N. Vučević makes 2-pt jump shot from 12 ft,,28,7
1,3:19.0,,K. Korver misses 3-pt jump shot from 25 ft,28,7
1,3:17.0,Defensive rebound by N. Vučević,,28,7
1,3:02.0,N. Vučević misses 2-pt layup from 2 ft (block by R. Gobert),,28,7
1,2:59.0,,Defensive rebound by R. Neto,28,7
1,2:55.0,,Personal foul by N. Vučević (drawn by R. Gobert),28,7
1,2:55.0,K. Birch enters the game for J. Isaac,,28,7
1,2:55.0,A. Gordon enters the game for N. Vučević,,28,7
1,2:55.0,,D. Favors enters the game for R. Gobert,28,7
1,2:45.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Neto),28,9
1,2:30.0,K. Birch misses 2-pt hook shot from 6 ft,,28,9
1,2:25.0,Offensive rebound by K. Birch,,28,9
1,2:25.0,K. Birch misses 2-pt layup at rim,,28,9
1,2:24.0,,Defensive rebound by J. Ingles,28,9
1,2:11.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by J. Ingles),28,11
1,1:50.0,T. Ross makes 2-pt jump shot from 22 ft,,30,11
1,1:40.0,,K. Korver misses 3-pt jump shot from 25 ft,30,11
1,1:38.0,Defensive rebound by T. Ross,,30,11
1,1:30.0,Turnover by T. Ross (bad pass; steal by D. Favors),,30,11
1,1:17.0,,Personal foul by T. Ross (drawn by J. Ingles),30,11
1,1:10.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Favors),30,14
1,0:44.0,A. Gordon makes 2-pt jump shot from 8 ft,,32,14
1,0:34.0,,Personal foul by I. Briscoe (drawn by R. Neto),32,14
1,0:34.0,,R. Neto makes free throw 1 of 2,32,15
1,0:34.0,,R. Neto makes free throw 2 of 2,32,16
1,0:17.0,A. Gordon misses 3-pt jump shot from 25 ft,,32,16
1,0:15.0,,Defensive rebound by K. Korver,32,16
1,0:04.0,,J. Ingles makes 3-pt jump shot from 25 ft,32,19
1,0:00.0,A. Gordon misses 3-pt jump shot from 25 ft,,32,19
1,0:00.0,Offensive rebound by Team,,32,19
2,11:44.0,T. Ross makes 2-pt jump shot from 20 ft (assist by A. Gordon),,34,19
2,11:28.0,,K. Korver misses 3-pt jump shot from 25 ft,34,19
2,11:24.0,Defensive rebound by T. Ross,,34,19
2,11:08.0,A. Gordon misses 2-pt jump shot from 8 ft,,34,19
2,11:02.0,,Defensive rebound by R. Neto,34,19
2,10:58.0,,J. Ingles misses 3-pt jump shot from 27 ft,34,19
2,10:56.0,Defensive rebound by K. Birch,,34,19
2,10:49.0,I. Briscoe misses 2-pt layup from 3 ft,,34,19
2,10:49.0,,Defensive rebound by K. Korver,34,19
2,10:22.0,,R. Neto misses 3-pt jump shot from 25 ft,34,19
2,10:20.0,Defensive rebound by T. Ross,,34,19
2,10:15.0,K. Birch makes 2-pt dunk from 2 ft (assist by I. Briscoe),,36,19
2,10:02.0,,K. Korver misses 2-pt jump shot from 14 ft,36,19
2,10:00.0,,Offensive rebound by K. Korver,36,19
2,9:58.0,,J. Ingles misses 3-pt jump shot from 25 ft,36,19
2,9:55.0,Defensive rebound by A. Gordon,,36,19
2,9:51.0,Offensive foul by E. Fournier (drawn by J. Crowder),,36,19
2,9:51.0,Turnover by E. Fournier (offensive foul),,36,19
2,9:51.0,,R. O'Neale enters the game for K. Korver,36,19
2,9:37.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),36,21
2,9:16.0,Personal foul by D. Favors (drawn by T. Ross),,36,21
2,9:16.0,,D. Mitchell enters the game for J. Crowder,36,21
2,9:16.0,,G. Niang enters the game for R. Neto,36,21
2,9:04.0,A. Gordon makes 2-pt layup from 3 ft,,38,21
2,9:04.0,Shooting foul by R. O'Neale (drawn by A. Gordon),,38,21
2,9:04.0,W. Iwundu enters the game for E. Fournier,,38,21
2,9:04.0,A. Gordon makes free throw 1 of 1,,39,21
2,8:53.0,,J. Ingles misses 2-pt layup from 6 ft (block by K. Birch),39,21
2,8:50.0,Defensive rebound by W. Iwundu,,39,21
2,8:47.0,T. Ross makes 3-pt jump shot from 26 ft (assist by W. Iwundu),,42,21
2,8:46.0,,Utah full timeout,42,21
2,8:46.0,,J. Crowder enters the game for D. Favors,42,21
2,8:46.0,,R. Gobert enters the game for R. O'Neale,42,21
2,8:31.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Crowder),42,24
2,8:13.0,A. Gordon misses 2-pt jump shot from 14 ft,,42,24
2,8:09.0,,Defensive rebound by J. Crowder,42,24
2,8:07.0,,Offensive foul by D. Mitchell (drawn by I. Briscoe),42,24
2,8:07.0,,Turnover by D. Mitchell (offensive foul),42,24
2,7:54.0,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),,45,24
2,7:40.0,,Personal foul by I. Briscoe (drawn by D. Mitchell),45,24
2,7:34.0,,Personal foul by I. Briscoe (drawn by R. Gobert),45,24
2,7:34.0,D. Augustin enters the game for I. Briscoe,,45,24
2,7:34.0,,K. Korver enters the game for J. Ingles,45,24
2,7:28.0,,Turnover by K. Korver (bad pass; steal by K. Birch),45,24
2,7:22.0,T. Ross misses 2-pt jump shot from 15 ft,,45,24
2,7:18.0,,Defensive rebound by R. Gobert,45,24
2,7:11.0,,Personal foul by T. Ross (drawn by D. Mitchell),45,24
2,7:11.0,,R. Neto enters the game for G. Niang,45,24
2,7:04.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Mitchell),45,27
2,6:56.0,Orlando full timeout,,45,27
2,6:40.0,Shooting foul by R. Gobert (drawn by K. Birch),,45,27
2,6:40.0,K. Birch makes free throw 1 of 2,,46,27
2,6:40.0,K. Birch makes free throw 2 of 2,,47,27
2,6:32.0,,J. Crowder misses 3-pt jump shot from 25 ft,47,27
2,6:29.0,Defensive rebound by A. Gordon,,47,27
2,6:19.0,A. Gordon misses 2-pt layup from 2 ft,,47,27
2,6:18.0,,Defensive rebound by K. Korver,47,27
2,6:03.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Neto),47,30
2,5:33.0,A. Gordon misses 2-pt jump shot from 19 ft,,47,30
2,5:31.0,,Defensive rebound by R. Gobert,47,30
2,5:22.0,,J. Crowder makes 2-pt layup from 2 ft (assist by D. Mitchell),47,32
2,4:56.0,D. Augustin misses 3-pt jump shot from 26 ft,,47,32
2,4:54.0,,Defensive rebound by R. Gobert,47,32
2,4:45.0,,J. Crowder makes 2-pt layup from 1 ft (assist by K. Korver),47,34
2,4:37.0,Orlando full timeout,,47,34
2,4:37.0,E. Fournier enters the game for K. Birch,,47,34
2,4:37.0,J. Isaac enters the game for A. Gordon,,47,34
2,4:37.0,N. Vučević enters the game for W. Iwundu,,47,34
2,4:20.0,N. Vučević makes 2-pt jump shot from 14 ft (assist by D. Augustin),,49,34
2,3:57.0,,Shooting foul by J. Isaac (drawn by J. Crowder),49,34
2,3:57.0,,J. Crowder misses free throw 1 of 2,49,34
2,3:57.0,,Offensive rebound by Team,49,34
2,3:57.0,,J. Crowder makes free throw 2 of 2,49,35
2,3:39.0,J. Isaac makes 2-pt dunk from 1 ft (assist by N. Vučević),,51,35
2,3:19.0,,K. Korver misses 3-pt jump shot from 24 ft,51,35
2,3:18.0,,Offensive rebound by Team,51,35
2,3:18.0,,J. Ingles enters the game for J. Crowder,51,35
2,3:18.0,,G. Niang enters the game for K. Korver,51,35
2,3:14.0,,D. Mitchell makes 2-pt layup from 2 ft,51,37
2,3:02.0,D. Augustin makes 2-pt jump shot from 9 ft,,53,37
2,2:50.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by D. Mitchell),53,40
2,2:30.0,T. Ross misses 2-pt jump shot from 18 ft (block by J. Ingles),,53,40
2,2:27.0,,Defensive rebound by G. Niang,53,40
2,2:25.0,,G. Niang makes 2-pt layup from 2 ft,53,42
2,2:05.0,N. Vučević misses 2-pt jump shot from 16 ft,,53,42
2,2:01.0,,Defensive rebound by G. Niang,53,42
2,1:56.0,,D. Mitchell misses 3-pt jump shot from 25 ft,53,42
2,1:54.0,Defensive rebound by T. Ross,,53,42
2,1:45.0,J. Isaac makes 3-pt jump shot from 22 ft (assist by D. Augustin),,56,42
2,1:24.0,,R. Neto misses 3-pt jump shot from 23 ft,56,42
2,1:22.0,Defensive rebound by J. Isaac,,56,42
2,1:12.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by D. Augustin),,59,42
2,0:54.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),59,44
2,0:45.0,Shooting foul by R. Neto (drawn by D. Augustin),,59,44
2,0:45.0,D. Augustin misses free throw 1 of 2,,59,44
2,0:45.0,Offensive rebound by Team,,59,44
2,0:45.0,A. Gordon enters the game for T. Ross,,59,44
2,0:45.0,,J. Crowder enters the game for R. Neto,59,44
2,0:45.0,D. Augustin makes free throw 2 of 2,,60,44
2,0:34.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),60,46
2,0:29.0,Shooting foul by D. Mitchell (drawn by D. Augustin),,60,46
2,0:29.0,D. Augustin makes free throw 1 of 3,,61,46
2,0:29.0,D. Augustin makes free throw 2 of 3,,62,46
2,0:29.0,W. Iwundu enters the game for E. Fournier,,62,46
2,0:29.0,,R. Neto enters the game for D. Mitchell,62,46
2,0:29.0,D. Augustin makes free throw 3 of 3,,63,46
2,0:19.0,,Turnover by J. Ingles (bad pass),63,46
2,0:19.0,,R. O'Neale enters the game for G. Niang,63,46
2,0:02.0,N. Vučević misses 2-pt jump shot from 16 ft,,63,46
2,0:02.0,,Defensive rebound by R. O'Neale,63,46
3,11:46.0,Personal foul by R. Neto (drawn by A. Gordon),,63,46
3,11:32.0,E. Fournier misses 2-pt jump shot from 19 ft,,63,46
3,11:28.0,,Defensive rebound by D. Favors,63,46
3,11:20.0,,R. Neto makes 2-pt layup from 4 ft,63,48
3,11:09.0,N. Vučević misses 2-pt jump shot from 22 ft,,63,48
3,11:06.0,,Defensive rebound by R. Gobert,63,48
3,11:00.0,,J. Ingles makes 3-pt jump shot from 25 ft,63,51
3,10:40.0,J. Isaac misses 3-pt jump shot from 26 ft,,63,51
3,10:38.0,,Defensive rebound by R. Gobert,63,51
3,10:22.0,,Turnover by J. Ingles (bad pass; steal by N. Vučević),63,51
3,10:14.0,J. Isaac misses 2-pt jump shot from 8 ft,,63,51
3,10:09.0,Offensive rebound by D. Augustin,,63,51
3,10:07.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by D. Augustin),,65,51
3,9:50.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),65,53
3,9:35.0,D. Augustin makes 2-pt jump shot from 10 ft,,67,53
3,9:23.0,,D. Mitchell misses 3-pt jump shot from 25 ft,67,53
3,9:21.0,Defensive rebound by A. Gordon,,67,53
3,9:13.0,A. Gordon makes 2-pt jump shot from 14 ft,,69,53
3,8:56.0,,Turnover by R. Gobert (out of bounds lost ball),69,53
3,8:56.0,,Loose ball foul by R. Gobert (drawn by N. Vučević),69,53
3,8:43.0,D. Augustin makes 3-pt jump shot from 26 ft,,72,53
3,8:27.0,,D. Mitchell makes 2-pt layup from 2 ft,72,55
3,8:14.0,N. Vučević misses 3-pt jump shot from 25 ft,,72,55
3,8:12.0,,Defensive rebound by R. Gobert,72,55
3,7:53.0,,R. Gobert makes 2-pt jump shot from 6 ft (assist by J. Ingles),72,57
3,7:53.0,,Shooting foul by A. Gordon (drawn by R. Gobert),72,57
3,7:53.0,,R. Gobert makes free throw 1 of 1,72,58
3,7:41.0,E. Fournier misses 2-pt jump shot from 23 ft,,72,58
3,7:39.0,,Defensive rebound by R. Gobert,72,58
3,7:30.0,,Shooting foul by N. Vučević (drawn by R. Gobert),72,58
3,7:30.0,,R. Gobert makes free throw 1 of 2,72,59
3,7:30.0,,R. O'Neale enters the game for R. Neto,72,59
3,7:30.0,,R. Gobert makes free throw 2 of 2,72,60
3,7:20.0,Turnover by D. Augustin (bad pass; steal by R. Gobert),,72,60
3,7:14.0,,D. Favors misses 3-pt jump shot from 24 ft,72,60
3,7:09.0,,Offensive rebound by R. Gobert,72,60
3,7:05.0,,Personal foul by A. Gordon (drawn by J. Ingles),72,60
3,7:05.0,,J. Crowder enters the game for D. Favors,72,60
3,6:56.0,,J. Ingles misses 3-pt jump shot from 26 ft,72,60
3,6:51.0,Defensive rebound by J. Isaac,,72,60
3,6:43.0,J. Isaac misses 3-pt jump shot from 25 ft,,72,60
3,6:41.0,,Defensive rebound by R. O'Neale,72,60
3,6:31.0,,J. Ingles misses 2-pt layup from 2 ft,72,60
3,6:28.0,Defensive rebound by A. Gordon,,72,60
3,6:23.0,A. Gordon misses 3-pt jump shot from 25 ft,,72,60
3,6:21.0,,Defensive rebound by Team,72,60
3,6:21.0,,Utah full timeout,72,60
3,6:21.0,W. Iwundu enters the game for A. Gordon,,72,60
3,6:21.0,,K. Korver enters the game for J. Ingles,72,60
3,6:11.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by D. Mitchell),72,62
3,5:50.0,Turnover by N. Vučević (bad pass; steal by D. Mitchell),,72,62
3,5:44.0,,D. Mitchell makes 2-pt layup from 4 ft,72,64
3,5:29.0,E. Fournier misses 3-pt jump shot from 25 ft,,72,64
3,5:25.0,,Defensive rebound by R. Gobert,72,64
3,5:15.0,,R. Gobert misses 2-pt layup from 2 ft,72,64
3,5:12.0,Defensive rebound by N. Vučević,,72,64
3,5:05.0,W. Iwundu misses 2-pt layup from 3 ft,,72,64
3,5:02.0,,Defensive rebound by D. Mitchell,72,64
3,4:56.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Mitchell),72,67
3,4:34.0,W. Iwundu misses 3-pt jump shot from 25 ft,,72,67
3,4:31.0,Offensive rebound by D. Augustin,,72,67
3,4:17.0,D. Augustin makes 3-pt jump shot from 26 ft,,75,67
3,4:00.0,,D. Mitchell makes 2-pt layup from 3 ft,75,69
3,3:53.0,Turnover by D. Augustin (bad pass),,75,69
3,3:53.0,I. Briscoe enters the game for D. Augustin,,75,69
3,3:53.0,,R. Neto enters the game for D. Mitchell,75,69
3,3:53.0,,Offensive foul by R. Neto (drawn by I. Briscoe),75,69
3,3:53.0,,Turnover by R. Neto (offensive foul),75,69
3,3:53.0,T. Ross enters the game for E. Fournier,,75,69
3,3:46.0,Offensive foul by I. Briscoe (drawn by R. Neto),,75,69
3,3:46.0,Turnover by I. Briscoe (offensive foul),,75,69
3,3:46.0,,Technical foul by J. Crowder,75,69
3,3:46.0,Technical foul by I. Briscoe,,75,69
3,3:35.0,,K. Korver misses 2-pt jump shot from 15 ft,75,69
3,3:30.0,Defensive rebound by I. Briscoe,,75,69
3,3:08.0,I. Briscoe misses 2-pt jump shot from 21 ft,,75,69
3,3:04.0,,Defensive rebound by R. O'Neale,75,69
3,3:00.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),75,71
3,3:00.0,,Shooting foul by I. Briscoe (drawn by R. Gobert),75,71
3,3:00.0,,R. Gobert makes free throw 1 of 1,75,72
3,2:48.0,T. Ross misses 3-pt jump shot from 26 ft,,75,72
3,2:44.0,,Defensive rebound by J. Crowder,75,72
3,2:29.0,,K. Korver misses 2-pt jump shot from 22 ft,75,72
3,2:22.0,,Offensive rebound by R. O'Neale,75,72
3,2:19.0,,R. Neto makes 2-pt jump shot from 8 ft,75,74
3,1:52.0,T. Ross misses 3-pt jump shot from 26 ft,,75,74
3,1:49.0,,Defensive rebound by K. Korver,75,74
3,1:37.0,,R. Neto misses 3-pt jump shot from 24 ft,75,74
3,1:33.0,Defensive rebound by W. Iwundu,,75,74
3,1:27.0,Turnover by W. Iwundu (lost ball; steal by R. Neto),,75,74
3,1:23.0,,R. Neto makes 2-pt layup from 2 ft,75,76
3,1:19.0,Orlando full timeout,,75,76
3,1:19.0,K. Birch enters the game for J. Isaac,,75,76
3,1:19.0,E. Fournier enters the game for W. Iwundu,,75,76
3,1:19.0,A. Gordon enters the game for N. Vučević,,75,76
3,1:03.0,A. Gordon misses 2-pt jump shot from 17 ft,,75,76
3,0:58.0,,Defensive rebound by R. O'Neale,75,76
3,0:51.0,,Offensive foul by R. Neto (drawn by E. Fournier),75,76
3,0:51.0,,Turnover by R. Neto (offensive foul),75,76
3,0:28.0,A. Gordon misses 3-pt jump shot from 25 ft,,75,76
3,0:27.0,Offensive rebound by Team,,75,76
3,0:27.0,Turnover by Team (shot clock),,75,76
3,0:27.0,,J. Ingles enters the game for R. O'Neale,75,76
3,0:15.0,,R. Neto makes 2-pt layup from 2 ft,75,78
4,11:48.0,,J. Crowder misses 3-pt jump shot from 24 ft,75,78
4,11:43.0,Defensive rebound by I. Briscoe,,75,78
4,11:28.0,T. Ross misses 2-pt jump shot from 22 ft,,75,78
4,11:25.0,,Defensive rebound by D. Mitchell,75,78
4,11:18.0,,J. Crowder misses 2-pt layup from 2 ft (block by K. Birch),75,78
4,11:14.0,Defensive rebound by K. Birch,,75,78
4,11:12.0,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),,78,78
4,10:52.0,,D. Mitchell makes 2-pt jump shot from 23 ft,78,80
4,10:33.0,Shooting foul by D. Favors (drawn by E. Fournier),,78,80
4,10:33.0,E. Fournier makes free throw 1 of 2,,79,80
4,10:33.0,E. Fournier misses free throw 2 of 2,,79,80
4,10:31.0,,Defensive rebound by D. Mitchell,79,80
4,10:13.0,,J. Crowder misses 3-pt jump shot from 25 ft,79,80
4,10:10.0,Defensive rebound by I. Briscoe,,79,80
4,9:59.0,A. Gordon misses 2-pt layup from 2 ft,,79,80
4,9:54.0,Offensive rebound by K. Birch,,79,80
4,9:54.0,K. Birch makes 2-pt dunk from 1 ft,,81,80
4,9:46.0,,D. Mitchell makes 3-pt jump shot from 25 ft,81,83
4,9:22.0,E. Fournier misses 2-pt jump shot from 23 ft,,81,83
4,9:20.0,,Defensive rebound by K. Korver,81,83
4,9:12.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by K. Korver),81,86
4,8:49.0,T. Ross misses 3-pt jump shot from 25 ft,,81,86
4,8:44.0,,Defensive rebound by D. Favors,81,86
4,8:34.0,,J. Ingles misses 3-pt jump shot from 25 ft,81,86
4,8:32.0,Defensive rebound by A. Gordon,,81,86
4,8:24.0,I. Briscoe misses 3-pt jump shot from 25 ft,,81,86
4,8:21.0,,Defensive rebound by D. Favors,81,86
4,8:11.0,,Offensive foul by D. Favors (drawn by I. Briscoe),81,86
4,8:11.0,,Turnover by D. Favors (offensive foul),81,86
4,8:11.0,,R. Neto enters the game for J. Crowder,81,86
4,8:11.0,,R. O'Neale enters the game for J. Ingles,81,86
4,7:49.0,A. Gordon makes 2-pt jump shot from 14 ft,,83,86
4,7:37.0,,Shooting foul by E. Fournier (drawn by D. Mitchell),83,86
4,7:37.0,,D. Mitchell makes free throw 1 of 2,83,87
4,7:37.0,,D. Mitchell makes free throw 2 of 2,83,88
4,7:24.0,Shooting foul by D. Mitchell (drawn by K. Birch),,83,88
4,7:24.0,K. Birch misses free throw 1 of 2,,83,88
4,7:24.0,Offensive rebound by Team,,83,88
4,7:24.0,,J. Ingles enters the game for K. Korver,83,88
4,7:24.0,K. Birch makes free throw 2 of 2,,84,88
4,7:11.0,,D. Mitchell makes 2-pt jump shot from 16 ft,84,90
4,6:51.0,I. Briscoe makes 2-pt jump shot from 19 ft,,86,90
4,6:33.0,,R. Neto misses 3-pt jump shot from 22 ft,86,90
4,6:29.0,Defensive rebound by A. Gordon,,86,90
4,6:23.0,T. Ross misses 3-pt jump shot from 25 ft,,86,90
4,6:19.0,,Defensive rebound by R. O'Neale,86,90
4,6:14.0,,Turnover by J. Ingles (lost ball; steal by T. Ross),86,90
4,6:14.0,Personal foul by J. Ingles (drawn by K. Birch),,86,90
4,6:14.0,,Utah full timeout,86,90
4,6:14.0,D. Augustin enters the game for K. Birch,,86,90
4,6:14.0,N. Vučević enters the game for I. Briscoe,,86,90
4,6:14.0,,J. Crowder enters the game for D. Favors,86,90
4,6:14.0,,R. Gobert enters the game for R. O'Neale,86,90
4,6:01.0,T. Ross misses 2-pt jump shot from 16 ft,,86,90
4,5:56.0,,Defensive rebound by J. Ingles,86,90
4,5:41.0,,R. Neto misses 2-pt jump shot from 11 ft,86,90
4,5:39.0,Defensive rebound by T. Ross,,86,90
4,5:33.0,D. Augustin misses 2-pt jump shot from 10 ft,,86,90
4,5:32.0,,Defensive rebound by Team,86,90
4,5:32.0,Loose ball foul by N. Vučević (drawn by J. Crowder),,86,90
4,5:32.0,J. Isaac enters the game for T. Ross,,86,90
4,5:22.0,,D. Mitchell misses 2-pt jump shot from 18 ft,86,90
4,5:20.0,,Offensive rebound by Team,86,90
4,5:07.0,,D. Mitchell misses 3-pt jump shot from 27 ft,86,90
4,5:03.0,Defensive rebound by N. Vučević,,86,90
4,4:52.0,N. Vučević misses 2-pt layup from 3 ft,,86,90
4,4:49.0,Offensive rebound by N. Vučević,,86,90
4,4:49.0,N. Vučević misses 2-pt layup from 1 ft,,86,90
4,4:48.0,,Defensive rebound by R. Neto,86,90
4,4:38.0,,R. Neto misses 3-pt jump shot from 24 ft,86,90
4,4:35.0,Defensive rebound by J. Isaac,,86,90
4,4:26.0,D. Augustin makes 2-pt layup from 4 ft,,88,90
4,4:11.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Neto),88,93
4,3:54.0,Turnover by D. Augustin (lost ball; steal by J. Ingles),,88,93
4,3:44.0,,J. Crowder makes 2-pt layup from 2 ft (assist by D. Mitchell),88,95
4,3:38.0,Orlando full timeout,,88,95
4,3:38.0,T. Ross enters the game for J. Isaac,,88,95
4,3:22.0,N. Vučević misses 2-pt jump shot from 5 ft,,88,95
4,3:19.0,Offensive rebound by A. Gordon,,88,95
4,3:18.0,E. Fournier misses 3-pt jump shot from 23 ft,,88,95
4,3:15.0,,Defensive rebound by D. Mitchell,88,95
4,3:13.0,,D. Mitchell makes 2-pt layup from 1 ft,88,97
4,3:06.0,Orlando full timeout,,88,97
4,3:06.0,,R. O'Neale enters the game for R. Neto,88,97
4,2:55.0,Shooting foul by R. Gobert (drawn by N. Vučević),,88,97
4,2:55.0,N. Vučević makes free throw 1 of 2,,89,97
4,2:55.0,N. Vučević misses free throw 2 of 2,,89,97
4,2:53.0,,Defensive rebound by R. Gobert,89,97
4,2:38.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by D. Mitchell),89,100
