QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
1,6:29.0,Defensive rebound by N. Jokić,,17,9
1,6:24.0,N. Jokić misses 3-pt jump shot from 27 ft,,17,9
1,6:20.0,,Defensive rebound by J. Adams,17,9
1,6:07.0,,A. Len misses 2-pt hook shot from 5 ft,17,9
1,6:04.0,Defensive rebound by J. Murray,,17,9
1,5:59.0,T. Lyles makes 3-pt jump shot from 22 ft (assist by T. Craig),,20,9
1,5:46.0,,A. Len misses 3-pt jump shot from 25 ft,20,9
1,5:44.0,Defensive rebound by J. Murray,,20,9
1,5:32.0,N. Jokić misses 2-pt jump shot from 14 ft,,20,9
1,5:29.0,,Defensive rebound by K. Huerter,20,9
1,5:24.0,,A. Len makes 2-pt dunk from 1 ft (assist by D. Bembry),20,11
1,5:03.0,N. Jokić misses 2-pt layup from 2 ft,,20,11
1,5:01.0,,Defensive rebound by D. Bembry,20,11
1,4:57.0,,Shooting foul by J. Hernangómez (drawn by D. Bembry),20,11
1,4:57.0,,D. Bembry makes free throw 1 of 2,20,12
1,4:57.0,M. Morris enters the game for T. Lyles,,20,12
1,4:57.0,M. Plumlee enters the game for J. Murray,,20,12
1,4:57.0,,V. Carter enters the game for J. Collins,20,12
1,4:57.0,,T. Dorsey enters the game for K. Huerter,20,12
1,4:57.0,,D. Bembry makes free throw 2 of 2,20,13
1,4:41.0,M. Plumlee misses 2-pt layup from 5 ft (block by D. Bembry),,20,13
1,4:41.0,Offensive rebound by Team,,20,13
1,4:32.0,N. Jokić makes 2-pt jump shot from 13 ft,,22,13
1,4:22.0,,A. Len misses 3-pt jump shot from 23 ft,22,13
1,4:16.0,Defensive rebound by T. Craig,,22,13
1,4:09.0,N. Jokić makes 2-pt layup from 8 ft (assist by M. Morris),,24,13
1,4:09.0,Shooting foul by V. Carter (drawn by N. Jokić),,24,13
1,4:09.0,,D. Dedmon enters the game for A. Len,24,13
1,4:09.0,N. Jokić makes free throw 1 of 1,,25,13
1,3:49.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by J. Adams),25,16
1,3:34.0,T. Craig misses 3-pt jump shot from 25 ft,,25,16
1,3:33.0,Offensive rebound by Team,,25,16
1,3:33.0,,Loose ball foul by D. Bembry (drawn by N. Jokić),25,16
1,3:33.0,N. Jokić makes free throw 1 of 2,,26,16
1,3:33.0,M. Beasley enters the game for J. Hernangómez,,26,16
1,3:33.0,N. Jokić makes free throw 2 of 2,,27,16
1,3:10.0,,D. Bembry makes 2-pt hook shot from 11 ft,27,18
1,2:55.0,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,30,18
1,2:39.0,,V. Carter misses 3-pt jump shot from 25 ft,30,18
1,2:36.0,Defensive rebound by N. Jokić,,30,18
1,2:28.0,Personal foul by D. Bembry (drawn by T. Craig),,30,18
1,2:28.0,Denver full timeout,,30,18
1,2:28.0,T. Lyles enters the game for N. Jokić,,30,18
1,2:28.0,,K. Bazemore enters the game for J. Adams,30,18
1,2:28.0,,T. Young enters the game for D. Bembry,30,18
1,2:28.0,T. Craig misses free throw 1 of 2,,30,18
1,2:28.0,Offensive rebound by Team,,30,18
1,2:28.0,T. Craig makes free throw 2 of 2,,31,18
1,2:11.0,,V. Carter misses 2-pt jump shot from 10 ft,31,18
1,2:08.0,Defensive rebound by Team,,31,18
1,1:54.0,M. Plumlee makes 2-pt jump shot from 21 ft (assist by M. Morris),,33,18
1,1:39.0,,T. Dorsey makes 3-pt jump shot from 26 ft (assist by D. Dedmon),33,21
1,1:08.0,T. Craig misses 2-pt jump shot from 9 ft,,33,21
1,1:05.0,,Defensive rebound by V. Carter,33,21
1,0:57.0,,Personal foul by M. Plumlee (drawn by K. Bazemore),33,21
1,0:52.0,,T. Dorsey makes 2-pt dunk at rim (assist by D. Dedmon),33,23
1,0:39.0,T. Craig makes 2-pt layup from 1 ft (assist by M. Morris),,35,23
1,0:26.0,,T. Dorsey makes 2-pt jump shot from 22 ft (assist by D. Dedmon),35,25
1,0:06.0,Offensive foul by M. Plumlee (drawn by V. Carter),,35,25
1,0:06.0,Turnover by M. Plumlee (offensive foul),,35,25
1,0:06.0,N. Jokić enters the game for M. Plumlee,,35,25
1,0:01.0,,K. Bazemore misses 3-pt jump shot from 26 ft,35,25
1,0:01.0,,Offensive rebound by Team,35,25
2,11:47.0,,J. Collins misses 2-pt layup from 1 ft,35,25
2,11:44.0,Defensive rebound by J. Hernangómez,,35,25
2,11:39.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by J. Hernangómez),,38,25
2,11:11.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Collins),38,27
2,11:04.0,Personal foul by D. Dedmon (drawn by N. Jokić),,38,27
2,10:56.0,M. Beasley misses 3-pt jump shot from 24 ft,,38,27
2,10:53.0,,Defensive rebound by J. Collins,38,27
2,10:46.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by J. Collins),38,29
2,10:33.0,J. Murray makes 2-pt jump shot from 11 ft,,40,29
2,10:19.0,,T. Dorsey misses 3-pt jump shot from 25 ft,40,29
2,10:17.0,,Offensive rebound by Team,40,29
2,10:09.0,,J. Collins misses 3-pt jump shot from 24 ft,40,29
2,10:06.0,Defensive rebound by J. Murray,,40,29
2,9:53.0,N. Jokić misses 2-pt hook shot from 3 ft,,40,29
2,9:49.0,,Defensive rebound by D. Dedmon,40,29
2,9:40.0,,J. Collins makes 2-pt dunk at rim (assist by K. Bazemore),40,31
2,9:40.0,,A. Len enters the game for D. Dedmon,40,31
2,9:17.0,N. Jokić misses 2-pt layup from 2 ft,,40,31
2,9:15.0,Offensive rebound by N. Jokić,,40,31
2,9:14.0,Shooting foul by T. Dorsey (drawn by J. Hernangómez),,40,31
2,9:14.0,J. Hernangómez makes free throw 1 of 2,,41,31
2,9:14.0,J. Hernangómez makes free throw 2 of 2,,42,31
2,8:58.0,,T. Dorsey misses 3-pt jump shot from 23 ft,42,31
2,8:53.0,Defensive rebound by N. Jokić,,42,31
2,8:47.0,J. Murray misses 3-pt jump shot from 24 ft,,42,31
2,8:46.0,Offensive rebound by Team,,42,31
2,8:46.0,,K. Huerter enters the game for T. Dorsey,42,31
2,8:44.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,42,31
2,8:40.0,,Defensive rebound by K. Bazemore,42,31
2,8:37.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),42,33
2,8:16.0,N. Jokić misses 2-pt layup from 7 ft (block by J. Collins),,42,33
2,8:13.0,Offensive rebound by J. Hernangómez,,42,33
2,8:12.0,J. Hernangómez misses 2-pt layup from 15 ft,,42,33
2,8:10.0,,Defensive rebound by A. Len,42,33
2,8:09.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by K. Huerter),42,36
2,8:08.0,Denver full timeout,,42,36
2,8:08.0,T. Lyles enters the game for N. Jokić,,42,36
2,8:08.0,M. Plumlee enters the game for J. Murray,,42,36
2,7:53.0,M. Morris makes 2-pt jump shot from 14 ft (assist by M. Plumlee),,44,36
2,7:35.0,,K. Huerter misses 2-pt jump shot from 15 ft,44,36
2,7:33.0,Defensive rebound by T. Lyles,,44,36
2,7:24.0,M. Beasley misses 3-pt jump shot from 26 ft,,44,36
2,7:20.0,,Defensive rebound by J. Collins,44,36
2,7:16.0,,T. Young misses 3-pt jump shot from 30 ft,44,36
2,7:15.0,Defensive rebound by Team,,44,36
2,6:55.0,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Morris),,46,36
2,6:35.0,,A. Len misses 3-pt jump shot from 23 ft,46,36
2,6:32.0,Defensive rebound by J. Hernangómez,,46,36
2,6:28.0,M. Beasley misses 3-pt jump shot from 25 ft,,46,36
2,6:24.0,,Defensive rebound by A. Len,46,36
2,6:20.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),46,39
2,5:59.0,M. Morris misses 3-pt jump shot from 23 ft,,46,39
2,5:58.0,,Defensive rebound by Team,46,39
2,5:58.0,Loose ball foul by T. Lyles (drawn by K. Huerter),,46,39
2,5:58.0,T. Craig enters the game for M. Beasley,,46,39
2,5:58.0,J. Murray enters the game for M. Morris,,46,39
2,5:46.0,,K. Bazemore misses 3-pt jump shot from 25 ft,46,39
2,5:42.0,Defensive rebound by J. Murray,,46,39
2,5:30.0,Turnover by M. Plumlee (bad pass),,46,39
2,5:23.0,,T. Young misses 2-pt layup from 1 ft (block by T. Lyles),46,39
2,5:23.0,,Offensive rebound by Team,46,39
2,5:23.0,N. Jokić enters the game for M. Plumlee,,46,39
2,5:23.0,,D. Bembry enters the game for T. Young,46,39
2,5:12.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),46,41
2,4:55.0,T. Craig makes 2-pt layup from 5 ft (assist by N. Jokić),,48,41
2,4:32.0,,A. Len misses 2-pt hook shot from 7 ft,48,41
2,4:31.0,,Offensive rebound by J. Collins,48,41
2,4:31.0,,J. Collins misses 2-pt layup from 2 ft,48,41
2,4:30.0,,Offensive rebound by Team,48,41
2,4:24.0,,K. Bazemore misses 2-pt jump shot from 12 ft,48,41
2,4:22.0,Defensive rebound by T. Craig,,48,41
2,4:04.0,T. Lyles misses 3-pt jump shot from 23 ft,,48,41
2,4:01.0,,Defensive rebound by D. Bembry,48,41
2,3:49.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Collins),48,44
2,3:35.0,J. Murray makes 2-pt jump shot from 19 ft,,50,44
2,3:19.0,,J. Collins misses 3-pt jump shot from 24 ft,50,44
2,3:16.0,Defensive rebound by J. Hernangómez,,50,44
2,3:05.0,Shooting foul by D. Bembry (drawn by T. Lyles),,50,44
2,3:05.0,T. Lyles makes free throw 1 of 2,,51,44
2,3:05.0,,J. Anderson enters the game for K. Bazemore,51,44
2,3:05.0,,D. Dedmon enters the game for D. Bembry,51,44
2,3:05.0,,T. Young enters the game for A. Len,51,44
2,3:05.0,T. Lyles makes free throw 2 of 2,,52,44
2,2:53.0,,J. Anderson misses 3-pt jump shot from 26 ft,52,44
2,2:50.0,Defensive rebound by T. Craig,,52,44
2,2:42.0,T. Lyles misses 3-pt jump shot from 25 ft,,52,44
2,2:39.0,,Defensive rebound by J. Anderson,52,44
2,2:32.0,,J. Collins makes 2-pt jump shot from 13 ft (assist by T. Young),52,46
2,2:32.0,,Shooting foul by T. Lyles (drawn by J. Collins),52,46
2,2:32.0,,Atlanta full timeout,52,46
2,2:32.0,,J. Collins makes free throw 1 of 1,52,47
2,2:23.0,Personal foul by J. Anderson (drawn by N. Jokić),,52,47
2,2:10.0,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),,54,47
2,1:56.0,,K. Huerter makes 2-pt layup from 2 ft (assist by J. Collins),54,49
2,1:46.0,Turnover by T. Craig (offensive foul),,54,49
2,1:46.0,Offensive foul by T. Craig (drawn by T. Young),,54,49
2,1:33.0,,D. Dedmon misses 2-pt layup from 6 ft,54,49
2,1:29.0,,Offensive rebound by T. Young,54,49
2,1:27.0,,K. Huerter misses 3-pt jump shot from 23 ft,54,49
2,1:24.0,Defensive rebound by J. Murray,,54,49
2,1:15.0,T. Lyles misses 2-pt layup from 1 ft (block by D. Dedmon),,54,49
2,1:12.0,,Defensive rebound by D. Dedmon,54,49
2,1:04.0,,J. Collins misses 2-pt layup from 5 ft,54,49
2,1:01.0,,Offensive rebound by J. Anderson,54,49
2,1:01.0,,J. Anderson makes 2-pt layup at rim,54,51
2,0:43.0,J. Murray misses 2-pt jump shot from 16 ft,,54,51
2,0:40.0,Offensive rebound by J. Murray,,54,51
2,0:38.0,N. Jokić makes 2-pt layup from 1 ft (assist by J. Murray),,56,51
2,0:37.0,,Away from play foul by J. Murray (drawn by J. Collins),56,51
2,0:37.0,M. Morris enters the game for J. Murray,,56,51
2,0:37.0,,T. Young misses free throw 1 of 1,56,51
2,0:37.0,,Offensive rebound by Team,56,51
2,0:37.0,,V. Carter enters the game for J. Collins,56,51
2,0:29.0,,T. Young misses 2-pt layup from 18 ft,56,51
2,0:26.0,Defensive rebound by N. Jokić,,56,51
2,0:21.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,56,51
2,0:18.0,,Defensive rebound by D. Dedmon,56,51
2,0:04.0,,D. Dedmon misses 3-pt jump shot from 23 ft,56,51
2,0:01.0,Defensive rebound by N. Jokić,,56,51
3,11:47.0,,K. Bazemore misses 2-pt layup from 1 ft,56,51
3,11:45.0,,Offensive rebound by J. Collins,56,51
3,11:37.0,,Turnover by T. Young (out of bounds lost ball),56,51
3,11:16.0,T. Craig misses 2-pt layup from 1 ft,,56,51
3,11:13.0,,Defensive rebound by D. Dedmon,56,51
3,11:04.0,,J. Collins misses 2-pt dunk from 2 ft,56,51
3,11:01.0,Defensive rebound by J. Hernangómez,,56,51
3,10:57.0,T. Lyles misses 2-pt layup from 1 ft,,56,51
3,10:53.0,Offensive rebound by T. Lyles,,56,51
3,10:53.0,T. Lyles misses 2-pt layup from 1 ft,,56,51
3,10:52.0,,Defensive rebound by K. Bazemore,56,51
3,10:48.0,,T. Young makes 3-pt jump shot from 25 ft (assist by K. Huerter),56,54
3,10:23.0,J. Murray misses 2-pt jump shot from 13 ft,,56,54
3,10:20.0,Offensive rebound by N. Jokić,,56,54
3,10:16.0,,Violation by Team (kicked ball),56,54
3,10:08.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by T. Lyles),,58,54
3,10:01.0,,Personal take foul by T. Craig (drawn by T. Young),58,54
3,10:01.0,M. Morris enters the game for J. Murray,,58,54
3,9:52.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by J. Collins),58,57
3,9:36.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),,60,57
3,9:26.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),60,59
3,9:26.0,Denver full timeout,,60,59
3,9:15.0,Turnover by T. Craig (out of bounds lost ball),,60,59
3,8:59.0,,Turnover by K. Bazemore (bad pass; steal by M. Morris),60,59
3,8:54.0,M. Morris misses 2-pt layup at rim,,60,59
3,8:50.0,,Defensive rebound by J. Collins,60,59
3,8:46.0,,Turnover by K. Huerter (lost ball; steal by T. Lyles),60,59
3,8:39.0,T. Craig misses 3-pt jump shot from 24 ft,,60,59
3,8:36.0,,Defensive rebound by J. Collins,60,59
3,8:28.0,,T. Young makes 2-pt layup from 1 ft,60,61
3,8:18.0,Personal foul by T. Young (drawn by T. Craig),,60,61
3,8:12.0,M. Morris misses 3-pt jump shot from 26 ft,,60,61
3,8:10.0,,Defensive rebound by D. Dedmon,60,61
3,8:02.0,,Shooting foul by M. Morris (drawn by K. Bazemore),60,61
3,8:02.0,,K. Bazemore misses free throw 1 of 2,60,61
3,8:02.0,,Offensive rebound by Team,60,61
3,8:02.0,,K. Bazemore makes free throw 2 of 2,60,62
3,7:53.0,T. Lyles misses 2-pt jump shot from 16 ft,,60,62
3,7:50.0,,Defensive rebound by J. Collins,60,62
3,7:45.0,,K. Bazemore misses 3-pt jump shot from 23 ft,60,62
3,7:41.0,Defensive rebound by T. Lyles,,60,62
3,7:35.0,T. Lyles misses 3-pt jump shot from 26 ft,,60,62
3,7:31.0,,Defensive rebound by D. Dedmon,60,62
3,7:25.0,,Turnover by T. Young (bad pass; steal by M. Morris),60,62
3,7:07.0,N. Jokić makes 2-pt layup from 1 ft,,62,62
3,6:49.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),62,65
3,6:37.0,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),,64,65
3,6:15.0,,T. Young misses 2-pt jump shot from 20 ft,64,65
3,6:12.0,Defensive rebound by T. Lyles,,64,65
3,5:58.0,Personal foul by J. Collins (drawn by N. Jokić),,64,65
3,5:58.0,M. Beasley enters the game for J. Hernangómez,,64,65
3,5:58.0,M. Plumlee enters the game for T. Lyles,,64,65
3,5:58.0,,D. Bembry enters the game for J. Collins,64,65
3,5:58.0,,V. Carter enters the game for D. Dedmon,64,65
3,5:58.0,,A. Len enters the game for K. Huerter,64,65
3,5:54.0,Turnover by T. Craig (lost ball; steal by K. Bazemore),,64,65
3,5:48.0,,D. Bembry makes 3-pt jump shot from 26 ft (assist by K. Bazemore),64,68
3,5:32.0,M. Beasley makes 2-pt jump shot from 6 ft (assist by N. Jokić),,66,68
3,5:23.0,,V. Carter misses 3-pt jump shot from 25 ft,66,68
3,5:19.0,Defensive rebound by T. Craig,,66,68
3,5:16.0,Personal foul by V. Carter (drawn by M. Plumlee),,66,68
3,5:03.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,69,68
3,5:01.0,,Atlanta full timeout,69,68
3,5:01.0,,T. Dorsey enters the game for T. Young,69,68
3,4:47.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by D. Bembry),69,71
3,4:32.0,Personal foul by K. Bazemore (drawn by M. Plumlee),,69,71
3,4:32.0,,K. Huerter enters the game for K. Bazemore,69,71
3,4:27.0,M. Beasley misses 3-pt jump shot from 26 ft,,69,71
3,4:23.0,,Defensive rebound by T. Dorsey,69,71
3,4:16.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by D. Bembry),69,74
3,4:13.0,Denver full timeout,,69,74
3,4:13.0,J. Murray enters the game for T. Craig,,69,74
3,3:52.0,Turnover by M. Plumlee (3 sec),,69,74
3,3:39.0,,Turnover by T. Dorsey (traveling),69,74
3,3:22.0,Shooting foul by A. Len (drawn by N. Jokić),,69,74
3,3:22.0,N. Jokić makes free throw 1 of 2,,70,74
3,3:22.0,N. Jokić makes free throw 2 of 2,,71,74
3,3:11.0,,A. Len makes 2-pt layup from 1 ft (assist by V. Carter),71,76
3,3:00.0,M. Morris misses 2-pt layup from 1 ft,,71,76
3,2:57.0,Offensive rebound by M. Morris,,71,76
3,2:56.0,M. Morris misses 2-pt jump shot from 9 ft,,71,76
3,2:56.0,Offensive rebound by Team,,71,76
3,2:56.0,,Loose ball foul by A. Len (drawn by N. Jokić),71,76
3,2:56.0,N. Jokić makes free throw 1 of 2,,72,76
3,2:56.0,N. Jokić misses free throw 2 of 2,,72,76
3,2:55.0,,Defensive rebound by A. Len,72,76
3,2:47.0,,Turnover by A. Len (offensive foul),72,76
3,2:47.0,,Offensive foul by A. Len (drawn by J. Murray),72,76
3,2:47.0,T. Lyles enters the game for N. Jokić,,72,76
3,2:38.0,Turnover by M. Morris (turnover),,72,76
3,2:38.0,Loose ball foul by M. Morris (drawn by T. Dorsey),,72,76
3,2:24.0,,T. Dorsey misses 2-pt layup from 3 ft,72,76
3,2:21.0,,Offensive rebound by T. Dorsey,72,76
3,2:19.0,,D. Bembry makes 3-pt jump shot from 26 ft (assist by K. Huerter),72,79
3,2:00.0,M. Plumlee misses 2-pt layup at rim (block by D. Bembry),,72,79
3,1:57.0,,Defensive rebound by V. Carter,72,79
3,1:53.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by T. Dorsey),72,82
3,1:39.0,J. Murray misses 2-pt jump shot from 15 ft (block by D. Bembry),,72,82
3,1:39.0,Offensive rebound by Team,,72,82
3,1:39.0,T. Craig enters the game for J. Murray,,72,82
3,1:39.0,J. Hernangómez enters the game for M. Plumlee,,72,82
3,1:39.0,,J. Collins enters the game for A. Len,72,82
3,1:29.0,M. Beasley misses 2-pt jump shot from 17 ft,,72,82
3,1:29.0,,Defensive rebound by T. Dorsey,72,82
3,1:29.0,,Offensive foul by T. Dorsey (drawn by M. Morris),72,82
3,1:29.0,,Turnover by T. Dorsey (offensive foul),72,82
3,1:20.0,T. Lyles misses 2-pt layup from 15 ft,,72,82
3,1:16.0,,Defensive rebound by Team,72,82
3,0:58.0,,D. Bembry makes 2-pt layup from 1 ft,72,84
3,0:58.0,,Shooting foul by T. Craig (drawn by D. Bembry),72,84
3,0:58.0,,D. Bembry misses free throw 1 of 1,72,84
3,0:58.0,Defensive rebound by T. Lyles,,72,84
3,0:49.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by M. Morris),,75,84
3,0:38.0,,T. Dorsey misses 3-pt jump shot from 25 ft,75,84
3,0:35.0,Defensive rebound by M. Morris,,75,84
3,0:30.0,M. Morris makes 2-pt layup from 1 ft,,77,84
3,0:10.0,,V. Carter misses 3-pt jump shot from 24 ft,77,84
3,0:05.0,Defensive rebound by T. Lyles,,77,84
3,0:04.0,Turnover by T. Lyles (lost ball; steal by T. Dorsey),,77,84
3,0:03.0,,T. Dorsey misses 2-pt layup from 4 ft,77,84
3,0:03.0,,Offensive rebound by V. Carter,77,84
3,0:03.0,,V. Carter makes 2-pt dunk at rim,77,86
3,0:00.0,M. Morris misses 3-pt jump shot from 42 ft,,77,86
3,0:00.0,Offensive rebound by Team,,77,86
4,11:48.0,Personal foul by D. Dedmon (drawn by N. Jokić),,77,86
4,11:36.0,N. Jokić misses 2-pt jump shot from 14 ft,,77,86
4,11:32.0,,Defensive rebound by J. Collins,77,86
4,11:21.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),77,88
4,11:09.0,M. Beasley misses 2-pt layup from 2 ft (block by D. Dedmon),,77,88
4,11:06.0,,Defensive rebound by D. Dedmon,77,88
4,10:58.0,,K. Bazemore misses 3-pt jump shot from 24 ft,77,88
4,10:55.0,Defensive rebound by M. Beasley,,77,88
4,10:46.0,Personal foul by D. Dedmon (drawn by N. Jokić),,77,88
4,10:34.0,M. Morris misses 3-pt jump shot from 25 ft,,77,88
4,10:32.0,,Defensive rebound by J. Collins,77,88
4,10:17.0,,Shooting foul by T. Lyles (drawn by J. Collins),77,88
4,10:17.0,,J. Collins makes free throw 1 of 2,77,89
4,10:17.0,,J. Collins makes free throw 2 of 2,77,90
4,10:04.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,77,90
4,10:02.0,,Defensive rebound by K. Bazemore,77,90
4,9:55.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Bazemore),77,92
4,9:55.0,,Shooting foul by J. Hernangómez (drawn by J. Collins),77,92
4,9:55.0,T. Craig enters the game for M. Beasley,,77,92
4,9:55.0,,J. Collins misses free throw 1 of 1,77,92
4,9:55.0,Defensive rebound by N. Jokić,,77,92
4,9:44.0,T. Craig misses 3-pt jump shot from 23 ft,,77,92
4,9:41.0,,Defensive rebound by D. Dedmon,77,92
4,9:36.0,,Shooting foul by N. Jokić (drawn by T. Young),77,92
4,9:36.0,,T. Young makes free throw 1 of 2,77,93
4,9:36.0,,V. Carter enters the game for J. Collins,77,93
4,9:36.0,,T. Young makes free throw 2 of 2,77,94
4,9:24.0,N. Jokić misses 3-pt jump shot from 26 ft,,77,94
4,9:22.0,,Defensive rebound by K. Bazemore,77,94
4,9:06.0,,V. Carter misses 3-pt jump shot from 23 ft,77,94
4,9:03.0,Defensive rebound by N. Jokić,,77,94
4,8:50.0,Turnover by M. Morris (bad pass; steal by K. Huerter),,77,94
4,8:47.0,,K. Huerter misses 3-pt jump shot from 24 ft,77,94
4,8:44.0,Defensive rebound by T. Craig,,77,94
4,8:38.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by M. Morris),,80,94
4,8:38.0,Shooting foul by T. Young (drawn by J. Hernangómez),,80,94
4,8:38.0,J. Murray enters the game for M. Morris,,80,94
4,8:38.0,,D. Bembry enters the game for T. Young,80,94
4,8:38.0,J. Hernangómez makes free throw 1 of 1,,81,94
4,8:20.0,,D. Bembry makes 2-pt layup from 2 ft (assist by K. Bazemore),81,96
4,8:09.0,J. Hernangómez makes 3-pt jump shot from 30 ft (assist by J. Murray),,84,96
4,7:50.0,,K. Bazemore misses 3-pt jump shot from 26 ft,84,96
4,7:48.0,Defensive rebound by T. Lyles,,84,96
4,7:39.0,J. Murray misses 2-pt jump shot from 18 ft,,84,96
4,7:36.0,Offensive rebound by N. Jokić,,84,96
4,7:33.0,Turnover by N. Jokić (bad pass; steal by D. Dedmon),,84,96
4,7:28.0,,Shooting foul by T. Craig (drawn by D. Bembry),84,96
4,7:28.0,,D. Bembry misses free throw 1 of 2,84,96
4,7:28.0,,Offensive rebound by Team,84,96
4,7:28.0,M. Plumlee enters the game for N. Jokić,,84,96
4,7:28.0,,T. Dorsey enters the game for K. Bazemore,84,96
4,7:28.0,,A. Len enters the game for D. Dedmon,84,96
