QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
1,5:38.0,Defensive rebound by J. Tatum,,12,9
1,5:25.0,M. Morris misses 2-pt jump shot from 16 ft,,12,9
1,5:23.0,,Defensive rebound by D. DeRozan,12,9
1,5:16.0,,Personal foul by M. Smart (drawn by D. DeRozan),12,9
1,5:16.0,J. Brown enters the game for A. Horford,,12,9
1,5:16.0,G. Hayward enters the game for M. Morris,,12,9
1,5:16.0,D. Theis enters the game for M. Smart,,12,9
1,5:16.0,,P. Mills enters the game for D. White,12,9
1,5:05.0,,Shooting foul by D. Theis (drawn by L. Aldridge),12,9
1,5:05.0,,L. Aldridge misses free throw 1 of 2,12,9
1,5:05.0,,Offensive rebound by Team,12,9
1,5:05.0,,M. Belinelli enters the game for B. Forbes,12,9
1,5:05.0,,L. Aldridge makes free throw 2 of 2,12,10
1,4:44.0,K. Irving misses 2-pt jump shot from 10 ft,,12,10
1,4:40.0,,Defensive rebound by D. DeRozan,12,10
1,4:35.0,,M. Belinelli misses 3-pt jump shot from 23 ft,12,10
1,4:31.0,Defensive rebound by K. Irving,,12,10
1,4:26.0,G. Hayward misses 3-pt jump shot from 26 ft,,12,10
1,4:22.0,,Defensive rebound by L. Aldridge,12,10
1,4:07.0,,L. Aldridge misses 2-pt hook shot from 6 ft,12,10
1,4:07.0,Defensive rebound by J. Tatum,,12,10
1,3:59.0,J. Tatum misses 2-pt jump shot from 8 ft,,12,10
1,3:55.0,Offensive rebound by J. Tatum,,12,10
1,3:55.0,J. Tatum makes 2-pt layup from 1 ft,,14,10
1,3:49.0,,Shooting foul by D. Theis (drawn by M. Belinelli),14,10
1,3:49.0,,M. Belinelli makes free throw 1 of 2,14,11
1,3:49.0,T. Rozier enters the game for K. Irving,,14,11
1,3:49.0,,P. Gasol enters the game for L. Aldridge,14,11
1,3:49.0,,M. Belinelli makes free throw 2 of 2,14,12
1,3:28.0,J. Brown misses 2-pt jump shot from 19 ft,,14,12
1,3:24.0,,Defensive rebound by P. Gasol,14,12
1,3:11.0,,P. Mills misses 3-pt jump shot from 26 ft,14,12
1,3:06.0,Defensive rebound by G. Hayward,,14,12
1,3:05.0,Shooting foul by D. Bertāns (drawn by J. Brown),,14,12
1,3:05.0,J. Brown makes free throw 1 of 2,,15,12
1,3:05.0,J. Brown makes free throw 2 of 2,,16,12
1,2:54.0,,D. DeRozan makes 2-pt layup from 6 ft,16,14
1,2:53.0,Boston full timeout,,16,14
1,2:33.0,G. Hayward misses 3-pt jump shot from 27 ft,,16,14
1,2:32.0,,Defensive rebound by P. Gasol,16,14
1,2:23.0,,D. DeRozan misses 2-pt layup from 7 ft (block by T. Rozier),16,14
1,2:23.0,,Offensive rebound by Team,16,14
1,2:18.0,,P. Mills misses 3-pt jump shot from 26 ft,16,14
1,2:14.0,Defensive rebound by J. Tatum,,16,14
1,1:58.0,T. Rozier misses 2-pt jump shot from 9 ft,,16,14
1,1:56.0,Offensive rebound by D. Theis,,16,14
1,1:54.0,D. Theis makes 2-pt layup from 5 ft,,18,14
1,1:43.0,,P. Mills misses 3-pt jump shot from 25 ft,18,14
1,1:43.0,Defensive rebound by J. Tatum,,18,14
1,1:33.0,D. Theis misses 3-pt jump shot from 27 ft,,18,14
1,1:30.0,,Defensive rebound by P. Gasol,18,14
1,1:26.0,,D. Bertāns misses 3-pt jump shot from 27 ft,18,14
1,1:22.0,Defensive rebound by J. Brown,,18,14
1,1:02.0,J. Brown makes 3-pt jump shot from 26 ft (assist by T. Rozier),,21,14
1,0:47.0,,D. DeRozan misses 2-pt jump shot from 8 ft,21,14
1,0:47.0,Defensive rebound by D. Theis,,21,14
1,0:39.0,Shooting foul by P. Gasol (drawn by J. Brown),,21,14
1,0:39.0,J. Brown makes free throw 1 of 2,,22,14
1,0:39.0,M. Morris enters the game for J. Tatum,,22,14
1,0:39.0,,B. Forbes enters the game for D. DeRozan,22,14
1,0:39.0,J. Brown makes free throw 2 of 2,,23,14
1,0:30.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by M. Belinelli),23,17
1,0:10.0,G. Hayward misses 3-pt jump shot from 28 ft,,23,17
1,0:06.0,,Defensive rebound by P. Gasol,23,17
1,0:00.0,,D. Bertāns misses 3-pt jump shot from 26 ft,23,17
1,0:00.0,,Offensive rebound by Team,23,17
2,11:47.0,Turnover by D. Theis (traveling),,23,17
2,11:36.0,,B. Forbes misses 3-pt jump shot from 26 ft,23,17
2,11:32.0,Defensive rebound by M. Morris,,23,17
2,11:29.0,J. Brown misses 3-pt jump shot from 28 ft,,23,17
2,11:25.0,Offensive rebound by D. Theis,,23,17
2,11:21.0,M. Morris misses 2-pt jump shot from 19 ft,,23,17
2,11:17.0,,Defensive rebound by P. Gasol,23,17
2,11:07.0,,D. Bertāns makes 2-pt jump shot from 11 ft (assist by M. Belinelli),23,19
2,10:44.0,G. Hayward misses 3-pt jump shot from 24 ft,,23,19
2,10:40.0,,Defensive rebound by P. Mills,23,19
2,10:37.0,,Shooting foul by M. Morris (drawn by M. Belinelli),23,19
2,10:37.0,,M. Belinelli makes free throw 1 of 3,23,20
2,10:37.0,,M. Belinelli makes free throw 2 of 3,23,21
2,10:37.0,,J. Poeltl enters the game for P. Gasol,23,21
2,10:37.0,,M. Belinelli makes free throw 3 of 3,23,22
2,10:24.0,M. Morris makes 2-pt jump shot from 11 ft (assist by G. Hayward),,25,22
2,10:03.0,,D. Bertāns misses 2-pt jump shot from 7 ft,25,22
2,10:01.0,Defensive rebound by T. Rozier,,25,22
2,9:57.0,J. Brown makes 2-pt layup from 8 ft (assist by T. Rozier),,27,22
2,9:57.0,,San Antonio full timeout,27,22
2,9:57.0,,L. Aldridge enters the game for D. Bertāns,27,22
2,9:57.0,,D. White enters the game for P. Mills,27,22
2,9:43.0,,B. Forbes misses 2-pt jump shot from 19 ft,27,22
2,9:39.0,Defensive rebound by D. Theis,,27,22
2,9:32.0,J. Brown makes 3-pt jump shot from 24 ft (assist by D. Theis),,30,22
2,9:14.0,,L. Aldridge misses 2-pt hook shot from 5 ft,30,22
2,9:11.0,Defensive rebound by D. Theis,,30,22
2,9:07.0,T. Rozier makes 3-pt jump shot from 26 ft,,33,22
2,8:46.0,,L. Aldridge makes 2-pt hook shot from 6 ft,33,24
2,8:28.0,J. Brown makes 2-pt jump shot from 8 ft (assist by G. Hayward),,35,24
2,8:18.0,,J. Poeltl misses 2-pt layup from 7 ft (block by M. Morris),35,24
2,8:12.0,,Offensive rebound by L. Aldridge,35,24
2,8:12.0,,L. Aldridge makes 2-pt layup at rim,35,26
2,7:58.0,M. Morris makes 3-pt jump shot from 26 ft,,38,26
2,7:50.0,,D. White makes 2-pt jump shot from 6 ft,38,28
2,7:50.0,,Shooting foul by T. Rozier (drawn by D. White),38,28
2,7:50.0,M. Smart enters the game for G. Hayward,,38,28
2,7:50.0,G. Yabusele enters the game for D. Theis,,38,28
2,7:50.0,,D. DeRozan enters the game for M. Belinelli,38,28
2,7:50.0,,D. White misses free throw 1 of 1,38,28
2,7:45.0,,Offensive rebound by J. Poeltl,38,28
2,7:35.0,,D. DeRozan misses 2-pt jump shot from 16 ft,38,28
2,7:32.0,Defensive rebound by M. Morris,,38,28
2,7:17.0,M. Morris misses 2-pt jump shot from 10 ft,,38,28
2,7:12.0,,Defensive rebound by L. Aldridge,38,28
2,6:58.0,,L. Aldridge misses 2-pt layup from 5 ft (block by J. Brown),38,28
2,6:55.0,Defensive rebound by M. Morris,,38,28
2,6:41.0,Shooting foul by B. Forbes (drawn by T. Rozier),,38,28
2,6:41.0,T. Rozier misses free throw 1 of 2,,38,28
2,6:41.0,Offensive rebound by Team,,38,28
2,6:41.0,K. Irving enters the game for M. Morris,,38,28
2,6:41.0,,D. Bertāns enters the game for J. Poeltl,38,28
2,6:41.0,T. Rozier misses free throw 2 of 2,,38,28
2,6:39.0,,Defensive rebound by D. DeRozan,38,28
2,6:31.0,,Personal foul by G. Yabusele (drawn by L. Aldridge),38,28
2,6:25.0,,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),38,31
2,6:01.0,J. Brown makes 2-pt dunk from 4 ft (assist by K. Irving),,40,31
2,5:51.0,,Shooting foul by G. Yabusele (drawn by D. White),40,31
2,5:51.0,,D. White makes free throw 1 of 2,40,32
2,5:51.0,J. Tatum enters the game for T. Rozier,,40,32
2,5:51.0,,D. White makes free throw 2 of 2,40,33
2,5:37.0,J. Tatum makes 2-pt jump shot from 20 ft (assist by G. Yabusele),,42,33
2,5:24.0,,D. DeRozan misses 2-pt layup from 5 ft (block by M. Smart),42,33
2,5:21.0,Defensive rebound by M. Smart,,42,33
2,5:20.0,J. Brown makes 2-pt layup from 3 ft (assist by M. Smart),,44,33
2,5:19.0,,San Antonio full timeout,44,33
2,5:05.0,,L. Aldridge makes 2-pt jump shot from 9 ft,44,35
2,4:49.0,M. Smart makes 2-pt jump shot from 21 ft (assist by K. Irving),,46,35
2,4:49.0,,M. Belinelli enters the game for B. Forbes,46,35
2,4:49.0,,P. Mills enters the game for D. White,46,35
2,4:26.0,,L. Aldridge misses 2-pt jump shot from 7 ft,46,35
2,4:24.0,,Offensive rebound by L. Aldridge,46,35
2,4:21.0,,L. Aldridge makes 2-pt layup from 4 ft,46,37
2,4:06.0,Turnover by G. Yabusele (out of bounds lost ball),,46,37
2,3:59.0,,Personal foul by G. Yabusele (drawn by L. Aldridge),46,37
2,3:59.0,,L. Aldridge makes free throw 1 of 2,46,38
2,3:59.0,G. Hayward enters the game for J. Brown,,46,38
2,3:59.0,A. Horford enters the game for G. Yabusele,,46,38
2,3:59.0,,B. Forbes enters the game for D. DeRozan,46,38
2,3:59.0,,L. Aldridge makes free throw 2 of 2,46,39
2,3:39.0,Turnover by M. Smart (bad pass; steal by M. Belinelli),,46,39
2,3:34.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by B. Forbes),46,42
2,3:17.0,A. Horford misses 3-pt jump shot from 26 ft,,46,42
2,3:14.0,,Defensive rebound by L. Aldridge,46,42
2,3:00.0,,L. Aldridge makes 2-pt jump shot from 11 ft,46,44
2,2:40.0,A. Horford makes 3-pt jump shot from 27 ft (assist by K. Irving),,49,44
2,2:16.0,,D. Bertāns misses 3-pt jump shot from 26 ft,49,44
2,2:12.0,Defensive rebound by J. Tatum,,49,44
2,1:58.0,J. Tatum misses 2-pt layup from 6 ft,,49,44
2,1:56.0,Offensive rebound by G. Hayward,,49,44
2,1:55.0,M. Smart misses 3-pt jump shot from 26 ft,,49,44
2,1:54.0,Offensive rebound by Team,,49,44
2,1:54.0,,Loose ball foul by M. Belinelli (drawn by J. Tatum),49,44
2,1:50.0,Personal foul by B. Forbes (drawn by M. Smart),,49,44
2,1:50.0,M. Smart makes free throw 1 of 2,,50,44
2,1:50.0,M. Smart misses free throw 2 of 2,,50,44
2,1:47.0,,Defensive rebound by M. Belinelli,50,44
2,1:32.0,,D. Bertāns misses 2-pt layup from 6 ft (block by J. Tatum),50,44
2,1:29.0,Defensive rebound by M. Smart,,50,44
2,1:27.0,K. Irving misses 2-pt layup from 9 ft,,50,44
2,1:25.0,Offensive rebound by Team,,50,44
2,1:14.0,J. Tatum makes 2-pt layup from 6 ft,,52,44
2,0:53.0,,L. Aldridge makes 2-pt layup from 6 ft,52,46
2,0:38.0,Turnover by G. Hayward (bad pass; steal by L. Aldridge),,52,46
2,0:20.0,,Turnover by P. Mills (bad pass),52,46
2,0:03.0,Turnover by K. Irving (bad pass; steal by B. Forbes),,52,46
3,11:40.0,A. Horford makes 2-pt jump shot from 18 ft (assist by M. Smart),,54,46
3,11:25.0,,D. DeRozan misses 2-pt jump shot from 14 ft,54,46
3,11:21.0,Defensive rebound by J. Tatum,,54,46
3,11:14.0,Offensive foul by J. Tatum (drawn by D. DeRozan),,54,46
3,11:14.0,Turnover by J. Tatum (offensive foul),,54,46
3,10:59.0,,D. White makes 2-pt layup from 7 ft (assist by J. Poeltl),54,48
3,10:38.0,Turnover by A. Horford (lost ball; steal by D. White),,54,48
3,10:33.0,,B. Forbes misses 2-pt layup from 3 ft,54,48
3,10:30.0,Defensive rebound by M. Morris,,54,48
3,10:26.0,Shooting foul by D. White (drawn by K. Irving),,54,48
3,10:26.0,K. Irving misses free throw 1 of 2,,54,48
3,10:26.0,Offensive rebound by Team,,54,48
3,10:26.0,K. Irving makes free throw 2 of 2,,55,48
3,10:09.0,,D. White makes 3-pt jump shot from 28 ft (assist by L. Aldridge),55,51
3,9:52.0,K. Irving makes 2-pt jump shot from 9 ft (assist by M. Smart),,57,51
3,9:37.0,,D. White makes 2-pt jump shot from 6 ft (assist by B. Forbes),57,53
3,9:24.0,A. Horford misses 2-pt jump shot from 21 ft,,57,53
3,9:21.0,,Defensive rebound by D. DeRozan,57,53
3,9:14.0,,L. Aldridge makes 2-pt jump shot from 3 ft (assist by D. DeRozan),57,55
3,9:14.0,Boston full timeout,,57,55
3,9:02.0,K. Irving makes 2-pt jump shot from 16 ft,,59,55
3,8:44.0,,L. Aldridge makes 2-pt jump shot from 11 ft,59,57
3,8:44.0,,Shooting foul by A. Horford (drawn by L. Aldridge),59,57
3,8:44.0,,L. Aldridge makes free throw 1 of 1,59,58
3,8:30.0,M. Morris makes 2-pt layup from 6 ft (assist by K. Irving),,61,58
3,8:11.0,,J. Poeltl makes 2-pt layup from 5 ft (assist by D. White),61,60
3,7:48.0,J. Tatum makes 2-pt jump shot from 19 ft (assist by K. Irving),,63,60
3,7:30.0,,L. Aldridge misses 2-pt jump shot from 19 ft,63,60
3,7:27.0,Defensive rebound by J. Tatum,,63,60
3,7:15.0,A. Horford makes 2-pt hook shot from 6 ft,,65,60
3,7:15.0,,San Antonio full timeout,65,60
3,7:15.0,,D. Bertāns enters the game for J. Poeltl,65,60
3,6:51.0,,D. Bertāns makes 3-pt jump shot from 24 ft (assist by D. DeRozan),65,63
3,6:32.0,J. Tatum misses 3-pt jump shot from 23 ft,,65,63
3,6:29.0,,Defensive rebound by L. Aldridge,65,63
3,6:23.0,,D. White makes 2-pt layup from 2 ft,65,65
3,6:13.0,K. Irving makes 2-pt layup from 4 ft,,67,65
3,5:59.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by D. White),67,67
3,5:49.0,K. Irving misses 2-pt jump shot from 9 ft (block by D. White),,67,67
3,5:45.0,,Defensive rebound by D. White,67,67
3,5:42.0,,D. DeRozan makes 2-pt layup from 15 ft,67,69
3,5:42.0,,Shooting foul by J. Tatum (drawn by D. DeRozan),67,69
3,5:42.0,J. Brown enters the game for A. Horford,,67,69
3,5:42.0,G. Hayward enters the game for M. Morris,,67,69
3,5:42.0,D. Theis enters the game for M. Smart,,67,69
3,5:42.0,,D. DeRozan makes free throw 1 of 1,67,70
3,5:33.0,K. Irving misses 3-pt jump shot from 27 ft,,67,70
3,5:30.0,,Defensive rebound by L. Aldridge,67,70
3,5:22.0,,B. Forbes makes 2-pt jump shot from 7 ft,67,72
3,4:57.0,J. Tatum misses 3-pt jump shot from 25 ft,,67,72
3,4:55.0,,Defensive rebound by D. White,67,72
3,4:49.0,,D. White makes 2-pt layup from 3 ft,67,74
3,4:49.0,Boston full timeout,,67,74
3,4:49.0,,M. Belinelli enters the game for B. Forbes,67,74
3,4:35.0,G. Hayward misses 2-pt jump shot from 19 ft,,67,74
3,4:32.0,,Defensive rebound by D. Bertāns,67,74
3,4:26.0,,D. DeRozan makes 2-pt layup from 6 ft,67,76
3,4:09.0,J. Brown misses 3-pt jump shot from 25 ft,,67,76
3,4:05.0,,Defensive rebound by D. Bertāns,67,76
3,3:53.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. White),67,78
3,3:41.0,D. Theis misses 2-pt jump shot from 11 ft,,67,78
3,3:37.0,,Defensive rebound by D. Bertāns,67,78
3,3:32.0,,L. Aldridge makes 2-pt layup from 6 ft (assist by D. DeRozan),67,80
3,3:32.0,,Shooting foul by D. Theis (drawn by L. Aldridge),67,80
3,3:32.0,T. Rozier enters the game for K. Irving,,67,80
3,3:32.0,,P. Mills enters the game for D. White,67,80
3,3:32.0,,L. Aldridge makes free throw 1 of 1,67,81
3,3:26.0,Personal foul by P. Mills (drawn by G. Hayward),,67,81
3,3:26.0,,J. Poeltl enters the game for L. Aldridge,67,81
3,3:20.0,J. Brown makes 2-pt layup from 6 ft (assist by G. Hayward),,69,81
3,3:13.0,,Personal foul by J. Tatum (drawn by P. Mills),69,81
3,2:58.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by D. DeRozan),69,84
3,2:41.0,G. Hayward misses 3-pt jump shot from 26 ft,,69,84
3,2:38.0,,Defensive rebound by D. DeRozan,69,84
3,2:29.0,,J. Poeltl misses 2-pt layup from 7 ft (block by J. Brown),69,84
3,2:23.0,,Offensive rebound by J. Poeltl,69,84
3,2:23.0,,J. Poeltl misses 2-pt layup from 1 ft,69,84
3,2:23.0,Defensive rebound by G. Hayward,,69,84
3,2:19.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by G. Hayward),,72,84
3,1:56.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by J. Poeltl),72,86
3,1:39.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Brown),,75,86
3,1:23.0,,Turnover by P. Mills (bad pass; steal by G. Hayward),75,86
3,1:18.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by J. Brown),,78,86
3,0:58.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by J. Poeltl),78,89
3,0:47.0,Shooting foul by D. Bertāns (drawn by J. Brown),,78,89
3,0:47.0,J. Brown makes free throw 1 of 2,,79,89
3,0:47.0,M. Smart enters the game for J. Tatum,,79,89
3,0:47.0,J. Brown makes free throw 2 of 2,,80,89
3,0:29.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by D. DeRozan),80,92
3,0:07.0,M. Smart makes 2-pt layup from 8 ft (assist by T. Rozier),,82,92
3,0:00.0,,D. DeRozan misses 2-pt jump shot from 13 ft,82,92
3,0:00.0,,Offensive rebound by Team,82,92
4,11:45.0,,M. Belinelli misses 3-pt jump shot from 26 ft,82,92
4,11:41.0,Defensive rebound by G. Hayward,,82,92
4,11:30.0,D. Theis misses 2-pt jump shot from 16 ft,,82,92
4,11:28.0,,Defensive rebound by M. Belinelli,82,92
4,11:23.0,,Turnover by M. Belinelli (out of bounds lost ball),82,92
4,11:23.0,,D. Cunningham enters the game for D. Bertāns,82,92
4,11:08.0,J. Brown misses 2-pt jump shot from 9 ft,,82,92
4,11:05.0,,Defensive rebound by M. Belinelli,82,92
4,10:55.0,,B. Forbes misses 2-pt jump shot from 8 ft,82,92
4,10:54.0,Defensive rebound by D. Theis,,82,92
4,10:52.0,J. Brown makes 2-pt dunk from 2 ft (assist by G. Hayward),,84,92
4,10:33.0,,P. Mills makes 2-pt layup from 3 ft (assist by J. Poeltl),84,94
4,10:22.0,T. Rozier misses 2-pt jump shot from 8 ft,,84,94
4,10:22.0,Offensive rebound by T. Rozier,,84,94
4,10:17.0,T. Rozier misses 2-pt layup at rim,,84,94
4,10:17.0,,Defensive rebound by D. Cunningham,84,94
4,10:04.0,,M. Belinelli misses 2-pt layup from 2 ft (block by D. Theis),84,94
4,9:59.0,Defensive rebound by J. Brown,,84,94
4,9:57.0,T. Rozier misses 3-pt jump shot from 25 ft,,84,94
4,9:53.0,,Defensive rebound by D. Cunningham,84,94
4,9:38.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by J. Poeltl),84,97
4,9:13.0,J. Brown misses 2-pt layup from 6 ft,,84,97
4,9:11.0,Offensive rebound by J. Brown,,84,97
4,9:08.0,J. Brown makes 2-pt jump shot from 8 ft,,86,97
4,9:08.0,,San Antonio full timeout,86,97
4,9:08.0,M. Morris enters the game for G. Hayward,,86,97
4,9:08.0,,L. Aldridge enters the game for J. Poeltl,86,97
4,8:47.0,,B. Forbes misses 3-pt jump shot from 28 ft,86,97
4,8:43.0,Defensive rebound by M. Smart,,86,97
4,8:24.0,D. Theis makes 2-pt jump shot from 11 ft (assist by M. Smart),,88,97
4,8:10.0,,L. Aldridge makes 2-pt jump shot from 7 ft,88,99
4,8:10.0,,Shooting foul by D. Theis (drawn by L. Aldridge),88,99
4,8:10.0,A. Horford enters the game for T. Rozier,,88,99
4,8:10.0,K. Irving enters the game for D. Theis,,88,99
4,8:10.0,,D. DeRozan enters the game for D. Cunningham,88,99
4,8:10.0,,D. White enters the game for P. Mills,88,99
4,8:10.0,,L. Aldridge makes free throw 1 of 1,88,100
4,7:56.0,M. Smart misses 3-pt jump shot from 27 ft,,88,100
4,7:53.0,Offensive rebound by A. Horford,,88,100
4,7:50.0,K. Irving makes 2-pt jump shot from 13 ft (assist by A. Horford),,90,100
4,7:37.0,,Turnover by L. Aldridge (bad pass; steal by K. Irving),90,100
4,7:33.0,K. Irving misses 3-pt jump shot from 28 ft,,90,100
4,7:32.0,Offensive rebound by Team,,90,100
4,7:32.0,,Loose ball foul by M. Belinelli (drawn by K. Irving),90,100
4,7:22.0,Shooting foul by M. Belinelli (drawn by J. Brown),,90,100
4,7:22.0,J. Brown misses free throw 1 of 2,,90,100
4,7:22.0,Offensive rebound by Team,,90,100
4,7:22.0,T. Rozier enters the game for K. Irving,,90,100
4,7:22.0,,D. Bertāns enters the game for M. Belinelli,90,100
4,7:22.0,J. Brown makes free throw 2 of 2,,91,100
4,7:03.0,,D. Bertāns makes 3-pt jump shot from 24 ft (assist by L. Aldridge),91,103
4,6:54.0,Turnover by M. Smart (bad pass; steal by D. DeRozan),,91,103
4,6:53.0,,Turnover by B. Forbes (lost ball; steal by M. Smart),91,103
4,6:52.0,Turnover by M. Smart (back court),,91,103
4,6:41.0,,Turnover by L. Aldridge (offensive foul),91,103
4,6:41.0,,Offensive foul by L. Aldridge (drawn by M. Morris),91,103
4,6:41.0,J. Tatum enters the game for M. Smart,,91,103
4,6:29.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Rozier),,94,103
4,6:04.0,,B. Forbes makes 2-pt jump shot from 18 ft (assist by D. DeRozan),94,105
4,5:55.0,J. Tatum makes 2-pt jump shot from 11 ft (assist by T. Rozier),,96,105
4,5:41.0,,D. Bertāns makes 3-pt jump shot from 28 ft (assist by D. DeRozan),96,108
4,5:21.0,Shooting foul by D. Bertāns (drawn by T. Rozier),,96,108
4,5:21.0,T. Rozier makes free throw 1 of 3,,97,108
4,5:21.0,T. Rozier makes free throw 2 of 3,,98,108
4,5:21.0,T. Rozier makes free throw 3 of 3,,99,108
4,5:03.0,,D. DeRozan misses 2-pt jump shot from 11 ft,99,108
4,4:59.0,Defensive rebound by A. Horford,,99,108
4,4:52.0,T. Rozier misses 3-pt jump shot from 27 ft,,99,108
4,4:49.0,,Defensive rebound by L. Aldridge,99,108
4,4:40.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. DeRozan),99,111
4,4:37.0,Boston full timeout,,99,111
4,4:37.0,K. Irving enters the game for T. Rozier,,99,111
4,4:19.0,K. Irving makes 2-pt jump shot from 14 ft,,101,111
4,4:03.0,,L. Aldridge makes 2-pt layup from 8 ft,101,113
4,3:49.0,M. Morris makes 2-pt layup from 4 ft,,103,113
4,3:32.0,,D. Bertāns makes 3-pt jump shot from 28 ft (assist by L. Aldridge),103,116
4,3:20.0,Personal foul by D. White (drawn by K. Irving),,103,116
4,3:09.0,A. Horford makes 2-pt dunk from 2 ft (assist by K. Irving),,105,116
4,2:45.0,,Turnover by B. Forbes (lost ball; steal by K. Irving),105,116
4,2:36.0,Turnover by K. Irving (bad pass; steal by D. Bertāns),,105,116
4,2:30.0,,Turnover by D. Bertāns (bad pass),105,116
