QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
2,11:18.0,F. Ntilikina misses 3-pt jump shot from 26 ft,,29,41
2,11:18.0,Offensive rebound by N. Vonleh,,29,41
2,11:18.0,N. Vonleh misses 2-pt layup from 1 ft,,29,41
2,11:18.0,,Defensive rebound by J. Butler,29,41
2,11:10.0,,J. Embiid makes 2-pt layup from 2 ft (assist by W. Chandler),29,43
2,11:10.0,,Shooting foul by N. Vonleh (drawn by J. Embiid),29,43
2,11:10.0,,J. Embiid makes free throw 1 of 1,29,44
2,10:59.0,T. Burke misses 2-pt jump shot from 22 ft,,29,44
2,10:55.0,,Defensive rebound by J. Redick,29,44
2,10:48.0,,T. McConnell makes 2-pt layup from 1 ft,29,46
2,10:37.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,29,46
2,10:35.0,,Defensive rebound by J. Embiid,29,46
2,10:30.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Embiid),29,49
2,10:21.0,New York full timeout,,29,49
2,10:05.0,Turnover by A. Trier (bad pass; steal by T. McConnell),,29,49
2,10:00.0,,Turnover by W. Chandler (bad pass; steal by K. Knox),29,49
2,9:48.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,29,49
2,9:44.0,,Defensive rebound by W. Chandler,29,49
2,9:25.0,,W. Chandler misses 2-pt jump shot from 9 ft,29,49
2,9:22.0,,Offensive rebound by W. Chandler,29,49
2,9:09.0,,J. Embiid misses 2-pt jump shot from 13 ft,29,49
2,9:07.0,Defensive rebound by K. Knox,,29,49
2,9:02.0,A. Trier misses 3-pt jump shot from 27 ft,,29,49
2,8:59.0,,Defensive rebound by J. Embiid,29,49
2,8:48.0,,J. Butler misses 2-pt jump shot from 18 ft,29,49
2,8:44.0,Defensive rebound by T. Burke,,29,49
2,8:41.0,Shooting foul by T. McConnell (drawn by T. Burke),,29,49
2,8:41.0,T. Burke makes free throw 1 of 2,,30,49
2,8:41.0,T. Hardaway enters the game for F. Ntilikina,,30,49
2,8:41.0,T. Burke makes free throw 2 of 2,,31,49
2,8:34.0,,Personal foul by N. Vonleh (drawn by J. Embiid),31,49
2,8:34.0,E. Freedom enters the game for N. Vonleh,,31,49
2,8:21.0,,J. Embiid misses 2-pt jump shot from 12 ft,31,49
2,8:19.0,Defensive rebound by A. Trier,,31,49
2,8:13.0,A. Trier misses 2-pt jump shot from 20 ft,,31,49
2,8:10.0,,Defensive rebound by J. Butler,31,49
2,8:03.0,,J. Butler makes 2-pt jump shot from 19 ft,31,51
2,7:44.0,E. Freedom misses 2-pt hook shot from 7 ft,,31,51
2,7:42.0,,Defensive rebound by J. Embiid,31,51
