QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
3,10:48.0,,R. Gay misses 2-pt jump shot from 16 ft,48,53
3,10:45.0,Defensive rebound by D. Jordan,,48,53
3,10:40.0,Personal foul by B. Forbes (drawn by D. Smith),,48,53
3,10:36.0,L. Dončić makes 3-pt jump shot from 26 ft,,51,53
3,10:33.0,,San Antonio full timeout,51,53
3,10:09.0,,B. Forbes misses 3-pt jump shot from 23 ft,51,53
3,10:09.0,Defensive rebound by L. Dončić,,51,53
3,10:09.0,Personal foul by D. Cunningham (drawn by L. Dončić),,51,53
3,9:56.0,W. Matthews misses 3-pt jump shot from 27 ft,,51,53
3,9:52.0,,Defensive rebound by R. Gay,51,53
3,9:43.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by L. Aldridge),51,56
3,9:25.0,W. Matthews misses 2-pt jump shot from 8 ft,,51,56
3,9:23.0,,Defensive rebound by R. Gay,51,56
3,9:14.0,,Turnover by R. Gay (lost ball; steal by H. Barnes),51,56
3,9:10.0,D. Smith makes 2-pt layup at rim,,53,56
3,8:48.0,,B. Forbes misses 3-pt jump shot from 26 ft,53,56
3,8:43.0,,Offensive rebound by L. Aldridge,53,56
3,8:36.0,,L. Aldridge misses 2-pt hook shot from 4 ft (block by D. Jordan),53,56
3,8:33.0,Defensive rebound by W. Matthews,,53,56
3,8:25.0,L. Dončić misses 2-pt jump shot from 6 ft,,53,56
3,8:21.0,Offensive rebound by L. Dončić,,53,56
3,8:21.0,L. Dončić makes 2-pt layup from 1 ft,,55,56
3,8:06.0,,D. Cunningham misses 2-pt jump shot from 10 ft,55,56
3,8:04.0,Defensive rebound by H. Barnes,,55,56
3,7:58.0,H. Barnes makes 2-pt jump shot from 3 ft,,57,56
3,7:46.0,,Turnover by B. Forbes (traveling),57,56
3,7:46.0,,M. Belinelli enters the game for D. Cunningham,57,56
3,7:33.0,Shooting foul by B. Forbes (drawn by D. Smith),,57,56
3,7:33.0,D. Smith makes free throw 1 of 2,,58,56
3,7:33.0,,D. Bertāns enters the game for L. Aldridge,58,56
3,7:33.0,,P. Gasol enters the game for B. Forbes,58,56
3,7:33.0,,P. Mills enters the game for R. Gay,58,56
3,7:33.0,D. Smith makes free throw 2 of 2,,59,56
3,7:23.0,,P. Gasol misses 2-pt jump shot from 23 ft,59,56
3,7:21.0,Defensive rebound by L. Dončić,,59,56
3,7:18.0,D. Smith misses 3-pt jump shot from 25 ft,,59,56
3,7:15.0,,Defensive rebound by P. Gasol,59,56
3,7:07.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by P. Gasol),59,58
3,7:07.0,,Shooting foul by D. Jordan (drawn by D. DeRozan),59,58
3,7:07.0,,D. DeRozan makes free throw 1 of 1,59,59
3,6:56.0,H. Barnes makes 2-pt jump shot from 10 ft,,61,59
3,6:40.0,,D. Bertāns misses 2-pt layup from 2 ft,61,59
3,6:38.0,Defensive rebound by D. Jordan,,61,59
3,6:34.0,H. Barnes makes 2-pt layup from 2 ft,,63,59
3,6:13.0,,M. Belinelli misses 3-pt jump shot from 25 ft,63,59
3,6:11.0,Defensive rebound by D. Jordan,,63,59
3,6:07.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,66,59
3,5:51.0,,D. DeRozan misses 3-pt jump shot from 25 ft,66,59
3,5:47.0,Defensive rebound by D. Jordan,,66,59
3,5:41.0,Turnover by D. Jordan (bad pass),,66,59
3,5:18.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),66,62
3,5:18.0,Dallas full timeout,,66,62
3,5:18.0,J. Barea enters the game for D. Smith,,66,62
3,5:04.0,L. Dončić misses 2-pt layup from 1 ft,,66,62
3,5:01.0,,Defensive rebound by P. Gasol,66,62
3,4:49.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),66,65
3,4:36.0,J. Barea makes 2-pt jump shot from 18 ft,,68,65
3,4:19.0,,P. Mills misses 3-pt jump shot from 25 ft,68,65
3,4:18.0,Defensive rebound by D. Jordan,,68,65
3,4:13.0,Shooting foul by P. Gasol (drawn by L. Dončić),,68,65
3,4:13.0,L. Dončić misses free throw 1 of 2,,68,65
3,4:13.0,Offensive rebound by Team,,68,65
3,4:13.0,M. Kleber enters the game for H. Barnes,,68,65
3,4:13.0,D. Powell enters the game for D. Jordan,,68,65
3,4:13.0,,R. Gay enters the game for D. DeRozan,68,65
3,4:13.0,L. Dončić makes free throw 2 of 2,,69,65
3,4:06.0,,Personal foul by J. Barea (drawn by P. Mills),69,65
3,4:06.0,J. Brunson enters the game for W. Matthews,,69,65
3,3:59.0,,M. Belinelli misses 2-pt jump shot from 16 ft,69,65
3,3:57.0,Defensive rebound by M. Kleber,,69,65
3,3:47.0,J. Barea misses 2-pt jump shot from 12 ft,,69,65
3,3:47.0,,Defensive rebound by P. Gasol,69,65
3,3:41.0,,Turnover by D. Bertāns (bad pass),69,65
3,3:28.0,L. Dončić makes 2-pt jump shot from 12 ft,,71,65
3,3:18.0,,M. Belinelli makes 2-pt jump shot from 22 ft (assist by P. Gasol),71,67
3,2:56.0,Turnover by L. Dončić (bad pass),,71,67
3,2:56.0,,B. Forbes enters the game for D. Bertāns,71,67
3,2:40.0,,R. Gay misses 2-pt jump shot from 21 ft,71,67
3,2:36.0,Defensive rebound by J. Barea,,71,67
3,2:33.0,Turnover by J. Barea (bad pass; steal by R. Gay),,71,67
3,2:13.0,,M. Belinelli makes 3-pt jump shot from 23 ft (assist by P. Gasol),71,70
3,1:48.0,J. Brunson misses 2-pt jump shot from 14 ft,,71,70
3,1:46.0,,Defensive rebound by R. Gay,71,70
3,1:41.0,,Offensive foul by R. Gay (drawn by J. Barea),71,70
3,1:41.0,,Turnover by R. Gay (offensive foul),71,70
3,1:27.0,J. Barea misses 3-pt jump shot from 26 ft,,71,70
3,1:23.0,,Defensive rebound by P. Gasol,71,70
3,1:15.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by P. Mills),71,73
3,1:15.0,Dallas full timeout,,71,73
3,1:15.0,D. Finney-Smith enters the game for L. Dončić,,71,73
3,1:07.0,Turnover by J. Brunson (bad pass; steal by R. Gay),,71,73
3,1:05.0,,Turnover by R. Gay (bad pass; steal by M. Kleber),71,73
3,1:03.0,Turnover by M. Kleber (lost ball; steal by P. Gasol),,71,73
3,0:57.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by R. Gay),71,76
3,0:49.0,J. Barea makes 3-pt jump shot from 25 ft,,74,76
3,0:33.0,,M. Belinelli misses 3-pt jump shot from 27 ft,74,76
3,0:31.0,Defensive rebound by J. Barea,,74,76
3,0:20.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,74,76
3,0:16.0,Offensive rebound by M. Kleber,,74,76
3,0:14.0,D. Powell misses 3-pt jump shot from 26 ft,,74,76
3,0:10.0,,Defensive rebound by P. Mills,74,76
3,0:03.0,,Personal foul by J. Barea (drawn by P. Gasol),74,76
3,0:03.0,W. Matthews enters the game for J. Barea,,74,76
3,0:01.0,,R. Gay misses 2-pt jump shot from 9 ft,74,76
3,0:01.0,,Offensive rebound by Team,74,76
4,11:50.0,Turnover by M. Kleber (bad pass; steal by M. Belinelli),,74,76
4,11:39.0,,B. Forbes misses 2-pt jump shot from 18 ft,74,76
4,11:37.0,Defensive rebound by M. Kleber,,74,76
4,11:30.0,J. Barea misses 2-pt jump shot from 16 ft,,74,76
4,11:28.0,Offensive rebound by Team,,74,76
4,11:25.0,M. Kleber misses 3-pt jump shot from 26 ft,,74,76
4,11:23.0,,Defensive rebound by M. Belinelli,74,76
4,11:09.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by B. Forbes),74,79
4,10:46.0,Personal foul by D. DeRozan (drawn by D. Powell),,74,79
4,10:41.0,Personal foul by B. Forbes (drawn by J. Barea),,74,79
4,10:33.0,J. Brunson misses 3-pt jump shot from 25 ft,,74,79
4,10:30.0,Offensive rebound by D. Finney-Smith,,74,79
4,10:29.0,D. Finney-Smith makes 2-pt jump shot from 16 ft,,76,79
4,10:07.0,,D. DeRozan makes 2-pt jump shot from 20 ft,76,81
4,9:52.0,D. Finney-Smith misses 2-pt layup from 2 ft,,76,81
4,9:51.0,Offensive rebound by D. Finney-Smith,,76,81
4,9:46.0,Shooting foul by L. Aldridge (drawn by J. Brunson),,76,81
4,9:46.0,J. Brunson makes free throw 1 of 2,,77,81
4,9:46.0,J. Brunson makes free throw 2 of 2,,78,81
4,9:34.0,,Shooting foul by D. Powell (drawn by L. Aldridge),78,81
4,9:34.0,D. Jordan enters the game for J. Barea,,78,81
4,9:34.0,W. Matthews enters the game for J. Brunson,,78,81
4,9:34.0,D. Smith enters the game for D. Powell,,78,81
4,9:34.0,,D. Bertāns enters the game for M. Belinelli,78,81
4,9:34.0,,D. Cunningham enters the game for B. Forbes,78,81
4,9:34.0,,P. Mills enters the game for R. Gay,78,81
4,9:34.0,,L. Aldridge makes free throw 1 of 2,78,82
4,9:34.0,,L. Aldridge makes free throw 2 of 2,78,83
4,9:18.0,M. Kleber misses 3-pt jump shot from 25 ft,,78,83
4,9:15.0,,Defensive rebound by L. Aldridge,78,83
4,9:07.0,,P. Mills misses 3-pt jump shot from 25 ft,78,83
4,9:05.0,Defensive rebound by D. Finney-Smith,,78,83
4,8:51.0,D. Smith makes 2-pt jump shot from 10 ft,,80,83
4,8:27.0,,D. DeRozan makes 2-pt jump shot from 19 ft,80,85
4,8:08.0,D. Smith misses 3-pt jump shot from 25 ft,,80,85
4,8:06.0,Offensive rebound by M. Kleber,,80,85
4,8:03.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by W. Matthews),,83,85
4,7:41.0,,Personal foul by W. Matthews (drawn by D. DeRozan),83,85
4,7:41.0,H. Barnes enters the game for D. Finney-Smith,,83,85
4,7:41.0,L. Dončić enters the game for M. Kleber,,83,85
4,7:32.0,,D. DeRozan misses 2-pt jump shot from 9 ft,83,85
4,7:27.0,,Offensive rebound by L. Aldridge,83,85
4,7:27.0,,L. Aldridge makes 2-pt layup at rim,83,87
4,7:15.0,Turnover by W. Matthews (lost ball; steal by D. DeRozan),,83,87
4,7:05.0,,D. DeRozan makes 2-pt jump shot from 12 ft,83,89
4,7:05.0,Dallas full timeout,,83,89
4,6:40.0,D. Smith makes 2-pt jump shot from 16 ft (assist by H. Barnes),,85,89
4,6:31.0,Violation by Team (kicked ball),,85,89
4,6:22.0,,D. DeRozan misses 2-pt jump shot from 17 ft,85,89
4,6:20.0,Defensive rebound by L. Dončić,,85,89
4,6:00.0,H. Barnes makes 2-pt jump shot from 10 ft,,87,89
4,5:46.0,,P. Mills makes 2-pt jump shot from 16 ft,87,91
4,5:32.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),,90,91
4,5:08.0,,D. Cunningham misses 3-pt jump shot from 23 ft,90,91
4,5:06.0,Defensive rebound by W. Matthews,,90,91
4,4:55.0,L. Dončić makes 2-pt jump shot from 17 ft,,92,91
4,4:55.0,,San Antonio full timeout,92,91
4,4:55.0,,M. Belinelli enters the game for D. Bertāns,92,91
4,4:55.0,,R. Gay enters the game for D. Cunningham,92,91
4,4:44.0,,Turnover by P. Mills (bad pass),92,91
4,4:32.0,H. Barnes misses 2-pt jump shot from 7 ft,,92,91
4,4:30.0,,Defensive rebound by R. Gay,92,91
4,4:11.0,,P. Mills makes 3-pt jump shot from 26 ft,92,94
4,3:54.0,L. Dončić misses 2-pt jump shot from 6 ft,,92,94
4,3:49.0,L. Dončić makes 2-pt layup from 1 ft,,94,94
4,3:49.0,Offensive rebound by L. Dončić,,94,94
4,3:33.0,,L. Aldridge misses 2-pt hook shot from 9 ft,94,94
4,3:31.0,Defensive rebound by D. Jordan,,94,94
4,3:24.0,Personal foul by M. Belinelli (drawn by W. Matthews),,94,94
4,3:17.0,L. Dončić makes 2-pt jump shot from 9 ft,,96,94
4,2:53.0,,D. DeRozan makes 2-pt jump shot from 9 ft,96,96
4,2:44.0,Personal foul by M. Belinelli (drawn by L. Dončić),,96,96
4,2:44.0,L. Dončić makes free throw 1 of 2,,97,96
