QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
1,5:43.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,14,11
1,5:40.0,,Defensive rebound by M. Gasol,14,11
1,5:21.0,,D. Brooks misses 2-pt layup at rim,14,11
1,5:18.0,,Offensive rebound by K. Anderson,14,11
1,5:17.0,,K. Anderson misses 2-pt layup from 1 ft,14,11
1,5:17.0,,Offensive rebound by D. Brooks,14,11
1,5:17.0,,D. Brooks misses 2-pt layup at rim,14,11
1,5:17.0,Defensive rebound by Team,,14,11
1,5:09.0,T. McConnell makes 2-pt layup from 1 ft (assist by B. Simmons),,16,11
1,4:55.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by S. Mack),16,14
1,4:54.0,Philadelphia full timeout,,16,14
1,4:54.0,,W. Selden enters the game for K. Anderson,16,14
1,4:46.0,L. Shamet makes 2-pt layup from 1 ft (assist by A. Johnson),,18,14
1,4:29.0,,M. Conley misses 3-pt jump shot from 26 ft,18,14
1,4:26.0,,Offensive rebound by S. Mack,18,14
1,4:26.0,,Turnover by S. Mack (lost ball; steal by F. Korkmaz),18,14
1,4:09.0,B. Simmons misses 2-pt jump shot from 14 ft,,18,14
1,4:05.0,Offensive rebound by F. Korkmaz,,18,14
1,4:05.0,,G. Temple enters the game for M. Conley,18,14
1,3:59.0,L. Shamet misses 3-pt jump shot from 26 ft,,18,14
1,3:56.0,,Defensive rebound by D. Brooks,18,14
1,3:43.0,,S. Mack makes 2-pt jump shot from 10 ft,18,16
1,3:36.0,Turnover by A. Johnson (bad pass),,18,16
1,3:36.0,J. Bolden enters the game for A. Johnson,,18,16
1,3:36.0,J. Embiid enters the game for B. Simmons,,18,16
1,3:36.0,,J. Jackson enters the game for M. Gasol,18,16
1,3:14.0,,J. Jackson misses 2-pt jump shot from 6 ft,18,16
1,3:11.0,Defensive rebound by J. Embiid,,18,16
1,3:00.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by J. Embiid),,21,16
1,2:46.0,,W. Selden makes 3-pt jump shot from 28 ft (assist by J. Jackson),21,19
1,2:26.0,J. Embiid misses 2-pt jump shot from 13 ft,,21,19
1,2:22.0,,Defensive rebound by D. Brooks,21,19
1,2:19.0,,Turnover by D. Brooks (bad pass; steal by L. Shamet),21,19
1,2:09.0,J. Embiid makes 2-pt layup at rim (assist by T. McConnell),,23,19
1,1:53.0,,S. Mack misses 3-pt jump shot from 25 ft,23,19
1,1:50.0,Defensive rebound by T. McConnell,,23,19
1,1:32.0,J. Embiid misses 2-pt hook shot from 6 ft,,23,19
1,1:29.0,,Defensive rebound by G. Temple,23,19
1,1:25.0,,J. Jackson misses 3-pt jump shot from 26 ft,23,19
1,1:22.0,Defensive rebound by F. Korkmaz,,23,19
1,1:16.0,Turnover by T. McConnell (bad pass; steal by S. Mack),,23,19
1,1:13.0,,Turnover by S. Mack (lost ball; steal by T. McConnell),23,19
1,1:13.0,Personal take foul by G. Temple (drawn by T. McConnell),,23,19
1,1:13.0,M. Fultz enters the game for T. McConnell,,23,19
1,1:13.0,J. Redick enters the game for L. Shamet,,23,19
1,1:13.0,,K. Anderson enters the game for G. Temple,23,19
1,1:04.0,J. Embiid misses 2-pt layup from 1 ft,,23,19
1,0:58.0,Offensive rebound by M. Fultz,,23,19
1,0:57.0,J. Bolden misses 2-pt jump shot from 11 ft,,23,19
1,0:54.0,,Defensive rebound by D. Brooks,23,19
1,0:52.0,,D. Brooks makes 2-pt jump shot from 5 ft,23,21
1,0:33.0,M. Fultz makes 2-pt dunk from 1 ft,,25,21
1,0:14.0,,J. Jackson misses 2-pt jump shot from 13 ft,25,21
1,0:08.0,Defensive rebound by J. Bolden,,25,21
1,0:03.0,Personal foul by D. Brooks (drawn by F. Korkmaz),,25,21
1,0:03.0,F. Korkmaz misses free throw 1 of 2,,25,21
1,0:03.0,Offensive rebound by Team,,25,21
1,0:03.0,F. Korkmaz makes free throw 2 of 2,,26,21
1,0:01.0,,Turnover by K. Anderson (bad pass; steal by J. Embiid),26,21
1,0:00.0,J. Embiid misses 3-pt jump shot from 26 ft,,26,21
1,0:00.0,Offensive rebound by Team,,26,21
2,11:42.0,,W. Selden misses 2-pt jump shot from 20 ft,26,21
2,11:38.0,Defensive rebound by J. Embiid,,26,21
2,11:21.0,M. Fultz misses 2-pt jump shot from 10 ft,,26,21
2,11:17.0,,Defensive rebound by I. Rabb,26,21
2,11:16.0,,Turnover by I. Rabb (lost ball; steal by F. Korkmaz),26,21
2,11:12.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),,29,21
2,10:53.0,,S. Mack makes 2-pt jump shot from 7 ft,29,23
2,10:39.0,Turnover by J. Embiid (bad pass; steal by S. Mack),,29,23
2,10:32.0,,S. Mack makes 2-pt jump shot from 11 ft,29,25
2,10:26.0,Personal take foul by W. Selden (drawn by M. Fultz),,29,25
2,10:26.0,T. McConnell enters the game for J. Redick,,29,25
2,10:26.0,,K. Anderson enters the game for D. Brooks,29,25
2,10:11.0,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by J. Embiid),,32,25
2,9:49.0,,W. Selden misses 3-pt jump shot from 23 ft,32,25
2,9:44.0,Defensive rebound by J. Bolden,,32,25
2,9:40.0,M. Fultz makes 2-pt layup from 1 ft (assist by F. Korkmaz),,34,25
2,9:31.0,,S. Mack misses 2-pt jump shot from 18 ft,34,25
2,9:26.0,Defensive rebound by J. Embiid,,34,25
2,9:21.0,Shooting foul by I. Rabb (drawn by J. Embiid),,34,25
2,9:21.0,,Memphis full timeout,34,25
2,9:21.0,,M. Brooks enters the game for S. Mack,34,25
2,9:21.0,,M. Conley enters the game for W. Selden,34,25
2,9:21.0,J. Embiid misses free throw 1 of 2,,34,25
2,9:21.0,Offensive rebound by Team,,34,25
2,9:21.0,J. Embiid makes free throw 2 of 2,,35,25
2,9:10.0,,I. Rabb makes 2-pt jump shot from 8 ft (assist by M. Conley),35,27
2,9:02.0,Shooting foul by J. Jackson (drawn by J. Embiid),,35,27
2,9:02.0,J. Embiid misses free throw 1 of 2,,35,27
2,9:02.0,Offensive rebound by Team,,35,27
2,9:02.0,J. Embiid makes free throw 2 of 2,,36,27
2,8:44.0,,Turnover by K. Anderson (bad pass; steal by J. Bolden),36,27
2,8:31.0,M. Fultz makes 2-pt jump shot from 19 ft,,38,27
2,8:18.0,,M. Conley makes 2-pt jump shot from 12 ft,38,29
2,8:18.0,,Shooting foul by T. McConnell (drawn by M. Conley),38,29
2,8:18.0,,M. Gasol enters the game for K. Anderson,38,29
2,8:18.0,,G. Temple enters the game for J. Jackson,38,29
2,8:18.0,,M. Conley misses free throw 1 of 1,38,29
2,8:18.0,Defensive rebound by J. Bolden,,38,29
2,7:56.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,38,29
2,7:53.0,,Defensive rebound by M. Brooks,38,29
2,7:47.0,,M. Brooks misses 2-pt jump shot from 21 ft,38,29
2,7:43.0,Defensive rebound by F. Korkmaz,,38,29
2,7:41.0,F. Korkmaz makes 2-pt dunk from 1 ft,,40,29
2,7:18.0,,Shooting foul by M. Fultz (drawn by M. Conley),40,29
2,7:18.0,,M. Conley makes free throw 1 of 3,40,30
2,7:18.0,,M. Conley makes free throw 2 of 3,40,31
2,7:18.0,A. Johnson enters the game for J. Bolden,,40,31
2,7:18.0,J. Redick enters the game for J. Embiid,,40,31
2,7:18.0,L. Shamet enters the game for M. Fultz,,40,31
2,7:18.0,B. Simmons enters the game for F. Korkmaz,,40,31
2,7:18.0,,W. Selden enters the game for I. Rabb,40,31
2,7:18.0,,M. Conley misses free throw 3 of 3,40,31
2,7:15.0,Defensive rebound by B. Simmons,,40,31
2,7:03.0,B. Simmons misses 2-pt jump shot from 8 ft,,40,31
2,7:00.0,Offensive rebound by B. Simmons,,40,31
2,6:51.0,A. Johnson misses 2-pt layup from 1 ft,,40,31
2,6:47.0,Offensive rebound by A. Johnson,,40,31
2,6:47.0,A. Johnson makes 2-pt layup from 1 ft,,42,31
2,6:37.0,,G. Temple makes 2-pt layup from 1 ft (assist by M. Gasol),42,33
2,6:22.0,A. Johnson makes 3-pt jump shot from 25 ft (assist by B. Simmons),,45,33
2,6:03.0,,M. Brooks makes 2-pt layup from 1 ft,45,35
2,5:52.0,T. McConnell misses 2-pt layup from 1 ft (block by M. Conley),,45,35
2,5:50.0,,Defensive rebound by M. Conley,45,35
2,5:42.0,,G. Temple makes 2-pt layup from 1 ft (assist by M. Brooks),45,37
2,5:25.0,J. Redick makes 2-pt jump shot from 19 ft (assist by T. McConnell),,47,37
2,5:16.0,,M. Brooks misses 3-pt jump shot from 26 ft,47,37
2,5:14.0,Defensive rebound by A. Johnson,,47,37
2,5:09.0,Personal foul by M. Conley (drawn by B. Simmons),,47,37
2,5:03.0,J. Redick makes 3-pt jump shot from 26 ft (assist by T. McConnell),,50,37
2,4:42.0,,Shooting foul by L. Shamet (drawn by M. Brooks),50,37
2,4:42.0,,M. Brooks makes free throw 1 of 3,50,38
2,4:42.0,,M. Brooks makes free throw 2 of 3,50,39
2,4:42.0,,M. Brooks makes free throw 3 of 3,50,40
2,4:33.0,J. Redick makes 3-pt jump shot from 26 ft,,53,40
2,4:15.0,,M. Brooks makes 2-pt layup from 8 ft,53,42
2,3:54.0,Turnover by B. Simmons (bad pass),,53,42
2,3:54.0,Loose ball foul by A. Johnson (drawn by G. Temple),,53,42
2,3:54.0,J. Embiid enters the game for A. Johnson,,53,42
2,3:54.0,,S. Mack enters the game for W. Selden,53,42
2,3:35.0,,G. Temple misses 3-pt jump shot from 26 ft,53,42
2,3:31.0,Defensive rebound by B. Simmons,,53,42
2,3:23.0,Shooting foul by M. Gasol (drawn by J. Embiid),,53,42
2,3:23.0,J. Embiid makes free throw 1 of 2,,54,42
2,3:23.0,,J. Jackson enters the game for G. Temple,54,42
2,3:23.0,J. Embiid makes free throw 2 of 2,,55,42
2,3:13.0,Violation by Team (kicked ball),,55,42
2,3:13.0,M. Fultz enters the game for T. McConnell,,55,42
2,3:08.0,,J. Jackson misses 3-pt jump shot from 25 ft,55,42
2,3:06.0,Defensive rebound by B. Simmons,,55,42
2,3:03.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,58,42
2,2:48.0,,M. Conley makes 2-pt layup from 3 ft,58,44
2,2:48.0,Philadelphia full timeout,,58,44
2,2:39.0,J. Redick misses 3-pt jump shot from 25 ft,,58,44
2,2:35.0,,Defensive rebound by M. Gasol,58,44
2,2:16.0,,M. Gasol misses 2-pt jump shot from 11 ft,58,44
2,2:11.0,,Offensive rebound by M. Brooks,58,44
2,2:11.0,,M. Brooks makes 2-pt layup at rim,58,46
2,2:07.0,M. Fultz makes 2-pt layup at rim (assist by B. Simmons),,60,46
2,1:46.0,,S. Mack misses 3-pt jump shot from 23 ft,60,46
2,1:43.0,Defensive rebound by J. Embiid,,60,46
2,1:38.0,L. Shamet misses 3-pt jump shot from 25 ft,,60,46
2,1:34.0,,Defensive rebound by S. Mack,60,46
2,1:18.0,,M. Gasol makes 2-pt jump shot from 11 ft,60,48
2,1:09.0,B. Simmons misses 2-pt layup from 1 ft,,60,48
2,1:06.0,,Defensive rebound by M. Gasol,60,48
2,0:56.0,,M. Gasol misses 2-pt jump shot from 8 ft,60,48
2,0:52.0,Defensive rebound by J. Embiid,,60,48
2,0:33.0,Personal foul by M. Gasol (drawn by J. Embiid),,60,48
2,0:33.0,J. Embiid makes free throw 1 of 2,,61,48
2,0:33.0,Technical foul by,,61,48
2,0:33.0,J. Redick makes technical free throw,,62,48
2,0:33.0,J. Embiid makes free throw 2 of 2,,63,48
2,0:13.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by M. Conley),63,50
2,0:09.0,L. Shamet misses 3-pt jump shot from 25 ft,,63,50
2,0:04.0,,Defensive rebound by J. Jackson,63,50
2,0:00.0,,S. Mack misses 2-pt jump shot from 19 ft,63,50
2,0:00.0,,Offensive rebound by Team,63,50
3,11:47.0,,M. Conley misses 3-pt jump shot from 26 ft,63,50
3,11:42.0,Defensive rebound by B. Simmons,,63,50
3,11:32.0,B. Simmons misses 2-pt hook shot from 5 ft,,63,50
3,11:29.0,,Defensive rebound by K. Anderson,63,50
3,11:24.0,,M. Gasol makes 3-pt jump shot from 27 ft (assist by K. Anderson),63,53
3,10:58.0,B. Simmons makes 2-pt layup from 1 ft (assist by L. Shamet),,65,53
3,10:49.0,,M. Conley makes 2-pt layup from 1 ft,65,55
3,10:36.0,Turnover by J. Embiid (out of bounds lost ball),,65,55
3,10:17.0,,G. Temple misses 2-pt layup from 1 ft (block by M. Fultz),65,55
3,10:12.0,,Offensive rebound by K. Anderson,65,55
3,10:12.0,,K. Anderson makes 2-pt layup from 6 ft,65,57
3,10:05.0,J. Redick misses 3-pt jump shot from 24 ft,,65,57
3,10:05.0,,Defensive rebound by K. Anderson,65,57
3,9:52.0,,M. Conley makes 2-pt layup from 2 ft,65,59
3,9:52.0,Philadelphia full timeout,,65,59
3,9:31.0,Turnover by L. Shamet (bad pass; steal by M. Conley),,65,59
3,9:23.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Gasol),65,61
3,9:23.0,Violation by Team (def goaltending),,65,61
3,8:59.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Embiid),,67,61
3,8:34.0,,M. Conley misses 3-pt jump shot from 25 ft,67,61
3,8:31.0,Defensive rebound by B. Simmons,,67,61
3,8:26.0,L. Shamet misses 3-pt jump shot from 23 ft,,67,61
3,8:23.0,,Defensive rebound by M. Gasol,67,61
3,8:06.0,,M. Conley makes 2-pt jump shot from 20 ft (assist by M. Gasol),67,63
3,7:42.0,Turnover by J. Redick (lost ball; steal by M. Conley),,67,63
3,7:34.0,,Personal foul by J. Redick (drawn by J. Jackson),67,63
3,7:24.0,,Turnover by M. Conley (bad pass; steal by M. Fultz),67,63
3,7:18.0,M. Fultz makes 2-pt layup from 3 ft,,69,63
3,7:18.0,Shooting foul by J. Jackson (drawn by M. Fultz),,69,63
3,7:18.0,A. Johnson enters the game for J. Embiid,,69,63
3,7:18.0,F. Korkmaz enters the game for J. Redick,,69,63
3,7:18.0,M. Fultz misses free throw 1 of 1,,69,63
3,7:18.0,,Defensive rebound by K. Anderson,69,63
3,7:18.0,T. McConnell enters the game for M. Fultz,,69,63
3,6:54.0,,M. Gasol misses 2-pt jump shot from 10 ft,69,63
3,6:50.0,Defensive rebound by A. Johnson,,69,63
3,6:43.0,Turnover by F. Korkmaz (traveling),,69,63
3,6:28.0,,M. Conley makes 2-pt jump shot from 10 ft,69,65
3,6:28.0,,Violation by Team (delay of game),69,65
3,6:14.0,L. Shamet misses 3-pt jump shot from 25 ft,,69,65
3,6:08.0,Offensive rebound by B. Simmons,,69,65
3,6:08.0,B. Simmons makes 2-pt dunk at rim,,71,65
3,5:56.0,,K. Anderson makes 2-pt layup from 1 ft,71,67
3,5:49.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,71,67
3,5:47.0,,Defensive rebound by Team,71,67
3,5:47.0,,M. Brooks enters the game for K. Anderson,71,67
3,5:47.0,,S. Mack enters the game for G. Temple,71,67
3,5:23.0,,M. Conley makes 3-pt jump shot from 26 ft,71,70
3,5:14.0,Turnover by T. McConnell (out of bounds lost ball),,71,70
3,4:51.0,,M. Gasol misses 3-pt jump shot from 25 ft,71,70
3,4:51.0,,Offensive rebound by Team,71,70
3,4:51.0,Loose ball foul by A. Johnson (drawn by J. Jackson),,71,70
3,4:51.0,,W. Selden enters the game for J. Jackson,71,70
3,4:44.0,,M. Conley makes 2-pt layup at rim (assist by M. Gasol),71,72
3,4:31.0,Turnover by L. Shamet (traveling),,71,72
3,4:21.0,,Personal foul by L. Shamet (drawn by M. Gasol),71,72
3,4:21.0,J. Embiid enters the game for A. Johnson,,71,72
3,4:21.0,,G. Temple enters the game for M. Conley,71,72
3,4:10.0,,M. Brooks misses 3-pt jump shot from 27 ft,71,72
3,4:06.0,Defensive rebound by J. Embiid,,71,72
3,3:56.0,T. McConnell makes 2-pt jump shot from 9 ft,,73,72
3,3:40.0,,Turnover by M. Brooks (offensive foul),73,72
3,3:40.0,,Offensive foul by M. Brooks (drawn by T. McConnell),73,72
3,3:26.0,Turnover by F. Korkmaz (traveling),,73,72
3,3:14.0,,Personal foul by J. Embiid (drawn by M. Gasol),73,72
3,3:14.0,J. Bolden enters the game for L. Shamet,,73,72
3,3:14.0,J. Redick enters the game for B. Simmons,,73,72
3,3:02.0,,M. Gasol misses 2-pt jump shot from 5 ft,73,72
3,2:59.0,Defensive rebound by J. Embiid,,73,72
3,2:51.0,J. Embiid makes 2-pt jump shot from 20 ft (assist by T. McConnell),,75,72
3,2:32.0,,G. Temple misses 2-pt layup from 9 ft,75,72
3,2:28.0,Defensive rebound by F. Korkmaz,,75,72
3,2:12.0,Offensive foul by J. Embiid (drawn by M. Brooks),,75,72
3,2:12.0,Turnover by J. Embiid (offensive foul),,75,72
3,2:12.0,,Memphis full timeout,75,72
3,2:12.0,,J. Jackson enters the game for M. Gasol,75,72
3,1:56.0,,M. Brooks misses 3-pt jump shot from 27 ft,75,72
3,1:54.0,Defensive rebound by J. Embiid,,75,72
3,1:38.0,J. Embiid misses 3-pt jump shot from 26 ft,,75,72
3,1:37.0,Offensive rebound by Team,,75,72
3,1:37.0,,Loose ball foul by W. Selden (drawn by J. Bolden),75,72
3,1:37.0,,K. Anderson enters the game for G. Temple,75,72
3,1:31.0,J. Embiid misses 2-pt layup from 2 ft (block by K. Anderson),,75,72
3,1:27.0,,Defensive rebound by K. Anderson,75,72
3,1:23.0,,Turnover by M. Brooks (lost ball; steal by J. Bolden),75,72
3,1:18.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. McConnell),,78,72
3,1:00.0,,J. Jackson misses 2-pt jump shot from 7 ft,78,72
3,0:57.0,,Offensive rebound by M. Brooks,78,72
3,0:51.0,,M. Brooks makes 2-pt jump shot from 6 ft,78,74
3,0:38.0,J. Redick makes 2-pt layup from 1 ft (assist by T. McConnell),,80,74
3,0:27.0,,M. Brooks misses 2-pt jump shot from 11 ft,80,74
3,0:25.0,Defensive rebound by J. Embiid,,80,74
3,0:07.0,J. Embiid misses 2-pt layup from 1 ft,,80,74
3,0:05.0,Offensive rebound by J. Embiid,,80,74
3,0:05.0,Turnover by J. Embiid (out of bounds lost ball),,80,74
4,11:41.0,T. McConnell makes 2-pt jump shot from 8 ft (assist by L. Shamet),,82,74
4,11:17.0,,S. Mack makes 2-pt layup from 1 ft,82,76
4,11:01.0,M. Fultz misses 2-pt jump shot from 11 ft (block by J. Jackson),,82,76
4,11:01.0,Offensive rebound by Team,,82,76
4,10:52.0,J. Embiid makes 2-pt jump shot from 22 ft,,84,76
4,10:32.0,,Turnover by M. Gasol (bad pass; steal by J. Bolden),84,76
4,10:26.0,M. Fultz makes 2-pt layup from 2 ft (assist by L. Shamet),,86,76
4,10:26.0,,Memphis full timeout,86,76
4,10:07.0,,J. Jackson misses 2-pt layup from 3 ft (block by T. McConnell),86,76
4,10:07.0,Defensive rebound by Team,,86,76
4,9:49.0,Turnover by T. McConnell (back court),,86,76
4,9:36.0,,M. Conley makes 3-pt jump shot from 27 ft,86,79
4,9:25.0,L. Shamet misses 3-pt jump shot from 25 ft,,86,79
4,9:21.0,,Defensive rebound by K. Anderson,86,79
4,9:07.0,,S. Mack makes 2-pt layup from 1 ft,86,81
4,8:59.0,Philadelphia full timeout,,86,81
4,8:59.0,A. Johnson enters the game for J. Bolden,,86,81
4,8:59.0,F. Korkmaz enters the game for J. Embiid,,86,81
4,8:59.0,B. Simmons enters the game for T. McConnell,,86,81
4,8:59.0,,M. Brooks enters the game for J. Jackson,86,81
4,8:59.0,,G. Temple enters the game for S. Mack,86,81
4,8:46.0,B. Simmons makes 2-pt jump shot from 9 ft (assist by F. Korkmaz),,88,81
4,8:33.0,,Personal foul by A. Johnson (drawn by M. Gasol),88,81
4,8:21.0,,M. Gasol misses 2-pt jump shot from 11 ft,88,81
4,8:17.0,Defensive rebound by M. Fultz,,88,81
4,8:02.0,Offensive foul by M. Fultz (drawn by M. Conley),,88,81
4,8:02.0,Turnover by M. Fultz (offensive foul),,88,81
4,7:43.0,,M. Conley makes 3-pt jump shot from 26 ft,88,84
4,7:24.0,,Loose ball foul by G. Temple (drawn by L. Shamet),88,84
4,7:24.0,,J. Jackson enters the game for M. Gasol,88,84
4,7:16.0,A. Johnson makes 2-pt dunk from 1 ft (assist by M. Fultz),,90,84
4,7:02.0,,Personal foul by A. Johnson (drawn by J. Jackson),90,84
4,6:53.0,,G. Temple makes 3-pt jump shot from 25 ft,90,87
4,6:33.0,B. Simmons misses 2-pt jump shot from 15 ft,,90,87
4,6:28.0,,Defensive rebound by M. Brooks,90,87
4,6:23.0,,Shooting foul by F. Korkmaz (drawn by J. Jackson),90,87
4,6:23.0,,J. Jackson misses free throw 1 of 2,90,87
4,6:23.0,,Offensive rebound by Team,90,87
4,6:23.0,T. McConnell enters the game for M. Fultz,,90,87
4,6:23.0,J. Redick enters the game for L. Shamet,,90,87
4,6:23.0,,S. Mack enters the game for M. Brooks,90,87
4,6:23.0,,J. Jackson makes free throw 2 of 2,90,88
4,6:14.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,90,88
4,6:11.0,,Defensive rebound by G. Temple,90,88
4,6:07.0,,G. Temple makes 3-pt jump shot from 26 ft,90,91
4,5:46.0,B. Simmons makes 2-pt layup from 1 ft,,92,91
4,5:31.0,,G. Temple misses 2-pt jump shot from 15 ft,92,91
4,5:28.0,Defensive rebound by A. Johnson,,92,91
4,5:11.0,J. Redick misses 2-pt jump shot from 18 ft,,92,91
4,5:07.0,,Defensive rebound by M. Conley,92,91
4,5:02.0,,Shooting foul by A. Johnson (drawn by J. Jackson),92,91
4,5:02.0,,J. Jackson makes free throw 1 of 2,92,92
4,5:02.0,J. Embiid enters the game for A. Johnson,,92,92
4,5:02.0,L. Shamet enters the game for F. Korkmaz,,92,92
4,5:02.0,,J. Jackson makes free throw 2 of 2,92,93
4,5:02.0,,M. Gasol enters the game for J. Jackson,92,93
4,4:47.0,B. Simmons makes 2-pt layup from 9 ft,,94,93
4,4:25.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),94,96
4,4:03.0,Shooting foul by M. Conley (drawn by T. McConnell),,94,96
4,4:03.0,T. McConnell makes free throw 1 of 2,,95,96
4,4:03.0,T. McConnell makes free throw 2 of 2,,96,96
4,3:41.0,,S. Mack makes 2-pt layup at rim,96,98
4,3:39.0,Philadelphia full timeout,,96,98
4,3:32.0,B. Simmons misses 2-pt layup from 2 ft,,96,98
4,3:29.0,,Defensive rebound by M. Gasol,96,98
4,3:17.0,,M. Conley misses 3-pt jump shot from 26 ft,96,98
4,3:10.0,Defensive rebound by B. Simmons,,96,98
4,3:07.0,Turnover by B. Simmons (lost ball; steal by G. Temple),,96,98
4,3:01.0,,M. Conley misses 2-pt layup from 2 ft,96,98
4,2:58.0,,Offensive rebound by K. Anderson,96,98
4,2:52.0,,M. Gasol misses 3-pt jump shot from 26 ft,96,98
4,2:48.0,Defensive rebound by B. Simmons,,96,98
4,2:35.0,T. McConnell makes 2-pt jump shot from 8 ft,,98,98
4,2:06.0,,M. Conley misses 2-pt layup from 1 ft,98,98
4,2:04.0,Defensive rebound by J. Embiid,,98,98
4,2:00.0,T. McConnell makes 2-pt layup from 1 ft (assist by B. Simmons),,100,98
4,2:00.0,,Memphis full timeout,100,98
4,2:00.0,,M. Brooks enters the game for K. Anderson,100,98
4,1:45.0,,M. Conley misses 2-pt jump shot from 6 ft,100,98
4,1:42.0,,Offensive rebound by M. Gasol,100,98
