QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
2,9:39.0,,Shooting foul by E. Sumner (drawn by J. Smith),33,36
2,9:39.0,,J. Smith makes free throw 1 of 3,33,37
2,9:39.0,,J. Smith makes free throw 2 of 3,33,38
2,9:39.0,,J. Smith makes free throw 3 of 3,33,39
2,9:31.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,33,39
2,9:28.0,,Defensive rebound by J. Smith,33,39
2,9:23.0,,J. Clarkson misses 3-pt jump shot from 25 ft,33,39
2,9:20.0,Defensive rebound by D. Sabonis,,33,39
2,9:08.0,D. Sabonis makes 2-pt layup at rim (assist by D. McDermott),,35,39
2,8:59.0,,Turnover by C. Sexton (bad pass; steal by C. Joseph),35,39
2,8:56.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by C. Joseph),,37,39
2,8:56.0,,Cleveland full timeout,37,39
2,8:56.0,V. Oladipo enters the game for D. McDermott,,37,39
2,8:56.0,T. Young enters the game for E. Sumner,,37,39
2,8:56.0,,R. Hood enters the game for J. Smith,37,39
2,8:33.0,,C. Sexton misses 2-pt jump shot from 10 ft,37,39
2,8:30.0,,Offensive rebound by L. Nance,37,39
2,8:26.0,,L. Nance makes 2-pt jump shot from 10 ft (assist by R. Hood),37,41
2,8:05.0,D. Sabonis makes 2-pt hook shot from 14 ft,,39,41
2,7:43.0,,Shooting foul by C. Joseph (drawn by L. Nance),39,41
2,7:43.0,,L. Nance makes free throw 1 of 2,39,42
2,7:43.0,D. Collison enters the game for B. Bogdanović,,39,42
2,7:43.0,,L. Nance makes free throw 2 of 2,39,43
2,7:27.0,D. Sabonis misses 2-pt hook shot from 9 ft,,39,43
2,7:25.0,,Defensive rebound by R. Hood,39,43
2,7:16.0,,Turnover by K. Korver (bad pass; steal by C. Joseph),39,43
2,7:12.0,V. Oladipo makes 2-pt layup from 2 ft (assist by C. Joseph),,41,43
2,7:07.0,,Turnover by K. Korver (bad pass; steal by D. Collison),41,43
2,7:03.0,D. Collison makes 2-pt layup from 2 ft,,43,43
2,6:57.0,,C. Sexton misses 2-pt jump shot from 19 ft,43,43
2,6:57.0,Defensive rebound by Team,,43,43
2,6:57.0,,G. Hill enters the game for K. Korver,43,43
2,6:57.0,,C. Osman enters the game for C. Sexton,43,43
2,6:45.0,D. Collison misses 2-pt jump shot from 12 ft,,43,43
2,6:43.0,,Defensive rebound by L. Nance,43,43
2,6:39.0,,Turnover by R. Hood (lost ball; steal by T. Young),43,43
2,6:38.0,Personal foul by L. Nance (drawn by D. Sabonis),,43,43
2,6:38.0,M. Turner enters the game for D. Sabonis,,43,43
2,6:38.0,,S. Dekker enters the game for J. Clarkson,43,43
2,6:29.0,Shooting foul by C. Osman (drawn by V. Oladipo),,43,43
2,6:29.0,V. Oladipo makes free throw 1 of 2,,44,43
2,6:29.0,V. Oladipo misses free throw 2 of 2,,44,43
2,6:27.0,,Defensive rebound by S. Dekker,44,43
2,6:10.0,,Turnover by C. Osman (bad pass; steal by D. Collison),44,43
2,6:06.0,V. Oladipo makes 2-pt dunk from 2 ft (assist by D. Collison),,46,43
2,5:46.0,,G. Hill misses 3-pt jump shot from 26 ft,46,43
2,5:44.0,Defensive rebound by Team,,46,43
2,5:32.0,V. Oladipo makes 2-pt jump shot from 19 ft,,48,43
2,5:25.0,,Cleveland full timeout,48,43
2,5:11.0,,S. Dekker misses 2-pt jump shot from 13 ft,48,43
2,5:08.0,Defensive rebound by D. Collison,,48,43
2,5:03.0,Turnover by M. Turner (traveling),,48,43
2,4:44.0,,S. Dekker misses 2-pt jump shot from 23 ft,48,43
2,4:41.0,Defensive rebound by V. Oladipo,,48,43
2,4:32.0,T. Young misses 2-pt hook shot from 13 ft,,48,43
2,4:31.0,,Defensive rebound by R. Hood,48,43
2,4:25.0,,R. Hood makes 2-pt jump shot from 14 ft,48,45
2,4:25.0,,Violation by Team (delay of game),48,45
2,4:10.0,M. Turner misses 2-pt jump shot from 16 ft,,48,45
2,4:06.0,,Defensive rebound by L. Nance,48,45
2,3:57.0,,Turnover by C. Osman (bad pass; steal by V. Oladipo),48,45
2,3:55.0,Shooting foul by G. Hill (drawn by D. Collison),,48,45
2,3:55.0,D. Collison makes free throw 1 of 2,,49,45
2,3:55.0,B. Bogdanović enters the game for C. Joseph,,49,45
2,3:55.0,,T. Thompson enters the game for L. Nance,49,45
2,3:55.0,D. Collison makes free throw 2 of 2,,50,45
2,3:43.0,,Personal foul by D. Collison (drawn by G. Hill),50,45
2,3:33.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by S. Dekker),50,48
2,3:18.0,B. Bogdanović makes 2-pt layup from 2 ft,,52,48
2,3:02.0,,Turnover by C. Osman (bad pass),52,48
2,2:46.0,M. Turner makes 2-pt jump shot from 22 ft (assist by V. Oladipo),,54,48
2,2:35.0,,G. Hill misses 2-pt layup from 1 ft (block by M. Turner),54,48
2,2:31.0,,Offensive rebound by T. Thompson,54,48
2,2:30.0,,T. Thompson makes 2-pt layup at rim,54,50
2,2:13.0,T. Young makes 2-pt layup from 3 ft,,56,50
2,1:44.0,,G. Hill makes 2-pt jump shot from 15 ft,56,52
2,1:24.0,T. Young makes 2-pt layup from 2 ft,,58,52
2,1:07.0,,R. Hood makes 3-pt jump shot from 29 ft (assist by C. Osman),58,55
2,0:49.0,Turnover by B. Bogdanović (bad pass; steal by R. Hood),,58,55
2,0:43.0,,C. Osman misses 2-pt layup from 2 ft (block by M. Turner),58,55
2,0:39.0,,Offensive rebound by T. Thompson,58,55
2,0:37.0,,Turnover by T. Thompson (bad pass; steal by T. Young),58,55
2,0:35.0,D. Collison misses 2-pt layup from 2 ft,,58,55
2,0:30.0,Offensive rebound by V. Oladipo,,58,55
2,0:30.0,V. Oladipo makes 2-pt layup at rim,,60,55
2,0:14.0,,R. Hood misses 3-pt jump shot from 26 ft,60,55
2,0:12.0,,Offensive rebound by T. Thompson,60,55
2,0:00.0,,R. Hood misses 2-pt jump shot from 12 ft,60,55
2,0:00.0,,Offensive rebound by Team,60,55
3,11:41.0,,T. Thompson misses 2-pt jump shot from 11 ft,60,55
3,11:36.0,,Offensive rebound by S. Dekker,60,55
3,11:36.0,,S. Dekker makes 2-pt layup at rim,60,57
3,11:25.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by M. Turner),,62,57
3,11:25.0,Shooting foul by S. Dekker (drawn by B. Bogdanović),,62,57
3,11:25.0,B. Bogdanović makes free throw 1 of 1,,63,57
3,11:08.0,,G. Hill misses 2-pt layup from 2 ft (block by M. Turner),63,57
3,11:04.0,,Offensive rebound by G. Hill,63,57
3,11:04.0,,C. Osman misses 3-pt jump shot from 27 ft,63,57
3,11:04.0,Defensive rebound by Team,,63,57
3,10:52.0,V. Oladipo misses 2-pt jump shot from 18 ft,,63,57
3,10:50.0,,Defensive rebound by R. Hood,63,57
3,10:45.0,,S. Dekker misses 2-pt layup from 1 ft,63,57
3,10:39.0,,Offensive rebound by T. Thompson,63,57
3,10:39.0,,T. Thompson makes 2-pt layup at rim,63,59
3,10:32.0,B. Bogdanović misses 2-pt layup from 2 ft,,63,59
3,10:29.0,,Defensive rebound by C. Osman,63,59
3,10:27.0,,Turnover by C. Osman (bad pass; steal by V. Oladipo),63,59
3,10:25.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),,65,59
3,10:03.0,,R. Hood makes 2-pt jump shot from 3 ft,65,61
3,9:52.0,M. Turner makes 2-pt layup at rim (assist by V. Oladipo),,67,61
3,9:29.0,,C. Osman misses 3-pt jump shot from 26 ft,67,61
3,9:29.0,Defensive rebound by Team,,67,61
3,9:29.0,,Loose ball foul by T. Thompson (drawn by M. Turner),67,61
3,9:16.0,M. Turner makes 2-pt jump shot from 17 ft (assist by D. Collison),,69,61
3,9:15.0,,Cleveland full timeout,69,61
3,8:51.0,,R. Hood misses 3-pt jump shot from 30 ft,69,61
3,8:47.0,Defensive rebound by T. Young,,69,61
3,8:27.0,T. Young makes 2-pt hook shot from 15 ft,,71,61
3,8:11.0,,R. Hood makes 2-pt jump shot from 14 ft,71,63
3,7:46.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by D. Collison),,74,63
3,7:18.0,,G. Hill misses 2-pt jump shot from 14 ft,74,63
3,7:18.0,,Offensive rebound by Team,74,63
3,7:18.0,,Turnover by Team (shot clock),74,63
3,7:04.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),,77,63
3,6:53.0,,G. Hill makes 2-pt layup from 1 ft,77,65
3,6:34.0,T. Young misses 2-pt hook shot from 9 ft,,77,65
3,6:34.0,Offensive rebound by Team,,77,65
3,6:34.0,,Loose ball foul by G. Hill (drawn by M. Turner),77,65
3,6:29.0,V. Oladipo misses 2-pt jump shot from 11 ft (block by G. Hill),,77,65
3,6:29.0,Offensive rebound by Team,,77,65
3,6:16.0,D. Collison misses 2-pt jump shot from 20 ft,,77,65
3,6:14.0,,Defensive rebound by R. Hood,77,65
3,6:09.0,,Def 3 sec tech foul by Team,77,65
3,6:09.0,,G. Hill makes technical free throw,77,66
3,5:54.0,,R. Hood misses 3-pt jump shot from 26 ft,77,66
3,5:52.0,Defensive rebound by T. Young,,77,66
3,5:47.0,D. Collison makes 2-pt jump shot from 20 ft (assist by V. Oladipo),,79,66
3,5:35.0,,C. Osman misses 3-pt jump shot from 27 ft,79,66
3,5:33.0,Defensive rebound by D. Collison,,79,66
3,5:12.0,V. Oladipo makes 2-pt layup from 1 ft,,81,66
3,5:12.0,,Cleveland full timeout,81,66
3,5:12.0,,L. Nance enters the game for S. Dekker,81,66
3,5:12.0,,D. Nwaba enters the game for T. Thompson,81,66
3,5:01.0,,G. Hill makes 2-pt layup from 2 ft,81,68
3,5:01.0,Violation by Team (def goaltending),,81,68
3,4:48.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,81,68
3,4:44.0,,Defensive rebound by L. Nance,81,68
3,4:38.0,,R. Hood makes 2-pt dunk from 1 ft (assist by L. Nance),81,70
3,4:38.0,Indiana full timeout,,81,70
3,4:38.0,C. Joseph enters the game for B. Bogdanović,,81,70
3,4:38.0,,C. Sexton enters the game for C. Osman,81,70
3,4:17.0,M. Turner misses 2-pt jump shot from 13 ft,,81,70
3,4:10.0,Offensive rebound by M. Turner,,81,70
3,4:10.0,M. Turner makes 2-pt layup from 1 ft,,83,70
3,4:04.0,,L. Nance makes 2-pt layup at rim (assist by R. Hood),83,72
3,4:04.0,,Shooting foul by V. Oladipo (drawn by L. Nance),83,72
3,4:04.0,,L. Nance makes free throw 1 of 1,83,73
3,3:48.0,M. Turner misses 3-pt jump shot from 24 ft,,83,73
3,3:44.0,,Defensive rebound by D. Nwaba,83,73
3,3:39.0,,Turnover by G. Hill (lost ball; steal by V. Oladipo),83,73
3,3:26.0,T. Young misses 2-pt jump shot from 9 ft,,83,73
3,3:24.0,,Defensive rebound by L. Nance,83,73
3,3:11.0,,Personal foul by V. Oladipo (drawn by R. Hood),83,73
3,3:11.0,D. McDermott enters the game for D. Collison,,83,73
3,3:11.0,D. Sabonis enters the game for T. Young,,83,73
3,3:11.0,,J. Clarkson enters the game for G. Hill,83,73
3,3:11.0,,K. Korver enters the game for R. Hood,83,73
3,3:02.0,,J. Clarkson makes 2-pt jump shot from 20 ft (assist by L. Nance),83,75
3,2:50.0,V. Oladipo misses 2-pt jump shot from 18 ft,,83,75
3,2:46.0,,Defensive rebound by L. Nance,83,75
3,2:37.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by J. Clarkson),83,77
3,2:11.0,D. Sabonis makes 2-pt layup from 2 ft (assist by V. Oladipo),,85,77
3,2:00.0,,Personal foul by D. McDermott (drawn by K. Korver),85,77
3,2:00.0,B. Bogdanović enters the game for M. Turner,,85,77
3,1:49.0,,L. Nance misses 2-pt layup from 7 ft,85,77
3,1:48.0,,Offensive rebound by L. Nance,85,77
3,1:43.0,,C. Sexton misses 2-pt jump shot from 16 ft,85,77
3,1:40.0,Defensive rebound by C. Joseph,,85,77
3,1:31.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,85,77
3,1:29.0,,Defensive rebound by L. Nance,85,77
3,1:19.0,,L. Nance makes 2-pt jump shot from 16 ft (assist by C. Sexton),85,79
3,0:57.0,Shooting foul by L. Nance (drawn by D. Sabonis),,85,79
3,0:57.0,D. Sabonis makes free throw 1 of 2,,86,79
3,0:57.0,D. Collison enters the game for V. Oladipo,,86,79
3,0:57.0,D. Sabonis makes free throw 2 of 2,,87,79
3,0:35.0,,C. Sexton misses 2-pt jump shot from 21 ft,87,79
3,0:35.0,Defensive rebound by Team,,87,79
3,0:35.0,,Loose ball foul by L. Nance (drawn by B. Bogdanović),87,79
3,0:35.0,B. Bogdanović makes free throw 1 of 2,,88,79
3,0:35.0,B. Bogdanović misses free throw 2 of 2,,88,79
3,0:34.0,,Defensive rebound by L. Nance,88,79
3,0:26.0,,Shooting foul by D. Collison (drawn by C. Sexton),88,79
3,0:26.0,,C. Sexton makes free throw 1 of 2,88,80
3,0:26.0,,C. Sexton makes free throw 2 of 2,88,81
3,0:03.0,Turnover by D. Collison (lost ball; steal by C. Sexton),,88,81
3,0:03.0,,Personal foul by D. Collison (drawn by C. Sexton),88,81
3,0:03.0,,C. Sexton makes free throw 1 of 2,88,82
3,0:03.0,,C. Sexton makes free throw 2 of 2,88,83
4,11:41.0,Shooting foul by C. Sexton (drawn by D. McDermott),,88,83
4,11:41.0,D. McDermott makes free throw 1 of 3,,89,83
4,11:41.0,D. McDermott makes free throw 2 of 3,,90,83
4,11:41.0,D. McDermott makes free throw 3 of 3,,91,83
4,11:26.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by C. Sexton),91,86
4,11:14.0,C. Joseph makes 2-pt layup at rim,,93,86
4,10:58.0,,L. Nance misses 2-pt jump shot from 18 ft,93,86
4,10:55.0,Defensive rebound by D. Sabonis,,93,86
4,10:37.0,Turnover by D. Sabonis (lost ball; steal by L. Nance),,93,86
4,10:31.0,,D. Nwaba misses 2-pt layup from 2 ft,93,86
4,10:29.0,,Offensive rebound by L. Nance,93,86
4,10:26.0,,L. Nance makes 2-pt layup from 1 ft,93,88
4,10:03.0,D. McDermott makes 2-pt layup at rim (assist by D. Collison),,95,88
4,9:50.0,,K. Korver misses 3-pt jump shot from 26 ft,95,88
4,9:48.0,Defensive rebound by C. Joseph,,95,88
4,9:32.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,97,88
4,9:17.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),97,91
4,9:01.0,D. Collison makes 2-pt layup from 1 ft,,99,91
4,8:47.0,,J. Clarkson misses 3-pt jump shot from 25 ft,99,91
4,8:45.0,Defensive rebound by B. Bogdanović,,99,91
4,8:39.0,Personal foul by L. Nance (drawn by D. Sabonis),,99,91
4,8:39.0,,C. Osman enters the game for D. Nwaba,99,91
4,8:31.0,D. Collison makes 2-pt jump shot from 21 ft,,101,91
4,8:29.0,,Cleveland full timeout,101,91
4,8:29.0,V. Oladipo enters the game for B. Bogdanović,,101,91
4,8:29.0,T. Young enters the game for D. Collison,,101,91
4,8:13.0,,J. Clarkson misses 2-pt layup from 2 ft,101,91
4,8:11.0,Defensive rebound by D. Sabonis,,101,91
4,8:11.0,,R. Hood enters the game for K. Korver,101,91
4,7:50.0,V. Oladipo makes 2-pt jump shot from 21 ft (assist by T. Young),,103,91
4,7:22.0,,C. Osman misses 3-pt jump shot from 27 ft,103,91
4,7:22.0,,Offensive rebound by Team,103,91
4,7:22.0,,Turnover by Team (shot clock),103,91
4,7:02.0,D. Sabonis makes 2-pt layup from 2 ft,,105,91
4,6:44.0,,R. Hood makes 2-pt jump shot from 15 ft,105,93
4,6:24.0,C. Joseph makes 2-pt layup from 1 ft (assist by D. Sabonis),,107,93
4,6:04.0,,L. Nance makes 2-pt jump shot from 18 ft (assist by C. Sexton),107,95
4,5:44.0,Shooting foul by J. Clarkson (drawn by V. Oladipo),,107,95
4,5:44.0,V. Oladipo misses free throw 1 of 2,,107,95
4,5:44.0,Offensive rebound by Team,,107,95
4,5:44.0,,G. Hill enters the game for L. Nance,107,95
4,5:44.0,,T. Thompson enters the game for C. Sexton,107,95
4,5:44.0,V. Oladipo misses free throw 2 of 2,,107,95
4,5:41.0,,Defensive rebound by J. Clarkson,107,95
4,5:21.0,,R. Hood makes 2-pt jump shot from 20 ft,107,97
4,5:21.0,Indiana full timeout,,107,97
4,5:21.0,B. Bogdanović enters the game for D. McDermott,,107,97
4,5:11.0,Shooting foul by T. Thompson (drawn by V. Oladipo),,107,97
4,5:11.0,V. Oladipo makes free throw 1 of 2,,108,97
4,5:11.0,V. Oladipo misses free throw 2 of 2,,108,97
4,5:09.0,,Defensive rebound by C. Osman,108,97
4,4:53.0,,R. Hood misses 3-pt jump shot from 26 ft,108,97
4,4:51.0,Defensive rebound by C. Joseph,,108,97
4,4:38.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),,110,97
4,4:27.0,,Def 3 sec tech foul by Team,110,97
4,4:27.0,,G. Hill makes technical free throw,110,98
4,4:14.0,,J. Clarkson misses 2-pt layup from 2 ft,110,98
4,4:10.0,Defensive rebound by D. Sabonis,,110,98
4,3:58.0,V. Oladipo makes 3-pt jump shot from 27 ft (assist by T. Young),,113,98
4,3:35.0,,G. Hill misses 3-pt jump shot from 25 ft,113,98
4,3:33.0,Defensive rebound by C. Joseph,,113,98
4,3:28.0,,Violation by Team (kicked ball),113,98
4,3:28.0,,C. Sexton enters the game for J. Clarkson,113,98
4,3:28.0,Indiana full timeout,,113,98
4,3:28.0,,A. Žižić enters the game for T. Thompson,113,98
4,3:10.0,Turnover by T. Young (bad pass; steal by G. Hill),,113,98
4,2:53.0,,C. Osman misses 2-pt layup from 2 ft,113,98
4,2:53.0,,Offensive rebound by A. Žižić,113,98
4,2:53.0,,Shooting foul by B. Bogdanović (drawn by A. Žižić),113,98
4,2:53.0,,A. Žižić misses free throw 1 of 2,113,98
4,2:53.0,,Offensive rebound by Team,113,98
4,2:53.0,M. Turner enters the game for D. Sabonis,,113,98
4,2:53.0,,A. Žižić makes free throw 2 of 2,113,99
4,2:41.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by C. Joseph),,115,99
4,2:30.0,,C. Sexton makes 2-pt jump shot from 18 ft,115,101
4,2:14.0,V. Oladipo misses 3-pt jump shot from 27 ft,,115,101
4,2:11.0,,Defensive rebound by R. Hood,115,101
4,2:03.0,,C. Sexton misses 3-pt jump shot from 26 ft,115,101
4,2:00.0,Defensive rebound by B. Bogdanović,,115,101
4,1:47.0,T. Young makes 2-pt hook shot from 12 ft,,117,101
4,1:47.0,,Cleveland full timeout,117,101
4,1:47.0,A. Holiday enters the game for B. Bogdanović,,117,101
4,1:47.0,D. McDermott enters the game for V. Oladipo,,117,101
4,1:47.0,,S. Dekker enters the game for G. Hill,117,101
4,1:47.0,,D. Nwaba enters the game for R. Hood,117,101
4,1:41.0,,C. Sexton makes 2-pt layup from 2 ft,117,103
4,1:41.0,,Shooting foul by M. Turner (drawn by C. Sexton),117,103
4,1:41.0,,C. Sexton makes free throw 1 of 1,117,104
4,1:28.0,Turnover by D. McDermott (traveling),,117,104
4,1:28.0,A. Johnson enters the game for M. Turner,,117,104
4,1:28.0,T. Leaf enters the game for T. Young,,117,104
4,1:13.0,,C. Sexton misses 2-pt jump shot from 20 ft,117,104
4,1:11.0,Defensive rebound by C. Joseph,,117,104
4,1:03.0,Personal foul by A. Žižić (drawn by A. Johnson),,117,104
4,1:03.0,A. Johnson misses free throw 1 of 2,,117,104
