QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
1,9:01.0,,Defensive rebound by T. Hardaway,8,7
1,8:56.0,,Turnover by E. Mudiay (lost ball; steal by J. Harden),8,7
1,8:52.0,A. Rivers makes 2-pt layup at rim,,10,7
1,8:36.0,,K. Knox misses 2-pt jump shot from 9 ft,10,7
1,8:34.0,Defensive rebound by K. Faried,,10,7
1,8:19.0,J. Harden misses 3-pt jump shot from 26 ft,,10,7
1,8:18.0,,Defensive rebound by T. Hardaway,10,7
1,8:13.0,,T. Hardaway misses 3-pt jump shot from 26 ft,10,7
1,8:11.0,Defensive rebound by E. Gordon,,10,7
1,7:55.0,E. Gordon misses 3-pt jump shot from 25 ft,,10,7
1,7:53.0,,Defensive rebound by L. Thomas,10,7
1,7:43.0,,E. Mudiay makes 2-pt jump shot from 8 ft,10,9
1,7:24.0,A. Rivers misses 2-pt layup from 2 ft,,10,9
1,7:22.0,,Defensive rebound by N. Vonleh,10,9
1,7:18.0,,Shooting foul by P. Tucker (drawn by K. Knox),10,9
1,7:18.0,,K. Knox misses free throw 1 of 2,10,9
1,7:18.0,,Offensive rebound by Team,10,9
1,7:18.0,,K. Knox misses free throw 2 of 2,10,9
1,7:16.0,Defensive rebound by J. Harden,,10,9
1,7:01.0,A. Rivers misses 3-pt jump shot from 24 ft,,10,9
1,6:59.0,,Defensive rebound by K. Knox,10,9
1,6:53.0,,Offensive foul by E. Mudiay (drawn by A. Rivers),10,9
1,6:53.0,,Turnover by E. Mudiay (offensive foul),10,9
1,6:53.0,,New York full timeout,10,9
1,6:53.0,G. Clark enters the game for K. Faried,,10,9
1,6:53.0,J. Ennis enters the game for E. Gordon,,10,9
1,6:53.0,G. Green enters the game for A. Rivers,,10,9
1,6:53.0,,F. Ntilikina enters the game for E. Mudiay,10,9
1,6:31.0,G. Green misses 2-pt jump shot from 20 ft,,10,9
1,6:29.0,,Defensive rebound by K. Knox,10,9
1,6:12.0,,Turnover by L. Thomas (lost ball; steal by J. Harden),10,9
1,6:06.0,Shooting foul by F. Ntilikina (drawn by J. Harden),,10,9
1,6:06.0,J. Harden makes free throw 1 of 2,,11,9
1,6:06.0,J. Harden makes free throw 2 of 2,,12,9
1,5:49.0,,Shooting foul by J. Ennis (drawn by L. Thomas),12,9
1,5:49.0,,L. Thomas makes free throw 1 of 2,12,10
1,5:49.0,,L. Thomas makes free throw 2 of 2,12,11
1,5:37.0,J. Harden makes 2-pt layup from 1 ft,,14,11
1,5:25.0,,K. Knox misses 3-pt jump shot from 25 ft,14,11
1,5:23.0,Defensive rebound by P. Tucker,,14,11
1,5:14.0,J. Harden misses 3-pt jump shot from 26 ft,,14,11
1,5:12.0,Offensive rebound by P. Tucker,,14,11
1,5:09.0,G. Green misses 3-pt jump shot from 23 ft,,14,11
1,5:07.0,Offensive rebound by J. Harden,,14,11
1,5:03.0,Shooting foul by K. Knox (drawn by J. Harden),,14,11
1,5:03.0,,A. Trier enters the game for L. Thomas,14,11
1,5:03.0,J. Harden makes free throw 1 of 2,,15,11
1,5:03.0,J. Harden makes free throw 2 of 2,,16,11
1,4:42.0,,Shooting foul by P. Tucker (drawn by T. Hardaway),16,11
1,4:42.0,,T. Hardaway makes free throw 1 of 3,16,12
1,4:42.0,,T. Hardaway makes free throw 2 of 3,16,13
1,4:42.0,K. Faried enters the game for P. Tucker,,16,13
1,4:42.0,,T. Hardaway makes free throw 3 of 3,16,14
1,4:28.0,J. Ennis misses 3-pt jump shot from 22 ft,,16,14
1,4:26.0,,Defensive rebound by K. Knox,16,14
1,4:20.0,,T. Hardaway makes 2-pt layup from 1 ft,16,16
1,4:02.0,J. Harden misses 2-pt layup from 2 ft (block by K. Knox),,16,16
1,4:00.0,Offensive rebound by J. Harden,,16,16
1,3:53.0,J. Harden misses 3-pt jump shot from 24 ft,,16,16
1,3:51.0,,Defensive rebound by A. Trier,16,16
1,3:48.0,,A. Trier misses 2-pt layup from 1 ft (block by K. Faried),16,16
1,3:47.0,,Offensive rebound by A. Trier,16,16
1,3:47.0,,A. Trier misses 2-pt layup from 1 ft,16,16
1,3:45.0,Defensive rebound by J. Harden,,16,16
1,3:32.0,J. Harden makes 3-pt jump shot from 26 ft,,19,16
1,3:28.0,,Shooting foul by G. Clark (drawn by T. Hardaway),19,16
1,3:28.0,Technical foul by D. Fizdale,,19,16
1,3:28.0,J. Harden makes technical free throw,,20,16
1,3:28.0,,T. Hardaway makes free throw 1 of 2,20,17
1,3:28.0,,T. Hardaway makes free throw 2 of 2,20,18
1,3:09.0,Shooting foul by K. Knox (drawn by J. Harden),,20,18
1,3:09.0,,D. Dotson enters the game for K. Knox,20,18
1,3:09.0,J. Harden makes free throw 1 of 3,,21,18
1,3:09.0,J. Harden makes free throw 2 of 3,,22,18
1,3:09.0,J. Harden makes free throw 3 of 3,,23,18
1,3:00.0,,F. Ntilikina misses 2-pt jump shot from 21 ft,23,18
1,2:58.0,Defensive rebound by G. Green,,23,18
1,2:44.0,J. Harden misses 3-pt jump shot from 25 ft,,23,18
1,2:42.0,,Defensive rebound by N. Vonleh,23,18
1,2:40.0,,A. Trier misses 2-pt layup from 3 ft (block by G. Green),23,18
1,2:39.0,,Offensive rebound by Team,23,18
1,2:39.0,Houston full timeout,,23,18
1,2:39.0,E. Gordon enters the game for G. Green,,23,18
1,2:39.0,A. Rivers enters the game for J. Harden,,23,18
1,2:29.0,,T. Hardaway makes 3-pt jump shot from 26 ft,23,21
1,2:14.0,E. Gordon makes 2-pt layup from 4 ft (assist by A. Rivers),,25,21
1,1:52.0,,F. Ntilikina misses 2-pt layup from 1 ft,25,21
1,1:50.0,Defensive rebound by K. Faried,,25,21
1,1:50.0,,M. Robinson enters the game for N. Vonleh,25,21
1,1:40.0,Turnover by E. Gordon (out of bounds lost ball),,25,21
1,1:22.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by A. Trier),25,23
1,1:06.0,A. Rivers misses 2-pt layup from 1 ft,,25,23
1,1:04.0,Offensive rebound by A. Rivers,,25,23
1,1:01.0,G. Clark misses 3-pt jump shot from 23 ft,,25,23
1,0:59.0,Offensive rebound by K. Faried,,25,23
1,0:58.0,K. Faried makes 2-pt hook shot from 4 ft,,27,23
1,0:51.0,,A. Trier makes 2-pt layup from 1 ft,27,25
1,0:51.0,,Shooting foul by G. Clark (drawn by A. Trier),27,25
1,0:51.0,G. Green enters the game for G. Clark,,27,25
1,0:51.0,,A. Trier makes free throw 1 of 1,27,26
1,0:40.0,Shooting foul by D. Dotson (drawn by J. Ennis),,27,26
1,0:40.0,J. Ennis misses free throw 1 of 2,,27,26
1,0:40.0,Offensive rebound by Team,,27,26
1,0:40.0,J. Ennis makes free throw 2 of 2,,28,26
1,0:31.0,,T. Hardaway makes 2-pt layup from 1 ft,28,28
1,0:11.0,K. Faried misses 3-pt jump shot from 25 ft,,28,28
1,0:09.0,,Defensive rebound by D. Dotson,28,28
1,0:03.0,,A. Trier makes 3-pt jump shot from 26 ft,28,31
1,0:00.0,K. Faried misses 3-pt jump shot from 42 ft,,28,31
1,0:00.0,Offensive rebound by Team,,28,31
2,11:44.0,,M. Robinson makes 2-pt layup from 2 ft (assist by A. Trier),28,33
2,11:28.0,G. Green misses 3-pt jump shot from 25 ft,,28,33
2,11:26.0,,Defensive rebound by D. Dotson,28,33
2,11:16.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by F. Ntilikina),28,35
2,11:03.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by A. Rivers),,31,35
2,10:47.0,,D. Dotson misses 3-pt jump shot from 25 ft,31,35
2,10:45.0,Defensive rebound by E. Gordon,,31,35
2,10:37.0,Shooting foul by M. Robinson (drawn by E. Gordon),,31,35
2,10:37.0,P. Tucker enters the game for K. Faried,,31,35
2,10:37.0,E. Gordon makes free throw 1 of 2,,32,35
2,10:37.0,E. Gordon misses free throw 2 of 2,,32,35
2,10:35.0,,Defensive rebound by A. Trier,32,35
2,10:14.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by A. Trier),32,38
2,10:02.0,Turnover by P. Tucker (bad pass; steal by F. Ntilikina),,32,38
2,9:59.0,,M. Robinson makes 2-pt dunk at rim (assist by F. Ntilikina),32,40
2,9:47.0,E. Gordon makes 2-pt layup from 1 ft,,34,40
2,9:47.0,Shooting foul by M. Robinson (drawn by E. Gordon),,34,40
2,9:47.0,J. Harden enters the game for G. Green,,34,40
2,9:47.0,E. Gordon misses free throw 1 of 1,,34,40
2,9:45.0,,Defensive rebound by D. Dotson,34,40
2,9:25.0,,Turnover by E. Mudiay (bad pass; steal by J. Harden),34,40
2,9:23.0,Offensive foul by J. Ennis (drawn by A. Trier),,34,40
2,9:23.0,Turnover by J. Ennis (offensive foul),,34,40
2,9:11.0,,D. Dotson misses 3-pt jump shot from 27 ft,34,40
2,9:09.0,,Offensive rebound by M. Robinson,34,40
2,9:09.0,,Shooting foul by J. Harden (drawn by M. Robinson),34,40
2,9:09.0,,M. Robinson makes free throw 1 of 2,34,41
2,9:09.0,,M. Robinson makes free throw 2 of 2,34,42
2,8:57.0,Turnover by J. Harden (out of bounds lost ball),,34,42
2,8:38.0,Loose ball foul by J. Ennis (drawn by E. Mudiay),,34,42
2,8:30.0,,A. Trier makes 3-pt jump shot from 26 ft,34,45
2,8:01.0,J. Harden makes 2-pt layup from 1 ft,,36,45
2,8:01.0,G. Clark enters the game for J. Ennis,,36,45
2,8:01.0,G. Green enters the game for A. Rivers,,36,45
2,8:01.0,,T. Hardaway enters the game for D. Dotson,36,45
2,7:35.0,,A. Trier makes 2-pt layup from 1 ft,36,47
2,7:32.0,Offensive foul by J. Harden (drawn by F. Ntilikina),,36,47
2,7:32.0,Turnover by J. Harden (offensive foul),,36,47
2,7:26.0,,Turnover by A. Trier (bad pass; steal by E. Gordon),36,47
2,7:20.0,E. Gordon makes 2-pt layup from 1 ft,,38,47
2,6:57.0,,Turnover by A. Trier (lost ball; steal by G. Clark),38,47
2,6:47.0,J. Harden makes 3-pt jump shot from 26 ft,,41,47
2,6:47.0,Shooting foul by A. Trier (drawn by J. Harden),,41,47
2,6:47.0,,New York full timeout,41,47
2,6:47.0,,K. Knox enters the game for F. Ntilikina,41,47
2,6:47.0,,N. Vonleh enters the game for M. Robinson,41,47
2,6:47.0,J. Harden makes free throw 1 of 1,,42,47
2,6:35.0,,A. Trier makes 2-pt jump shot from 16 ft,42,49
2,6:12.0,E. Gordon misses 2-pt layup from 3 ft,,42,49
2,6:10.0,Offensive rebound by P. Tucker,,42,49
2,6:09.0,Turnover by P. Tucker (bad pass; steal by E. Mudiay),,42,49
2,6:07.0,,Shooting foul by G. Clark (drawn by K. Knox),42,49
2,6:07.0,,K. Knox makes free throw 1 of 2,42,50
2,6:07.0,,K. Knox makes free throw 2 of 2,42,51
2,5:49.0,E. Gordon misses 2-pt layup from 2 ft,,42,51
2,5:47.0,,Defensive rebound by K. Knox,42,51
2,5:43.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),42,54
2,5:24.0,J. Harden misses 3-pt jump shot from 26 ft,,42,54
2,5:22.0,,Defensive rebound by E. Mudiay,42,54
2,5:14.0,,A. Trier misses 3-pt jump shot from 24 ft,42,54
2,5:12.0,Defensive rebound by P. Tucker,,42,54
2,4:52.0,J. Harden makes 2-pt jump shot from 16 ft,,44,54
2,4:31.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by N. Vonleh),44,57
2,4:23.0,Offensive foul by J. Harden (drawn by T. Hardaway),,44,57
2,4:23.0,Turnover by J. Harden (offensive foul),,44,57
2,4:23.0,Houston full timeout,,44,57
2,4:23.0,K. Faried enters the game for G. Clark,,44,57
2,4:23.0,A. Rivers enters the game for E. Gordon,,44,57
2,4:12.0,,K. Knox misses 3-pt jump shot from 23 ft,44,57
2,4:11.0,Defensive rebound by Team,,44,57
2,4:11.0,,Loose ball foul by N. Vonleh (drawn by G. Green),44,57
2,4:04.0,J. Harden makes 2-pt layup from 1 ft,,46,57
2,3:51.0,,Turnover by E. Mudiay (bad pass; steal by K. Faried),46,57
2,3:51.0,Clear path foul by A. Trier,,46,57
2,3:51.0,K. Faried misses clear path free throw 1 of 2,,46,57
2,3:51.0,Offensive rebound by Team,,46,57
2,3:51.0,K. Faried makes clear path free throw 2 of 2,,47,57
2,3:42.0,A. Rivers makes 2-pt layup from 2 ft,,49,57
2,3:29.0,,N. Vonleh makes 2-pt hook shot from 1 ft (assist by E. Mudiay),49,59
2,3:29.0,,Shooting foul by K. Faried (drawn by N. Vonleh),49,59
2,3:29.0,,N. Vonleh misses free throw 1 of 1,49,59
2,3:27.0,Defensive rebound by P. Tucker,,49,59
2,3:04.0,J. Harden makes 3-pt jump shot from 25 ft,,52,59
2,2:43.0,,Turnover by E. Mudiay (bad pass; steal by A. Rivers),52,59
2,2:37.0,G. Green misses 3-pt jump shot from 24 ft,,52,59
2,2:35.0,,Defensive rebound by K. Knox,52,59
2,2:28.0,,K. Knox misses 2-pt layup from 1 ft (block by G. Green),52,59
2,2:26.0,,Offensive rebound by E. Mudiay,52,59
2,2:21.0,,E. Mudiay makes 2-pt layup from 2 ft,52,61
2,2:04.0,K. Faried makes 2-pt layup from 1 ft (assist by G. Green),,54,61
2,2:04.0,E. Gordon enters the game for G. Green,,54,61
2,1:40.0,,E. Mudiay misses 3-pt jump shot from 25 ft,54,61
2,1:38.0,Defensive rebound by E. Gordon,,54,61
2,1:30.0,Shooting foul by E. Mudiay (drawn by K. Faried),,54,61
2,1:30.0,,F. Ntilikina enters the game for E. Mudiay,54,61
2,1:30.0,K. Faried misses free throw 1 of 2,,54,61
2,1:30.0,Offensive rebound by Team,,54,61
2,1:30.0,K. Faried misses free throw 2 of 2,,54,61
2,1:28.0,,Defensive rebound by N. Vonleh,54,61
2,1:10.0,,A. Trier makes 2-pt jump shot from 20 ft,54,63
2,0:57.0,Shooting foul by A. Trier (drawn by J. Harden),,54,63
2,0:57.0,G. Green enters the game for K. Faried,,54,63
2,0:57.0,,D. Dotson enters the game for A. Trier,54,63
2,0:57.0,J. Harden misses free throw 1 of 2,,54,63
2,0:57.0,Offensive rebound by Team,,54,63
2,0:57.0,J. Harden misses free throw 2 of 2,,54,63
2,0:55.0,,Defensive rebound by N. Vonleh,54,63
2,0:39.0,,T. Hardaway misses 2-pt jump shot from 5 ft,54,63
2,0:37.0,Defensive rebound by J. Harden,,54,63
2,0:34.0,J. Harden makes 2-pt layup from 1 ft,,56,63
2,0:12.0,,Turnover by F. Ntilikina (bad pass; steal by P. Tucker),56,63
2,0:01.0,J. Harden misses 2-pt jump shot from 8 ft,,56,63
2,0:01.0,Offensive rebound by J. Harden,,56,63
2,0:00.0,J. Harden makes 2-pt layup at rim,,58,63
3,11:45.0,,K. Knox misses 2-pt jump shot from 8 ft,58,63
3,11:44.0,Defensive rebound by Team,,58,63
3,11:22.0,K. Faried misses 2-pt layup from 1 ft,,58,63
3,11:20.0,,Defensive rebound by E. Mudiay,58,63
3,11:16.0,,Shooting foul by K. Faried (drawn by E. Mudiay),58,63
3,11:16.0,,E. Mudiay makes free throw 1 of 2,58,64
3,11:16.0,,E. Mudiay makes free throw 2 of 2,58,65
3,10:59.0,K. Faried makes 2-pt jump shot from 2 ft,,60,65
3,10:40.0,,Turnover by N. Vonleh (lost ball; steal by K. Faried),60,65
3,10:30.0,J. Harden misses 3-pt jump shot from 25 ft,,60,65
3,10:28.0,,Defensive rebound by E. Mudiay,60,65
3,10:14.0,,N. Vonleh misses 2-pt layup from 5 ft,60,65
3,10:12.0,Defensive rebound by P. Tucker,,60,65
3,10:03.0,P. Tucker makes 3-pt jump shot from 27 ft (assist by A. Rivers),,63,65
3,9:45.0,,K. Knox makes 2-pt hook shot from 5 ft (assist by E. Mudiay),63,67
3,9:24.0,J. Harden misses 3-pt jump shot from 25 ft,,63,67
3,9:22.0,,Defensive rebound by N. Vonleh,63,67
3,9:16.0,,E. Mudiay misses 2-pt layup from 1 ft (block by K. Faried),63,67
3,9:14.0,,Offensive rebound by N. Vonleh,63,67
3,9:10.0,,E. Mudiay misses 3-pt jump shot from 24 ft,63,67
3,9:08.0,Defensive rebound by P. Tucker,,63,67
3,8:49.0,K. Faried misses 2-pt dunk from 2 ft (block by N. Vonleh),,63,67
3,8:47.0,Offensive rebound by K. Faried,,63,67
3,8:47.0,K. Faried makes 2-pt layup from 1 ft,,65,67
3,8:26.0,,Personal foul by E. Gordon (drawn by T. Hardaway),65,67
3,8:18.0,,Turnover by K. Knox (bad pass),65,67
3,7:58.0,J. Harden makes 2-pt layup from 1 ft,,67,67
3,7:58.0,,New York full timeout,67,67
3,7:58.0,G. Green enters the game for A. Rivers,,67,67
3,7:34.0,,K. Knox misses 3-pt jump shot from 25 ft,67,67
3,7:33.0,,Offensive rebound by Team,67,67
3,7:33.0,Loose ball foul by G. Green (drawn by L. Thomas),,67,67
3,7:22.0,,K. Knox misses 2-pt jump shot from 10 ft,67,67
3,7:20.0,,Offensive rebound by K. Knox,67,67
3,7:20.0,,K. Knox misses 2-pt layup at rim,67,67
3,7:18.0,Defensive rebound by J. Harden,,67,67
3,7:13.0,J. Harden makes 2-pt layup from 2 ft,,69,67
3,7:00.0,,T. Hardaway misses 3-pt jump shot from 30 ft,69,67
3,6:58.0,,Offensive rebound by N. Vonleh,69,67
3,6:51.0,,N. Vonleh makes 2-pt hook shot from 5 ft,69,69
3,6:28.0,G. Green makes 3-pt jump shot from 23 ft (assist by K. Faried),,72,69
3,6:09.0,,T. Hardaway makes 3-pt jump shot from 25 ft,72,72
3,5:58.0,Shooting foul by T. Hardaway (drawn by J. Harden),,72,72
3,5:58.0,J. Harden misses free throw 1 of 3,,72,72
3,5:58.0,Offensive rebound by Team,,72,72
3,5:58.0,J. Harden makes free throw 2 of 3,,73,72
3,5:58.0,J. Harden makes free throw 3 of 3,,74,72
3,5:37.0,,T. Hardaway misses 3-pt jump shot from 25 ft,74,72
3,5:35.0,,Offensive rebound by L. Thomas,74,72
3,5:32.0,,T. Hardaway misses 2-pt jump shot from 22 ft,74,72
3,5:30.0,Defensive rebound by K. Faried,,74,72
3,5:22.0,J. Harden makes 3-pt jump shot from 27 ft,,77,72
3,5:07.0,,Turnover by E. Mudiay (lost ball; steal by P. Tucker),77,72
3,5:04.0,G. Green makes 2-pt dunk from 1 ft (assist by J. Harden),,79,72
3,4:43.0,,T. Hardaway misses 2-pt jump shot from 14 ft,79,72
3,4:41.0,Defensive rebound by J. Harden,,79,72
3,4:32.0,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),,81,72
3,4:31.0,,New York full timeout,81,72
3,4:31.0,A. Rivers enters the game for E. Gordon,,81,72
3,4:31.0,,D. Dotson enters the game for K. Knox,81,72
3,4:31.0,,F. Ntilikina enters the game for E. Mudiay,81,72
3,4:31.0,,A. Trier enters the game for L. Thomas,81,72
3,4:10.0,,A. Trier makes 2-pt dunk at rim (assist by F. Ntilikina),81,74
3,3:46.0,Turnover by K. Faried (off goaltending),,81,74
3,3:46.0,J. Ennis enters the game for K. Faried,,81,74
3,3:30.0,,N. Vonleh misses 2-pt layup from 2 ft (block by J. Ennis),81,74
3,3:29.0,,Offensive rebound by Team,81,74
3,3:23.0,,T. Hardaway misses 3-pt jump shot from 26 ft,81,74
3,3:21.0,Defensive rebound by G. Green,,81,74
3,3:12.0,J. Harden misses 3-pt jump shot from 26 ft,,81,74
3,3:10.0,,Defensive rebound by A. Trier,81,74
3,2:47.0,,D. Dotson misses 2-pt jump shot from 21 ft,81,74
3,2:46.0,Defensive rebound by Team,,81,74
3,2:46.0,,Loose ball foul by T. Hardaway (drawn by J. Harden),81,74
3,2:46.0,,K. Knox enters the game for T. Hardaway,81,74
3,2:46.0,,M. Robinson enters the game for N. Vonleh,81,74
3,2:33.0,J. Ennis misses 3-pt jump shot from 24 ft,,81,74
3,2:31.0,,Defensive rebound by A. Trier,81,74
3,2:23.0,,A. Trier makes 2-pt jump shot from 13 ft,81,76
3,2:08.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by J. Harden),,84,76
3,1:51.0,,F. Ntilikina misses 3-pt jump shot from 24 ft,84,76
3,1:49.0,Defensive rebound by Team,,84,76
3,1:38.0,Shooting foul by F. Ntilikina (drawn by J. Harden),,84,76
3,1:38.0,J. Harden makes free throw 1 of 2,,85,76
3,1:38.0,J. Harden makes free throw 2 of 2,,86,76
3,1:27.0,,K. Knox misses 3-pt jump shot from 25 ft,86,76
3,1:25.0,Defensive rebound by P. Tucker,,86,76
3,1:13.0,Turnover by J. Harden (bad pass; steal by A. Trier),,86,76
3,1:06.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by F. Ntilikina),86,78
3,0:47.0,J. Harden misses 3-pt jump shot from 26 ft (block by M. Robinson),,86,78
3,0:46.0,Offensive rebound by J. Harden,,86,78
3,0:45.0,Shooting foul by D. Dotson (drawn by J. Harden),,86,78
3,0:45.0,J. Harden makes free throw 1 of 2,,87,78
3,0:45.0,J. Harden makes free throw 2 of 2,,88,78
3,0:31.0,,Personal foul by A. Rivers (drawn by A. Trier),88,78
3,0:18.0,,F. Ntilikina misses 2-pt layup from 3 ft,88,78
3,0:16.0,Defensive rebound by G. Green,,88,78
3,0:01.0,J. Harden misses 3-pt jump shot from 27 ft,,88,78
3,0:01.0,Offensive rebound by Team,,88,78
4,11:39.0,A. Rivers misses 3-pt jump shot from 26 ft,,88,78
4,11:37.0,,Defensive rebound by A. Trier,88,78
4,11:23.0,,Turnover by F. Ntilikina (bad pass; steal by K. Faried),88,78
4,11:19.0,Shooting foul by M. Robinson (drawn by J. Ennis),,88,78
4,11:19.0,J. Ennis makes free throw 1 of 2,,89,78
4,11:19.0,J. Ennis makes free throw 2 of 2,,90,78
4,11:00.0,,K. Knox makes 2-pt jump shot from 5 ft (assist by F. Ntilikina),90,80
4,10:43.0,Personal foul by M. Robinson (drawn by A. Rivers),,90,80
4,10:37.0,Shooting foul by M. Robinson (drawn by G. Green),,90,80
4,10:37.0,G. Green makes free throw 1 of 2,,91,80
4,10:37.0,G. Green makes free throw 2 of 2,,92,80
4,10:21.0,,A. Trier misses 3-pt jump shot from 26 ft,92,80
4,10:19.0,Defensive rebound by A. Rivers,,92,80
4,10:11.0,E. Gordon misses 2-pt layup from 2 ft,,92,80
4,10:09.0,Offensive rebound by K. Faried,,92,80
4,10:09.0,K. Faried misses 2-pt dunk from 1 ft,,92,80
4,10:07.0,,Defensive rebound by D. Dotson,92,80
4,9:54.0,,D. Dotson makes 3-pt jump shot from 25 ft,92,83
4,9:43.0,Turnover by (8 sec),,92,83
4,9:21.0,,K. Knox misses 3-pt jump shot from 26 ft,92,83
4,9:19.0,Defensive rebound by J. Ennis,,92,83
4,9:08.0,G. Green misses 2-pt layup from 3 ft,,92,83
4,9:07.0,Offensive rebound by Team,,92,83
4,9:06.0,Turnover by K. Faried (out of bounds lost ball),,92,83
4,8:54.0,,D. Dotson makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),92,86
4,8:52.0,Houston full timeout,,92,86
4,8:52.0,J. Harden enters the game for K. Faried,,92,86
4,8:52.0,P. Tucker enters the game for G. Green,,92,86
4,8:34.0,Turnover by J. Harden (bad pass; steal by M. Robinson),,92,86
4,8:32.0,,Shooting foul by A. Rivers (drawn by D. Dotson),92,86
4,8:32.0,,D. Dotson makes free throw 1 of 2,92,87
4,8:32.0,,D. Dotson makes free throw 2 of 2,92,88
4,8:13.0,J. Harden misses 3-pt jump shot from 26 ft,,92,88
4,8:11.0,,Defensive rebound by K. Knox,92,88
4,7:49.0,,Turnover by D. Dotson (bad pass),92,88
4,7:26.0,J. Harden misses 3-pt jump shot from 26 ft,,92,88
4,7:24.0,,Defensive rebound by F. Ntilikina,92,88
4,7:09.0,,A. Trier makes 2-pt layup from 1 ft,92,90
4,6:55.0,E. Gordon misses 3-pt jump shot from 27 ft,,92,90
4,6:53.0,,Defensive rebound by K. Knox,92,90
4,6:37.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,92,90
4,6:35.0,Defensive rebound by E. Gordon,,92,90
4,6:22.0,E. Gordon misses 2-pt layup from 1 ft (block by M. Robinson),,92,90
4,6:20.0,,Defensive rebound by F. Ntilikina,92,90
4,6:15.0,,Turnover by A. Trier (lost ball; steal by J. Harden),92,90
4,6:11.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by A. Rivers),,95,90
4,6:10.0,,New York full timeout,95,90
4,6:10.0,G. Green enters the game for A. Rivers,,95,90
4,6:10.0,,T. Hardaway enters the game for F. Ntilikina,95,90
4,6:10.0,,N. Vonleh enters the game for M. Robinson,95,90
4,5:55.0,,T. Hardaway misses 2-pt jump shot from 2 ft (block by P. Tucker),95,90
4,5:53.0,,Offensive rebound by T. Hardaway,95,90
4,5:47.0,,T. Hardaway misses 2-pt jump shot from 4 ft,95,90
4,5:45.0,Defensive rebound by J. Harden,,95,90
4,5:41.0,J. Harden misses 2-pt layup from 2 ft (block by N. Vonleh),,95,90
4,5:39.0,,Defensive rebound by D. Dotson,95,90
4,5:36.0,,Turnover by D. Dotson (lost ball; steal by J. Ennis),95,90
4,5:27.0,J. Harden misses 3-pt jump shot from 26 ft,,95,90
4,5:25.0,Offensive rebound by J. Ennis,,95,90
4,5:24.0,J. Ennis makes 2-pt layup from 1 ft,,97,90
4,5:05.0,,N. Vonleh makes 2-pt layup from 3 ft,97,92
