QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
1,3:45.0,,Defensive rebound by M. Robinson,19,13
1,3:32.0,,L. Thomas misses 2-pt dunk from 1 ft,19,13
1,3:30.0,Defensive rebound by D. Jordan,,19,13
1,3:19.0,D. Smith makes 2-pt layup from 2 ft,,21,13
1,3:19.0,,Violation by Team (def goaltending),21,13
1,3:05.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by T. Burke),21,16
1,2:39.0,D. Smith misses 3-pt jump shot from 23 ft,,21,16
1,2:37.0,,Defensive rebound by M. Robinson,21,16
1,2:33.0,,T. Burke makes 2-pt layup from 1 ft,21,18
1,2:33.0,,Shooting foul by D. Smith (drawn by T. Burke),21,18
1,2:33.0,L. Dončić enters the game for H. Barnes,,21,18
1,2:33.0,D. Harris enters the game for D. Jordan,,21,18
1,2:33.0,M. Kleber enters the game for W. Matthews,,21,18
1,2:33.0,D. Nowitzki enters the game for D. Smith,,21,18
1,2:33.0,,M. Hezonja enters the game for L. Thomas,21,18
1,2:33.0,,T. Burke misses free throw 1 of 1,21,18
1,2:31.0,Defensive rebound by M. Kleber,,21,18
1,2:14.0,D. Harris misses 3-pt jump shot from 26 ft,,21,18
1,2:12.0,,Defensive rebound by T. Burke,21,18
1,1:58.0,,A. Trier misses 2-pt jump shot from 18 ft,21,18
1,1:56.0,Defensive rebound by D. Finney-Smith,,21,18
1,1:54.0,Personal foul by D. Dotson (drawn by L. Dončić),,21,18
1,1:54.0,,K. Allen enters the game for T. Burke,21,18
1,1:46.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),,24,18
1,1:30.0,,Turnover by A. Trier (traveling),24,18
1,1:23.0,L. Dončić misses 3-pt jump shot from 25 ft,,24,18
1,1:21.0,,Defensive rebound by A. Trier,24,18
1,1:14.0,,Shooting foul by L. Dončić (drawn by M. Robinson),24,18
1,1:14.0,,M. Robinson misses free throw 1 of 2,24,18
1,1:14.0,,Offensive rebound by Team,24,18
1,1:14.0,,M. Robinson misses free throw 2 of 2,24,18
1,1:12.0,Defensive rebound by M. Kleber,,24,18
1,0:58.0,L. Dončić misses 3-pt jump shot from 26 ft (block by M. Robinson),,24,18
1,0:56.0,,Defensive rebound by A. Trier,24,18
1,0:47.0,,Turnover by M. Robinson (out of bounds lost ball),24,18
1,0:27.0,L. Dončić misses 2-pt jump shot from 21 ft,,24,18
1,0:25.0,,Defensive rebound by A. Trier,24,18
1,0:24.0,Loose ball foul by D. Finney-Smith (drawn by A. Trier),,24,18
1,0:24.0,,A. Trier makes free throw 1 of 2,24,19
1,0:24.0,D. Powell enters the game for D. Finney-Smith,,24,19
1,0:24.0,,A. Trier makes free throw 2 of 2,24,20
1,0:00.0,L. Dončić misses 3-pt jump shot from 23 ft,,24,20
1,0:00.0,Offensive rebound by Team,,24,20
2,11:49.0,,Shooting foul by D. Powell (drawn by M. Hezonja),24,20
2,11:49.0,,M. Hezonja makes free throw 1 of 2,24,21
2,11:49.0,,M. Hezonja makes free throw 2 of 2,24,22
2,11:32.0,L. Dončić misses 2-pt layup from 1 ft,,24,22
2,11:30.0,Offensive rebound by L. Dončić,,24,22
2,11:30.0,L. Dončić misses 2-pt layup at rim,,24,22
2,11:28.0,,Defensive rebound by D. Dotson,24,22
2,11:21.0,,A. Trier misses 3-pt jump shot from 23 ft,24,22
2,11:19.0,,Offensive rebound by M. Robinson,24,22
2,11:15.0,,M. Robinson makes 2-pt layup at rim,24,24
2,11:02.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),,27,24
2,10:38.0,,A. Trier makes 2-pt jump shot from 19 ft (assist by M. Hezonja),27,26
2,10:27.0,L. Dončić makes 2-pt layup from 1 ft,,29,26
2,10:18.0,,Personal foul by D. Nowitzki (drawn by M. Robinson),29,26
2,10:05.0,,Shooting foul by D. Harris (drawn by A. Trier),29,26
2,10:05.0,,A. Trier makes free throw 1 of 2,29,27
2,10:05.0,,A. Trier makes free throw 2 of 2,29,28
2,9:54.0,Shooting foul by K. Allen (drawn by D. Nowitzki),,29,28
2,9:54.0,D. Nowitzki makes free throw 1 of 2,,30,28
2,9:54.0,D. Nowitzki makes free throw 2 of 2,,31,28
2,9:42.0,,M. Hezonja misses 2-pt jump shot from 7 ft,31,28
2,9:40.0,Defensive rebound by D. Powell,,31,28
2,9:23.0,D. Nowitzki makes 2-pt jump shot from 9 ft,,33,28
2,9:02.0,,D. Dotson makes 2-pt layup from 1 ft (assist by A. Trier),33,30
2,8:44.0,Personal foul by D. Dotson (drawn by D. Nowitzki),,33,30
2,8:34.0,D. Nowitzki makes 2-pt jump shot from 13 ft,,35,30
2,8:16.0,,Turnover by A. Trier (bad pass),35,30
2,8:02.0,D. Nowitzki misses 2-pt jump shot from 23 ft,,35,30
2,8:00.0,,Defensive rebound by A. Trier,35,30
2,7:52.0,,D. Dotson misses 2-pt jump shot from 17 ft,35,30
2,7:50.0,Defensive rebound by L. Dončić,,35,30
2,7:43.0,L. Dončić misses 3-pt jump shot from 26 ft,,35,30
2,7:41.0,,Defensive rebound by K. Allen,35,30
2,7:35.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by K. Allen),35,33
2,7:33.0,Dallas full timeout,,35,33
2,7:33.0,H. Barnes enters the game for L. Dončić,,35,33
2,7:33.0,D. Finney-Smith enters the game for D. Harris,,35,33
2,7:33.0,D. Jordan enters the game for M. Kleber,,35,33
2,7:33.0,W. Matthews enters the game for D. Nowitzki,,35,33
2,7:33.0,D. Smith enters the game for D. Powell,,35,33
2,7:33.0,,T. Hardaway enters the game for D. Dotson,35,33
2,7:33.0,,K. Knox enters the game for M. Robinson,35,33
2,7:33.0,,N. Vonleh enters the game for A. Trier,35,33
2,7:15.0,Turnover by H. Barnes (bad pass; steal by M. Hezonja),,35,33
2,7:12.0,,K. Knox makes 2-pt layup from 1 ft (assist by K. Allen),35,35
2,7:12.0,,Shooting foul by W. Matthews (drawn by K. Knox),35,35
2,7:12.0,,K. Knox makes free throw 1 of 1,35,36
2,6:56.0,Personal foul by K. Allen (drawn by H. Barnes),,35,36
2,6:53.0,Personal foul by K. Allen (drawn by H. Barnes),,35,36
2,6:53.0,,T. Burke enters the game for K. Allen,35,36
2,6:43.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Smith),,37,36
2,6:30.0,,K. Knox makes 2-pt jump shot from 13 ft,37,38
2,6:13.0,Turnover by D. Jordan (3 sec),,37,38
2,5:55.0,,N. Vonleh misses 2-pt jump shot from 13 ft,37,38
2,5:53.0,Defensive rebound by D. Jordan,,37,38
2,5:37.0,D. Smith misses 3-pt jump shot from 26 ft,,37,38
2,5:35.0,,Defensive rebound by T. Hardaway,37,38
2,5:25.0,,T. Hardaway misses 2-pt jump shot from 15 ft,37,38
2,5:23.0,Defensive rebound by D. Smith,,37,38
2,5:18.0,D. Smith makes 2-pt dunk at rim,,39,38
2,4:58.0,,K. Knox makes 2-pt jump shot from 8 ft,39,40
2,4:45.0,Shooting foul by K. Knox (drawn by D. Smith),,39,40
2,4:45.0,D. Smith makes free throw 1 of 2,,40,40
2,4:45.0,D. Smith makes free throw 2 of 2,,41,40
2,4:29.0,,K. Knox misses 2-pt jump shot from 20 ft,41,40
2,4:27.0,Defensive rebound by H. Barnes,,41,40
2,4:19.0,Turnover by D. Smith (lost ball; steal by N. Vonleh),,41,40
2,4:14.0,,M. Hezonja makes 2-pt layup from 1 ft,41,42
2,3:58.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,44,42
2,3:38.0,,T. Burke misses 2-pt layup from 1 ft,44,42
2,3:36.0,Defensive rebound by H. Barnes,,44,42
2,3:23.0,Def 3 sec tech foul by Team,,44,42
2,3:23.0,H. Barnes makes technical free throw,,45,42
2,3:11.0,W. Matthews misses 3-pt jump shot from 23 ft,,45,42
2,3:09.0,,Defensive rebound by N. Vonleh,45,42
2,2:55.0,,M. Hezonja misses 3-pt jump shot from 26 ft,45,42
2,2:53.0,Defensive rebound by W. Matthews,,45,42
2,2:40.0,D. Smith misses 2-pt jump shot from 22 ft (block by T. Burke),,45,42
2,2:40.0,Offensive rebound by D. Smith,,45,42
2,2:35.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,45,42
2,2:33.0,,Defensive rebound by M. Hezonja,45,42
2,2:27.0,,K. Knox misses 2-pt hook shot from 11 ft,45,42
2,2:25.0,Defensive rebound by D. Jordan,,45,42
2,2:17.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),,48,42
2,2:05.0,,New York full timeout,48,42
2,2:05.0,,M. Robinson enters the game for N. Vonleh,48,42
2,1:55.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by T. Hardaway),48,45
2,1:37.0,D. Finney-Smith makes 2-pt dunk at rim (assist by D. Smith),,50,45
2,1:20.0,,T. Hardaway misses 2-pt layup from 1 ft,50,45
2,1:18.0,Defensive rebound by D. Smith,,50,45
2,1:11.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by D. Smith),,52,45
2,0:54.0,,Turnover by K. Knox (traveling),52,45
2,0:35.0,D. Smith misses 2-pt jump shot from 21 ft,,52,45
2,0:33.0,,Defensive rebound by M. Robinson,52,45
2,0:09.0,,T. Burke makes 2-pt layup from 2 ft,52,47
2,0:03.0,D. Smith misses 2-pt layup from 1 ft (block by M. Robinson),,52,47
2,0:02.0,Offensive rebound by Team,,52,47
2,0:00.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Smith),,55,47
3,11:48.0,,T. Hardaway misses 2-pt jump shot from 19 ft,55,47
3,11:46.0,,Offensive rebound by N. Vonleh,55,47
3,11:37.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by T. Burke),55,50
3,11:12.0,H. Barnes makes 2-pt layup from 1 ft,,57,50
3,11:04.0,,Turnover by T. Burke (palming),57,50
3,10:55.0,D. Smith makes 2-pt layup from 1 ft,,59,50
3,10:44.0,,T. Burke makes 2-pt jump shot from 17 ft (assist by T. Hardaway),59,52
3,10:30.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Smith),,61,52
3,10:14.0,,Shooting foul by D. Smith (drawn by T. Burke),61,52
3,10:14.0,,T. Burke misses free throw 1 of 2,61,52
3,10:14.0,,Offensive rebound by Team,61,52
3,10:14.0,,T. Burke makes free throw 2 of 2,61,53
3,10:01.0,H. Barnes misses 3-pt jump shot from 23 ft,,61,53
3,9:59.0,,Defensive rebound by K. Knox,61,53
3,9:51.0,,Turnover by N. Vonleh (off goaltending),61,53
3,9:40.0,L. Dončić makes 2-pt jump shot from 4 ft (assist by D. Smith),,63,53
3,9:40.0,Shooting foul by T. Hardaway (drawn by L. Dončić),,63,53
3,9:40.0,L. Dončić misses free throw 1 of 1,,63,53
3,9:38.0,,Defensive rebound by K. Knox,63,53
3,9:25.0,,K. Knox misses 3-pt jump shot from 26 ft,63,53
3,9:23.0,Defensive rebound by L. Dončić,,63,53
3,9:10.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,65,53
3,9:09.0,,New York full timeout,65,53
3,9:09.0,,M. Robinson enters the game for N. Vonleh,65,53
3,8:58.0,,T. Hardaway makes 2-pt layup from 1 ft,65,55
3,8:58.0,,Shooting foul by D. Smith (drawn by T. Hardaway),65,55
3,8:58.0,,T. Hardaway makes free throw 1 of 1,65,56
3,8:41.0,W. Matthews misses 3-pt jump shot from 25 ft,,65,56
3,8:39.0,Offensive rebound by D. Jordan,,65,56
3,8:37.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Jordan),,67,56
3,8:22.0,,T. Hardaway misses 3-pt jump shot from 24 ft,67,56
3,8:20.0,Defensive rebound by D. Jordan,,67,56
3,8:10.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,69,56
3,7:53.0,,T. Hardaway misses 2-pt jump shot from 12 ft,69,56
3,7:51.0,Defensive rebound by L. Dončić,,69,56
3,7:46.0,Turnover by L. Dončić (bad pass; steal by T. Burke),,69,56
3,7:43.0,,T. Burke misses 3-pt jump shot from 26 ft,69,56
3,7:42.0,Defensive rebound by Team,,69,56
3,7:42.0,,M. Hezonja enters the game for K. Knox,69,56
3,7:17.0,L. Dončić makes 3-pt jump shot from 27 ft (assist by D. Smith),,72,56
3,6:53.0,,T. Burke misses 2-pt jump shot from 11 ft,72,56
3,6:51.0,Defensive rebound by D. Smith,,72,56
3,6:40.0,Turnover by D. Smith (bad pass; steal by M. Hezonja),,72,56
3,6:37.0,,Shooting foul by W. Matthews (drawn by M. Hezonja),72,56
3,6:37.0,D. Finney-Smith enters the game for L. Dončić,,72,56
3,6:37.0,,D. Dotson enters the game for T. Hardaway,72,56
3,6:37.0,,M. Hezonja makes free throw 1 of 2,72,57
3,6:37.0,,M. Hezonja makes free throw 2 of 2,72,58
3,6:28.0,Personal foul by T. Burke (drawn by W. Matthews),,72,58
3,6:14.0,W. Matthews misses 3-pt jump shot from 26 ft,,72,58
3,6:12.0,,Defensive rebound by L. Thomas,72,58
3,5:59.0,,Turnover by L. Thomas (bad pass),72,58
3,5:45.0,H. Barnes misses 3-pt jump shot from 26 ft,,72,58
3,5:43.0,,Defensive rebound by M. Hezonja,72,58
3,5:32.0,,L. Thomas misses 3-pt jump shot from 23 ft,72,58
3,5:30.0,Defensive rebound by D. Jordan,,72,58
3,5:24.0,H. Barnes makes 2-pt layup from 1 ft,,74,58
3,5:24.0,Shooting foul by M. Hezonja (drawn by H. Barnes),,74,58
3,5:24.0,,E. Freedom enters the game for M. Robinson,74,58
3,5:24.0,,A. Trier enters the game for L. Thomas,74,58
3,5:24.0,H. Barnes makes free throw 1 of 1,,75,58
3,5:10.0,,E. Freedom misses 2-pt jump shot from 11 ft,75,58
3,5:08.0,Defensive rebound by D. Smith,,75,58
3,4:56.0,Offensive foul by D. Finney-Smith (drawn by M. Hezonja),,75,58
3,4:56.0,Turnover by D. Finney-Smith (offensive foul),,75,58
3,4:33.0,,M. Hezonja makes 2-pt jump shot from 11 ft,75,60
3,4:09.0,H. Barnes misses 2-pt layup from 2 ft,,75,60
3,4:07.0,Offensive rebound by H. Barnes,,75,60
3,4:04.0,Turnover by D. Finney-Smith (bad pass; steal by A. Trier),,75,60
3,4:02.0,,A. Trier makes 2-pt dunk from 2 ft,75,62
3,4:02.0,Dallas full timeout,,75,62
3,4:02.0,,K. Allen enters the game for T. Burke,75,62
3,3:51.0,H. Barnes makes 2-pt layup from 3 ft (assist by D. Smith),,77,62
3,3:51.0,Shooting foul by M. Hezonja (drawn by H. Barnes),,77,62
3,3:51.0,H. Barnes misses free throw 1 of 1,,77,62
3,3:49.0,Offensive rebound by D. Finney-Smith,,77,62
3,3:44.0,D. Smith makes 2-pt layup from 1 ft,,79,62
3,3:44.0,Shooting foul by D. Dotson (drawn by D. Smith),,79,62
3,3:44.0,D. Smith makes free throw 1 of 1,,80,62
3,3:31.0,,E. Freedom makes 2-pt dunk from 1 ft (assist by A. Trier),80,64
3,3:15.0,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Smith),,82,64
3,3:15.0,,New York full timeout,82,64
3,3:01.0,,K. Allen makes 2-pt layup from 1 ft,82,66
3,2:42.0,Turnover by D. Smith (traveling),,82,66
3,2:42.0,Dallas full timeout,,82,66
3,2:42.0,L. Dončić enters the game for D. Finney-Smith,,82,66
3,2:42.0,D. Harris enters the game for D. Jordan,,82,66
3,2:42.0,M. Kleber enters the game for W. Matthews,,82,66
3,2:42.0,D. Powell enters the game for D. Smith,,82,66
3,2:31.0,,D. Dotson misses 2-pt jump shot from 21 ft,82,66
3,2:29.0,Defensive rebound by D. Harris,,82,66
3,2:18.0,M. Kleber misses 3-pt jump shot from 26 ft,,82,66
3,2:16.0,,Defensive rebound by E. Freedom,82,66
3,1:55.0,,A. Trier makes 2-pt layup from 1 ft (assist by D. Dotson),82,68
3,1:55.0,,Shooting foul by H. Barnes (drawn by A. Trier),82,68
3,1:55.0,,A. Trier makes free throw 1 of 1,82,69
3,1:33.0,H. Barnes misses 2-pt jump shot from 14 ft,,82,69
3,1:31.0,Offensive rebound by M. Kleber,,82,69
3,1:21.0,D. Powell makes 2-pt layup at rim (assist by L. Dončić),,84,69
3,1:06.0,,Personal foul by D. Harris (drawn by E. Freedom),84,69
3,1:06.0,,E. Freedom makes free throw 1 of 2,84,70
3,1:06.0,,E. Freedom misses free throw 2 of 2,84,70
3,1:04.0,Defensive rebound by D. Powell,,84,70
3,0:42.0,D. Harris makes 3-pt jump shot from 26 ft (assist by H. Barnes),,87,70
3,0:33.0,,D. Dotson misses 3-pt jump shot from 27 ft,87,70
3,0:31.0,Defensive rebound by L. Dončić,,87,70
3,0:19.0,D. Powell makes 3-pt jump shot from 26 ft (assist by H. Barnes),,90,70
3,0:00.0,,D. Dotson misses 3-pt jump shot from 25 ft,90,70
3,0:00.0,,Offensive rebound by Team,90,70
4,11:38.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Dončić),,92,70
4,11:14.0,,Turnover by E. Freedom (lost ball; steal by D. Harris),92,70
4,11:00.0,Offensive foul by D. Finney-Smith (drawn by K. Allen),,92,70
4,11:00.0,Turnover by D. Finney-Smith (offensive foul),,92,70
4,10:47.0,,M. Hezonja misses 3-pt jump shot from 25 ft,92,70
4,10:45.0,Defensive rebound by D. Finney-Smith,,92,70
4,10:32.0,D. Finney-Smith misses 3-pt jump shot from 22 ft,,92,70
4,10:30.0,Offensive rebound by D. Powell,,92,70
4,10:27.0,D. Harris makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),,95,70
4,10:03.0,,Turnover by A. Trier (step out of bounds),95,70
4,10:03.0,J. Brunson enters the game for D. Harris,,95,70
4,9:53.0,Turnover by M. Kleber (bad pass; steal by K. Allen),,95,70
4,9:53.0,,Flagrant foul type 1 by M. Kleber (drawn by K. Allen),95,70
4,9:53.0,,T. Burke enters the game for D. Dotson,95,70
4,9:53.0,,T. Hardaway enters the game for A. Trier,95,70
4,9:53.0,,K. Allen makes flagrant free throw 1 of 2,95,71
4,9:53.0,,K. Allen makes flagrant free throw 2 of 2,95,72
4,9:42.0,,E. Freedom misses 2-pt layup from 1 ft (block by M. Kleber),95,72
4,9:37.0,,Offensive rebound by Team,95,72
4,9:36.0,,M. Hezonja makes 2-pt layup from 2 ft (assist by E. Freedom),95,74
4,9:25.0,Personal foul by T. Hardaway (drawn by D. Powell),,95,74
4,9:17.0,Turnover by D. Powell (bad pass),,95,74
4,9:07.0,,E. Freedom makes 2-pt layup from 1 ft (assist by T. Burke),95,76
4,8:55.0,M. Kleber makes 2-pt dunk at rim (assist by D. Powell),,97,76
4,8:36.0,,M. Hezonja misses 2-pt layup from 3 ft,97,76
4,8:34.0,,Offensive rebound by E. Freedom,97,76
4,8:34.0,,E. Freedom misses 2-pt layup at rim,97,76
4,8:32.0,Defensive rebound by L. Dončić,,97,76
4,8:25.0,Turnover by L. Dončić (bad pass; steal by T. Burke),,97,76
4,8:19.0,,K. Allen misses 2-pt layup from 1 ft,97,76
4,8:17.0,Defensive rebound by D. Powell,,97,76
4,8:04.0,Personal foul by K. Allen (drawn by L. Dončić),,97,76
4,8:04.0,,K. Knox enters the game for K. Allen,97,76
4,8:04.0,,M. Robinson enters the game for E. Freedom,97,76
4,7:54.0,L. Dončić makes 2-pt jump shot from 15 ft,,99,76
4,7:37.0,,K. Knox makes 2-pt jump shot from 23 ft (assist by T. Hardaway),99,78
4,7:25.0,L. Dončić makes 3-pt jump shot from 26 ft,,102,78
4,7:12.0,,T. Hardaway misses 3-pt jump shot from 26 ft,102,78
4,7:10.0,Defensive rebound by J. Brunson,,102,78
4,6:57.0,L. Dončić misses 3-pt jump shot from 28 ft,,102,78
4,6:55.0,,Defensive rebound by M. Robinson,102,78
4,6:47.0,,T. Burke misses 2-pt jump shot from 19 ft,102,78
4,6:46.0,Defensive rebound by J. Brunson,,102,78
4,6:46.0,Dallas full timeout,,102,78
4,6:27.0,M. Kleber makes 2-pt dunk from 1 ft (assist by J. Brunson),,104,78
4,6:04.0,,Turnover by M. Hezonja (lost ball; steal by M. Kleber),104,78
4,5:48.0,Turnover by D. Finney-Smith (bad pass; steal by M. Robinson),,104,78
4,5:35.0,,Turnover by K. Knox (lost ball; steal by D. Powell),104,78
4,5:26.0,J. Brunson misses 2-pt layup from 1 ft,,104,78
4,5:24.0,,Defensive rebound by K. Knox,104,78
4,5:18.0,,T. Burke misses 3-pt jump shot from 23 ft,104,78
4,5:16.0,,Offensive rebound by M. Robinson,104,78
4,5:12.0,,M. Robinson makes 2-pt dunk at rim,104,80
4,5:00.0,L. Dončić misses 3-pt jump shot from 27 ft,,104,80
4,4:58.0,,Defensive rebound by K. Knox,104,80
4,4:50.0,,K. Knox misses 3-pt jump shot from 26 ft,104,80
4,4:48.0,Defensive rebound by L. Dončić,,104,80
4,4:40.0,Turnover by L. Dončić (bad pass; steal by K. Knox),,104,80
4,4:35.0,,Shooting foul by D. Powell (drawn by K. Knox),104,80
4,4:35.0,R. Broekhoff enters the game for L. Dončić,,104,80
4,4:35.0,D. Nowitzki enters the game for D. Finney-Smith,,104,80
4,4:35.0,D. Smith enters the game for M. Kleber,,104,80
4,4:35.0,,K. Knox makes free throw 1 of 2,104,81
4,4:35.0,,K. Knox misses free throw 2 of 2,104,81
4,4:33.0,Defensive rebound by D. Smith,,104,81
4,4:17.0,D. Smith misses 2-pt jump shot from 23 ft,,104,81
4,4:15.0,,Defensive rebound by M. Robinson,104,81
4,4:01.0,,T. Burke misses 2-pt jump shot from 15 ft,104,81
4,3:59.0,Defensive rebound by D. Smith,,104,81
4,3:43.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),,106,81
4,3:25.0,,K. Knox makes 2-pt jump shot from 11 ft,106,83
4,3:04.0,J. Brunson makes 3-pt jump shot from 24 ft (assist by R. Broekhoff),,109,83
4,2:52.0,,K. Knox misses 3-pt jump shot from 25 ft,109,83
4,2:50.0,Defensive rebound by D. Smith,,109,83
4,2:42.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Smith),,112,83
4,2:40.0,,New York full timeout,112,83
4,2:40.0,S. Mejri enters the game for D. Smith,,112,83
4,2:40.0,,K. Allen enters the game for T. Burke,112,83
4,2:40.0,,D. Dotson enters the game for T. Hardaway,112,83
4,2:40.0,,A. Trier enters the game for M. Hezonja,112,83
4,2:21.0,,Shooting foul by J. Brunson (drawn by K. Allen),112,83
4,2:21.0,,K. Allen makes free throw 1 of 2,112,84
4,2:21.0,,K. Allen makes free throw 2 of 2,112,85
4,2:05.0,Turnover by S. Mejri (traveling),,112,85
4,1:47.0,,K. Knox misses 2-pt jump shot from 20 ft,112,85
4,1:45.0,Defensive rebound by R. Broekhoff,,112,85
4,1:38.0,D. Nowitzki makes 2-pt jump shot from 20 ft (assist by J. Brunson),,114,85
4,1:26.0,,Shooting foul by S. Mejri (drawn by K. Knox),114,85
4,1:26.0,,K. Knox makes free throw 1 of 2,114,86
4,1:26.0,,K. Knox makes free throw 2 of 2,114,87
4,1:07.0,D. Powell misses 2-pt hook shot from 4 ft (block by M. Robinson),,114,87
4,1:05.0,,Defensive rebound by D. Dotson,114,87
