QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
1,6:00.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by E. Okobo),,13,14
1,5:45.0,,R. Rondo misses 2-pt layup from 2 ft (block by E. Okobo),13,14
1,5:44.0,,Offensive rebound by I. Zubac,13,14
1,5:42.0,,I. Zubac makes 2-pt layup from 1 ft,13,16
1,5:28.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Booker),,16,16
1,5:02.0,,B. Ingram makes 2-pt layup from 4 ft,16,18
1,4:55.0,Personal foul by K. Caldwell-Pope (drawn by R. Holmes),,16,18
1,4:43.0,E. Okobo misses 2-pt layup from 6 ft,,16,18
1,4:43.0,Offensive rebound by R. Holmes,,16,18
1,4:43.0,Shooting foul by R. Rondo (drawn by R. Holmes),,16,18
1,4:43.0,R. Holmes makes free throw 1 of 2,,17,18
1,4:43.0,R. Holmes makes free throw 2 of 2,,18,18
1,4:35.0,,R. Rondo makes 2-pt layup from 5 ft,18,20
1,4:35.0,Violation by Team (def goaltending),,18,20
1,4:24.0,Turnover by D. Booker (bad pass; steal by K. Caldwell-Pope),,18,20
1,4:20.0,,K. Caldwell-Pope makes 2-pt jump shot from 6 ft,18,22
1,4:02.0,M. Bridges misses 3-pt jump shot from 25 ft,,18,22
1,4:01.0,,Defensive rebound by Team,18,22
1,4:01.0,J. Crawford enters the game for E. Okobo,,18,22
1,4:01.0,,J. McGee enters the game for I. Zubac,18,22
1,3:49.0,,Turnover by J. Hart (traveling),18,22
1,3:39.0,D. Booker misses 2-pt layup from 5 ft (block by J. Hart),,18,22
1,3:36.0,,Defensive rebound by K. Caldwell-Pope,18,22
1,3:34.0,,K. Caldwell-Pope misses 2-pt dunk from 1 ft,18,22
1,3:34.0,Defensive rebound by Team,,18,22
1,3:15.0,R. Holmes makes 2-pt layup from 2 ft (assist by J. Crawford),,20,22
1,3:06.0,,R. Rondo misses 2-pt jump shot from 17 ft,20,22
1,3:01.0,Defensive rebound by M. Bridges,,20,22
1,2:55.0,D. Booker makes 2-pt jump shot from 7 ft,,22,22
1,2:35.0,,Personal foul by K. Oubre (drawn by B. Ingram),22,22
1,2:35.0,J. Jackson enters the game for M. Bridges,,22,22
1,2:35.0,,L. Stephenson enters the game for K. Caldwell-Pope,22,22
1,2:29.0,,Shooting foul by R. Holmes (drawn by B. Ingram),22,22
1,2:29.0,,B. Ingram makes free throw 1 of 2,22,23
1,2:29.0,,B. Ingram misses free throw 2 of 2,22,23
1,2:26.0,Defensive rebound by K. Oubre,,22,23
1,2:22.0,Turnover by D. Booker (bad pass),,22,23
1,2:07.0,,Offensive foul by J. McGee (drawn by K. Oubre),22,23
1,2:07.0,,Turnover by J. McGee (offensive foul),22,23
1,1:48.0,K. Oubre misses 2-pt jump shot from 8 ft,,22,23
1,1:45.0,,Defensive rebound by J. Hart,22,23
1,1:39.0,,L. Stephenson misses 3-pt jump shot from 26 ft,22,23
1,1:34.0,,Offensive rebound by J. McGee,22,23
1,1:29.0,,B. Ingram makes 2-pt layup from 2 ft (assist by R. Rondo),22,25
1,1:20.0,J. Crawford makes 3-pt jump shot from 25 ft (assist by D. Booker),,25,25
1,1:06.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. Stephenson),25,27
1,1:06.0,,Shooting foul by R. Holmes (drawn by J. McGee),25,27
1,1:06.0,D. Bender enters the game for D. Booker,,25,27
1,1:06.0,T. Daniels enters the game for R. Holmes,,25,27
1,1:06.0,,J. McGee makes free throw 1 of 1,25,28
1,0:53.0,J. Crawford misses 2-pt jump shot from 9 ft,,25,28
1,0:52.0,,Defensive rebound by L. Stephenson,25,28
1,0:46.0,,J. Hart makes 3-pt jump shot from 23 ft (assist by B. Ingram),25,31
1,0:30.0,Turnover by J. Jackson (bad pass; steal by L. Stephenson),,25,31
1,0:24.0,,J. McGee misses 2-pt layup from 6 ft (block by D. Bender),25,31
1,0:23.0,Defensive rebound by K. Oubre,,25,31
1,0:23.0,Personal take foul by B. Ingram (drawn by K. Oubre),,25,31
1,0:14.0,Personal foul by L. Stephenson (drawn by J. Crawford),,25,31
1,0:14.0,J. Crawford makes free throw 1 of 2,,26,31
1,0:14.0,J. Crawford makes free throw 2 of 2,,27,31
1,0:01.0,,B. Ingram misses 2-pt jump shot from 19 ft,27,31
1,0:01.0,,Offensive rebound by Team,27,31
2,11:58.0,,Violation by Team (delay of game),27,31
2,11:51.0,J. Jackson makes 2-pt dunk from 1 ft (assist by J. Crawford),,29,31
2,11:37.0,,J. McGee makes 2-pt layup from 3 ft (assist by M. Beasley),29,33
2,11:23.0,K. Oubre misses 2-pt jump shot from 9 ft,,29,33
2,11:20.0,Offensive rebound by J. Jackson,,29,33
2,11:12.0,T. Daniels misses 3-pt jump shot from 23 ft,,29,33
2,11:10.0,,Defensive rebound by M. Beasley,29,33
2,10:58.0,,J. Hart misses 3-pt jump shot from 26 ft,29,33
2,10:55.0,Defensive rebound by D. Bender,,29,33
2,10:52.0,Turnover by J. Crawford (bad pass; steal by S. Mykhailiuk),,29,33
2,10:47.0,,L. Stephenson makes 3-pt jump shot from 23 ft (assist by J. Hart),29,36
2,10:26.0,J. Crawford makes 2-pt jump shot from 18 ft,,31,36
2,10:15.0,,L. Stephenson makes 2-pt layup from 2 ft,31,38
2,10:05.0,Offensive foul by T. Daniels (drawn by S. Mykhailiuk),,31,38
2,10:05.0,Turnover by T. Daniels (offensive foul),,31,38
2,9:50.0,,M. Beasley makes 2-pt layup from 1 ft (assist by J. Hart),31,40
2,9:40.0,K. Oubre misses 3-pt jump shot from 28 ft,,31,40
2,9:37.0,,Defensive rebound by J. McGee,31,40
2,9:28.0,,J. McGee misses 2-pt layup from 2 ft,31,40
2,9:26.0,,Offensive rebound by L. Stephenson,31,40
2,9:23.0,,M. Beasley misses 2-pt layup from 4 ft (block by K. Oubre),31,40
2,9:23.0,,Offensive rebound by Team,31,40
2,9:23.0,M. Bridges enters the game for D. Bender,,31,40
2,9:23.0,R. Holmes enters the game for K. Oubre,,31,40
2,9:20.0,,S. Mykhailiuk misses 2-pt jump shot from 19 ft,31,40
2,9:19.0,,Offensive rebound by M. Beasley,31,40
2,9:18.0,,Turnover by M. Beasley (bad pass),31,40
2,9:07.0,J. Crawford misses 2-pt jump shot from 21 ft,,31,40
2,9:01.0,Offensive rebound by M. Bridges,,31,40
2,9:01.0,M. Bridges misses 2-pt layup at rim,,31,40
2,9:01.0,Offensive rebound by R. Holmes,,31,40
2,9:01.0,Personal foul by M. Beasley (drawn by R. Holmes),,31,40
2,8:55.0,Personal foul by J. McGee (drawn by R. Holmes),,31,40
2,8:50.0,Shooting foul by J. McGee (drawn by J. Jackson),,31,40
2,8:50.0,J. Jackson makes free throw 1 of 2,,32,40
2,8:50.0,,I. Zubac enters the game for J. McGee,32,40
2,8:50.0,J. Jackson makes free throw 2 of 2,,33,40
2,8:35.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by L. Stephenson),33,42
2,8:21.0,T. Daniels misses 3-pt jump shot from 26 ft,,33,42
2,8:20.0,,Defensive rebound by Team,33,42
2,8:07.0,,M. Beasley misses 2-pt layup from 8 ft (block by R. Holmes),33,42
2,8:04.0,,M. Beasley misses 2-pt jump shot from 5 ft,33,42
2,8:04.0,,Offensive rebound by M. Beasley,33,42
2,8:02.0,Defensive rebound by J. Jackson,,33,42
2,7:57.0,R. Holmes misses 2-pt hook shot from 5 ft (block by M. Beasley),,33,42
2,7:54.0,,Defensive rebound by L. Stephenson,33,42
2,7:48.0,,Personal foul by R. Holmes (drawn by I. Zubac),33,42
2,7:48.0,,LA Lakers full timeout,33,42
2,7:48.0,D. Bender enters the game for J. Crawford,,33,42
2,7:48.0,D. Booker enters the game for R. Holmes,,33,42
2,7:37.0,,M. Beasley makes 2-pt jump shot from 4 ft (assist by L. Stephenson),33,44
2,7:24.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by J. Jackson),,36,44
2,7:06.0,,Turnover by I. Zubac (lost ball; steal by T. Daniels),36,44
2,7:01.0,Offensive foul by J. Jackson (drawn by S. Mykhailiuk),,36,44
2,7:01.0,Turnover by J. Jackson (offensive foul),,36,44
2,7:01.0,,K. Caldwell-Pope enters the game for M. Beasley,36,44
2,7:01.0,,B. Ingram enters the game for J. Hart,36,44
2,7:01.0,,R. Rondo enters the game for L. Stephenson,36,44
2,6:47.0,,Turnover by K. Caldwell-Pope (bad pass; steal by M. Bridges),36,44
2,6:35.0,J. Jackson misses 2-pt layup from 3 ft,,36,44
2,6:33.0,,Defensive rebound by I. Zubac,36,44
2,6:26.0,,B. Ingram makes 2-pt layup from 1 ft (assist by R. Rondo),36,46
2,6:25.0,Phoenix full timeout,,36,46
2,6:12.0,J. Jackson misses 2-pt layup from 3 ft,,36,46
2,6:10.0,,Defensive rebound by I. Zubac,36,46
2,5:55.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,36,46
2,5:52.0,Defensive rebound by J. Jackson,,36,46
2,5:42.0,D. Bender misses 3-pt jump shot from 24 ft,,36,46
2,5:39.0,,Defensive rebound by B. Ingram,36,46
2,5:30.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by B. Ingram),36,48
2,5:08.0,Turnover by T. Daniels (bad pass; steal by B. Ingram),,36,48
2,5:04.0,,S. Mykhailiuk misses 2-pt layup from 2 ft,36,48
2,5:03.0,Defensive rebound by D. Booker,,36,48
2,5:03.0,Personal take foul by R. Rondo (drawn by D. Booker),,36,48
2,5:03.0,K. Oubre enters the game for J. Jackson,,36,48
2,5:03.0,,J. Hart enters the game for S. Mykhailiuk,36,48
2,4:50.0,D. Booker misses 2-pt jump shot from 7 ft,,36,48
2,4:50.0,Offensive rebound by D. Bender,,36,48
2,4:50.0,D. Bender makes 2-pt layup at rim,,38,48
2,4:50.0,Shooting foul by J. Hart (drawn by D. Bender),,38,48
2,4:50.0,D. Bender makes free throw 1 of 1,,39,48
2,4:34.0,,B. Ingram makes 2-pt layup from 1 ft,39,50
2,4:16.0,Turnover by K. Oubre (bad pass; steal by K. Caldwell-Pope),,39,50
2,4:07.0,,Personal foul by D. Booker (drawn by J. Hart),39,50
2,4:07.0,J. Crawford enters the game for D. Bender,,39,50
2,4:07.0,E. Terry enters the game for T. Daniels,,39,50
2,3:59.0,,Turnover by R. Rondo (bad pass; steal by K. Oubre),39,50
2,3:47.0,Turnover by K. Oubre (lost ball; steal by B. Ingram),,39,50
2,3:35.0,,I. Zubac makes 2-pt layup from 3 ft (assist by B. Ingram),39,52
2,3:27.0,D. Booker makes 2-pt jump shot from 15 ft,,41,52
2,3:27.0,Shooting foul by K. Caldwell-Pope (drawn by D. Booker),,41,52
2,3:27.0,D. Booker makes free throw 1 of 1,,42,52
2,3:12.0,,B. Ingram makes 2-pt jump shot from 14 ft,42,54
2,2:49.0,J. Crawford misses 3-pt jump shot from 23 ft,,42,54
2,2:45.0,,Defensive rebound by I. Zubac,42,54
2,2:38.0,,J. Hart misses 3-pt jump shot from 25 ft,42,54
2,2:37.0,,Offensive rebound by Team,42,54
2,2:34.0,,J. Hart makes 2-pt dunk from 1 ft (assist by R. Rondo),42,56
2,2:20.0,D. Booker misses 2-pt layup from 4 ft,,42,56
2,2:20.0,,Defensive rebound by Team,42,56
2,2:08.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),42,58
2,2:08.0,,Shooting foul by K. Oubre (drawn by K. Caldwell-Pope),42,58
2,2:08.0,,K. Caldwell-Pope makes free throw 1 of 1,42,59
2,1:56.0,E. Terry makes 2-pt layup from 2 ft (assist by D. Booker),,44,59
2,1:40.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by R. Rondo),44,61
2,1:26.0,Shooting foul by B. Ingram (drawn by K. Oubre),,44,61
2,1:26.0,K. Oubre makes free throw 1 of 2,,45,61
2,1:26.0,K. Oubre makes free throw 2 of 2,,46,61
2,1:15.0,,R. Rondo makes 2-pt layup from 1 ft,46,63
2,1:09.0,D. Booker makes 2-pt layup from 3 ft,,48,63
2,1:09.0,Shooting foul by I. Zubac (drawn by D. Booker),,48,63
2,1:09.0,,S. Mykhailiuk enters the game for B. Ingram,48,63
2,1:09.0,D. Booker makes free throw 1 of 1,,49,63
2,0:48.0,,I. Zubac makes 2-pt hook shot from 3 ft (assist by S. Mykhailiuk),49,65
2,0:39.0,Personal foul by I. Zubac (drawn by M. Bridges),,49,65
2,0:39.0,M. Bridges makes free throw 1 of 2,,50,65
2,0:39.0,,M. Beasley enters the game for I. Zubac,50,65
2,0:39.0,M. Bridges makes free throw 2 of 2,,51,65
2,0:30.0,,Turnover by M. Beasley (bad pass),51,65
2,0:10.0,K. Oubre misses 3-pt jump shot from 25 ft,,51,65
2,0:06.0,E. Terry makes 2-pt layup at rim,,53,65
2,0:06.0,Offensive rebound by E. Terry,,53,65
2,0:01.0,,R. Rondo misses 2-pt layup from 4 ft,53,65
2,0:01.0,Defensive rebound by E. Terry,,53,65
3,11:47.0,D. Booker misses 2-pt jump shot from 19 ft,,53,65
3,11:45.0,,Defensive rebound by Team,53,65
3,11:30.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by M. Beasley),53,67
3,11:07.0,J. Jackson misses 3-pt jump shot from 25 ft,,53,67
3,11:04.0,Offensive rebound by D. Booker,,53,67
3,11:03.0,D. Booker misses 2-pt jump shot from 17 ft,,53,67
3,11:03.0,,Defensive rebound by I. Zubac,53,67
3,10:59.0,,Turnover by R. Rondo (bad pass),53,67
3,10:40.0,Turnover by D. Booker (bad pass),,53,67
3,10:26.0,,I. Zubac makes 2-pt layup from 2 ft (assist by B. Ingram),53,69
3,10:11.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by E. Okobo),,56,69
3,9:50.0,,I. Zubac misses 2-pt layup from 5 ft (block by R. Holmes),56,69
3,9:47.0,,Offensive rebound by K. Caldwell-Pope,56,69
3,9:47.0,,Shooting foul by M. Bridges (drawn by B. Ingram),56,69
3,9:47.0,,B. Ingram makes free throw 1 of 2,56,70
3,9:47.0,,B. Ingram misses free throw 2 of 2,56,70
3,9:44.0,Defensive rebound by M. Bridges,,56,70
3,9:36.0,Personal foul by R. Rondo (drawn by D. Booker),,56,70
3,9:31.0,E. Okobo misses 3-pt jump shot from 27 ft,,56,70
3,9:23.0,Offensive rebound by J. Jackson,,56,70
3,9:23.0,J. Jackson misses 2-pt dunk from 1 ft,,56,70
3,9:23.0,Offensive rebound by R. Holmes,,56,70
3,9:19.0,R. Holmes makes 2-pt layup from 2 ft,,58,70
3,9:02.0,,M. Beasley makes 2-pt jump shot from 4 ft,58,72
3,8:57.0,D. Booker makes 2-pt jump shot from 5 ft,,60,72
3,8:57.0,Shooting foul by K. Caldwell-Pope (drawn by D. Booker),,60,72
3,8:57.0,D. Booker makes free throw 1 of 1,,61,72
3,8:43.0,,I. Zubac misses 2-pt layup from 4 ft (block by R. Holmes),61,72
3,8:40.0,Defensive rebound by R. Holmes,,61,72
3,8:24.0,D. Booker misses 2-pt dunk from 3 ft (block by M. Beasley),,61,72
3,8:23.0,,Defensive rebound by K. Caldwell-Pope,61,72
3,8:23.0,,Personal take foul by E. Okobo (drawn by K. Caldwell-Pope),61,72
3,8:07.0,,M. Beasley misses 2-pt hook shot from 6 ft,61,72
3,8:05.0,Defensive rebound by R. Holmes,,61,72
3,8:00.0,D. Booker makes 2-pt layup from 1 ft,,63,72
3,7:37.0,,M. Beasley misses 2-pt jump shot from 5 ft,63,72
3,7:37.0,,Offensive rebound by Team,63,72
3,7:37.0,Loose ball foul by E. Okobo (drawn by I. Zubac),,63,72
3,7:25.0,,B. Ingram misses 2-pt layup from 2 ft,63,72
3,7:22.0,,Offensive rebound by I. Zubac,63,72
3,7:22.0,,I. Zubac misses 2-pt layup at rim,63,72
3,7:21.0,,Offensive rebound by K. Caldwell-Pope,63,72
3,7:11.0,,R. Rondo makes 2-pt jump shot from 6 ft,63,74
3,7:00.0,Shooting foul by M. Beasley (drawn by R. Holmes),,63,74
3,7:00.0,R. Holmes makes free throw 1 of 2,,64,74
3,7:00.0,R. Holmes makes free throw 2 of 2,,65,74
3,6:43.0,,B. Ingram makes 3-pt jump shot from 22 ft (assist by R. Rondo),65,77
3,6:21.0,J. Jackson makes 2-pt jump shot from 18 ft,,67,77
3,6:08.0,,Shooting foul by M. Bridges (drawn by I. Zubac),67,77
3,6:08.0,,LA Lakers full timeout,67,77
3,6:08.0,,I. Zubac makes free throw 1 of 2,67,78
3,6:08.0,,I. Zubac makes free throw 2 of 2,67,79
3,5:43.0,E. Okobo makes 2-pt jump shot from 5 ft,,69,79
3,5:22.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by M. Beasley),69,82
3,5:08.0,Turnover by E. Okobo (lost ball; steal by R. Rondo),,69,82
3,4:50.0,,M. Beasley misses 2-pt layup from 3 ft,69,82
3,4:47.0,,Offensive rebound by I. Zubac,69,82
3,4:47.0,,I. Zubac makes 2-pt layup at rim,69,84
3,4:47.0,Phoenix full timeout,,69,84
3,4:47.0,J. Crawford enters the game for R. Holmes,,69,84
3,4:47.0,K. Oubre enters the game for J. Jackson,,69,84
3,4:47.0,E. Terry enters the game for E. Okobo,,69,84
3,4:38.0,Personal foul by M. Beasley (drawn by E. Terry),,69,84
3,4:25.0,M. Bridges misses 3-pt jump shot from 23 ft,,69,84
3,4:21.0,Offensive rebound by K. Oubre,,69,84
3,4:14.0,K. Oubre misses 2-pt layup from 6 ft (block by B. Ingram),,69,84
3,4:14.0,Offensive rebound by Team,,69,84
3,4:12.0,D. Booker makes 2-pt jump shot from 18 ft (assist by K. Oubre),,71,84
3,4:04.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by R. Rondo),71,87
3,3:54.0,D. Booker makes 2-pt layup from 1 ft,,73,87
3,3:34.0,,Turnover by M. Beasley (bad pass),73,87
3,3:34.0,,J. McGee enters the game for I. Zubac,73,87
3,3:21.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Crawford),,75,87
3,3:21.0,,LA Lakers full timeout,75,87
3,3:21.0,,J. Hart enters the game for M. Beasley,75,87
3,3:09.0,,Shooting foul by E. Terry (drawn by B. Ingram),75,87
3,3:09.0,,B. Ingram misses free throw 1 of 2,75,87
3,3:09.0,,Offensive rebound by Team,75,87
3,3:09.0,,B. Ingram makes free throw 2 of 2,75,88
3,2:57.0,Personal foul by J. McGee (drawn by K. Oubre),,75,88
3,2:57.0,K. Oubre makes free throw 1 of 2,,76,88
3,2:57.0,K. Oubre makes free throw 2 of 2,,77,88
3,2:42.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,77,88
3,2:40.0,Defensive rebound by M. Bridges,,77,88
3,2:36.0,J. Crawford misses 3-pt jump shot from 27 ft,,77,88
3,2:31.0,,Defensive rebound by K. Caldwell-Pope,77,88
3,2:25.0,,Turnover by K. Caldwell-Pope (lost ball; steal by J. Crawford),77,88
3,2:21.0,Shooting foul by B. Ingram (drawn by E. Terry),,77,88
3,2:21.0,E. Terry misses free throw 1 of 2,,77,88
3,2:21.0,Offensive rebound by Team,,77,88
3,2:21.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,77,88
3,2:21.0,,L. Stephenson enters the game for J. Hart,77,88
3,2:21.0,E. Terry makes free throw 2 of 2,,78,88
3,2:11.0,,Turnover by R. Rondo (lost ball; steal by J. Crawford),78,88
3,2:06.0,E. Terry misses 2-pt layup from 2 ft,,78,88
3,2:02.0,,Defensive rebound by B. Ingram,78,88
3,1:59.0,,S. Mykhailiuk misses 3-pt jump shot from 27 ft,78,88
3,1:52.0,Defensive rebound by M. Bridges,,78,88
3,1:46.0,Turnover by M. Bridges (bad pass),,78,88
3,1:37.0,,L. Stephenson makes 2-pt layup from 3 ft,78,90
3,1:18.0,Personal foul by B. Ingram (drawn by M. Bridges),,78,90
3,1:18.0,Offensive rebound by Team,,78,90
3,1:18.0,M. Bridges misses free throw 1 of 2,,78,90
3,1:18.0,,A. Caruso enters the game for B. Ingram,78,90
3,1:18.0,M. Bridges makes free throw 2 of 2,,79,90
3,0:57.0,,Turnover by S. Mykhailiuk (lost ball; steal by E. Terry),79,90
3,0:48.0,K. Oubre misses 2-pt layup from 6 ft,,79,90
3,0:45.0,Offensive rebound by E. Terry,,79,90
3,0:44.0,E. Terry misses 2-pt layup from 2 ft,,79,90
3,0:43.0,,Defensive rebound by J. McGee,79,90
3,0:43.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,79,90
3,0:30.0,,Turnover by J. McGee (bad pass; steal by E. Terry),79,90
3,0:26.0,D. Booker makes 2-pt layup from 1 ft (assist by E. Terry),,81,90
3,0:04.0,,Personal foul by D. Booker (drawn by J. McGee),81,90
3,0:04.0,R. Holmes enters the game for M. Bridges,,81,90
3,0:04.0,,J. McGee misses free throw 1 of 2,81,90
3,0:04.0,,Offensive rebound by Team,81,90
3,0:04.0,D. Bender enters the game for E. Terry,,81,90
3,0:04.0,,J. McGee misses free throw 2 of 2,81,90
3,0:04.0,Defensive rebound by R. Holmes,,81,90
3,0:00.0,D. Booker misses 3-pt jump shot from 34 ft,,81,90
3,0:00.0,Offensive rebound by Team,,81,90
4,11:46.0,,Personal foul by R. Holmes (drawn by I. Zubac),81,90
4,11:33.0,,M. Beasley misses 2-pt hook shot from 6 ft,81,90
4,11:32.0,Defensive rebound by R. Holmes,,81,90
4,11:27.0,K. Oubre misses 2-pt layup from 4 ft (block by B. Ingram),,81,90
4,11:27.0,Offensive rebound by Team,,81,90
4,11:25.0,R. Holmes makes 2-pt dunk from 2 ft (assist by K. Oubre),,83,90
4,11:25.0,Shooting foul by B. Ingram (drawn by R. Holmes),,83,90
4,11:25.0,,LA Lakers full timeout,83,90
4,11:25.0,,R. Rondo enters the game for B. Ingram,83,90
4,11:25.0,R. Holmes makes free throw 1 of 1,,84,90
4,11:08.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,84,90
4,11:05.0,Defensive rebound by J. Jackson,,84,90
4,10:50.0,J. Crawford misses 3-pt jump shot from 22 ft,,84,90
4,10:47.0,,Defensive rebound by I. Zubac,84,90
4,10:30.0,,L. Stephenson makes 3-pt jump shot from 23 ft (assist by M. Beasley),84,93
4,10:12.0,D. Booker misses 2-pt jump shot from 3 ft,,84,93
4,10:09.0,,Defensive rebound by I. Zubac,84,93
4,10:09.0,,Personal take foul by D. Booker (drawn by I. Zubac),84,93
4,9:57.0,,L. Stephenson makes 2-pt layup from 4 ft,84,95
4,9:44.0,D. Booker makes 2-pt layup from 2 ft (assist by J. Crawford),,86,95
4,9:42.0,Technical foul by D. Booker,,86,95
4,9:42.0,,K. Caldwell-Pope makes technical free throw,86,96
4,9:28.0,,L. Stephenson misses 3-pt jump shot from 25 ft,86,96
4,9:24.0,Defensive rebound by K. Oubre,,86,96
4,9:16.0,J. Jackson makes 2-pt layup from 5 ft,,88,96
4,9:00.0,,L. Stephenson makes 3-pt jump shot from 23 ft (assist by R. Rondo),88,99
4,8:50.0,J. Jackson misses 2-pt layup from 2 ft (block by M. Beasley),,88,99
4,8:47.0,,Defensive rebound by I. Zubac,88,99
4,8:43.0,,L. Stephenson makes 2-pt jump shot from 20 ft (assist by M. Beasley),88,101
4,8:42.0,Phoenix full timeout,,88,101
4,8:17.0,K. Oubre misses 3-pt jump shot from 22 ft,,88,101
4,8:13.0,,Defensive rebound by R. Rondo,88,101
4,7:52.0,,L. Stephenson misses 2-pt jump shot from 4 ft,88,101
4,7:52.0,,Offensive rebound by Team,88,101
4,7:52.0,,Turnover by Team (shot clock),88,101
4,7:38.0,Turnover by J. Jackson (step out of bounds),,88,101
4,7:31.0,,Personal foul by J. Crawford (drawn by R. Rondo),88,101
4,7:16.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Rondo),88,104
4,7:03.0,Turnover by J. Jackson (bad pass; steal by M. Beasley),,88,104
4,6:58.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,88,104
4,6:53.0,Defensive rebound by R. Holmes,,88,104
