QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
1,6:52.0,,Personal foul by I. Shumpert (drawn by E. Bledsoe),14,15
1,6:45.0,,K. Middleton misses 3-pt jump shot from 25 ft,14,15
1,6:43.0,Defensive rebound by I. Shumpert,,14,15
1,6:35.0,Shooting foul by B. Lopez (drawn by W. Cauley-Stein),,14,15
1,6:35.0,W. Cauley-Stein makes free throw 1 of 2,,15,15
1,6:35.0,W. Cauley-Stein misses free throw 2 of 2,,15,15
1,6:32.0,,Defensive rebound by E. İlyasova,15,15
1,6:18.0,,K. Middleton misses 3-pt jump shot from 25 ft,15,15
1,6:15.0,Defensive rebound by B. Hield,,15,15
1,6:11.0,N. Bjelica misses 3-pt jump shot from 27 ft,,15,15
1,6:08.0,,Defensive rebound by E. Bledsoe,15,15
1,6:03.0,,E. Bledsoe makes 2-pt layup from 1 ft,15,17
1,5:56.0,Sacramento full timeout,,15,17
1,5:49.0,D. Fox misses 3-pt jump shot from 28 ft,,15,17
1,5:46.0,,Defensive rebound by E. Bledsoe,15,17
1,5:33.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),15,20
1,5:11.0,I. Shumpert misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,15,20
1,5:08.0,,Defensive rebound by E. İlyasova,15,20
1,5:05.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),15,23
1,4:50.0,B. Hield misses 2-pt layup from 8 ft (block by B. Lopez),,15,23
1,4:50.0,,Defensive rebound by Team,15,23
1,4:50.0,,D. DiVincenzo enters the game for G. Antetokounmpo,15,23
1,4:50.0,,J. Henson enters the game for B. Lopez,15,23
1,4:31.0,,E. İlyasova misses 3-pt jump shot from 26 ft,15,23
1,4:28.0,,Offensive rebound by D. DiVincenzo,15,23
1,4:21.0,,Shooting foul by N. Bjelica (drawn by E. İlyasova),15,23
1,4:21.0,,E. İlyasova makes free throw 1 of 2,15,24
1,4:21.0,M. Bagley enters the game for N. Bjelica,,15,24
1,4:21.0,J. Jackson enters the game for I. Shumpert,,15,24
1,4:21.0,,M. Brogdon enters the game for E. Bledsoe,15,24
1,4:21.0,,E. İlyasova makes free throw 2 of 2,15,25
1,4:08.0,B. Hield makes 2-pt jump shot from 20 ft,,17,25
1,3:54.0,,K. Middleton misses 3-pt jump shot from 26 ft,17,25
1,3:51.0,,Offensive rebound by J. Henson,17,25
1,3:49.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,17,25
1,3:49.0,,Offensive rebound by Team,17,25
1,3:49.0,Loose ball foul by M. Bagley (drawn by E. İlyasova),,17,25
1,3:49.0,,E. İlyasova makes free throw 1 of 2,17,26
1,3:49.0,K. Koufos enters the game for W. Cauley-Stein,,17,26
1,3:49.0,,T. Snell enters the game for K. Middleton,17,26
1,3:49.0,,E. İlyasova makes free throw 2 of 2,17,27
1,3:34.0,J. Jackson makes 3-pt jump shot from 28 ft (assist by B. Hield),,20,27
1,3:18.0,,J. Henson misses 3-pt jump shot from 23 ft,20,27
1,3:14.0,Defensive rebound by M. Bagley,,20,27
1,3:10.0,M. Bagley makes 2-pt layup from 2 ft,,22,27
1,3:01.0,,D. DiVincenzo makes 2-pt layup at rim,22,29
1,2:51.0,M. Bagley misses 2-pt hook shot from 8 ft,,22,29
1,2:47.0,,Defensive rebound by J. Henson,22,29
1,2:38.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by E. İlyasova),22,32
1,2:17.0,M. Bagley makes 3-pt jump shot from 26 ft (assist by D. Fox),,25,32
1,2:03.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by J. Henson),25,34
1,2:03.0,,Shooting foul by K. Koufos (drawn by M. Brogdon),25,34
1,2:03.0,F. Mason enters the game for D. Fox,,25,34
1,2:03.0,,G. Antetokounmpo enters the game for E. İlyasova,25,34
1,2:03.0,,M. Brogdon makes free throw 1 of 1,25,35
1,1:47.0,J. Jackson makes 2-pt jump shot from 14 ft (assist by K. Koufos),,27,35
1,1:26.0,,J. Henson makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),27,37
1,1:10.0,B. Hield makes 3-pt jump shot from 27 ft (assist by K. Koufos),,30,37
1,1:01.0,,M. Brogdon misses 3-pt jump shot from 28 ft,30,37
1,0:58.0,Defensive rebound by M. Bagley,,30,37
1,0:49.0,M. Bagley misses 3-pt jump shot from 27 ft,,30,37
1,0:47.0,,Defensive rebound by Team,30,37
1,0:34.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,30,39
1,0:31.0,J. Jackson misses 3-pt jump shot from 26 ft,,30,39
1,0:27.0,,Defensive rebound by M. Brogdon,30,39
1,0:24.0,,Turnover by G. Antetokounmpo (off goaltending),30,39
1,0:07.0,Personal foul by D. DiVincenzo (drawn by B. Hield),,30,39
1,0:01.0,Turnover by B. Hield (lost ball; steal by D. DiVincenzo),,30,39
1,0:00.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,30,39
1,0:00.0,,Offensive rebound by Team,30,39
2,11:45.0,F. Mason misses 3-pt jump shot from 27 ft,,30,39
2,11:41.0,,Defensive rebound by G. Antetokounmpo,30,39
2,11:31.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),30,42
2,11:22.0,Personal foul by T. Snell (drawn by I. Shumpert),,30,42
2,11:22.0,,B. Lopez enters the game for J. Henson,30,42
2,11:10.0,J. Jackson misses 3-pt jump shot from 24 ft,,30,42
2,11:08.0,,Defensive rebound by M. Brogdon,30,42
2,11:04.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Brogdon),30,44
2,11:04.0,,Shooting foul by I. Shumpert (drawn by G. Antetokounmpo),30,44
2,11:04.0,,P. Connaughton enters the game for D. DiVincenzo,30,44
2,11:04.0,,G. Antetokounmpo makes free throw 1 of 1,30,45
2,10:47.0,M. Bagley misses 2-pt layup from 1 ft,,30,45
2,10:47.0,,Defensive rebound by T. Snell,30,45
2,10:40.0,,Personal foul by M. Bagley (drawn by G. Antetokounmpo),30,45
2,10:26.0,,B. Lopez misses 3-pt jump shot from 24 ft,30,45
2,10:26.0,,Offensive rebound by P. Connaughton,30,45
2,10:12.0,,G. Antetokounmpo makes 2-pt jump shot from 12 ft,30,47
2,9:50.0,I. Shumpert misses 3-pt jump shot from 23 ft,,30,47
2,9:47.0,,Defensive rebound by M. Brogdon,30,47
2,9:44.0,,B. Lopez misses 3-pt jump shot from 26 ft,30,47
2,9:41.0,Defensive rebound by I. Shumpert,,30,47
2,9:35.0,I. Shumpert makes 2-pt jump shot from 19 ft,,32,47
2,9:12.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by M. Brogdon),32,50
2,8:57.0,F. Mason makes 2-pt jump shot from 14 ft,,34,50
2,8:53.0,,Personal foul by M. Bagley (drawn by G. Antetokounmpo),34,50
2,8:53.0,N. Bjelica enters the game for M. Bagley,,34,50
2,8:53.0,W. Cauley-Stein enters the game for K. Koufos,,34,50
2,8:53.0,D. Fox enters the game for F. Mason,,34,50
2,8:53.0,,E. Bledsoe enters the game for M. Brogdon,34,50
2,8:53.0,,K. Middleton enters the game for T. Snell,34,50
2,8:46.0,,K. Middleton misses 2-pt jump shot from 3 ft (block by W. Cauley-Stein),34,50
2,8:41.0,Defensive rebound by I. Shumpert,,34,50
2,8:37.0,I. Shumpert misses 3-pt jump shot from 27 ft,,34,50
2,8:34.0,,Defensive rebound by G. Antetokounmpo,34,50
2,8:32.0,,Turnover by G. Antetokounmpo (traveling),34,50
2,8:25.0,N. Bjelica misses 2-pt layup from 4 ft (block by B. Lopez),,34,50
2,8:21.0,,Defensive rebound by K. Middleton,34,50
2,8:21.0,T. Williams enters the game for I. Shumpert,,34,50
2,8:21.0,,E. İlyasova enters the game for B. Lopez,34,50
2,8:06.0,,Turnover by G. Antetokounmpo (lost ball; steal by W. Cauley-Stein),34,50
2,8:03.0,D. Fox makes 2-pt layup from 3 ft,,36,50
2,7:48.0,,Turnover by E. Bledsoe (lost ball; steal by T. Williams),36,50
2,7:43.0,T. Williams misses 2-pt layup from 2 ft (block by P. Connaughton),,36,50
2,7:39.0,,Defensive rebound by K. Middleton,36,50
2,7:39.0,,B. Lopez enters the game for P. Connaughton,36,50
2,7:39.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by K. Middleton),36,52
2,7:31.0,Turnover by D. Fox (lost ball; steal by G. Antetokounmpo),,36,52
2,7:28.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),36,55
2,7:27.0,Sacramento full timeout,,36,55
2,7:27.0,B. Hield enters the game for T. Williams,,36,55
2,7:27.0,,P. Connaughton enters the game for G. Antetokounmpo,36,55
2,7:14.0,B. Hield misses 3-pt jump shot from 27 ft,,36,55
2,7:10.0,,Defensive rebound by E. Bledsoe,36,55
2,7:04.0,,E. Bledsoe makes 2-pt layup at rim,36,57
2,6:52.0,Turnover by B. Hield (bad pass; steal by E. İlyasova),,36,57
2,6:44.0,,P. Connaughton misses 3-pt jump shot from 26 ft,36,57
2,6:41.0,Defensive rebound by W. Cauley-Stein,,36,57
2,6:33.0,N. Bjelica makes 2-pt hook shot from 4 ft (assist by D. Fox),,38,57
2,6:22.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Middleton),38,60
2,6:10.0,Turnover by W. Cauley-Stein (bad pass),,38,60
2,6:00.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,38,60
2,5:55.0,,Offensive rebound by P. Connaughton,38,60
2,5:51.0,,E. İlyasova misses 2-pt jump shot from 12 ft,38,60
2,5:48.0,Defensive rebound by N. Bjelica,,38,60
2,5:41.0,D. Fox makes 3-pt jump shot from 25 ft (assist by J. Jackson),,41,60
2,5:21.0,,K. Middleton misses 3-pt jump shot from 28 ft,41,60
2,5:18.0,Defensive rebound by D. Fox,,41,60
2,5:14.0,J. Jackson makes 2-pt layup at rim (assist by D. Fox),,43,60
2,5:14.0,,G. Antetokounmpo enters the game for B. Lopez,43,60
2,4:48.0,,Turnover by Team (shot clock),43,60
2,4:41.0,Shooting foul by G. Antetokounmpo (drawn by W. Cauley-Stein),,43,60
2,4:41.0,W. Cauley-Stein misses free throw 1 of 2,,43,60
2,4:41.0,Offensive rebound by Team,,43,60
2,4:41.0,I. Shumpert enters the game for J. Jackson,,43,60
2,4:41.0,,D. DiVincenzo enters the game for P. Connaughton,43,60
2,4:41.0,W. Cauley-Stein makes free throw 2 of 2,,44,60
2,4:26.0,,K. Middleton misses 2-pt jump shot from 10 ft,44,60
2,4:23.0,Defensive rebound by I. Shumpert,,44,60
2,4:05.0,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by D. Fox),,46,60
2,4:03.0,,Milwaukee full timeout,46,60
2,3:43.0,,E. Bledsoe makes 2-pt layup at rim (assist by E. İlyasova),46,62
2,3:29.0,Turnover by W. Cauley-Stein (bad pass),,46,62
2,3:17.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,46,62
2,3:13.0,Defensive rebound by B. Hield,,46,62
2,3:11.0,Personal foul by E. Bledsoe (drawn by D. Fox),,46,62
2,3:11.0,,M. Brogdon enters the game for E. Bledsoe,46,62
2,3:11.0,,T. Snell enters the game for K. Middleton,46,62
2,3:04.0,D. Fox misses 2-pt jump shot from 19 ft,,46,62
2,2:59.0,,Defensive rebound by T. Snell,46,62
2,2:49.0,,Personal foul by W. Cauley-Stein (drawn by D. DiVincenzo),46,62
2,2:47.0,,Turnover by T. Snell (bad pass),46,62
2,2:37.0,I. Shumpert misses 3-pt jump shot from 28 ft,,46,62
2,2:33.0,,Defensive rebound by E. İlyasova,46,62
2,2:19.0,,G. Antetokounmpo misses 2-pt layup from 4 ft (block by W. Cauley-Stein),46,62
2,2:16.0,,Offensive rebound by G. Antetokounmpo,46,62
2,2:14.0,,M. Brogdon misses 3-pt jump shot from 27 ft,46,62
2,2:12.0,,Offensive rebound by D. DiVincenzo,46,62
2,2:09.0,,M. Brogdon makes 2-pt layup from 5 ft (assist by D. DiVincenzo),46,64
2,2:02.0,,Violation by Team (kicked ball),46,64
2,2:02.0,Sacramento full timeout,,46,64
2,1:56.0,Offensive foul by W. Cauley-Stein (drawn by E. İlyasova),,46,64
2,1:56.0,Turnover by W. Cauley-Stein (offensive foul),,46,64
2,1:42.0,,M. Brogdon makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),46,67
2,1:28.0,B. Hield makes 2-pt jump shot from 17 ft,,48,67
2,1:14.0,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),48,67
2,1:14.0,,G. Antetokounmpo makes free throw 1 of 2,48,68
2,1:14.0,M. Bagley enters the game for W. Cauley-Stein,,48,68
2,1:14.0,,G. Antetokounmpo makes free throw 2 of 2,48,69
2,1:05.0,Turnover by N. Bjelica (bad pass),,48,69
2,0:49.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),48,72
2,0:37.0,M. Bagley misses 2-pt hook shot from 4 ft,,48,72
2,0:35.0,Offensive rebound by B. Hield,,48,72
2,0:32.0,B. Hield misses 3-pt jump shot from 24 ft,,48,72
2,0:29.0,,Defensive rebound by M. Brogdon,48,72
2,0:28.0,,Offensive foul by G. Antetokounmpo (drawn by D. Fox),48,72
2,0:28.0,,Turnover by G. Antetokounmpo (offensive foul),48,72
2,0:28.0,,J. Henson enters the game for G. Antetokounmpo,48,72
2,0:05.0,D. Fox makes 2-pt layup from 3 ft,,50,72
2,0:00.0,,T. Snell misses 2-pt jump shot from 17 ft,50,72
2,0:00.0,,Offensive rebound by Team,50,72
3,11:45.0,B. Hield misses 2-pt jump shot from 15 ft,,50,72
3,11:42.0,,Defensive rebound by B. Lopez,50,72
3,11:31.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,50,72
3,11:28.0,Defensive rebound by I. Shumpert,,50,72
3,11:24.0,D. Fox makes 2-pt layup from 4 ft (assist by I. Shumpert),,52,72
3,11:07.0,,K. Middleton misses 2-pt hook shot from 7 ft,52,72
3,11:05.0,Defensive rebound by W. Cauley-Stein,,52,72
3,10:57.0,D. Fox misses 2-pt layup from 2 ft,,52,72
3,10:56.0,Offensive rebound by Team,,52,72
3,10:51.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,52,72
3,10:48.0,,Defensive rebound by E. Bledsoe,52,72
3,10:42.0,,B. Lopez misses 3-pt jump shot from 27 ft,52,72
3,10:39.0,Defensive rebound by D. Fox,,52,72
3,10:35.0,,Violation by Team (kicked ball),52,72
3,10:25.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,54,72
3,10:16.0,,Shooting foul by B. Hield (drawn by B. Lopez),54,72
3,10:16.0,,B. Lopez makes free throw 1 of 2,54,73
3,10:16.0,,B. Lopez makes free throw 2 of 2,54,74
3,9:56.0,N. Bjelica misses 2-pt layup from 4 ft,,54,74
3,9:54.0,,Defensive rebound by G. Antetokounmpo,54,74
3,9:49.0,,G. Antetokounmpo makes 2-pt dunk from 3 ft,54,76
3,9:43.0,Turnover by D. Fox (bad pass; steal by K. Middleton),,54,76
3,9:40.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),54,78
3,9:40.0,Sacramento full timeout,,54,78
3,9:36.0,Personal foul by G. Antetokounmpo (drawn by N. Bjelica),,54,78
3,9:32.0,Shooting foul by B. Lopez (drawn by W. Cauley-Stein),,54,78
3,9:32.0,W. Cauley-Stein misses free throw 1 of 2,,54,78
3,9:32.0,Offensive rebound by Team,,54,78
3,9:32.0,W. Cauley-Stein misses free throw 2 of 2,,54,78
3,9:32.0,,Defensive rebound by G. Antetokounmpo,54,78
3,9:13.0,,Shooting foul by W. Cauley-Stein (drawn by E. Bledsoe),54,78
3,9:13.0,,E. Bledsoe makes free throw 1 of 2,54,79
3,9:13.0,K. Koufos enters the game for W. Cauley-Stein,,54,79
3,9:13.0,,E. Bledsoe makes free throw 2 of 2,54,80
3,8:54.0,B. Hield misses 2-pt jump shot from 11 ft,,54,80
3,8:50.0,,Defensive rebound by G. Antetokounmpo,54,80
3,8:44.0,,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),54,80
3,8:44.0,,G. Antetokounmpo makes free throw 1 of 2,54,81
3,8:44.0,,G. Antetokounmpo makes free throw 2 of 2,54,82
3,8:35.0,B. Hield makes 2-pt layup from 2 ft,,56,82
3,8:35.0,Shooting foul by B. Lopez (drawn by B. Hield),,56,82
3,8:35.0,B. Hield makes free throw 1 of 1,,57,82
3,8:19.0,,E. Bledsoe misses 2-pt jump shot from 16 ft,57,82
3,8:17.0,Defensive rebound by D. Fox,,57,82
3,8:15.0,D. Fox misses 2-pt jump shot from 10 ft,,57,82
3,8:12.0,,Defensive rebound by B. Lopez,57,82
3,8:03.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,57,84
3,8:03.0,,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),57,84
3,8:03.0,,G. Antetokounmpo makes free throw 1 of 1,57,85
3,7:52.0,B. Hield misses 2-pt layup from 5 ft (block by B. Lopez),,57,85
3,7:52.0,Offensive rebound by Team,,57,85
3,7:43.0,N. Bjelica misses 2-pt jump shot from 19 ft,,57,85
3,7:41.0,,Defensive rebound by G. Antetokounmpo,57,85
3,7:33.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,57,85
3,7:31.0,Defensive rebound by D. Fox,,57,85
3,7:24.0,Sacramento full timeout,,57,85
3,7:24.0,M. Bagley enters the game for N. Bjelica,,57,85
3,7:24.0,J. Jackson enters the game for B. Hield,,57,85
3,7:24.0,,E. İlyasova enters the game for M. Brogdon,57,85
3,7:20.0,I. Shumpert misses 2-pt jump shot from 18 ft,,57,85
3,7:17.0,,Defensive rebound by E. İlyasova,57,85
3,7:03.0,,K. Middleton misses 3-pt jump shot from 23 ft,57,85
3,7:03.0,Defensive rebound by K. Koufos,,57,85
3,7:03.0,,Loose ball foul by E. Bledsoe (drawn by K. Koufos),57,85
3,6:47.0,D. Fox makes 3-pt jump shot from 28 ft (assist by I. Shumpert),,60,85
3,6:38.0,,B. Lopez makes 3-pt jump shot from 31 ft (assist by G. Antetokounmpo),60,88
3,6:30.0,D. Fox misses 2-pt layup from 3 ft (block by E. Bledsoe),,60,88
3,6:30.0,Offensive rebound by Team,,60,88
3,6:30.0,T. Williams enters the game for I. Shumpert,,60,88
3,6:24.0,D. Fox misses 3-pt jump shot from 26 ft,,60,88
3,6:21.0,,Defensive rebound by G. Antetokounmpo,60,88
3,6:16.0,,B. Lopez misses 3-pt jump shot from 28 ft,60,88
3,6:12.0,Defensive rebound by D. Fox,,60,88
3,6:08.0,J. Jackson misses 3-pt jump shot from 27 ft,,60,88
3,6:05.0,Offensive rebound by K. Koufos,,60,88
3,6:03.0,K. Koufos makes 2-pt layup at rim,,62,88
3,5:45.0,,E. Bledsoe makes 2-pt layup from 1 ft,62,90
3,5:41.0,J. Jackson makes 2-pt layup at rim (assist by D. Fox),,64,90
3,5:35.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,64,90
3,5:35.0,Defensive rebound by T. Williams,,64,90
3,5:27.0,Turnover by M. Bagley (out of bounds lost ball),,64,90
3,5:27.0,,D. DiVincenzo enters the game for G. Antetokounmpo,64,90
3,5:27.0,,J. Henson enters the game for B. Lopez,64,90
3,5:16.0,,D. DiVincenzo misses 3-pt jump shot from 25 ft,64,90
3,5:11.0,Defensive rebound by D. Fox,,64,90
3,5:01.0,Shooting foul by E. İlyasova (drawn by M. Bagley),,64,90
3,5:01.0,M. Bagley makes free throw 1 of 2,,65,90
3,5:01.0,F. Mason enters the game for D. Fox,,65,90
3,5:01.0,M. Bagley makes free throw 2 of 2,,66,90
3,4:43.0,,Shooting foul by T. Williams (drawn by K. Middleton),66,90
3,4:43.0,,K. Middleton makes free throw 1 of 2,66,91
3,4:43.0,,K. Middleton makes free throw 2 of 2,66,92
3,4:36.0,Shooting foul by E. İlyasova (drawn by M. Bagley),,66,92
3,4:36.0,M. Bagley makes free throw 1 of 2,,67,92
3,4:36.0,M. Bagley misses free throw 2 of 2,,67,92
3,4:33.0,,Defensive rebound by J. Henson,67,92
3,4:20.0,,K. Middleton misses 2-pt jump shot from 11 ft,67,92
3,4:17.0,Defensive rebound by M. Bagley,,67,92
3,4:12.0,F. Mason misses 3-pt jump shot from 26 ft,,67,92
3,4:08.0,,Defensive rebound by J. Henson,67,92
3,3:58.0,,Turnover by K. Middleton (bad pass; steal by K. Koufos),67,92
3,3:50.0,J. Jackson makes 2-pt layup from 6 ft (assist by F. Mason),,69,92
3,3:50.0,,Milwaukee full timeout,69,92
3,3:50.0,,M. Brogdon enters the game for E. Bledsoe,69,92
3,3:50.0,,T. Snell enters the game for K. Middleton,69,92
3,3:32.0,,J. Henson misses 3-pt jump shot from 24 ft,69,92
3,3:29.0,Defensive rebound by T. Williams,,69,92
3,3:21.0,Shooting foul by E. İlyasova (drawn by M. Bagley),,69,92
3,3:21.0,M. Bagley misses free throw 1 of 2,,69,92
3,3:21.0,Offensive rebound by Team,,69,92
3,3:21.0,M. Bagley misses free throw 2 of 2,,69,92
3,3:17.0,Offensive rebound by K. Koufos,,69,92
3,3:10.0,M. Bagley misses 3-pt jump shot from 29 ft,,69,92
3,3:06.0,,Defensive rebound by D. DiVincenzo,69,92
3,2:50.0,,M. Brogdon misses 2-pt layup from 2 ft,69,92
3,2:47.0,Defensive rebound by K. Koufos,,69,92
3,2:45.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by F. Mason),,72,92
3,2:30.0,,D. DiVincenzo makes 3-pt jump shot from 27 ft (assist by M. Brogdon),72,95
3,2:17.0,F. Mason makes 2-pt jump shot from 19 ft,,74,95
3,2:02.0,,T. Snell makes 2-pt layup from 1 ft (assist by D. DiVincenzo),74,97
3,1:48.0,T. Williams makes 3-pt jump shot from 26 ft (assist by K. Koufos),,77,97
3,1:28.0,,J. Henson misses 3-pt jump shot from 27 ft,77,97
3,1:25.0,Defensive rebound by F. Mason,,77,97
3,1:19.0,K. Koufos misses 2-pt hook shot from 5 ft,,77,97
3,1:18.0,Offensive rebound by M. Bagley,,77,97
3,1:18.0,M. Bagley makes 2-pt dunk at rim,,79,97
3,1:18.0,Shooting foul by D. DiVincenzo (drawn by M. Bagley),,79,97
3,1:18.0,M. Bagley misses free throw 1 of 1,,79,97
3,1:18.0,,Defensive rebound by Team,79,97
3,1:18.0,,G. Antetokounmpo enters the game for E. İlyasova,79,97
3,1:07.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),79,100
3,0:53.0,F. Mason misses 3-pt jump shot from 27 ft,,79,100
3,0:53.0,,Defensive rebound by G. Antetokounmpo,79,100
3,0:47.0,,Shooting foul by K. Koufos (drawn by G. Antetokounmpo),79,100
3,0:47.0,,G. Antetokounmpo makes free throw 1 of 2,79,101
3,0:47.0,,G. Antetokounmpo misses free throw 2 of 2,79,101
3,0:44.0,Defensive rebound by K. Koufos,,79,101
3,0:33.0,Personal foul by D. DiVincenzo (drawn by T. Williams),,79,101
3,0:33.0,T. Williams makes free throw 1 of 2,,80,101
3,0:33.0,I. Shumpert enters the game for K. Koufos,,80,101
3,0:33.0,T. Williams makes free throw 2 of 2,,81,101
3,0:22.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),81,104
3,0:22.0,,Shooting foul by T. Williams (drawn by T. Snell),81,104
3,0:22.0,,P. Connaughton enters the game for G. Antetokounmpo,81,104
3,0:22.0,,T. Snell makes free throw 1 of 1,81,105
3,0:05.0,Shooting foul by J. Henson (drawn by M. Bagley),,81,105
3,0:05.0,M. Bagley makes free throw 1 of 2,,82,105
3,0:05.0,,G. Antetokounmpo enters the game for J. Henson,82,105
3,0:05.0,M. Bagley misses free throw 2 of 2,,82,105
3,0:03.0,,Defensive rebound by G. Antetokounmpo,82,105
3,0:00.0,,P. Connaughton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),82,108
4,11:45.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by D. DiVincenzo),82,110
4,11:24.0,Turnover by J. Jackson (bad pass; steal by D. DiVincenzo),,82,110
4,11:20.0,,Shooting foul by I. Shumpert (drawn by G. Antetokounmpo),82,110
