QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
1,4:05.0,,J. Butler misses 2-pt jump shot from 19 ft,11,17
1,4:03.0,Defensive rebound by K. Anderson,,11,17
1,3:58.0,J. Green makes 2-pt layup at rim (assist by K. Anderson),,13,17
1,3:58.0,,Philadelphia full timeout,13,17
1,3:58.0,O. Casspi enters the game for K. Anderson,,13,17
1,3:58.0,J. Jackson enters the game for M. Gasol,,13,17
1,3:58.0,,F. Korkmaz enters the game for J. Butler,13,17
1,3:50.0,,L. Shamet misses 3-pt jump shot from 26 ft,13,17
1,3:46.0,Defensive rebound by O. Casspi,,13,17
1,3:31.0,Shooting foul by A. Johnson (drawn by J. Jackson),,13,17
1,3:31.0,J. Jackson makes free throw 1 of 2,,14,17
1,3:31.0,J. Jackson makes free throw 2 of 2,,15,17
1,3:15.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by F. Korkmaz),15,20
1,3:12.0,Turnover by J. Jackson (bad pass),,15,20
1,3:12.0,I. Rabb enters the game for J. Jackson,,15,20
1,3:12.0,,J. Embiid enters the game for A. Johnson,15,20
1,3:12.0,,M. Muscala enters the game for L. Shamet,15,20
1,3:12.0,,J. Redick enters the game for B. Simmons,15,20
1,3:10.0,,J. Redick misses 2-pt jump shot from 19 ft,15,20
1,3:07.0,Defensive rebound by M. Brooks,,15,20
1,3:02.0,M. Brooks misses 2-pt layup from 8 ft (block by J. Embiid),,15,20
1,3:00.0,,Defensive rebound by J. Redick,15,20
1,2:57.0,,J. Redick misses 2-pt layup from 2 ft,15,20
1,2:56.0,Defensive rebound by S. Mack,,15,20
1,2:51.0,Turnover by O. Casspi (bad pass),,15,20
1,2:36.0,,M. Muscala misses 2-pt hook shot from 7 ft,15,20
1,2:34.0,Defensive rebound by I. Rabb,,15,20
1,2:17.0,J. Green makes 3-pt jump shot from 27 ft (assist by S. Mack),,18,20
1,2:02.0,,J. Redick misses 3-pt jump shot from 27 ft,18,20
1,1:59.0,Defensive rebound by O. Casspi,,18,20
1,1:41.0,J. Green makes 3-pt jump shot from 24 ft (assist by S. Mack),,21,20
1,1:25.0,,Shooting foul by I. Rabb (drawn by J. Embiid),21,20
1,1:25.0,,J. Embiid makes free throw 1 of 2,21,21
1,1:25.0,,J. Embiid makes free throw 2 of 2,21,22
1,1:13.0,M. Brooks makes 2-pt jump shot from 12 ft,,23,22
1,0:58.0,,Shooting foul by I. Rabb (drawn by J. Embiid),23,22
1,0:58.0,,J. Embiid makes free throw 1 of 2,23,23
1,0:58.0,,J. Embiid makes free throw 2 of 2,23,24
1,0:47.0,M. Brooks makes 2-pt layup from 2 ft,,25,24
1,0:43.0,,Personal foul by I. Rabb (drawn by J. Embiid),25,24
1,0:43.0,,J. Embiid makes free throw 1 of 2,25,25
1,0:43.0,,J. Embiid makes free throw 2 of 2,25,26
1,0:36.0,S. Mack misses 3-pt jump shot from 28 ft,,25,26
1,0:31.0,,Defensive rebound by M. Muscala,25,26
1,0:16.0,,J. Embiid misses 2-pt layup from 2 ft,25,26
1,0:15.0,Defensive rebound by Team,,25,26
1,0:15.0,M. Conley enters the game for I. Rabb,,25,26
1,0:00.0,M. Brooks misses 2-pt jump shot from 18 ft,,25,26
1,0:00.0,Offensive rebound by Team,,25,26
2,11:44.0,M. Brooks misses 2-pt jump shot from 21 ft,,25,26
2,11:41.0,,Defensive rebound by Team,25,26
2,11:31.0,,J. Embiid makes 2-pt layup from 2 ft (assist by M. Muscala),25,28
2,11:15.0,M. Brooks makes 2-pt layup from 2 ft (assist by I. Rabb),,27,28
2,10:52.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by M. Muscala),27,31
2,10:34.0,Personal foul by J. Redick (drawn by O. Casspi),,27,31
2,10:34.0,M. Gasol enters the game for I. Rabb,,27,31
2,10:24.0,M. Brooks misses 2-pt jump shot from 9 ft,,27,31
2,10:20.0,,Defensive rebound by J. Redick,27,31
2,10:02.0,,J. Embiid misses 3-pt jump shot from 26 ft,27,31
2,9:59.0,Defensive rebound by M. Conley,,27,31
2,9:49.0,Personal foul by J. Redick (drawn by M. Gasol),,27,31
2,9:43.0,M. Conley misses 2-pt layup from 3 ft,,27,31
2,9:41.0,,Defensive rebound by M. Muscala,27,31
2,9:37.0,,T. McConnell makes 2-pt layup from 1 ft,27,33
2,9:24.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by S. Mack),,29,33
2,9:11.0,,J. Redick makes 2-pt layup from 1 ft (assist by M. Muscala),29,35
2,8:58.0,S. Mack misses 2-pt layup from 11 ft (block by J. Butler),,29,35
2,8:54.0,,Defensive rebound by M. Muscala,29,35
2,8:53.0,,T. McConnell misses 2-pt jump shot from 8 ft,29,35
2,8:51.0,Defensive rebound by O. Casspi,,29,35
2,8:42.0,M. Brooks makes 2-pt jump shot from 17 ft (assist by S. Mack),,31,35
2,8:41.0,Violation by Team (delay of game),,31,35
2,8:25.0,,M. Muscala makes 3-pt jump shot from 23 ft (assist by T. McConnell),31,38
2,8:18.0,M. Conley makes 2-pt jump shot from 3 ft,,33,38
2,8:18.0,Shooting foul by T. McConnell (drawn by M. Conley),,33,38
2,8:18.0,K. Anderson enters the game for M. Brooks,,33,38
2,8:18.0,G. Temple enters the game for S. Mack,,33,38
2,8:18.0,,L. Shamet enters the game for T. McConnell,33,38
2,8:18.0,,B. Simmons enters the game for J. Redick,33,38
2,8:18.0,M. Conley makes free throw 1 of 1,,34,38
2,7:58.0,,J. Embiid makes 2-pt dunk from 1 ft,34,40
2,7:39.0,M. Gasol misses 3-pt jump shot from 29 ft,,34,40
2,7:37.0,,Defensive rebound by B. Simmons,34,40
2,7:33.0,,Personal foul by M. Gasol (drawn by J. Embiid),34,40
2,7:33.0,J. Green enters the game for O. Casspi,,34,40
2,7:33.0,,A. Johnson enters the game for J. Embiid,34,40
2,7:15.0,,B. Simmons misses 2-pt jump shot from 12 ft (block by K. Anderson),34,40
2,7:10.0,Defensive rebound by J. Green,,34,40
2,7:05.0,Shooting foul by J. Butler (drawn by M. Gasol),,34,40
2,7:05.0,M. Gasol makes free throw 1 of 2,,35,40
2,7:05.0,M. Gasol makes free throw 2 of 2,,36,40
2,6:56.0,,Turnover by A. Johnson (bad pass; steal by J. Green),36,40
2,6:48.0,M. Gasol misses 2-pt hook shot from 10 ft,,36,40
2,6:46.0,,Defensive rebound by A. Johnson,36,40
2,6:35.0,,J. Butler makes 2-pt layup from 1 ft,36,42
2,6:15.0,Personal foul by J. Butler (drawn by J. Green),,36,42
2,6:15.0,,Philadelphia full timeout,36,42
2,6:15.0,J. Jackson enters the game for M. Gasol,,36,42
2,6:15.0,J. Green misses free throw 1 of 2,,36,42
2,6:15.0,Offensive rebound by Team,,36,42
2,6:15.0,J. Green misses free throw 2 of 2,,36,42
2,6:13.0,,Defensive rebound by B. Simmons,36,42
2,6:06.0,,Personal foul by K. Anderson (drawn by B. Simmons),36,42
2,5:54.0,,J. Butler misses 2-pt jump shot from 14 ft,36,42
2,5:50.0,Defensive rebound by J. Green,,36,42
2,5:40.0,Offensive foul by J. Green (drawn by L. Shamet),,36,42
2,5:40.0,Turnover by J. Green (offensive foul),,36,42
2,5:40.0,S. Mack enters the game for M. Conley,,36,42
2,5:31.0,,L. Shamet misses 3-pt jump shot from 26 ft,36,42
2,5:28.0,Defensive rebound by G. Temple,,36,42
2,5:20.0,J. Jackson makes 2-pt dunk from 2 ft (assist by K. Anderson),,38,42
2,5:09.0,,Turnover by L. Shamet (bad pass),38,42
2,4:47.0,Turnover by J. Green (3 sec),,38,42
2,4:34.0,,J. Butler misses 2-pt jump shot from 15 ft,38,42
2,4:32.0,Defensive rebound by Team,,38,42
2,4:16.0,Personal foul by A. Johnson (drawn by J. Jackson),,38,42
2,4:16.0,J. Jackson makes free throw 1 of 2,,39,42
2,4:16.0,M. Gasol enters the game for J. Green,,39,42
2,4:16.0,,J. Embiid enters the game for J. Butler,39,42
2,4:16.0,,F. Korkmaz enters the game for A. Johnson,39,42
2,4:16.0,,T. McConnell enters the game for M. Muscala,39,42
2,4:16.0,J. Jackson makes free throw 2 of 2,,40,42
2,4:04.0,,Def 3 sec tech foul by Team,40,42
2,4:04.0,,L. Shamet makes technical free throw,40,43
2,3:53.0,,Shooting foul by J. Jackson (drawn by B. Simmons),40,43
2,3:53.0,,B. Simmons makes free throw 1 of 2,40,44
2,3:53.0,M. Conley enters the game for K. Anderson,,40,44
2,3:53.0,J. Green enters the game for J. Jackson,,40,44
2,3:53.0,,B. Simmons makes free throw 2 of 2,40,45
2,3:40.0,M. Conley misses 2-pt jump shot from 13 ft,,40,45
2,3:38.0,,Defensive rebound by B. Simmons,40,45
2,3:29.0,,B. Simmons makes 2-pt layup from 3 ft,40,47
2,3:13.0,M. Gasol misses 2-pt jump shot from 16 ft,,40,47
2,3:09.0,,Defensive rebound by B. Simmons,40,47
2,3:06.0,,Turnover by L. Shamet (bad pass),40,47
2,3:06.0,,J. Redick enters the game for L. Shamet,40,47
2,2:55.0,Turnover by M. Gasol (lost ball; steal by B. Simmons),,40,47
2,2:50.0,,J. Redick makes 3-pt jump shot from 22 ft (assist by B. Simmons),40,50
2,2:48.0,Memphis full timeout,,40,50
2,2:48.0,M. Brooks enters the game for S. Mack,,40,50
2,2:25.0,M. Conley misses 3-pt jump shot from 27 ft,,40,50
2,2:21.0,,Defensive rebound by B. Simmons,40,50
2,2:11.0,,B. Simmons makes 2-pt hook shot from 2 ft,40,52
2,1:43.0,Turnover by Team (shot clock),,40,52
2,1:26.0,,Turnover by J. Embiid (bad pass; steal by J. Green),40,52
2,1:18.0,J. Green misses 3-pt jump shot from 25 ft,,40,52
2,1:16.0,,Defensive rebound by J. Embiid,40,52
2,1:05.0,,F. Korkmaz misses 2-pt layup from 1 ft,40,52
2,1:03.0,Defensive rebound by M. Gasol,,40,52
2,0:57.0,G. Temple misses 3-pt jump shot from 24 ft,,40,52
2,0:55.0,,Defensive rebound by J. Embiid,40,52
2,0:40.0,,J. Redick misses 3-pt jump shot from 26 ft,40,52
2,0:37.0,Defensive rebound by J. Green,,40,52
2,0:32.0,M. Conley makes 3-pt jump shot from 27 ft,,43,52
2,0:10.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),43,54
2,0:01.0,Shooting foul by J. Embiid (drawn by G. Temple),,43,54
2,0:01.0,G. Temple makes free throw 1 of 2,,44,54
2,0:01.0,G. Temple misses free throw 2 of 2,,44,54
2,0:00.0,,Defensive rebound by J. Embiid,44,54
3,11:40.0,M. Gasol misses 2-pt jump shot from 11 ft,,44,54
3,11:38.0,,Defensive rebound by B. Simmons,44,54
3,11:27.0,,J. Embiid misses 2-pt jump shot from 16 ft,44,54
3,11:23.0,Defensive rebound by G. Temple,,44,54
3,11:17.0,Shooting foul by J. Butler (drawn by J. Jackson),,44,54
3,11:17.0,J. Jackson makes free throw 1 of 2,,45,54
3,11:17.0,J. Jackson makes free throw 2 of 2,,46,54
3,11:00.0,,J. Redick makes 2-pt jump shot from 10 ft (assist by J. Embiid),46,56
3,10:41.0,M. Conley misses 2-pt jump shot from 8 ft,,46,56
3,10:38.0,,Defensive rebound by M. Muscala,46,56
3,10:35.0,,J. Butler misses 3-pt jump shot from 27 ft,46,56
3,10:32.0,Defensive rebound by J. Jackson,,46,56
3,10:26.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),,49,56
3,10:24.0,,Philadelphia full timeout,49,56
3,10:02.0,,J. Butler misses 3-pt jump shot from 27 ft,49,56
3,9:59.0,Defensive rebound by M. Gasol,,49,56
3,9:43.0,Turnover by M. Gasol (traveling),,49,56
3,9:32.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Simmons),49,58
3,9:17.0,Personal foul by J. Redick (drawn by M. Conley),,49,58
3,9:15.0,Turnover by K. Anderson (traveling),,49,58
3,9:05.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Embiid),49,60
3,8:50.0,G. Temple makes 3-pt jump shot from 27 ft,,52,60
3,8:34.0,,J. Embiid misses 3-pt jump shot from 28 ft (block by M. Gasol),52,60
3,8:30.0,,Offensive rebound by M. Muscala,52,60
3,8:28.0,,M. Muscala misses 3-pt jump shot from 27 ft,52,60
3,8:26.0,Defensive rebound by M. Conley,,52,60
3,8:23.0,,Violation by Team (kicked ball),52,60
3,8:15.0,J. Jackson misses 2-pt hook shot from 12 ft,,52,60
3,8:13.0,,Defensive rebound by J. Embiid,52,60
3,8:08.0,,M. Muscala makes 3-pt jump shot from 28 ft (assist by J. Butler),52,63
3,7:47.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),,55,63
3,7:38.0,,J. Butler misses 2-pt layup from 4 ft (block by J. Jackson),55,63
3,7:38.0,Defensive rebound by Team,,55,63
3,7:38.0,,L. Shamet enters the game for J. Redick,55,63
3,7:33.0,Shooting foul by L. Shamet (drawn by M. Conley),,55,63
3,7:33.0,M. Conley makes free throw 1 of 2,,56,63
3,7:33.0,M. Conley misses free throw 2 of 2,,56,63
3,7:31.0,,Defensive rebound by J. Embiid,56,63
3,7:21.0,,Offensive foul by B. Simmons (drawn by K. Anderson),56,63
3,7:21.0,,Turnover by B. Simmons (offensive foul),56,63
3,7:21.0,S. Mack enters the game for M. Conley,,56,63
3,7:21.0,,A. Johnson enters the game for J. Embiid,56,63
3,7:21.0,,T. McConnell enters the game for M. Muscala,56,63
3,7:07.0,M. Gasol misses 3-pt jump shot from 25 ft,,56,63
3,7:04.0,,Defensive rebound by J. Butler,56,63
3,6:58.0,,Turnover by J. Butler (out of bounds lost ball),56,63
3,6:41.0,G. Temple misses 3-pt jump shot from 27 ft,,56,63
3,6:38.0,,Defensive rebound by B. Simmons,56,63
3,6:27.0,,Turnover by L. Shamet (bad pass),56,63
3,6:05.0,J. Jackson misses 3-pt jump shot from 27 ft,,56,63
3,6:03.0,,Defensive rebound by T. McConnell,56,63
3,5:55.0,,T. McConnell makes 2-pt jump shot from 9 ft,56,65
3,5:34.0,G. Temple misses 2-pt jump shot from 20 ft,,56,65
3,5:33.0,,Defensive rebound by Team,56,65
3,5:33.0,J. Green enters the game for M. Gasol,,56,65
3,5:13.0,,Turnover by T. McConnell (bad pass; steal by J. Green),56,65
3,5:09.0,G. Temple makes 3-pt jump shot from 27 ft,,59,65
3,4:41.0,,B. Simmons makes 2-pt hook shot from 6 ft (assist by A. Johnson),59,67
3,4:19.0,J. Jackson makes 2-pt hook shot from 6 ft (assist by K. Anderson),,61,67
3,4:02.0,,A. Johnson misses 2-pt hook shot from 4 ft,61,67
3,4:01.0,,Offensive rebound by Team,61,67
3,4:01.0,Loose ball foul by J. Jackson (drawn by A. Johnson),,61,67
3,4:01.0,M. Brooks enters the game for G. Temple,,61,67
3,4:01.0,,J. Embiid enters the game for J. Butler,61,67
3,4:01.0,,F. Korkmaz enters the game for A. Johnson,61,67
3,4:01.0,,M. Muscala enters the game for L. Shamet,61,67
3,4:01.0,,J. Redick enters the game for B. Simmons,61,67
3,3:51.0,,Turnover by J. Embiid (lost ball; steal by J. Green),61,67
3,3:42.0,Turnover by J. Green (lost ball; steal by F. Korkmaz),,61,67
3,3:26.0,,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by M. Muscala),61,70
3,3:03.0,Turnover by M. Brooks (lost ball; steal by F. Korkmaz),,61,70
3,3:00.0,,Personal foul by S. Mack (drawn by J. Embiid),61,70
3,3:00.0,O. Casspi enters the game for K. Anderson,,61,70
3,3:00.0,M. Conley enters the game for J. Jackson,,61,70
3,3:00.0,M. Gasol enters the game for S. Mack,,61,70
3,2:52.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by F. Korkmaz),61,73
3,2:26.0,M. Conley makes 3-pt jump shot from 27 ft,,64,73
3,1:57.0,,J. Embiid misses 2-pt jump shot from 13 ft,64,73
3,1:55.0,Defensive rebound by O. Casspi,,64,73
3,1:50.0,Shooting foul by J. Redick (drawn by M. Brooks),,64,73
3,1:50.0,Memphis full timeout,,64,73
3,1:50.0,,L. Shamet enters the game for J. Redick,64,73
3,1:50.0,M. Brooks makes free throw 1 of 2,,65,73
3,1:50.0,M. Brooks makes free throw 2 of 2,,66,73
3,1:29.0,,F. Korkmaz makes 3-pt jump shot from 28 ft (assist by M. Muscala),66,76
3,1:03.0,O. Casspi misses 3-pt jump shot from 27 ft,,66,76
3,1:03.0,,Defensive rebound by Team,66,76
3,0:51.0,,J. Embiid makes 2-pt jump shot from 17 ft,66,78
3,0:36.0,Shooting foul by J. Embiid (drawn by M. Conley),,66,78
3,0:36.0,M. Conley makes free throw 1 of 2,,67,78
3,0:36.0,M. Conley makes free throw 2 of 2,,68,78
3,0:19.0,,L. Shamet misses 3-pt jump shot from 27 ft,68,78
3,0:16.0,Defensive rebound by O. Casspi,,68,78
3,0:01.0,M. Brooks misses 2-pt jump shot from 18 ft,,68,78
3,0:01.0,,Defensive rebound by F. Korkmaz,68,78
4,11:44.0,,J. Embiid misses 2-pt jump shot from 18 ft,68,78
4,11:39.0,Defensive rebound by O. Casspi,,68,78
4,11:26.0,M. Brooks makes 2-pt layup from 2 ft,,70,78
4,11:05.0,,J. Embiid misses 2-pt jump shot from 7 ft,70,78
4,11:03.0,Defensive rebound by O. Casspi,,70,78
4,10:50.0,J. Green makes 2-pt jump shot from 7 ft,,72,78
4,10:34.0,,Shooting foul by M. Gasol (drawn by J. Embiid),72,78
4,10:34.0,,J. Embiid misses free throw 1 of 2,72,78
4,10:34.0,,Offensive rebound by Team,72,78
4,10:34.0,K. Anderson enters the game for M. Brooks,,72,78
4,10:34.0,,J. Embiid makes free throw 2 of 2,72,79
4,10:09.0,M. Conley misses 2-pt jump shot from 9 ft,,72,79
4,10:07.0,Offensive rebound by J. Green,,72,79
4,10:06.0,J. Green misses 2-pt layup from 6 ft,,72,79
4,10:03.0,Offensive rebound by J. Green,,72,79
4,10:03.0,J. Green makes 2-pt layup from 1 ft,,74,79
4,9:47.0,,J. Embiid misses 2-pt hook shot from 5 ft,74,79
4,9:44.0,Defensive rebound by O. Casspi,,74,79
4,9:41.0,M. Gasol misses 3-pt jump shot from 27 ft,,74,79
4,9:38.0,,Defensive rebound by Team,74,79
4,9:28.0,,Personal foul by J. Green (drawn by B. Simmons),74,79
4,9:20.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,74,79
4,9:16.0,Defensive rebound by M. Gasol,,74,79
4,9:07.0,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),,76,79
4,9:07.0,Shooting foul by B. Simmons (drawn by K. Anderson),,76,79
4,9:07.0,J. Jackson enters the game for J. Green,,76,79
4,9:07.0,,J. Butler enters the game for F. Korkmaz,76,79
4,9:07.0,,T. McConnell enters the game for M. Muscala,76,79
4,9:07.0,K. Anderson makes free throw 1 of 1,,77,79
4,8:54.0,,J. Butler makes 2-pt layup from 2 ft (assist by T. McConnell),77,81
4,8:31.0,O. Casspi misses 2-pt jump shot from 8 ft,,77,81
4,8:31.0,,Defensive rebound by Team,77,81
4,8:31.0,Loose ball foul by J. Jackson (drawn by J. Embiid),,77,81
4,8:31.0,Technical foul by O. Casspi,,77,81
4,8:31.0,G. Temple enters the game for O. Casspi,,77,81
4,8:31.0,,J. Redick enters the game for L. Shamet,77,81
4,8:31.0,,J. Redick makes technical free throw,77,82
4,8:15.0,,J. Butler misses 2-pt jump shot from 18 ft,77,82
4,8:12.0,Defensive rebound by G. Temple,,77,82
4,8:06.0,Personal foul by B. Simmons (drawn by J. Jackson),,77,82
4,8:06.0,S. Mack enters the game for M. Conley,,77,82
4,7:55.0,K. Anderson makes 2-pt layup from 1 ft (assist by G. Temple),,79,82
4,7:44.0,,T. McConnell makes 2-pt layup from 1 ft (assist by B. Simmons),79,84
4,7:18.0,S. Mack makes 2-pt layup from 2 ft,,81,84
4,7:02.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),81,86
4,6:46.0,M. Gasol misses 2-pt jump shot from 20 ft,,81,86
4,6:44.0,,Defensive rebound by J. Embiid,81,86
4,6:27.0,,J. Embiid makes 2-pt jump shot from 10 ft,81,88
4,6:26.0,Memphis full timeout,,81,88
4,6:07.0,S. Mack misses 2-pt layup from 2 ft,,81,88
4,6:04.0,,Defensive rebound by J. Embiid,81,88
4,5:56.0,,Personal foul by K. Anderson (drawn by B. Simmons),81,88
4,5:56.0,M. Conley enters the game for S. Mack,,81,88
4,5:41.0,,J. Butler misses 3-pt jump shot from 27 ft,81,88
4,5:38.0,Defensive rebound by G. Temple,,81,88
4,5:25.0,G. Temple misses 2-pt jump shot from 18 ft,,81,88
4,5:21.0,,Defensive rebound by J. Embiid,81,88
4,5:18.0,,Personal foul by M. Gasol (drawn by J. Butler),81,88
4,5:18.0,,J. Butler makes free throw 1 of 2,81,89
4,5:18.0,,J. Butler makes free throw 2 of 2,81,90
4,5:05.0,M. Conley misses 2-pt jump shot from 19 ft,,81,90
4,5:00.0,,Defensive rebound by B. Simmons,81,90
4,4:52.0,,J. Redick misses 2-pt layup from 3 ft,81,90
4,4:51.0,,Offensive rebound by B. Simmons,81,90
4,4:51.0,,B. Simmons makes 2-pt dunk at rim,81,92
4,4:51.0,Memphis full timeout,,81,92
4,4:51.0,M. Brooks enters the game for K. Anderson,,81,92
4,4:42.0,M. Conley misses 3-pt jump shot from 27 ft,,81,92
4,4:38.0,,Defensive rebound by T. McConnell,81,92
4,4:18.0,,Turnover by J. Embiid (out of bounds lost ball),81,92
4,4:06.0,M. Gasol makes 3-pt jump shot from 28 ft (assist by M. Conley),,84,92
4,4:04.0,,Philadelphia full timeout,84,92
4,3:52.0,,Personal foul by J. Jackson (drawn by B. Simmons),84,92
4,3:52.0,,Offensive rebound by Team,84,92
4,3:52.0,,B. Simmons misses free throw 1 of 2,84,92
4,3:52.0,J. Green enters the game for J. Jackson,,84,92
4,3:52.0,,B. Simmons misses free throw 2 of 2,84,92
4,3:47.0,Defensive rebound by M. Brooks,,84,92
4,3:35.0,M. Gasol misses 2-pt jump shot from 19 ft,,84,92
4,3:31.0,,Defensive rebound by J. Embiid,84,92
4,3:18.0,,Turnover by J. Redick (lost ball; steal by M. Gasol),84,92
4,3:18.0,Personal foul by J. Redick (drawn by M. Gasol),,84,92
4,2:57.0,M. Conley makes 3-pt jump shot from 30 ft (assist by M. Gasol),,87,92
4,2:37.0,,Shooting foul by M. Brooks (drawn by J. Butler),87,92
4,2:37.0,,J. Butler misses free throw 1 of 2,87,92
4,2:37.0,,Offensive rebound by Team,87,92
4,2:37.0,,J. Butler makes free throw 2 of 2,87,93
4,2:21.0,J. Green misses 2-pt dunk from 2 ft,,87,93
4,2:18.0,,Defensive rebound by J. Embiid,87,93
4,2:09.0,,J. Redick misses 3-pt jump shot from 26 ft,87,93
4,2:09.0,Defensive rebound by J. Green,,87,93
4,2:03.0,Shooting foul by B. Simmons (drawn by M. Conley),,87,93
4,2:03.0,M. Conley makes free throw 1 of 2,,88,93
