QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
1,8:03.0,J. Butler misses 2-pt jump shot from 15 ft,,8,10
1,8:00.0,,Defensive rebound by T. Satoranský,8,10
1,7:55.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Satoranský),8,13
1,7:35.0,Personal foul by T. Bryant (drawn by J. Embiid),,8,13
1,7:35.0,,I. Mahinmi enters the game for T. Bryant,8,13
1,7:29.0,J. Embiid misses 2-pt jump shot from 18 ft,,8,13
1,7:27.0,,Defensive rebound by J. Green,8,13
1,7:24.0,,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),8,15
1,7:24.0,Philadelphia full timeout,,8,15
1,7:24.0,Violation by Team (delay of game),,8,15
1,7:13.0,Turnover by B. Simmons (bad pass; steal by I. Mahinmi),,8,15
1,6:58.0,,T. Satoranský misses 2-pt jump shot from 12 ft,8,15
1,6:56.0,Defensive rebound by J. Embiid,,8,15
1,6:56.0,W. Chandler misses 3-pt jump shot from 24 ft,,8,15
1,6:43.0,Offensive rebound by B. Simmons,,8,15
1,6:41.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,8,15
1,6:38.0,,Defensive rebound by J. Green,8,15
1,6:25.0,,Shooting foul by J. Embiid (drawn by T. Ariza),8,15
1,6:25.0,T. McConnell enters the game for W. Chandler,,8,15
1,6:25.0,M. Muscala enters the game for J. Embiid,,8,15
1,6:25.0,L. Shamet enters the game for F. Korkmaz,,8,15
1,6:25.0,,T. Ariza makes free throw 1 of 2,8,16
1,6:25.0,,T. Ariza makes free throw 2 of 2,8,17
1,6:17.0,Offensive foul by T. McConnell (drawn by T. Satoranský),,8,17
1,6:17.0,Turnover by T. McConnell (offensive foul),,8,17
1,6:10.0,,Turnover by I. Mahinmi (out of bounds lost ball),8,17
1,5:54.0,J. Butler misses 2-pt jump shot from 19 ft,,8,17
1,5:53.0,,Defensive rebound by Team,8,17
1,5:39.0,,Turnover by T. Ariza (traveling),8,17
1,5:26.0,B. Simmons misses 2-pt hook shot from 4 ft,,8,17
1,5:25.0,Offensive rebound by Team,,8,17
1,5:25.0,,O. Porter enters the game for J. Green,8,17
1,5:19.0,Personal foul by O. Porter (drawn by B. Simmons),,8,17
1,5:03.0,L. Shamet misses 2-pt jump shot from 20 ft,,8,17
1,5:01.0,,Defensive rebound by O. Porter,8,17
1,5:00.0,,Turnover by O. Porter (bad pass),8,17
1,4:49.0,M. Muscala misses 3-pt jump shot from 27 ft,,8,17
1,4:47.0,,Defensive rebound by T. Ariza,8,17
1,4:43.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,17
1,4:40.0,Defensive rebound by L. Shamet,,8,17
1,4:26.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,10,17
1,4:24.0,,Washington full timeout,10,17
1,4:24.0,,C. Randle enters the game for T. Satoranský,10,17
1,4:05.0,,B. Beal misses 3-pt jump shot from 26 ft,10,17
1,4:05.0,Defensive rebound by Team,,10,17
1,3:47.0,B. Simmons misses 2-pt layup from 3 ft,,10,17
1,3:45.0,Offensive rebound by B. Simmons,,10,17
1,3:42.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by B. Simmons),,13,17
1,3:15.0,,B. Beal makes 2-pt jump shot from 8 ft,13,19
1,3:03.0,Turnover by L. Shamet (bad pass; steal by B. Beal),,13,19
1,2:55.0,,T. Ariza misses 2-pt dunk from 5 ft,13,19
1,2:51.0,Defensive rebound by J. Butler,,13,19
1,2:47.0,Personal foul by C. Randle (drawn by B. Simmons),,13,19
1,2:47.0,B. Simmons misses free throw 1 of 2,,13,19
1,2:47.0,Offensive rebound by Team,,13,19
1,2:47.0,J. Embiid enters the game for J. Butler,,13,19
1,2:47.0,F. Korkmaz enters the game for M. Muscala,,13,19
1,2:47.0,S. Milton enters the game for L. Shamet,,13,19
1,2:47.0,,S. Dekker enters the game for T. Ariza,13,19
1,2:47.0,B. Simmons makes free throw 2 of 2,,14,19
1,2:29.0,,O. Porter misses 2-pt jump shot from 15 ft,14,19
1,2:24.0,Defensive rebound by J. Embiid,,14,19
1,2:04.0,B. Simmons misses 2-pt jump shot from 17 ft,,14,19
1,2:02.0,Offensive rebound by B. Simmons,,14,19
1,1:59.0,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),,16,19
1,1:37.0,,O. Porter makes 2-pt layup from 2 ft (assist by I. Mahinmi),16,21
1,1:23.0,S. Milton misses 3-pt jump shot from 26 ft,,16,21
1,1:19.0,,Defensive rebound by O. Porter,16,21
1,1:12.0,,Personal foul by T. McConnell (drawn by B. Beal),16,21
1,1:12.0,J. Bolden enters the game for B. Simmons,,16,21
1,1:00.0,,O. Porter makes 2-pt jump shot from 15 ft,16,23
1,0:40.0,S. Milton misses 2-pt jump shot from 17 ft,,16,23
1,0:37.0,Offensive rebound by T. McConnell,,16,23
1,0:36.0,Shooting foul by C. Randle (drawn by F. Korkmaz),,16,23
1,0:36.0,F. Korkmaz misses free throw 1 of 3,,16,23
1,0:36.0,Offensive rebound by Team,,16,23
1,0:36.0,F. Korkmaz makes free throw 2 of 3,,17,23
1,0:36.0,F. Korkmaz makes free throw 3 of 3,,18,23
1,0:31.0,,B. Beal misses 3-pt jump shot from 25 ft,18,23
1,0:28.0,,Offensive rebound by B. Beal,18,23
1,0:19.0,,Turnover by B. Beal (lost ball; steal by J. Bolden),18,23
1,0:14.0,F. Korkmaz makes 2-pt layup from 2 ft,,20,23
1,0:03.0,,B. Beal misses 2-pt dunk from 2 ft (block by J. Embiid),20,23
1,0:01.0,,Offensive rebound by I. Mahinmi,20,23
1,0:01.0,,I. Mahinmi makes 2-pt layup at rim,20,25
2,11:51.0,,J. Green misses 3-pt jump shot from 23 ft,20,25
2,11:47.0,,Offensive rebound by I. Mahinmi,20,25
2,11:41.0,,Personal foul by T. McConnell (drawn by O. Porter),20,25
2,11:27.0,,C. Randle makes 3-pt jump shot from 26 ft,20,28
2,11:08.0,T. McConnell misses 2-pt jump shot from 10 ft,,20,28
2,11:03.0,,Defensive rebound by S. Dekker,20,28
2,10:59.0,,S. Dekker misses 2-pt layup from 4 ft,20,28
2,10:57.0,Defensive rebound by J. Butler,,20,28
2,10:54.0,J. Butler misses 3-pt jump shot from 27 ft,,20,28
2,10:50.0,,Defensive rebound by J. Green,20,28
2,10:43.0,,J. Green makes 2-pt layup from 2 ft,20,30
2,10:27.0,J. Embiid misses 3-pt jump shot from 27 ft,,20,30
2,10:24.0,,Defensive rebound by I. Mahinmi,20,30
2,10:18.0,,O. Porter makes 3-pt jump shot from 26 ft,20,33
2,10:17.0,Philadelphia full timeout,,20,33
2,10:17.0,B. Simmons enters the game for T. McConnell,,20,33
2,10:04.0,Turnover by J. Bolden (bad pass; steal by I. Mahinmi),,20,33
2,9:57.0,,C. Randle makes 2-pt layup from 3 ft,20,35
2,9:36.0,Turnover by J. Embiid (lost ball; steal by I. Mahinmi),,20,35
2,9:27.0,,Shooting foul by L. Shamet (drawn by S. Dekker),20,35
2,9:27.0,,Technical foul by B. Brown,20,35
2,9:27.0,,O. Porter makes technical free throw,20,36
2,9:27.0,,S. Dekker misses free throw 1 of 2,20,36
2,9:27.0,,Offensive rebound by Team,20,36
2,9:27.0,,S. Dekker makes free throw 2 of 2,20,37
2,9:18.0,Shooting foul by J. Green (drawn by B. Simmons),,20,37
2,9:18.0,J. Butler makes free throw 1 of 2,,21,37
2,9:18.0,J. Butler makes free throw 2 of 2,,22,37
2,9:05.0,,O. Porter makes 2-pt jump shot from 20 ft (assist by J. Green),22,39
2,8:58.0,Turnover by B. Simmons (bad pass; steal by S. Dekker),,22,39
2,8:55.0,,S. Dekker makes 2-pt dunk at rim,22,41
2,8:47.0,Personal foul by C. Randle (drawn by L. Shamet),,22,41
2,8:43.0,Offensive foul by J. Embiid (drawn by I. Mahinmi),,22,41
2,8:43.0,Turnover by J. Embiid (offensive foul),,22,41
2,8:43.0,,T. Satoranský enters the game for C. Randle,22,41
2,8:32.0,,O. Porter misses 2-pt jump shot from 11 ft,22,41
2,8:30.0,Defensive rebound by J. Embiid,,22,41
2,8:23.0,J. Embiid misses 3-pt jump shot from 26 ft,,22,41
2,8:21.0,Offensive rebound by J. Embiid,,22,41
2,8:19.0,Shooting foul by O. Porter (drawn by J. Embiid),,22,41
2,8:19.0,J. Embiid makes free throw 1 of 2,,23,41
2,8:19.0,W. Chandler enters the game for J. Bolden,,23,41
2,8:19.0,J. Embiid misses free throw 2 of 2,,23,41
2,8:16.0,,Defensive rebound by I. Mahinmi,23,41
2,8:04.0,,S. Dekker makes 2-pt jump shot from 23 ft (assist by J. Green),23,43
2,7:51.0,J. Butler misses 3-pt jump shot from 27 ft,,23,43
2,7:46.0,,Defensive rebound by T. Satoranský,23,43
2,7:44.0,,Turnover by T. Satoranský (bad pass; steal by J. Butler),23,43
2,7:39.0,B. Simmons misses 2-pt dunk from 4 ft,,23,43
2,7:39.0,Offensive rebound by Team,,23,43
2,7:39.0,M. Muscala enters the game for J. Embiid,,23,43
2,7:39.0,,T. Ariza enters the game for I. Mahinmi,23,43
2,7:39.0,,B. Beal enters the game for O. Porter,23,43
2,7:31.0,L. Shamet makes 3-pt jump shot from 27 ft (assist by B. Simmons),,26,43
2,7:17.0,,T. Ariza misses 2-pt layup from 1 ft,26,43
2,7:16.0,,Offensive rebound by T. Ariza,26,43
2,7:14.0,,J. Green misses 3-pt jump shot from 25 ft,26,43
2,7:14.0,Defensive rebound by B. Simmons,,26,43
2,7:08.0,Turnover by B. Simmons (bad pass; steal by T. Satoranský),,26,43
2,6:57.0,,Turnover by J. Green (bad pass; steal by M. Muscala),26,43
2,6:53.0,L. Shamet makes 2-pt dunk from 3 ft (assist by B. Simmons),,28,43
2,6:53.0,,Washington full timeout,28,43
2,6:39.0,,Shooting foul by L. Shamet (drawn by B. Beal),28,43
2,6:39.0,,B. Beal makes free throw 1 of 2,28,44
2,6:39.0,,B. Beal makes free throw 2 of 2,28,45
2,6:22.0,J. Butler makes 2-pt layup from 3 ft,,30,45
2,6:07.0,,S. Dekker makes 3-pt jump shot from 25 ft (assist by B. Beal),30,48
2,5:55.0,L. Shamet misses 3-pt jump shot from 25 ft,,30,48
2,5:51.0,,Defensive rebound by S. Dekker,30,48
2,5:46.0,,J. Green misses 3-pt jump shot from 26 ft,30,48
2,5:43.0,Defensive rebound by W. Chandler,,30,48
2,5:36.0,B. Simmons misses 2-pt layup from 2 ft,,30,48
2,5:32.0,Offensive rebound by J. Butler,,30,48
2,5:32.0,J. Butler makes 2-pt layup from 1 ft,,32,48
2,5:13.0,,S. Dekker misses 2-pt jump shot from 9 ft,32,48
2,5:11.0,Defensive rebound by B. Simmons,,32,48
2,5:07.0,W. Chandler misses 3-pt jump shot from 24 ft,,32,48
2,5:02.0,Offensive rebound by J. Butler,,32,48
2,4:57.0,B. Simmons makes 2-pt dunk from 2 ft (assist by W. Chandler),,34,48
2,4:56.0,,Washington full timeout,34,48
2,4:56.0,,O. Porter enters the game for S. Dekker,34,48
2,4:32.0,,T. Ariza misses 2-pt jump shot from 2 ft,34,48
2,4:28.0,,Offensive rebound by O. Porter,34,48
2,4:28.0,,O. Porter makes 2-pt layup at rim,34,50
2,4:19.0,Turnover by B. Simmons (bad pass; steal by O. Porter),,34,50
2,4:15.0,,O. Porter misses 3-pt jump shot from 26 ft,34,50
2,4:11.0,Defensive rebound by B. Simmons,,34,50
2,4:06.0,B. Simmons makes 2-pt layup from 3 ft,,36,50
2,3:49.0,,B. Beal misses 3-pt jump shot from 26 ft,36,50
2,3:45.0,Defensive rebound by B. Simmons,,36,50
2,3:34.0,Turnover by B. Simmons (bad pass),,36,50
2,3:34.0,J. Embiid enters the game for J. Butler,,36,50
2,3:34.0,F. Korkmaz enters the game for M. Muscala,,36,50
2,3:34.0,S. Milton enters the game for L. Shamet,,36,50
2,3:26.0,,T. Satoranský misses 2-pt layup from 3 ft,36,50
2,3:23.0,Defensive rebound by S. Milton,,36,50
2,3:20.0,B. Simmons makes 2-pt layup from 3 ft (assist by S. Milton),,38,50
2,3:02.0,,J. Green makes 3-pt jump shot from 26 ft (assist by B. Beal),38,53
2,2:47.0,J. Embiid misses 2-pt layup from 4 ft,,38,53
2,2:46.0,Offensive rebound by F. Korkmaz,,38,53
2,2:44.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,38,53
2,2:41.0,,Defensive rebound by J. Green,38,53
2,2:36.0,,Turnover by B. Beal (bad pass; steal by B. Simmons),38,53
2,2:32.0,B. Simmons misses 2-pt layup from 4 ft (block by J. Green),,38,53
2,2:31.0,Offensive rebound by F. Korkmaz,,38,53
2,2:23.0,S. Milton misses 3-pt jump shot from 27 ft,,38,53
2,2:20.0,Offensive rebound by F. Korkmaz,,38,53
2,2:19.0,Turnover by F. Korkmaz (lost ball; steal by T. Ariza),,38,53
2,2:17.0,,O. Porter makes 2-pt layup from 2 ft (assist by B. Beal),38,55
2,2:17.0,,Shooting foul by W. Chandler (drawn by O. Porter),38,55
2,2:17.0,,O. Porter makes free throw 1 of 1,38,56
2,2:07.0,Shooting foul by J. Green (drawn by J. Embiid),,38,56
2,2:07.0,J. Embiid makes free throw 1 of 2,,39,56
2,2:07.0,J. Embiid makes free throw 2 of 2,,40,56
2,1:56.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),40,59
2,1:36.0,Shooting foul by J. Green (drawn by J. Embiid),,40,59
2,1:36.0,J. Embiid makes free throw 1 of 2,,41,59
2,1:36.0,,I. Mahinmi enters the game for J. Green,41,59
2,1:36.0,J. Embiid makes free throw 2 of 2,,42,59
2,1:26.0,,B. Beal makes 2-pt dunk from 2 ft (assist by T. Satoranský),42,61
2,1:18.0,Shooting foul by B. Beal (drawn by B. Simmons),,42,61
2,1:18.0,B. Simmons misses free throw 1 of 2,,42,61
2,1:18.0,Offensive rebound by Team,,42,61
2,1:18.0,B. Simmons misses free throw 2 of 2,,42,61
2,1:15.0,,Defensive rebound by T. Ariza,42,61
2,1:06.0,,T. Ariza misses 3-pt jump shot from 24 ft,42,61
2,1:02.0,Defensive rebound by S. Milton,,42,61
2,0:59.0,Shooting foul by T. Ariza (drawn by J. Embiid),,42,61
2,0:59.0,J. Embiid makes free throw 1 of 2,,43,61
2,0:59.0,,S. Dekker enters the game for O. Porter,43,61
2,0:59.0,J. Embiid makes free throw 2 of 2,,44,61
2,0:38.0,,Shooting foul by W. Chandler (drawn by T. Satoranský),44,61
2,0:38.0,,T. Satoranský makes free throw 1 of 2,44,62
2,0:38.0,,T. Satoranský makes free throw 2 of 2,44,63
2,0:29.0,B. Simmons makes 2-pt hook shot from 4 ft,,46,63
2,0:10.0,,Personal foul by W. Chandler (drawn by I. Mahinmi),46,63
2,0:10.0,,I. Mahinmi misses free throw 1 of 2,46,63
2,0:10.0,,Offensive rebound by Team,46,63
2,0:10.0,,I. Mahinmi misses free throw 2 of 2,46,63
2,0:07.0,Defensive rebound by F. Korkmaz,,46,63
2,0:01.0,W. Chandler misses 2-pt jump shot from 21 ft,,46,63
2,0:01.0,Offensive rebound by J. Embiid,,46,63
2,0:01.0,J. Embiid makes 2-pt layup from 1 ft,,48,63
3,11:40.0,,Turnover by J. Green (bad pass; steal by B. Simmons),48,63
3,11:36.0,B. Simmons makes 2-pt dunk from 3 ft,,50,63
3,11:10.0,,J. Green makes 3-pt jump shot from 29 ft (assist by B. Beal),50,66
3,10:46.0,J. Butler makes 2-pt layup from 1 ft,,52,66
3,10:40.0,,T. Bryant makes 2-pt dunk from 3 ft (assist by B. Beal),52,68
3,10:40.0,,Technical foul by T. Bryant,52,68
3,10:40.0,J. Butler makes technical free throw,,53,68
3,10:24.0,J. Butler misses 2-pt jump shot from 2 ft (block by B. Beal),,53,68
3,10:24.0,,Defensive rebound by B. Beal,53,68
3,10:19.0,,T. Bryant misses 2-pt dunk from 5 ft,53,68
3,10:17.0,Defensive rebound by B. Simmons,,53,68
3,10:08.0,J. Embiid makes 2-pt jump shot from 9 ft (assist by W. Chandler),,55,68
3,10:08.0,Shooting foul by J. Green (drawn by J. Embiid),,55,68
3,10:08.0,,Technical foul by J. Green,55,68
3,10:08.0,J. Butler misses technical free throw,,55,68
3,10:08.0,Offensive rebound by Team,,55,68
3,10:08.0,,O. Porter enters the game for J. Green,55,68
3,10:08.0,J. Embiid misses free throw 1 of 1,,55,68
3,10:06.0,,Defensive rebound by T. Satoranský,55,68
3,10:03.0,,B. Beal misses 3-pt jump shot from 26 ft,55,68
3,10:00.0,,Offensive rebound by T. Bryant,55,68
3,10:00.0,,T. Bryant makes 2-pt dunk from 2 ft,55,70
3,10:00.0,Philadelphia full timeout,,55,70
3,9:48.0,B. Simmons makes 2-pt layup from 4 ft,,57,70
3,9:27.0,,T. Ariza misses 2-pt jump shot from 2 ft,57,70
3,9:24.0,,Offensive rebound by T. Bryant,57,70
3,9:24.0,,T. Bryant makes 2-pt layup from 1 ft,57,72
3,9:16.0,Turnover by J. Embiid (lost ball; steal by T. Satoranský),,57,72
3,9:12.0,,T. Satoranský makes 2-pt dunk from 3 ft,57,74
3,8:55.0,Personal foul by T. Ariza (drawn by J. Embiid),,57,74
3,8:41.0,W. Chandler misses 3-pt jump shot from 26 ft,,57,74
3,8:39.0,,Defensive rebound by Team,57,74
3,8:39.0,Loose ball foul by B. Simmons (drawn by T. Ariza),,57,74
3,8:24.0,,T. Satoranský misses 2-pt layup from 3 ft,57,74
3,8:21.0,Defensive rebound by J. Embiid,,57,74
3,8:17.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),,60,74
3,8:00.0,,B. Beal misses 3-pt jump shot from 24 ft,60,74
3,7:57.0,Defensive rebound by F. Korkmaz,,60,74
3,7:52.0,Turnover by J. Embiid (bad pass),,60,74
3,7:37.0,,T. Bryant makes 3-pt jump shot from 25 ft (assist by T. Satoranský),60,77
3,7:23.0,Shooting foul by B. Beal (drawn by J. Butler),,60,77
3,7:23.0,J. Butler makes free throw 1 of 2,,61,77
3,7:23.0,T. McConnell enters the game for W. Chandler,,61,77
3,7:23.0,J. Butler makes free throw 2 of 2,,62,77
3,7:10.0,,T. Ariza makes 2-pt jump shot from 20 ft,62,79
3,6:57.0,J. Embiid misses 2-pt layup from 1 ft,,62,79
3,6:57.0,,Defensive rebound by T. Bryant,62,79
3,6:49.0,,T. Ariza makes 2-pt layup from 3 ft (assist by T. Bryant),62,81
3,6:49.0,,Shooting foul by F. Korkmaz (drawn by T. Ariza),62,81
3,6:49.0,J. Bolden enters the game for J. Embiid,,62,81
3,6:49.0,M. Muscala enters the game for F. Korkmaz,,62,81
3,6:49.0,L. Shamet enters the game for B. Simmons,,62,81
3,6:49.0,,T. Ariza makes free throw 1 of 1,62,82
3,6:38.0,J. Butler misses 2-pt jump shot from 8 ft,,62,82
3,6:33.0,Offensive rebound by J. Butler,,62,82
3,6:32.0,J. Butler misses 2-pt layup from 4 ft,,62,82
3,6:28.0,,Defensive rebound by T. Satoranský,62,82
3,6:18.0,,T. Ariza makes 2-pt jump shot from 18 ft (assist by T. Satoranský),62,84
3,6:00.0,J. Butler misses 2-pt jump shot from 7 ft,,62,84
3,5:58.0,,Defensive rebound by T. Bryant,62,84
3,5:51.0,,Personal foul by J. Bolden (drawn by T. Ariza),62,84
3,5:43.0,,T. Ariza misses 2-pt jump shot from 19 ft,62,84
3,5:40.0,Defensive rebound by M. Muscala,,62,84
3,5:29.0,T. McConnell misses 2-pt jump shot from 14 ft,,62,84
3,5:28.0,,Defensive rebound by Team,62,84
3,5:10.0,,Turnover by T. Ariza (traveling),62,84
3,4:56.0,J. Bolden misses 3-pt jump shot from 24 ft,,62,84
3,4:53.0,,Defensive rebound by O. Porter,62,84
3,4:51.0,,Personal foul by J. Bolden (drawn by T. Bryant),62,84
3,4:45.0,,Turnover by T. Ariza (bad pass; steal by J. Butler),62,84
3,4:44.0,Personal foul by O. Porter (drawn by J. Bolden),,62,84
3,4:44.0,,C. Randle enters the game for T. Satoranský,62,84
3,4:27.0,J. Butler misses 2-pt jump shot from 18 ft,,62,84
3,4:23.0,,Defensive rebound by O. Porter,62,84
3,4:21.0,,Shooting foul by L. Shamet (drawn by O. Porter),62,84
3,4:21.0,,O. Porter makes free throw 1 of 2,62,85
3,4:21.0,,O. Porter makes free throw 2 of 2,62,86
3,4:09.0,T. McConnell misses 2-pt jump shot from 15 ft,,62,86
3,4:06.0,,Defensive rebound by T. Bryant,62,86
3,3:56.0,,T. Ariza misses 3-pt jump shot from 23 ft,62,86
3,3:54.0,,Offensive rebound by T. Bryant,62,86
3,3:53.0,,T. Ariza makes 2-pt layup from 1 ft (assist by T. Bryant),62,88
3,3:50.0,Philadelphia full timeout,,62,88
3,3:50.0,W. Chandler enters the game for J. Bolden,,62,88
3,3:50.0,J. Embiid enters the game for M. Muscala,,62,88
3,3:29.0,L. Shamet misses 2-pt jump shot from 20 ft,,62,88
3,3:29.0,Offensive rebound by Team,,62,88
3,3:22.0,J. Embiid makes 2-pt layup from 2 ft (assist by W. Chandler),,64,88
3,3:22.0,Shooting foul by O. Porter (drawn by J. Embiid),,64,88
3,3:22.0,J. Embiid makes free throw 1 of 1,,65,88
3,3:04.0,,B. Beal makes 2-pt jump shot from 16 ft,65,90
3,2:56.0,L. Shamet misses 3-pt jump shot from 25 ft,,65,90
3,2:53.0,,Defensive rebound by O. Porter,65,90
3,2:48.0,,T. Ariza misses 3-pt jump shot from 26 ft,65,90
3,2:46.0,Defensive rebound by J. Embiid,,65,90
3,2:37.0,T. McConnell misses 2-pt jump shot from 13 ft,,65,90
3,2:33.0,Offensive rebound by J. Embiid,,65,90
3,2:32.0,J. Embiid makes 2-pt layup from 2 ft,,67,90
3,2:16.0,,Turnover by C. Randle (out of bounds lost ball),67,90
3,2:16.0,,I. Mahinmi enters the game for T. Bryant,67,90
3,1:57.0,J. Embiid makes 2-pt jump shot from 16 ft (assist by J. Butler),,69,90
3,1:37.0,,Shooting foul by W. Chandler (drawn by I. Mahinmi),69,90
3,1:37.0,,I. Mahinmi makes free throw 1 of 2,69,91
3,1:37.0,,S. Dekker enters the game for T. Ariza,69,91
3,1:37.0,,I. Mahinmi makes free throw 2 of 2,69,92
3,1:28.0,Personal foul by I. Mahinmi (drawn by J. Embiid),,69,92
3,1:28.0,J. Embiid makes free throw 1 of 2,,70,92
3,1:28.0,J. Embiid makes free throw 2 of 2,,71,92
3,1:16.0,,B. Beal misses 2-pt jump shot from 19 ft,71,92
3,1:13.0,,Offensive rebound by I. Mahinmi,71,92
3,1:06.0,,Turnover by B. Beal (bad pass; steal by W. Chandler),71,92
3,1:02.0,J. Butler makes 2-pt dunk from 2 ft,,73,92
3,0:44.0,,Personal foul by L. Shamet (drawn by S. Dekker),73,92
3,0:44.0,,S. Dekker misses free throw 1 of 2,73,92
3,0:44.0,,Offensive rebound by Team,73,92
3,0:44.0,,S. Dekker misses free throw 2 of 2,73,92
3,0:42.0,Defensive rebound by J. Embiid,,73,92
3,0:30.0,J. Butler makes 2-pt layup from 2 ft,,75,92
3,0:11.0,,O. Porter misses 3-pt jump shot from 26 ft,75,92
3,0:08.0,Defensive rebound by L. Shamet,,75,92
3,0:01.0,J. Embiid misses 3-pt jump shot from 28 ft,,75,92
3,0:01.0,Offensive rebound by Team,,75,92
4,11:44.0,T. McConnell makes 2-pt jump shot from 14 ft (assist by F. Korkmaz),,77,92
4,11:28.0,,Shooting foul by L. Shamet (drawn by O. Porter),77,92
4,11:28.0,,O. Porter makes free throw 1 of 2,77,93
4,11:28.0,,O. Porter makes free throw 2 of 2,77,94
4,11:14.0,B. Simmons misses 2-pt layup from 3 ft,,77,94
4,11:12.0,Offensive rebound by J. Embiid,,77,94
4,11:11.0,J. Embiid makes 2-pt layup from 2 ft,,79,94
4,10:52.0,,C. Randle makes 2-pt jump shot from 11 ft (assist by S. Dekker),79,96
4,10:40.0,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),,81,96
4,10:12.0,,J. Green misses 2-pt jump shot from 22 ft,81,96
4,10:10.0,Defensive rebound by J. Embiid,,81,96
4,10:04.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,81,96
4,10:01.0,,Defensive rebound by I. Mahinmi,81,96
4,9:55.0,,O. Porter misses 2-pt jump shot from 3 ft (block by J. Embiid),81,96
4,9:55.0,,Offensive rebound by Team,81,96
4,9:55.0,J. Butler enters the game for L. Shamet,,81,96
4,9:52.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by J. Green),81,98
4,9:41.0,Turnover by J. Butler (lost ball; steal by O. Porter),,81,98
4,9:31.0,,O. Porter makes 2-pt jump shot from 6 ft,81,100
4,9:30.0,Philadelphia full timeout,,81,100
4,9:18.0,Turnover by J. Embiid (lost ball; steal by I. Mahinmi),,81,100
4,9:01.0,,Turnover by J. Green (lost ball; steal by J. Embiid),81,100
4,8:56.0,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by J. Butler),,84,100
4,8:31.0,,J. Green misses 2-pt jump shot from 16 ft,84,100
4,8:31.0,Defensive rebound by J. Embiid,,84,100
4,8:21.0,J. Butler misses 2-pt jump shot from 4 ft,,84,100
4,8:20.0,Offensive rebound by J. Butler,,84,100
4,8:17.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),,86,100
4,8:17.0,,Washington full timeout,86,100
4,8:17.0,,B. Beal enters the game for S. Dekker,86,100
4,8:17.0,,T. Satoranský enters the game for C. Randle,86,100
4,8:05.0,,Personal foul by F. Korkmaz (drawn by T. Satoranský),86,100
