QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
1,3:54.0,C. Joseph enters the game for B. Bogdanović,,19,18
1,3:54.0,,S. Adams makes free throw 2 of 2,19,19
1,3:47.0,W. Matthews misses 3-pt jump shot from 25 ft,,19,19
1,3:44.0,,Defensive rebound by J. Grant,19,19
1,3:33.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),19,21
1,3:28.0,Indiana full timeout,,19,21
1,3:28.0,T. Evans enters the game for D. Collison,,19,21
1,3:28.0,D. McDermott enters the game for W. Matthews,,19,21
1,3:28.0,,A. Nader enters the game for T. Ferguson,19,21
1,3:09.0,D. Sabonis makes 2-pt hook shot from 5 ft,,21,21
1,2:48.0,,Turnover by D. Schröder (bad pass; steal by T. Evans),21,21
1,2:46.0,C. Joseph misses 2-pt layup from 3 ft,,21,21
1,2:45.0,Offensive rebound by D. Sabonis,,21,21
1,2:43.0,D. Sabonis misses 2-pt layup from 2 ft,,21,21
1,2:42.0,Offensive rebound by M. Turner,,21,21
1,2:42.0,M. Turner makes 2-pt dunk from 1 ft,,23,21
1,2:31.0,,J. Grant misses 2-pt jump shot from 18 ft,23,21
1,2:27.0,Defensive rebound by M. Turner,,23,21
1,2:18.0,D. Sabonis makes 2-pt layup from 2 ft (assist by C. Joseph),,25,21
1,2:18.0,Shooting foul by J. Grant (drawn by D. Sabonis),,25,21
1,2:18.0,,P. George enters the game for S. Adams,25,21
1,2:18.0,,N. Noel enters the game for R. Westbrook,25,21
1,2:18.0,D. Sabonis misses free throw 1 of 1,,25,21
1,2:16.0,,Defensive rebound by N. Noel,25,21
1,2:05.0,,D. Schröder misses 2-pt jump shot from 4 ft,25,21
1,2:03.0,,Offensive rebound by Team,25,21
1,2:03.0,T. Young enters the game for M. Turner,,25,21
1,1:56.0,,P. George makes 2-pt jump shot from 12 ft,25,23
1,1:38.0,D. Sabonis makes 2-pt layup at rim (assist by T. Evans),,27,23
1,1:16.0,,J. Grant makes 2-pt layup from 1 ft (assist by A. Nader),27,25
1,1:03.0,D. McDermott misses 2-pt dunk from 1 ft (block by N. Noel),,27,25
1,1:00.0,,Defensive rebound by J. Grant,27,25
1,1:00.0,,P. George makes 2-pt dunk from 1 ft (assist by J. Grant),27,27
1,0:46.0,Turnover by T. Evans (traveling),,27,27
1,0:46.0,,M. Morris enters the game for J. Grant,27,27
1,0:30.0,,Shooting foul by T. Evans (drawn by D. Schröder),27,27
1,0:30.0,,D. Schröder makes free throw 1 of 2,27,28
1,0:30.0,,D. Schröder makes free throw 2 of 2,27,29
1,0:15.0,T. Evans misses 2-pt layup from 2 ft,,27,29
1,0:14.0,,Defensive rebound by N. Noel,27,29
1,0:01.0,,M. Morris misses 3-pt jump shot from 26 ft,27,29
1,0:01.0,,Offensive rebound by Team,27,29
2,11:38.0,C. Joseph misses 2-pt jump shot from 13 ft,,27,29
2,11:35.0,,Defensive rebound by M. Morris,27,29
2,11:22.0,,A. Nader misses 3-pt jump shot from 23 ft,27,29
2,11:19.0,Defensive rebound by C. Joseph,,27,29
2,11:14.0,Shooting foul by D. Schröder (drawn by T. Evans),,27,29
2,11:14.0,T. Evans makes free throw 1 of 2,,28,29
2,11:14.0,T. Evans misses free throw 2 of 2,,28,29
2,11:13.0,,Defensive rebound by P. George,28,29
2,11:02.0,,N. Noel makes 2-pt dunk from 1 ft (assist by M. Morris),28,31
2,10:42.0,Shooting foul by M. Morris (drawn by T. Young),,28,31
2,10:42.0,T. Young makes free throw 1 of 2,,29,31
2,10:42.0,T. Young makes free throw 2 of 2,,30,31
2,10:23.0,,P. George misses 3-pt jump shot from 23 ft,30,31
2,10:18.0,Defensive rebound by D. McDermott,,30,31
2,10:13.0,T. Young makes 2-pt layup from 2 ft,,32,31
2,10:01.0,,A. Nader makes 3-pt jump shot from 23 ft (assist by M. Morris),32,34
2,9:45.0,T. Young misses 3-pt jump shot from 23 ft,,32,34
2,9:42.0,,Defensive rebound by D. Schröder,32,34
2,9:28.0,,D. Schröder misses 2-pt jump shot from 10 ft,32,34
2,9:26.0,Defensive rebound by T. Young,,32,34
2,9:26.0,Personal foul by M. Morris (drawn by T. Young),,32,34
2,9:18.0,Personal foul by N. Noel (drawn by D. Sabonis),,32,34
2,9:12.0,T. Young makes 3-pt jump shot from 25 ft (assist by T. Evans),,35,34
2,9:12.0,,Oklahoma City full timeout,35,34
2,8:56.0,,Shooting foul by D. McDermott (drawn by N. Noel),35,34
2,8:56.0,,N. Noel misses free throw 1 of 2,35,34
2,8:56.0,,Offensive rebound by Team,35,34
2,8:56.0,,N. Noel misses free throw 2 of 2,35,34
2,8:54.0,Defensive rebound by D. Sabonis,,35,34
2,8:54.0,,T. Ferguson enters the game for P. George,35,34
2,8:54.0,,R. Westbrook enters the game for A. Nader,35,34
2,8:40.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. Evans),,37,34
2,8:23.0,,N. Noel makes 2-pt layup from 2 ft (assist by M. Morris),37,36
2,8:07.0,T. Evans misses 2-pt jump shot from 21 ft,,37,36
2,8:05.0,,Defensive rebound by Team,37,36
2,8:05.0,,S. Adams enters the game for N. Noel,37,36
2,7:53.0,,M. Morris misses 3-pt jump shot from 23 ft,37,36
2,7:48.0,Defensive rebound by D. McDermott,,37,36
2,7:39.0,C. Joseph misses 3-pt jump shot from 23 ft,,37,36
2,7:37.0,Offensive rebound by Team,,37,36
2,7:37.0,B. Bogdanović enters the game for D. McDermott,,37,36
2,7:29.0,Turnover by T. Evans (bad pass; steal by R. Westbrook),,37,36
2,7:16.0,,Turnover by R. Westbrook (bad pass; steal by T. Young),37,36
2,7:10.0,T. Evans misses 2-pt layup from 2 ft,,37,36
2,7:08.0,,Defensive rebound by S. Adams,37,36
2,7:04.0,,T. Ferguson misses 3-pt jump shot from 23 ft,37,36
2,7:01.0,Defensive rebound by B. Bogdanović,,37,36
2,6:46.0,T. Evans misses 2-pt jump shot from 6 ft,,37,36
2,6:45.0,,Defensive rebound by Team,37,36
2,6:45.0,W. Matthews enters the game for T. Evans,,37,36
2,6:45.0,M. Turner enters the game for T. Young,,37,36
2,6:45.0,,P. George enters the game for M. Morris,37,36
2,6:45.0,,J. Grant enters the game for D. Schröder,37,36
2,6:28.0,,P. George makes 2-pt layup from 3 ft (assist by J. Grant),37,38
2,6:13.0,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,40,38
2,5:48.0,,R. Westbrook misses 3-pt jump shot from 26 ft,40,38
2,5:45.0,Defensive rebound by M. Turner,,40,38
2,5:26.0,D. Sabonis misses 2-pt layup from 1 ft,,40,38
2,5:25.0,,Defensive rebound by S. Adams,40,38
2,5:13.0,,P. George misses 2-pt jump shot from 13 ft,40,38
2,5:11.0,Defensive rebound by M. Turner,,40,38
2,5:02.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,43,38
2,4:51.0,,R. Westbrook misses 2-pt jump shot from 9 ft,43,38
2,4:49.0,,Offensive rebound by S. Adams,43,38
2,4:41.0,,J. Grant makes 3-pt jump shot from 24 ft (assist by T. Ferguson),43,41
2,4:29.0,Indiana full timeout,,43,41
2,4:29.0,D. Collison enters the game for C. Joseph,,43,41
2,4:15.0,B. Bogdanović makes 2-pt jump shot from 16 ft (assist by D. Sabonis),,45,41
2,3:56.0,,P. George misses 3-pt jump shot from 23 ft,45,41
2,3:53.0,Defensive rebound by M. Turner,,45,41
2,3:32.0,D. Sabonis misses 2-pt hook shot from 3 ft,,45,41
2,3:29.0,,Defensive rebound by S. Adams,45,41
2,3:22.0,,J. Grant misses 2-pt layup from 2 ft (block by M. Turner),45,41
2,3:21.0,Defensive rebound by M. Turner,,45,41
2,3:15.0,M. Turner misses 2-pt jump shot from 14 ft,,45,41
2,3:14.0,,Defensive rebound by R. Westbrook,45,41
2,3:14.0,,Personal foul by D. Collison (drawn by R. Westbrook),45,41
2,3:05.0,,J. Grant misses 2-pt jump shot from 16 ft,45,41
2,3:01.0,Defensive rebound by W. Matthews,,45,41
2,2:57.0,Personal foul by J. Grant (drawn by D. Sabonis),,45,41
2,2:57.0,D. Sabonis makes free throw 1 of 2,,46,41
2,2:57.0,D. Sabonis misses free throw 2 of 2,,46,41
2,2:54.0,Offensive rebound by Team,,46,41
2,2:54.0,T. Young enters the game for D. Sabonis,,46,41
2,2:45.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Young),,49,41
2,2:30.0,,P. George misses 3-pt jump shot from 23 ft,49,41
2,2:27.0,Defensive rebound by B. Bogdanović,,49,41
2,2:17.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,49,41
2,2:14.0,,Defensive rebound by S. Adams,49,41
2,2:09.0,,S. Adams misses 2-pt layup from 2 ft,49,41
2,2:07.0,,Offensive rebound by S. Adams,49,41
2,2:07.0,,S. Adams makes 2-pt layup at rim,49,43
2,1:50.0,M. Turner misses 2-pt jump shot from 20 ft,,49,43
2,1:48.0,,Defensive rebound by R. Westbrook,49,43
2,1:44.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),49,45
2,1:18.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,49,45
2,1:16.0,,Defensive rebound by J. Grant,49,45
2,1:10.0,,P. George misses 2-pt jump shot from 11 ft,49,45
2,1:07.0,Defensive rebound by M. Turner,,49,45
2,0:47.0,W. Matthews makes 3-pt jump shot from 25 ft,,52,45
2,0:39.0,,Turnover by P. George (lost ball; steal by W. Matthews),52,45
2,0:34.0,D. Collison misses 3-pt jump shot from 25 ft,,52,45
2,0:31.0,Offensive rebound by M. Turner,,52,45
2,0:17.0,B. Bogdanović makes 2-pt jump shot from 10 ft,,54,45
3,11:51.0,M. Turner makes 2-pt jump shot from 14 ft (assist by D. Collison),,56,45
3,11:27.0,,P. George makes 3-pt jump shot from 25 ft (assist by J. Grant),56,48
3,11:13.0,Offensive foul by M. Turner (drawn by R. Westbrook),,56,48
3,11:13.0,Turnover by M. Turner (offensive foul),,56,48
3,11:02.0,,J. Grant misses 2-pt jump shot from 8 ft,56,48
3,11:00.0,Defensive rebound by Team,,56,48
3,10:48.0,M. Turner makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),,58,48
3,10:27.0,,R. Westbrook misses 3-pt jump shot from 25 ft,58,48
3,10:24.0,,Offensive rebound by S. Adams,58,48
3,10:22.0,,S. Adams makes 2-pt hook shot from 10 ft,58,50
3,10:07.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,58,50
3,10:05.0,,Defensive rebound by P. George,58,50
3,9:53.0,,Turnover by J. Grant (bad pass; steal by D. Collison),58,50
3,9:50.0,D. Collison misses 2-pt jump shot from 15 ft,,58,50
3,9:47.0,,Defensive rebound by J. Grant,58,50
3,9:41.0,,S. Adams misses 2-pt hook shot from 8 ft,58,50
3,9:38.0,Defensive rebound by W. Matthews,,58,50
3,9:25.0,Turnover by D. Collison (bad pass; steal by P. George),,58,50
3,9:22.0,,R. Westbrook misses 2-pt layup from 6 ft (block by M. Turner),58,50
3,9:22.0,,Offensive rebound by Team,58,50
3,9:22.0,,Violation by Team (delay of game),58,50
3,9:17.0,,Oklahoma City full timeout,58,50
3,9:01.0,,P. George misses 3-pt jump shot from 35 ft,58,50
3,9:00.0,,Offensive rebound by Team,58,50
3,9:00.0,,Turnover by Team (shot clock),58,50
3,8:43.0,T. Young misses 2-pt layup from 2 ft (block by J. Grant),,58,50
3,8:40.0,Offensive rebound by T. Young,,58,50
3,8:35.0,W. Matthews misses 2-pt layup from 6 ft,,58,50
3,8:32.0,,Defensive rebound by P. George,58,50
3,8:20.0,,T. Ferguson misses 2-pt layup from 2 ft (block by M. Turner),58,50
3,8:17.0,Defensive rebound by T. Young,,58,50
3,8:00.0,B. Bogdanović misses 2-pt layup from 1 ft (block by J. Grant),,58,50
3,7:57.0,Offensive rebound by W. Matthews,,58,50
3,7:56.0,T. Young misses 3-pt jump shot from 24 ft,,58,50
3,7:56.0,,Defensive rebound by R. Westbrook,58,50
3,7:47.0,,R. Westbrook misses 2-pt layup from 2 ft,58,50
3,7:46.0,,Offensive rebound by S. Adams,58,50
3,7:46.0,,S. Adams makes 2-pt layup from 1 ft,58,52
3,7:39.0,W. Matthews misses 3-pt jump shot from 23 ft,,58,52
3,7:36.0,,Defensive rebound by Team,58,52
3,7:29.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),58,55
3,7:02.0,D. Collison misses 3-pt jump shot from 25 ft,,58,55
3,7:01.0,Offensive rebound by Team,,58,55
3,7:01.0,,Loose ball foul by J. Grant (drawn by M. Turner),58,55
3,6:52.0,M. Turner misses 2-pt jump shot from 7 ft,,58,55
3,6:51.0,,Defensive rebound by R. Westbrook,58,55
3,6:44.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),58,57
3,6:36.0,Indiana full timeout,,58,57
3,6:27.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,58,57
3,6:25.0,,Defensive rebound by R. Westbrook,58,57
3,6:11.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),58,60
3,5:53.0,B. Bogdanović misses 2-pt layup from 1 ft,,58,60
3,5:50.0,,Defensive rebound by P. George,58,60
3,5:45.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),58,63
3,5:28.0,Turnover by B. Bogdanović (bad pass; steal by S. Adams),,58,63
3,5:17.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by J. Grant),58,66
3,5:13.0,Indiana full timeout,,58,66
3,5:13.0,C. Joseph enters the game for B. Bogdanović,,58,66
3,5:13.0,D. Sabonis enters the game for T. Young,,58,66
3,5:00.0,W. Matthews misses 2-pt layup from 2 ft,,58,66
3,4:59.0,,Defensive rebound by J. Grant,58,66
3,4:56.0,,Personal foul by D. Collison (drawn by R. Westbrook),58,66
3,4:41.0,,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Westbrook),58,68
3,4:25.0,D. Collison misses 2-pt layup from 3 ft (block by R. Westbrook),,58,68
3,4:25.0,Offensive rebound by Team,,58,68
3,4:25.0,T. Evans enters the game for D. Collison,,58,68
3,4:22.0,W. Matthews misses 3-pt jump shot from 25 ft,,58,68
3,4:19.0,,Defensive rebound by R. Westbrook,58,68
3,4:17.0,,Personal foul by W. Matthews (drawn by P. George),58,68
3,4:11.0,,P. George makes 2-pt jump shot from 9 ft,58,70
3,4:11.0,,Shooting foul by C. Joseph (drawn by P. George),58,70
3,4:11.0,Technical foul by W. Matthews,,58,70
3,4:11.0,,P. George makes technical free throw,58,71
3,4:11.0,,P. George makes free throw 1 of 1,58,72
3,3:57.0,T. Evans makes 2-pt layup from 2 ft,,60,72
3,3:46.0,,R. Westbrook makes 2-pt jump shot from 10 ft,60,74
3,3:35.0,Personal foul by T. Ferguson (drawn by T. Evans),,60,74
3,3:35.0,,N. Noel enters the game for S. Adams,60,74
3,3:35.0,,D. Schröder enters the game for P. George,60,74
3,3:25.0,W. Matthews misses 3-pt jump shot from 23 ft,,60,74
3,3:21.0,Offensive rebound by C. Joseph,,60,74
3,3:20.0,W. Matthews misses 3-pt jump shot from 23 ft,,60,74
3,3:18.0,,Defensive rebound by R. Westbrook,60,74
3,3:14.0,Loose ball foul by C. Joseph (drawn by R. Westbrook),,60,74
3,3:01.0,,J. Grant misses 3-pt jump shot from 25 ft,60,74
3,2:56.0,Defensive rebound by T. Evans,,60,74
3,2:53.0,T. Evans misses 2-pt layup from 2 ft,,60,74
3,2:52.0,Offensive rebound by Team,,60,74
3,2:52.0,,Loose ball foul by N. Noel (drawn by D. Sabonis),60,74
3,2:52.0,D. McDermott enters the game for W. Matthews,,60,74
3,2:52.0,,A. Nader enters the game for T. Ferguson,60,74
3,2:37.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),,62,74
3,2:18.0,,R. Westbrook misses 2-pt jump shot from 16 ft,62,74
3,2:14.0,Defensive rebound by D. Sabonis,,62,74
3,2:09.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by C. Joseph),,65,74
3,2:07.0,,Oklahoma City full timeout,65,74
3,2:07.0,,P. George enters the game for R. Westbrook,65,74
3,1:58.0,,P. George makes 2-pt layup from 2 ft,65,76
3,1:37.0,D. Sabonis misses 2-pt hook shot from 2 ft,,65,76
3,1:36.0,Offensive rebound by M. Turner,,65,76
3,1:35.0,M. Turner makes 2-pt layup from 1 ft,,67,76
3,1:23.0,,P. George misses 3-pt jump shot from 26 ft,67,76
3,1:20.0,Defensive rebound by D. Sabonis,,67,76
3,0:59.0,Turnover by Team (shot clock),,67,76
3,0:59.0,B. Bogdanović enters the game for M. Turner,,67,76
3,0:59.0,,M. Morris enters the game for J. Grant,67,76
3,0:36.0,,P. George misses 3-pt jump shot from 25 ft,67,76
3,0:32.0,Defensive rebound by D. Sabonis,,67,76
3,0:15.0,T. Evans makes 2-pt layup from 1 ft,,69,76
3,0:02.0,,P. George misses 2-pt jump shot from 11 ft,69,76
3,0:02.0,Defensive rebound by T. Evans,,69,76
4,11:39.0,,P. George makes 3-pt jump shot from 30 ft (assist by D. Schröder),69,79
4,11:19.0,B. Bogdanović misses 2-pt jump shot from 5 ft (block by T. Ferguson),,69,79
4,11:17.0,,Defensive rebound by A. Nader,69,79
4,11:13.0,,D. Schröder misses 3-pt jump shot from 26 ft,69,79
4,11:10.0,Defensive rebound by D. Sabonis,,69,79
4,10:52.0,T. Evans makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,71,79
4,10:27.0,,Turnover by P. George (bad pass),71,79
4,10:14.0,,Violation by Team (kicked ball),71,79
4,10:06.0,D. Sabonis misses 2-pt jump shot from 14 ft,,71,79
4,10:04.0,,Defensive rebound by A. Nader,71,79
4,9:55.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by D. Schröder),71,82
4,9:34.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,73,82
4,9:13.0,,T. Ferguson misses 2-pt jump shot from 13 ft,73,82
4,9:11.0,Defensive rebound by D. Sabonis,,73,82
4,8:59.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. McDermott),,76,82
4,8:35.0,,D. Schröder misses 2-pt layup from 4 ft (block by D. Sabonis),76,82
4,8:34.0,,Offensive rebound by Team,76,82
4,8:34.0,,S. Adams enters the game for A. Nader,76,82
4,8:34.0,,R. Westbrook enters the game for N. Noel,76,82
4,8:26.0,,P. George makes 2-pt layup from 2 ft (assist by S. Adams),76,84
4,8:05.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Evans),,79,84
4,7:53.0,,R. Westbrook misses 2-pt layup from 3 ft,79,84
4,7:49.0,,Offensive rebound by R. Westbrook,79,84
4,7:49.0,,R. Westbrook makes 2-pt layup from 1 ft,79,86
4,7:44.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,79,86
4,7:42.0,,Defensive rebound by Team,79,86
4,7:42.0,T. Young enters the game for D. McDermott,,79,86
4,7:42.0,,J. Grant enters the game for P. George,79,86
4,7:35.0,,T. Ferguson makes 2-pt dunk at rim (assist by R. Westbrook),79,88
4,7:34.0,Indiana full timeout,,79,88
4,7:34.0,W. Matthews enters the game for B. Bogdanović,,79,88
4,7:26.0,T. Evans misses 2-pt layup from 2 ft,,79,88
4,7:25.0,,Defensive rebound by J. Grant,79,88
4,7:17.0,,Shooting foul by C. Joseph (drawn by D. Schröder),79,88
4,7:17.0,,D. Schröder makes free throw 1 of 2,79,89
4,7:17.0,,D. Schröder misses free throw 2 of 2,79,89
4,7:15.0,Defensive rebound by T. Young,,79,89
4,7:05.0,Turnover by T. Evans (bad pass; steal by S. Adams),,79,89
4,6:56.0,,D. Schröder misses 2-pt jump shot from 16 ft,79,89
4,6:54.0,,Offensive rebound by S. Adams,79,89
4,6:48.0,,D. Schröder misses 2-pt layup from 6 ft,79,89
4,6:46.0,Defensive rebound by D. Sabonis,,79,89
4,6:32.0,T. Young makes 2-pt layup from 2 ft (assist by W. Matthews),,81,89
4,6:16.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by D. Schröder),81,92
4,5:59.0,C. Joseph misses 3-pt jump shot from 25 ft,,81,92
4,5:57.0,,Defensive rebound by T. Ferguson,81,92
4,5:52.0,,Turnover by R. Westbrook (bad pass),81,92
4,5:52.0,B. Bogdanović enters the game for T. Evans,,81,92
4,5:52.0,,P. George enters the game for D. Schröder,81,92
4,5:47.0,Personal foul by P. George (drawn by B. Bogdanović),,81,92
4,5:37.0,Shooting foul by P. George (drawn by D. Sabonis),,81,92
4,5:37.0,D. Sabonis misses free throw 1 of 2,,81,92
4,5:37.0,Offensive rebound by Team,,81,92
4,5:37.0,D. Sabonis makes free throw 2 of 2,,82,92
4,5:25.0,,R. Westbrook misses 2-pt jump shot from 12 ft,82,92
4,5:22.0,Defensive rebound by C. Joseph,,82,92
4,5:13.0,T. Young misses 2-pt layup from 3 ft (block by S. Adams),,82,92
4,5:13.0,,Defensive rebound by Team,82,92
4,4:57.0,,P. George misses 3-pt jump shot from 26 ft,82,92
4,4:55.0,Defensive rebound by D. Sabonis,,82,92
4,4:42.0,W. Matthews misses 3-pt jump shot from 23 ft,,82,92
4,4:41.0,Offensive rebound by Team,,82,92
4,4:41.0,,Loose ball foul by T. Ferguson (drawn by T. Young),82,92
4,4:32.0,Turnover by W. Matthews (bad pass; steal by J. Grant),,82,92
4,4:23.0,,J. Grant misses 3-pt jump shot from 27 ft,82,92
4,4:20.0,Defensive rebound by C. Joseph,,82,92
4,4:08.0,T. Young misses 2-pt layup from 5 ft (block by J. Grant),,82,92
4,4:07.0,Offensive rebound by Team,,82,92
4,4:07.0,D. Collison enters the game for C. Joseph,,82,92
4,4:07.0,M. Turner enters the game for T. Young,,82,92
4,4:01.0,D. Collison makes 3-pt jump shot from 24 ft,,85,92
4,3:53.0,,P. George makes 2-pt jump shot from 9 ft,85,94
4,3:53.0,,Shooting foul by W. Matthews (drawn by P. George),85,94
4,3:53.0,,P. George makes free throw 1 of 1,85,95
4,3:42.0,D. Collison misses 3-pt jump shot from 26 ft,,85,95
4,3:38.0,,Defensive rebound by T. Ferguson,85,95
4,3:31.0,,T. Ferguson misses 3-pt jump shot from 27 ft,85,95
4,3:29.0,Defensive rebound by Team,,85,95
4,3:29.0,,Loose ball foul by S. Adams (drawn by D. Collison),85,95
4,3:18.0,Offensive foul by D. Collison (drawn by R. Westbrook),,85,95
4,3:18.0,Turnover by D. Collison (offensive foul),,85,95
4,3:09.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),85,97
4,2:50.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,87,97
4,2:30.0,,P. George misses 3-pt jump shot from 25 ft,87,97
4,2:27.0,Defensive rebound by D. Collison,,87,97
