QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
4,3:45.0,K. Birch enters the game for D. Augustin,,97,118
4,3:45.0,I. Briscoe enters the game for E. Fournier,,97,118
4,3:45.0,J. Grant enters the game for J. Isaac,,97,118
4,3:45.0,W. Iwundu enters the game for T. Ross,,97,118
4,3:45.0,J. Martin enters the game for N. Vučević,,97,118
4,3:28.0,W. Iwundu misses 2-pt jump shot from 21 ft,,97,118
4,3:22.0,,Defensive rebound by J. Okogie,97,118
4,3:10.0,,T. Gibson misses 2-pt jump shot from 17 ft,97,118
4,3:06.0,Defensive rebound by J. Grant,,97,118
4,2:57.0,Shooting foul by K. Towns (drawn by K. Birch),,97,118
4,2:57.0,,G. Dieng enters the game for J. Teague,97,118
4,2:57.0,,T. Jones enters the game for K. Towns,97,118
4,2:57.0,K. Birch makes free throw 1 of 2,,98,118
4,2:57.0,K. Birch misses free throw 2 of 2,,98,118
4,2:55.0,,Defensive rebound by T. Gibson,98,118
4,2:33.0,,Turnover by A. Tolliver (bad pass; steal by W. Iwundu),98,118
4,2:31.0,Personal foul by T. Gibson (drawn by W. Iwundu),,98,118
4,2:31.0,W. Iwundu makes free throw 1 of 2,,99,118
4,2:31.0,,J. Nunnally enters the game for T. Gibson,99,118
4,2:31.0,W. Iwundu makes free throw 2 of 2,,100,118
4,2:09.0,,J. Okogie misses 3-pt jump shot from 25 ft,100,118
4,2:07.0,Defensive rebound by K. Birch,,100,118
4,2:01.0,W. Iwundu makes 2-pt dunk from 2 ft,,102,118
4,2:01.0,,Minnesota full timeout,102,118
4,1:48.0,,J. Okogie misses 3-pt jump shot from 25 ft,102,118
4,1:45.0,Defensive rebound by K. Birch,,102,118
4,1:39.0,K. Birch misses 2-pt jump shot from 6 ft,,102,118
4,1:38.0,,Defensive rebound by J. Okogie,102,118
4,1:31.0,,J. Okogie makes 2-pt layup from 1 ft,102,120
4,1:19.0,I. Briscoe misses 3-pt jump shot from 24 ft,,102,120
4,1:15.0,,Defensive rebound by G. Dieng,102,120
4,1:02.0,,A. Tolliver misses 3-pt jump shot from 26 ft,102,120
4,1:01.0,Defensive rebound by Team,,102,120
4,0:53.0,I. Briscoe misses 2-pt jump shot from 9 ft,,102,120
4,0:51.0,,Defensive rebound by G. Dieng,102,120
4,0:37.0,,J. Okogie misses 2-pt jump shot from 13 ft (block by J. Martin),102,120
4,0:37.0,,Offensive rebound by Team,102,120
4,0:37.0,Violation by Team (delay of game),,102,120
4,0:30.0,,J. Okogie misses 2-pt jump shot from 15 ft,102,120
4,0:26.0,Defensive rebound by W. Iwundu,,102,120
4,0:08.0,Shooting foul by J. Okogie (drawn by K. Birch),,102,120
4,0:08.0,K. Birch makes free throw 1 of 2,,103,120
4,0:08.0,K. Birch misses free throw 2 of 2,,103,120
4,0:05.0,,Defensive rebound by G. Dieng,103,120
