QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
1,6:13.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,21,12
1,5:52.0,,Shooting foul by J. Harden (drawn by M. Turner),21,12
1,5:52.0,,D. Sabonis enters the game for T. Young,21,12
1,5:52.0,,M. Turner makes free throw 1 of 2,21,13
1,5:52.0,,M. Turner misses free throw 2 of 2,21,13
1,5:52.0,,Offensive rebound by Team,21,13
1,5:51.0,Loose ball foul by C. Anthony (drawn by D. Sabonis),,21,13
1,5:40.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,21,16
1,5:21.0,C. Anthony misses 3-pt jump shot from 28 ft,,21,16
1,5:18.0,,Defensive rebound by Team,21,16
1,5:18.0,G. Clark enters the game for J. Ennis,,21,16
1,4:59.0,,Turnover by M. Turner (lost ball; steal by G. Clark),21,16
1,4:38.0,J. Harden misses 3-pt jump shot from 27 ft,,21,16
1,4:35.0,,Defensive rebound by V. Oladipo,21,16
1,4:32.0,,V. Oladipo makes 2-pt layup at rim,21,18
1,4:32.0,,C. Joseph enters the game for B. Bogdanović,21,18
1,4:06.0,J. Harden makes 3-pt jump shot from 24 ft,,24,18
1,3:53.0,,D. Collison misses 2-pt layup from 1 ft (block by G. Clark),24,18
1,3:49.0,Defensive rebound by G. Green,,24,18
1,3:41.0,J. Harden misses 3-pt jump shot from 27 ft,,24,18
1,3:38.0,,Defensive rebound by D. Collison,24,18
1,3:24.0,,Turnover by V. Oladipo (bad pass),24,18
1,3:24.0,,T. Evans enters the game for D. Collison,24,18
1,3:10.0,Turnover by J. Harden (bad pass; steal by C. Joseph),,24,18
1,3:05.0,,V. Oladipo misses 2-pt layup from 2 ft,24,18
1,3:02.0,Defensive rebound by G. Green,,24,18
1,2:58.0,Turnover by J. Harden (bad pass; steal by C. Joseph),,24,18
1,2:54.0,,T. Evans misses 2-pt layup from 2 ft,24,18
1,2:51.0,Defensive rebound by J. Harden,,24,18
1,2:51.0,I. Hartenstein enters the game for C. Capela,,24,18
1,2:51.0,C. Paul enters the game for J. Harden,,24,18
1,2:51.0,,T. Leaf enters the game for V. Oladipo,24,18
1,2:51.0,,D. McDermott enters the game for M. Turner,24,18
1,2:30.0,G. Green misses 3-pt jump shot from 30 ft,,24,18
1,2:27.0,,Defensive rebound by D. Sabonis,24,18
1,2:20.0,,D. Sabonis makes 2-pt hook shot from 4 ft (assist by C. Joseph),24,20
1,1:58.0,Shooting foul by D. McDermott (drawn by G. Clark),,24,20
1,1:58.0,G. Clark makes free throw 1 of 3,,25,20
1,1:58.0,G. Clark makes free throw 2 of 3,,26,20
1,1:58.0,G. Clark makes free throw 3 of 3,,27,20
1,1:50.0,,Turnover by D. McDermott (traveling),27,20
1,1:41.0,Turnover by I. Hartenstein (traveling),,27,20
1,1:31.0,,C. Joseph misses 3-pt jump shot from 24 ft,27,20
1,1:28.0,Defensive rebound by C. Anthony,,27,20
1,1:20.0,I. Hartenstein makes 2-pt dunk from 2 ft (assist by G. Green),,29,20
1,1:01.0,,T. Leaf misses 2-pt jump shot from 15 ft,29,20
1,0:59.0,Defensive rebound by G. Clark,,29,20
1,0:54.0,G. Green misses 3-pt jump shot from 28 ft,,29,20
1,0:51.0,,Defensive rebound by D. McDermott,29,20
1,0:40.0,,T. Evans misses 2-pt layup from 1 ft,29,20
1,0:38.0,Defensive rebound by C. Anthony,,29,20
1,0:24.0,G. Clark misses 3-pt jump shot from 28 ft,,29,20
1,0:20.0,,Defensive rebound by D. Sabonis,29,20
1,0:16.0,,T. Leaf misses 2-pt layup from 1 ft,29,20
1,0:15.0,,Offensive rebound by D. Sabonis,29,20
1,0:15.0,,D. Sabonis makes 2-pt dunk from 1 ft,29,22
1,0:01.0,C. Paul misses 3-pt jump shot from 25 ft,,29,22
1,0:01.0,Offensive rebound by Team,,29,22
2,11:48.0,,Def 3 sec tech foul by Team,29,22
2,11:48.0,,D. McDermott makes technical free throw,29,23
2,11:40.0,,D. McDermott misses 3-pt jump shot from 23 ft,29,23
2,11:35.0,Defensive rebound by I. Hartenstein,,29,23
2,11:30.0,Turnover by C. Paul (bad pass; steal by C. Joseph),,29,23
2,11:25.0,,C. Joseph misses 2-pt layup from 1 ft (block by I. Hartenstein),29,23
2,11:22.0,,Offensive rebound by C. Joseph,29,23
2,11:20.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by C. Joseph),29,26
2,10:56.0,I. Hartenstein makes 2-pt jump shot from 4 ft (assist by C. Paul),,31,26
2,10:39.0,,D. Sabonis misses 2-pt hook shot from 7 ft,31,26
2,10:38.0,Defensive rebound by C. Paul,,31,26
2,10:34.0,C. Paul misses 3-pt jump shot from 27 ft,,31,26
2,10:31.0,,Defensive rebound by T. Leaf,31,26
2,10:28.0,,Shooting foul by I. Hartenstein (drawn by T. Evans),31,26
2,10:28.0,,T. Evans makes free throw 1 of 2,31,27
2,10:28.0,C. Capela enters the game for C. Anthony,,31,27
2,10:28.0,P. Tucker enters the game for I. Hartenstein,,31,27
2,10:28.0,,T. Evans makes free throw 2 of 2,31,28
2,10:14.0,G. Clark misses 3-pt jump shot from 24 ft,,31,28
2,10:10.0,,Defensive rebound by D. Sabonis,31,28
2,10:03.0,,Turnover by T. Evans (bad pass; steal by P. Tucker),31,28
2,9:59.0,G. Green misses 3-pt jump shot from 27 ft,,31,28
2,9:56.0,,Defensive rebound by T. Evans,31,28
2,9:54.0,,Turnover by D. McDermott (step out of bounds),31,28
2,9:54.0,J. Ennis enters the game for G. Green,,31,28
2,9:43.0,Shooting foul by T. Leaf (drawn by C. Capela),,31,28
2,9:43.0,C. Capela makes free throw 1 of 2,,32,28
2,9:43.0,C. Capela makes free throw 2 of 2,,33,28
2,9:24.0,,D. Sabonis makes 2-pt hook shot from 6 ft (assist by T. Leaf),33,30
2,9:13.0,Turnover by C. Paul (bad pass),,33,30
2,9:03.0,,T. Evans misses 3-pt jump shot from 23 ft,33,30
2,9:02.0,Defensive rebound by Team,,33,30
2,8:57.0,G. Clark makes 3-pt jump shot from 25 ft (assist by C. Paul),,36,30
2,8:38.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Sabonis),36,33
2,8:23.0,Offensive foul by J. Ennis (drawn by C. Joseph),,36,33
2,8:23.0,Turnover by J. Ennis (offensive foul),,36,33
2,8:23.0,,B. Bogdanović enters the game for T. Evans,36,33
2,8:23.0,,V. Oladipo enters the game for T. Leaf,36,33
2,8:23.0,,T. Young enters the game for D. McDermott,36,33
2,8:14.0,,D. Sabonis makes 2-pt jump shot from 11 ft (assist by C. Joseph),36,35
2,7:58.0,G. Clark misses 3-pt jump shot from 28 ft,,36,35
2,7:56.0,,Defensive rebound by T. Young,36,35
2,7:41.0,,Personal foul by J. Ennis (drawn by T. Young),36,35
2,7:41.0,J. Harden enters the game for G. Clark,,36,35
2,7:31.0,,V. Oladipo makes 2-pt layup at rim,36,37
2,7:07.0,J. Harden makes 2-pt layup from 1 ft,,38,37
2,6:50.0,,T. Young makes 2-pt hook shot from 8 ft (assist by D. Sabonis),38,39
2,6:40.0,P. Tucker misses 3-pt jump shot from 22 ft,,38,39
2,6:36.0,,Defensive rebound by V. Oladipo,38,39
2,6:28.0,,Shooting foul by C. Capela (drawn by B. Bogdanović),38,39
2,6:28.0,,Indiana full timeout,38,39
2,6:28.0,G. Green enters the game for C. Paul,,38,39
2,6:28.0,,B. Bogdanović makes free throw 1 of 2,38,40
2,6:28.0,,B. Bogdanović misses free throw 2 of 2,38,40
2,6:26.0,Defensive rebound by J. Harden,,38,40
2,6:05.0,Turnover by G. Green (bad pass),,38,40
2,5:51.0,,D. Sabonis makes 2-pt layup at rim (assist by T. Young),38,42
2,5:51.0,,Shooting foul by G. Green (drawn by D. Sabonis),38,42
2,5:51.0,,D. Sabonis makes free throw 1 of 1,38,43
2,5:36.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,40,43
2,5:13.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),40,45
2,4:43.0,J. Harden misses 3-pt jump shot from 26 ft,,40,45
2,4:43.0,,Defensive rebound by V. Oladipo,40,45
2,4:42.0,,Turnover by V. Oladipo (lost ball; steal by J. Ennis),40,45
2,4:22.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Ennis),,43,45
2,4:06.0,,D. Sabonis misses 2-pt jump shot from 14 ft,43,45
2,4:03.0,Defensive rebound by P. Tucker,,43,45
2,3:53.0,Turnover by J. Harden (out of bounds lost ball),,43,45
2,3:53.0,I. Hartenstein enters the game for C. Capela,,43,45
2,3:53.0,C. Paul enters the game for G. Green,,43,45
2,3:53.0,,D. Collison enters the game for C. Joseph,43,45
2,3:53.0,,M. Turner enters the game for D. Sabonis,43,45
2,3:36.0,,Shooting foul by J. Harden (drawn by B. Bogdanović),43,45
2,3:36.0,,B. Bogdanović makes free throw 1 of 2,43,46
2,3:36.0,,B. Bogdanović makes free throw 2 of 2,43,47
2,3:24.0,J. Harden misses 3-pt jump shot from 30 ft,,43,47
2,3:23.0,,Defensive rebound by Team,43,47
2,3:10.0,,V. Oladipo misses 3-pt jump shot from 26 ft,43,47
2,3:07.0,Defensive rebound by C. Paul,,43,47
2,3:01.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by C. Paul),,46,47
2,2:41.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),46,50
2,2:22.0,P. Tucker misses 3-pt jump shot from 26 ft,,46,50
2,2:19.0,,Defensive rebound by B. Bogdanović,46,50
2,2:14.0,,B. Bogdanović misses 2-pt layup from 1 ft,46,50
2,2:11.0,,Offensive rebound by B. Bogdanović,46,50
2,2:08.0,,Turnover by D. Collison (bad pass; steal by J. Harden),46,50
2,2:06.0,Shooting foul by V. Oladipo (drawn by J. Harden),,46,50
2,2:06.0,Houston full timeout,,46,50
2,2:06.0,C. Capela enters the game for J. Ennis,,46,50
2,2:06.0,G. Clark enters the game for I. Hartenstein,,46,50
2,2:06.0,J. Harden makes free throw 1 of 2,,47,50
2,2:06.0,J. Harden makes free throw 2 of 2,,48,50
2,1:48.0,,Turnover by M. Turner (lost ball; steal by J. Harden),48,50
2,1:33.0,G. Clark misses 3-pt jump shot from 23 ft,,48,50
2,1:29.0,Offensive rebound by C. Paul,,48,50
2,1:15.0,C. Paul misses 3-pt jump shot from 26 ft,,48,50
2,1:11.0,,Defensive rebound by M. Turner,48,50
2,1:07.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,48,50
2,1:02.0,,Offensive rebound by T. Young,48,50
2,1:02.0,,T. Young makes 2-pt layup from 2 ft,48,52
2,0:45.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,50,52
2,0:29.0,,V. Oladipo makes 3-pt jump shot from 28 ft,50,55
2,0:09.0,J. Harden makes 3-pt jump shot from 28 ft,,53,55
2,0:02.0,,V. Oladipo misses 3-pt jump shot from 27 ft,53,55
2,0:02.0,,Offensive rebound by Team,53,55
3,11:43.0,,M. Turner misses 2-pt layup from 2 ft,53,55
3,11:41.0,Defensive rebound by C. Paul,,53,55
3,11:27.0,Turnover by J. Ennis (bad pass; steal by M. Turner),,53,55
3,11:26.0,,Personal take foul by P. Tucker (drawn by B. Bogdanović),53,55
3,11:12.0,,Shooting foul by P. Tucker (drawn by B. Bogdanović),53,55
3,11:12.0,,B. Bogdanović misses free throw 1 of 2,53,55
3,11:12.0,,Offensive rebound by Team,53,55
3,11:12.0,,B. Bogdanović makes free throw 2 of 2,53,56
3,11:00.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,55,56
3,10:50.0,,Turnover by V. Oladipo (traveling),55,56
3,10:43.0,C. Paul makes 2-pt jump shot from 13 ft,,57,56
3,10:28.0,,D. Collison misses 3-pt jump shot from 23 ft,57,56
3,10:25.0,Defensive rebound by C. Capela,,57,56
3,10:06.0,J. Harden misses 3-pt jump shot from 26 ft,,57,56
3,10:01.0,,Defensive rebound by T. Young,57,56
3,9:47.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),57,58
3,9:36.0,Turnover by J. Harden (bad pass; steal by D. Collison),,57,58
3,9:33.0,,D. Collison makes 2-pt layup from 1 ft,57,60
3,9:13.0,Turnover by C. Paul (bad pass; steal by B. Bogdanović),,57,60
3,9:02.0,,M. Turner misses 2-pt hook shot from 7 ft,57,60
3,8:59.0,Defensive rebound by P. Tucker,,57,60
3,8:52.0,Turnover by J. Harden (bad pass),,57,60
3,8:29.0,,D. Collison misses 2-pt jump shot from 13 ft,57,60
3,8:26.0,Defensive rebound by C. Capela,,57,60
3,8:19.0,Turnover by C. Paul (bad pass),,57,60
3,8:01.0,,V. Oladipo makes 2-pt jump shot from 18 ft,57,62
3,7:32.0,Turnover by C. Capela (bad pass; steal by B. Bogdanović),,57,62
3,7:29.0,,Shooting foul by C. Paul (drawn by D. Collison),57,62
3,7:29.0,,D. Collison makes free throw 1 of 2,57,63
3,7:29.0,,D. Collison misses free throw 2 of 2,57,63
3,7:27.0,Defensive rebound by P. Tucker,,57,63
3,7:16.0,Turnover by C. Capela (out of bounds lost ball),,57,63
3,7:00.0,,V. Oladipo misses 3-pt jump shot from 27 ft,57,63
3,6:56.0,,Offensive rebound by M. Turner,57,63
3,6:56.0,,M. Turner makes 2-pt layup at rim,57,65
3,6:56.0,Houston full timeout,,57,65
3,6:56.0,C. Anthony enters the game for J. Ennis,,57,65
3,6:41.0,Personal foul by M. Turner (drawn by C. Capela),,57,65
3,6:34.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,59,65
3,6:22.0,,Offensive foul by M. Turner (drawn by C. Paul),59,65
3,6:22.0,,Turnover by M. Turner (offensive foul),59,65
3,6:22.0,G. Green enters the game for C. Paul,,59,65
3,6:13.0,C. Anthony misses 3-pt jump shot from 26 ft,,59,65
3,6:09.0,,Defensive rebound by B. Bogdanović,59,65
3,5:59.0,,Personal foul by C. Capela (drawn by V. Oladipo),59,65
3,5:48.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,59,65
3,5:46.0,Defensive rebound by P. Tucker,,59,65
3,5:26.0,G. Green misses 2-pt jump shot from 20 ft,,59,65
3,5:22.0,,Defensive rebound by T. Young,59,65
3,5:10.0,,M. Turner misses 3-pt jump shot from 23 ft,59,65
3,5:09.0,Defensive rebound by Team,,59,65
3,4:50.0,G. Green makes 3-pt jump shot from 26 ft (assist by J. Harden),,62,65
3,4:27.0,,Turnover by V. Oladipo (out of bounds lost ball),62,65
3,4:27.0,I. Hartenstein enters the game for C. Capela,,62,65
3,4:27.0,,D. Sabonis enters the game for T. Young,62,65
3,4:13.0,Shooting foul by V. Oladipo (drawn by J. Harden),,62,65
3,4:13.0,J. Harden makes free throw 1 of 2,,63,65
3,4:13.0,,C. Joseph enters the game for B. Bogdanović,63,65
3,4:13.0,J. Harden makes free throw 2 of 2,,64,65
3,3:54.0,,Shooting foul by I. Hartenstein (drawn by D. Sabonis),64,65
3,3:54.0,,D. Sabonis makes free throw 1 of 2,64,66
3,3:54.0,,D. Sabonis misses free throw 2 of 2,64,66
3,3:52.0,Defensive rebound by J. Harden,,64,66
3,3:45.0,G. Green misses 3-pt jump shot from 26 ft,,64,66
3,3:42.0,,Defensive rebound by D. Sabonis,64,66
3,3:24.0,,Turnover by D. Sabonis (lost ball; steal by J. Harden),64,66
3,3:19.0,I. Hartenstein misses 2-pt layup at rim,,64,66
3,3:17.0,,Defensive rebound by V. Oladipo,64,66
3,3:14.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),64,68
3,3:14.0,,Shooting foul by C. Anthony (drawn by D. Sabonis),64,68
3,3:14.0,G. Clark enters the game for P. Tucker,,64,68
3,3:14.0,,T. Evans enters the game for D. Collison,64,68
3,3:14.0,,D. Sabonis makes free throw 1 of 1,64,69
3,2:51.0,J. Harden misses 2-pt layup at rim (block by M. Turner),,64,69
3,2:46.0,,Defensive rebound by V. Oladipo,64,69
3,2:39.0,,Shooting foul by G. Clark (drawn by M. Turner),64,69
3,2:39.0,,Indiana full timeout,64,69
3,2:39.0,C. Capela enters the game for J. Harden,,64,69
3,2:39.0,C. Paul enters the game for I. Hartenstein,,64,69
3,2:39.0,,D. McDermott enters the game for V. Oladipo,64,69
3,2:39.0,,M. Turner makes free throw 1 of 2,64,70
3,2:39.0,,M. Turner makes free throw 2 of 2,64,71
3,2:29.0,Personal foul by C. Joseph (drawn by C. Paul),,64,71
3,2:26.0,C. Anthony makes 3-pt jump shot from 28 ft (assist by C. Paul),,67,71
3,2:07.0,,Turnover by C. Joseph (bad pass; steal by C. Paul),67,71
3,1:59.0,C. Anthony misses 3-pt jump shot from 28 ft,,67,71
3,1:56.0,Offensive rebound by Team,,67,71
3,1:56.0,,T. Leaf enters the game for M. Turner,67,71
3,1:49.0,C. Paul misses 2-pt jump shot from 19 ft,,67,71
3,1:46.0,,Defensive rebound by D. Sabonis,67,71
3,1:42.0,,Personal foul by G. Green (drawn by T. Evans),67,71
3,1:42.0,,T. Evans misses free throw 1 of 2,67,71
3,1:42.0,,Offensive rebound by Team,67,71
3,1:42.0,,T. Evans makes free throw 2 of 2,67,72
3,1:30.0,C. Capela makes 2-pt hook shot from 4 ft (assist by C. Paul),,69,72
3,1:12.0,,T. Evans makes 3-pt jump shot from 28 ft,69,75
3,0:57.0,Turnover by C. Paul (bad pass; steal by C. Joseph),,69,75
3,0:53.0,,Shooting foul by G. Green (drawn by T. Evans),69,75
3,0:53.0,,T. Evans misses free throw 1 of 2,69,75
3,0:53.0,,Offensive rebound by Team,69,75
3,0:53.0,J. Ennis enters the game for G. Green,,69,75
3,0:53.0,,T. Evans misses free throw 2 of 2,69,75
3,0:52.0,Defensive rebound by C. Capela,,69,75
3,0:36.0,C. Anthony misses 3-pt jump shot from 26 ft,,69,75
3,0:34.0,,Defensive rebound by Team,69,75
3,0:25.0,,C. Joseph misses 2-pt jump shot from 20 ft,69,75
3,0:21.0,Defensive rebound by G. Clark,,69,75
3,0:02.0,G. Clark misses 3-pt jump shot from 26 ft,,69,75
3,0:02.0,,Defensive rebound by D. Sabonis,69,75
4,11:46.0,C. Anthony makes 2-pt jump shot from 20 ft (assist by C. Paul),,71,75
4,11:19.0,,D. McDermott misses 3-pt jump shot from 26 ft,71,75
4,11:15.0,Defensive rebound by C. Capela,,71,75
4,11:07.0,C. Anthony misses 2-pt jump shot from 21 ft,,71,75
4,11:01.0,,Defensive rebound by T. Evans,71,75
4,11:00.0,,Personal foul by J. Ennis (drawn by T. Evans),71,75
4,10:55.0,,T. Evans misses 3-pt jump shot from 27 ft,71,75
4,10:53.0,Defensive rebound by C. Capela,,71,75
4,10:34.0,C. Paul makes 2-pt layup from 1 ft,,73,75
4,10:11.0,,D. Sabonis makes 2-pt hook shot from 8 ft,73,77
4,9:55.0,C. Paul makes 2-pt jump shot from 12 ft,,75,77
4,9:34.0,,D. McDermott misses 3-pt jump shot from 23 ft (block by G. Clark),75,77
4,9:31.0,,Offensive rebound by D. McDermott,75,77
4,9:29.0,,T. Evans misses 3-pt jump shot from 26 ft,75,77
4,9:29.0,,Offensive rebound by Team,75,77
4,9:29.0,,Turnover by Team (shot clock),75,77
4,9:12.0,J. Ennis misses 3-pt jump shot from 24 ft,,75,77
4,9:08.0,,Defensive rebound by T. Leaf,75,77
4,8:59.0,,T. Evans misses 2-pt layup from 3 ft (block by G. Clark),75,77
4,8:57.0,Defensive rebound by G. Clark,,75,77
4,8:51.0,C. Paul misses 2-pt jump shot from 9 ft,,75,77
4,8:49.0,,Defensive rebound by D. Sabonis,75,77
4,8:46.0,,T. Evans makes 2-pt layup from 3 ft (assist by D. Sabonis),75,79
4,8:42.0,Houston full timeout,,75,79
4,8:42.0,J. Harden enters the game for C. Capela,,75,79
4,8:42.0,P. Tucker enters the game for J. Ennis,,75,79
4,8:42.0,,V. Oladipo enters the game for T. Leaf,75,79
4,8:42.0,,T. Young enters the game for D. McDermott,75,79
4,8:30.0,P. Tucker misses 3-pt jump shot from 28 ft,,75,79
4,8:27.0,Offensive rebound by C. Anthony,,75,79
4,8:23.0,C. Paul misses 3-pt jump shot from 28 ft,,75,79
4,8:20.0,,Defensive rebound by T. Young,75,79
4,7:59.0,,Personal foul by G. Clark (drawn by V. Oladipo),75,79
4,7:45.0,,T. Young makes 2-pt jump shot from 7 ft,75,81
4,7:30.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Anthony),,78,81
4,7:12.0,,C. Joseph misses 3-pt jump shot from 23 ft,78,81
4,7:09.0,Defensive rebound by G. Clark,,78,81
4,6:45.0,C. Paul misses 3-pt jump shot from 23 ft,,78,81
4,6:45.0,Offensive rebound by Team,,78,81
4,6:45.0,Turnover by Team (shot clock),,78,81
4,6:26.0,,T. Young misses 2-pt layup from 3 ft,78,81
4,6:24.0,Defensive rebound by C. Anthony,,78,81
4,6:17.0,C. Anthony makes 3-pt jump shot from 27 ft (assist by C. Paul),,81,81
4,6:15.0,,Indiana full timeout,81,81
4,6:15.0,,B. Bogdanović enters the game for T. Evans,81,81
4,6:15.0,,D. Collison enters the game for C. Joseph,81,81
4,5:57.0,,V. Oladipo misses 2-pt jump shot from 21 ft,81,81
4,5:52.0,Defensive rebound by G. Clark,,81,81
4,5:39.0,C. Paul makes 2-pt layup at rim,,83,81
4,5:13.0,,Turnover by T. Young (bad pass; steal by G. Clark),83,81
4,4:54.0,Personal foul by T. Young (drawn by C. Paul),,83,81
4,4:53.0,Personal foul by V. Oladipo (drawn by P. Tucker),,83,81
4,4:42.0,C. Anthony misses 3-pt jump shot from 27 ft,,83,81
4,4:38.0,,Defensive rebound by T. Young,83,81
4,4:38.0,Technical foul by N. McMillan,,83,81
4,4:38.0,J. Harden makes technical free throw,,84,81
4,4:21.0,,V. Oladipo misses 3-pt jump shot from 27 ft,84,81
4,4:17.0,Defensive rebound by G. Clark,,84,81
4,4:05.0,J. Harden misses 3-pt jump shot from 26 ft,,84,81
4,4:01.0,Offensive rebound by C. Anthony,,84,81
4,3:49.0,C. Paul misses 3-pt jump shot from 29 ft,,84,81
4,3:46.0,,Defensive rebound by T. Young,84,81
4,3:30.0,,D. Collison makes 2-pt jump shot from 14 ft (assist by D. Sabonis),84,83
4,3:27.0,Houston full timeout,,84,83
4,3:27.0,C. Capela enters the game for C. Anthony,,84,83
4,3:27.0,J. Ennis enters the game for G. Clark,,84,83
4,3:06.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by C. Paul),,87,83
4,2:40.0,,Shooting foul by J. Harden (drawn by V. Oladipo),87,83
4,2:40.0,,V. Oladipo makes free throw 1 of 2,87,84
4,2:40.0,,V. Oladipo makes free throw 2 of 2,87,85
4,2:17.0,J. Harden misses 3-pt jump shot from 26 ft,,87,85
4,2:14.0,,Defensive rebound by T. Young,87,85
4,2:08.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,87,85
4,2:03.0,Defensive rebound by J. Ennis,,87,85
4,1:49.0,P. Tucker misses 2-pt jump shot from 6 ft,,87,85
4,1:46.0,,Defensive rebound by V. Oladipo,87,85
4,1:26.0,,V. Oladipo makes 2-pt jump shot from 21 ft (assist by D. Sabonis),87,87
4,1:13.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,90,87
4,0:55.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),90,90
4,0:45.0,Personal foul by D. Collison (drawn by C. Paul),,90,90
4,0:36.0,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Paul),,93,90
4,0:34.0,,Indiana full timeout,93,90
4,0:33.0,,Personal foul by J. Harden (drawn by D. Sabonis),93,90
4,0:28.0,,V. Oladipo misses 2-pt layup from 5 ft (block by J. Harden),93,90
4,0:28.0,Defensive rebound by C. Paul,,93,90
4,0:26.0,Personal take foul by B. Bogdanović (drawn by C. Paul),,93,90
4,0:26.0,C. Paul makes free throw 1 of 2,,94,90
4,0:26.0,C. Paul misses free throw 2 of 2,,94,90
4,0:26.0,,Defensive rebound by T. Young,94,90
4,0:26.0,,Indiana full timeout,94,90
4,0:26.0,,T. Evans enters the game for T. Young,94,90
4,0:24.0,,V. Oladipo makes 3-pt jump shot from 28 ft (assist by T. Evans),94,93
4,0:20.0,Personal foul by B. Bogdanović (drawn by J. Harden),,94,93
4,0:20.0,J. Harden makes free throw 1 of 2,,95,93
4,0:20.0,J. Harden makes free throw 2 of 2,,96,93
4,0:07.0,,V. Oladipo misses 3-pt jump shot from 28 ft,96,93
4,0:05.0,,Offensive rebound by Team,96,93
