QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
1,7:22.0,Offensive rebound by T. Craig,,8,9
1,7:22.0,T. Craig misses 2-pt layup from 2 ft (block by M. Gasol),,8,9
1,7:22.0,,Defensive rebound by M. Gasol,8,9
1,7:13.0,,K. Anderson makes 2-pt layup from 2 ft,8,11
1,7:13.0,Denver full timeout,,8,11
1,7:01.0,Personal foul by M. Gasol (drawn by J. Murray),,8,11
1,6:51.0,T. Craig misses 3-pt jump shot from 25 ft,,8,11
1,6:47.0,,Defensive rebound by G. Temple,8,11
1,6:28.0,,Turnover by J. Jackson (bad pass; steal by N. Jokić),8,11
1,6:22.0,G. Harris makes 3-pt jump shot from 25 ft (assist by J. Murray),,11,11
1,5:57.0,,Turnover by K. Anderson (bad pass),11,11
1,5:57.0,,I. Rabb enters the game for M. Gasol,11,11
1,5:46.0,P. Millsap misses 2-pt layup from 2 ft (block by J. Jackson),,11,11
1,5:46.0,Offensive rebound by Team,,11,11
1,5:44.0,J. Murray misses 3-pt jump shot from 25 ft,,11,11
1,5:37.0,Offensive rebound by T. Craig,,11,11
1,5:37.0,T. Craig makes 2-pt layup from 1 ft,,13,11
1,5:20.0,,I. Rabb misses 2-pt layup from 1 ft,13,11
1,5:16.0,Defensive rebound by N. Jokić,,13,11
1,5:08.0,T. Craig makes 2-pt layup at rim (assist by G. Harris),,15,11
1,5:00.0,,Memphis full timeout,15,11
1,5:00.0,T. Lyles enters the game for P. Millsap,,15,11
1,5:00.0,M. Morris enters the game for J. Murray,,15,11
1,5:00.0,,D. Brooks enters the game for K. Anderson,15,11
1,4:43.0,,J. Jackson misses 3-pt jump shot from 23 ft,15,11
1,4:41.0,Defensive rebound by M. Morris,,15,11
1,4:27.0,Def 3 sec tech foul by Team,,15,11
1,4:27.0,G. Harris makes technical free throw,,16,11
1,4:20.0,Shooting foul by I. Rabb (drawn by G. Harris),,16,11
1,4:20.0,G. Harris makes free throw 1 of 2,,17,11
1,4:20.0,G. Harris makes free throw 2 of 2,,18,11
1,3:59.0,,J. Jackson misses 2-pt layup from 1 ft,18,11
1,3:58.0,,Offensive rebound by J. Jackson,18,11
1,3:58.0,,Shooting foul by T. Lyles (drawn by J. Jackson),18,11
1,3:58.0,,J. Jackson misses free throw 1 of 2,18,11
1,3:58.0,,Offensive rebound by Team,18,11
1,3:58.0,,W. Selden enters the game for G. Temple,18,11
1,3:58.0,,J. Jackson makes free throw 2 of 2,18,12
1,3:44.0,Personal foul by I. Rabb (drawn by N. Jokić),,18,12
1,3:41.0,Turnover by N. Jokić (bad pass),,18,12
1,3:19.0,,D. Brooks makes 2-pt layup from 2 ft (assist by W. Selden),18,14
1,2:54.0,G. Harris misses 3-pt jump shot from 23 ft,,18,14
1,2:51.0,,Defensive rebound by I. Rabb,18,14
1,2:41.0,,Turnover by D. Brooks (bad pass; steal by M. Morris),18,14
1,2:34.0,Personal foul by I. Rabb (drawn by N. Jokić),,18,14
1,2:34.0,N. Jokić makes free throw 1 of 2,,19,14
1,2:34.0,J. Murray enters the game for G. Harris,,19,14
1,2:34.0,,K. Anderson enters the game for M. Conley,19,14
1,2:34.0,,S. Mack enters the game for I. Rabb,19,14
1,2:34.0,N. Jokić makes free throw 2 of 2,,20,14
1,2:16.0,,D. Brooks misses 2-pt layup at rim (block by T. Craig),20,14
1,2:12.0,Defensive rebound by N. Jokić,,20,14
1,2:10.0,M. Morris makes 2-pt jump shot from 13 ft (assist by N. Jokić),,22,14
1,1:50.0,,K. Anderson makes 2-pt layup from 6 ft,22,16
1,1:38.0,Personal foul by J. Jackson (drawn by N. Jokić),,22,16
1,1:38.0,N. Jokić makes free throw 1 of 2,,23,16
1,1:38.0,M. Beasley enters the game for T. Craig,,23,16
1,1:38.0,,M. Brooks enters the game for J. Jackson,23,16
1,1:38.0,N. Jokić makes free throw 2 of 2,,24,16
1,1:21.0,,M. Brooks makes 2-pt layup from 1 ft (assist by K. Anderson),24,18
1,1:11.0,Turnover by N. Jokić (traveling),,24,18
1,1:11.0,M. Plumlee enters the game for N. Jokić,,24,18
1,0:53.0,,M. Brooks makes 2-pt layup from 2 ft (assist by S. Mack),24,20
1,0:33.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by J. Murray),,27,20
1,0:13.0,,Shooting foul by M. Beasley (drawn by D. Brooks),27,20
1,0:13.0,,D. Brooks makes free throw 1 of 2,27,21
1,0:13.0,,D. Brooks makes free throw 2 of 2,27,22
1,0:03.0,M. Morris makes 2-pt jump shot from 7 ft,,29,22
1,0:00.0,,Turnover by M. Brooks (traveling),29,22
2,11:43.0,J. Murray misses 2-pt jump shot from 18 ft,,29,22
2,11:40.0,Offensive rebound by Team,,29,22
2,11:29.0,J. Murray misses 2-pt layup from 10 ft,,29,22
2,11:26.0,Offensive rebound by J. Murray,,29,22
2,11:22.0,M. Morris misses 3-pt jump shot from 23 ft,,29,22
2,11:20.0,,Defensive rebound by D. Brooks,29,22
2,11:20.0,,Turnover by D. Brooks (lost ball; steal by M. Plumlee),29,22
2,11:20.0,Turnover by M. Plumlee (bad pass),,29,22
2,11:03.0,,Def 3 sec tech foul by Team,29,22
2,11:03.0,,M. Gasol makes technical free throw,29,23
2,10:50.0,,S. Mack misses 3-pt jump shot from 26 ft,29,23
2,10:47.0,Defensive rebound by J. Murray,,29,23
2,10:33.0,T. Lyles makes 2-pt layup from 2 ft,,31,23
2,10:16.0,,Shooting foul by M. Plumlee (drawn by M. Gasol),31,23
2,10:16.0,,M. Gasol makes free throw 1 of 2,31,24
2,10:16.0,,M. Gasol makes free throw 2 of 2,31,25
2,10:03.0,T. Lyles makes 2-pt hook shot from 2 ft,,33,25
2,9:47.0,,W. Selden makes 3-pt jump shot from 23 ft (assist by S. Mack),33,28
2,9:35.0,Def 3 sec tech foul by Team,,33,28
2,9:35.0,J. Murray makes technical free throw,,34,28
2,9:32.0,Personal foul by W. Selden (drawn by T. Lyles),,34,28
2,9:22.0,M. Plumlee misses 2-pt hook shot from 8 ft,,34,28
2,9:19.0,,Defensive rebound by D. Brooks,34,28
2,9:13.0,,Turnover by S. Mack (step out of bounds),34,28
2,8:58.0,T. Lyles misses 3-pt jump shot from 26 ft,,34,28
2,8:56.0,,Defensive rebound by M. Gasol,34,28
2,8:49.0,,Shooting foul by M. Plumlee (drawn by W. Selden),34,28
2,8:49.0,,W. Selden makes free throw 1 of 2,34,29
2,8:49.0,,W. Selden makes free throw 2 of 2,34,30
2,8:36.0,M. Morris makes 2-pt jump shot from 8 ft,,36,30
2,8:36.0,,Loose ball foul by W. Selden (drawn by M. Plumlee),36,30
2,8:36.0,M. Plumlee makes free throw 1 of 1,,37,30
2,8:18.0,,M. Brooks misses 2-pt jump shot from 11 ft,37,30
2,8:16.0,Defensive rebound by T. Lyles,,37,30
2,7:58.0,J. Murray misses 2-pt layup at rim (block by M. Gasol),,37,30
2,7:58.0,Offensive rebound by Team,,37,30
2,7:56.0,M. Beasley misses 3-pt jump shot from 23 ft,,37,30
2,7:56.0,Offensive rebound by Team,,37,30
2,7:56.0,Turnover by Team (shot clock),,37,30
2,7:45.0,,M. Brooks makes 3-pt jump shot from 27 ft (assist by S. Mack),37,33
2,7:30.0,Personal foul by D. Brooks (drawn by T. Lyles),,37,33
2,7:30.0,G. Harris enters the game for M. Beasley,,37,33
2,7:30.0,J. Hernangómez enters the game for J. Murray,,37,33
2,7:22.0,Turnover by M. Plumlee (3 sec),,37,33
2,7:08.0,,W. Selden misses 3-pt jump shot from 23 ft,37,33
2,7:05.0,Defensive rebound by J. Hernangómez,,37,33
2,6:51.0,M. Morris misses 2-pt jump shot from 4 ft,,37,33
2,6:48.0,,Defensive rebound by M. Gasol,37,33
2,6:31.0,,M. Brooks misses 2-pt jump shot from 7 ft,37,33
2,6:27.0,,Offensive rebound by D. Brooks,37,33
2,6:27.0,,D. Brooks misses 2-pt layup at rim,37,33
2,6:27.0,,Offensive rebound by Team,37,33
2,6:27.0,Loose ball foul by J. Hernangómez (drawn by M. Gasol),,37,33
2,6:27.0,,Memphis full timeout,37,33
2,6:27.0,N. Jokić enters the game for T. Lyles,,37,33
2,6:27.0,P. Millsap enters the game for M. Plumlee,,37,33
2,6:27.0,,K. Anderson enters the game for D. Brooks,37,33
2,6:27.0,,M. Conley enters the game for S. Mack,37,33
2,6:27.0,,G. Temple enters the game for W. Selden,37,33
2,6:12.0,,G. Temple misses 3-pt jump shot from 23 ft,37,33
2,6:10.0,Defensive rebound by P. Millsap,,37,33
2,5:59.0,G. Harris misses 2-pt layup from 2 ft,,37,33
2,5:57.0,,Defensive rebound by M. Gasol,37,33
2,5:52.0,,M. Conley misses 2-pt layup from 6 ft,37,33
2,5:48.0,Defensive rebound by N. Jokić,,37,33
2,5:40.0,G. Harris makes 2-pt jump shot from 14 ft,,39,33
2,5:21.0,,M. Brooks makes 2-pt jump shot from 11 ft,39,35
2,4:59.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,39,35
2,4:56.0,,Defensive rebound by K. Anderson,39,35
2,4:40.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),39,37
2,4:29.0,Personal foul by K. Anderson (drawn by P. Millsap),,39,37
2,4:29.0,T. Craig enters the game for J. Hernangómez,,39,37
2,4:29.0,J. Murray enters the game for M. Morris,,39,37
2,4:29.0,,J. Jackson enters the game for M. Brooks,39,37
2,4:20.0,Turnover by N. Jokić (lost ball; steal by M. Gasol),,39,37
2,4:18.0,,G. Temple makes 2-pt dunk from 1 ft (assist by M. Conley),39,39
2,4:18.0,Denver full timeout,,39,39
2,4:02.0,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),,41,39
2,3:49.0,,Personal foul by N. Jokić (drawn by J. Jackson),41,39
2,3:35.0,,Turnover by Team (shot clock),41,39
2,3:22.0,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),,43,39
2,3:00.0,,Turnover by M. Conley (traveling),43,39
2,2:53.0,Offensive foul by N. Jokić (drawn by M. Gasol),,43,39
2,2:53.0,Turnover by N. Jokić (offensive foul),,43,39
2,2:45.0,,Personal foul by N. Jokić (drawn by G. Temple),43,39
2,2:45.0,,G. Temple misses free throw 1 of 2,43,39
2,2:45.0,,Offensive rebound by Team,43,39
2,2:45.0,M. Plumlee enters the game for N. Jokić,,43,39
2,2:45.0,,G. Temple makes free throw 2 of 2,43,40
2,2:25.0,G. Harris makes 3-pt jump shot from 25 ft,,46,40
2,2:25.0,Shooting foul by G. Temple (drawn by G. Harris),,46,40
2,2:25.0,G. Harris makes free throw 1 of 1,,47,40
2,2:12.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),47,42
2,1:56.0,Turnover by J. Murray (bad pass; steal by J. Jackson),,47,42
2,1:48.0,,J. Jackson makes 2-pt layup from 1 ft,47,44
2,1:29.0,G. Harris misses 2-pt jump shot from 12 ft,,47,44
2,1:27.0,,Defensive rebound by J. Jackson,47,44
2,1:14.0,,M. Gasol misses 2-pt hook shot from 5 ft,47,44
2,1:07.0,,Offensive rebound by J. Jackson,47,44
2,1:07.0,,J. Jackson makes 2-pt dunk at rim,47,46
2,0:55.0,P. Millsap misses 2-pt layup from 4 ft (block by J. Jackson),,47,46
2,0:52.0,,Defensive rebound by M. Conley,47,46
2,0:50.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),47,48
2,0:27.0,P. Millsap misses 2-pt jump shot from 13 ft,,47,48
2,0:27.0,,Defensive rebound by Team,47,48
2,0:03.0,,M. Conley misses 2-pt layup from 2 ft,47,48
2,0:02.0,,Offensive rebound by M. Gasol,47,48
2,0:02.0,,M. Gasol makes 2-pt layup at rim,47,50
2,0:00.0,J. Murray misses 3-pt jump shot from 41 ft,,47,50
2,0:00.0,Offensive rebound by Team,,47,50
3,11:52.0,T. Craig misses 3-pt jump shot from 25 ft,,47,50
3,11:52.0,,Defensive rebound by M. Gasol,47,50
3,11:50.0,,J. Jackson misses 3-pt jump shot from 26 ft,47,50
3,11:28.0,,Offensive rebound by M. Gasol,47,50
3,11:16.0,,Turnover by J. Jackson (lost ball; steal by P. Millsap),47,50
3,11:02.0,Turnover by J. Murray (lost ball; steal by K. Anderson),,47,50
3,11:00.0,,Shooting foul by N. Jokić (drawn by K. Anderson),47,50
3,11:00.0,,K. Anderson misses free throw 1 of 2,47,50
3,11:00.0,,Offensive rebound by Team,47,50
3,11:00.0,,K. Anderson makes free throw 2 of 2,47,51
3,10:46.0,Personal foul by M. Gasol (drawn by N. Jokić),,47,51
3,10:41.0,Personal foul by G. Temple (drawn by N. Jokić),,47,51
3,10:33.0,J. Murray misses 3-pt jump shot from 27 ft,,47,51
3,10:32.0,,Defensive rebound by Team,47,51
3,10:32.0,Loose ball foul by T. Craig (drawn by G. Temple),,47,51
3,10:32.0,Violation by Team (delay of game),,47,51
3,10:16.0,,M. Gasol misses 2-pt jump shot from 7 ft,47,51
3,10:11.0,,Offensive rebound by J. Jackson,47,51
3,10:11.0,,J. Jackson makes 2-pt dunk from 1 ft,47,53
3,10:06.0,Personal foul by G. Temple (drawn by G. Harris),,47,53
3,9:58.0,J. Murray misses 2-pt jump shot from 8 ft,,47,53
3,9:57.0,Offensive rebound by Team,,47,53
3,9:53.0,Shooting foul by M. Conley (drawn by G. Harris),,47,53
3,9:53.0,G. Harris misses free throw 1 of 2,,47,53
3,9:53.0,Offensive rebound by Team,,47,53
3,9:53.0,G. Harris makes free throw 2 of 2,,48,53
3,9:40.0,,M. Conley misses 2-pt layup from 1 ft,48,53
3,9:37.0,Defensive rebound by T. Craig,,48,53
3,9:27.0,J. Murray makes 3-pt jump shot from 23 ft (assist by P. Millsap),,51,53
3,9:08.0,,J. Jackson misses 2-pt layup from 1 ft,51,53
3,9:04.0,Defensive rebound by G. Harris,,51,53
3,8:57.0,G. Harris misses 2-pt jump shot from 18 ft,,51,53
3,8:53.0,,Defensive rebound by J. Jackson,51,53
3,8:47.0,,K. Anderson misses 2-pt layup from 1 ft,51,53
3,8:43.0,Defensive rebound by P. Millsap,,51,53
3,8:39.0,Turnover by P. Millsap (lost ball; steal by J. Jackson),,51,53
3,8:39.0,Loose ball foul by P. Millsap (drawn by M. Conley),,51,53
3,8:39.0,,Memphis full timeout,51,53
3,8:24.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),51,56
3,7:59.0,G. Harris misses 2-pt layup from 1 ft,,51,56
3,7:59.0,Offensive rebound by G. Harris,,51,56
3,7:55.0,Turnover by G. Harris (lost ball; steal by M. Gasol),,51,56
3,7:45.0,,K. Anderson makes 3-pt jump shot from 24 ft (assist by M. Gasol),51,59
3,7:18.0,Turnover by Team (shot clock),,51,59
3,7:18.0,J. Hernangómez enters the game for T. Craig,,51,59
3,7:06.0,,Turnover by M. Gasol (traveling),51,59
3,6:50.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by J. Murray),,54,59
3,6:26.0,,Turnover by M. Conley (bad pass; steal by N. Jokić),54,59
3,6:22.0,G. Harris misses 3-pt jump shot from 25 ft,,54,59
3,6:19.0,,Defensive rebound by J. Jackson,54,59
3,6:12.0,,M. Gasol misses 2-pt jump shot from 10 ft,54,59
3,6:11.0,Defensive rebound by N. Jokić,,54,59
3,6:01.0,Turnover by P. Millsap (bad pass),,54,59
3,6:01.0,,D. Brooks enters the game for K. Anderson,54,59
3,6:01.0,,S. Mack enters the game for G. Temple,54,59
3,5:46.0,,Personal foul by N. Jokić (drawn by M. Gasol),54,59
3,5:46.0,T. Lyles enters the game for N. Jokić,,54,59
3,5:46.0,M. Plumlee enters the game for P. Millsap,,54,59
3,5:46.0,,I. Rabb enters the game for J. Jackson,54,59
3,5:36.0,,Turnover by I. Rabb (3 sec),54,59
3,5:18.0,J. Murray misses 2-pt layup at rim,,54,59
3,5:16.0,,Defensive rebound by I. Rabb,54,59
3,5:07.0,,I. Rabb makes 2-pt layup at rim (assist by M. Conley),54,61
3,5:06.0,Denver full timeout,,54,61
3,5:06.0,M. Morris enters the game for J. Murray,,54,61
3,5:06.0,,W. Selden enters the game for M. Conley,54,61
3,4:56.0,M. Morris makes 2-pt jump shot from 12 ft,,56,61
3,4:39.0,,Turnover by M. Gasol (lost ball; steal by M. Plumlee),56,61
3,4:34.0,G. Harris misses 2-pt layup from 1 ft,,56,61
3,4:31.0,Offensive rebound by J. Hernangómez,,56,61
3,4:31.0,J. Hernangómez makes 2-pt layup at rim,,58,61
3,4:21.0,,Turnover by S. Mack (bad pass; steal by T. Lyles),58,61
3,4:15.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by G. Harris),,61,61
3,4:13.0,,Memphis full timeout,61,61
3,3:53.0,,Shooting foul by M. Plumlee (drawn by M. Gasol),61,61
3,3:53.0,,M. Gasol makes free throw 1 of 2,61,62
3,3:53.0,,M. Gasol makes free throw 2 of 2,61,63
3,3:36.0,Personal foul by S. Mack (drawn by M. Plumlee),,61,63
3,3:36.0,M. Plumlee makes free throw 1 of 2,,62,63
3,3:36.0,,M. Conley enters the game for M. Gasol,62,63
3,3:36.0,,J. Jackson enters the game for I. Rabb,62,63
3,3:36.0,Turnover by G. Harris (lane violation),,62,63
3,3:27.0,,D. Brooks misses 3-pt jump shot from 25 ft,62,63
3,3:24.0,Defensive rebound by T. Lyles,,62,63
3,3:15.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),,64,63
3,2:50.0,,J. Jackson makes 3-pt jump shot from 28 ft (assist by M. Conley),64,66
3,2:30.0,M. Morris misses 3-pt jump shot from 24 ft,,64,66
3,2:29.0,Offensive rebound by M. Plumlee,,64,66
3,2:18.0,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),,66,66
3,1:56.0,,D. Brooks misses 2-pt layup from 2 ft (block by M. Plumlee),66,66
3,1:53.0,Defensive rebound by M. Plumlee,,66,66
3,1:50.0,G. Harris misses 3-pt jump shot from 25 ft (block by D. Brooks),,66,66
3,1:46.0,,Defensive rebound by M. Conley,66,66
3,1:41.0,,S. Mack makes 3-pt jump shot from 25 ft (assist by M. Conley),66,69
3,1:27.0,Personal foul by S. Mack (drawn by T. Lyles),,66,69
3,1:27.0,T. Lyles makes free throw 1 of 2,,67,69
3,1:27.0,J. Murray enters the game for G. Harris,,67,69
3,1:27.0,T. Lyles makes free throw 2 of 2,,68,69
3,1:17.0,,Personal foul by J. Murray (drawn by J. Jackson),68,69
3,1:17.0,,J. Jackson misses free throw 1 of 2,68,69
3,1:17.0,,Offensive rebound by Team,68,69
3,1:17.0,,J. Jackson makes free throw 2 of 2,68,70
3,0:58.0,J. Murray misses 3-pt jump shot from 25 ft,,68,70
3,0:57.0,,Defensive rebound by W. Selden,68,70
3,0:48.0,,M. Conley misses 3-pt jump shot from 26 ft,68,70
3,0:44.0,Defensive rebound by J. Murray,,68,70
3,0:32.0,Def 3 sec tech foul by Team,,68,70
3,0:32.0,J. Murray misses technical free throw,,68,70
3,0:32.0,Offensive rebound by Team,,68,70
3,0:20.0,J. Murray misses 3-pt jump shot from 23 ft,,68,70
3,0:16.0,Offensive rebound by M. Plumlee,,68,70
3,0:04.0,T. Lyles makes 2-pt jump shot from 8 ft (assist by M. Morris),,70,70
3,0:00.0,,S. Mack misses 2-pt jump shot from 22 ft,70,70
3,0:00.0,,Offensive rebound by Team,70,70
4,11:44.0,,J. Jackson makes 2-pt layup from 1 ft (assist by D. Brooks),70,72
4,11:34.0,Personal foul by M. Brooks (drawn by J. Hernangómez),,70,72
4,11:27.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),,72,72
4,11:08.0,,J. Jackson misses 2-pt hook shot from 6 ft,72,72
4,11:05.0,,Offensive rebound by M. Brooks,72,72
4,11:03.0,,M. Brooks misses 3-pt jump shot from 23 ft,72,72
4,11:00.0,Defensive rebound by T. Lyles,,72,72
4,10:42.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),,74,72
4,10:19.0,,M. Conley misses 2-pt jump shot from 7 ft,74,72
4,10:17.0,,Offensive rebound by Team,74,72
4,10:17.0,,Personal foul by M. Plumlee (drawn by J. Jackson),74,72
4,10:11.0,,M. Conley misses 3-pt jump shot from 23 ft,74,72
4,10:09.0,Defensive rebound by T. Lyles,,74,72
4,9:58.0,J. Murray misses 2-pt jump shot from 7 ft,,74,72
4,9:52.0,Offensive rebound by M. Plumlee,,74,72
4,9:52.0,M. Plumlee misses 2-pt layup at rim,,74,72
4,9:52.0,Offensive rebound by J. Hernangómez,,74,72
4,9:42.0,J. Murray makes 3-pt jump shot from 23 ft (assist by T. Lyles),,77,72
4,9:31.0,,Memphis full timeout,77,72
4,9:31.0,,M. Gasol enters the game for D. Brooks,77,72
4,9:31.0,,G. Temple enters the game for M. Brooks,77,72
4,9:23.0,,Personal foul by T. Lyles (drawn by J. Jackson),77,72
4,9:11.0,,M. Gasol misses 3-pt jump shot from 25 ft,77,72
4,9:08.0,Defensive rebound by T. Lyles,,77,72
4,8:47.0,M. Morris misses 2-pt jump shot from 19 ft,,77,72
4,8:45.0,,Defensive rebound by K. Anderson,77,72
4,8:35.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),77,74
4,8:16.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,77,74
4,8:14.0,,Defensive rebound by M. Gasol,77,74
4,8:01.0,,G. Temple misses 3-pt jump shot from 26 ft,77,74
4,7:58.0,Defensive rebound by M. Plumlee,,77,74
4,7:41.0,T. Lyles misses 3-pt jump shot from 25 ft,,77,74
4,7:38.0,,Defensive rebound by K. Anderson,77,74
4,7:32.0,,J. Jackson misses 2-pt layup at rim,77,74
4,7:29.0,Defensive rebound by T. Lyles,,77,74
4,7:18.0,T. Lyles misses 3-pt jump shot from 26 ft,,77,74
4,7:15.0,,Defensive rebound by M. Conley,77,74
4,7:02.0,,M. Gasol makes 2-pt hook shot from 5 ft,77,76
4,6:40.0,M. Plumlee makes 2-pt hook shot from 6 ft,,79,76
4,6:22.0,,J. Jackson misses 3-pt jump shot from 23 ft,79,76
4,6:19.0,Defensive rebound by T. Lyles,,79,76
4,6:01.0,M. Morris misses 3-pt jump shot from 22 ft,,79,76
4,5:57.0,,Defensive rebound by K. Anderson,79,76
4,5:52.0,,K. Anderson misses 2-pt layup from 2 ft,79,76
4,5:50.0,Defensive rebound by M. Plumlee,,79,76
4,5:44.0,M. Morris misses 2-pt jump shot from 16 ft,,79,76
4,5:40.0,,Defensive rebound by M. Gasol,79,76
4,5:22.0,,K. Anderson misses 3-pt jump shot from 23 ft,79,76
4,5:19.0,,Offensive rebound by M. Gasol,79,76
4,5:18.0,,Shooting foul by T. Lyles (drawn by K. Anderson),79,76
4,5:18.0,,K. Anderson makes free throw 1 of 2,79,77
4,5:18.0,Denver full timeout,,79,77
4,5:18.0,G. Harris enters the game for J. Murray,,79,77
4,5:18.0,N. Jokić enters the game for M. Plumlee,,79,77
4,5:18.0,,D. Brooks enters the game for M. Conley,79,77
4,5:18.0,,S. Mack enters the game for J. Jackson,79,77
4,5:18.0,,K. Anderson makes free throw 2 of 2,79,78
4,4:59.0,G. Harris misses 2-pt layup from 1 ft (block by M. Gasol),,79,78
4,4:57.0,,Defensive rebound by K. Anderson,79,78
4,4:55.0,,Personal foul by G. Harris (drawn by K. Anderson),79,78
4,4:46.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by S. Mack),79,80
4,4:28.0,Turnover by N. Jokić (out of bounds lost ball),,79,80
4,4:08.0,,Shooting foul by J. Hernangómez (drawn by G. Temple),79,80
4,4:08.0,,G. Temple makes free throw 1 of 2,79,81
4,4:08.0,,G. Temple makes free throw 2 of 2,79,82
4,3:58.0,Personal foul by M. Gasol (drawn by N. Jokić),,79,82
4,3:52.0,G. Harris makes 2-pt jump shot from 11 ft,,81,82
4,3:35.0,,M. Gasol misses 2-pt jump shot from 13 ft,81,82
4,3:33.0,Defensive rebound by M. Morris,,81,82
4,3:10.0,Turnover by Team (shot clock),,81,82
4,3:10.0,J. Murray enters the game for M. Morris,,81,82
4,3:10.0,,M. Conley enters the game for D. Brooks,81,82
4,2:52.0,,K. Anderson misses 2-pt layup from 2 ft,81,82
4,2:49.0,Defensive rebound by T. Lyles,,81,82
4,2:45.0,J. Hernangómez makes 2-pt layup at rim (assist by J. Murray),,83,82
4,2:17.0,,M. Gasol misses 2-pt hook shot from 11 ft,83,82
4,2:15.0,Defensive rebound by J. Hernangómez,,83,82
4,1:59.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,83,82
4,1:54.0,,Defensive rebound by G. Temple,83,82
4,1:51.0,,Memphis full timeout,83,82
4,1:51.0,,J. Jackson enters the game for K. Anderson,83,82
4,1:45.0,,S. Mack makes 3-pt jump shot from 26 ft,83,85
4,1:33.0,Turnover by J. Murray (bad pass; steal by M. Conley),,83,85
4,1:14.0,,G. Temple misses 2-pt layup from 2 ft (block by J. Hernangómez),83,85
4,1:14.0,,Offensive rebound by Team,83,85
4,1:08.0,,M. Conley misses 2-pt layup from 5 ft,83,85
