QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
1,5:18.0,Offensive rebound by R. Lopez,,8,14
1,5:18.0,R. Lopez makes 2-pt layup from 1 ft,,10,14
1,5:18.0,,Toronto full timeout,10,14
1,5:18.0,A. Blakeney enters the game for R. Arcidiacono,,10,14
1,5:18.0,T. Luwawu-Cabarrot enters the game for W. Selden,,10,14
1,5:18.0,,N. Powell enters the game for D. Green,10,14
1,5:18.0,,F. VanVleet enters the game for K. Lowry,10,14
1,4:55.0,,F. VanVleet misses 3-pt jump shot from 24 ft,10,14
1,4:52.0,Defensive rebound by L. Markkanen,,10,14
1,4:40.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by K. Leonard),,10,14
1,4:36.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Leonard),10,16
1,4:17.0,L. Markkanen misses 2-pt jump shot from 5 ft (block by M. Gasol),,10,16
1,4:16.0,,Defensive rebound by M. Gasol,10,16
1,4:12.0,,Turnover by F. VanVleet (bad pass; steal by L. Markkanen),10,16
1,4:07.0,L. Markkanen misses 3-pt jump shot from 26 ft,,10,16
1,4:04.0,,Defensive rebound by M. Gasol,10,16
1,4:04.0,W. Selden enters the game for L. Markkanen,,10,16
1,4:04.0,,S. Ibaka enters the game for M. Gasol,10,16
1,3:56.0,,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Leonard),10,18
1,3:38.0,W. Selden makes 3-pt jump shot from 26 ft (assist by R. Lopez),,13,18
1,3:22.0,,P. Siakam misses 2-pt jump shot from 20 ft,13,18
1,3:19.0,Defensive rebound by S. Harrison,,13,18
1,2:54.0,S. Harrison misses 3-pt jump shot from 23 ft,,13,18
1,2:52.0,,Defensive rebound by S. Ibaka,13,18
1,2:44.0,,F. VanVleet makes 3-pt jump shot from 24 ft (assist by N. Powell),13,21
1,2:42.0,Chicago full timeout,,13,21
1,2:42.0,,O. Anunoby enters the game for K. Leonard,13,21
1,2:42.0,,J. Lin enters the game for P. Siakam,13,21
1,2:31.0,A. Blakeney makes 2-pt layup from 2 ft (assist by S. Harrison),,15,21
1,2:15.0,,F. VanVleet misses 2-pt jump shot from 19 ft,15,21
1,2:13.0,Defensive rebound by A. Blakeney,,15,21
1,1:55.0,S. Harrison makes 2-pt layup from 3 ft (assist by A. Blakeney),,17,21
1,1:55.0,Shooting foul by S. Ibaka (drawn by S. Harrison),,17,21
1,1:55.0,S. Harrison makes free throw 1 of 1,,18,21
1,1:46.0,,Turnover by F. VanVleet (bad pass; steal by W. Selden),18,21
1,1:41.0,W. Selden misses 2-pt jump shot from 15 ft,,18,21
1,1:39.0,,Defensive rebound by S. Ibaka,18,21
1,1:25.0,,N. Powell makes 3-pt jump shot from 24 ft,18,24
1,1:06.0,S. Harrison misses 2-pt layup from 2 ft,,18,24
1,1:05.0,Offensive rebound by Team,,18,24
1,1:05.0,R. Arcidiacono enters the game for S. Harrison,,18,24
1,0:57.0,W. Selden misses 2-pt jump shot from 14 ft,,18,24
1,0:55.0,,Defensive rebound by F. VanVleet,18,24
1,0:49.0,,J. Lin misses 3-pt jump shot from 25 ft,18,24
1,0:46.0,,Offensive rebound by Team,18,24
1,0:46.0,Loose ball foul by W. Selden (drawn by S. Ibaka),,18,24
1,0:33.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by J. Lin),18,26
1,0:20.0,A. Blakeney misses 3-pt jump shot from 25 ft,,18,26
1,0:20.0,,Defensive rebound by S. Ibaka,18,26
1,0:01.0,,S. Ibaka misses 2-pt jump shot from 19 ft,18,26
1,0:01.0,,Offensive rebound by Team,18,26
2,11:48.0,,J. Lin misses 2-pt layup from 2 ft,18,26
2,11:46.0,Defensive rebound by C. Felício,,18,26
2,11:34.0,A. Blakeney misses 2-pt jump shot from 12 ft (block by S. Ibaka),,18,26
2,11:30.0,Offensive rebound by R. Arcidiacono,,18,26
2,11:29.0,R. Arcidiacono misses 2-pt jump shot from 8 ft,,18,26
2,11:29.0,,Defensive rebound by N. Powell,18,26
2,11:22.0,,S. Ibaka makes 2-pt jump shot from 2 ft (assist by N. Powell),18,28
2,11:22.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Ibaka),18,28
2,11:22.0,,S. Ibaka makes free throw 1 of 1,18,29
2,11:12.0,C. Felício makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,20,29
2,10:59.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),20,31
2,10:44.0,Turnover by C. Felício (lost ball; steal by O. Anunoby),,20,31
2,10:41.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by O. Anunoby),20,31
2,10:41.0,,O. Anunoby makes free throw 1 of 2,20,32
2,10:41.0,B. Sampson enters the game for A. Blakeney,,20,32
2,10:41.0,W. Selden enters the game for T. Luwawu-Cabarrot,,20,32
2,10:41.0,,P. McCaw enters the game for F. VanVleet,20,32
2,10:41.0,,O. Anunoby makes free throw 2 of 2,20,33
2,10:26.0,Shooting foul by J. Lin (drawn by R. Arcidiacono),,20,33
2,10:26.0,R. Arcidiacono makes free throw 1 of 2,,21,33
2,10:26.0,R. Arcidiacono makes free throw 2 of 2,,22,33
2,10:07.0,,Turnover by N. Powell (bad pass; steal by R. Arcidiacono),22,33
2,10:05.0,Shooting foul by O. Anunoby (drawn by L. Markkanen),,22,33
2,10:05.0,L. Markkanen makes free throw 1 of 2,,23,33
2,10:05.0,L. Markkanen makes free throw 2 of 2,,24,33
2,9:51.0,,J. Lin misses 3-pt jump shot from 25 ft,24,33
2,9:48.0,Defensive rebound by C. Felício,,24,33
2,9:33.0,Shooting foul by P. McCaw (drawn by L. Markkanen),,24,33
2,9:33.0,L. Markkanen misses free throw 1 of 2,,24,33
2,9:33.0,Offensive rebound by Team,,24,33
2,9:33.0,L. Markkanen makes free throw 2 of 2,,25,33
2,9:26.0,,Personal foul by R. Arcidiacono (drawn by J. Lin),25,33
2,9:18.0,,N. Powell misses 2-pt layup from 2 ft,25,33
2,9:15.0,Defensive rebound by L. Markkanen,,25,33
2,9:06.0,L. Markkanen misses 3-pt jump shot from 25 ft,,25,33
2,9:06.0,,Defensive rebound by N. Powell,25,33
2,8:53.0,,S. Ibaka misses 2-pt jump shot from 19 ft,25,33
2,8:51.0,Defensive rebound by R. Arcidiacono,,25,33
2,8:47.0,Personal foul by J. Lin (drawn by R. Arcidiacono),,25,33
2,8:47.0,,D. Green enters the game for J. Lin,25,33
2,8:47.0,,K. Lowry enters the game for N. Powell,25,33
2,8:39.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,25,33
2,8:38.0,,Defensive rebound by Team,25,33
2,8:18.0,,S. Ibaka misses 3-pt jump shot from 25 ft,25,33
2,8:16.0,Defensive rebound by L. Markkanen,,25,33
2,8:09.0,L. Markkanen misses 2-pt hook shot from 8 ft,,25,33
2,8:06.0,,Defensive rebound by K. Lowry,25,33
2,7:52.0,,O. Anunoby makes 2-pt jump shot from 1 ft,25,35
2,7:50.0,Chicago full timeout,,25,35
2,7:39.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,25,35
2,7:35.0,,Defensive rebound by K. Lowry,25,35
2,7:31.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Lowry),25,38
2,7:13.0,B. Sampson makes 2-pt jump shot from 7 ft,,27,38
2,7:01.0,,P. McCaw makes 2-pt jump shot from 6 ft (assist by K. Lowry),27,40
2,6:45.0,L. Markkanen makes 2-pt jump shot from 9 ft,,29,40
2,6:25.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by O. Anunoby),29,43
2,6:02.0,L. Markkanen misses 2-pt hook shot from 3 ft,,29,43
2,6:02.0,,Defensive rebound by Team,29,43
2,6:02.0,S. Harrison enters the game for R. Arcidiacono,,29,43
2,5:53.0,,Turnover by K. Lowry (lost ball; steal by C. Felício),29,43
2,5:50.0,Shooting foul by P. McCaw (drawn by W. Selden),,29,43
2,5:50.0,W. Selden makes free throw 1 of 2,,30,43
2,5:50.0,,K. Leonard enters the game for D. Green,30,43
2,5:50.0,W. Selden makes free throw 2 of 2,,31,43
2,5:41.0,,P. McCaw misses 2-pt layup from 1 ft,31,43
2,5:39.0,Defensive rebound by L. Markkanen,,31,43
2,5:37.0,Turnover by L. Markkanen (lost ball; steal by P. McCaw),,31,43
2,5:32.0,,K. Lowry misses 3-pt jump shot from 24 ft,31,43
2,5:30.0,Defensive rebound by S. Harrison,,31,43
2,5:24.0,W. Selden makes 2-pt layup from 2 ft,,33,43
2,5:12.0,,K. Leonard misses 2-pt layup from 2 ft (block by L. Markkanen),33,43
2,5:09.0,Defensive rebound by B. Sampson,,33,43
2,4:57.0,Offensive foul by C. Felício (drawn by K. Lowry),,33,43
2,4:57.0,Turnover by C. Felício (offensive foul),,33,43
2,4:57.0,R. Lopez enters the game for C. Felício,,33,43
2,4:57.0,T. Luwawu-Cabarrot enters the game for L. Markkanen,,33,43
2,4:57.0,,M. Gasol enters the game for O. Anunoby,33,43
2,4:57.0,,F. VanVleet enters the game for S. Ibaka,33,43
2,4:41.0,,K. Leonard makes 2-pt jump shot from 9 ft,33,45
2,4:19.0,W. Selden misses 2-pt jump shot from 2 ft,,33,45
2,4:17.0,,Defensive rebound by P. McCaw,33,45
2,4:11.0,,Personal foul by W. Selden (drawn by K. Leonard),33,45
2,4:07.0,,Personal foul by B. Sampson (drawn by K. Leonard),33,45
2,4:07.0,,K. Leonard makes free throw 1 of 2,33,46
2,4:07.0,,K. Leonard makes free throw 2 of 2,33,47
2,3:57.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by B. Sampson),,36,47
2,3:41.0,,K. Leonard misses 3-pt jump shot from 25 ft,36,47
2,3:39.0,Defensive rebound by B. Sampson,,36,47
2,3:23.0,Turnover by R. Lopez (traveling),,36,47
2,3:07.0,,M. Gasol misses 2-pt layup from 2 ft,36,47
2,3:05.0,Defensive rebound by W. Selden,,36,47
2,3:00.0,B. Sampson misses 3-pt jump shot from 23 ft,,36,47
2,2:57.0,,Defensive rebound by K. Leonard,36,47
2,2:50.0,,Personal foul by S. Harrison (drawn by K. Leonard),36,47
2,2:50.0,,Toronto full timeout,36,47
2,2:50.0,A. Blakeney enters the game for B. Sampson,,36,47
2,2:50.0,,O. Anunoby enters the game for K. Lowry,36,47
2,2:50.0,,J. Lin enters the game for P. McCaw,36,47
2,2:50.0,,K. Leonard makes free throw 1 of 2,36,48
2,2:50.0,,K. Leonard makes free throw 2 of 2,36,49
2,2:44.0,W. Selden makes 2-pt layup from 3 ft (assist by S. Harrison),,38,49
2,2:25.0,,J. Lin misses 3-pt jump shot from 23 ft,38,49
2,2:22.0,Defensive rebound by T. Luwawu-Cabarrot,,38,49
2,2:14.0,W. Selden misses 3-pt jump shot from 25 ft,,38,49
2,2:12.0,,Defensive rebound by J. Lin,38,49
2,2:06.0,,O. Anunoby misses 3-pt jump shot from 22 ft,38,49
2,2:01.0,Defensive rebound by T. Luwawu-Cabarrot,,38,49
2,1:54.0,Turnover by S. Harrison (lost ball; steal by K. Leonard),,38,49
2,1:50.0,,K. Leonard makes 2-pt layup from 2 ft,38,51
2,1:29.0,Turnover by W. Selden (traveling),,38,51
2,1:29.0,L. Markkanen enters the game for W. Selden,,38,51
2,1:29.0,,N. Powell enters the game for K. Leonard,38,51
2,1:13.0,,F. VanVleet misses 2-pt jump shot from 17 ft,38,51
2,1:10.0,Defensive rebound by L. Markkanen,,38,51
2,1:02.0,R. Lopez misses 2-pt jump shot from 19 ft,,38,51
2,0:59.0,,Defensive rebound by J. Lin,38,51
2,0:52.0,,O. Anunoby makes 2-pt hook shot from 2 ft,38,53
2,0:36.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by S. Harrison),,41,53
2,0:29.0,,M. Gasol misses 2-pt jump shot from 10 ft,41,53
2,0:27.0,Defensive rebound by L. Markkanen,,41,53
2,0:10.0,Offensive foul by S. Harrison (drawn by M. Gasol),,41,53
2,0:10.0,Turnover by S. Harrison (offensive foul),,41,53
2,0:10.0,W. Selden enters the game for R. Lopez,,41,53
2,0:04.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by F. VanVleet),41,56
3,11:46.0,,K. Lowry misses 2-pt layup from 2 ft,41,56
3,11:43.0,Defensive rebound by R. Arcidiacono,,41,56
3,11:33.0,R. Lopez makes 2-pt jump shot from 2 ft,,43,56
3,11:23.0,,Turnover by K. Lowry (bad pass; steal by B. Sampson),43,56
3,11:16.0,Turnover by W. Selden (bad pass; steal by K. Leonard),,43,56
3,11:11.0,,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),43,58
3,10:48.0,W. Selden makes 2-pt jump shot from 15 ft,,45,58
3,10:35.0,,Shooting foul by W. Selden (drawn by K. Leonard),45,58
3,10:35.0,,K. Leonard makes free throw 1 of 2,45,59
3,10:35.0,,K. Leonard makes free throw 2 of 2,45,60
3,10:23.0,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by W. Selden),,48,60
3,10:10.0,,Turnover by K. Lowry (bad pass; steal by S. Harrison),48,60
3,10:01.0,S. Harrison misses 3-pt jump shot from 24 ft,,48,60
3,9:57.0,,Defensive rebound by P. Siakam,48,60
3,9:55.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),48,62
3,9:40.0,Turnover by B. Sampson (lost ball; steal by K. Leonard),,48,62
3,9:34.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by K. Leonard),48,65
3,9:33.0,Chicago full timeout,,48,65
3,9:09.0,R. Lopez makes 2-pt jump shot from 12 ft,,50,65
3,8:51.0,,M. Gasol misses 2-pt jump shot from 12 ft,50,65
3,8:48.0,Defensive rebound by S. Harrison,,50,65
3,8:34.0,Shooting foul by M. Gasol (drawn by R. Lopez),,50,65
3,8:34.0,R. Lopez makes free throw 1 of 2,,51,65
3,8:34.0,R. Lopez makes free throw 2 of 2,,52,65
3,8:18.0,,K. Leonard makes 2-pt layup from 3 ft,52,67
3,8:07.0,W. Selden misses 2-pt jump shot from 3 ft (block by M. Gasol),,52,67
3,8:03.0,,Defensive rebound by D. Green,52,67
3,7:53.0,Violation by Team (kicked ball),,52,67
3,7:43.0,,D. Green misses 3-pt jump shot from 25 ft,52,67
3,7:41.0,Defensive rebound by R. Arcidiacono,,52,67
3,7:33.0,Turnover by W. Selden (lost ball; steal by K. Lowry),,52,67
3,7:28.0,,P. Siakam makes 2-pt layup from 2 ft (assist by D. Green),52,69
3,7:11.0,B. Sampson misses 3-pt jump shot from 24 ft,,52,69
3,7:08.0,,Defensive rebound by K. Leonard,52,69
3,7:03.0,,Personal foul by S. Harrison (drawn by K. Leonard),52,69
3,7:03.0,,F. VanVleet enters the game for D. Green,52,69
3,6:57.0,,M. Gasol misses 2-pt hook shot from 4 ft,52,69
3,6:55.0,Defensive rebound by R. Lopez,,52,69
3,6:48.0,Turnover by B. Sampson (out of bounds lost ball),,52,69
3,6:39.0,,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),52,71
3,6:24.0,W. Selden misses 3-pt jump shot from 24 ft,,52,71
3,6:21.0,,Defensive rebound by P. Siakam,52,71
3,6:11.0,,Turnover by K. Lowry (bad pass; steal by R. Arcidiacono),52,71
3,6:06.0,S. Harrison makes 2-pt layup from 2 ft,,54,71
3,5:53.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Gasol),54,74
3,5:29.0,R. Arcidiacono misses 2-pt jump shot from 16 ft,,54,74
3,5:26.0,,Defensive rebound by K. Leonard,54,74
3,5:18.0,,K. Leonard misses 2-pt jump shot from 20 ft,54,74
3,5:16.0,Defensive rebound by R. Arcidiacono,,54,74
3,4:59.0,B. Sampson makes 3-pt jump shot from 24 ft (assist by S. Harrison),,57,74
3,4:47.0,,P. Siakam makes 2-pt jump shot from 2 ft,57,76
3,4:47.0,,Shooting foul by B. Sampson (drawn by P. Siakam),57,76
3,4:47.0,A. Blakeney enters the game for B. Sampson,,57,76
3,4:47.0,,S. Ibaka enters the game for M. Gasol,57,76
3,4:47.0,,P. Siakam makes free throw 1 of 1,57,77
3,4:33.0,Shooting foul by S. Ibaka (drawn by S. Harrison),,57,77
3,4:33.0,S. Harrison makes free throw 1 of 2,,58,77
3,4:33.0,T. Luwawu-Cabarrot enters the game for W. Selden,,58,77
3,4:33.0,,O. Anunoby enters the game for P. Siakam,58,77
3,4:33.0,S. Harrison makes free throw 2 of 2,,59,77
3,4:20.0,,K. Lowry misses 3-pt jump shot from 26 ft,59,77
3,4:17.0,Defensive rebound by A. Blakeney,,59,77
3,4:09.0,A. Blakeney misses 2-pt jump shot from 9 ft,,59,77
3,4:06.0,,Defensive rebound by S. Ibaka,59,77
3,4:01.0,,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),59,79
3,3:40.0,A. Blakeney makes 2-pt jump shot from 11 ft (assist by R. Lopez),,61,79
3,3:32.0,,Shooting foul by R. Arcidiacono (drawn by F. VanVleet),61,79
3,3:32.0,,F. VanVleet makes free throw 1 of 2,61,80
3,3:32.0,,J. Lin enters the game for K. Leonard,61,80
3,3:32.0,,N. Powell enters the game for K. Lowry,61,80
3,3:32.0,,F. VanVleet makes free throw 2 of 2,61,81
3,3:17.0,T. Luwawu-Cabarrot makes 2-pt jump shot from 22 ft (assist by R. Lopez),,63,81
3,3:00.0,,Turnover by N. Powell (bad pass),63,81
3,3:00.0,B. Sampson enters the game for R. Arcidiacono,,63,81
3,2:49.0,Personal foul by O. Anunoby (drawn by A. Blakeney),,63,81
3,2:49.0,,Toronto full timeout,63,81
3,2:49.0,C. Felício enters the game for R. Lopez,,63,81
3,2:34.0,B. Sampson makes 2-pt layup from 2 ft (assist by T. Luwawu-Cabarrot),,65,81
3,2:15.0,,F. VanVleet misses 2-pt jump shot from 17 ft,65,81
3,2:13.0,Defensive rebound by A. Blakeney,,65,81
3,2:04.0,A. Blakeney misses 2-pt hook shot from 5 ft,,65,81
3,2:02.0,Offensive rebound by C. Felício,,65,81
3,1:58.0,A. Blakeney makes 2-pt layup from 2 ft (assist by B. Sampson),,67,81
3,1:45.0,,S. Ibaka makes 2-pt hook shot from 6 ft (assist by N. Powell),67,83
3,1:30.0,A. Blakeney makes 2-pt jump shot from 11 ft,,69,83
3,1:16.0,,S. Ibaka misses 2-pt jump shot from 18 ft,69,83
3,1:16.0,Defensive rebound by A. Blakeney,,69,83
3,0:58.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,,69,83
3,0:56.0,,Defensive rebound by S. Ibaka,69,83
3,0:48.0,,F. VanVleet misses 3-pt jump shot from 26 ft,69,83
3,0:46.0,Defensive rebound by A. Blakeney,,69,83
3,0:39.0,A. Blakeney misses 2-pt jump shot from 14 ft,,69,83
3,0:36.0,,Defensive rebound by S. Ibaka,69,83
3,0:30.0,,Shooting foul by A. Blakeney (drawn by F. VanVleet),69,83
3,0:30.0,,F. VanVleet makes free throw 1 of 2,69,84
3,0:30.0,W. Selden enters the game for S. Harrison,,69,84
3,0:30.0,,F. VanVleet makes free throw 2 of 2,69,85
3,0:09.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by A. Blakeney),,72,85
3,0:00.0,,N. Powell misses 3-pt jump shot from 27 ft,72,85
3,0:00.0,,Offensive rebound by Team,72,85
4,11:41.0,A. Blakeney misses 2-pt jump shot from 18 ft,,72,85
4,11:38.0,,Defensive rebound by S. Ibaka,72,85
4,11:30.0,,N. Powell makes 2-pt dunk from 2 ft,72,87
4,11:09.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,72,87
4,11:05.0,,Defensive rebound by J. Lin,72,87
4,10:57.0,,J. Lin misses 2-pt jump shot from 16 ft,72,87
4,10:56.0,Defensive rebound by Team,,72,87
4,10:56.0,,Loose ball foul by S. Ibaka (drawn by C. Felício),72,87
4,10:37.0,R. Arcidiacono makes 2-pt jump shot from 14 ft (assist by W. Selden),,74,87
4,10:22.0,,J. Lin misses 3-pt jump shot from 23 ft,74,87
4,10:22.0,Defensive rebound by W. Selden,,74,87
4,10:14.0,A. Blakeney makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,77,87
4,9:59.0,,S. Ibaka misses 2-pt jump shot from 12 ft,77,87
4,9:59.0,Defensive rebound by C. Felício,,77,87
4,9:47.0,C. Felício misses 2-pt layup from 2 ft (block by S. Ibaka),,77,87
4,9:44.0,,Defensive rebound by J. Lin,77,87
4,9:37.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by J. Lin),77,90
4,9:36.0,Chicago full timeout,,77,90
4,9:36.0,,P. McCaw enters the game for J. Lin,77,90
4,9:24.0,R. Arcidiacono makes 2-pt jump shot from 6 ft,,79,90
4,8:58.0,,N. Powell makes 2-pt jump shot from 17 ft,79,92
4,8:45.0,R. Arcidiacono makes 2-pt jump shot from 6 ft,,81,92
4,8:24.0,,P. McCaw makes 2-pt layup from 2 ft,81,94
4,8:06.0,T. Luwawu-Cabarrot misses 2-pt layup from 5 ft (block by O. Anunoby),,81,94
4,8:06.0,Offensive rebound by Team,,81,94
4,8:06.0,Chicago full timeout,,81,94
4,8:02.0,A. Blakeney misses 2-pt jump shot from 20 ft,,81,94
4,8:00.0,,Defensive rebound by O. Anunoby,81,94
4,7:51.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by F. VanVleet),81,96
4,7:39.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by P. McCaw),,81,96
4,7:35.0,,Shooting foul by R. Arcidiacono (drawn by O. Anunoby),81,96
4,7:35.0,,O. Anunoby makes free throw 1 of 2,81,97
4,7:35.0,,O. Anunoby makes free throw 2 of 2,81,98
4,7:21.0,R. Arcidiacono makes 2-pt jump shot from 8 ft (assist by A. Blakeney),,83,98
4,6:56.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by P. McCaw),83,101
4,6:39.0,W. Selden makes 3-pt jump shot from 25 ft (assist by C. Felício),,86,101
4,6:24.0,,S. Ibaka misses 2-pt jump shot from 20 ft,86,101
4,6:23.0,Defensive rebound by A. Blakeney,,86,101
4,6:16.0,A. Blakeney misses 2-pt jump shot from 13 ft,,86,101
4,6:12.0,,Defensive rebound by F. VanVleet,86,101
4,6:06.0,,N. Powell makes 2-pt layup from 2 ft (assist by F. VanVleet),86,103
4,5:38.0,A. Blakeney misses 2-pt jump shot from 17 ft,,86,103
4,5:36.0,,Defensive rebound by S. Ibaka,86,103
4,5:16.0,,Turnover by P. McCaw (bad pass; steal by A. Blakeney),86,103
4,5:13.0,A. Blakeney misses 2-pt jump shot from 7 ft,,86,103
4,5:08.0,,Defensive rebound by F. VanVleet,86,103
4,4:58.0,,S. Ibaka makes 2-pt jump shot from 11 ft (assist by F. VanVleet),86,105
4,4:57.0,Chicago full timeout,,86,105
4,4:57.0,S. Harrison enters the game for R. Arcidiacono,,86,105
4,4:57.0,B. Sampson enters the game for A. Blakeney,,86,105
4,4:57.0,,J. Lin enters the game for S. Ibaka,86,105
4,4:57.0,,J. Meeks enters the game for F. VanVleet,86,105
4,4:40.0,C. Felício misses 2-pt layup from 2 ft (block by O. Anunoby),,86,105
4,4:38.0,Offensive rebound by C. Felício,,86,105
4,4:36.0,C. Felício makes 2-pt hook shot from 2 ft,,88,105
4,4:23.0,,J. Lin makes 2-pt jump shot from 2 ft,88,107
4,4:10.0,Shooting foul by O. Anunoby (drawn by B. Sampson),,88,107
4,4:10.0,,Toronto full timeout,88,107
4,4:10.0,,P. Siakam enters the game for O. Anunoby,88,107
4,4:10.0,B. Sampson misses free throw 1 of 2,,88,107
4,4:10.0,Offensive rebound by Team,,88,107
4,4:10.0,B. Sampson makes free throw 2 of 2,,89,107
4,3:54.0,,N. Powell makes 3-pt jump shot from 26 ft,89,110
4,3:31.0,W. Selden makes 2-pt layup from 3 ft (assist by C. Felício),,91,110
4,3:18.0,,Turnover by P. Siakam (bad pass; steal by W. Selden),91,110
4,3:14.0,C. Felício makes 2-pt dunk from 1 ft (assist by S. Harrison),,93,110
4,2:59.0,,P. Siakam misses 2-pt layup from 3 ft,93,110
4,2:56.0,Defensive rebound by C. Felício,,93,110
4,2:54.0,S. Harrison makes 2-pt layup from 2 ft,,95,110
4,2:54.0,Shooting foul by P. McCaw (drawn by S. Harrison),,95,110
