QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
4,3:02.0,Offensive rebound by Team,,94,118
4,2:52.0,A. Burks misses 3-pt jump shot from 28 ft,,94,118
4,2:50.0,,Defensive rebound by P. Dozier,94,118
4,2:46.0,,P. Dozier misses 2-pt jump shot from 18 ft,94,118
4,2:45.0,Defensive rebound by C. Osman,,94,118
4,2:22.0,Turnover by A. Žižić (out of bounds lost ball),,94,118
4,2:09.0,,S. Ojeleye makes 3-pt jump shot from 27 ft,94,121
4,1:55.0,Offensive foul by C. Frye (drawn by P. Dozier),,94,121
4,1:55.0,Turnover by C. Frye (offensive foul),,94,121
4,1:37.0,,P. Dozier misses 2-pt jump shot from 5 ft,94,121
4,1:36.0,,Offensive rebound by R. Williams,94,121
4,1:36.0,,R. Williams misses 2-pt dunk at rim,94,121
4,1:35.0,Defensive rebound by A. Žižić,,94,121
4,1:28.0,Shooting foul by R. Williams (drawn by A. Burks),,94,121
4,1:28.0,A. Burks misses free throw 1 of 2,,94,121
4,1:28.0,Offensive rebound by Team,,94,121
4,1:28.0,A. Burks makes free throw 2 of 2,,95,121
4,1:14.0,,S. Ojeleye misses 2-pt jump shot from 14 ft,95,121
4,1:13.0,,Offensive rebound by P. Dozier,95,121
4,1:13.0,,P. Dozier makes 2-pt layup at rim,95,123
4,0:52.0,C. Sexton misses 2-pt jump shot from 19 ft,,95,123
4,0:51.0,,Defensive rebound by P. Dozier,95,123
4,0:43.0,,B. Wanamaker misses 2-pt layup from 4 ft,95,123
4,0:42.0,,Offensive rebound by P. Dozier,95,123
4,0:42.0,,P. Dozier makes 2-pt dunk at rim,95,125
4,0:34.0,A. Burks misses 2-pt layup from 1 ft (block by R. Williams),,95,125
4,0:32.0,,Defensive rebound by G. Yabusele,95,125
4,0:28.0,,P. Dozier makes 3-pt jump shot from 25 ft (assist by B. Wanamaker),95,128
4,0:04.0,A. Žižić misses 2-pt jump shot from 9 ft,,95,128
4,0:02.0,,Defensive rebound by S. Ojeleye,95,128
