QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
2,8:20.0,L. Williams misses 2-pt layup from 1 ft,,27,37
2,8:18.0,,Defensive rebound by G. Monroe,27,37
2,8:15.0,,D. Wright misses 3-pt jump shot from 26 ft,27,37
2,8:11.0,Defensive rebound by S. Gilgeous-Alexander,,27,37
2,8:11.0,P. Beverley makes 2-pt layup at rim (assist by S. Gilgeous-Alexander),,29,37
2,8:11.0,Shooting foul by O. Anunoby (drawn by P. Beverley),,29,37
2,8:11.0,P. Beverley makes free throw 1 of 1,,30,37
2,8:02.0,,N. Powell makes 2-pt jump shot from 10 ft,30,39
2,7:53.0,L. Williams misses 2-pt jump shot from 10 ft,,30,39
2,7:53.0,,Defensive rebound by N. Powell,30,39
2,7:31.0,,Shooting foul by M. Harrell (drawn by G. Monroe),30,39
2,7:31.0,,G. Monroe makes free throw 1 of 2,30,40
2,7:31.0,A. Bradley enters the game for L. Williams,,30,40
2,7:31.0,,P. Siakam enters the game for D. Wright,30,40
2,7:31.0,LA Clippers full timeout,,30,40
2,7:31.0,,D. Green enters the game for O. Anunoby,30,40
2,7:31.0,,K. Leonard enters the game for C. Miles,30,40
2,7:31.0,,F. VanVleet enters the game for N. Powell,30,40
2,7:31.0,,G. Monroe makes free throw 2 of 2,30,41
2,7:13.0,M. Harrell makes 2-pt dunk from 1 ft (assist by T. Harris),,32,41
2,6:59.0,,G. Monroe makes 2-pt dunk from 2 ft (assist by F. VanVleet),32,43
2,6:47.0,A. Bradley misses 3-pt jump shot from 24 ft,,32,43
2,6:44.0,Offensive rebound by M. Harrell,,32,43
2,6:44.0,LA Clippers full timeout,,32,43
2,6:44.0,,S. Ibaka enters the game for G. Monroe,32,43
2,6:34.0,M. Harrell makes 2-pt jump shot from 12 ft,,34,43
2,6:20.0,,K. Leonard makes 3-pt jump shot from 27 ft (assist by D. Green),34,46
2,6:05.0,A. Bradley makes 2-pt jump shot from 9 ft,,36,46
2,5:52.0,,K. Leonard makes 3-pt jump shot from 27 ft,36,49
2,5:41.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,,38,49
2,5:41.0,Shooting foul by D. Green (drawn by S. Gilgeous-Alexander),,38,49
2,5:41.0,S. Gilgeous-Alexander makes free throw 1 of 1,,39,49
2,5:27.0,,K. Leonard makes 2-pt layup from 3 ft,39,51
2,5:17.0,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,,41,51
2,4:53.0,,D. Green misses 2-pt jump shot from 17 ft,41,51
2,4:48.0,Defensive rebound by S. Gilgeous-Alexander,,41,51
2,4:39.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by P. Siakam),,41,51
2,4:35.0,,Defensive rebound by S. Ibaka,41,51
2,4:29.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. Green),41,54
2,4:29.0,,P. McCaw enters the game for D. Green,41,54
2,4:02.0,T. Harris makes 2-pt jump shot from 19 ft,,43,54
2,3:44.0,,K. Leonard makes 2-pt jump shot from 13 ft,43,56
2,3:30.0,Personal foul by P. McCaw (drawn by M. Harrell),,43,56
2,3:28.0,Personal foul by S. Ibaka (drawn by M. Harrell),,43,56
2,3:28.0,L. Williams enters the game for P. Beverley,,43,56
2,3:14.0,T. Harris misses 2-pt jump shot from 11 ft,,43,56
2,3:11.0,,Defensive rebound by K. Leonard,43,56
2,3:02.0,,Personal foul by L. Williams (drawn by P. Siakam),43,56
2,3:02.0,,P. Siakam misses free throw 1 of 2,43,56
2,3:02.0,,Offensive rebound by Team,43,56
2,3:02.0,,P. Siakam makes free throw 2 of 2,43,57
2,2:53.0,M. Harrell makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,45,57
2,2:40.0,,Turnover by F. VanVleet (bad pass; steal by T. Harris),45,57
2,2:36.0,T. Harris makes 2-pt layup from 1 ft,,47,57
2,2:20.0,,P. Siakam makes 2-pt jump shot from 6 ft,47,59
2,2:06.0,M. Harrell misses 2-pt layup from 4 ft,,47,59
2,2:03.0,,Defensive rebound by K. Leonard,47,59
2,2:02.0,,K. Leonard misses 3-pt jump shot from 27 ft,47,59
2,1:58.0,,Offensive rebound by S. Ibaka,47,59
2,1:58.0,,S. Ibaka makes 2-pt dunk from 1 ft,47,61
2,1:46.0,Turnover by T. Harris (lost ball; steal by F. VanVleet),,47,61
2,1:41.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by F. VanVleet),47,63
2,1:26.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,,49,63
2,1:12.0,,K. Leonard misses 2-pt jump shot from 21 ft,49,63
2,1:12.0,,Offensive rebound by S. Ibaka,49,63
2,1:04.0,,Shooting foul by M. Harrell (drawn by S. Ibaka),49,63
2,1:04.0,,S. Ibaka misses free throw 1 of 2,49,63
2,1:04.0,,Offensive rebound by Team,49,63
2,1:04.0,M. Scott enters the game for A. Bradley,,49,63
2,1:04.0,,O. Anunoby enters the game for P. Siakam,49,63
2,1:04.0,,D. Wright enters the game for F. VanVleet,49,63
2,1:04.0,,S. Ibaka makes free throw 2 of 2,49,64
2,0:56.0,L. Williams misses 2-pt jump shot from 11 ft,,49,64
2,0:53.0,,Defensive rebound by S. Ibaka,49,64
2,0:43.0,,Turnover by K. Leonard (lost ball; steal by S. Gilgeous-Alexander),49,64
2,0:38.0,S. Gilgeous-Alexander misses 2-pt hook shot from 4 ft,,49,64
2,0:36.0,,Defensive rebound by P. McCaw,49,64
2,0:33.0,,Shooting foul by L. Williams (drawn by D. Wright),49,64
2,0:33.0,,D. Wright misses free throw 1 of 2,49,64
2,0:33.0,,Offensive rebound by Team,49,64
2,0:33.0,,C. Boucher enters the game for S. Ibaka,49,64
2,0:33.0,,D. Wright makes free throw 2 of 2,49,65
2,0:17.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,51,65
2,0:00.0,,D. Wright misses 2-pt jump shot from 20 ft (block by S. Gilgeous-Alexander),51,65
2,0:00.0,,Offensive rebound by Team,51,65
3,11:45.0,S. Gilgeous-Alexander misses 2-pt layup from 4 ft,,51,65
3,11:44.0,Offensive rebound by Team,,51,65
3,11:44.0,,Loose ball foul by F. VanVleet (drawn by S. Gilgeous-Alexander),51,65
3,11:39.0,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft,,53,65
3,11:21.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by F. VanVleet),53,67
3,11:08.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by M. Harrell),,55,67
3,10:50.0,,F. VanVleet makes 2-pt jump shot from 19 ft,55,69
3,10:31.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,58,69
3,10:08.0,,K. Leonard misses 2-pt jump shot from 14 ft,58,69
3,10:06.0,,Offensive rebound by S. Ibaka,58,69
3,10:04.0,,F. VanVleet misses 3-pt jump shot from 25 ft,58,69
3,10:00.0,,Offensive rebound by K. Leonard,58,69
3,9:58.0,,F. VanVleet misses 3-pt jump shot from 23 ft,58,69
3,9:58.0,,Offensive rebound by F. VanVleet,58,69
3,9:54.0,,Turnover by F. VanVleet (lost ball; steal by M. Harrell),58,69
3,9:44.0,T. Harris misses 2-pt jump shot from 9 ft,,58,69
3,9:41.0,,Defensive rebound by K. Leonard,58,69
3,9:41.0,,Personal foul by M. Harrell (drawn by K. Leonard),58,69
3,9:27.0,,F. VanVleet misses 2-pt layup from 2 ft (block by M. Harrell),58,69
3,9:27.0,,Offensive rebound by Team,58,69
3,9:25.0,,D. Green makes 2-pt jump shot from 16 ft (assist by F. VanVleet),58,71
3,9:04.0,S. Gilgeous-Alexander misses 2-pt layup from 4 ft (block by S. Ibaka),,58,71
3,9:03.0,Offensive rebound by Team,,58,71
3,9:00.0,A. Bradley misses 2-pt jump shot from 2 ft,,58,71
3,8:57.0,,Defensive rebound by F. VanVleet,58,71
3,8:51.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),58,74
3,8:49.0,LA Clippers full timeout,,58,74
3,8:39.0,Turnover by P. Beverley (lost ball; steal by F. VanVleet),,58,74
3,8:37.0,,Shooting foul by P. Beverley (drawn by S. Ibaka),58,74
3,8:37.0,,S. Ibaka makes free throw 1 of 2,58,75
3,8:37.0,,S. Ibaka makes free throw 2 of 2,58,76
3,8:18.0,P. Beverley misses 3-pt jump shot from 26 ft,,58,76
3,8:15.0,,Defensive rebound by S. Ibaka,58,76
3,8:03.0,,Turnover by P. Siakam (out of bounds lost ball),58,76
3,7:52.0,Personal foul by F. VanVleet (drawn by A. Bradley),,58,76
3,7:44.0,Turnover by T. Harris (out of bounds lost ball),,58,76
3,7:26.0,,Personal foul by P. Beverley (drawn by F. VanVleet),58,76
3,7:15.0,,K. Leonard misses 2-pt jump shot from 13 ft,58,76
3,7:11.0,Defensive rebound by P. Beverley,,58,76
3,7:02.0,T. Harris makes 2-pt layup from 2 ft (assist by P. Beverley),,60,76
3,6:54.0,,K. Leonard misses 2-pt layup from 3 ft,60,76
3,6:53.0,Defensive rebound by M. Harrell,,60,76
3,6:45.0,P. Beverley makes 2-pt jump shot from 9 ft,,62,76
3,6:44.0,,Toronto full timeout,62,76
3,6:44.0,J. Robinson enters the game for P. Beverley,,62,76
3,6:44.0,M. Scott enters the game for A. Bradley,,62,76
3,6:44.0,L. Williams enters the game for M. Harrell,,62,76
3,6:31.0,,Personal foul by J. Robinson (drawn by P. Siakam),62,76
3,6:23.0,,P. Siakam makes 2-pt hook shot from 6 ft,62,78
3,6:23.0,,Shooting foul by J. Robinson (drawn by P. Siakam),62,78
3,6:23.0,,P. Siakam makes free throw 1 of 1,62,79
3,6:08.0,T. Harris makes 2-pt layup from 2 ft (assist by M. Scott),,64,79
3,5:54.0,,Personal foul by J. Robinson (drawn by P. Siakam),64,79
3,5:54.0,,P. Siakam makes free throw 1 of 2,64,80
3,5:54.0,,P. Siakam makes free throw 2 of 2,64,81
3,5:43.0,Shooting foul by S. Ibaka (drawn by L. Williams),,64,81
3,5:43.0,L. Williams makes free throw 1 of 2,,65,81
3,5:43.0,B. Marjanović enters the game for J. Robinson,,65,81
3,5:43.0,L. Williams makes free throw 2 of 2,,66,81
3,5:33.0,,Shooting foul by T. Harris (drawn by P. Siakam),66,81
3,5:33.0,,P. Siakam makes free throw 1 of 2,66,82
3,5:33.0,,P. Siakam makes free throw 2 of 2,66,83
3,5:28.0,Personal foul by P. Siakam (drawn by M. Scott),,66,83
3,5:22.0,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft,,68,83
3,5:07.0,,F. VanVleet misses 3-pt jump shot from 25 ft,68,83
3,5:04.0,Defensive rebound by T. Harris,,68,83
3,4:57.0,T. Harris misses 2-pt jump shot from 7 ft,,68,83
3,4:55.0,,Defensive rebound by K. Leonard,68,83
3,4:49.0,,P. Siakam misses 3-pt jump shot from 23 ft,68,83
3,4:45.0,Defensive rebound by S. Gilgeous-Alexander,,68,83
3,4:43.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by F. VanVleet),,68,83
3,4:40.0,,D. Green misses 3-pt jump shot from 26 ft,68,83
3,4:34.0,Defensive rebound by S. Gilgeous-Alexander,,68,83
3,4:29.0,M. Scott makes 2-pt jump shot from 3 ft (assist by T. Harris),,70,83
3,4:22.0,,K. Leonard misses 3-pt jump shot from 25 ft,70,83
3,4:22.0,,Offensive rebound by D. Green,70,83
3,4:18.0,,Toronto full timeout,70,83
3,4:18.0,P. Beverley enters the game for S. Gilgeous-Alexander,,70,83
3,4:18.0,,O. Anunoby enters the game for D. Green,70,83
3,4:18.0,,G. Monroe enters the game for S. Ibaka,70,83
3,4:18.0,,N. Powell enters the game for P. Siakam,70,83
3,4:18.0,,D. Wright enters the game for F. VanVleet,70,83
3,4:10.0,,G. Monroe misses 2-pt hook shot from 2 ft,70,83
3,4:06.0,Defensive rebound by T. Harris,,70,83
3,4:01.0,T. Harris misses 2-pt layup from 5 ft,,70,83
3,3:52.0,Offensive rebound by B. Marjanović,,70,83
3,3:52.0,B. Marjanović makes 2-pt layup from 1 ft,,72,83
3,3:44.0,,N. Powell makes 2-pt jump shot from 5 ft,72,85
3,3:25.0,B. Marjanović misses 2-pt layup from 1 ft,,72,85
3,3:23.0,,Defensive rebound by G. Monroe,72,85
3,3:19.0,,Personal foul by P. Beverley (drawn by D. Wright),72,85
3,3:19.0,,D. Wright makes free throw 1 of 2,72,86
3,3:19.0,,D. Wright makes free throw 2 of 2,72,87
3,3:03.0,T. Harris misses 2-pt jump shot from 14 ft,,72,87
3,3:00.0,Offensive rebound by B. Marjanović,,72,87
3,2:59.0,B. Marjanović misses 2-pt layup from 2 ft,,72,87
3,2:58.0,Offensive rebound by T. Harris,,72,87
3,2:58.0,T. Harris misses 2-pt layup from 2 ft (block by N. Powell),,72,87
3,2:58.0,,Defensive rebound by Team,72,87
3,2:58.0,T. Wallace enters the game for P. Beverley,,72,87
3,2:58.0,,C. Miles enters the game for K. Leonard,72,87
3,2:43.0,,N. Powell misses 2-pt jump shot from 6 ft,72,87
3,2:40.0,Defensive rebound by L. Williams,,72,87
3,2:37.0,Personal foul by O. Anunoby (drawn by L. Williams),,72,87
3,2:37.0,L. Williams makes free throw 1 of 2,,73,87
3,2:37.0,L. Williams makes free throw 2 of 2,,74,87
3,2:20.0,,Shooting foul by T. Harris (drawn by C. Miles),74,87
3,2:20.0,,C. Miles makes free throw 1 of 2,74,88
3,2:20.0,J. Robinson enters the game for T. Harris,,74,88
3,2:20.0,,C. Miles makes free throw 2 of 2,74,89
3,2:10.0,L. Williams makes 2-pt jump shot from 8 ft,,76,89
3,1:59.0,,G. Monroe makes 2-pt layup from 2 ft,76,91
3,1:49.0,Turnover by L. Williams (bad pass; steal by C. Miles),,76,91
3,1:44.0,,D. Wright makes 2-pt layup from 1 ft (assist by C. Miles),76,93
3,1:30.0,M. Scott misses 3-pt jump shot from 26 ft,,76,93
3,1:27.0,,Defensive rebound by G. Monroe,76,93
3,1:12.0,,O. Anunoby makes 2-pt layup at rim,76,95
3,0:59.0,L. Williams makes 2-pt layup from 1 ft,,78,95
3,0:59.0,Shooting foul by G. Monroe (drawn by L. Williams),,78,95
3,0:59.0,M. Harrell enters the game for B. Marjanović,,78,95
3,0:59.0,L. Williams misses free throw 1 of 1,,78,95
3,0:57.0,,Defensive rebound by O. Anunoby,78,95
3,0:42.0,,G. Monroe makes 2-pt jump shot from 13 ft (assist by D. Wright),78,97
3,0:36.0,T. Wallace makes 2-pt hook shot from 6 ft (assist by L. Williams),,80,97
3,0:30.0,,N. Powell misses 3-pt jump shot from 28 ft,80,97
3,0:29.0,Defensive rebound by Team,,80,97
3,0:10.0,L. Williams misses 2-pt jump shot from 17 ft,,80,97
3,0:07.0,,Defensive rebound by D. Wright,80,97
3,0:04.0,,D. Wright misses 2-pt layup from 2 ft (block by M. Harrell),80,97
3,0:04.0,,Offensive rebound by C. Miles,80,97
3,0:00.0,,C. Miles misses 3-pt jump shot from 26 ft,80,97
3,0:00.0,,Offensive rebound by Team,80,97
4,11:41.0,,N. Powell misses 2-pt layup from 2 ft,80,97
4,11:38.0,Defensive rebound by T. Wallace,,80,97
4,11:34.0,M. Scott misses 2-pt layup from 1 ft,,80,97
4,11:32.0,,Defensive rebound by G. Monroe,80,97
4,11:17.0,,D. Wright makes 2-pt layup at rim,80,99
4,11:04.0,J. Robinson misses 3-pt jump shot from 24 ft,,80,99
4,11:01.0,,Defensive rebound by O. Anunoby,80,99
4,10:47.0,,Shooting foul by J. Robinson (drawn by O. Anunoby),80,99
4,10:47.0,,O. Anunoby makes free throw 1 of 2,80,100
4,10:47.0,,O. Anunoby makes free throw 2 of 2,80,101
4,10:28.0,L. Williams makes 2-pt hook shot from 4 ft,,82,101
4,10:20.0,,Shooting foul by M. Harrell (drawn by C. Miles),82,101
4,10:20.0,,C. Miles makes free throw 1 of 2,82,102
4,10:20.0,P. Beverley enters the game for J. Robinson,,82,102
4,10:20.0,A. Bradley enters the game for M. Scott,,82,102
4,10:20.0,T. Harris enters the game for T. Wallace,,82,102
4,10:20.0,,C. Miles makes free throw 2 of 2,82,103
4,10:14.0,Turnover by L. Williams (lost ball; steal by D. Wright),,82,103
4,10:09.0,,N. Powell makes 2-pt layup from 1 ft (assist by D. Wright),82,105
4,9:47.0,Shooting foul by O. Anunoby (drawn by T. Harris),,82,105
4,9:47.0,T. Harris makes free throw 1 of 2,,83,105
4,9:47.0,B. Marjanović enters the game for L. Williams,,83,105
4,9:47.0,T. Harris makes free throw 2 of 2,,84,105
4,9:29.0,,Shooting foul by M. Harrell (drawn by G. Monroe),84,105
4,9:29.0,,G. Monroe makes free throw 1 of 2,84,106
4,9:29.0,,G. Monroe misses free throw 2 of 2,84,106
4,9:28.0,Defensive rebound by B. Marjanović,,84,106
4,9:28.0,Turnover by B. Marjanović (lost ball; steal by D. Wright),,84,106
