QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
1,6:03.0,S. Curry makes 3-pt jump shot from 26 ft (assist by A. Iguodala),,15,6
1,5:51.0,,Turnover by J. Collins (bad pass),15,6
1,5:51.0,J. Bell enters the game for K. Looney,,15,6
1,5:33.0,K. Durant makes 2-pt jump shot from 15 ft,,17,6
1,5:18.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Prince),17,9
1,4:55.0,A. Iguodala misses 2-pt jump shot from 14 ft,,17,9
1,4:54.0,Offensive rebound by Team,,17,9
1,4:54.0,,V. Carter enters the game for J. Collins,17,9
1,4:45.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Thompson),,19,9
1,4:28.0,,T. Prince makes 2-pt jump shot from 12 ft,19,11
1,4:18.0,S. Curry makes 2-pt layup from 1 ft (assist by K. Durant),,21,11
1,4:18.0,,Atlanta full timeout,21,11
1,4:18.0,J. Jerebko enters the game for A. Iguodala,,21,11
1,4:18.0,S. Livingston enters the game for K. Thompson,,21,11
1,4:07.0,,V. Carter makes 2-pt layup from 1 ft (assist by J. Lin),21,13
1,3:54.0,K. Durant makes 2-pt jump shot from 13 ft (assist by J. Jerebko),,23,13
1,3:47.0,,Turnover by J. Lin (lost ball; steal by S. Curry),23,13
1,3:45.0,Personal foul by T. Prince (drawn by S. Curry),,23,13
1,3:45.0,,D. Bembry enters the game for T. Prince,23,13
1,3:38.0,S. Curry makes 3-pt jump shot from 25 ft,,26,13
1,3:26.0,,Turnover by K. Bazemore (bad pass),26,13
1,3:18.0,S. Curry misses 3-pt jump shot from 26 ft,,26,13
1,3:14.0,,Defensive rebound by J. Lin,26,13
1,3:08.0,,Personal foul by J. Jerebko (drawn by A. Len),26,13
1,2:55.0,,D. Bembry misses 3-pt jump shot from 26 ft,26,13
1,2:51.0,Defensive rebound by K. Durant,,26,13
1,2:40.0,Personal foul by A. Len (drawn by J. Bell),,26,13
1,2:40.0,,O. Spellman enters the game for A. Len,26,13
1,2:32.0,Shooting foul by K. Bazemore (drawn by S. Curry),,26,13
1,2:32.0,S. Curry makes free throw 1 of 2,,27,13
1,2:32.0,S. Curry makes free throw 2 of 2,,28,13
1,2:21.0,,V. Carter makes 2-pt layup from 1 ft (assist by J. Lin),28,15
1,2:01.0,Shooting foul by J. Lin (drawn by S. Livingston),,28,15
1,2:01.0,S. Livingston makes free throw 1 of 2,,29,15
1,2:01.0,Q. Cook enters the game for S. Curry,,29,15
1,2:01.0,S. Livingston makes free throw 2 of 2,,30,15
1,1:49.0,,V. Carter misses 3-pt jump shot from 26 ft,30,15
1,1:46.0,Defensive rebound by Q. Cook,,30,15
1,1:34.0,J. Bell misses 2-pt layup from 1 ft (block by K. Bazemore),,30,15
1,1:30.0,Offensive rebound by J. Bell,,30,15
1,1:30.0,J. Bell misses 2-pt layup from 2 ft,,30,15
1,1:30.0,,Defensive rebound by J. Lin,30,15
1,1:25.0,,K. Bazemore misses 3-pt jump shot from 26 ft,30,15
1,1:22.0,Defensive rebound by K. Durant,,30,15
1,1:12.0,K. Durant makes 2-pt jump shot from 18 ft,,32,15
1,0:58.0,,K. Bazemore misses 2-pt layup from 8 ft (block by S. Livingston),32,15
1,0:58.0,Defensive rebound by Team,,32,15
1,0:42.0,Personal foul by J. Lin (drawn by K. Durant),,32,15
1,0:42.0,K. Durant makes free throw 1 of 2,,33,15
1,0:42.0,K. Durant makes free throw 2 of 2,,34,15
1,0:23.0,,J. Lin makes 2-pt layup from 2 ft (assist by O. Spellman),34,17
1,0:02.0,K. Durant misses 3-pt jump shot from 37 ft,,34,17
1,0:00.0,,Defensive rebound by Team,34,17
2,11:38.0,Q. Cook misses 2-pt dunk from 7 ft,,34,17
2,11:33.0,,Defensive rebound by D. Bembry,34,17
2,11:31.0,,T. Young misses 3-pt jump shot from 25 ft,34,17
2,11:27.0,Defensive rebound by K. Looney,,34,17
2,11:14.0,Q. Cook misses 2-pt jump shot from 21 ft,,34,17
2,11:11.0,,Defensive rebound by D. Dedmon,34,17
2,11:08.0,,Personal foul by Q. Cook (drawn by T. Young),34,17
2,11:01.0,,D. Bembry makes 2-pt dunk from 1 ft (assist by V. Carter),34,19
2,10:42.0,K. Thompson misses 2-pt jump shot from 19 ft,,34,19
2,10:42.0,,Defensive rebound by K. Huerter,34,19
2,10:34.0,,T. Young misses 3-pt jump shot from 23 ft,34,19
2,10:31.0,Defensive rebound by K. Looney,,34,19
2,10:25.0,K. Thompson misses 2-pt jump shot from 8 ft (block by D. Dedmon),,34,19
2,10:21.0,,Defensive rebound by K. Huerter,34,19
2,10:19.0,,T. Young makes 2-pt layup from 1 ft (assist by K. Huerter),34,21
2,10:06.0,K. Thompson misses 2-pt jump shot from 21 ft,,34,21
2,10:04.0,,Defensive rebound by V. Carter,34,21
2,9:58.0,,D. Dedmon misses 2-pt layup from 1 ft (block by K. Looney),34,21
2,9:58.0,,Offensive rebound by Team,34,21
2,9:52.0,,V. Carter misses 3-pt jump shot from 26 ft,34,21
2,9:50.0,Defensive rebound by J. Jerebko,,34,21
2,9:34.0,S. Livingston misses 2-pt jump shot from 14 ft,,34,21
2,9:31.0,,Defensive rebound by D. Dedmon,34,21
2,9:28.0,,Shooting foul by Q. Cook (drawn by T. Young),34,21
2,9:28.0,,T. Young misses free throw 1 of 2,34,21
2,9:28.0,,Offensive rebound by Team,34,21
2,9:28.0,,J. Collins enters the game for V. Carter,34,21
2,9:28.0,,T. Young makes free throw 2 of 2,34,22
2,9:18.0,Q. Cook misses 2-pt jump shot from 21 ft,,34,22
2,9:12.0,,Defensive rebound by J. Collins,34,22
2,9:05.0,,Turnover by T. Young (lost ball; steal by K. Looney),34,22
2,9:00.0,Q. Cook makes 2-pt layup from 2 ft (assist by S. Livingston),,36,22
2,9:00.0,,Atlanta full timeout,36,22
2,8:44.0,,D. Bembry misses 2-pt layup from 2 ft,36,22
2,8:42.0,,Offensive rebound by D. Bembry,36,22
2,8:42.0,,Shooting foul by K. Looney (drawn by D. Bembry),36,22
2,8:42.0,,D. Bembry makes free throw 1 of 2,36,23
2,8:42.0,,D. Bembry makes free throw 2 of 2,36,24
2,8:25.0,K. Looney makes 2-pt jump shot from 14 ft (assist by S. Livingston),,38,24
2,8:11.0,,K. Huerter misses 3-pt jump shot from 25 ft,38,24
2,8:09.0,,Offensive rebound by D. Dedmon,38,24
2,8:06.0,,J. Collins makes 2-pt layup from 4 ft (assist by D. Dedmon),38,26
2,7:57.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Looney),,41,26
2,7:41.0,,T. Young makes 2-pt layup from 15 ft,41,28
2,7:29.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Livingston),,43,28
2,7:11.0,,J. Collins makes 2-pt dunk at rim (assist by K. Huerter),43,30
2,7:04.0,Shooting foul by D. Bembry (drawn by K. Thompson),,43,30
2,7:04.0,K. Thompson makes free throw 1 of 2,,44,30
2,7:04.0,S. Curry enters the game for Q. Cook,,44,30
2,7:04.0,D. Lee enters the game for S. Livingston,,44,30
2,7:04.0,,T. Prince enters the game for D. Bembry,44,30
2,7:04.0,K. Thompson makes free throw 2 of 2,,45,30
2,7:04.0,J. Bell enters the game for K. Looney,,45,30
2,6:40.0,,Turnover by K. Huerter (lost ball; steal by J. Bell),45,30
2,6:32.0,Turnover by S. Curry (bad pass),,45,30
2,6:28.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),45,32
2,6:26.0,Golden State full timeout,,45,32
2,6:26.0,K. Durant enters the game for J. Jerebko,,45,32
2,6:26.0,A. Iguodala enters the game for K. Thompson,,45,32
2,6:13.0,J. Bell misses 2-pt jump shot from 2 ft (block by K. Huerter),,45,32
2,6:09.0,,Defensive rebound by J. Collins,45,32
2,5:56.0,,J. Collins makes 2-pt jump shot from 13 ft,45,34
2,5:43.0,S. Curry misses 3-pt jump shot from 26 ft,,45,34
2,5:39.0,,Defensive rebound by D. Dedmon,45,34
2,5:29.0,,T. Young misses 2-pt layup from 1 ft (block by J. Bell),45,34
2,5:29.0,,Offensive rebound by Team,45,34
2,5:27.0,,Personal foul by S. Curry (drawn by T. Young),45,34
2,5:20.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),45,36
2,5:09.0,S. Curry makes 2-pt layup from 1 ft,,47,36
2,4:59.0,,T. Young makes 2-pt layup from 1 ft,47,38
2,4:48.0,Turnover by J. Bell (bad pass; steal by D. Dedmon),,47,38
2,4:45.0,,Offensive foul by T. Young (drawn by D. Lee),47,38
2,4:45.0,,Turnover by T. Young (offensive foul),47,38
2,4:36.0,K. Durant makes 2-pt dunk from 1 ft (assist by A. Iguodala),,49,38
2,4:24.0,,T. Young makes 2-pt jump shot from 18 ft,49,40
2,4:16.0,D. Lee misses 3-pt jump shot from 23 ft,,49,40
2,4:14.0,,Defensive rebound by K. Huerter,49,40
2,4:07.0,,T. Prince misses 3-pt jump shot from 22 ft,49,40
2,4:04.0,Defensive rebound by J. Bell,,49,40
2,3:57.0,S. Curry misses 3-pt jump shot from 25 ft,,49,40
2,3:53.0,,Defensive rebound by J. Collins,49,40
2,3:36.0,,K. Huerter makes 2-pt jump shot from 13 ft,49,42
2,3:26.0,Golden State full timeout,,49,42
2,3:26.0,K. Looney enters the game for J. Bell,,49,42
2,3:26.0,K. Thompson enters the game for D. Lee,,49,42
2,3:15.0,Turnover by S. Curry (bad pass),,49,42
2,2:57.0,,D. Dedmon misses 2-pt layup from 9 ft (block by A. Iguodala),49,42
2,2:54.0,Defensive rebound by K. Thompson,,49,42
2,2:41.0,K. Thompson misses 2-pt jump shot from 21 ft,,49,42
2,2:34.0,Offensive rebound by A. Iguodala,,49,42
2,2:34.0,A. Iguodala makes 2-pt dunk at rim,,51,42
2,2:30.0,,Personal foul by S. Curry (drawn by T. Young),51,42
2,2:30.0,,T. Young misses free throw 1 of 2,51,42
2,2:30.0,,Offensive rebound by Team,51,42
2,2:30.0,Q. Cook enters the game for S. Curry,,51,42
2,2:30.0,,V. Carter enters the game for D. Dedmon,51,42
2,2:30.0,,T. Young makes free throw 2 of 2,51,43
2,2:16.0,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),,53,43
2,2:06.0,,Turnover by T. Young (lost ball; steal by Q. Cook),53,43
2,1:53.0,K. Looney makes 2-pt dunk at rim (assist by K. Durant),,55,43
2,1:41.0,,Personal foul by Q. Cook (drawn by T. Young),55,43
2,1:41.0,,T. Young makes free throw 1 of 2,55,44
2,1:41.0,J. Jerebko enters the game for Q. Cook,,55,44
2,1:41.0,,K. Bazemore enters the game for J. Collins,55,44
2,1:41.0,,D. Dedmon enters the game for K. Huerter,55,44
2,1:41.0,,T. Young makes free throw 2 of 2,55,45
2,1:27.0,Turnover by K. Durant (bad pass; steal by D. Dedmon),,55,45
2,1:20.0,,Turnover by T. Prince (bad pass),55,45
2,1:20.0,,J. Lin enters the game for T. Young,55,45
2,1:04.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Looney),,58,45
2,0:43.0,,J. Lin misses 2-pt jump shot from 17 ft,58,45
2,0:41.0,Defensive rebound by J. Jerebko,,58,45
2,0:36.0,K. Durant makes 3-pt jump shot from 25 ft,,61,45
2,0:27.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by K. Bazemore),61,47
2,0:06.0,Personal foul by J. Lin (drawn by A. Iguodala),,61,47
2,0:06.0,S. Curry enters the game for K. Looney,,61,47
2,0:06.0,,D. Bembry enters the game for J. Lin,61,47
2,0:02.0,S. Curry misses 3-pt jump shot from 25 ft,,61,47
2,0:02.0,,Defensive rebound by D. Dedmon,61,47
3,11:44.0,Turnover by K. Durant (lost ball; steal by T. Prince),,61,47
3,11:41.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Prince),61,49
3,11:28.0,K. Thompson makes 2-pt jump shot from 8 ft,,63,49
3,11:06.0,,T. Prince misses 3-pt jump shot from 23 ft,63,49
3,11:03.0,Defensive rebound by K. Durant,,63,49
3,10:54.0,Turnover by K. Thompson (lost ball; steal by K. Huerter),,63,49
3,10:50.0,,T. Young misses 2-pt layup from 1 ft,63,49
3,10:48.0,,Offensive rebound by J. Collins,63,49
3,10:48.0,,J. Collins makes 2-pt dunk at rim,63,51
3,10:48.0,Golden State full timeout,,63,51
3,10:48.0,,Technical foul by S. Kerr,63,51
3,10:48.0,,T. Prince makes technical free throw,63,52
3,10:34.0,K. Durant misses 2-pt jump shot from 20 ft,,63,52
3,10:31.0,,Defensive rebound by D. Dedmon,63,52
3,10:28.0,,K. Huerter makes 2-pt jump shot at rim (assist by T. Young),63,54
3,10:15.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Thompson),,65,54
3,10:01.0,,D. Dedmon misses 2-pt layup from 2 ft,65,54
3,9:58.0,Defensive rebound by K. Thompson,,65,54
3,9:55.0,Personal foul by K. Huerter (drawn by K. Thompson),,65,54
3,9:50.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),,67,54
3,9:34.0,,Personal foul by A. Iguodala (drawn by T. Prince),67,54
3,9:29.0,,T. Young misses 3-pt jump shot from 25 ft,67,54
3,9:26.0,Defensive rebound by K. Thompson,,67,54
3,9:20.0,K. Looney makes 2-pt layup from 1 ft (assist by A. Iguodala),,69,54
3,9:10.0,,Turnover by T. Young (bad pass),69,54
3,8:54.0,Turnover by K. Looney (out of bounds lost ball),,69,54
3,8:39.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),69,56
3,8:39.0,,Shooting foul by K. Durant (drawn by J. Collins),69,56
3,8:39.0,,J. Collins makes free throw 1 of 1,69,57
3,8:25.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),,71,57
3,8:12.0,,T. Young makes 2-pt layup from 1 ft,71,59
3,7:57.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,74,59
3,7:38.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by J. Collins),74,62
3,7:26.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Looney),,77,62
3,7:26.0,,Atlanta full timeout,77,62
3,7:26.0,,D. Bembry enters the game for J. Collins,77,62
3,7:26.0,,V. Carter enters the game for K. Huerter,77,62
3,7:26.0,,J. Lin enters the game for T. Young,77,62
3,7:09.0,,D. Dedmon misses 2-pt hook shot from 9 ft,77,62
3,7:06.0,Defensive rebound by S. Curry,,77,62
3,6:52.0,K. Durant makes 2-pt jump shot from 21 ft,,79,62
3,6:32.0,,T. Prince makes 2-pt jump shot from 18 ft,79,64
3,6:21.0,K. Thompson misses 3-pt jump shot from 23 ft,,79,64
3,6:19.0,,Defensive rebound by J. Lin,79,64
3,6:05.0,,Turnover by J. Lin (bad pass; steal by A. Iguodala),79,64
3,6:00.0,K. Durant makes 2-pt layup from 7 ft,,81,64
3,5:34.0,,D. Dedmon misses 2-pt jump shot from 7 ft,81,64
3,5:34.0,Defensive rebound by A. Iguodala,,81,64
3,5:32.0,Personal foul by T. Prince (drawn by A. Iguodala),,81,64
3,5:32.0,J. Bell enters the game for K. Looney,,81,64
3,5:32.0,,K. Bazemore enters the game for D. Dedmon,81,64
3,5:32.0,,O. Spellman enters the game for T. Prince,81,64
3,5:28.0,Personal foul by K. Bazemore (drawn by S. Curry),,81,64
3,5:23.0,J. Bell makes 2-pt dunk from 1 ft (assist by S. Curry),,83,64
3,5:09.0,,Personal foul by A. Iguodala (drawn by K. Bazemore),83,64
3,4:54.0,,Turnover by Team (shot clock),83,64
3,4:47.0,Shooting foul by O. Spellman (drawn by S. Curry),,83,64
3,4:47.0,S. Curry makes free throw 1 of 2,,84,64
3,4:47.0,,J. Collins enters the game for O. Spellman,84,64
3,4:47.0,S. Curry makes free throw 2 of 2,,85,64
3,4:33.0,,V. Carter misses 2-pt layup from 2 ft,85,64
3,4:32.0,,Offensive rebound by J. Collins,85,64
3,4:31.0,,J. Collins misses 2-pt layup from 2 ft (block by A. Iguodala),85,64
3,4:31.0,,Offensive rebound by Team,85,64
3,4:31.0,J. Jerebko enters the game for A. Iguodala,,85,64
3,4:31.0,S. Livingston enters the game for K. Thompson,,85,64
3,4:21.0,,J. Lin misses 2-pt layup from 3 ft,85,64
3,4:18.0,Defensive rebound by J. Bell,,85,64
3,4:01.0,K. Durant makes 2-pt dunk from 2 ft (assist by J. Bell),,87,64
3,3:51.0,,Shooting foul by J. Jerebko (drawn by J. Collins),87,64
3,3:51.0,,J. Collins misses free throw 1 of 2,87,64
3,3:51.0,,Offensive rebound by Team,87,64
3,3:51.0,,J. Collins makes free throw 2 of 2,87,65
3,3:32.0,S. Curry misses 2-pt layup from 1 ft,,87,65
3,3:30.0,,Defensive rebound by J. Collins,87,65
3,3:27.0,,K. Bazemore misses 3-pt jump shot from 25 ft,87,65
3,3:20.0,Defensive rebound by S. Curry,,87,65
3,3:17.0,K. Durant makes 2-pt dunk from 1 ft (assist by J. Bell),,89,65
3,3:12.0,,Turnover by K. Bazemore (bad pass; steal by S. Livingston),89,65
3,3:03.0,S. Curry misses 2-pt jump shot from 20 ft,,89,65
3,2:59.0,Offensive rebound by S. Livingston,,89,65
3,2:48.0,Turnover by K. Durant (bad pass; steal by D. Bembry),,89,65
3,2:46.0,,D. Bembry makes 2-pt dunk from 2 ft,89,67
3,2:31.0,Shooting foul by D. Bembry (drawn by K. Durant),,89,67
3,2:31.0,K. Durant makes free throw 1 of 2,,90,67
3,2:31.0,Q. Cook enters the game for S. Curry,,90,67
3,2:31.0,K. Durant makes free throw 2 of 2,,91,67
3,2:21.0,,J. Collins makes 2-pt layup from 1 ft (assist by V. Carter),91,69
3,2:20.0,,Violation by Team (delay of game),91,69
3,1:59.0,Turnover by J. Bell (out of bounds lost ball),,91,69
3,1:48.0,,J. Lin makes 2-pt layup from 1 ft (assist by D. Bembry),91,71
3,1:48.0,,Shooting foul by J. Bell (drawn by J. Lin),91,71
3,1:48.0,,J. Lin makes free throw 1 of 1,91,72
3,1:41.0,Turnover by S. Livingston (bad pass; steal by J. Lin),,91,72
3,1:38.0,,J. Lin makes 2-pt layup from 1 ft,91,74
3,1:31.0,Offensive foul by Q. Cook (drawn by J. Lin),,91,74
3,1:31.0,Turnover by Q. Cook (offensive foul),,91,74
3,1:31.0,D. Lee enters the game for Q. Cook,,91,74
3,1:25.0,,V. Carter misses 3-pt jump shot from 25 ft,91,74
3,1:22.0,,Offensive rebound by J. Collins,91,74
3,1:17.0,,V. Carter misses 2-pt jump shot from 11 ft,91,74
3,1:15.0,Defensive rebound by Team,,91,74
3,1:04.0,Personal foul by D. Bembry (drawn by K. Durant),,91,74
3,1:04.0,K. Durant makes free throw 1 of 2,,92,74
3,1:04.0,K. Durant misses free throw 2 of 2,,92,74
3,1:02.0,,Defensive rebound by J. Collins,92,74
3,0:47.0,,J. Collins misses 2-pt jump shot from 13 ft,92,74
3,0:44.0,Defensive rebound by K. Durant,,92,74
3,0:40.0,Personal foul by D. Bembry (drawn by K. Durant),,92,74
3,0:40.0,K. Durant makes free throw 1 of 2,,93,74
3,0:40.0,,T. Prince enters the game for D. Bembry,93,74
3,0:40.0,K. Durant makes free throw 2 of 2,,94,74
3,0:34.0,,J. Lin makes 2-pt layup at rim,94,76
3,0:34.0,,Shooting foul by D. Lee (drawn by J. Lin),94,76
3,0:34.0,,J. Lin makes free throw 1 of 1,94,77
3,0:23.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by K. Durant),,97,77
3,0:01.0,,V. Carter misses 2-pt layup from 1 ft,97,77
3,0:01.0,Defensive rebound by J. Bell,,97,77
4,11:46.0,,T. Young misses 2-pt layup from 2 ft,97,77
4,11:43.0,,Offensive rebound by D. Dedmon,97,77
4,11:42.0,,D. Dedmon makes 2-pt layup from 1 ft,97,79
4,11:28.0,K. Looney makes 2-pt jump shot from 15 ft (assist by S. Livingston),,99,79
4,11:10.0,,T. Young misses 2-pt layup from 1 ft,99,79
4,11:07.0,Defensive rebound by K. Thompson,,99,79
4,11:00.0,K. Thompson makes 2-pt jump shot from 13 ft,,101,79
4,10:37.0,,T. Prince misses 2-pt layup from 4 ft,101,79
4,10:34.0,Defensive rebound by J. Jerebko,,101,79
4,10:31.0,J. Jerebko makes 2-pt layup from 1 ft (assist by S. Livingston),,103,79
4,10:31.0,,Atlanta full timeout,103,79
4,10:19.0,,Shooting foul by D. Lee (drawn by K. Huerter),103,79
4,10:19.0,,K. Huerter makes free throw 1 of 2,103,80
4,10:19.0,,K. Huerter makes free throw 2 of 2,103,81
4,10:06.0,J. Jerebko makes 2-pt jump shot from 18 ft (assist by K. Looney),,105,81
4,9:59.0,,T. Young misses 2-pt jump shot from 12 ft,105,81
4,9:56.0,Defensive rebound by J. Jerebko,,105,81
4,9:50.0,Turnover by K. Thompson (bad pass),,105,81
4,9:36.0,,T. Prince misses 3-pt jump shot from 25 ft,105,81
4,9:32.0,,Offensive rebound by K. Huerter,105,81
4,9:30.0,,K. Huerter makes 2-pt dunk from 1 ft,105,83
4,9:17.0,Turnover by S. Livingston (bad pass; steal by D. Dedmon),,105,83
4,9:14.0,,T. Young makes 2-pt layup from 1 ft (assist by K. Huerter),105,85
4,9:14.0,Golden State full timeout,,105,85
4,9:14.0,S. Curry enters the game for D. Lee,,105,85
4,9:14.0,,J. Collins enters the game for K. Bazemore,105,85
4,9:14.0,,J. Lin enters the game for T. Young,105,85
4,8:57.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by K. Looney),,108,85
4,8:31.0,,T. Prince makes 3-pt jump shot from 25 ft,108,88
4,8:23.0,Personal foul by K. Huerter (drawn by K. Thompson),,108,88
4,8:18.0,K. Thompson misses 2-pt layup from 9 ft (block by J. Collins),,108,88
4,8:13.0,Offensive rebound by K. Looney,,108,88
4,8:11.0,S. Curry misses 2-pt jump shot from 20 ft,,108,88
4,8:08.0,,Defensive rebound by D. Dedmon,108,88
4,7:58.0,,J. Collins makes 2-pt layup from 3 ft,108,90
4,7:41.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by J. Jerebko),,110,90
4,7:25.0,,T. Prince makes 3-pt jump shot from 25 ft,110,93
4,7:19.0,Personal take foul by J. Collins (drawn by K. Thompson),,110,93
4,7:19.0,K. Durant enters the game for S. Livingston,,110,93
4,7:19.0,,K. Bazemore enters the game for T. Prince,110,93
4,7:04.0,Shooting foul by D. Dedmon (drawn by K. Looney),,110,93
4,7:04.0,K. Looney misses free throw 1 of 2,,110,93
4,7:04.0,Offensive rebound by Team,,110,93
4,7:04.0,K. Looney misses free throw 2 of 2,,110,93
4,7:02.0,,Defensive rebound by J. Collins,110,93
4,6:49.0,,K. Bazemore misses 2-pt jump shot from 19 ft,110,93
4,6:45.0,Defensive rebound by K. Thompson,,110,93
4,6:40.0,Turnover by S. Curry (bad pass; steal by D. Dedmon),,110,93
4,6:35.0,,K. Bazemore misses 3-pt jump shot from 23 ft,110,93
4,6:31.0,Defensive rebound by J. Jerebko,,110,93
4,6:19.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by K. Durant),,112,93
4,6:05.0,,J. Lin misses 2-pt jump shot from 17 ft (block by J. Jerebko),112,93
4,6:02.0,Defensive rebound by S. Curry,,112,93
4,5:58.0,S. Curry makes 2-pt layup from 1 ft,,114,93
4,5:57.0,,Atlanta full timeout,114,93
4,5:57.0,,T. Young enters the game for K. Bazemore,114,93
4,5:46.0,,Personal foul by S. Curry (drawn by T. Young),114,93
4,5:42.0,,T. Young misses 2-pt layup from 2 ft (block by K. Looney),114,93
4,5:39.0,Defensive rebound by K. Durant,,114,93
4,5:39.0,Personal foul by K. Huerter (drawn by K. Durant),,114,93
4,5:34.0,Offensive foul by K. Durant (drawn by J. Lin),,114,93
4,5:34.0,Turnover by K. Durant (offensive foul),,114,93
4,5:21.0,,J. Collins makes 2-pt layup from 2 ft,114,95
4,5:03.0,K. Thompson misses 2-pt jump shot from 12 ft,,114,95
4,5:02.0,Offensive rebound by Team,,114,95
4,5:02.0,,Loose ball foul by D. Dedmon (drawn by J. Jerebko),114,95
4,5:02.0,J. Jerebko makes free throw 1 of 2,,115,95
4,5:02.0,J. Jerebko makes free throw 2 of 2,,116,95
4,4:47.0,,K. Huerter misses 3-pt jump shot from 26 ft,116,95
4,4:44.0,Defensive rebound by K. Thompson,,116,95
4,4:37.0,S. Curry makes 3-pt jump shot from 26 ft,,119,95
4,4:25.0,,Turnover by K. Huerter (bad pass; steal by K. Thompson),119,95
4,4:16.0,Turnover by K. Durant (bad pass),,119,95
4,4:16.0,J. Bell enters the game for S. Curry,,119,95
4,4:16.0,Q. Cook enters the game for J. Jerebko,,119,95
4,4:16.0,D. Lee enters the game for K. Looney,,119,95
