QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
1,6:14.0,Defensive rebound by B. Beal,,17,7
1,6:07.0,Shooting foul by K. Towns (drawn by J. Green),,17,7
1,6:07.0,J. Green makes free throw 1 of 2,,18,7
1,6:07.0,J. Green makes free throw 2 of 2,,19,7
1,5:54.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by D. Šarić),19,9
1,5:31.0,J. Green misses 2-pt jump shot from 23 ft,,19,9
1,5:28.0,,Defensive rebound by K. Towns,19,9
1,5:18.0,,Personal foul by T. Ariza (drawn by J. Teague),19,9
1,5:18.0,,D. Rose enters the game for J. Okogie,19,9
1,5:08.0,,D. Šarić misses 2-pt layup from 2 ft (block by B. Beal),19,9
1,5:04.0,,Offensive rebound by D. Šarić,19,9
1,5:03.0,,D. Šarić makes 2-pt layup from 1 ft,19,11
1,4:57.0,B. Portis makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,22,11
1,4:42.0,,D. Rose misses 3-pt jump shot from 25 ft,22,11
1,4:37.0,,Offensive rebound by D. Šarić,22,11
1,4:35.0,,K. Towns misses 3-pt jump shot from 22 ft,22,11
1,4:35.0,Defensive rebound by T. Satoranský,,22,11
1,4:32.0,J. Green makes 2-pt layup at rim (assist by T. Satoranský),,24,11
1,4:32.0,Shooting foul by J. Teague (drawn by J. Green),,24,11
1,4:32.0,,Technical foul by J. Teague,24,11
1,4:32.0,B. Beal makes technical free throw,,25,11
1,4:32.0,T. Brown enters the game for T. Satoranský,,25,11
1,4:32.0,,T. Gibson enters the game for D. Šarić,25,11
1,4:32.0,,T. Jones enters the game for J. Teague,25,11
1,4:32.0,J. Green misses free throw 1 of 1,,25,11
1,4:16.0,,Defensive rebound by T. Gibson,25,11
1,4:10.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),25,13
1,4:10.0,,Shooting foul by J. Green (drawn by K. Towns),25,13
1,4:10.0,,K. Towns makes free throw 1 of 1,25,14
1,3:53.0,B. Portis makes 3-pt jump shot from 25 ft (assist by B. Beal),,28,14
1,3:46.0,,Shooting foul by T. Ariza (drawn by D. Rose),28,14
1,3:46.0,,D. Rose misses free throw 1 of 2,28,14
1,3:46.0,,Offensive rebound by Team,28,14
1,3:46.0,S. Dekker enters the game for T. Ariza,,28,14
1,3:46.0,J. Parker enters the game for J. Green,,28,14
1,3:46.0,,D. Rose makes free throw 2 of 2,28,15
1,3:29.0,B. Portis makes 2-pt layup from 1 ft,,30,15
1,3:12.0,,K. Towns makes 2-pt hook shot from 6 ft,30,17
1,3:07.0,Washington full timeout,,30,17
1,2:53.0,B. Beal misses 3-pt jump shot from 24 ft,,30,17
1,2:49.0,,Defensive rebound by T. Gibson,30,17
1,2:40.0,,T. Gibson misses 2-pt layup from 3 ft,30,17
1,2:37.0,,Offensive rebound by T. Gibson,30,17
1,2:37.0,,T. Gibson makes 2-pt layup at rim,30,19
1,2:25.0,S. Dekker misses 2-pt layup from 5 ft (block by K. Towns),,30,19
1,2:23.0,,Defensive rebound by K. Bates-Diop,30,19
1,2:19.0,,K. Bates-Diop makes 2-pt jump shot from 7 ft,30,21
1,2:02.0,B. Portis misses 3-pt jump shot from 25 ft,,30,21
1,2:00.0,,Defensive rebound by T. Gibson,30,21
1,1:59.0,,Personal foul by B. Portis (drawn by K. Towns),30,21
1,1:59.0,T. Bryant enters the game for B. Portis,,30,21
1,1:54.0,,D. Rose makes 2-pt jump shot from 11 ft,30,23
1,1:36.0,Shooting foul by T. Gibson (drawn by B. Beal),,30,23
1,1:36.0,B. Beal makes free throw 1 of 2,,31,23
1,1:36.0,B. Beal makes free throw 2 of 2,,32,23
1,1:19.0,,K. Towns makes 2-pt layup at rim (assist by T. Jones),32,25
1,1:19.0,,Shooting foul by T. Bryant (drawn by K. Towns),32,25
1,1:19.0,,C. Reynolds enters the game for K. Bates-Diop,32,25
1,1:19.0,,K. Towns makes free throw 1 of 1,32,26
1,1:04.0,J. Parker makes 3-pt jump shot from 24 ft (assist by B. Beal),,35,26
1,0:47.0,,T. Gibson makes 2-pt layup from 2 ft,35,28
1,0:38.0,B. Beal makes 2-pt jump shot from 15 ft,,37,28
1,0:30.0,,T. Jones misses 3-pt jump shot from 25 ft,37,28
1,0:27.0,Defensive rebound by S. Dekker,,37,28
1,0:10.0,B. Beal makes 2-pt jump shot from 15 ft,,39,28
1,0:01.0,,Turnover by D. Rose (lost ball; steal by T. Brown),39,28
2,11:45.0,,D. Rose makes 2-pt layup from 2 ft,39,30
2,11:29.0,T. Bryant misses 3-pt jump shot from 24 ft,,39,30
2,11:27.0,,Defensive rebound by A. Tolliver,39,30
2,11:17.0,,D. Rose makes 2-pt jump shot from 19 ft,39,32
2,11:02.0,T. Brown misses 3-pt jump shot from 25 ft,,39,32
2,10:59.0,Offensive rebound by S. Dekker,,39,32
2,10:58.0,S. Dekker misses 2-pt layup from 1 ft,,39,32
2,10:56.0,,Defensive rebound by T. Gibson,39,32
2,10:48.0,,T. Gibson misses 2-pt layup from 2 ft,39,32
2,10:46.0,Defensive rebound by J. Parker,,39,32
2,10:42.0,Shooting foul by C. Reynolds (drawn by T. Bryant),,39,32
2,10:42.0,T. Bryant makes free throw 1 of 2,,40,32
2,10:42.0,T. Bryant makes free throw 2 of 2,,41,32
2,10:26.0,,D. Rose makes 2-pt jump shot from 20 ft (assist by A. Tolliver),41,34
2,10:11.0,J. Parker makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,44,34
2,9:57.0,,D. Rose misses 2-pt jump shot from 18 ft,44,34
2,9:53.0,,Offensive rebound by T. Gibson,44,34
2,9:53.0,,T. Gibson misses 2-pt layup at rim,44,34
2,9:53.0,Defensive rebound by J. Parker,,44,34
2,9:50.0,T. Brown makes 2-pt layup from 1 ft (assist by J. Parker),,46,34
2,9:40.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by T. Jones),46,36
2,9:27.0,Washington full timeout,,46,36
2,9:07.0,T. Bryant misses 2-pt jump shot from 20 ft,,46,36
2,9:06.0,Offensive rebound by Team,,46,36
2,9:06.0,Turnover by Team (shot clock),,46,36
2,8:56.0,,Shooting foul by T. Brown (drawn by T. Gibson),46,36
2,8:56.0,,T. Gibson makes free throw 1 of 2,46,37
2,8:56.0,,T. Gibson misses free throw 2 of 2,46,37
2,8:54.0,Defensive rebound by J. Parker,,46,37
2,8:45.0,J. Parker misses 3-pt jump shot from 25 ft,,46,37
2,8:42.0,,Defensive rebound by A. Tolliver,46,37
2,8:38.0,,C. Reynolds makes 2-pt dunk from 2 ft (assist by T. Jones),46,39
2,8:25.0,S. Dekker makes 2-pt layup at rim (assist by J. Parker),,48,39
2,8:09.0,,D. Rose misses 2-pt layup from 2 ft (block by T. Bryant),48,39
2,8:06.0,,Offensive rebound by T. Gibson,48,39
2,8:06.0,,T. Gibson makes 2-pt layup from 1 ft,48,41
2,7:52.0,T. Bryant makes 2-pt layup from 1 ft (assist by T. Brown),,50,41
2,7:39.0,,T. Jones misses 2-pt jump shot from 9 ft,50,41
2,7:37.0,Defensive rebound by T. Bryant,,50,41
2,7:13.0,Turnover by S. Dekker (lost ball),,50,41
2,7:06.0,,Shooting foul by T. Brown (drawn by T. Jones),50,41
2,7:06.0,,T. Jones makes free throw 1 of 2,50,42
2,7:06.0,T. Ariza enters the game for T. Brown,,50,42
2,7:06.0,B. Beal enters the game for S. Dekker,,50,42
2,7:06.0,,J. Teague enters the game for T. Gibson,50,42
2,7:06.0,,K. Towns enters the game for D. Rose,50,42
2,7:06.0,,T. Jones makes free throw 2 of 2,50,43
2,6:55.0,T. Satoranský misses 2-pt jump shot from 4 ft,,50,43
2,6:55.0,,Defensive rebound by Team,50,43
2,6:55.0,,J. Okogie enters the game for T. Jones,50,43
2,6:44.0,,Personal foul by T. Bryant (drawn by K. Towns),50,43
2,6:44.0,J. Green enters the game for T. Bryant,,50,43
2,6:31.0,,C. Reynolds makes 3-pt jump shot from 26 ft (assist by K. Towns),50,46
2,6:08.0,J. Parker makes 2-pt layup from 1 ft (assist by B. Beal),,52,46
2,5:43.0,,K. Towns makes 3-pt jump shot from 23 ft,52,49
2,5:21.0,J. Parker makes 2-pt layup at rim (assist by B. Beal),,54,49
2,5:11.0,,A. Tolliver misses 3-pt jump shot from 25 ft,54,49
2,5:11.0,Defensive rebound by J. Green,,54,49
2,5:02.0,J. Green misses 2-pt layup from 2 ft,,54,49
2,5:00.0,,Defensive rebound by K. Towns,54,49
2,4:56.0,,C. Reynolds misses 3-pt jump shot from 25 ft,54,49
2,4:56.0,Defensive rebound by Team,,54,49
2,4:56.0,B. Portis enters the game for T. Satoranský,,54,49
2,4:56.0,,D. Šarić enters the game for A. Tolliver,54,49
2,4:40.0,Personal foul by C. Reynolds (drawn by B. Portis),,54,49
2,4:39.0,Turnover by J. Parker (step out of bounds),,54,49
2,4:23.0,,Turnover by J. Teague (bad pass; steal by B. Beal),54,49
2,4:21.0,B. Beal makes 2-pt layup from 1 ft,,56,49
2,4:21.0,,Minnesota full timeout,56,49
2,4:21.0,,K. Bates-Diop enters the game for C. Reynolds,56,49
2,4:01.0,,K. Towns makes 2-pt hook shot from 8 ft,56,51
2,3:38.0,B. Beal makes 2-pt jump shot from 15 ft,,58,51
2,3:29.0,,D. Šarić misses 3-pt jump shot from 25 ft,58,51
2,3:29.0,Defensive rebound by B. Portis,,58,51
2,3:20.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Parker),,61,51
2,3:00.0,,K. Bates-Diop misses 3-pt jump shot from 22 ft,61,51
2,2:57.0,,Offensive rebound by K. Towns,61,51
2,2:57.0,,K. Towns makes 2-pt dunk from 1 ft,61,53
2,2:43.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by B. Beal),,64,53
2,2:32.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),64,56
2,2:12.0,J. Green misses 3-pt jump shot from 25 ft,,64,56
2,2:08.0,Offensive rebound by J. Parker,,64,56
2,2:08.0,J. Parker makes 2-pt dunk at rim,,66,56
2,2:00.0,,Turnover by J. Okogie (bad pass; steal by T. Ariza),66,56
2,1:54.0,T. Ariza misses 2-pt jump shot from 2 ft (block by J. Okogie),,66,56
2,1:54.0,,Defensive rebound by Team,66,56
2,1:43.0,,K. Towns misses 2-pt jump shot from 18 ft,66,56
2,1:41.0,Defensive rebound by J. Parker,,66,56
2,1:36.0,Turnover by J. Parker (out of bounds lost ball),,66,56
2,1:36.0,T. Satoranský enters the game for J. Parker,,66,56
2,1:36.0,,D. Rose enters the game for J. Okogie,66,56
2,1:22.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),66,58
2,1:06.0,B. Portis misses 3-pt jump shot from 25 ft,,66,58
2,1:02.0,,Defensive rebound by D. Rose,66,58
2,1:02.0,,Shooting foul by B. Portis (drawn by K. Towns),66,58
2,1:02.0,,K. Towns makes free throw 1 of 2,66,59
2,1:02.0,,K. Towns makes free throw 2 of 2,66,60
2,0:49.0,J. Green misses 2-pt layup from 3 ft,,66,60
2,0:49.0,Offensive rebound by Team,,66,60
2,0:48.0,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Ariza),,68,60
2,0:42.0,,J. Teague misses 2-pt layup from 4 ft,68,60
2,0:40.0,Defensive rebound by Team,,68,60
2,0:36.0,B. Beal misses 3-pt jump shot from 26 ft,,68,60
2,0:33.0,,Defensive rebound by D. Šarić,68,60
2,0:15.0,,D. Rose misses 2-pt jump shot from 16 ft,68,60
2,0:13.0,Defensive rebound by B. Beal,,68,60
2,0:00.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Portis),,71,60
3,11:48.0,,Personal foul by T. Satoranský (drawn by K. Towns),71,60
3,11:35.0,,J. Okogie misses 3-pt jump shot from 25 ft,71,60
3,11:31.0,,Offensive rebound by D. Šarić,71,60
3,11:27.0,,K. Bates-Diop makes 2-pt dunk from 1 ft (assist by D. Šarić),71,62
3,11:14.0,Turnover by B. Beal (lost ball; steal by K. Towns),,71,62
3,11:07.0,,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by J. Teague),71,65
3,10:50.0,B. Portis makes 2-pt jump shot from 10 ft (assist by T. Satoranský),,73,65
3,10:41.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Teague),73,68
3,10:31.0,B. Portis misses 3-pt jump shot from 24 ft,,73,68
3,10:21.0,,Defensive rebound by J. Teague,73,68
3,10:21.0,,Personal foul by B. Portis (drawn by K. Towns),73,68
3,10:08.0,,J. Teague misses 2-pt jump shot from 5 ft (block by J. Green),73,68
3,10:03.0,,Offensive rebound by J. Okogie,73,68
3,9:58.0,,K. Bates-Diop misses 3-pt jump shot from 25 ft,73,68
3,9:56.0,Defensive rebound by B. Portis,,73,68
3,9:49.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,76,68
3,9:35.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by J. Teague),76,71
3,9:23.0,B. Beal misses 3-pt jump shot from 24 ft,,76,71
3,9:19.0,,Defensive rebound by K. Towns,76,71
3,9:08.0,,D. Šarić misses 2-pt layup from 6 ft (block by B. Portis),76,71
3,9:08.0,Defensive rebound by Team,,76,71
3,9:03.0,Turnover by B. Portis (bad pass),,76,71
3,8:51.0,,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),76,73
3,8:37.0,J. Green misses 3-pt jump shot from 26 ft,,76,73
3,8:34.0,Offensive rebound by B. Portis,,76,73
3,8:33.0,Personal foul by J. Okogie (drawn by B. Portis),,76,73
3,8:33.0,,Technical foul by J. Okogie,76,73
3,8:33.0,B. Beal misses technical free throw,,76,73
3,8:33.0,Offensive rebound by Team,,76,73
3,8:26.0,Personal foul by J. Okogie (drawn by B. Beal),,76,73
3,8:15.0,T. Ariza misses 3-pt jump shot from 24 ft,,76,73
3,8:11.0,,Defensive rebound by K. Towns,76,73
3,8:07.0,,K. Bates-Diop misses 2-pt layup from 7 ft,76,73
3,8:06.0,,Offensive rebound by K. Bates-Diop,76,73
3,8:06.0,,K. Bates-Diop makes 2-pt layup from 1 ft,76,75
3,8:06.0,Washington full timeout,,76,75
3,7:53.0,B. Portis makes 2-pt jump shot from 16 ft (assist by B. Beal),,78,75
3,7:25.0,,K. Towns misses 2-pt hook shot from 5 ft,78,75
3,7:22.0,,Offensive rebound by K. Towns,78,75
3,7:19.0,,Away from play foul by B. Portis (drawn by K. Towns),78,75
3,7:19.0,,K. Towns makes free throw 1 of 1,78,76
3,7:11.0,,J. Okogie misses 2-pt layup from 2 ft,78,76
3,7:09.0,Defensive rebound by B. Portis,,78,76
3,7:04.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,80,76
3,7:04.0,,Violation by Team (def goaltending),80,76
3,6:51.0,,Personal foul by J. Green (drawn by K. Towns),80,76
3,6:41.0,,J. Teague misses 2-pt layup from 4 ft,80,76
3,6:38.0,Defensive rebound by T. Satoranský,,80,76
3,6:32.0,B. Portis makes 2-pt hook shot from 6 ft,,82,76
3,6:21.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Teague),82,79
3,5:59.0,B. Portis misses 2-pt jump shot from 12 ft,,82,79
3,5:57.0,,Defensive rebound by K. Towns,82,79
3,5:48.0,,K. Towns misses 3-pt jump shot from 26 ft,82,79
3,5:46.0,Defensive rebound by B. Beal,,82,79
3,5:40.0,T. Satoranský misses 2-pt jump shot from 11 ft,,82,79
3,5:39.0,,Defensive rebound by K. Bates-Diop,82,79
3,5:28.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by K. Bates-Diop),82,81
3,5:09.0,Shooting foul by K. Towns (drawn by T. Ariza),,82,81
3,5:09.0,T. Ariza makes free throw 1 of 2,,83,81
3,5:09.0,T. Bryant enters the game for B. Portis,,83,81
3,5:09.0,,T. Gibson enters the game for J. Okogie,83,81
3,5:09.0,,D. Rose enters the game for D. Šarić,83,81
3,5:09.0,T. Ariza makes free throw 2 of 2,,84,81
3,4:55.0,,J. Teague makes 3-pt jump shot from 25 ft,84,84
3,4:52.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by T. Bryant),,87,84
3,4:25.0,,J. Teague misses 3-pt jump shot from 25 ft,87,84
3,4:25.0,Defensive rebound by J. Green,,87,84
3,4:16.0,J. Green makes 2-pt layup from 4 ft,,89,84
3,4:16.0,Shooting foul by T. Gibson (drawn by J. Green),,89,84
3,4:16.0,J. Parker enters the game for T. Satoranský,,89,84
3,4:16.0,,T. Jones enters the game for J. Teague,89,84
3,4:16.0,J. Green makes free throw 1 of 1,,90,84
3,4:03.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by D. Rose),90,87
3,3:54.0,T. Bryant misses 2-pt jump shot from 8 ft,,90,87
3,3:52.0,,Defensive rebound by T. Jones,90,87
3,3:32.0,,D. Rose makes 2-pt jump shot from 10 ft,90,89
3,3:20.0,B. Beal misses 2-pt jump shot from 11 ft,,90,89
3,3:19.0,,Defensive rebound by K. Towns,90,89
3,3:06.0,,T. Gibson misses 2-pt hook shot from 7 ft,90,89
3,3:04.0,Defensive rebound by J. Green,,90,89
3,2:59.0,Turnover by J. Parker (bad pass; steal by T. Jones),,90,89
3,2:49.0,,Turnover by T. Jones (bad pass; steal by J. Green),90,89
3,2:44.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by B. Beal),,93,89
3,2:42.0,,Minnesota full timeout,93,89
3,2:42.0,S. Dekker enters the game for J. Green,,93,89
3,2:42.0,,C. Reynolds enters the game for K. Bates-Diop,93,89
3,2:31.0,,D. Rose makes 2-pt layup from 2 ft,93,91
3,2:11.0,J. Parker misses 2-pt layup from 3 ft,,93,91
3,2:08.0,Offensive rebound by T. Bryant,,93,91
3,2:07.0,T. Bryant makes 2-pt dunk from 1 ft,,95,91
3,1:54.0,,T. Jones makes 2-pt jump shot from 11 ft,95,93
3,1:37.0,Turnover by J. Parker (bad pass),,95,93
3,1:37.0,T. Brown enters the game for T. Ariza,,95,93
3,1:37.0,,A. Tolliver enters the game for K. Towns,95,93
3,1:28.0,,D. Rose misses 2-pt jump shot from 16 ft,95,93
3,1:25.0,Defensive rebound by J. Parker,,95,93
3,1:17.0,B. Beal misses 3-pt jump shot from 22 ft,,95,93
3,1:16.0,Offensive rebound by T. Bryant,,95,93
3,1:13.0,T. Bryant makes 2-pt layup from 1 ft,,97,93
3,0:53.0,,T. Jones misses 2-pt jump shot from 17 ft,97,93
3,0:51.0,,Offensive rebound by Team,97,93
3,0:51.0,Loose ball foul by B. Beal (drawn by T. Gibson),,97,93
3,0:51.0,,T. Gibson makes free throw 1 of 2,97,94
3,0:51.0,,T. Gibson makes free throw 2 of 2,97,95
3,0:35.0,B. Beal makes 2-pt dunk from 1 ft,,99,95
3,0:33.0,,Turnover by A. Tolliver (bad pass; steal by J. Parker),99,95
3,0:30.0,B. Beal misses 3-pt jump shot from 25 ft,,99,95
3,0:29.0,,Defensive rebound by Team,99,95
3,0:08.0,,D. Rose misses 2-pt layup from 3 ft (block by J. Parker),99,95
3,0:03.0,Defensive rebound by T. Brown,,99,95
3,0:00.0,T. Brown misses 3-pt jump shot from 25 ft,,99,95
3,0:00.0,Offensive rebound by Team,,99,95
4,11:51.0,T. Satoranský misses 2-pt jump shot from 9 ft,,99,95
4,11:47.0,,Defensive rebound by D. Rose,99,95
4,11:44.0,,D. Rose makes 2-pt layup from 1 ft,99,97
4,11:19.0,J. Parker makes 3-pt jump shot from 25 ft (assist by T. Bryant),,102,97
4,11:03.0,,D. Rose misses 3-pt jump shot from 25 ft,102,97
4,10:59.0,Defensive rebound by T. Satoranský,,102,97
4,10:53.0,Shooting foul by D. Rose (drawn by S. Dekker),,102,97
4,10:53.0,S. Dekker misses free throw 1 of 2,,102,97
4,10:53.0,Offensive rebound by Team,,102,97
4,10:53.0,S. Dekker misses free throw 2 of 2,,102,97
4,10:50.0,,Defensive rebound by T. Gibson,102,97
4,10:40.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),102,100
4,10:20.0,T. Bryant misses 3-pt jump shot from 25 ft,,102,100
4,10:17.0,Offensive rebound by T. Brown,,102,100
4,10:16.0,T. Satoranský misses 3-pt jump shot from 25 ft,,102,100
4,10:16.0,Offensive rebound by Team,,102,100
4,10:15.0,,Loose ball foul by A. Tolliver (drawn by T. Bryant),102,100
4,10:02.0,J. Parker misses 3-pt jump shot from 25 ft,,102,100
4,9:59.0,,Defensive rebound by T. Jones,102,100
4,9:53.0,,A. Tolliver misses 3-pt jump shot from 25 ft,102,100
4,9:50.0,Defensive rebound by T. Brown,,102,100
4,9:35.0,T. Brown misses 2-pt layup from 8 ft,,102,100
4,9:35.0,,Defensive rebound by C. Reynolds,102,100
4,9:18.0,,D. Rose makes 2-pt jump shot from 20 ft,102,102
4,9:16.0,Washington full timeout,,102,102
4,9:16.0,T. Ariza enters the game for T. Brown,,102,102
4,9:16.0,B. Beal enters the game for T. Bryant,,102,102
4,9:16.0,J. Green enters the game for S. Dekker,,102,102
4,9:01.0,J. Green misses 2-pt jump shot from 6 ft,,102,102
4,8:59.0,,Defensive rebound by T. Gibson,102,102
4,8:44.0,,Turnover by D. Rose (bad pass; steal by J. Green),102,102
4,8:40.0,B. Beal misses 2-pt layup from 6 ft (block by C. Reynolds),,102,102
4,8:40.0,,Defensive rebound by T. Jones,102,102
4,8:34.0,,C. Reynolds misses 3-pt jump shot from 23 ft,102,102
4,8:29.0,Defensive rebound by J. Parker,,102,102
4,8:24.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,105,102
4,8:10.0,,T. Jones misses 2-pt jump shot from 8 ft,105,102
4,8:06.0,Defensive rebound by T. Ariza,,105,102
4,8:03.0,T. Ariza makes 2-pt layup from 2 ft (assist by T. Satoranský),,107,102
4,8:02.0,,Minnesota full timeout,107,102
4,8:02.0,,K. Towns enters the game for T. Gibson,107,102
4,7:50.0,,D. Rose makes 2-pt jump shot from 17 ft,107,104
4,7:34.0,Turnover by B. Beal (bad pass),,107,104
4,7:11.0,,D. Rose makes 2-pt layup at rim (assist by A. Tolliver),107,106
4,7:10.0,Technical foul by T. Ariza,,107,106
4,7:10.0,,K. Towns makes technical free throw,107,107
4,7:10.0,,K. Bates-Diop enters the game for T. Jones,107,107
4,7:10.0,,J. Teague enters the game for D. Rose,107,107
4,6:57.0,Turnover by J. Green (lost ball; steal by C. Reynolds),,107,107
4,6:41.0,,K. Bates-Diop misses 2-pt jump shot from 18 ft,107,107
4,6:37.0,Defensive rebound by B. Beal,,107,107
4,6:23.0,J. Green misses 3-pt jump shot from 24 ft,,107,107
4,6:21.0,,Defensive rebound by K. Bates-Diop,107,107
4,6:04.0,,Personal foul by B. Beal (drawn by K. Towns),107,107
4,6:04.0,B. Portis enters the game for J. Parker,,107,107
4,5:59.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),107,110
4,5:44.0,Shooting foul by J. Teague (drawn by B. Beal),,107,110
4,5:44.0,B. Beal makes free throw 1 of 3,,108,110
4,5:44.0,B. Beal makes free throw 2 of 3,,109,110
4,5:44.0,B. Beal makes free throw 3 of 3,,110,110
4,5:34.0,,J. Teague misses 3-pt jump shot from 25 ft,110,110
4,5:31.0,Defensive rebound by T. Ariza,,110,110
4,5:11.0,T. Ariza misses 3-pt jump shot from 23 ft,,110,110
4,5:08.0,,Defensive rebound by A. Tolliver,110,110
4,4:54.0,,C. Reynolds misses 2-pt jump shot from 10 ft,110,110
4,4:51.0,Defensive rebound by B. Portis,,110,110
4,4:40.0,B. Portis misses 2-pt jump shot from 14 ft,,110,110
4,4:37.0,,Defensive rebound by K. Towns,110,110
4,4:24.0,,Shooting foul by T. Satoranský (drawn by A. Tolliver),110,110
4,4:24.0,,A. Tolliver makes free throw 1 of 2,110,111
4,4:24.0,,A. Tolliver makes free throw 2 of 2,110,112
4,4:14.0,B. Beal misses 2-pt jump shot from 15 ft,,110,112
4,4:11.0,,Defensive rebound by K. Towns,110,112
4,3:56.0,,C. Reynolds misses 3-pt jump shot from 26 ft,110,112
