QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
2,9:54.0,,Defensive rebound by J. Richardson,30,22
2,9:41.0,,R. McGruder makes 2-pt jump shot from 9 ft (assist by T. Johnson),30,24
2,9:37.0,New York full timeout,,30,24
2,9:37.0,E. Freedom enters the game for N. Vonleh,,30,24
2,9:25.0,D. Dotson misses 2-pt jump shot from 18 ft,,30,24
2,9:23.0,,Defensive rebound by D. Wade,30,24
2,9:19.0,,Turnover by D. Wade (bad pass; steal by D. Dotson),30,24
2,9:16.0,Shooting foul by R. McGruder (drawn by M. Hezonja),,30,24
2,9:16.0,M. Hezonja misses free throw 1 of 2,,30,24
2,9:16.0,Offensive rebound by Team,,30,24
2,9:16.0,M. Hezonja misses free throw 2 of 2,,30,24
2,9:14.0,,Defensive rebound by B. Adebayo,30,24
2,9:08.0,,Shooting foul by E. Freedom (drawn by B. Adebayo),30,24
2,9:08.0,,B. Adebayo misses free throw 1 of 2,30,24
2,9:08.0,,Offensive rebound by Team,30,24
2,9:08.0,,G. Dragić enters the game for R. McGruder,30,24
2,9:08.0,,D. Robinson enters the game for D. Wade,30,24
2,9:08.0,,B. Adebayo makes free throw 2 of 2,30,25
2,8:46.0,M. Hezonja misses 3-pt jump shot from 26 ft,,30,25
2,8:43.0,,Defensive rebound by T. Johnson,30,25
2,8:37.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by T. Johnson),30,28
2,8:25.0,Personal foul by B. Adebayo (drawn by E. Freedom),,30,28
2,8:25.0,T. Burke enters the game for R. Baker,,30,28
2,8:25.0,T. Hardaway enters the game for A. Trier,,30,28
2,8:22.0,Turnover by M. Hezonja (traveling),,30,28
2,8:11.0,,J. Richardson misses 2-pt layup from 2 ft,30,28
2,8:10.0,Defensive rebound by E. Freedom,,30,28
2,7:57.0,T. Hardaway makes 2-pt layup from 2 ft (assist by T. Burke),,32,28
2,7:48.0,,T. Johnson makes 2-pt layup from 2 ft,32,30
2,7:48.0,,Shooting foul by T. Hardaway (drawn by T. Johnson),32,30
2,7:48.0,L. Thomas enters the game for M. Hezonja,,32,30
2,7:48.0,,H. Whiteside enters the game for B. Adebayo,32,30
2,7:48.0,,T. Johnson misses free throw 1 of 1,32,30
2,7:48.0,Defensive rebound by E. Freedom,,32,30
2,7:31.0,Turnover by E. Freedom (lost ball; steal by T. Johnson),,32,30
2,7:25.0,,T. Johnson makes 2-pt layup from 1 ft,32,32
2,7:11.0,E. Freedom misses 2-pt hook shot from 6 ft (block by H. Whiteside),,32,32
2,7:07.0,,Defensive rebound by J. Richardson,32,32
2,6:52.0,,H. Whiteside misses 2-pt jump shot from 9 ft,32,32
2,6:49.0,Defensive rebound by L. Thomas,,32,32
2,6:42.0,Personal foul by G. Dragić (drawn by T. Burke),,32,32
2,6:42.0,F. Ntilikina enters the game for D. Dotson,,32,32
2,6:33.0,Turnover by E. Freedom (traveling),,32,32
2,6:16.0,,G. Dragić misses 2-pt jump shot from 18 ft (block by E. Freedom),32,32
2,6:14.0,Defensive rebound by L. Thomas,,32,32
2,6:08.0,T. Hardaway misses 3-pt jump shot from 25 ft,,32,32
2,6:04.0,,Defensive rebound by H. Whiteside,32,32
2,5:58.0,,T. Johnson makes 2-pt jump shot from 9 ft,32,34
2,5:39.0,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Burke),,35,34
2,5:27.0,,Turnover by T. Johnson (out of bounds lost ball),35,34
2,5:18.0,T. Hardaway makes 2-pt jump shot from 20 ft (assist by E. Freedom),,37,34
2,5:18.0,,Miami full timeout,37,34
2,5:18.0,,R. McGruder enters the game for J. Richardson,37,34
2,5:03.0,,Shooting foul by E. Freedom (drawn by H. Whiteside),37,34
2,5:03.0,,H. Whiteside misses free throw 1 of 2,37,34
2,5:03.0,,Offensive rebound by Team,37,34
2,5:03.0,,H. Whiteside makes free throw 2 of 2,37,35
2,4:53.0,Turnover by F. Ntilikina (bad pass),,37,35
2,4:34.0,,G. Dragić misses 3-pt jump shot from 23 ft,37,35
2,4:31.0,Defensive rebound by T. Hardaway,,37,35
2,4:25.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Hardaway),,39,35
2,4:07.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić),39,38
2,3:57.0,T. Burke misses 2-pt jump shot from 9 ft,,39,38
2,3:55.0,,Defensive rebound by D. Robinson,39,38
2,3:52.0,,Shooting foul by F. Ntilikina (drawn by T. Johnson),39,38
2,3:52.0,,T. Johnson makes free throw 1 of 2,39,39
2,3:52.0,,T. Johnson makes free throw 2 of 2,39,40
2,3:52.0,D. Dotson enters the game for F. Ntilikina,,39,40
2,3:35.0,T. Burke makes 3-pt jump shot from 23 ft (assist by E. Freedom),,42,40
2,3:13.0,,T. Johnson misses 3-pt jump shot from 27 ft,42,40
2,3:11.0,,Offensive rebound by H. Whiteside,42,40
2,3:10.0,,D. Robinson misses 3-pt jump shot from 25 ft,42,40
2,3:10.0,,Offensive rebound by Team,42,40
2,3:10.0,Loose ball foul by D. Dotson (drawn by R. McGruder),,42,40
2,3:10.0,,R. McGruder makes free throw 1 of 2,42,41
2,3:10.0,N. Vonleh enters the game for E. Freedom,,42,41
2,3:10.0,,J. Richardson enters the game for T. Johnson,42,41
2,3:10.0,,D. Wade enters the game for D. Robinson,42,41
2,3:10.0,,R. McGruder makes free throw 2 of 2,42,42
2,2:48.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by T. Burke),,45,42
2,2:33.0,,J. Richardson misses 2-pt hook shot from 8 ft,45,42
2,2:31.0,Defensive rebound by N. Vonleh,,45,42
2,2:22.0,T. Burke misses 2-pt layup from 2 ft,,45,42
2,2:20.0,,Defensive rebound by H. Whiteside,45,42
2,2:17.0,,G. Dragić misses 2-pt layup from 2 ft (block by D. Dotson),45,42
2,2:17.0,,Offensive rebound by Team,45,42
2,2:14.0,,H. Whiteside misses 2-pt hook shot from 10 ft,45,42
2,2:11.0,Defensive rebound by N. Vonleh,,45,42
2,2:07.0,T. Hardaway misses 3-pt jump shot from 25 ft,,45,42
2,2:03.0,,Defensive rebound by H. Whiteside,45,42
2,1:56.0,,Personal foul by T. Hardaway (drawn by R. McGruder),45,42
2,1:56.0,,R. McGruder makes free throw 1 of 2,45,43
2,1:56.0,A. Trier enters the game for T. Hardaway,,45,43
2,1:56.0,,R. McGruder misses free throw 2 of 2,45,43
2,1:53.0,Defensive rebound by A. Trier,,45,43
2,1:37.0,L. Thomas misses 2-pt jump shot from 10 ft,,45,43
2,1:36.0,,Defensive rebound by Team,45,43
2,1:24.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),45,45
2,1:13.0,T. Burke misses 2-pt jump shot from 11 ft (block by D. Wade),,45,45
2,1:12.0,,Defensive rebound by R. McGruder,45,45
2,0:56.0,,Shooting foul by N. Vonleh (drawn by H. Whiteside),45,45
2,0:56.0,,H. Whiteside misses free throw 1 of 2,45,45
2,0:56.0,,Offensive rebound by Team,45,45
2,0:56.0,,H. Whiteside misses free throw 2 of 2,45,45
2,0:54.0,Defensive rebound by N. Vonleh,,45,45
2,0:48.0,Personal foul by R. McGruder (drawn by D. Dotson),,45,45
2,0:48.0,,T. Johnson enters the game for R. McGruder,45,45
2,0:38.0,T. Burke misses 2-pt jump shot from 16 ft,,45,45
2,0:35.0,,Defensive rebound by H. Whiteside,45,45
2,0:28.0,,J. Richardson makes 2-pt jump shot from 23 ft,45,47
2,0:09.0,A. Trier misses 2-pt jump shot from 16 ft,,45,47
2,0:06.0,,Defensive rebound by H. Whiteside,45,47
2,0:01.0,,D. Wade misses 2-pt jump shot from 13 ft,45,47
2,0:00.0,Defensive rebound by L. Thomas,,45,47
3,11:34.0,,H. Whiteside makes 2-pt hook shot from 4 ft,45,49
3,11:16.0,Shooting foul by J. Richardson (drawn by T. Hardaway),,45,49
3,11:16.0,T. Hardaway makes free throw 1 of 2,,46,49
3,11:16.0,T. Hardaway makes free throw 2 of 2,,47,49
3,11:04.0,,R. McGruder misses 2-pt jump shot from 11 ft,47,49
3,10:59.0,Defensive rebound by L. Thomas,,47,49
3,10:44.0,T. Burke misses 2-pt jump shot from 17 ft,,47,49
3,10:41.0,,Defensive rebound by G. Dragić,47,49
3,10:21.0,,K. Olynyk makes 2-pt hook shot from 4 ft,47,51
3,10:12.0,E. Freedom makes 2-pt jump shot from 19 ft (assist by T. Burke),,49,51
3,9:58.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by K. Olynyk),49,54
3,9:31.0,T. Burke misses 2-pt layup from 3 ft,,49,54
3,9:26.0,,Defensive rebound by R. McGruder,49,54
3,9:23.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Richardson),49,57
3,9:23.0,New York full timeout,,49,57
3,9:23.0,D. Dotson enters the game for T. Burke,,49,57
3,9:09.0,T. Hardaway misses 2-pt jump shot from 18 ft,,49,57
3,9:07.0,,Defensive rebound by H. Whiteside,49,57
3,8:59.0,,Shooting foul by L. Thomas (drawn by H. Whiteside),49,57
3,8:59.0,,H. Whiteside makes free throw 1 of 2,49,58
3,8:59.0,,H. Whiteside makes free throw 2 of 2,49,59
3,8:48.0,L. Thomas misses 3-pt jump shot from 25 ft,,49,59
3,8:46.0,,Defensive rebound by G. Dragić,49,59
3,8:41.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by G. Dragić),49,62
3,8:15.0,F. Ntilikina misses 2-pt jump shot from 9 ft,,49,62
3,8:11.0,,Defensive rebound by H. Whiteside,49,62
3,8:07.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),49,64
3,8:07.0,,Shooting foul by F. Ntilikina (drawn by H. Whiteside),49,64
3,8:07.0,M. Hezonja enters the game for L. Thomas,,49,64
3,8:07.0,,H. Whiteside misses free throw 1 of 1,49,64
3,8:07.0,Defensive rebound by D. Dotson,,49,64
3,7:50.0,T. Hardaway misses 2-pt jump shot from 9 ft,,49,64
3,7:46.0,Offensive rebound by E. Freedom,,49,64
3,7:46.0,E. Freedom makes 2-pt layup at rim,,51,64
3,7:29.0,,G. Dragić makes 3-pt jump shot from 26 ft,51,67
3,7:08.0,M. Hezonja misses 2-pt layup from 1 ft,,51,67
3,7:06.0,,Defensive rebound by G. Dragić,51,67
3,7:00.0,,G. Dragić makes 3-pt jump shot from 25 ft,51,70
3,6:49.0,D. Dotson misses 3-pt jump shot from 25 ft,,51,70
3,6:47.0,,Defensive rebound by H. Whiteside,51,70
3,6:41.0,,H. Whiteside misses 2-pt jump shot from 16 ft,51,70
3,6:41.0,Defensive rebound by Team,,51,70
3,6:31.0,T. Hardaway misses 2-pt jump shot from 13 ft (block by H. Whiteside),,51,70
3,6:27.0,Offensive rebound by T. Hardaway,,51,70
3,6:25.0,D. Dotson makes 2-pt jump shot from 22 ft (assist by M. Hezonja),,53,70
3,6:19.0,,J. Richardson makes 2-pt layup from 2 ft,53,72
3,6:10.0,Shooting foul by G. Dragić (drawn by T. Hardaway),,53,72
3,6:10.0,T. Hardaway makes free throw 1 of 2,,54,72
3,6:10.0,T. Hardaway makes free throw 2 of 2,,55,72
3,6:10.0,R. Baker enters the game for E. Freedom,,55,72
3,6:10.0,N. Vonleh enters the game for F. Ntilikina,,55,72
3,6:10.0,,D. Wade enters the game for J. Richardson,55,72
3,6:06.0,,Personal foul by R. Baker (drawn by G. Dragić),55,72
3,5:54.0,,Personal foul by M. Hezonja (drawn by K. Olynyk),55,72
3,5:54.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by K. Olynyk),55,74
3,5:30.0,M. Hezonja misses 3-pt jump shot from 25 ft,,55,74
3,5:30.0,,Defensive rebound by H. Whiteside,55,74
3,5:27.0,,Turnover by H. Whiteside (bad pass),55,74
3,5:24.0,N. Vonleh misses 3-pt jump shot from 25 ft,,55,74
3,5:19.0,,Defensive rebound by G. Dragić,55,74
3,5:07.0,,K. Olynyk misses 3-pt jump shot from 25 ft,55,74
3,5:05.0,Defensive rebound by D. Dotson,,55,74
3,4:59.0,R. Baker misses 2-pt layup from 1 ft (block by H. Whiteside),,55,74
3,4:54.0,,Defensive rebound by K. Olynyk,55,74
3,4:52.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by G. Dragić),55,76
3,4:52.0,,Shooting foul by D. Dotson (drawn by H. Whiteside),55,76
3,4:52.0,,H. Whiteside makes free throw 1 of 1,55,77
3,4:52.0,New York full timeout,,55,77
3,4:31.0,D. Dotson misses 3-pt jump shot from 26 ft,,55,77
3,4:29.0,,Defensive rebound by K. Olynyk,55,77
3,4:09.0,,G. Dragić makes 2-pt layup from 2 ft (assist by K. Olynyk),55,79
3,3:53.0,Shooting foul by H. Whiteside (drawn by M. Hezonja),,55,79
3,3:53.0,M. Hezonja makes free throw 1 of 2,,56,79
3,3:53.0,A. Trier enters the game for T. Hardaway,,56,79
3,3:53.0,M. Hezonja makes free throw 2 of 2,,57,79
3,3:43.0,,G. Dragić misses 2-pt jump shot from 12 ft,57,79
3,3:43.0,,Offensive rebound by Team,57,79
3,3:43.0,Loose ball foul by R. Baker (drawn by H. Whiteside),,57,79
3,3:43.0,,H. Whiteside makes free throw 1 of 2,57,80
3,3:43.0,,H. Whiteside makes free throw 2 of 2,57,81
3,3:24.0,M. Hezonja misses 3-pt jump shot from 25 ft,,57,81
3,3:21.0,,Defensive rebound by D. Wade,57,81
3,3:17.0,,D. Wade misses 3-pt jump shot from 25 ft,57,81
3,3:14.0,Defensive rebound by A. Trier,,57,81
3,3:10.0,A. Trier misses 2-pt layup from 1 ft,,57,81
3,3:10.0,Offensive rebound by D. Dotson,,57,81
3,3:10.0,D. Dotson makes 2-pt layup from 2 ft,,59,81
3,2:53.0,,Personal foul by M. Hezonja (drawn by K. Olynyk),59,81
3,2:53.0,,K. Olynyk makes free throw 1 of 2,59,82
3,2:53.0,,T. Johnson enters the game for G. Dragić,59,82
3,2:53.0,,J. Richardson enters the game for R. McGruder,59,82
3,2:53.0,,K. Olynyk makes free throw 2 of 2,59,83
3,2:34.0,M. Hezonja makes 2-pt jump shot from 18 ft,,61,83
3,2:16.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),61,86
3,2:05.0,M. Hezonja misses 2-pt jump shot from 18 ft,,61,86
3,2:05.0,Offensive rebound by Team,,61,86
3,2:05.0,,B. Adebayo enters the game for H. Whiteside,61,86
3,1:58.0,N. Vonleh makes 2-pt layup from 1 ft (assist by A. Trier),,63,86
3,1:33.0,,K. Olynyk makes 3-pt jump shot from 24 ft (assist by D. Wade),63,89
3,1:13.0,N. Vonleh makes 2-pt jump shot from 11 ft (assist by D. Dotson),,65,89
3,0:59.0,,D. Wade makes 3-pt jump shot from 24 ft (assist by K. Olynyk),65,92
3,0:33.0,A. Trier misses 3-pt jump shot from 25 ft,,65,92
3,0:30.0,,Defensive rebound by B. Adebayo,65,92
3,0:12.0,,D. Wade misses 2-pt jump shot from 11 ft,65,92
3,0:12.0,Defensive rebound by N. Vonleh,,65,92
3,0:00.0,D. Dotson misses 3-pt jump shot from 26 ft,,65,92
3,0:00.0,Offensive rebound by Team,,65,92
4,11:44.0,M. Hezonja misses 3-pt jump shot from 23 ft,,65,92
4,11:42.0,,Defensive rebound by B. Adebayo,65,92
4,11:30.0,,B. Adebayo misses 2-pt jump shot from 3 ft (block by M. Robinson),65,92
4,11:28.0,Defensive rebound by D. Dotson,,65,92
4,11:21.0,Shooting foul by B. Adebayo (drawn by M. Hezonja),,65,92
4,11:21.0,M. Hezonja misses free throw 1 of 2,,65,92
4,11:21.0,Offensive rebound by Team,,65,92
4,11:21.0,M. Hezonja makes free throw 2 of 2,,66,92
4,10:59.0,,D. Wade misses 2-pt jump shot from 19 ft,66,92
4,10:56.0,Defensive rebound by F. Ntilikina,,66,92
4,10:52.0,M. Hezonja makes 2-pt layup from 1 ft (assist by F. Ntilikina),,68,92
4,10:35.0,,T. Johnson misses 2-pt jump shot from 12 ft,68,92
4,10:35.0,Defensive rebound by Team,,68,92
4,10:35.0,,Loose ball foul by K. Olynyk (drawn by M. Hezonja),68,92
4,10:23.0,Personal foul by J. Richardson (drawn by A. Trier),,68,92
4,10:16.0,Turnover by M. Hezonja (step out of bounds),,68,92
4,9:46.0,,J. Richardson makes 2-pt jump shot from 11 ft,68,94
4,9:28.0,D. Dotson makes 2-pt layup from 1 ft,,70,94
4,9:14.0,,Offensive foul by B. Adebayo (drawn by D. Dotson),70,94
4,9:14.0,,Turnover by B. Adebayo (offensive foul),70,94
4,9:04.0,M. Hezonja misses 3-pt jump shot from 24 ft,,70,94
4,9:01.0,,Defensive rebound by T. Johnson,70,94
4,8:49.0,,D. Wade makes 2-pt layup from 1 ft (assist by B. Adebayo),70,96
4,8:25.0,M. Hezonja misses 3-pt jump shot from 27 ft,,70,96
4,8:22.0,,Defensive rebound by T. Johnson,70,96
4,8:17.0,,Turnover by T. Johnson (bad pass),70,96
4,8:17.0,New York full timeout,,70,96
4,8:06.0,M. Robinson misses 2-pt dunk from 1 ft,,70,96
4,8:04.0,,Defensive rebound by J. Richardson,70,96
4,7:46.0,,K. Olynyk misses 3-pt jump shot from 25 ft,70,96
4,7:44.0,Defensive rebound by D. Dotson,,70,96
4,7:37.0,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by D. Dotson),,73,96
4,7:13.0,,D. Wade makes 2-pt jump shot from 14 ft (assist by B. Adebayo),73,98
4,6:51.0,M. Hezonja misses 2-pt hook shot from 7 ft,,73,98
4,6:47.0,Offensive rebound by M. Robinson,,73,98
4,6:47.0,M. Robinson makes 2-pt layup at rim,,75,98
4,6:40.0,,T. Johnson misses 3-pt jump shot from 26 ft,75,98
4,6:37.0,Defensive rebound by A. Trier,,75,98
4,6:29.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by F. Ntilikina),,78,98
4,6:14.0,,Shooting foul by F. Ntilikina (drawn by B. Adebayo),78,98
4,6:14.0,,B. Adebayo misses free throw 1 of 2,78,98
4,6:14.0,,Offensive rebound by Team,78,98
4,6:14.0,R. Baker enters the game for D. Dotson,,78,98
4,6:14.0,L. Kornet enters the game for M. Hezonja,,78,98
4,6:14.0,,B. Adebayo makes free throw 2 of 2,78,99
4,5:48.0,A. Trier misses 2-pt jump shot from 20 ft,,78,99
4,5:47.0,,Defensive rebound by T. Johnson,78,99
4,5:38.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Wade),78,101
4,5:28.0,A. Trier misses 2-pt layup from 2 ft,,78,101
4,5:24.0,,Defensive rebound by J. Richardson,78,101
4,5:21.0,,T. Johnson misses 3-pt jump shot from 23 ft,78,101
4,5:18.0,Defensive rebound by A. Trier,,78,101
4,5:12.0,Turnover by A. Trier (bad pass; steal by K. Olynyk),,78,101
4,5:12.0,,Personal foul by A. Trier (drawn by K. Olynyk),78,101
4,5:02.0,,K. Olynyk misses 3-pt jump shot from 25 ft,78,101
4,4:58.0,,Offensive rebound by B. Adebayo,78,101
4,4:50.0,,K. Olynyk makes 2-pt layup from 1 ft,78,103
4,4:33.0,Turnover by A. Trier (bad pass; steal by T. Johnson),,78,103
4,4:26.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),78,105
4,4:14.0,Turnover by F. Ntilikina (bad pass; steal by B. Adebayo),,78,105
4,3:59.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),78,108
4,3:53.0,Personal take foul by D. Wade (drawn by A. Trier),,78,108
4,3:53.0,,Miami full timeout,78,108
4,3:53.0,D. Dotson enters the game for A. Trier,,78,108
