QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
1,8:15.0,,Offensive rebound by Team,8,8
1,8:15.0,Loose ball foul by A. Gordon (drawn by H. Whiteside),,8,8
1,8:07.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Johnson),8,11
1,7:51.0,N. Vučević misses 3-pt jump shot from 25 ft,,8,11
1,7:48.0,,Defensive rebound by H. Whiteside,8,11
1,7:40.0,,H. Whiteside makes 2-pt jump shot from 6 ft,8,13
1,7:27.0,A. Gordon misses 2-pt layup from 1 ft (block by H. Whiteside),,8,13
1,7:27.0,Offensive rebound by Team,,8,13
1,7:27.0,Away from play foul by J. Johnson (drawn by A. Gordon),,8,13
1,7:27.0,D. Augustin makes free throw 1 of 1,,9,13
1,7:20.0,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),,11,13
1,7:01.0,,J. Richardson misses 2-pt jump shot from 23 ft,11,13
1,6:59.0,,Offensive rebound by H. Whiteside,11,13
1,6:55.0,,H. Whiteside makes 2-pt hook shot from 6 ft,11,15
1,6:41.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,14,15
1,6:22.0,,W. Ellington misses 3-pt jump shot from 25 ft,14,15
1,6:17.0,Defensive rebound by A. Gordon,,14,15
1,6:07.0,N. Vučević makes 2-pt layup from 1 ft,,16,15
1,6:03.0,,Miami full timeout,16,15
1,6:03.0,J. Isaac enters the game for J. Simmons,,16,15
1,5:50.0,,R. McGruder makes 2-pt jump shot from 4 ft (assist by J. Richardson),16,17
1,5:31.0,E. Fournier misses 3-pt jump shot from 28 ft,,16,17
1,5:27.0,,Defensive rebound by H. Whiteside,16,17
1,5:19.0,,R. McGruder makes 2-pt jump shot from 7 ft,16,19
1,5:00.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by J. Isaac),,19,19
1,5:00.0,T. Ross enters the game for E. Fournier,,19,19
1,5:00.0,,B. Adebayo enters the game for J. Johnson,19,19
1,5:00.0,,K. Olynyk enters the game for R. McGruder,19,19
1,5:00.0,,D. Wade enters the game for H. Whiteside,19,19
1,4:38.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by B. Adebayo),19,22
1,4:25.0,Personal foul by J. Richardson (drawn by A. Gordon),,19,22
1,4:23.0,Personal foul by J. Richardson (drawn by A. Gordon),,19,22
1,4:23.0,,J. Winslow enters the game for J. Richardson,19,22
1,4:11.0,J. Isaac makes 2-pt jump shot from 14 ft,,21,22
1,3:59.0,,W. Ellington misses 3-pt jump shot from 25 ft,21,22
1,3:59.0,Defensive rebound by Team,,21,22
1,3:59.0,J. Grant enters the game for D. Augustin,,21,22
1,3:49.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by T. Ross),,24,22
1,3:34.0,,D. Wade misses 2-pt jump shot from 8 ft (block by A. Gordon),24,22
1,3:31.0,,Offensive rebound by W. Ellington,24,22
1,3:21.0,,D. Wade misses 2-pt jump shot from 17 ft,24,22
1,3:17.0,Defensive rebound by A. Gordon,,24,22
1,3:12.0,Turnover by A. Gordon (lost ball; steal by K. Olynyk),,24,22
1,3:05.0,,K. Olynyk misses 2-pt layup from 1 ft,24,22
1,3:02.0,Defensive rebound by N. Vučević,,24,22
1,2:50.0,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),,27,22
1,2:26.0,,Turnover by W. Ellington (offensive foul),27,22
1,2:26.0,,Offensive foul by W. Ellington (drawn by J. Grant),27,22
1,2:26.0,Orlando full timeout,,27,22
1,2:26.0,M. Bamba enters the game for A. Gordon,,27,22
1,2:26.0,J. Simmons enters the game for N. Vučević,,27,22
1,2:26.0,,T. Johnson enters the game for W. Ellington,27,22
1,2:10.0,J. Simmons misses 2-pt jump shot from 5 ft (block by J. Winslow),,27,22
1,2:10.0,Offensive rebound by Team,,27,22
1,2:06.0,T. Ross misses 2-pt jump shot from 17 ft,,27,22
1,2:03.0,,Defensive rebound by T. Johnson,27,22
1,1:57.0,,T. Johnson makes 2-pt layup from 1 ft,27,24
1,1:35.0,T. Ross misses 2-pt jump shot from 20 ft,,27,24
1,1:32.0,,Defensive rebound by B. Adebayo,27,24
1,1:16.0,,Shooting foul by J. Isaac (drawn by K. Olynyk),27,24
1,1:16.0,,K. Olynyk misses free throw 1 of 2,27,24
1,1:16.0,,Offensive rebound by Team,27,24
1,1:16.0,,K. Olynyk makes free throw 2 of 2,27,25
1,1:01.0,T. Ross misses 2-pt jump shot from 11 ft,,27,25
1,0:58.0,,Defensive rebound by J. Winslow,27,25
1,0:37.0,,D. Wade misses 2-pt hook shot from 4 ft,27,25
1,0:31.0,Defensive rebound by J. Isaac,,27,25
1,0:27.0,J. Grant misses 2-pt jump shot from 9 ft,,27,25
1,0:25.0,,Defensive rebound by K. Olynyk,27,25
1,0:06.0,,J. Winslow misses 2-pt jump shot from 10 ft,27,25
1,0:05.0,Defensive rebound by J. Simmons,,27,25
1,0:04.0,J. Simmons misses 2-pt layup from 2 ft (block by K. Olynyk),,27,25
1,0:03.0,Offensive rebound by J. Simmons,,27,25
1,0:02.0,J. Simmons misses 2-pt layup from 2 ft (block by T. Johnson),,27,25
1,0:01.0,,Defensive rebound by K. Olynyk,27,25
2,11:49.0,Turnover by E. Fournier (bad pass; steal by T. Johnson),,27,25
2,11:43.0,,Turnover by T. Johnson (bad pass),27,25
2,11:34.0,Turnover by M. Bamba (lost ball; steal by D. Wade),,27,25
2,11:26.0,,D. Wade makes 2-pt layup from 2 ft,27,27
2,11:04.0,T. Ross misses 2-pt dunk from 1 ft (block by B. Adebayo),,27,27
2,11:02.0,,Defensive rebound by D. Wade,27,27
2,10:57.0,,T. Johnson makes 2-pt layup from 2 ft (assist by D. Wade),27,29
2,10:44.0,E. Fournier misses 2-pt layup from 1 ft (block by B. Adebayo),,27,29
2,10:40.0,,Defensive rebound by B. Adebayo,27,29
2,10:26.0,,Turnover by D. Wade (lost ball; steal by J. Isaac),27,29
2,10:18.0,Personal foul by B. Adebayo (drawn by M. Bamba),,27,29
2,10:18.0,,R. McGruder enters the game for T. Johnson,27,29
2,10:06.0,M. Bamba misses 2-pt layup from 2 ft (block by J. Winslow),,27,29
2,10:03.0,Offensive rebound by M. Bamba,,27,29
2,10:02.0,Turnover by Team (shot clock),,27,29
2,9:50.0,,D. Wade misses 3-pt jump shot from 26 ft,27,29
2,9:47.0,Defensive rebound by J. Isaac,,27,29
2,9:36.0,J. Isaac misses 3-pt jump shot from 24 ft,,27,29
2,9:34.0,,Defensive rebound by K. Olynyk,27,29
2,9:25.0,,R. McGruder misses 2-pt layup from 1 ft (block by J. Isaac),27,29
2,9:21.0,Defensive rebound by J. Grant,,27,29
2,9:18.0,E. Fournier misses 2-pt jump shot from 6 ft (block by B. Adebayo),,27,29
2,9:14.0,,Defensive rebound by K. Olynyk,27,29
2,9:11.0,,K. Olynyk misses 3-pt jump shot from 26 ft,27,29
2,9:11.0,,Offensive rebound by B. Adebayo,27,29
2,9:06.0,,B. Adebayo makes 2-pt dunk at rim,27,31
2,8:44.0,E. Fournier misses 2-pt jump shot from 21 ft,,27,31
2,8:43.0,Offensive rebound by Team,,27,31
2,8:43.0,Turnover by Team (shot clock),,27,31
2,8:43.0,,H. Whiteside enters the game for B. Adebayo,27,31
2,8:32.0,,Turnover by D. Wade (bad pass),27,31
2,8:32.0,,J. Richardson enters the game for D. Wade,27,31
2,8:24.0,Shooting foul by R. McGruder (drawn by J. Grant),,27,31
2,8:24.0,J. Grant makes free throw 1 of 2,,28,31
2,8:24.0,A. Gordon enters the game for J. Isaac,,28,31
2,8:24.0,J. Grant misses free throw 2 of 2,,28,31
2,8:22.0,,Defensive rebound by K. Olynyk,28,31
2,8:03.0,,J. Winslow makes 2-pt layup from 1 ft,28,33
2,7:44.0,A. Gordon misses 2-pt jump shot from 18 ft,,28,33
2,7:41.0,,Defensive rebound by R. McGruder,28,33
2,7:33.0,,Personal foul by E. Fournier (drawn by J. Richardson),28,33
2,7:21.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Richardson),28,36
2,7:04.0,A. Gordon misses 2-pt jump shot from 17 ft,,28,36
2,7:03.0,Offensive rebound by M. Bamba,,28,36
2,7:02.0,M. Bamba makes 2-pt layup from 1 ft,,30,36
2,6:46.0,,J. Winslow misses 2-pt layup from 5 ft (block by M. Bamba),30,36
2,6:46.0,Defensive rebound by E. Fournier,,30,36
2,6:43.0,Turnover by M. Bamba (offensive foul),,30,36
2,6:43.0,Offensive foul by M. Bamba (drawn by K. Olynyk),,30,36
2,6:43.0,,Miami full timeout,30,36
2,6:43.0,J. Simmons enters the game for T. Ross,,30,36
2,6:27.0,,J. Winslow makes 2-pt layup from 1 ft (assist by K. Olynyk),30,38
2,6:13.0,Turnover by E. Fournier (discontinued dribble),,30,38
2,5:54.0,,K. Olynyk misses 3-pt jump shot from 26 ft,30,38
2,5:52.0,,Offensive rebound by J. Richardson,30,38
2,5:41.0,,K. Olynyk misses 3-pt jump shot from 25 ft,30,38
2,5:38.0,Defensive rebound by E. Fournier,,30,38
2,5:34.0,Turnover by E. Fournier (bad pass),,30,38
2,5:34.0,Loose ball foul by E. Fournier (drawn by J. Richardson),,30,38
2,5:34.0,D. Augustin enters the game for M. Bamba,,30,38
2,5:34.0,J. Isaac enters the game for E. Fournier,,30,38
2,5:34.0,N. Vučević enters the game for J. Grant,,30,38
2,5:18.0,,R. McGruder misses 2-pt jump shot from 4 ft,30,38
2,5:17.0,,Offensive rebound by R. McGruder,30,38
2,5:16.0,,R. McGruder misses 2-pt layup from 1 ft,30,38
2,5:15.0,Defensive rebound by A. Gordon,,30,38
2,4:59.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by D. Augustin),,33,38
2,4:52.0,,Turnover by K. Olynyk (offensive foul),33,38
2,4:52.0,,Offensive foul by K. Olynyk (drawn by J. Simmons),33,38
2,4:38.0,J. Simmons misses 2-pt jump shot from 19 ft,,33,38
2,4:36.0,,Defensive rebound by H. Whiteside,33,38
2,4:14.0,,J. Richardson misses 3-pt jump shot from 25 ft,33,38
2,4:12.0,Defensive rebound by A. Gordon,,33,38
2,4:10.0,Shooting foul by R. McGruder (drawn by A. Gordon),,33,38
2,4:10.0,A. Gordon misses free throw 1 of 2,,33,38
2,4:10.0,Offensive rebound by Team,,33,38
2,4:10.0,,J. Johnson enters the game for K. Olynyk,33,38
2,4:10.0,A. Gordon makes free throw 2 of 2,,34,38
2,3:57.0,,J. Winslow makes 2-pt layup from 1 ft,34,40
2,3:42.0,Turnover by D. Augustin (lost ball; steal by H. Whiteside),,34,40
2,3:37.0,,J. Winslow misses 2-pt layup from 2 ft,34,40
2,3:34.0,,Offensive rebound by J. Johnson,34,40
2,3:33.0,,Turnover by J. Johnson (lost ball; steal by J. Simmons),34,40
2,3:28.0,D. Augustin makes 2-pt layup from 1 ft (assist by A. Gordon),,36,40
2,3:09.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),36,42
2,2:57.0,D. Augustin misses 2-pt layup from 1 ft,,36,42
2,2:53.0,,Defensive rebound by J. Johnson,36,42
2,2:49.0,,Personal foul by N. Vučević (drawn by H. Whiteside),36,42
2,2:49.0,Orlando full timeout,,36,42
2,2:49.0,,Technical foul by S. Clifford,36,42
2,2:49.0,T. Ross enters the game for A. Gordon,,36,42
2,2:49.0,,J. Richardson makes technical free throw,36,43
2,2:39.0,,R. McGruder misses 2-pt jump shot from 9 ft,36,43
2,2:39.0,Defensive rebound by Team,,36,43
2,2:39.0,,Loose ball foul by H. Whiteside (drawn by N. Vučević),36,43
2,2:23.0,T. Ross makes 2-pt jump shot from 19 ft (assist by D. Augustin),,38,43
2,2:11.0,,J. Richardson misses 3-pt jump shot from 23 ft,38,43
2,2:08.0,Defensive rebound by D. Augustin,,38,43
2,2:03.0,Turnover by D. Augustin (lost ball; steal by R. McGruder),,38,43
2,1:58.0,,J. Johnson makes 2-pt layup from 2 ft (assist by R. McGruder),38,45
2,1:44.0,N. Vučević makes 2-pt dunk from 1 ft,,40,45
2,1:31.0,,J. Johnson makes 2-pt layup from 1 ft,40,47
2,1:18.0,J. Isaac makes 2-pt layup from 1 ft (assist by J. Simmons),,42,47
2,1:01.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by J. Winslow),42,50
2,0:45.0,T. Ross makes 2-pt layup from 1 ft (assist by N. Vučević),,44,50
2,0:22.0,,J. Winslow misses 3-pt jump shot from 23 ft,44,50
2,0:19.0,Defensive rebound by N. Vučević,,44,50
2,0:00.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by J. Simmons),,46,50
3,11:53.0,N. Vučević misses 3-pt jump shot from 25 ft,,46,50
3,11:52.0,,Defensive rebound by H. Whiteside,46,50
3,11:36.0,,J. Johnson makes 2-pt layup from 4 ft (assist by H. Whiteside),46,52
3,11:08.0,E. Fournier misses 2-pt jump shot from 16 ft,,46,52
3,11:05.0,,Defensive rebound by J. Johnson,46,52
3,10:51.0,,J. Richardson misses 3-pt jump shot from 26 ft,46,52
3,10:47.0,Defensive rebound by A. Gordon,,46,52
3,10:38.0,J. Simmons misses 3-pt jump shot from 23 ft,,46,52
3,10:35.0,,Defensive rebound by H. Whiteside,46,52
3,10:15.0,,W. Ellington misses 2-pt jump shot from 18 ft,46,52
3,10:12.0,Defensive rebound by A. Gordon,,46,52
3,10:05.0,A. Gordon makes 2-pt layup from 1 ft,,48,52
3,9:48.0,,J. Johnson makes 3-pt jump shot from 25 ft,48,55
3,9:18.0,D. Augustin misses 2-pt jump shot from 15 ft,,48,55
3,9:16.0,,Defensive rebound by W. Ellington,48,55
3,9:10.0,,W. Ellington misses 3-pt jump shot from 25 ft,48,55
3,9:08.0,Defensive rebound by N. Vučević,,48,55
3,9:06.0,Shooting foul by J. Johnson (drawn by A. Gordon),,48,55
3,9:06.0,A. Gordon makes free throw 1 of 2,,49,55
3,9:06.0,A. Gordon makes free throw 2 of 2,,50,55
3,8:43.0,,J. Richardson misses 2-pt layup from 2 ft,50,55
3,8:43.0,Defensive rebound by Team,,50,55
3,8:31.0,N. Vučević misses 2-pt jump shot from 16 ft,,50,55
3,8:28.0,,Defensive rebound by R. McGruder,50,55
3,8:15.0,,J. Johnson misses 3-pt jump shot from 25 ft,50,55
3,8:13.0,Defensive rebound by N. Vučević,,50,55
3,8:09.0,D. Augustin misses 3-pt jump shot from 25 ft,,50,55
3,8:08.0,Offensive rebound by N. Vučević,,50,55
3,8:07.0,N. Vučević misses 2-pt layup from 1 ft,,50,55
3,8:06.0,,Defensive rebound by H. Whiteside,50,55
3,7:51.0,,H. Whiteside misses 2-pt jump shot from 20 ft,50,55
3,7:48.0,Defensive rebound by A. Gordon,,50,55
3,7:43.0,A. Gordon makes 3-pt jump shot from 26 ft,,53,55
3,7:27.0,,Turnover by R. McGruder (bad pass; steal by A. Gordon),53,55
3,7:25.0,A. Gordon makes 2-pt dunk from 1 ft,,55,55
3,7:25.0,,Miami full timeout,55,55
3,7:06.0,,J. Richardson misses 2-pt layup from 4 ft,55,55
3,7:05.0,,Offensive rebound by J. Richardson,55,55
3,7:05.0,,J. Richardson misses 2-pt layup from 2 ft,55,55
3,7:04.0,,Offensive rebound by J. Richardson,55,55
3,7:02.0,,J. Richardson makes 2-pt layup from 1 ft,55,57
3,6:42.0,A. Gordon misses 2-pt layup from 2 ft (block by H. Whiteside),,55,57
3,6:42.0,,Defensive rebound by W. Ellington,55,57
3,6:34.0,,Personal foul by J. Simmons (drawn by H. Whiteside),55,57
3,6:26.0,,Turnover by J. Johnson (bad pass; steal by N. Vučević),55,57
3,6:21.0,Personal foul by J. Johnson (drawn by A. Gordon),,55,57
3,6:09.0,N. Vučević misses 2-pt jump shot from 19 ft,,55,57
3,6:07.0,,Defensive rebound by R. McGruder,55,57
3,5:59.0,,Shooting foul by J. Simmons (drawn by H. Whiteside),55,57
3,5:59.0,,H. Whiteside misses free throw 1 of 2,55,57
3,5:59.0,,Offensive rebound by Team,55,57
3,5:59.0,J. Isaac enters the game for J. Simmons,,55,57
3,5:59.0,,H. Whiteside misses free throw 2 of 2,55,57
3,5:56.0,,Offensive rebound by R. McGruder,55,57
3,5:54.0,,W. Ellington misses 3-pt jump shot from 23 ft,55,57
3,5:50.0,Defensive rebound by J. Isaac,,55,57
3,5:39.0,E. Fournier makes 3-pt jump shot from 25 ft,,58,57
3,5:16.0,,J. Johnson misses 3-pt jump shot from 22 ft,58,57
3,5:13.0,Defensive rebound by D. Augustin,,58,57
3,5:07.0,D. Augustin misses 2-pt layup from 1 ft (block by H. Whiteside),,58,57
3,5:07.0,Offensive rebound by Team,,58,57
3,5:07.0,T. Ross enters the game for E. Fournier,,58,57
3,5:07.0,,D. Wade enters the game for R. McGruder,58,57
3,5:01.0,T. Ross makes 2-pt jump shot from 22 ft (assist by D. Augustin),,60,57
3,4:39.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by D. Wade),60,60
3,4:12.0,J. Isaac makes 2-pt layup from 2 ft,,62,60
3,3:42.0,,J. Richardson misses 3-pt jump shot from 25 ft,62,60
3,3:39.0,Defensive rebound by A. Gordon,,62,60
3,3:33.0,A. Gordon makes 3-pt jump shot from 25 ft,,65,60
3,3:20.0,,J. Johnson misses 2-pt layup from 1 ft,65,60
3,3:18.0,Defensive rebound by N. Vučević,,65,60
3,3:15.0,D. Augustin misses 3-pt jump shot from 25 ft,,65,60
3,3:11.0,,Defensive rebound by J. Johnson,65,60
3,3:07.0,,Miami full timeout,65,60
3,3:07.0,J. Grant enters the game for D. Augustin,,65,60
3,3:07.0,,B. Adebayo enters the game for W. Ellington,65,60
3,3:07.0,,T. Johnson enters the game for J. Johnson,65,60
3,3:07.0,,K. Olynyk enters the game for J. Richardson,65,60
3,3:07.0,,J. Winslow enters the game for H. Whiteside,65,60
3,2:52.0,,D. Wade misses 2-pt jump shot from 9 ft,65,60
3,2:50.0,Defensive rebound by N. Vučević,,65,60
3,2:37.0,A. Gordon makes 2-pt dunk from 1 ft (assist by N. Vučević),,67,60
3,2:25.0,,Turnover by K. Olynyk (lost ball),67,60
3,2:25.0,,Loose ball foul by K. Olynyk (drawn by J. Isaac),67,60
3,2:12.0,,Violation by Team (kicked ball),67,60
3,2:07.0,T. Ross makes 2-pt jump shot from 16 ft,,69,60
3,1:44.0,,D. Wade makes 2-pt layup from 2 ft,69,62
3,1:25.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),,71,62
3,1:14.0,,J. Winslow misses 2-pt jump shot from 18 ft,71,62
3,1:11.0,Defensive rebound by J. Isaac,,71,62
3,1:04.0,A. Gordon makes 2-pt dunk from 1 ft,,73,62
3,0:46.0,,B. Adebayo misses 2-pt jump shot from 12 ft,73,62
3,0:43.0,Defensive rebound by N. Vučević,,73,62
3,0:35.0,J. Grant misses 3-pt jump shot from 23 ft,,73,62
3,0:31.0,,Defensive rebound by B. Adebayo,73,62
3,0:31.0,,Turnover by B. Adebayo (bad pass),73,62
3,0:31.0,M. Bamba enters the game for N. Vučević,,73,62
3,0:10.0,T. Ross makes 3-pt jump shot from 25 ft,,76,62
3,0:01.0,,J. Winslow misses 3-pt jump shot from 23 ft,76,62
3,0:00.0,,Offensive rebound by Team,76,62
4,11:44.0,,T. Johnson misses 2-pt layup from 4 ft (block by J. Grant),76,62
4,11:43.0,,Offensive rebound by J. Winslow,76,62
4,11:40.0,,J. Winslow makes 2-pt layup from 1 ft,76,64
4,11:26.0,T. Ross misses 2-pt jump shot from 19 ft,,76,64
4,11:26.0,Offensive rebound by Team,,76,64
4,11:10.0,J. Grant misses 3-pt jump shot from 26 ft,,76,64
4,11:08.0,Offensive rebound by J. Grant,,76,64
4,11:06.0,J. Grant misses 3-pt jump shot from 25 ft,,76,64
4,11:06.0,,Defensive rebound by Team,76,64
4,10:46.0,,B. Adebayo misses 2-pt layup from 1 ft,76,64
4,10:44.0,,Offensive rebound by B. Adebayo,76,64
4,10:42.0,,B. Adebayo makes 2-pt layup from 1 ft,76,66
4,10:25.0,T. Ross misses 3-pt jump shot from 25 ft,,76,66
4,10:22.0,,Defensive rebound by B. Adebayo,76,66
4,10:13.0,,Personal foul by J. Grant (drawn by B. Adebayo),76,66
4,10:05.0,,K. Olynyk misses 3-pt jump shot from 24 ft,76,66
4,10:02.0,Defensive rebound by J. Isaac,,76,66
4,9:56.0,J. Grant makes 3-pt jump shot from 26 ft (assist by T. Ross),,79,66
4,9:44.0,,K. Olynyk makes 3-pt jump shot from 29 ft (assist by J. Winslow),79,69
4,9:27.0,Personal foul by K. Olynyk (drawn by M. Bamba),,79,69
4,9:13.0,J. Isaac makes 2-pt jump shot from 17 ft,,81,69
4,8:55.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),81,72
4,8:32.0,M. Bamba misses 2-pt layup from 6 ft (block by D. Wade),,81,72
4,8:30.0,Offensive rebound by Team,,81,72
4,8:30.0,Turnover by Team (shot clock),,81,72
4,8:16.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Wade),81,75
4,8:16.0,Orlando full timeout,,81,75
4,7:58.0,T. Ross makes 2-pt jump shot from 21 ft (assist by J. Isaac),,83,75
4,7:42.0,,D. Wade makes 2-pt layup from 1 ft (assist by T. Johnson),83,77
4,7:42.0,A. Gordon enters the game for J. Isaac,,83,77
4,7:13.0,M. Bamba makes 2-pt layup from 2 ft (assist by J. Grant),,85,77
4,7:00.0,,D. Wade misses 2-pt jump shot from 8 ft,85,77
4,6:55.0,Defensive rebound by E. Fournier,,85,77
4,6:55.0,Shooting foul by D. Wade (drawn by M. Bamba),,85,77
4,6:55.0,M. Bamba misses free throw 1 of 2,,85,77
4,6:55.0,Offensive rebound by Team,,85,77
4,6:55.0,,J. Richardson enters the game for T. Johnson,85,77
4,6:55.0,M. Bamba misses free throw 2 of 2,,85,77
4,6:52.0,,Defensive rebound by J. Winslow,85,77
4,6:35.0,,Personal foul by E. Fournier (drawn by K. Olynyk),85,77
4,6:30.0,,J. Richardson misses 3-pt jump shot from 26 ft,85,77
4,6:27.0,Defensive rebound by T. Ross,,85,77
4,6:25.0,Turnover by M. Bamba (offensive foul),,85,77
4,6:25.0,Offensive foul by M. Bamba (drawn by K. Olynyk),,85,77
4,6:25.0,N. Vučević enters the game for M. Bamba,,85,77
4,6:06.0,,J. Winslow misses 2-pt layup from 1 ft,85,77
4,6:05.0,,Offensive rebound by B. Adebayo,85,77
4,6:04.0,,B. Adebayo makes 2-pt dunk from 1 ft,85,79
4,5:42.0,Turnover by T. Ross (bad pass; steal by B. Adebayo),,85,79
4,5:40.0,,Turnover by B. Adebayo (bad pass),85,79
4,5:40.0,D. Augustin enters the game for E. Fournier,,85,79
4,5:40.0,J. Isaac enters the game for J. Grant,,85,79
4,5:40.0,,R. McGruder enters the game for D. Wade,85,79
4,5:26.0,D. Augustin misses 3-pt jump shot from 29 ft,,85,79
4,5:22.0,Offensive rebound by N. Vučević,,85,79
4,5:19.0,N. Vučević makes 2-pt hook shot from 8 ft,,87,79
4,4:58.0,,B. Adebayo misses 2-pt layup from 2 ft,87,79
4,4:56.0,Defensive rebound by A. Gordon,,87,79
4,4:48.0,A. Gordon misses 2-pt jump shot from 21 ft,,87,79
4,4:47.0,Offensive rebound by J. Isaac,,87,79
4,4:38.0,Shooting foul by K. Olynyk (drawn by N. Vučević),,87,79
4,4:38.0,N. Vučević misses free throw 1 of 2,,87,79
4,4:38.0,Offensive rebound by Team,,87,79
4,4:38.0,N. Vučević makes free throw 2 of 2,,88,79
4,4:35.0,,Miami full timeout,88,79
4,4:26.0,,K. Olynyk misses 3-pt jump shot from 26 ft,88,79
4,4:23.0,Defensive rebound by T. Ross,,88,79
4,4:10.0,N. Vučević misses 3-pt jump shot from 23 ft,,88,79
4,4:08.0,,Defensive rebound by J. Richardson,88,79
4,4:04.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Richardson),88,82
4,3:36.0,N. Vučević makes 2-pt hook shot from 7 ft,,90,82
4,3:13.0,,J. Richardson misses 2-pt jump shot from 20 ft,90,82
4,3:12.0,,Offensive rebound by Team,90,82
4,3:12.0,,Turnover by Team (shot clock),90,82
4,3:12.0,,D. Wade enters the game for R. McGruder,90,82
4,3:10.0,Orlando full timeout,,90,82
4,3:06.0,Shooting foul by J. Richardson (drawn by T. Ross),,90,82
4,3:06.0,T. Ross makes free throw 1 of 3,,91,82
4,3:06.0,T. Ross makes free throw 2 of 3,,92,82
4,3:06.0,T. Ross makes free throw 3 of 3,,93,82
4,2:54.0,,K. Olynyk misses 3-pt jump shot from 25 ft,93,82
4,2:53.0,,Offensive rebound by J. Winslow,93,82
4,2:51.0,,Personal foul by D. Augustin (drawn by J. Winslow),93,82
4,2:49.0,,Personal foul by D. Augustin (drawn by J. Richardson),93,82
4,2:38.0,,D. Wade misses 3-pt jump shot from 26 ft,93,82
4,2:35.0,,Offensive rebound by J. Winslow,93,82
4,2:25.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),93,85
4,1:58.0,D. Augustin misses 3-pt jump shot from 25 ft,,93,85
4,1:57.0,Offensive rebound by Team,,93,85
4,1:56.0,,Loose ball foul by J. Richardson (drawn by J. Isaac),93,85
4,1:56.0,J. Isaac makes free throw 1 of 2,,94,85
4,1:56.0,J. Isaac makes free throw 2 of 2,,95,85
4,1:45.0,,J. Richardson misses 3-pt jump shot from 25 ft,95,85
4,1:42.0,Defensive rebound by A. Gordon,,95,85
4,1:37.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by T. Ross),,98,85
4,1:37.0,,Miami full timeout,98,85
4,1:29.0,,D. Wade misses 3-pt jump shot from 23 ft,98,85
