QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
2,5:23.0,Offensive rebound by E. Bledsoe,,53,47
2,5:19.0,P. Connaughton misses 2-pt jump shot from 5 ft,,53,47
2,5:17.0,,Defensive rebound by E. Freedom,53,47
2,5:08.0,,Turnover by T. Hardaway (bad pass; steal by P. Connaughton),53,47
2,5:02.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by P. Connaughton),,55,47
2,4:50.0,,E. Mudiay makes 2-pt layup from 1 ft,55,49
2,4:40.0,E. Bledsoe makes 2-pt layup from 1 ft,,57,49
2,4:24.0,,E. Mudiay misses 2-pt jump shot from 17 ft,57,49
2,4:23.0,,Offensive rebound by Team,57,49
2,4:23.0,Loose ball foul by B. Lopez (drawn by E. Freedom),,57,49
2,4:23.0,G. Antetokounmpo enters the game for T. Maker,,57,49
2,4:23.0,,N. Vonleh enters the game for K. Knox,57,49
2,4:16.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by E. Freedom),57,52
2,3:57.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,57,52
2,3:55.0,,Defensive rebound by E. Freedom,57,52
2,3:45.0,,T. Hardaway makes 2-pt jump shot from 18 ft,57,54
2,3:44.0,Milwaukee full timeout,,57,54
2,3:44.0,T. Snell enters the game for K. Middleton,,57,54
2,3:26.0,Personal foul by D. Dotson (drawn by P. Connaughton),,57,54
2,3:26.0,P. Connaughton makes free throw 1 of 2,,58,54
2,3:26.0,P. Connaughton makes free throw 2 of 2,,59,54
2,3:09.0,,T. Hardaway misses 2-pt jump shot from 17 ft,59,54
2,3:07.0,Defensive rebound by G. Antetokounmpo,,59,54
2,2:45.0,T. Snell makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,62,54
2,2:25.0,,E. Mudiay misses 2-pt jump shot from 3 ft,62,54
2,2:23.0,Defensive rebound by B. Lopez,,62,54
2,2:18.0,T. Snell misses 3-pt jump shot from 28 ft,,62,54
2,2:16.0,,Defensive rebound by T. Hardaway,62,54
2,2:12.0,,Shooting foul by T. Snell (drawn by D. Dotson),62,54
2,2:12.0,D. DiVincenzo enters the game for P. Connaughton,,62,54
2,2:12.0,,D. Dotson makes free throw 1 of 2,62,55
2,2:12.0,,D. Dotson makes free throw 2 of 2,62,56
2,1:57.0,G. Antetokounmpo makes 2-pt jump shot from 13 ft,,64,56
2,1:46.0,,T. Hardaway misses 3-pt jump shot from 26 ft,64,56
2,1:44.0,Defensive rebound by B. Lopez,,64,56
2,1:30.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,,64,56
2,1:28.0,,Defensive rebound by E. Mudiay,64,56
2,1:25.0,,Shooting foul by D. DiVincenzo (drawn by E. Mudiay),64,56
2,1:25.0,M. Brogdon enters the game for E. Bledsoe,,64,56
2,1:25.0,,E. Mudiay makes free throw 1 of 2,64,57
2,1:25.0,,E. Mudiay makes free throw 2 of 2,64,58
2,1:10.0,Shooting foul by E. Freedom (drawn by G. Antetokounmpo),,64,58
2,1:10.0,G. Antetokounmpo makes free throw 1 of 2,,65,58
2,1:10.0,G. Antetokounmpo makes free throw 2 of 2,,66,58
2,0:48.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by T. Hardaway),66,61
2,0:33.0,D. DiVincenzo misses 2-pt layup at rim,,66,61
2,0:31.0,Offensive rebound by M. Brogdon,,66,61
2,0:22.0,M. Brogdon misses 3-pt jump shot from 25 ft,,66,61
2,0:21.0,,Defensive rebound by Team,66,61
2,0:21.0,T. Maker enters the game for B. Lopez,,66,61
2,0:21.0,,K. Knox enters the game for N. Vonleh,66,61
2,0:00.0,,K. Knox misses 3-pt jump shot from 23 ft,66,61
2,0:00.0,,Offensive rebound by Team,66,61
3,11:39.0,,T. Hardaway misses 2-pt jump shot from 10 ft,66,61
3,11:37.0,,Offensive rebound by Team,66,61
3,11:33.0,,Turnover by E. Freedom (bad pass; steal by E. Bledsoe),66,61
3,11:30.0,E. Bledsoe makes 2-pt layup at rim,,68,61
3,11:10.0,,N. Vonleh makes 3-pt jump shot from 27 ft (assist by M. Hezonja),68,64
3,10:57.0,K. Middleton misses 2-pt layup at rim,,68,64
3,10:54.0,,Defensive rebound by E. Freedom,68,64
3,10:48.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by E. Mudiay),68,66
3,10:35.0,Turnover by B. Lopez (traveling),,68,66
3,10:19.0,,Shooting foul by M. Brogdon (drawn by T. Hardaway),68,66
3,10:19.0,,T. Hardaway makes free throw 1 of 2,68,67
3,10:19.0,,T. Hardaway misses free throw 2 of 2,68,67
3,10:17.0,Defensive rebound by G. Antetokounmpo,,68,67
3,10:08.0,G. Antetokounmpo misses 2-pt jump shot from 8 ft,,68,67
3,10:06.0,,Defensive rebound by E. Freedom,68,67
3,9:56.0,,Turnover by M. Hezonja (lost ball; steal by K. Middleton),68,67
3,9:47.0,B. Lopez makes 2-pt layup at rim (assist by K. Middleton),,70,67
3,9:32.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),70,69
3,9:32.0,,Shooting foul by K. Middleton (drawn by E. Freedom),70,69
3,9:32.0,,E. Freedom misses free throw 1 of 1,70,69
3,9:30.0,Defensive rebound by K. Middleton,,70,69
3,9:16.0,B. Lopez misses 3-pt jump shot from 28 ft,,70,69
3,9:14.0,,Defensive rebound by M. Hezonja,70,69
3,9:03.0,,Personal foul by M. Brogdon (drawn by M. Hezonja),70,69
3,8:48.0,,E. Freedom makes 2-pt jump shot from 15 ft,70,71
3,8:47.0,Milwaukee full timeout,,70,71
3,8:47.0,P. Connaughton enters the game for M. Brogdon,,70,71
3,8:47.0,T. Snell enters the game for K. Middleton,,70,71
3,8:34.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,73,71
3,8:12.0,,E. Freedom misses 2-pt hook shot from 7 ft,73,71
3,8:10.0,Defensive rebound by B. Lopez,,73,71
3,7:55.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,75,71
3,7:55.0,Shooting foul by N. Vonleh (drawn by G. Antetokounmpo),,75,71
3,7:55.0,G. Antetokounmpo makes free throw 1 of 1,,76,71
3,7:46.0,,Personal foul by P. Connaughton (drawn by T. Hardaway),76,71
3,7:39.0,,T. Hardaway misses 2-pt jump shot from 11 ft,76,71
3,7:34.0,Defensive rebound by B. Lopez,,76,71
3,7:31.0,Shooting foul by N. Vonleh (drawn by T. Snell),,76,71
3,7:31.0,T. Snell makes free throw 1 of 2,,77,71
3,7:31.0,T. Snell makes free throw 2 of 2,,78,71
3,7:22.0,,E. Mudiay misses 2-pt layup from 1 ft,78,71
3,7:20.0,Defensive rebound by B. Lopez,,78,71
3,7:16.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,81,71
3,7:05.0,,New York full timeout,81,71
3,6:56.0,,T. Hardaway misses 2-pt jump shot from 16 ft,81,71
3,6:54.0,Defensive rebound by T. Snell,,81,71
3,6:32.0,T. Snell misses 2-pt jump shot from 9 ft,,81,71
3,6:30.0,Offensive rebound by G. Antetokounmpo,,81,71
3,6:25.0,Offensive foul by G. Antetokounmpo (drawn by N. Vonleh),,81,71
3,6:25.0,Turnover by G. Antetokounmpo (offensive foul),,81,71
3,6:25.0,T. Maker enters the game for G. Antetokounmpo,,81,71
3,6:25.0,,K. Knox enters the game for M. Hezonja,81,71
3,6:04.0,,E. Mudiay misses 2-pt jump shot from 22 ft,81,71
3,6:02.0,Defensive rebound by P. Connaughton,,81,71
3,5:54.0,T. Maker makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,84,71
3,5:42.0,,K. Knox misses 2-pt jump shot from 5 ft (block by B. Lopez),84,71
3,5:40.0,Defensive rebound by B. Lopez,,84,71
3,5:30.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,87,71
3,5:24.0,,New York full timeout,87,71
3,5:24.0,,A. Trier enters the game for E. Mudiay,87,71
3,5:14.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by A. Trier),87,74
3,5:05.0,Personal foul by E. Freedom (drawn by T. Maker),,87,74
3,4:57.0,E. Bledsoe makes 2-pt jump shot from 6 ft,,89,74
3,4:47.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by A. Trier),89,76
3,4:36.0,T. Maker misses 3-pt jump shot from 23 ft,,89,76
3,4:34.0,,Defensive rebound by A. Trier,89,76
3,4:30.0,,A. Trier misses 2-pt jump shot from 20 ft,89,76
3,4:28.0,Defensive rebound by P. Connaughton,,89,76
3,4:22.0,T. Snell misses 3-pt jump shot from 27 ft,,89,76
3,4:20.0,,Defensive rebound by A. Trier,89,76
3,4:11.0,,Offensive foul by N. Vonleh (drawn by P. Connaughton),89,76
3,4:11.0,,Turnover by N. Vonleh (offensive foul),89,76
3,4:11.0,G. Antetokounmpo enters the game for B. Lopez,,89,76
3,4:11.0,,M. Robinson enters the game for N. Vonleh,89,76
3,4:02.0,E. Bledsoe makes 2-pt layup from 1 ft,,91,76
3,3:52.0,,Shooting foul by T. Maker (drawn by A. Trier),91,76
3,3:52.0,,D. Dotson enters the game for E. Freedom,91,76
3,3:52.0,,A. Trier makes free throw 1 of 2,91,77
3,3:52.0,,A. Trier makes free throw 2 of 2,91,78
3,3:39.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),,93,78
3,3:23.0,,Turnover by A. Trier (bad pass; steal by T. Maker),93,78
3,3:21.0,Shooting foul by K. Knox (drawn by G. Antetokounmpo),,93,78
3,3:21.0,M. Brogdon enters the game for E. Bledsoe,,93,78
3,3:21.0,G. Antetokounmpo makes free throw 1 of 2,,94,78
3,3:21.0,G. Antetokounmpo misses free throw 2 of 2,,94,78
3,3:19.0,,Defensive rebound by D. Dotson,94,78
3,3:00.0,,A. Trier makes 2-pt jump shot from 13 ft,94,80
3,2:49.0,P. Connaughton misses 3-pt jump shot from 25 ft,,94,80
3,2:47.0,,Defensive rebound by D. Dotson,94,80
3,2:36.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by A. Trier),94,83
3,2:20.0,T. Snell misses 3-pt jump shot from 26 ft,,94,83
3,2:19.0,,Defensive rebound by A. Trier,94,83
3,2:05.0,,T. Hardaway makes 3-pt jump shot from 26 ft,94,86
3,2:05.0,D. DiVincenzo enters the game for P. Connaughton,,94,86
3,2:05.0,K. Middleton enters the game for T. Maker,,94,86
3,1:39.0,K. Middleton misses 2-pt jump shot from 21 ft,,94,86
3,1:34.0,,Defensive rebound by A. Trier,94,86
3,1:27.0,,Turnover by M. Robinson (lost ball; steal by G. Antetokounmpo),94,86
3,1:22.0,M. Brogdon makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,97,86
3,0:58.0,,M. Robinson makes 2-pt layup from 2 ft (assist by A. Trier),97,88
3,0:49.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,97,88
3,0:46.0,,Defensive rebound by K. Knox,97,88
3,0:43.0,,Turnover by K. Knox (lost ball; steal by M. Brogdon),97,88
3,0:38.0,T. Snell misses 3-pt jump shot from 26 ft,,97,88
3,0:36.0,,Defensive rebound by A. Trier,97,88
3,0:30.0,,A. Trier misses 3-pt jump shot from 27 ft,97,88
3,0:27.0,,Offensive rebound by D. Dotson,97,88
3,0:24.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by K. Knox),97,91
3,0:05.0,T. Snell misses 3-pt jump shot from 23 ft,,97,91
3,0:03.0,,Defensive rebound by A. Trier,97,91
3,0:00.0,,A. Trier makes 2-pt layup from 1 ft,97,93
3,0:00.0,Violation by Team (def goaltending),,97,93
4,11:50.0,Offensive foul by D. DiVincenzo (drawn by M. Robinson),,97,93
4,11:50.0,Turnover by D. DiVincenzo (offensive foul),,97,93
4,11:31.0,,A. Trier misses 2-pt jump shot from 12 ft,97,93
4,11:29.0,Defensive rebound by G. Antetokounmpo,,97,93
4,11:23.0,P. Connaughton misses 3-pt jump shot from 26 ft,,97,93
4,11:21.0,,Defensive rebound by K. Knox,97,93
4,11:11.0,,K. Knox misses 3-pt jump shot from 26 ft,97,93
4,11:10.0,,Offensive rebound by M. Robinson,97,93
4,11:10.0,,M. Robinson makes 2-pt layup from 1 ft,97,95
4,11:10.0,,Shooting foul by G. Antetokounmpo (drawn by M. Robinson),97,95
4,11:10.0,,M. Robinson misses free throw 1 of 1,97,95
4,11:08.0,Defensive rebound by G. Antetokounmpo,,97,95
4,10:47.0,Turnover by G. Antetokounmpo (3 sec),,97,95
4,10:39.0,,Turnover by A. Trier (traveling),97,95
4,10:29.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,99,95
4,10:29.0,Shooting foul by M. Robinson (drawn by G. Antetokounmpo),,99,95
4,10:29.0,,E. Mudiay enters the game for T. Hardaway,99,95
4,10:29.0,G. Antetokounmpo makes free throw 1 of 1,,100,95
4,10:22.0,,K. Knox makes 2-pt layup from 1 ft,100,97
4,10:12.0,S. Brown makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,103,97
4,10:12.0,Shooting foul by M. Robinson (drawn by S. Brown),,103,97
4,10:12.0,S. Brown makes free throw 1 of 1,,104,97
4,9:49.0,,K. Knox makes 2-pt jump shot from 22 ft (assist by A. Trier),104,99
4,9:36.0,M. Brogdon makes 3-pt jump shot from 26 ft,,107,99
4,9:14.0,,A. Trier misses 2-pt jump shot from 18 ft,107,99
4,9:12.0,Defensive rebound by M. Brogdon,,107,99
4,9:08.0,Turnover by M. Brogdon (bad pass),,107,99
4,9:08.0,B. Lopez enters the game for D. DiVincenzo,,107,99
4,8:52.0,,K. Knox misses 3-pt jump shot from 25 ft,107,99
4,8:50.0,Defensive rebound by B. Lopez,,107,99
4,8:41.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,109,99
4,8:32.0,,New York full timeout,109,99
4,8:32.0,,T. Hardaway enters the game for M. Robinson,109,99
4,8:32.0,,N. Vonleh enters the game for A. Trier,109,99
4,8:20.0,,E. Mudiay misses 2-pt jump shot from 18 ft,109,99
4,8:18.0,Defensive rebound by M. Brogdon,,109,99
4,8:09.0,Turnover by M. Brogdon (bad pass; steal by E. Mudiay),,109,99
4,8:04.0,,E. Mudiay misses 2-pt layup from 1 ft (block by G. Antetokounmpo),109,99
4,8:02.0,Defensive rebound by S. Brown,,109,99
4,7:55.0,S. Brown misses 2-pt layup from 2 ft,,109,99
4,7:53.0,,Defensive rebound by N. Vonleh,109,99
4,7:45.0,,T. Hardaway misses 3-pt jump shot from 31 ft,109,99
4,7:43.0,Defensive rebound by G. Antetokounmpo,,109,99
4,7:33.0,M. Brogdon makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),,111,99
4,7:33.0,E. Bledsoe enters the game for G. Antetokounmpo,,111,99
4,7:33.0,,E. Freedom enters the game for E. Mudiay,111,99
4,7:09.0,,T. Hardaway misses 2-pt jump shot from 14 ft,111,99
4,7:07.0,Defensive rebound by S. Brown,,111,99
4,6:54.0,S. Brown makes 2-pt layup from 1 ft (assist by P. Connaughton),,113,99
4,6:39.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by D. Dotson),113,102
4,6:21.0,B. Lopez misses 3-pt jump shot from 25 ft,,113,102
4,6:19.0,,Defensive rebound by K. Knox,113,102
4,6:08.0,,Turnover by T. Hardaway (bad pass; steal by S. Brown),113,102
4,5:56.0,Personal foul by T. Hardaway (drawn by B. Lopez),,113,102
