QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
1,4:48.0,Shooting foul by D. DeRozan (drawn by J. Holiday),,15,10
1,4:48.0,J. Holiday makes free throw 1 of 2,,16,10
1,4:48.0,J. Randle enters the game for N. Mirotić,,16,10
1,4:48.0,,M. Belinelli enters the game for R. Gay,16,10
1,4:48.0,J. Holiday makes free throw 2 of 2,,17,10
1,4:24.0,,D. Cunningham makes 3-pt jump shot from 26 ft (assist by D. DeRozan),17,13
1,4:05.0,Turnover by E. Moore (dbl dribble),,17,13
1,4:05.0,D. Miller enters the game for W. Johnson,,17,13
1,3:47.0,,D. DeRozan misses 2-pt layup from 4 ft,17,13
1,3:45.0,,Offensive rebound by M. Belinelli,17,13
1,3:42.0,,M. Belinelli makes 2-pt jump shot from 10 ft,17,15
1,3:31.0,A. Davis misses 2-pt jump shot from 16 ft,,17,15
1,3:28.0,,Defensive rebound by M. Belinelli,17,15
1,3:17.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Mills),17,17
1,3:06.0,J. Holiday misses 3-pt jump shot from 25 ft,,17,17
1,3:02.0,,Defensive rebound by L. Aldridge,17,17
1,2:53.0,,Personal foul by J. Holiday (drawn by D. DeRozan),17,17
1,2:53.0,New Orleans full timeout,,17,17
1,2:53.0,T. Frazier enters the game for E. Moore,,17,17
1,2:45.0,,Shooting foul by J. Holiday (drawn by D. DeRozan),17,17
1,2:45.0,,D. DeRozan makes free throw 1 of 2,17,18
1,2:45.0,,D. DeRozan makes free throw 2 of 2,17,19
1,2:31.0,J. Randle misses 3-pt jump shot from 27 ft,,17,19
1,2:27.0,,Defensive rebound by M. Belinelli,17,19
1,2:18.0,,P. Mills misses 2-pt jump shot from 18 ft,17,19
1,2:14.0,Defensive rebound by D. Miller,,17,19
1,2:11.0,Personal foul by M. Belinelli (drawn by A. Davis),,17,19
1,2:03.0,T. Frazier misses 2-pt jump shot from 21 ft,,17,19
1,1:56.0,Offensive rebound by J. Randle,,17,19
1,1:52.0,T. Frazier misses 2-pt jump shot from 12 ft (block by D. Cunningham),,17,19
1,1:52.0,Offensive rebound by T. Frazier,,17,19
1,1:52.0,I. Clark enters the game for J. Holiday,,17,19
1,1:52.0,,R. Gay enters the game for D. DeRozan,17,19
1,1:45.0,J. Randle misses 2-pt jump shot from 5 ft,,17,19
1,1:45.0,,Defensive rebound by Team,17,19
1,1:28.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by D. Cunningham),17,21
1,1:19.0,Offensive foul by T. Frazier (drawn by P. Mills),,17,21
1,1:19.0,Turnover by T. Frazier (offensive foul),,17,21
1,1:14.0,,Personal foul by D. Miller (drawn by R. Gay),17,21
1,1:09.0,,L. Aldridge misses 2-pt layup from 7 ft (block by J. Randle),17,21
1,0:59.0,Defensive rebound by I. Clark,,17,21
1,0:57.0,D. Miller misses 3-pt jump shot from 25 ft,,17,21
1,0:54.0,,Defensive rebound by D. Cunningham,17,21
1,0:46.0,,M. Belinelli misses 2-pt jump shot from 17 ft,17,21
1,0:41.0,,Offensive rebound by L. Aldridge,17,21
1,0:40.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),17,24
1,0:35.0,Personal foul by P. Mills (drawn by T. Frazier),,17,24
1,0:28.0,Shooting foul by D. Cunningham (drawn by J. Randle),,17,24
1,0:28.0,J. Randle misses free throw 1 of 2,,17,24
1,0:28.0,Offensive rebound by Team,,17,24
1,0:28.0,,D. DeRozan enters the game for D. Cunningham,17,24
1,0:28.0,J. Randle misses free throw 2 of 2,,17,24
1,0:24.0,,Defensive rebound by D. DeRozan,17,24
1,0:04.0,,R. Gay misses 2-pt jump shot from 22 ft,17,24
1,0:04.0,Defensive rebound by A. Davis,,17,24
1,0:00.0,A. Davis misses 3-pt jump shot from 48 ft,,17,24
1,0:00.0,Offensive rebound by Team,,17,24
2,11:47.0,N. Mirotić misses 3-pt jump shot from 25 ft,,17,24
2,11:44.0,,Defensive rebound by P. Mills,17,24
2,11:34.0,,M. Belinelli misses 2-pt layup from 4 ft,17,24
2,11:31.0,Defensive rebound by I. Clark,,17,24
2,11:27.0,N. Mirotić makes 2-pt layup from 2 ft (assist by I. Clark),,19,24
2,11:14.0,,M. Belinelli misses 3-pt jump shot from 26 ft,19,24
2,11:14.0,Defensive rebound by N. Mirotić,,19,24
2,11:03.0,T. Frazier misses 2-pt jump shot from 17 ft,,19,24
2,11:00.0,,Defensive rebound by R. Gay,19,24
2,10:54.0,,R. Gay makes 2-pt layup from 4 ft,19,26
2,10:44.0,Shooting foul by P. Gasol (drawn by J. Randle),,19,26
2,10:44.0,J. Randle misses free throw 1 of 2,,19,26
2,10:44.0,Offensive rebound by Team,,19,26
2,10:44.0,,B. Forbes enters the game for R. Gay,19,26
2,10:44.0,J. Randle makes free throw 2 of 2,,20,26
2,10:26.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by D. Bertāns),20,29
2,10:11.0,N. Mirotić makes 2-pt dunk from 1 ft (assist by T. Frazier),,22,29
2,10:03.0,Violation by Team (kicked ball),,22,29
2,9:53.0,,P. Gasol makes 2-pt jump shot from 23 ft (assist by D. Bertāns),22,31
2,9:48.0,J. Randle misses 2-pt layup from 3 ft (block by P. Gasol),,22,31
2,9:47.0,,Defensive rebound by P. Mills,22,31
2,9:40.0,,P. Gasol misses 2-pt layup from 3 ft,22,31
2,9:39.0,Defensive rebound by N. Mirotić,,22,31
2,9:29.0,I. Clark misses 3-pt jump shot from 23 ft,,22,31
2,9:27.0,,Defensive rebound by D. Bertāns,22,31
2,9:18.0,,B. Forbes misses 2-pt jump shot from 9 ft (block by I. Clark),22,31
2,9:16.0,Defensive rebound by N. Mirotić,,22,31
2,9:10.0,Shooting foul by D. Bertāns (drawn by J. Randle),,22,31
2,9:10.0,J. Randle misses free throw 1 of 2,,22,31
2,9:10.0,Offensive rebound by Team,,22,31
2,9:10.0,E. Moore enters the game for T. Frazier,,22,31
2,9:10.0,J. Randle misses free throw 2 of 2,,22,31
2,9:08.0,,Defensive rebound by P. Gasol,22,31
2,8:51.0,,D. Bertāns makes 2-pt jump shot from 5 ft (assist by P. Gasol),22,33
2,8:36.0,J. Randle makes 2-pt hook shot from 6 ft (assist by D. Miller),,24,33
2,8:25.0,,Personal foul by D. Miller (drawn by B. Forbes),24,33
2,8:25.0,T. Frazier enters the game for D. Miller,,24,33
2,8:25.0,,D. Cunningham enters the game for P. Mills,24,33
2,8:15.0,,D. Cunningham makes 3-pt jump shot from 24 ft (assist by M. Belinelli),24,36
2,8:02.0,E. Moore makes 3-pt jump shot from 25 ft (assist by N. Mirotić),,27,36
2,7:59.0,,San Antonio full timeout,27,36
2,7:59.0,J. Holiday enters the game for T. Frazier,,27,36
2,7:59.0,,D. DeRozan enters the game for M. Belinelli,27,36
2,7:59.0,,R. Gay enters the game for D. Bertāns,27,36
2,7:43.0,,R. Gay misses 2-pt jump shot from 17 ft,27,36
2,7:43.0,Defensive rebound by I. Clark,,27,36
2,7:25.0,J. Holiday makes 2-pt layup from 4 ft,,29,36
2,7:05.0,,Shooting foul by I. Clark (drawn by D. Cunningham),29,36
2,7:05.0,,D. Cunningham makes free throw 1 of 2,29,37
2,7:05.0,,D. Cunningham makes free throw 2 of 2,29,38
2,6:52.0,N. Mirotić misses 3-pt jump shot from 27 ft,,29,38
2,6:52.0,,Defensive rebound by P. Gasol,29,38
2,6:40.0,,D. DeRozan makes 2-pt jump shot from 14 ft,29,40
2,6:32.0,J. Randle misses 2-pt layup from 3 ft,,29,40
2,6:32.0,,Defensive rebound by P. Gasol,29,40
2,6:17.0,,P. Gasol misses 2-pt layup from 2 ft,29,40
2,6:14.0,Defensive rebound by N. Mirotić,,29,40
2,6:08.0,Turnover by J. Randle (lost ball; steal by B. Forbes),,29,40
2,6:04.0,,D. DeRozan makes 2-pt dunk from 3 ft (assist by B. Forbes),29,42
2,5:58.0,Turnover by I. Clark (step out of bounds),,29,42
2,5:58.0,A. Davis enters the game for J. Randle,,29,42
2,5:58.0,,L. Aldridge enters the game for P. Gasol,29,42
2,5:58.0,New Orleans full timeout,,29,42
2,5:39.0,,D. DeRozan misses 2-pt jump shot from 17 ft,29,42
2,5:36.0,Defensive rebound by N. Mirotić,,29,42
2,5:32.0,A. Davis misses 3-pt jump shot from 26 ft,,29,42
2,5:28.0,,Defensive rebound by R. Gay,29,42
2,5:22.0,,L. Aldridge makes 2-pt hook shot from 3 ft (assist by R. Gay),29,44
2,5:12.0,N. Mirotić misses 2-pt jump shot from 8 ft,,29,44
2,5:10.0,,Defensive rebound by L. Aldridge,29,44
2,4:59.0,,L. Aldridge misses 2-pt jump shot from 22 ft,29,44
2,4:54.0,Defensive rebound by I. Clark,,29,44
2,4:45.0,Shooting foul by R. Gay (drawn by A. Davis),,29,44
2,4:45.0,A. Davis misses free throw 1 of 2,,29,44
2,4:45.0,Offensive rebound by Team,,29,44
2,4:45.0,W. Johnson enters the game for I. Clark,,29,44
2,4:45.0,A. Davis misses free throw 2 of 2,,29,44
2,4:42.0,,Defensive rebound by R. Gay,29,44
2,4:27.0,,B. Forbes makes 2-pt jump shot from 18 ft,29,46
2,4:27.0,,Shooting foul by E. Moore (drawn by B. Forbes),29,46
2,4:27.0,,B. Forbes makes free throw 1 of 1,29,47
2,4:20.0,Turnover by J. Holiday (bad pass; steal by B. Forbes),,29,47
2,4:07.0,,B. Forbes misses 3-pt jump shot from 29 ft (block by A. Davis),29,47
2,4:02.0,Defensive rebound by W. Johnson,,29,47
2,4:00.0,A. Davis misses 2-pt layup from 2 ft,,29,47
2,3:57.0,,Defensive rebound by L. Aldridge,29,47
2,3:54.0,,L. Aldridge misses 2-pt layup from 3 ft (block by A. Davis),29,47
2,3:53.0,,Offensive rebound by Team,29,47
2,3:53.0,,P. Mills enters the game for B. Forbes,29,47
2,3:48.0,,Def 3 sec tech foul by Team,29,47
2,3:48.0,,D. DeRozan makes technical free throw,29,48
2,3:36.0,,R. Gay misses 2-pt jump shot from 13 ft,29,48
2,3:32.0,Defensive rebound by N. Mirotić,,29,48
2,3:28.0,Personal foul by L. Aldridge (drawn by A. Davis),,29,48
2,3:18.0,J. Holiday makes 2-pt jump shot from 4 ft,,31,48
2,2:55.0,,D. DeRozan misses 3-pt jump shot from 25 ft,31,48
2,2:53.0,Defensive rebound by A. Davis,,31,48
2,2:53.0,Personal foul by D. DeRozan (drawn by A. Davis),,31,48
2,2:53.0,A. Davis misses free throw 1 of 2,,31,48
2,2:53.0,Offensive rebound by Team,,31,48
2,2:53.0,,M. Belinelli enters the game for R. Gay,31,48
2,2:53.0,A. Davis makes free throw 2 of 2,,32,48
2,2:33.0,,M. Belinelli makes 2-pt layup from 3 ft (assist by L. Aldridge),32,50
2,2:27.0,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),,35,50
2,2:12.0,,D. DeRozan misses 2-pt layup from 4 ft (block by A. Davis),35,50
2,2:08.0,,Offensive rebound by D. Cunningham,35,50
2,2:05.0,,D. Cunningham misses 3-pt jump shot from 25 ft,35,50
2,2:01.0,Defensive rebound by W. Johnson,,35,50
2,1:55.0,E. Moore misses 2-pt jump shot from 22 ft,,35,50
2,1:55.0,,Defensive rebound by P. Mills,35,50
2,1:55.0,,Personal foul by E. Moore (drawn by P. Mills),35,50
2,1:36.0,,D. Cunningham makes 2-pt dunk from 6 ft (assist by M. Belinelli),35,52
2,1:17.0,J. Holiday makes 2-pt layup from 4 ft,,37,52
2,0:56.0,,D. DeRozan makes 2-pt jump shot from 6 ft,37,54
2,0:49.0,A. Davis makes 2-pt dunk from 4 ft (assist by E. Moore),,39,54
2,0:33.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. DeRozan),39,56
2,0:17.0,J. Holiday misses 3-pt jump shot from 26 ft,,39,56
2,0:12.0,,Defensive rebound by P. Mills,39,56
2,0:01.0,,D. DeRozan misses 2-pt jump shot from 17 ft,39,56
2,0:01.0,,Offensive rebound by L. Aldridge,39,56
2,0:00.0,,L. Aldridge makes 2-pt layup from 1 ft,39,58
3,11:47.0,A. Davis misses 2-pt jump shot from 12 ft,,39,58
3,11:43.0,,Defensive rebound by D. Cunningham,39,58
3,11:29.0,,L. Aldridge misses 2-pt jump shot from 16 ft,39,58
3,11:25.0,Defensive rebound by J. Holiday,,39,58
3,11:18.0,J. Holiday makes 2-pt jump shot from 7 ft (assist by A. Davis),,41,58
3,10:58.0,,Personal foul by J. Holiday (drawn by D. DeRozan),41,58
3,10:47.0,,R. Gay makes 2-pt jump shot from 19 ft,41,60
3,10:35.0,E. Moore misses 2-pt hook shot from 6 ft,,41,60
3,10:32.0,Offensive rebound by E. Moore,,41,60
3,10:25.0,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Holiday),,43,60
3,10:07.0,,L. Aldridge makes 2-pt jump shot from 10 ft,43,62
3,9:58.0,E. Moore misses 2-pt jump shot from 9 ft,,43,62
3,9:55.0,,Defensive rebound by L. Aldridge,43,62
3,9:48.0,,R. Gay misses 2-pt layup from 3 ft,43,62
3,9:44.0,Defensive rebound by W. Johnson,,43,62
3,9:42.0,N. Mirotić misses 2-pt layup from 3 ft (block by D. Cunningham),,43,62
3,9:42.0,Offensive rebound by Team,,43,62
3,9:41.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by J. Holiday),,46,62
3,9:18.0,,D. DeRozan makes 2-pt jump shot from 16 ft,46,64
3,9:09.0,N. Mirotić makes 2-pt layup from 3 ft (assist by A. Davis),,48,64
3,9:09.0,,Violation by Team (def goaltending),48,64
3,8:53.0,,Personal foul by W. Johnson (drawn by R. Gay),48,64
3,8:47.0,,Personal foul by N. Mirotić (drawn by L. Aldridge),48,64
3,8:39.0,,D. Cunningham misses 3-pt jump shot from 25 ft,48,64
3,8:34.0,Defensive rebound by A. Davis,,48,64
3,8:28.0,N. Mirotić misses 3-pt jump shot from 26 ft,,48,64
3,8:25.0,,Defensive rebound by D. DeRozan,48,64
3,8:16.0,,B. Forbes misses 3-pt jump shot from 26 ft,48,64
3,8:12.0,Defensive rebound by W. Johnson,,48,64
3,8:10.0,Shooting foul by R. Gay (drawn by A. Davis),,48,64
3,8:10.0,A. Davis makes free throw 1 of 2,,49,64
3,8:10.0,,M. Belinelli enters the game for B. Forbes,49,64
3,8:10.0,,P. Mills enters the game for R. Gay,49,64
3,8:10.0,A. Davis makes free throw 2 of 2,,50,64
3,7:47.0,,D. Cunningham makes 2-pt dunk from 1 ft (assist by L. Aldridge),50,66
3,7:28.0,J. Holiday misses 2-pt jump shot from 14 ft,,50,66
3,7:26.0,,Defensive rebound by D. DeRozan,50,66
3,7:17.0,,Turnover by L. Aldridge (traveling),50,66
3,7:17.0,I. Clark enters the game for E. Moore,,50,66
3,7:03.0,N. Mirotić misses 3-pt jump shot from 27 ft,,50,66
3,7:00.0,,Defensive rebound by P. Mills,50,66
3,6:50.0,,San Antonio full timeout,50,66
3,6:48.0,,Shooting foul by A. Davis (drawn by P. Mills),50,66
3,6:48.0,,P. Mills makes free throw 1 of 3,50,67
3,6:48.0,,Offensive rebound by Team,50,67
3,6:48.0,,P. Mills misses free throw 2 of 3,50,67
3,6:48.0,,P. Mills makes free throw 3 of 3,50,68
3,6:40.0,Offensive foul by I. Clark (drawn by L. Aldridge),,50,68
3,6:40.0,Turnover by I. Clark (offensive foul),,50,68
3,6:28.0,,L. Aldridge misses 2-pt jump shot from 19 ft,50,68
3,6:26.0,Defensive rebound by N. Mirotić,,50,68
3,6:19.0,N. Mirotić makes 2-pt layup from 3 ft (assist by J. Holiday),,52,68
3,6:04.0,,D. DeRozan misses 2-pt jump shot from 19 ft,52,68
3,5:57.0,,Offensive rebound by L. Aldridge,52,68
3,5:57.0,,L. Aldridge misses 2-pt layup at rim,52,68
3,5:55.0,Defensive rebound by A. Davis,,52,68
3,5:45.0,J. Holiday misses 3-pt jump shot from 28 ft,,52,68
3,5:43.0,,Defensive rebound by P. Mills,52,68
3,5:38.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Mills),52,70
3,5:31.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by I. Clark),,55,70
3,5:13.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by P. Mills),55,72
3,5:10.0,J. Holiday misses 2-pt hook shot from 3 ft,,55,72
3,4:58.0,,Defensive rebound by L. Aldridge,55,72
3,4:49.0,,D. DeRozan misses 3-pt jump shot from 26 ft,55,72
3,4:46.0,Defensive rebound by A. Davis,,55,72
3,4:40.0,I. Clark misses 2-pt jump shot from 16 ft,,55,72
3,4:40.0,,Defensive rebound by D. Cunningham,55,72
3,4:20.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),55,75
3,4:16.0,New Orleans full timeout,,55,75
3,4:16.0,D. Miller enters the game for W. Johnson,,55,75
3,4:16.0,J. Randle enters the game for N. Mirotić,,55,75
3,4:16.0,,P. Gasol enters the game for D. Cunningham,55,75
3,3:57.0,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Randle),,58,75
3,3:48.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),58,77
3,3:48.0,,Shooting foul by A. Davis (drawn by D. DeRozan),58,77
3,3:48.0,,D. DeRozan makes free throw 1 of 1,58,78
3,3:35.0,J. Randle makes 2-pt layup from 3 ft (assist by I. Clark),,60,78
3,3:25.0,,Turnover by P. Gasol (offensive foul),60,78
3,3:25.0,,Offensive foul by P. Gasol (drawn by J. Randle),60,78
3,3:16.0,J. Holiday makes 2-pt jump shot from 7 ft,,62,78
3,2:55.0,,L. Aldridge misses 2-pt layup from 2 ft,62,78
3,2:55.0,Defensive rebound by J. Randle,,62,78
3,2:46.0,I. Clark misses 3-pt jump shot from 23 ft,,62,78
3,2:43.0,,Defensive rebound by P. Gasol,62,78
3,2:32.0,,Personal foul by D. Miller (drawn by M. Belinelli),62,78
3,2:32.0,,M. Belinelli misses free throw 1 of 2,62,78
3,2:32.0,,Offensive rebound by Team,62,78
3,2:32.0,,B. Forbes enters the game for D. DeRozan,62,78
3,2:32.0,,M. Belinelli makes free throw 2 of 2,62,79
3,2:23.0,J. Holiday makes 2-pt jump shot from 13 ft,,64,79
3,1:54.0,,M. Belinelli misses 3-pt jump shot from 23 ft,64,79
3,1:52.0,,Offensive rebound by Team,64,79
3,1:50.0,,M. Belinelli makes 2-pt jump shot from 15 ft (assist by P. Gasol),64,81
3,1:36.0,J. Holiday makes 2-pt jump shot from 19 ft (assist by A. Davis),,66,81
3,1:23.0,,Personal foul by A. Davis (drawn by P. Mills),66,81
3,1:23.0,,P. Mills makes free throw 1 of 2,66,82
3,1:23.0,C. Diallo enters the game for A. Davis,,66,82
3,1:23.0,,D. Bertāns enters the game for L. Aldridge,66,82
3,1:23.0,,P. Mills misses free throw 2 of 2,66,82
3,1:21.0,Defensive rebound by J. Randle,,66,82
3,1:08.0,J. Randle misses 2-pt layup from 1 ft (block by P. Mills),,66,82
3,1:07.0,,Defensive rebound by P. Mills,66,82
3,1:01.0,,B. Forbes makes 2-pt jump shot from 16 ft (assist by P. Mills),66,84
3,0:50.0,J. Holiday misses 2-pt layup from 2 ft,,66,84
3,0:50.0,Offensive rebound by J. Holiday,,66,84
3,0:40.0,Offensive foul by J. Randle (drawn by D. Bertāns),,66,84
3,0:40.0,Turnover by J. Randle (offensive foul),,66,84
3,0:35.0,,P. Mills makes 3-pt jump shot from 25 ft,66,87
3,0:22.0,J. Holiday makes 2-pt jump shot from 14 ft,,68,87
3,0:05.0,,Turnover by P. Mills (dbl dribble),68,87
3,0:01.0,Personal foul by B. Forbes (drawn by J. Holiday),,68,87
4,11:41.0,,P. Mills misses 3-pt jump shot from 26 ft,68,87
4,11:37.0,Defensive rebound by A. Davis,,68,87
4,11:36.0,Turnover by I. Clark (bad pass),,68,87
4,11:23.0,,L. Aldridge makes 2-pt hook shot from 5 ft (assist by P. Gasol),68,89
4,11:08.0,Personal foul by P. Mills (drawn by I. Clark),,68,89
4,11:08.0,,D. DeRozan enters the game for D. Cunningham,68,89
4,10:53.0,E. Moore makes 2-pt jump shot from 14 ft (assist by J. Randle),,70,89
4,10:31.0,,L. Aldridge misses 2-pt jump shot from 16 ft,70,89
4,10:29.0,Defensive rebound by J. Randle,,70,89
4,10:22.0,A. Davis misses 2-pt layup from 7 ft,,70,89
4,10:18.0,,Defensive rebound by P. Mills,70,89
4,10:14.0,,Personal foul by D. Miller (drawn by D. DeRozan),70,89
4,10:07.0,,D. DeRozan makes 2-pt jump shot from 17 ft,70,91
4,9:52.0,Shooting foul by P. Gasol (drawn by J. Randle),,70,91
4,9:52.0,J. Randle misses free throw 1 of 2,,70,91
4,9:52.0,Offensive rebound by Team,,70,91
4,9:52.0,J. Holiday enters the game for D. Miller,,70,91
4,9:52.0,,D. Bertāns enters the game for M. Belinelli,70,91
4,9:52.0,,B. Forbes enters the game for P. Mills,70,91
4,9:52.0,J. Randle makes free throw 2 of 2,,71,91
4,9:44.0,,Personal foul by J. Randle (drawn by P. Gasol),71,91
4,9:44.0,N. Mirotić enters the game for I. Clark,,71,91
4,9:34.0,,B. Forbes misses 3-pt jump shot from 26 ft,71,91
4,9:29.0,Defensive rebound by J. Holiday,,71,91
4,9:28.0,Shooting foul by D. Bertāns (drawn by E. Moore),,71,91
4,9:28.0,E. Moore misses free throw 1 of 2,,71,91
4,9:28.0,Offensive rebound by Team,,71,91
4,9:28.0,E. Moore makes free throw 2 of 2,,72,91
4,9:10.0,,Turnover by B. Forbes (bad pass; steal by A. Davis),72,91
4,9:06.0,A. Davis makes 2-pt layup from 2 ft,,74,91
4,9:05.0,,San Antonio full timeout,74,91
4,9:05.0,,D. Cunningham enters the game for P. Gasol,74,91
4,8:45.0,,D. Bertāns misses 3-pt jump shot from 28 ft,74,91
4,8:41.0,Defensive rebound by J. Holiday,,74,91
4,8:33.0,J. Holiday makes 2-pt layup from 4 ft,,76,91
4,8:07.0,,Turnover by D. DeRozan (bad pass),76,91
4,8:00.0,J. Holiday makes 2-pt jump shot from 23 ft,,78,91
4,7:44.0,,D. DeRozan makes 2-pt jump shot from 9 ft,78,93
4,7:34.0,A. Davis makes 2-pt jump shot from 13 ft (assist by J. Holiday),,80,93
4,7:18.0,,Turnover by D. DeRozan (bad pass; steal by A. Davis),80,93
4,7:12.0,J. Holiday misses 2-pt jump shot from 23 ft,,80,93
4,7:08.0,,Defensive rebound by L. Aldridge,80,93
4,6:49.0,,D. DeRozan makes 2-pt jump shot from 18 ft,80,95
4,6:36.0,N. Mirotić makes 2-pt jump shot from 6 ft (assist by J. Holiday),,82,95
4,6:11.0,,D. DeRozan misses 2-pt jump shot from 20 ft,82,95
4,6:11.0,,Offensive rebound by D. Cunningham,82,95
4,6:06.0,,D. Cunningham misses 2-pt layup at rim,82,95
4,6:06.0,,Offensive rebound by D. Cunningham,82,95
4,6:06.0,,Personal foul by E. Moore (drawn by D. Cunningham),82,95
4,6:06.0,,M. Belinelli enters the game for D. Bertāns,82,95
4,6:06.0,,P. Mills enters the game for B. Forbes,82,95
4,5:55.0,,Turnover by M. Belinelli (bad pass; steal by J. Randle),82,95
4,5:48.0,Shooting foul by D. Cunningham (drawn by A. Davis),,82,95
4,5:48.0,A. Davis makes free throw 1 of 2,,83,95
4,5:48.0,A. Davis makes free throw 2 of 2,,84,95
4,5:34.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by P. Mills),84,97
4,5:23.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,86,97
4,5:04.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by L. Aldridge),86,100
4,4:48.0,A. Davis misses 2-pt jump shot from 20 ft,,86,100
4,4:46.0,Offensive rebound by Team,,86,100
4,4:46.0,,Loose ball foul by M. Belinelli (drawn by N. Mirotić),86,100
4,4:46.0,N. Mirotić makes free throw 1 of 2,,87,100
4,4:46.0,N. Mirotić makes free throw 2 of 2,,88,100
4,4:26.0,,D. DeRozan makes 2-pt jump shot from 17 ft,88,102
4,4:12.0,J. Holiday misses 2-pt jump shot from 21 ft,,88,102
4,4:09.0,Offensive rebound by J. Randle,,88,102
