QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
1,2:08.0,Y. Ferrell enters the game for D. Fox,,21,24
1,2:08.0,,C. Wood enters the game for J. Randle,21,24
1,1:58.0,,D. Miller makes 2-pt layup from 2 ft (assist by S. Johnson),21,26
1,1:40.0,Turnover by B. Hield (bad pass; steal by C. Wood),,21,26
1,1:34.0,,K. Williams misses 2-pt layup from 3 ft,21,26
1,1:30.0,,Offensive rebound by C. Diallo,21,26
1,1:30.0,,C. Diallo makes 2-pt layup from 1 ft,21,28
1,1:18.0,Personal foul by S. Johnson (drawn by Y. Ferrell),,21,28
1,1:18.0,C. Brewer enters the game for B. Hield,,21,28
1,1:08.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,24,28
1,0:54.0,,C. Wood misses 3-pt jump shot from 23 ft,24,28
1,0:50.0,Defensive rebound by C. Brewer,,24,28
1,0:44.0,M. Bagley makes 2-pt jump shot from 11 ft (assist by C. Brewer),,26,28
1,0:21.0,,C. Wood makes 2-pt jump shot from 6 ft,26,30
1,0:00.0,B. Bogdanović misses 2-pt layup from 4 ft,,26,30
1,0:00.0,Offensive rebound by Team,,26,30
2,11:42.0,,S. Johnson misses 2-pt layup from 3 ft (block by K. Koufos),26,30
2,11:38.0,,Offensive rebound by C. Wood,26,30
2,11:36.0,,C. Wood makes 2-pt dunk from 1 ft,26,32
2,11:15.0,Turnover by M. Bagley (lost ball; steal by C. Wood),,26,32
2,11:11.0,,K. Williams misses 3-pt jump shot from 25 ft,26,32
2,11:06.0,Defensive rebound by Y. Ferrell,,26,32
2,11:04.0,Y. Ferrell makes 3-pt jump shot from 25 ft,,29,32
2,10:49.0,,D. Miller misses 3-pt jump shot from 26 ft,29,32
2,10:45.0,Defensive rebound by K. Koufos,,29,32
2,10:42.0,Offensive foul by Y. Ferrell (drawn by D. Miller),,29,32
2,10:42.0,Turnover by Y. Ferrell (offensive foul),,29,32
2,10:24.0,,S. Johnson makes 2-pt jump shot from 8 ft (assist by K. Williams),29,34
2,10:10.0,M. Bagley makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),,31,34
2,9:47.0,,C. Wood makes 2-pt jump shot from 8 ft (assist by D. Miller),31,36
2,9:29.0,K. Koufos misses 2-pt hook shot from 4 ft,,31,36
2,9:25.0,,Defensive rebound by C. Wood,31,36
2,9:21.0,,C. Diallo makes 2-pt layup from 2 ft (assist by S. Johnson),31,38
2,9:21.0,,Shooting foul by C. Brewer (drawn by C. Diallo),31,38
2,9:21.0,Sacramento full timeout,,31,38
2,9:21.0,W. Cauley-Stein enters the game for K. Koufos,,31,38
2,9:21.0,,C. Diallo makes free throw 1 of 1,31,39
2,9:12.0,Personal foul by S. Johnson (drawn by C. Brewer),,31,39
2,9:04.0,M. Bagley makes 2-pt layup from 2 ft (assist by B. Bogdanović),,33,39
2,8:35.0,,C. Wood makes 2-pt layup from 1 ft,33,41
2,8:27.0,Turnover by M. Bagley (lost ball; steal by C. Wood),,33,41
2,8:21.0,,C. Wood misses 2-pt layup from 6 ft (block by W. Cauley-Stein),33,41
2,8:18.0,Defensive rebound by C. Brewer,,33,41
2,8:17.0,Personal foul by C. Diallo (drawn by Y. Ferrell),,33,41
2,8:03.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,35,41
2,8:03.0,,I. Clark enters the game for C. Diallo,35,41
2,8:03.0,,J. Okafor enters the game for S. Johnson,35,41
2,8:03.0,,E. Payton enters the game for D. Miller,35,41
2,7:43.0,,J. Okafor makes 2-pt hook shot from 6 ft,35,43
2,7:26.0,C. Brewer makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,38,43
2,7:24.0,,Technical foul by K. Williams,38,43
2,7:24.0,Technical foul by C. Brewer,,38,43
2,7:13.0,,I. Clark misses 2-pt layup from 5 ft (block by M. Bagley),38,43
2,7:10.0,Defensive rebound by C. Brewer,,38,43
2,7:01.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by Y. Ferrell),,40,43
2,6:36.0,,C. Wood makes 2-pt jump shot from 10 ft (assist by K. Williams),40,45
2,6:36.0,,Shooting foul by B. Bogdanović (drawn by C. Wood),40,45
2,6:36.0,H. Barnes enters the game for C. Brewer,,40,45
2,6:36.0,D. Fox enters the game for Y. Ferrell,,40,45
2,6:36.0,,C. Wood makes free throw 1 of 1,40,46
2,6:26.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,40,46
2,6:22.0,Offensive rebound by M. Bagley,,40,46
2,6:19.0,M. Bagley misses 2-pt jump shot from 15 ft,,40,46
2,6:15.0,,Defensive rebound by K. Williams,40,46
2,6:02.0,,E. Payton misses 2-pt jump shot from 6 ft,40,46
2,6:02.0,Defensive rebound by Team,,40,46
2,6:02.0,B. Hield enters the game for B. Bogdanović,,40,46
2,5:53.0,D. Fox makes 2-pt layup from 2 ft,,42,46
2,5:31.0,,I. Clark misses 3-pt jump shot from 22 ft,42,46
2,5:27.0,Defensive rebound by W. Cauley-Stein,,42,46
2,5:14.0,M. Bagley makes 2-pt hook shot from 4 ft,,44,46
2,5:14.0,Shooting foul by C. Wood (drawn by M. Bagley),,44,46
2,5:14.0,,J. Randle enters the game for C. Wood,44,46
2,5:14.0,M. Bagley misses free throw 1 of 1,,44,46
2,5:11.0,,Defensive rebound by J. Okafor,44,46
2,5:00.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by E. Payton),44,49
2,4:44.0,D. Fox misses 2-pt layup from 9 ft (block by J. Okafor),,44,49
2,4:41.0,,Defensive rebound by E. Payton,44,49
2,4:39.0,,Turnover by E. Payton (bad pass),44,49
2,4:30.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,46,49
2,4:09.0,,Personal foul by W. Cauley-Stein (drawn by J. Okafor),46,49
2,4:02.0,,K. Williams misses 3-pt jump shot from 24 ft,46,49
2,3:58.0,Defensive rebound by W. Cauley-Stein,,46,49
2,3:49.0,M. Bagley misses 2-pt jump shot from 10 ft,,46,49
2,3:46.0,,Defensive rebound by J. Okafor,46,49
2,3:43.0,,K. Williams makes 2-pt layup from 2 ft (assist by E. Payton),46,51
2,3:32.0,Shooting foul by I. Clark (drawn by D. Fox),,46,51
2,3:32.0,D. Fox misses free throw 1 of 2,,46,51
2,3:32.0,Offensive rebound by Team,,46,51
2,3:32.0,B. Bogdanović enters the game for M. Bagley,,46,51
2,3:32.0,,D. Miller enters the game for K. Williams,46,51
2,3:32.0,D. Fox makes free throw 2 of 2,,47,51
2,3:23.0,,Offensive rebound by Team,47,51
2,3:23.0,,J. Randle misses 2-pt layup from 6 ft (block by W. Cauley-Stein),47,51
2,3:14.0,,Shooting foul by W. Cauley-Stein (drawn by J. Randle),47,51
2,3:14.0,,J. Randle makes free throw 1 of 2,47,52
2,3:14.0,,J. Randle makes free throw 2 of 2,47,53
2,3:05.0,B. Hield misses 3-pt jump shot from 26 ft,,47,53
2,3:01.0,,Defensive rebound by J. Randle,47,53
2,2:57.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by J. Randle),47,56
2,2:38.0,Personal foul by J. Randle (drawn by H. Barnes),,47,56
2,2:38.0,,New Orleans full timeout,47,56
2,2:38.0,H. Barnes makes free throw 1 of 2,,48,56
2,2:38.0,H. Barnes makes free throw 2 of 2,,49,56
2,2:26.0,,Turnover by E. Payton (bad pass; steal by D. Fox),49,56
2,2:21.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,51,56
2,2:02.0,,J. Okafor makes 2-pt jump shot from 8 ft,51,58
2,1:46.0,D. Fox makes 2-pt jump shot from 17 ft,,53,58
2,1:34.0,,Shooting foul by H. Barnes (drawn by J. Randle),53,58
2,1:34.0,,J. Randle makes free throw 1 of 2,53,59
2,1:34.0,Technical foul by A. Gentry,,53,59
2,1:34.0,B. Hield makes technical free throw,,54,59
2,1:34.0,,C. Wood enters the game for J. Okafor,54,59
2,1:34.0,,J. Randle makes free throw 2 of 2,54,60
2,1:19.0,D. Fox misses 3-pt jump shot from 25 ft,,54,60
2,1:15.0,,Defensive rebound by D. Miller,54,60
2,1:11.0,,I. Clark misses 2-pt layup from 6 ft (block by B. Bogdanović),54,60
2,1:07.0,,Offensive rebound by J. Randle,54,60
2,1:06.0,,J. Randle misses 2-pt layup from 2 ft,54,60
2,1:04.0,,Offensive rebound by J. Randle,54,60
2,1:04.0,,J. Randle misses 2-pt layup from 1 ft,54,60
2,1:02.0,,Offensive rebound by J. Randle,54,60
2,1:02.0,,J. Randle makes 2-pt dunk from 1 ft,54,62
2,0:53.0,Personal foul by C. Wood (drawn by W. Cauley-Stein),,54,62
2,0:53.0,W. Cauley-Stein makes free throw 1 of 2,,55,62
2,0:53.0,W. Cauley-Stein makes free throw 2 of 2,,56,62
2,0:34.0,,Turnover by D. Miller (bad pass),56,62
2,0:29.0,Personal foul by C. Wood (drawn by W. Cauley-Stein),,56,62
2,0:29.0,W. Cauley-Stein makes free throw 1 of 2,,57,62
2,0:29.0,,K. Williams enters the game for D. Miller,57,62
2,0:29.0,W. Cauley-Stein makes free throw 2 of 2,,58,62
2,0:15.0,,J. Randle misses 2-pt layup from 2 ft,58,62
2,0:13.0,Defensive rebound by W. Cauley-Stein,,58,62
2,0:12.0,B. Hield makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),,60,62
2,0:04.0,,Personal foul by B. Bogdanović (drawn by C. Wood),60,62
2,0:04.0,,C. Wood makes free throw 1 of 2,60,63
2,0:04.0,,C. Wood makes free throw 2 of 2,60,64
2,0:00.0,D. Fox makes 2-pt layup from 5 ft,,62,64
3,11:42.0,,J. Randle misses 2-pt jump shot from 2 ft,62,64
3,11:40.0,Defensive rebound by W. Cauley-Stein,,62,64
3,11:22.0,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),,65,64
3,11:15.0,,Turnover by E. Payton (bad pass; steal by D. Fox),65,64
3,11:10.0,H. Barnes misses 3-pt jump shot from 24 ft,,65,64
3,11:08.0,,Defensive rebound by Team,65,64
3,10:50.0,,E. Payton misses 3-pt jump shot from 26 ft,65,64
3,10:47.0,Defensive rebound by D. Fox,,65,64
3,10:28.0,H. Barnes misses 2-pt layup from 2 ft,,65,64
3,10:26.0,,Defensive rebound by J. Randle,65,64
3,10:22.0,,E. Payton makes 2-pt layup from 2 ft,65,66
3,10:16.0,,Defensive rebound by E. Payton,65,66
3,10:16.0,D. Fox misses 2-pt layup from 3 ft (block by E. Payton),,65,66
3,10:15.0,,Personal foul by W. Cauley-Stein (drawn by E. Payton),65,66
3,10:03.0,,E. Payton makes 2-pt layup from 1 ft (assist by I. Clark),65,68
3,9:42.0,M. Bagley misses 2-pt jump shot from 7 ft,,65,68
3,9:40.0,,Defensive rebound by J. Okafor,65,68
3,9:35.0,,K. Williams misses 3-pt jump shot from 24 ft,65,68
3,9:33.0,Defensive rebound by D. Fox,,65,68
3,9:25.0,D. Fox misses 2-pt jump shot from 3 ft,,65,68
3,9:20.0,Offensive rebound by D. Fox,,65,68
3,9:20.0,D. Fox misses 2-pt layup from 1 ft,,65,68
3,9:19.0,,Defensive rebound by J. Okafor,65,68
3,9:15.0,,Personal foul by D. Fox (drawn by E. Payton),65,68
3,9:02.0,,I. Clark misses 2-pt jump shot from 5 ft,65,68
3,8:59.0,Defensive rebound by D. Fox,,65,68
3,8:55.0,B. Hield misses 3-pt jump shot from 25 ft,,65,68
3,8:52.0,,Defensive rebound by J. Okafor,65,68
3,8:43.0,,Personal foul by M. Bagley (drawn by J. Randle),65,68
3,8:34.0,,E. Payton misses 3-pt jump shot from 25 ft,65,68
3,8:32.0,Defensive rebound by M. Bagley,,65,68
3,8:25.0,Turnover by B. Hield (lost ball; steal by K. Williams),,65,68
3,8:20.0,,Turnover by I. Clark (lost ball; steal by D. Fox),65,68
3,8:18.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),,67,68
3,8:18.0,,Violation by Team (def goaltending),67,68
3,8:01.0,,J. Randle makes 2-pt layup from 2 ft (assist by E. Payton),67,70
3,8:01.0,,Shooting foul by D. Fox (drawn by J. Randle),67,70
3,8:01.0,,J. Randle makes free throw 1 of 1,67,71
3,7:49.0,W. Cauley-Stein makes 2-pt layup from 7 ft (assist by D. Fox),,69,71
3,7:38.0,,Turnover by J. Randle (bad pass),69,71
3,7:31.0,D. Fox makes 2-pt jump shot from 8 ft,,71,71
3,7:13.0,,J. Randle makes 2-pt layup from 1 ft,71,73
3,7:04.0,Turnover by D. Fox (back court),,71,73
3,6:57.0,,K. Williams misses 3-pt jump shot from 25 ft,71,73
3,6:54.0,Defensive rebound by M. Bagley,,71,73
3,6:50.0,Shooting foul by K. Williams (drawn by M. Bagley),,71,73
3,6:50.0,,New Orleans full timeout,71,73
3,6:50.0,K. Koufos enters the game for W. Cauley-Stein,,71,73
3,6:50.0,,S. Johnson enters the game for E. Payton,71,73
3,6:50.0,M. Bagley makes free throw 1 of 2,,72,73
3,6:50.0,M. Bagley makes free throw 2 of 2,,73,73
3,6:27.0,,J. Okafor misses 2-pt layup from 5 ft (block by K. Koufos),73,73
3,6:24.0,Defensive rebound by K. Koufos,,73,73
3,6:22.0,B. Hield misses 3-pt jump shot from 26 ft,,73,73
3,6:20.0,Offensive rebound by K. Koufos,,73,73
3,6:19.0,K. Koufos makes 2-pt layup from 2 ft,,75,73
3,6:09.0,,J. Okafor makes 2-pt dunk from 1 ft (assist by I. Clark),75,75
3,5:53.0,H. Barnes misses 2-pt jump shot from 17 ft,,75,75
3,5:50.0,,Defensive rebound by J. Okafor,75,75
3,5:44.0,,I. Clark misses 3-pt jump shot from 26 ft,75,75
3,5:41.0,Defensive rebound by M. Bagley,,75,75
3,5:36.0,B. Hield makes 2-pt jump shot from 19 ft,,77,75
3,5:22.0,,J. Randle misses 2-pt layup from 3 ft,77,75
3,5:18.0,Defensive rebound by D. Fox,,77,75
3,5:15.0,Turnover by B. Hield (bad pass),,77,75
3,5:15.0,B. Bogdanović enters the game for H. Barnes,,77,75
3,5:15.0,,C. Wood enters the game for J. Okafor,77,75
3,5:01.0,,Personal foul by M. Bagley (drawn by J. Randle),77,75
3,5:01.0,,J. Randle makes free throw 1 of 2,77,76
3,5:01.0,,J. Randle makes free throw 2 of 2,77,77
3,4:47.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Fox),,79,77
3,4:35.0,,I. Clark misses 2-pt layup from 8 ft (block by K. Koufos),79,77
3,4:31.0,,Offensive rebound by K. Williams,79,77
3,4:30.0,,S. Johnson makes 3-pt jump shot from 24 ft (assist by K. Williams),79,80
3,4:15.0,B. Hield misses 2-pt jump shot from 20 ft,,79,80
3,4:11.0,,Defensive rebound by C. Wood,79,80
3,3:55.0,,C. Wood misses 2-pt layup from 4 ft,79,80
3,3:52.0,Defensive rebound by K. Koufos,,79,80
3,3:45.0,M. Bagley misses 3-pt jump shot from 27 ft,,79,80
3,3:41.0,,Defensive rebound by K. Williams,79,80
3,3:20.0,,C. Wood makes 2-pt jump shot from 3 ft,79,82
3,3:20.0,Sacramento full timeout,,79,82
3,3:20.0,Y. Ferrell enters the game for D. Fox,,79,82
3,3:20.0,,D. Bertāns enters the game for I. Clark,79,82
3,3:20.0,,C. Diallo enters the game for J. Randle,79,82
3,3:20.0,,E. Payton enters the game for K. Williams,79,82
3,3:06.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,79,82
3,3:04.0,,Defensive rebound by Team,79,82
3,2:53.0,,S. Johnson makes 2-pt jump shot from 15 ft (assist by D. Bertāns),79,84
3,2:36.0,B. Hield misses 3-pt jump shot from 25 ft,,79,84
3,2:33.0,,Defensive rebound by C. Diallo,79,84
3,2:24.0,,S. Johnson makes 3-pt jump shot from 25 ft,79,87
3,1:57.0,M. Bagley misses 2-pt layup from 2 ft (block by C. Wood),,79,87
3,1:53.0,Offensive rebound by K. Koufos,,79,87
3,1:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Koufos),,82,87
3,1:42.0,,S. Johnson misses 3-pt jump shot from 25 ft,82,87
3,1:38.0,Defensive rebound by M. Bagley,,82,87
3,1:26.0,B. Hield makes 2-pt layup from 3 ft,,84,87
3,1:26.0,Shooting foul by D. Bertāns (drawn by B. Hield),,84,87
3,1:26.0,H. Barnes enters the game for M. Bagley,,84,87
3,1:26.0,B. Hield makes free throw 1 of 1,,85,87
3,1:15.0,,C. Diallo misses 2-pt jump shot from 16 ft,85,87
3,1:14.0,Defensive rebound by Team,,85,87
3,1:14.0,C. Brewer enters the game for B. Hield,,85,87
3,1:14.0,,J. Okafor enters the game for C. Diallo,85,87
3,1:01.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by Y. Ferrell),,88,87
3,0:52.0,,Turnover by C. Wood (out of bounds lost ball),88,87
3,0:52.0,,C. Diallo enters the game for J. Okafor,88,87
3,0:44.0,Y. Ferrell misses 2-pt jump shot from 21 ft,,88,87
3,0:41.0,Offensive rebound by B. Bogdanović,,88,87
3,0:33.0,Turnover by B. Bogdanović (bad pass; steal by S. Johnson),,88,87
3,0:28.0,,E. Payton makes 2-pt dunk at rim (assist by D. Bertāns),88,89
3,0:19.0,B. Bogdanović misses 2-pt layup from 11 ft (block by S. Johnson),,88,89
3,0:17.0,,Defensive rebound by C. Diallo,88,89
3,0:11.0,,C. Wood makes 2-pt dunk from 2 ft (assist by C. Diallo),88,91
3,0:01.0,Turnover by Y. Ferrell (lost ball; steal by S. Johnson),,88,91
3,0:00.0,,Personal foul by K. Koufos (drawn by E. Payton),88,91
3,0:00.0,,E. Payton makes free throw 1 of 2,88,92
3,0:00.0,,E. Payton makes free throw 2 of 2,88,93
4,11:40.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by K. Koufos),,91,93
4,11:21.0,,C. Diallo makes 2-pt layup from 1 ft (assist by S. Johnson),91,95
4,11:08.0,Personal foul by C. Wood (drawn by D. Fox),,91,95
4,11:08.0,W. Cauley-Stein enters the game for K. Koufos,,91,95
4,10:54.0,H. Barnes misses 2-pt jump shot from 10 ft,,91,95
4,10:50.0,,Defensive rebound by S. Johnson,91,95
4,10:45.0,,Turnover by C. Diallo (bad pass; steal by C. Brewer),91,95
4,10:32.0,D. Fox makes 2-pt layup from 1 ft,,93,95
4,10:32.0,Shooting foul by S. Johnson (drawn by D. Fox),,93,95
4,10:32.0,D. Fox makes free throw 1 of 1,,94,95
4,10:21.0,,S. Johnson misses 2-pt layup from 2 ft,94,95
4,10:18.0,Defensive rebound by H. Barnes,,94,95
4,10:14.0,Personal foul by C. Diallo (drawn by W. Cauley-Stein),,94,95
4,10:08.0,D. Fox misses 2-pt layup from 1 ft,,94,95
4,10:03.0,Offensive rebound by W. Cauley-Stein,,94,95
4,10:03.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,96,95
4,9:47.0,,C. Wood makes 2-pt layup from 1 ft,96,97
4,9:36.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by D. Fox),,99,97
4,9:24.0,,E. Payton misses 3-pt jump shot from 25 ft,99,97
4,9:21.0,Defensive rebound by C. Brewer,,99,97
4,9:15.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,99,97
4,9:11.0,,Defensive rebound by S. Johnson,99,97
4,9:09.0,,Turnover by S. Johnson (bad pass; steal by H. Barnes),99,97
4,8:48.0,D. Fox misses 2-pt jump shot from 17 ft,,99,97
4,8:45.0,,Defensive rebound by C. Diallo,99,97
4,8:38.0,,C. Wood makes 2-pt layup from 2 ft (assist by E. Payton),99,99
4,8:14.0,D. Fox makes 2-pt jump shot from 8 ft (assist by W. Cauley-Stein),,101,99
4,8:00.0,,C. Wood makes 2-pt jump shot from 14 ft,101,101
4,7:40.0,C. Brewer makes 3-pt jump shot from 22 ft (assist by D. Fox),,104,101
4,7:25.0,,Personal foul by H. Barnes (drawn by C. Wood),104,101
4,7:25.0,,I. Clark enters the game for D. Bertāns,104,101
4,7:25.0,,J. Randle enters the game for C. Diallo,104,101
4,7:25.0,,K. Williams enters the game for S. Johnson,104,101
4,7:16.0,,J. Randle makes 3-pt jump shot from 25 ft,104,104
4,6:54.0,D. Fox misses 3-pt jump shot from 28 ft,,104,104
4,6:52.0,,Defensive rebound by C. Wood,104,104
4,6:48.0,,C. Wood misses 3-pt jump shot from 25 ft,104,104
4,6:43.0,Defensive rebound by Y. Ferrell,,104,104
4,6:38.0,H. Barnes makes 2-pt dunk from 2 ft (assist by Y. Ferrell),,106,104
4,6:23.0,,K. Williams misses 3-pt jump shot from 23 ft,106,104
4,6:21.0,,Offensive rebound by C. Wood,106,104
4,6:16.0,,J. Randle misses 3-pt jump shot from 26 ft,106,104
4,6:13.0,Defensive rebound by W. Cauley-Stein,,106,104
4,6:04.0,H. Barnes misses 2-pt dunk from 2 ft (block by K. Williams),,106,104
4,6:01.0,,Defensive rebound by C. Wood,106,104
4,5:56.0,,E. Payton makes 2-pt layup from 1 ft (assist by J. Randle),106,106
4,5:33.0,D. Fox makes 2-pt jump shot from 9 ft (assist by W. Cauley-Stein),,108,106
4,5:20.0,,Offensive foul by J. Randle (drawn by D. Fox),108,106
4,5:20.0,,Turnover by J. Randle (offensive foul),108,106
4,5:20.0,,New Orleans full timeout,108,106
4,5:20.0,M. Bagley enters the game for C. Brewer,,108,106
4,5:20.0,B. Hield enters the game for Y. Ferrell,,108,106
4,5:10.0,Offensive foul by H. Barnes (drawn by K. Williams),,108,106
4,5:10.0,Turnover by H. Barnes (offensive foul),,108,106
4,4:54.0,,J. Randle makes 2-pt layup from 1 ft,108,108
4,4:42.0,Shooting foul by J. Randle (drawn by B. Hield),,108,108
4,4:42.0,B. Hield makes free throw 1 of 2,,109,108
4,4:42.0,B. Hield makes free throw 2 of 2,,110,108
4,4:25.0,,E. Payton makes 2-pt jump shot from 2 ft (assist by C. Wood),110,110
4,4:08.0,M. Bagley misses 2-pt hook shot from 5 ft,,110,110
4,4:05.0,,Defensive rebound by C. Wood,110,110
