QUARTER,TIME_REMAINING,CHICAGO_ACTION,DENVER_ACTION,CHICAGO_SCORE,DENVER_SCORE
1,8:02.0,,Turnover by J. Murray (out of bounds lost ball),9,8
1,7:44.0,C. Hutchison makes 2-pt layup from 7 ft (assist by B. Portis),,11,8
1,7:43.0,,Denver full timeout,11,8
1,7:20.0,,J. Murray misses 3-pt jump shot from 25 ft,11,8
1,7:11.0,,Offensive rebound by P. Millsap,11,8
1,7:11.0,,P. Millsap makes 2-pt dunk at rim,11,10
1,6:52.0,B. Portis misses 2-pt jump shot from 18 ft,,11,10
1,6:50.0,,Defensive rebound by P. Millsap,11,10
1,6:40.0,,N. Jokić makes 2-pt layup from 4 ft (assist by J. Murray),11,12
1,6:40.0,,Shooting foul by Z. LaVine (drawn by N. Jokić),11,12
1,6:40.0,,N. Jokić makes free throw 1 of 1,11,13
1,6:26.0,B. Portis misses 2-pt jump shot from 17 ft,,11,13
1,6:23.0,,Defensive rebound by M. Beasley,11,13
1,6:11.0,,M. Beasley makes 2-pt layup from 4 ft (assist by N. Jokić),11,15
1,5:51.0,L. Markkanen misses 3-pt jump shot from 26 ft,,11,15
1,5:49.0,,Defensive rebound by M. Beasley,11,15
1,5:40.0,,P. Millsap makes 2-pt layup from 3 ft (assist by J. Murray),11,17
1,5:40.0,Chicago full timeout,,11,17
1,5:40.0,R. Arcidiacono enters the game for K. Dunn,,11,17
1,5:40.0,W. Selden enters the game for Z. LaVine,,11,17
1,5:22.0,C. Hutchison misses 2-pt layup from 4 ft,,11,17
1,5:16.0,Offensive rebound by B. Portis,,11,17
1,5:16.0,B. Portis misses 2-pt layup from 1 ft,,11,17
1,5:15.0,Offensive rebound by B. Portis,,11,17
1,5:10.0,W. Selden misses 3-pt jump shot from 25 ft,,11,17
1,5:07.0,,Defensive rebound by M. Beasley,11,17
1,5:04.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by N. Jokić),11,20
1,5:04.0,,Shooting foul by R. Arcidiacono (drawn by T. Craig),11,20
1,5:04.0,,T. Craig makes free throw 1 of 1,11,21
1,4:45.0,L. Markkanen makes 2-pt layup from 6 ft (assist by W. Selden),,13,21
1,4:35.0,,Offensive foul by T. Craig (drawn by L. Markkanen),13,21
1,4:35.0,,Turnover by T. Craig (offensive foul),13,21
1,4:24.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,16,21
1,4:04.0,,Turnover by N. Jokić (bad pass),16,21
1,3:49.0,L. Markkanen makes 2-pt jump shot from 14 ft,,18,21
1,3:35.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),18,24
1,3:15.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,21,24
1,3:15.0,,Denver full timeout,21,24
1,3:15.0,R. Lopez enters the game for B. Portis,,21,24
1,3:15.0,,G. Harris enters the game for T. Craig,21,24
1,3:15.0,,M. Plumlee enters the game for P. Millsap,21,24
1,2:54.0,,Turnover by N. Jokić (bad pass; steal by C. Hutchison),21,24
1,2:40.0,L. Markkanen misses 2-pt jump shot from 10 ft,,21,24
1,2:38.0,Offensive rebound by R. Lopez,,21,24
1,2:35.0,L. Markkanen misses 3-pt jump shot from 24 ft,,21,24
1,2:32.0,,Defensive rebound by M. Beasley,21,24
1,2:26.0,,N. Jokić misses 3-pt jump shot from 26 ft,21,24
1,2:24.0,Defensive rebound by R. Arcidiacono,,21,24
1,2:07.0,R. Lopez makes 2-pt jump shot from 18 ft (assist by W. Selden),,23,24
1,1:53.0,,N. Jokić makes 2-pt hook shot from 4 ft,23,26
1,1:41.0,Personal foul by J. Murray (drawn by L. Markkanen),,23,26
1,1:41.0,J. Parker enters the game for L. Markkanen,,23,26
1,1:41.0,,T. Lyles enters the game for N. Jokić,23,26
1,1:41.0,,M. Morris enters the game for J. Murray,23,26
1,1:37.0,W. Selden misses 2-pt jump shot from 16 ft,,23,26
1,1:33.0,Offensive rebound by R. Lopez,,23,26
1,1:22.0,R. Lopez makes 2-pt hook shot from 5 ft,,25,26
1,1:11.0,,G. Harris misses 3-pt jump shot from 26 ft,25,26
1,1:11.0,Defensive rebound by J. Parker,,25,26
1,1:04.0,Offensive foul by W. Selden (drawn by T. Lyles),,25,26
1,1:04.0,Turnover by W. Selden (offensive foul),,25,26
1,1:04.0,,J. Hernangómez enters the game for M. Beasley,25,26
1,0:56.0,,M. Morris misses 3-pt jump shot from 26 ft,25,26
1,0:52.0,Defensive rebound by R. Lopez,,25,26
1,0:43.0,Personal foul by M. Morris (drawn by J. Parker),,25,26
1,0:43.0,J. Parker makes free throw 1 of 2,,26,26
1,0:43.0,J. Parker makes free throw 2 of 2,,27,26
1,0:33.0,,G. Harris makes 2-pt layup from 7 ft,27,28
1,0:09.0,J. Parker makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,30,28
1,0:01.0,,M. Morris misses 3-pt jump shot from 25 ft,30,28
1,0:01.0,Defensive rebound by C. Hutchison,,30,28
2,11:50.0,,M. Morris makes 2-pt layup from 7 ft (assist by G. Harris),30,30
2,11:35.0,Turnover by R. Lopez (bad pass),,30,30
2,11:35.0,Loose ball foul by Z. LaVine (drawn by G. Harris),,30,30
2,11:22.0,,T. Lyles makes 3-pt jump shot from 27 ft (assist by M. Plumlee),30,33
2,11:07.0,J. Parker makes 2-pt jump shot from 12 ft,,32,33
2,10:52.0,,M. Plumlee makes 2-pt layup from 4 ft (assist by G. Harris),32,35
2,10:26.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,32,35
2,10:23.0,,Defensive rebound by M. Morris,32,35
2,10:13.0,,T. Lyles misses 2-pt jump shot from 9 ft,32,35
2,10:10.0,,Offensive rebound by T. Lyles,32,35
2,10:09.0,,T. Lyles misses 2-pt layup from 4 ft,32,35
2,10:07.0,Defensive rebound by Z. LaVine,,32,35
2,10:02.0,Z. LaVine misses 2-pt layup from 4 ft,,32,35
2,10:00.0,,Defensive rebound by M. Plumlee,32,35
2,9:52.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Morris),32,38
2,9:50.0,Chicago full timeout,,32,38
2,9:50.0,K. Dunn enters the game for R. Arcidiacono,,32,38
2,9:38.0,Turnover by Z. LaVine (out of bounds lost ball),,32,38
2,9:26.0,,G. Harris misses 2-pt layup from 4 ft (block by R. Lopez),32,38
2,9:26.0,,Offensive rebound by Team,32,38
2,9:21.0,,T. Lyles misses 2-pt jump shot from 19 ft,32,38
2,9:17.0,Defensive rebound by Z. LaVine,,32,38
2,8:59.0,R. Lopez makes 2-pt hook shot from 7 ft,,34,38
2,8:45.0,,G. Harris misses 2-pt jump shot from 11 ft,34,38
2,8:42.0,Defensive rebound by R. Lopez,,34,38
2,8:23.0,J. Parker makes 2-pt jump shot from 17 ft,,36,38
2,8:08.0,,M. Plumlee makes 2-pt jump shot from 15 ft (assist by J. Hernangómez),36,40
2,7:51.0,K. Dunn makes 2-pt jump shot from 4 ft (assist by W. Selden),,38,40
2,7:40.0,,M. Morris makes 2-pt layup from 3 ft,38,42
2,7:21.0,Z. LaVine misses 2-pt jump shot from 16 ft,,38,42
2,7:18.0,,Defensive rebound by J. Hernangómez,38,42
2,7:01.0,,T. Lyles makes 2-pt jump shot from 7 ft (assist by M. Morris),38,44
2,6:45.0,Personal foul by J. Hernangómez (drawn by W. Selden),,38,44
2,6:45.0,,J. Murray enters the game for G. Harris,38,44
2,6:36.0,Turnover by J. Parker (lost ball; steal by M. Plumlee),,38,44
2,6:36.0,,Personal foul by J. Parker (drawn by M. Plumlee),38,44
2,6:36.0,A. Blakeney enters the game for W. Selden,,38,44
2,6:36.0,,T. Craig enters the game for J. Hernangómez,38,44
2,6:15.0,,M. Plumlee makes 2-pt layup from 3 ft (assist by J. Murray),38,46
2,6:05.0,K. Dunn makes 2-pt dunk from 1 ft,,40,46
2,5:45.0,,Shooting foul by R. Lopez (drawn by T. Lyles),40,46
2,5:45.0,,T. Lyles misses free throw 1 of 2,40,46
2,5:45.0,,Offensive rebound by Team,40,46
2,5:45.0,L. Markkanen enters the game for R. Lopez,,40,46
2,5:45.0,B. Portis enters the game for J. Parker,,40,46
2,5:45.0,,M. Beasley enters the game for M. Morris,40,46
2,5:45.0,,N. Jokić enters the game for M. Plumlee,40,46
2,5:45.0,,T. Lyles misses free throw 2 of 2,40,46
2,5:42.0,Defensive rebound by L. Markkanen,,40,46
2,5:26.0,A. Blakeney misses 3-pt jump shot from 23 ft,,40,46
2,5:22.0,,Defensive rebound by N. Jokić,40,46
2,5:17.0,,N. Jokić misses 3-pt jump shot from 25 ft,40,46
2,5:14.0,Defensive rebound by B. Portis,,40,46
2,5:07.0,L. Markkanen misses 3-pt jump shot from 26 ft,,40,46
2,5:04.0,,Defensive rebound by T. Lyles,40,46
2,4:52.0,,T. Lyles misses 2-pt jump shot from 4 ft,40,46
2,4:49.0,Defensive rebound by L. Markkanen,,40,46
2,4:39.0,Z. LaVine misses 2-pt jump shot from 6 ft,,40,46
2,4:39.0,Offensive rebound by Z. LaVine,,40,46
2,4:39.0,Turnover by Z. LaVine (traveling),,40,46
2,4:39.0,,P. Millsap enters the game for T. Lyles,40,46
2,4:26.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),40,48
2,4:25.0,Chicago full timeout,,40,48
2,4:12.0,B. Portis misses 2-pt dunk from 1 ft,,40,48
2,4:10.0,,Defensive rebound by T. Craig,40,48
2,4:07.0,,T. Craig misses 2-pt layup from 2 ft,40,48
2,4:04.0,Defensive rebound by B. Portis,,40,48
2,3:57.0,B. Portis makes 2-pt layup from 3 ft (assist by Z. LaVine),,42,48
2,3:33.0,,N. Jokić misses 2-pt hook shot from 6 ft,42,48
2,3:33.0,Defensive rebound by L. Markkanen,,42,48
2,3:33.0,Personal foul by N. Jokić (drawn by L. Markkanen),,42,48
2,3:22.0,K. Dunn misses 2-pt jump shot from 8 ft,,42,48
2,3:19.0,,Defensive rebound by T. Craig,42,48
2,3:14.0,,N. Jokić makes 2-pt layup from 3 ft,42,50
2,3:14.0,,Shooting foul by Z. LaVine (drawn by N. Jokić),42,50
2,3:14.0,C. Hutchison enters the game for A. Blakeney,,42,50
2,3:14.0,W. Selden enters the game for Z. LaVine,,42,50
2,3:14.0,,N. Jokić makes free throw 1 of 1,42,51
2,3:07.0,Offensive foul by B. Portis (drawn by T. Craig),,42,51
2,3:07.0,Turnover by B. Portis (offensive foul),,42,51
2,3:00.0,,N. Jokić misses 3-pt jump shot from 26 ft,42,51
2,2:57.0,Defensive rebound by L. Markkanen,,42,51
2,2:46.0,Turnover by L. Markkanen (bad pass),,42,51
2,2:37.0,,J. Murray misses 2-pt jump shot from 6 ft,42,51
2,2:34.0,Defensive rebound by L. Markkanen,,42,51
2,2:30.0,L. Markkanen makes 2-pt layup from 6 ft,,44,51
2,2:13.0,,N. Jokić misses 2-pt layup from 5 ft,44,51
2,2:12.0,,Offensive rebound by N. Jokić,44,51
2,2:08.0,,N. Jokić misses 2-pt layup at rim,44,51
2,2:08.0,,Offensive rebound by N. Jokić,44,51
2,2:07.0,,N. Jokić misses 2-pt layup at rim,44,51
2,2:06.0,,Offensive rebound by Team,44,51
2,2:06.0,Loose ball foul by C. Hutchison (drawn by N. Jokić),,44,51
2,2:06.0,,N. Jokić makes free throw 1 of 2,44,52
2,2:06.0,,N. Jokić makes free throw 2 of 2,44,53
2,1:51.0,L. Markkanen makes 3-pt jump shot from 23 ft (assist by W. Selden),,47,53
2,1:36.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),47,56
2,1:24.0,Personal foul by T. Craig (drawn by K. Dunn),,47,56
2,1:15.0,K. Dunn misses 2-pt layup from 2 ft,,47,56
2,1:12.0,,Defensive rebound by T. Craig,47,56
2,1:02.0,,P. Millsap misses 2-pt layup from 4 ft,47,56
2,1:00.0,,Offensive rebound by P. Millsap,47,56
2,0:57.0,,J. Murray misses 2-pt jump shot from 13 ft,47,56
2,0:57.0,Defensive rebound by B. Portis,,47,56
2,0:41.0,L. Markkanen misses 2-pt jump shot from 19 ft,,47,56
2,0:39.0,,Defensive rebound by M. Beasley,47,56
2,0:35.0,,Personal foul by L. Markkanen (drawn by N. Jokić),47,56
2,0:35.0,,N. Jokić makes free throw 1 of 2,47,57
2,0:35.0,J. Parker enters the game for L. Markkanen,,47,57
2,0:35.0,,G. Harris enters the game for T. Craig,47,57
2,0:35.0,,N. Jokić makes free throw 2 of 2,47,58
2,0:26.0,W. Selden misses 2-pt jump shot from 20 ft,,47,58
2,0:22.0,,Defensive rebound by N. Jokić,47,58
2,0:03.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),47,61
2,0:00.0,W. Selden misses 3-pt jump shot from 26 ft,,47,61
2,0:00.0,Offensive rebound by Team,,47,61
3,11:44.0,,M. Beasley misses 3-pt jump shot from 26 ft,47,61
3,11:41.0,Defensive rebound by L. Markkanen,,47,61
3,11:31.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by B. Portis),,50,61
3,11:31.0,Shooting foul by P. Millsap (drawn by L. Markkanen),,50,61
3,11:31.0,L. Markkanen misses free throw 1 of 1,,50,61
3,11:28.0,,Defensive rebound by N. Jokić,50,61
3,11:16.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),50,64
3,10:53.0,Z. LaVine misses 3-pt jump shot from 25 ft,,50,64
3,10:50.0,,Defensive rebound by P. Millsap,50,64
3,10:42.0,,N. Jokić misses 2-pt layup from 4 ft,50,64
3,10:40.0,,Offensive rebound by N. Jokić,50,64
3,10:39.0,,N. Jokić makes 2-pt layup from 2 ft,50,66
3,10:17.0,Z. LaVine misses 2-pt layup from 3 ft,,50,66
3,10:15.0,Offensive rebound by B. Portis,,50,66
3,10:15.0,B. Portis misses 2-pt layup from 2 ft,,50,66
3,10:13.0,Offensive rebound by Z. LaVine,,50,66
3,10:10.0,Z. LaVine misses 2-pt layup from 3 ft,,50,66
3,10:08.0,Offensive rebound by B. Portis,,50,66
3,10:07.0,B. Portis misses 2-pt layup from 2 ft,,50,66
3,10:07.0,Offensive rebound by B. Portis,,50,66
3,10:07.0,B. Portis misses 2-pt layup at rim,,50,66
3,10:07.0,,Defensive rebound by N. Jokić,50,66
3,9:58.0,,N. Jokić makes 2-pt layup from 3 ft,50,68
3,9:58.0,Chicago full timeout,,50,68
3,9:46.0,Z. LaVine makes 2-pt layup from 4 ft (assist by B. Portis),,52,68
3,9:27.0,,T. Craig misses 3-pt jump shot from 23 ft,52,68
3,9:24.0,Defensive rebound by B. Portis,,52,68
3,9:19.0,K. Dunn misses 2-pt layup from 4 ft,,52,68
3,9:15.0,,Defensive rebound by M. Beasley,52,68
3,9:05.0,,J. Murray makes 3-pt jump shot from 26 ft,52,71
3,8:39.0,Z. LaVine misses 3-pt jump shot from 26 ft,,52,71
3,8:36.0,,Defensive rebound by P. Millsap,52,71
3,8:19.0,,T. Craig misses 3-pt jump shot from 27 ft,52,71
3,8:14.0,,Offensive rebound by J. Murray,52,71
3,8:13.0,,J. Murray misses 2-pt layup from 2 ft,52,71
3,8:13.0,Defensive rebound by C. Hutchison,,52,71
3,8:04.0,L. Markkanen misses 3-pt jump shot from 23 ft,,52,71
3,7:57.0,,Defensive rebound by J. Murray,52,71
3,7:54.0,,M. Beasley makes 2-pt layup from 2 ft (assist by J. Murray),52,73
3,7:54.0,,Shooting foul by L. Markkanen (drawn by M. Beasley),52,73
3,7:54.0,,M. Beasley makes free throw 1 of 1,52,74
3,7:34.0,Shooting foul by N. Jokić (drawn by B. Portis),,52,74
3,7:34.0,B. Portis misses free throw 1 of 2,,52,74
3,7:34.0,Offensive rebound by Team,,52,74
3,7:34.0,B. Portis makes free throw 2 of 2,,53,74
3,7:19.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),53,77
3,7:05.0,B. Portis misses 3-pt jump shot from 25 ft,,53,77
3,7:02.0,,Defensive rebound by M. Beasley,53,77
3,6:57.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Beasley),53,80
3,6:56.0,Chicago full timeout,,53,80
3,6:43.0,Z. LaVine misses 2-pt jump shot from 6 ft,,53,80
3,6:39.0,,Defensive rebound by T. Craig,53,80
3,6:33.0,,Personal foul by C. Hutchison (drawn by N. Jokić),53,80
3,6:26.0,,Offensive foul by P. Millsap (drawn by C. Hutchison),53,80
3,6:26.0,,Turnover by P. Millsap (offensive foul),53,80
3,6:15.0,K. Dunn misses 2-pt layup from 4 ft,,53,80
3,6:13.0,Offensive rebound by B. Portis,,53,80
3,6:12.0,B. Portis misses 2-pt layup from 3 ft (block by N. Jokić),,53,80
3,6:05.0,Offensive rebound by K. Dunn,,53,80
3,6:04.0,K. Dunn makes 2-pt layup from 3 ft,,55,80
3,5:59.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by N. Jokić),55,83
3,5:48.0,Shooting foul by N. Jokić (drawn by L. Markkanen),,55,83
3,5:48.0,L. Markkanen makes free throw 1 of 2,,56,83
3,5:48.0,L. Markkanen makes free throw 2 of 2,,57,83
3,5:35.0,,J. Murray makes 2-pt jump shot from 17 ft,57,85
3,5:23.0,B. Portis makes 3-pt jump shot from 26 ft (assist by K. Dunn),,60,85
3,5:04.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by P. Millsap),60,88
3,4:48.0,K. Dunn misses 2-pt jump shot from 7 ft,,60,88
3,4:43.0,Offensive rebound by L. Markkanen,,60,88
3,4:43.0,L. Markkanen makes 2-pt layup at rim,,62,88
3,4:32.0,,Personal foul by Z. LaVine (drawn by J. Murray),62,88
3,4:32.0,R. Arcidiacono enters the game for K. Dunn,,62,88
3,4:32.0,W. Selden enters the game for Z. LaVine,,62,88
3,4:27.0,,Shooting foul by W. Selden (drawn by P. Millsap),62,88
3,4:27.0,,P. Millsap makes free throw 1 of 2,62,89
3,4:27.0,J. Parker enters the game for B. Portis,,62,89
3,4:27.0,,P. Millsap makes free throw 2 of 2,62,90
3,4:14.0,L. Markkanen misses 2-pt jump shot from 11 ft,,62,90
3,4:12.0,,Defensive rebound by P. Millsap,62,90
3,4:06.0,,N. Jokić misses 2-pt layup from 3 ft,62,90
3,4:05.0,,Offensive rebound by N. Jokić,62,90
3,4:05.0,,N. Jokić misses 2-pt layup from 3 ft (block by J. Parker),62,90
3,4:05.0,,Offensive rebound by Team,62,90
3,4:00.0,,N. Jokić misses 2-pt layup from 3 ft,62,90
3,3:57.0,Defensive rebound by J. Parker,,62,90
3,3:52.0,C. Hutchison makes 2-pt layup from 3 ft (assist by J. Parker),,64,90
3,3:36.0,,P. Millsap makes 3-pt jump shot from 28 ft (assist by N. Jokić),64,93
3,3:17.0,Personal foul by P. Millsap (drawn by W. Selden),,64,93
3,3:17.0,R. Lopez enters the game for L. Markkanen,,64,93
3,3:17.0,,G. Harris enters the game for T. Craig,64,93
3,3:08.0,C. Hutchison makes 2-pt hook shot from 9 ft,,66,93
3,2:54.0,,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),66,96
3,2:36.0,Personal foul by J. Murray (drawn by J. Parker),,66,96
3,2:36.0,J. Parker misses free throw 1 of 2,,66,96
3,2:36.0,Offensive rebound by Team,,66,96
3,2:36.0,,M. Plumlee enters the game for N. Jokić,66,96
3,2:36.0,J. Parker makes free throw 2 of 2,,67,96
3,2:14.0,,G. Harris makes 2-pt layup from 5 ft,67,98
3,1:57.0,J. Parker makes 3-pt jump shot from 24 ft (assist by R. Arcidiacono),,70,98
3,1:43.0,,J. Murray makes 3-pt jump shot from 26 ft,70,101
3,1:26.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,70,101
3,1:23.0,,Defensive rebound by P. Millsap,70,101
3,1:16.0,,J. Murray misses 3-pt jump shot from 29 ft,70,101
3,1:13.0,Defensive rebound by R. Arcidiacono,,70,101
3,1:08.0,C. Hutchison misses 3-pt jump shot from 23 ft,,70,101
3,1:03.0,Offensive rebound by R. Lopez,,70,101
3,0:52.0,R. Lopez makes 2-pt hook shot from 7 ft,,72,101
3,0:33.0,,Shooting foul by R. Arcidiacono (drawn by J. Murray),72,101
3,0:33.0,,J. Murray makes free throw 1 of 2,72,102
3,0:33.0,,M. Morris enters the game for M. Beasley,72,102
3,0:33.0,,J. Murray makes free throw 2 of 2,72,103
3,0:16.0,Shooting foul by M. Plumlee (drawn by R. Lopez),,72,103
3,0:16.0,R. Lopez misses free throw 1 of 2,,72,103
3,0:16.0,Offensive rebound by Team,,72,103
3,0:16.0,R. Lopez makes free throw 2 of 2,,73,103
3,0:01.0,,J. Murray misses 3-pt jump shot from 27 ft,73,103
3,0:01.0,,Offensive rebound by Team,73,103
4,11:51.0,R. Lopez makes 2-pt layup from 4 ft (assist by Z. LaVine),,75,103
4,11:33.0,,Turnover by G. Harris (bad pass; steal by W. Selden),75,103
4,11:26.0,J. Parker misses 2-pt jump shot from 13 ft,,75,103
4,11:22.0,,Defensive rebound by J. Hernangómez,75,103
4,11:12.0,,T. Lyles makes 2-pt layup from 5 ft,75,105
4,10:54.0,R. Lopez misses 3-pt jump shot from 25 ft,,75,105
4,10:51.0,,Defensive rebound by T. Lyles,75,105
4,10:45.0,,M. Morris misses 3-pt jump shot from 26 ft,75,105
4,10:42.0,Defensive rebound by R. Lopez,,75,105
4,10:38.0,Chicago full timeout,,75,105
4,10:23.0,R. Lopez makes 2-pt dunk from 1 ft (assist by Z. LaVine),,77,105
4,10:06.0,,M. Plumlee makes 2-pt hook shot from 4 ft (assist by T. Lyles),77,107
4,9:48.0,Personal foul by M. Plumlee (drawn by R. Lopez),,77,107
4,9:44.0,Z. LaVine makes 2-pt jump shot from 19 ft,,79,107
4,9:25.0,,Denver full timeout,79,107
4,9:19.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by M. Morris),79,110
4,9:02.0,J. Parker misses 3-pt jump shot from 28 ft,,79,110
4,9:01.0,,Defensive rebound by Team,79,110
4,8:43.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Morris),79,113
4,8:17.0,R. Lopez makes 2-pt hook shot from 5 ft (assist by J. Parker),,81,113
4,8:01.0,,G. Harris makes 2-pt jump shot from 11 ft (assist by M. Plumlee),81,115
4,7:45.0,R. Lopez makes 2-pt jump shot from 10 ft (assist by Z. LaVine),,83,115
4,7:33.0,,M. Morris makes 2-pt layup from 2 ft (assist by M. Plumlee),83,117
4,7:12.0,R. Lopez misses 2-pt jump shot from 15 ft,,83,117
4,7:08.0,Offensive rebound by J. Parker,,83,117
4,7:04.0,J. Parker makes 2-pt dunk from 2 ft,,85,117
4,6:45.0,,T. Lyles misses 3-pt jump shot from 25 ft,85,117
4,6:44.0,,Offensive rebound by Team,85,117
4,6:44.0,Loose ball foul by K. Dunn (drawn by M. Plumlee),,85,117
4,6:44.0,L. Markkanen enters the game for J. Parker,,85,117
4,6:38.0,,G. Harris makes 2-pt jump shot from 9 ft (assist by M. Plumlee),85,119
4,6:26.0,Z. LaVine makes 2-pt dunk from 1 ft (assist by K. Dunn),,87,119
4,6:10.0,,M. Morris misses 2-pt jump shot from 20 ft,87,119
4,6:07.0,Defensive rebound by Z. LaVine,,87,119
4,6:00.0,Z. LaVine misses 2-pt layup from 2 ft,,87,119
4,5:57.0,,Defensive rebound by J. Hernangómez,87,119
4,5:53.0,,G. Harris misses 2-pt layup from 5 ft,87,119
4,5:48.0,,Offensive rebound by G. Harris,87,119
4,5:48.0,,G. Harris misses 2-pt layup from 1 ft,87,119
4,5:47.0,Defensive rebound by L. Markkanen,,87,119
4,5:46.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by L. Markkanen),,89,119
4,5:46.0,,Denver full timeout,89,119
4,5:46.0,A. Blakeney enters the game for K. Dunn,,89,119
4,5:46.0,C. Felício enters the game for Z. LaVine,,89,119
4,5:46.0,S. Harrison enters the game for R. Lopez,,89,119
4,5:46.0,C. Hutchison enters the game for L. Markkanen,,89,119
4,5:46.0,B. Portis enters the game for W. Selden,,89,119
4,5:46.0,,M. Beasley enters the game for G. Harris,89,119
4,5:32.0,,M. Beasley makes 2-pt jump shot from 6 ft (assist by M. Morris),89,121
4,5:16.0,C. Hutchison misses 2-pt jump shot from 6 ft,,89,121
4,5:06.0,,Defensive rebound by T. Lyles,89,121
4,5:05.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by T. Lyles),89,123
4,4:54.0,A. Blakeney misses 2-pt jump shot from 15 ft,,89,123
4,4:51.0,,Defensive rebound by M. Plumlee,89,123
4,4:32.0,,M. Beasley misses 2-pt jump shot from 4 ft,89,123
4,4:30.0,,Offensive rebound by J. Hernangómez,89,123
4,4:29.0,,J. Hernangómez makes 2-pt layup from 2 ft,89,125
4,4:24.0,Personal take foul by M. Beasley (drawn by S. Harrison),,89,125
4,4:24.0,,B. Goodwin enters the game for M. Morris,89,125
4,4:24.0,,T. Lydon enters the game for M. Plumlee,89,125
4,4:04.0,Turnover by A. Blakeney (bad pass; steal by J. Hernangómez),,89,125
4,4:02.0,,Shooting foul by S. Harrison (drawn by B. Goodwin),89,125
4,4:02.0,,B. Goodwin makes free throw 1 of 2,89,126
4,4:02.0,,B. Goodwin makes free throw 2 of 2,89,127
4,3:52.0,C. Hutchison makes 2-pt jump shot from 5 ft,,91,127
4,3:31.0,,T. Lyles makes 2-pt jump shot from 6 ft,91,129
4,3:18.0,Turnover by A. Blakeney (lost ball; steal by T. Lyles),,91,129
4,3:18.0,,Personal take foul by B. Portis (drawn by T. Lyles),91,129
4,3:08.0,,Shooting foul by S. Harrison (drawn by B. Goodwin),91,129
4,3:08.0,,B. Goodwin misses free throw 1 of 2,91,129
