QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
1,2:42.0,,New York full timeout,27,28
1,2:42.0,,K. Allen enters the game for M. Hezonja,27,28
1,2:42.0,,M. Robinson enters the game for D. Jordan,27,28
1,2:42.0,,L. Thomas enters the game for E. Mudiay,27,28
1,2:39.0,,Personal foul by M. Wagner (drawn by M. Robinson),27,28
1,2:31.0,,K. Knox makes 2-pt layup from 1 ft,27,30
1,2:18.0,M. Wagner misses 3-pt jump shot from 25 ft,,27,30
1,2:16.0,,Defensive rebound by D. Dotson,27,30
1,2:07.0,,D. Dotson makes 3-pt jump shot from 25 ft,27,33
1,1:52.0,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,,27,33
1,1:50.0,,Defensive rebound by K. Knox,27,33
1,1:28.0,,D. Dotson makes 2-pt layup from 2 ft,27,35
1,1:15.0,M. Wagner misses 2-pt layup from 2 ft,,27,35
1,1:13.0,,Defensive rebound by D. Dotson,27,35
1,1:10.0,,D. Dotson misses 3-pt jump shot from 26 ft,27,35
1,1:08.0,Defensive rebound by R. Rondo,,27,35
1,1:06.0,Shooting foul by D. Dotson (drawn by M. Wagner),,27,35
1,1:06.0,M. Wagner misses free throw 1 of 2,,27,35
1,1:06.0,Offensive rebound by Team,,27,35
1,1:06.0,M. Wagner makes free throw 2 of 2,,28,35
1,0:58.0,,K. Knox misses 2-pt jump shot from 19 ft,28,35
1,0:56.0,Defensive rebound by K. Caldwell-Pope,,28,35
1,0:47.0,R. Rondo misses 2-pt layup from 1 ft,,28,35
1,0:45.0,,Defensive rebound by K. Knox,28,35
1,0:43.0,,Personal foul by K. Kuzma (drawn by K. Knox),28,35
1,0:30.0,,K. Knox makes 3-pt jump shot from 27 ft (assist by K. Allen),28,38
1,0:24.0,K. Kuzma makes 2-pt layup from 1 ft,,30,38
1,0:02.0,,K. Knox makes 3-pt jump shot from 26 ft,30,41
2,11:41.0,,Turnover by K. Knox (bad pass),30,41
2,11:32.0,K. Caldwell-Pope makes 2-pt jump shot from 22 ft (assist by J. Williams),,32,41
2,11:20.0,,M. Robinson makes 2-pt layup from 2 ft (assist by K. Allen),32,43
2,11:20.0,,Shooting foul by L. James (drawn by M. Robinson),32,43
2,11:20.0,,M. Robinson misses free throw 1 of 1,32,43
2,11:18.0,Defensive rebound by J. Williams,,32,43
2,11:12.0,Personal foul by A. Trier (drawn by L. James),,32,43
2,11:04.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,32,43
2,11:02.0,,Defensive rebound by K. Knox,32,43
2,10:56.0,,Turnover by K. Knox (bad pass; steal by A. Caruso),32,43
2,10:52.0,L. James misses 3-pt jump shot from 25 ft,,32,43
2,10:50.0,Offensive rebound by A. Caruso,,32,43
2,10:39.0,Shooting foul by M. Robinson (drawn by L. James),,32,43
2,10:39.0,L. James makes free throw 1 of 2,,33,43
2,10:39.0,,D. Dotson enters the game for K. Knox,33,43
2,10:39.0,L. James makes free throw 2 of 2,,34,43
2,10:18.0,,A. Trier makes 2-pt jump shot from 15 ft,34,45
2,10:08.0,J. Williams makes 2-pt dunk from 1 ft (assist by L. James),,36,45
2,9:49.0,,D. Dotson misses 2-pt jump shot from 23 ft,36,45
2,9:47.0,Defensive rebound by K. Caldwell-Pope,,36,45
2,9:40.0,J. Hart misses 3-pt jump shot from 24 ft,,36,45
2,9:39.0,,Defensive rebound by M. Robinson,36,45
2,9:24.0,,Shooting foul by J. Williams (drawn by A. Trier),36,45
2,9:24.0,,A. Trier misses free throw 1 of 2,36,45
2,9:24.0,,Offensive rebound by Team,36,45
2,9:24.0,,A. Trier misses free throw 2 of 2,36,45
2,9:22.0,Defensive rebound by L. James,,36,45
2,9:17.0,J. Hart makes 2-pt layup from 2 ft (assist by L. James),,38,45
2,9:04.0,,Turnover by D. Dotson (bad pass; steal by A. Caruso),38,45
2,9:00.0,L. James makes 2-pt dunk from 1 ft (assist by A. Caruso),,40,45
2,8:54.0,,New York full timeout,40,45
2,8:39.0,,Shooting foul by J. Williams (drawn by K. Allen),40,45
2,8:39.0,,K. Allen makes free throw 1 of 2,40,46
2,8:39.0,,K. Allen makes free throw 2 of 2,40,47
2,8:33.0,Shooting foul by M. Robinson (drawn by L. James),,40,47
2,8:33.0,L. James misses free throw 1 of 2,,40,47
2,8:33.0,Offensive rebound by Team,,40,47
2,8:33.0,,M. Hezonja enters the game for L. Thomas,40,47
2,8:33.0,L. James makes free throw 2 of 2,,41,47
2,8:13.0,,Turnover by K. Allen (turnover),41,47
2,8:13.0,,Loose ball foul by K. Allen (drawn by A. Caruso),41,47
2,7:56.0,A. Caruso misses 2-pt layup from 1 ft (block by M. Robinson),,41,47
2,7:54.0,Offensive rebound by L. James,,41,47
2,7:50.0,L. James makes 2-pt jump shot from 12 ft,,43,47
2,7:26.0,,A. Trier misses 3-pt jump shot from 25 ft,43,47
2,7:24.0,Defensive rebound by J. Williams,,43,47
2,7:11.0,L. James misses 3-pt jump shot from 25 ft,,43,47
2,7:10.0,,Defensive rebound by Team,43,47
2,7:10.0,,E. Mudiay enters the game for K. Allen,43,47
2,6:58.0,,Offensive foul by A. Trier (drawn by A. Caruso),43,47
2,6:58.0,,Turnover by A. Trier (offensive foul),43,47
2,6:58.0,,D. Jordan enters the game for M. Robinson,43,47
2,6:45.0,L. James makes 2-pt layup from 2 ft,,45,47
2,6:20.0,,D. Dotson misses 3-pt jump shot from 23 ft,45,47
2,6:20.0,,Offensive rebound by D. Jordan,45,47
2,6:16.0,,Turnover by A. Trier (traveling),45,47
2,6:01.0,J. Hart misses 2-pt jump shot from 13 ft,,45,47
2,5:59.0,,Defensive rebound by M. Hezonja,45,47
2,5:45.0,,A. Trier misses 3-pt jump shot from 23 ft,45,47
2,5:43.0,,Offensive rebound by D. Jordan,45,47
2,5:41.0,,D. Jordan makes 2-pt dunk from 1 ft,45,49
2,5:41.0,LA Lakers full timeout,,45,49
2,5:41.0,K. Kuzma enters the game for J. Hart,,45,49
2,5:41.0,J. McGee enters the game for J. Williams,,45,49
2,5:41.0,,K. Knox enters the game for A. Trier,45,49
2,5:29.0,Personal foul by M. Hezonja (drawn by L. James),,45,49
2,5:29.0,L. James makes free throw 1 of 2,,46,49
2,5:29.0,L. James makes free throw 2 of 2,,47,49
2,5:14.0,,M. Hezonja makes 2-pt jump shot from 7 ft,47,51
2,4:49.0,A. Caruso makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,50,51
2,4:30.0,,Turnover by E. Mudiay (bad pass; steal by K. Kuzma),50,51
2,4:27.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by K. Kuzma),,52,51
2,4:27.0,Shooting foul by K. Knox (drawn by K. Caldwell-Pope),,52,51
2,4:27.0,R. Rondo enters the game for A. Caruso,,52,51
2,4:27.0,K. Caldwell-Pope makes free throw 1 of 1,,53,51
2,4:08.0,,K. Knox misses 2-pt hook shot from 4 ft (block by J. McGee),53,51
2,4:06.0,Defensive rebound by J. McGee,,53,51
2,4:02.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,53,51
2,4:00.0,Offensive rebound by L. James,,53,51
2,3:55.0,Turnover by L. James (bad pass),,53,51
2,3:55.0,R. Bullock enters the game for K. Caldwell-Pope,,53,51
2,3:55.0,A. Caruso enters the game for L. James,,53,51
2,3:32.0,,D. Dotson misses 3-pt jump shot from 26 ft,53,51
2,3:31.0,,Offensive rebound by Team,53,51
2,3:31.0,,Turnover by Team (shot clock),53,51
2,3:13.0,K. Kuzma makes 2-pt jump shot from 13 ft,,55,51
2,3:01.0,,M. Hezonja makes 2-pt jump shot from 12 ft,55,53
2,2:53.0,K. Kuzma makes 2-pt jump shot from 7 ft,,57,53
2,2:36.0,,Shooting foul by A. Caruso (drawn by D. Dotson),57,53
2,2:36.0,,D. Dotson makes free throw 1 of 2,57,54
2,2:36.0,,D. Dotson makes free throw 2 of 2,57,55
2,2:23.0,R. Bullock misses 2-pt jump shot from 15 ft,,57,55
2,2:21.0,Offensive rebound by J. McGee,,57,55
2,2:17.0,J. McGee misses 2-pt jump shot from 3 ft,,57,55
2,2:15.0,,Defensive rebound by M. Hezonja,57,55
2,1:56.0,,E. Mudiay misses 2-pt layup from 5 ft (block by A. Caruso),57,55
2,1:54.0,Defensive rebound by R. Rondo,,57,55
2,1:50.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,59,55
2,1:33.0,,D. Dotson misses 2-pt layup from 2 ft,59,55
2,1:31.0,Defensive rebound by R. Rondo,,59,55
2,1:28.0,Turnover by R. Rondo (bad pass),,59,55
2,1:27.0,Loose ball foul by J. McGee (drawn by E. Mudiay),,59,55
2,1:27.0,,E. Mudiay makes free throw 1 of 2,59,56
2,1:27.0,,E. Mudiay makes free throw 2 of 2,59,57
2,1:16.0,K. Kuzma makes 2-pt jump shot from 18 ft,,61,57
2,1:06.0,,E. Mudiay makes 2-pt layup from 2 ft,61,59
2,1:06.0,,Shooting foul by A. Caruso (drawn by E. Mudiay),61,59
2,1:06.0,,E. Mudiay makes free throw 1 of 1,61,60
2,0:52.0,J. McGee misses 2-pt layup from 1 ft,,61,60
2,0:49.0,Offensive rebound by R. Rondo,,61,60
2,0:46.0,K. Kuzma misses 2-pt jump shot from 7 ft,,61,60
2,0:44.0,,Defensive rebound by D. Jordan,61,60
2,0:37.0,,Personal foul by R. Bullock (drawn by M. Hezonja),61,60
2,0:37.0,,M. Hezonja makes free throw 1 of 2,61,61
2,0:37.0,,M. Hezonja makes free throw 2 of 2,61,62
2,0:32.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,64,62
2,0:11.0,,Shooting foul by R. Rondo (drawn by E. Mudiay),64,62
2,0:11.0,,E. Mudiay misses free throw 1 of 2,64,62
2,0:11.0,,Offensive rebound by Team,64,62
2,0:11.0,,K. Allen enters the game for K. Knox,64,62
2,0:11.0,,E. Mudiay makes free throw 2 of 2,64,63
2,0:01.0,R. Bullock makes 2-pt jump shot from 16 ft (assist by K. Kuzma),,66,63
2,0:00.0,,Turnover by D. Jordan (bad pass),66,63
3,11:47.0,,D. Dotson misses 3-pt jump shot from 25 ft,66,63
3,11:45.0,Defensive rebound by J. McGee,,66,63
3,11:30.0,R. Bullock makes 2-pt jump shot from 17 ft (assist by R. Rondo),,68,63
3,11:04.0,,E. Mudiay makes 3-pt jump shot from 25 ft,68,66
3,10:47.0,Turnover by J. McGee (lost ball; steal by D. Jordan),,68,66
3,10:36.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by E. Mudiay),68,68
3,10:18.0,J. McGee makes 2-pt dunk at rim (assist by K. Kuzma),,70,68
3,9:54.0,,K. Knox makes 2-pt jump shot from 13 ft (assist by E. Mudiay),70,70
3,9:36.0,K. Kuzma makes 2-pt hook shot from 6 ft,,72,70
3,9:14.0,,K. Knox misses 3-pt jump shot from 26 ft,72,70
3,9:12.0,,Offensive rebound by D. Jordan,72,70
3,9:12.0,,Shooting foul by L. James (drawn by D. Jordan),72,70
3,9:12.0,,D. Jordan misses free throw 1 of 2,72,70
3,9:12.0,,Offensive rebound by Team,72,70
3,9:12.0,,D. Jordan makes free throw 2 of 2,72,71
3,8:57.0,Shooting foul by K. Knox (drawn by L. James),,72,71
3,8:57.0,L. James makes free throw 1 of 2,,73,71
3,8:57.0,L. James makes free throw 2 of 2,,74,71
3,8:41.0,,Shooting foul by J. McGee (drawn by E. Mudiay),74,71
3,8:41.0,,E. Mudiay makes free throw 1 of 3,74,72
3,8:41.0,,E. Mudiay makes free throw 2 of 3,74,73
3,8:41.0,,E. Mudiay makes free throw 3 of 3,74,74
3,8:32.0,Personal foul by M. Hezonja (drawn by L. James),,74,74
3,8:23.0,L. James misses 3-pt jump shot from 26 ft,,74,74
3,8:21.0,,Defensive rebound by M. Hezonja,74,74
3,8:16.0,,M. Hezonja misses 2-pt layup from 9 ft (block by L. James),74,74
3,8:15.0,Defensive rebound by Team,,74,74
3,8:05.0,L. James makes 2-pt layup at rim (assist by K. Kuzma),,76,74
3,7:51.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by D. Jordan),76,77
3,7:41.0,K. Kuzma makes 2-pt layup from 2 ft,,78,77
3,7:31.0,,Turnover by D. Dotson (bad pass),78,77
3,7:15.0,K. Kuzma misses 2-pt jump shot from 9 ft,,78,77
3,7:13.0,,Defensive rebound by E. Mudiay,78,77
3,7:06.0,,Turnover by E. Mudiay (bad pass; steal by J. McGee),78,77
3,7:02.0,Shooting foul by D. Dotson (drawn by L. James),,78,77
3,7:02.0,L. James misses free throw 1 of 2,,78,77
3,7:02.0,Offensive rebound by Team,,78,77
3,7:02.0,L. James makes free throw 2 of 2,,79,77
