QUARTER,TIME_REMAINING,DENVER_ACTION,PHILADELPHIA_ACTION,DENVER_SCORE,PHILADELPHIA_SCORE
4,10:37.0,,M. Scott makes 2-pt jump shot from 9 ft (assist by J. Redick),86,86
4,10:18.0,W. Barton makes 2-pt jump shot from 14 ft,,88,86
4,10:09.0,,Shooting foul by J. Hernangómez (drawn by J. Redick),88,86
4,10:09.0,,J. Redick makes free throw 1 of 3,88,87
4,10:09.0,,J. Redick makes free throw 2 of 3,88,88
4,10:09.0,,J. Redick makes free throw 3 of 3,88,89
4,9:56.0,W. Barton misses 2-pt jump shot from 14 ft,,88,89
4,9:53.0,,Defensive rebound by F. Korkmaz,88,89
4,9:45.0,,Turnover by J. Redick (bad pass),88,89
4,9:34.0,T. Lyles misses 3-pt jump shot from 27 ft,,88,89
4,9:32.0,,Defensive rebound by Team,88,89
4,9:18.0,,T. McConnell makes 2-pt jump shot from 11 ft,88,91
4,9:02.0,T. Lyles makes 2-pt jump shot from 21 ft (assist by M. Plumlee),,90,91
4,8:44.0,,Shooting foul by M. Plumlee (drawn by J. Embiid),90,91
4,8:44.0,,J. Embiid makes free throw 1 of 2,90,92
4,8:44.0,M. Beasley enters the game for W. Barton,,90,92
4,8:44.0,N. Jokić enters the game for M. Morris,,90,92
4,8:44.0,J. Murray enters the game for M. Plumlee,,90,92
4,8:44.0,,T. Harris enters the game for T. McConnell,90,92
4,8:44.0,,B. Simmons enters the game for M. Scott,90,92
4,8:44.0,,J. Embiid makes free throw 2 of 2,90,93
4,8:26.0,T. Lyles makes 2-pt layup from 2 ft (assist by N. Jokić),,92,93
4,8:04.0,,Turnover by B. Simmons (out of bounds lost ball),92,93
4,8:04.0,,J. Butler enters the game for J. Embiid,92,93
4,8:04.0,,J. Ennis enters the game for F. Korkmaz,92,93
4,8:04.0,,B. Marjanović enters the game for J. Redick,92,93
4,7:50.0,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),,95,93
4,7:48.0,,Philadelphia full timeout,95,93
4,7:33.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by J. Butler),95,96
4,7:17.0,J. Murray makes 2-pt jump shot from 7 ft (assist by N. Jokić),,97,96
4,7:00.0,,J. Butler misses 2-pt jump shot from 19 ft,97,96
4,6:57.0,Defensive rebound by M. Beasley,,97,96
4,6:40.0,J. Murray misses 3-pt jump shot from 26 ft,,97,96
4,6:37.0,,Defensive rebound by J. Butler,97,96
4,6:34.0,,Offensive foul by B. Marjanović (drawn by N. Jokić),97,96
4,6:34.0,,Turnover by B. Marjanović (offensive foul),97,96
4,6:09.0,J. Murray misses 2-pt jump shot from 14 ft (block by B. Marjanović),,97,96
4,6:09.0,Offensive rebound by Team,,97,96
4,6:08.0,Turnover by Team (shot clock),,97,96
4,6:04.0,,Turnover by B. Simmons (traveling),97,96
4,5:52.0,Turnover by T. Lyles (bad pass),,97,96
4,5:45.0,,Shooting foul by M. Beasley (drawn by J. Butler),97,96
4,5:45.0,,J. Butler makes free throw 1 of 2,97,97
4,5:45.0,W. Barton enters the game for J. Hernangómez,,97,97
4,5:45.0,M. Plumlee enters the game for T. Lyles,,97,97
4,5:45.0,,J. Butler makes free throw 2 of 2,97,98
4,5:35.0,N. Jokić misses 2-pt jump shot from 18 ft,,97,98
4,5:30.0,,Defensive rebound by J. Ennis,97,98
4,5:24.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Simmons),97,101
4,5:23.0,Denver full timeout,,97,101
4,5:17.0,W. Barton misses 2-pt jump shot from 18 ft,,97,101
4,5:13.0,Offensive rebound by N. Jokić,,97,101
4,5:12.0,N. Jokić makes 2-pt jump shot from 1 ft,,99,101
4,5:01.0,,Turnover by B. Simmons (bad pass; steal by N. Jokić),99,101
4,4:58.0,N. Jokić makes 2-pt layup from 1 ft,,101,101
4,4:31.0,,J. Butler makes 2-pt jump shot from 17 ft (assist by J. Ennis),101,103
4,4:09.0,M. Plumlee makes 2-pt dunk at rim (assist by N. Jokić),,103,103
4,4:09.0,,Philadelphia full timeout,103,103
4,4:09.0,,J. Embiid enters the game for J. Ennis,103,103
4,4:09.0,,J. Redick enters the game for B. Marjanović,103,103
4,3:56.0,,T. Harris makes 2-pt jump shot from 12 ft (assist by B. Simmons),103,105
4,3:38.0,Turnover by N. Jokić (3 sec),,103,105
4,3:26.0,,J. Embiid misses 2-pt jump shot from 18 ft,103,105
4,3:22.0,,Offensive rebound by B. Simmons,103,105
4,3:14.0,,Turnover by B. Simmons (traveling),103,105
4,3:04.0,M. Beasley misses 3-pt jump shot from 26 ft,,103,105
4,3:00.0,,Defensive rebound by T. Harris,103,105
4,2:45.0,,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),103,107
4,2:24.0,Turnover by W. Barton (lost ball; steal by J. Butler),,103,107
4,2:21.0,,Shooting foul by N. Jokić (drawn by J. Butler),103,107
4,2:21.0,,J. Butler makes free throw 1 of 2,103,108
4,2:21.0,,J. Butler makes free throw 2 of 2,103,109
