QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
1,0:41.0,,J. Ingles misses free throw 1 of 2,14,36
1,0:41.0,,Offensive rebound by Team,14,36
1,0:41.0,,J. Ingles makes free throw 2 of 2,14,37
1,0:26.0,Shooting foul by R. O'Neale (drawn by D. Wade),,14,37
1,0:26.0,D. Wade misses free throw 1 of 2,,14,37
1,0:26.0,Offensive rebound by Team,,14,37
1,0:26.0,D. Wade makes free throw 2 of 2,,15,37
1,0:03.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Exum),15,40
2,11:46.0,D. Wade makes 2-pt layup from 4 ft,,17,40
2,11:32.0,,Personal foul by D. Jones (drawn by J. Ingles),17,40
2,11:17.0,,Turnover by R. O'Neale (lost ball; steal by D. Jones),17,40
2,11:17.0,Personal take foul by J. Ingles (drawn by J. Winslow),,17,40
2,11:01.0,W. Ellington misses 2-pt layup from 2 ft,,17,40
2,10:58.0,,Defensive rebound by R. O'Neale,17,40
2,10:52.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),17,42
2,10:30.0,W. Ellington misses 3-pt jump shot from 23 ft,,17,42
2,10:26.0,,Defensive rebound by R. O'Neale,17,42
2,10:24.0,,Turnover by R. O'Neale (bad pass),17,42
2,10:24.0,,K. Korver enters the game for R. O'Neale,17,42
2,10:09.0,D. Wade misses 2-pt layup from 2 ft,,17,42
2,10:08.0,Offensive rebound by K. Olynyk,,17,42
2,10:07.0,K. Olynyk misses 2-pt layup from 3 ft (block by D. Favors),,17,42
2,10:05.0,,Defensive rebound by T. Sefolosha,17,42
2,9:59.0,,J. Ingles misses 2-pt jump shot from 11 ft,17,42
2,9:57.0,,Offensive rebound by D. Favors,17,42
2,9:54.0,,Personal foul by D. Wade (drawn by J. Ingles),17,42
2,9:47.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),17,44
2,9:23.0,K. Olynyk misses 3-pt jump shot from 25 ft,,17,44
2,9:19.0,,Defensive rebound by D. Favors,17,44
2,9:13.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Exum),17,47
2,9:12.0,Miami full timeout,,17,47
2,9:12.0,B. Adebayo enters the game for W. Ellington,,17,47
2,9:12.0,R. McGruder enters the game for K. Olynyk,,17,47
2,9:12.0,J. Richardson enters the game for D. Wade,,17,47
2,8:54.0,Turnover by J. Richardson (bad pass; steal by T. Sefolosha),,17,47
2,8:44.0,,Turnover by J. Ingles (lost ball; steal by D. Jones),17,47
2,8:32.0,J. Winslow misses 2-pt layup from 2 ft,,17,47
2,8:29.0,,Defensive rebound by D. Favors,17,47
2,8:19.0,,Turnover by T. Sefolosha (out of bounds lost ball),17,47
2,8:19.0,,D. Mitchell enters the game for D. Exum,17,47
2,8:19.0,,R. Rubio enters the game for J. Ingles,17,47
2,8:05.0,J. Winslow misses 3-pt jump shot from 26 ft,,17,47
2,8:02.0,,Defensive rebound by R. Rubio,17,47
2,7:51.0,,Personal foul by B. Adebayo (drawn by D. Favors),17,47
2,7:51.0,T. Johnson enters the game for J. Winslow,,17,47
2,7:51.0,,R. Gobert enters the game for D. Favors,17,47
2,7:41.0,,R. Gobert misses 2-pt layup from 5 ft,17,47
2,7:37.0,Defensive rebound by B. Adebayo,,17,47
2,7:29.0,B. Adebayo misses 2-pt hook shot from 3 ft,,17,47
2,7:28.0,,Defensive rebound by R. Rubio,17,47
2,7:21.0,,D. Mitchell misses 3-pt jump shot from 25 ft,17,47
2,7:17.0,,Offensive rebound by R. Rubio,17,47
2,7:13.0,,R. Rubio misses 2-pt jump shot from 18 ft,17,47
2,7:10.0,Defensive rebound by D. Jones,,17,47
2,7:06.0,Shooting foul by T. Sefolosha (drawn by R. McGruder),,17,47
2,7:06.0,R. McGruder misses free throw 1 of 2,,17,47
2,7:06.0,Offensive rebound by Team,,17,47
2,7:06.0,,J. Crowder enters the game for T. Sefolosha,17,47
2,7:06.0,R. McGruder makes free throw 2 of 2,,18,47
2,6:51.0,,Turnover by R. Rubio (lost ball; steal by D. Jones),18,47
2,6:37.0,T. Johnson misses 3-pt jump shot from 25 ft,,18,47
2,6:35.0,Offensive rebound by Team,,18,47
2,6:35.0,,Loose ball foul by K. Korver (drawn by B. Adebayo),18,47
2,6:28.0,J. Richardson makes 2-pt jump shot from 22 ft (assist by B. Adebayo),,20,47
2,6:11.0,,K. Korver misses 3-pt jump shot from 28 ft,20,47
2,6:10.0,Defensive rebound by R. McGruder,,20,47
2,6:04.0,B. Adebayo misses 2-pt layup from 2 ft,,20,47
2,6:04.0,Offensive rebound by Team,,20,47
2,5:59.0,R. McGruder misses 2-pt jump shot from 12 ft,,20,47
2,5:58.0,Offensive rebound by Team,,20,47
2,5:58.0,,Loose ball foul by K. Korver (drawn by B. Adebayo),20,47
2,5:48.0,T. Johnson misses 2-pt layup from 2 ft (block by R. Gobert),,20,47
2,5:46.0,,Defensive rebound by D. Mitchell,20,47
2,5:41.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),20,50
2,5:23.0,J. Richardson makes 2-pt jump shot from 17 ft (assist by B. Adebayo),,22,50
2,5:06.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Rubio),22,53
2,4:48.0,J. Richardson makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,25,53
2,4:47.0,,Utah full timeout,25,53
2,4:47.0,J. Johnson enters the game for D. Jones,,25,53
2,4:47.0,,J. Ingles enters the game for K. Korver,25,53
2,4:37.0,,Turnover by D. Mitchell (traveling),25,53
2,4:26.0,J. Richardson misses 3-pt jump shot from 24 ft,,25,53
2,4:23.0,,Defensive rebound by R. Gobert,25,53
2,4:16.0,,Personal foul by T. Johnson (drawn by J. Crowder),25,53
2,4:16.0,J. Winslow enters the game for T. Johnson,,25,53
2,4:06.0,,R. Rubio misses 3-pt jump shot from 25 ft,25,53
2,4:03.0,Defensive rebound by B. Adebayo,,25,53
2,3:53.0,Shooting foul by D. Mitchell (drawn by J. Johnson),,25,53
2,3:53.0,J. Johnson makes free throw 1 of 2,,26,53
2,3:53.0,J. Johnson makes free throw 2 of 2,,27,53
2,3:37.0,,J. Ingles misses 3-pt jump shot from 25 ft,27,53
2,3:34.0,Defensive rebound by J. Winslow,,27,53
2,3:28.0,Shooting foul by D. Mitchell (drawn by J. Richardson),,27,53
2,3:28.0,J. Richardson misses free throw 1 of 2,,27,53
2,3:28.0,Offensive rebound by Team,,27,53
2,3:28.0,J. Richardson makes free throw 2 of 2,,28,53
2,3:16.0,,J. Ingles misses 3-pt jump shot from 25 ft,28,53
2,3:12.0,Defensive rebound by B. Adebayo,,28,53
2,3:01.0,Turnover by J. Richardson (bad pass),,28,53
2,3:01.0,,Utah full timeout,28,53
2,2:46.0,,D. Mitchell misses 3-pt jump shot from 24 ft,28,53
2,2:41.0,Defensive rebound by J. Winslow,,28,53
2,2:34.0,J. Winslow misses 2-pt layup from 1 ft (block by R. Gobert),,28,53
2,2:31.0,,Defensive rebound by R. Gobert,28,53
2,2:20.0,,Personal foul by J. Richardson (drawn by J. Ingles),28,53
2,2:20.0,,J. Ingles misses free throw 1 of 2,28,53
2,2:20.0,,Offensive rebound by Team,28,53
2,2:20.0,,J. Ingles makes free throw 2 of 2,28,54
2,2:05.0,J. Johnson makes 2-pt layup from 2 ft,,30,54
2,1:42.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Gobert),30,57
2,1:28.0,Offensive foul by J. Johnson (drawn by R. Gobert),,30,57
2,1:28.0,Turnover by J. Johnson (offensive foul),,30,57
2,1:13.0,,Turnover by R. Rubio (bad pass; steal by B. Adebayo),30,57
2,0:55.0,J. Winslow makes 2-pt jump shot from 13 ft (assist by J. Richardson),,32,57
2,0:36.0,,D. Mitchell makes 3-pt jump shot from 25 ft,32,60
2,0:15.0,Shooting foul by R. Gobert (drawn by B. Adebayo),,32,60
2,0:15.0,B. Adebayo makes free throw 1 of 2,,33,60
2,0:15.0,B. Adebayo misses free throw 2 of 2,,33,60
2,0:14.0,,Defensive rebound by J. Crowder,33,60
2,0:02.0,,Turnover by D. Mitchell (lost ball; steal by R. McGruder),33,60
2,0:00.0,J. Johnson misses 3-pt jump shot from 42 ft,,33,60
2,0:00.0,Offensive rebound by Team,,33,60
3,11:45.0,T. Johnson misses 3-pt jump shot from 25 ft,,33,60
3,11:42.0,,Defensive rebound by R. Gobert,33,60
3,11:28.0,,Personal foul by B. Adebayo (drawn by R. Gobert),33,60
3,11:20.0,,D. Mitchell misses 2-pt hook shot from 7 ft,33,60
3,11:20.0,,Offensive rebound by Team,33,60
3,11:20.0,Loose ball foul by J. Richardson (drawn by R. Gobert),,33,60
3,11:12.0,,R. Rubio makes 2-pt layup from 5 ft (assist by J. Ingles),33,62
3,10:55.0,Turnover by J. Johnson (bad pass; steal by R. Rubio),,33,62
3,10:47.0,,D. Mitchell misses 2-pt jump shot from 20 ft,33,62
3,10:44.0,Defensive rebound by B. Adebayo,,33,62
3,10:39.0,Personal foul by R. Rubio (drawn by R. McGruder),,33,62
3,10:34.0,Offensive foul by J. Johnson (drawn by D. Mitchell),,33,62
3,10:34.0,Turnover by J. Johnson (offensive foul),,33,62
3,10:19.0,,D. Mitchell misses 2-pt jump shot from 11 ft,33,62
3,10:16.0,Defensive rebound by J. Richardson,,33,62
3,10:06.0,B. Adebayo makes 2-pt dunk from 2 ft,,35,62
3,9:50.0,,R. Gobert misses 2-pt layup from 4 ft (block by B. Adebayo),35,62
3,9:48.0,Defensive rebound by Team,,35,62
3,9:36.0,J. Johnson misses 2-pt jump shot from 12 ft,,35,62
3,9:34.0,,Defensive rebound by R. Gobert,35,62
3,9:22.0,,J. Ingles misses 2-pt layup from 4 ft (block by B. Adebayo),35,62
3,9:18.0,Defensive rebound by J. Richardson,,35,62
3,9:13.0,J. Richardson misses 2-pt jump shot from 13 ft,,35,62
3,9:10.0,,Defensive rebound by R. Gobert,35,62
3,9:05.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),35,64
3,9:05.0,,Shooting foul by J. Richardson (drawn by D. Mitchell),35,64
3,9:05.0,,D. Mitchell makes free throw 1 of 1,35,65
3,8:53.0,J. Richardson misses 3-pt jump shot from 25 ft,,35,65
3,8:51.0,,Defensive rebound by R. Rubio,35,65
3,8:36.0,,D. Mitchell makes 2-pt jump shot from 19 ft,35,67
3,8:25.0,Offensive foul by B. Adebayo (drawn by D. Mitchell),,35,67
3,8:25.0,Turnover by B. Adebayo (offensive foul),,35,67
3,8:12.0,,R. Gobert misses 2-pt layup from 3 ft,35,67
3,8:09.0,,Offensive rebound by R. Rubio,35,67
3,8:07.0,,J. Crowder misses 3-pt jump shot from 25 ft,35,67
3,8:07.0,Defensive rebound by R. McGruder,,35,67
3,7:50.0,T. Johnson makes 3-pt jump shot from 24 ft (assist by J. Johnson),,38,67
3,7:33.0,,Shooting foul by T. Johnson (drawn by R. Gobert),38,67
3,7:33.0,,R. Gobert misses free throw 1 of 2,38,67
3,7:33.0,,Offensive rebound by Team,38,67
3,7:33.0,,K. Korver enters the game for J. Ingles,38,67
3,7:33.0,,R. Gobert makes free throw 2 of 2,38,68
3,7:07.0,J. Richardson misses 2-pt layup from 3 ft,,38,68
3,7:06.0,,Defensive rebound by R. Gobert,38,68
3,6:55.0,,D. Mitchell misses 3-pt jump shot from 23 ft,38,68
3,6:51.0,Defensive rebound by J. Johnson,,38,68
3,6:41.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by J. Richardson),,41,68
3,6:26.0,,Utah full timeout,41,68
3,6:17.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by K. Korver),41,70
3,5:57.0,R. McGruder makes 2-pt jump shot from 8 ft,,43,70
3,5:57.0,Shooting foul by K. Korver (drawn by R. McGruder),,43,70
3,5:57.0,K. Olynyk enters the game for B. Adebayo,,43,70
3,5:57.0,R. McGruder makes free throw 1 of 1,,44,70
3,5:36.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Crowder),44,73
3,5:19.0,Shooting foul by R. Gobert (drawn by J. Johnson),,44,73
3,5:19.0,J. Johnson misses free throw 1 of 2,,44,73
3,5:19.0,Offensive rebound by Team,,44,73
3,5:19.0,D. Wade enters the game for R. McGruder,,44,73
3,5:19.0,,D. Favors enters the game for J. Crowder,44,73
3,5:19.0,J. Johnson makes free throw 2 of 2,,45,73
3,5:11.0,,D. Mitchell makes 2-pt layup from 3 ft,45,75
3,5:11.0,Violation by Team (def goaltending),,45,75
3,4:58.0,J. Johnson makes 2-pt jump shot from 16 ft (assist by T. Johnson),,47,75
3,4:49.0,,Shooting foul by J. Johnson (drawn by R. Gobert),47,75
3,4:49.0,,R. Gobert makes free throw 1 of 2,47,76
3,4:49.0,J. Winslow enters the game for J. Richardson,,47,76
3,4:49.0,,R. Gobert misses free throw 2 of 2,47,76
3,4:46.0,Defensive rebound by K. Olynyk,,47,76
3,4:39.0,Turnover by J. Winslow (bad pass; steal by D. Mitchell),,47,76
3,4:36.0,,D. Mitchell makes 2-pt layup from 2 ft,47,78
3,4:28.0,K. Olynyk misses 2-pt jump shot from 22 ft,,47,78
3,4:28.0,,Defensive rebound by K. Korver,47,78
3,4:17.0,,R. Rubio misses 2-pt jump shot from 20 ft,47,78
3,4:17.0,Defensive rebound by J. Johnson,,47,78
3,4:04.0,D. Wade misses 2-pt jump shot from 11 ft,,47,78
3,4:01.0,,Defensive rebound by R. Gobert,47,78
3,3:51.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),47,80
3,3:51.0,Miami full timeout,,47,80
3,3:51.0,D. Jones enters the game for J. Johnson,,47,80
3,3:51.0,,D. Exum enters the game for R. Rubio,47,80
3,3:35.0,T. Johnson misses 3-pt jump shot from 24 ft,,47,80
3,3:32.0,,Defensive rebound by R. Gobert,47,80
3,3:21.0,,Turnover by D. Mitchell (bad pass),47,80
3,3:21.0,,Loose ball foul by R. Gobert (drawn by K. Olynyk),47,80
3,3:21.0,,J. Ingles enters the game for R. Gobert,47,80
3,3:21.0,,R. O'Neale enters the game for K. Korver,47,80
3,3:21.0,,T. Sefolosha enters the game for D. Mitchell,47,80
3,3:05.0,Turnover by D. Wade (bad pass),,47,80
3,2:44.0,,J. Ingles makes 3-pt jump shot from 28 ft (assist by R. O'Neale),47,83
3,2:29.0,J. Winslow misses 2-pt jump shot from 6 ft,,47,83
3,2:27.0,,Defensive rebound by T. Sefolosha,47,83
3,2:20.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),47,85
3,2:02.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by T. Johnson),,50,85
3,1:47.0,,J. Ingles misses 3-pt jump shot from 28 ft,50,85
3,1:43.0,Defensive rebound by K. Olynyk,,50,85
3,1:29.0,J. Winslow misses 2-pt jump shot from 13 ft,,50,85
3,1:26.0,,Defensive rebound by J. Ingles,50,85
3,1:20.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. O'Neale),50,87
3,1:00.0,T. Johnson misses 2-pt layup from 3 ft,,50,87
3,1:00.0,,Defensive rebound by J. Ingles,50,87
3,0:44.0,,D. Favors makes 2-pt jump shot from 14 ft (assist by J. Ingles),50,89
3,0:32.0,D. Wade misses 2-pt jump shot from 9 ft,,50,89
3,0:30.0,,Defensive rebound by R. O'Neale,50,89
3,0:13.0,,D. Exum makes 3-pt jump shot from 23 ft (assist by R. O'Neale),50,92
3,0:04.0,Shooting foul by J. Ingles (drawn by K. Olynyk),,50,92
3,0:04.0,K. Olynyk makes free throw 1 of 3,,51,92
3,0:04.0,K. Olynyk makes free throw 2 of 3,,52,92
3,0:04.0,K. Olynyk makes free throw 3 of 3,,53,92
4,11:49.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by R. O'Neale),53,95
4,11:24.0,T. Johnson misses 2-pt layup from 4 ft,,53,95
4,11:23.0,,Defensive rebound by R. O'Neale,53,95
4,11:12.0,,Turnover by T. Sefolosha (bad pass; steal by J. Winslow),53,95
4,11:12.0,Shooting foul by R. O'Neale (drawn by J. Winslow),,53,95
4,11:12.0,J. Winslow misses free throw 1 of 2,,53,95
4,11:12.0,Offensive rebound by Team,,53,95
4,11:12.0,W. Ellington enters the game for T. Johnson,,53,95
4,11:12.0,J. Winslow misses free throw 2 of 2,,53,95
4,11:10.0,,Defensive rebound by T. Sefolosha,53,95
4,11:00.0,,K. Korver misses 2-pt jump shot from 21 ft,53,95
4,10:54.0,Defensive rebound by D. Jones,,53,95
4,10:51.0,J. Winslow misses 3-pt jump shot from 25 ft,,53,95
4,10:41.0,,Defensive rebound by R. O'Neale,53,95
4,10:39.0,,Turnover by D. Exum (bad pass; steal by D. Jones),53,95
4,10:34.0,D. Jones makes 2-pt layup from 4 ft,,55,95
4,10:17.0,,T. Sefolosha misses 2-pt layup from 2 ft,55,95
4,10:17.0,,Offensive rebound by D. Favors,55,95
4,10:14.0,,D. Favors makes 2-pt layup from 2 ft,55,97
4,10:06.0,D. Wade makes 3-pt jump shot from 24 ft,,58,97
4,9:45.0,,D. Exum makes 2-pt jump shot from 6 ft,58,99
4,9:20.0,D. Jones misses 3-pt jump shot from 24 ft,,58,99
4,9:20.0,Offensive rebound by K. Olynyk,,58,99
4,9:20.0,Shooting foul by D. Exum (drawn by K. Olynyk),,58,99
4,9:20.0,K. Olynyk makes free throw 1 of 2,,59,99
4,9:20.0,,G. Allen enters the game for K. Korver,59,99
4,9:20.0,K. Olynyk misses free throw 2 of 2,,59,99
4,9:17.0,,Defensive rebound by D. Favors,59,99
4,9:07.0,,D. Favors misses 2-pt jump shot from 19 ft,59,99
4,9:02.0,Defensive rebound by J. Winslow,,59,99
4,8:56.0,K. Olynyk misses 3-pt jump shot from 24 ft,,59,99
4,8:51.0,,Defensive rebound by D. Favors,59,99
4,8:39.0,,Shooting foul by K. Olynyk (drawn by D. Favors),59,99
4,8:39.0,,D. Favors misses free throw 1 of 2,59,99
4,8:39.0,,Offensive rebound by Team,59,99
4,8:39.0,,D. Favors makes free throw 2 of 2,59,100
4,8:18.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),,61,100
4,8:00.0,,Turnover by D. Exum (step out of bounds),61,100
4,8:00.0,R. McGruder enters the game for D. Wade,,61,100
4,8:00.0,,E. Udoh enters the game for D. Favors,61,100
4,7:50.0,J. Winslow makes 2-pt layup from 2 ft,,63,100
4,7:28.0,,G. Allen misses 2-pt jump shot from 18 ft,63,100
4,7:25.0,,Offensive rebound by T. Sefolosha,63,100
4,7:21.0,,T. Sefolosha misses 2-pt hook shot from 7 ft,63,100
4,7:19.0,Defensive rebound by K. Olynyk,,63,100
4,7:06.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by W. Ellington),,66,100
4,6:48.0,,D. Exum misses 3-pt jump shot from 23 ft,66,100
4,6:45.0,Defensive rebound by D. Jones,,66,100
4,6:35.0,D. Jones misses 3-pt jump shot from 25 ft,,66,100
4,6:32.0,,Defensive rebound by T. Sefolosha,66,100
4,6:16.0,,G. Allen misses 3-pt jump shot from 28 ft,66,100
4,6:11.0,Defensive rebound by K. Olynyk,,66,100
4,6:03.0,Personal foul by G. Allen (drawn by K. Olynyk),,66,100
4,6:03.0,,Utah full timeout,66,100
4,6:03.0,,G. Niang enters the game for T. Sefolosha,66,100
4,5:50.0,Turnover by K. Olynyk (traveling),,66,100
4,5:40.0,,Personal foul by J. Winslow (drawn by D. Exum),66,100
4,5:32.0,,G. Allen makes 3-pt jump shot from 25 ft (assist by R. O'Neale),66,103
4,5:18.0,W. Ellington makes 2-pt jump shot from 9 ft,,68,103
4,5:00.0,,E. Udoh misses 2-pt jump shot from 8 ft,68,103
4,4:58.0,Defensive rebound by D. Jones,,68,103
4,4:52.0,J. Winslow makes 2-pt jump shot from 9 ft,,70,103
4,4:25.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Allen),70,106
4,4:10.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Winslow),,73,106
4,3:53.0,,Turnover by D. Exum (bad pass; steal by D. Jones),73,106
4,3:50.0,D. Jones makes 2-pt dunk from 2 ft,,75,106
4,3:32.0,,R. O'Neale misses 3-pt jump shot from 22 ft,75,106
4,3:27.0,Defensive rebound by J. Winslow,,75,106
4,3:15.0,W. Ellington misses 3-pt jump shot from 27 ft,,75,106
4,3:12.0,,Defensive rebound by R. O'Neale,75,106
4,3:06.0,,Turnover by R. O'Neale (traveling),75,106
4,3:06.0,B. Adebayo enters the game for J. Winslow,,75,106
4,2:48.0,R. McGruder misses 3-pt jump shot from 22 ft,,75,106
4,2:44.0,,Defensive rebound by D. Exum,75,106
4,2:34.0,,Shooting foul by K. Olynyk (drawn by D. Exum),75,106
4,2:34.0,Miami full timeout,,75,106
4,2:34.0,,D. Exum makes free throw 1 of 2,75,107
4,2:34.0,,D. Exum makes free throw 2 of 2,75,108
4,2:21.0,W. Ellington misses 3-pt jump shot from 25 ft,,75,108
4,2:17.0,,Defensive rebound by E. Udoh,75,108
