QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
1,8:58.0,,L. Aldridge makes 2-pt layup from 1 ft,2,9
1,8:56.0,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),,2,9
1,8:56.0,W. Cauley-Stein makes free throw 1 of 2,,3,9
1,8:56.0,W. Cauley-Stein makes free throw 2 of 2,,4,9
1,8:41.0,,R. Gay makes 2-pt jump shot from 15 ft (assist by D. DeRozan),4,11
1,8:32.0,B. Hield misses 3-pt jump shot from 26 ft,,4,11
1,8:32.0,,Defensive rebound by L. Aldridge,4,11
1,8:13.0,,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge),4,11
1,8:13.0,,L. Aldridge makes free throw 1 of 2,4,12
1,8:13.0,Sacramento full timeout,,4,12
1,8:13.0,,L. Aldridge makes free throw 2 of 2,4,13
1,8:02.0,Turnover by H. Barnes (bad pass; steal by D. DeRozan),,4,13
1,7:45.0,,D. DeRozan misses 2-pt jump shot from 8 ft,4,13
1,7:43.0,Defensive rebound by N. Bjelica,,4,13
1,7:40.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,7,13
1,7:21.0,,B. Forbes misses 2-pt jump shot from 13 ft,7,13
1,7:20.0,Defensive rebound by Team,,7,13
1,7:20.0,,D. Bertāns enters the game for R. Gay,7,13
1,7:08.0,N. Bjelica misses 3-pt jump shot from 24 ft,,7,13
1,7:05.0,,Defensive rebound by D. White,7,13
1,6:45.0,,L. Aldridge makes 2-pt jump shot from 14 ft,7,15
1,6:29.0,B. Hield misses 2-pt jump shot from 18 ft,,7,15
1,6:28.0,,Defensive rebound by Team,7,15
1,6:07.0,,L. Aldridge makes 2-pt jump shot from 11 ft,7,17
1,5:53.0,W. Cauley-Stein makes 2-pt jump shot from 18 ft,,9,17
1,5:31.0,,D. DeRozan makes 2-pt jump shot from 10 ft,9,19
1,5:16.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by D. Fox),,11,19
1,5:04.0,,L. Aldridge makes 2-pt layup from 5 ft (assist by D. DeRozan),11,21
1,4:48.0,B. Hield misses 2-pt jump shot from 16 ft,,11,21
1,4:44.0,Offensive rebound by W. Cauley-Stein,,11,21
1,4:41.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by H. Barnes),,14,21
1,4:40.0,,San Antonio full timeout,14,21
1,4:40.0,B. Bogdanović enters the game for H. Barnes,,14,21
1,4:40.0,K. Koufos enters the game for W. Cauley-Stein,,14,21
1,4:40.0,,M. Belinelli enters the game for B. Forbes,14,21
1,4:40.0,,P. Mills enters the game for D. White,14,21
1,4:22.0,,L. Aldridge misses 2-pt layup from 7 ft,14,21
1,4:16.0,,Offensive rebound by L. Aldridge,14,21
1,4:16.0,,L. Aldridge makes 2-pt layup from 1 ft,14,23
1,3:57.0,D. Fox makes 2-pt layup from 7 ft (assist by K. Koufos),,16,23
1,3:31.0,,D. Bertāns misses 3-pt jump shot from 26 ft,16,23
1,3:31.0,Defensive rebound by K. Koufos,,16,23
1,3:25.0,Personal foul by D. Bertāns (drawn by N. Bjelica),,16,23
1,3:25.0,,R. Gay enters the game for D. DeRozan,16,23
1,3:13.0,D. Fox misses 2-pt jump shot from 15 ft,,16,23
1,3:09.0,Offensive rebound by K. Koufos,,16,23
1,3:07.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,16,23
1,3:01.0,,Defensive rebound by R. Gay,16,23
1,3:00.0,,Turnover by R. Gay (lost ball; steal by B. Hield),16,23
1,2:52.0,N. Bjelica makes 2-pt layup from 3 ft (assist by B. Hield),,18,23
1,2:43.0,,L. Aldridge makes 2-pt jump shot from 7 ft (assist by M. Belinelli),18,25
1,2:33.0,Personal foul by M. Belinelli (drawn by B. Bogdanović),,18,25
1,2:33.0,C. Brewer enters the game for N. Bjelica,,18,25
1,2:33.0,Y. Ferrell enters the game for D. Fox,,18,25
1,2:33.0,,J. Poeltl enters the game for L. Aldridge,18,25
1,2:19.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by C. Brewer),,20,25
1,2:05.0,,P. Mills misses 3-pt jump shot from 23 ft,20,25
1,1:59.0,Defensive rebound by B. Bogdanović,,20,25
1,1:48.0,Y. Ferrell misses 2-pt layup from 2 ft,,20,25
1,1:45.0,Offensive rebound by K. Koufos,,20,25
1,1:42.0,Turnover by K. Koufos (out of bounds lost ball),,20,25
1,1:20.0,,R. Gay makes 2-pt jump shot from 22 ft (assist by D. Bertāns),20,27
1,1:02.0,B. Bogdanović makes 2-pt layup from 7 ft (assist by B. Hield),,22,27
1,0:48.0,,R. Gay misses 2-pt jump shot from 6 ft,22,27
1,0:48.0,Defensive rebound by B. Hield,,22,27
1,0:43.0,B. Hield makes 2-pt layup from 5 ft,,24,27
1,0:43.0,Shooting foul by J. Poeltl (drawn by B. Hield),,24,27
1,0:43.0,B. Hield makes free throw 1 of 1,,25,27
1,0:34.0,,M. Belinelli misses 3-pt jump shot from 28 ft,25,27
1,0:29.0,,Offensive rebound by J. Poeltl,25,27
1,0:20.0,,M. Belinelli makes 3-pt jump shot from 26 ft,25,30
1,0:02.0,B. Hield makes 3-pt jump shot from 26 ft,,28,30
1,0:00.0,,R. Gay misses 3-pt jump shot from 45 ft,28,30
1,0:00.0,,Offensive rebound by Team,28,30
2,11:38.0,B. Bogdanović misses 2-pt jump shot from 21 ft,,28,30
2,11:34.0,,Defensive rebound by P. Mills,28,30
2,11:23.0,,Turnover by P. Mills (bad pass; steal by Y. Ferrell),28,30
2,11:06.0,Shooting foul by R. Gay (drawn by H. Barnes),,28,30
2,11:06.0,H. Barnes makes free throw 1 of 2,,29,30
2,11:06.0,H. Barnes makes free throw 2 of 2,,30,30
2,10:52.0,,M. Belinelli misses 2-pt jump shot from 20 ft,30,30
2,10:50.0,Defensive rebound by K. Koufos,,30,30
2,10:39.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by C. Brewer),,33,30
2,10:26.0,,R. Gay makes 2-pt layup from 5 ft (assist by D. Bertāns),33,32
2,10:11.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,33,32
2,10:11.0,,Defensive rebound by R. Gay,33,32
2,10:05.0,,Turnover by R. Gay (bad pass; steal by B. Bogdanović),33,32
2,10:00.0,Y. Ferrell misses 2-pt jump shot from 10 ft (block by J. Poeltl),,33,32
2,10:00.0,Offensive rebound by Team,,33,32
2,10:00.0,,B. Forbes enters the game for D. Bertāns,33,32
2,9:56.0,Shooting foul by R. Gay (drawn by B. Bogdanović),,33,32
2,9:56.0,B. Bogdanović makes free throw 1 of 2,,34,32
2,9:56.0,B. Bogdanović makes free throw 2 of 2,,35,32
2,9:42.0,,B. Forbes makes 2-pt jump shot from 5 ft (assist by P. Mills),35,34
2,9:30.0,K. Koufos misses 2-pt jump shot from 9 ft,,35,34
2,9:26.0,,Defensive rebound by R. Gay,35,34
2,9:18.0,,P. Mills makes 2-pt jump shot from 21 ft (assist by R. Gay),35,36
2,9:04.0,K. Koufos misses 2-pt hook shot from 11 ft,,35,36
2,9:04.0,,Defensive rebound by R. Gay,35,36
2,8:50.0,,R. Gay makes 2-pt jump shot from 15 ft,35,38
2,8:48.0,Sacramento full timeout,,35,38
2,8:48.0,W. Cauley-Stein enters the game for K. Koufos,,35,38
2,8:48.0,,L. Aldridge enters the game for M. Belinelli,35,38
2,8:48.0,,D. DeRozan enters the game for R. Gay,35,38
2,8:48.0,,D. White enters the game for J. Poeltl,35,38
2,8:25.0,C. Brewer makes 2-pt layup from 1 ft (assist by B. Bogdanović),,37,38
2,8:09.0,,Turnover by D. DeRozan (lost ball; steal by C. Brewer),37,38
2,8:09.0,,Violation by Team (kicked ball),37,38
2,7:53.0,H. Barnes makes 2-pt layup from 5 ft,,39,38
2,7:47.0,,San Antonio full timeout,39,38
2,7:47.0,,M. Belinelli enters the game for P. Mills,39,38
2,7:36.0,,L. Aldridge misses 2-pt jump shot from 9 ft,39,38
2,7:33.0,Defensive rebound by H. Barnes,,39,38
2,7:16.0,Y. Ferrell makes 2-pt jump shot from 10 ft (assist by C. Brewer),,41,38
2,6:57.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by L. Aldridge),41,40
2,6:45.0,Turnover by B. Bogdanović (bad pass),,41,40
2,6:41.0,,Personal foul by C. Brewer (drawn by D. White),41,40
2,6:41.0,N. Bjelica enters the game for H. Barnes,,41,40
2,6:41.0,D. Fox enters the game for Y. Ferrell,,41,40
2,6:25.0,,D. DeRozan misses 2-pt jump shot from 11 ft,41,40
2,6:22.0,Defensive rebound by N. Bjelica,,41,40
2,6:12.0,C. Brewer makes 3-pt jump shot from 24 ft (assist by D. Fox),,44,40
2,5:52.0,,L. Aldridge misses 2-pt jump shot from 12 ft,44,40
2,5:49.0,Defensive rebound by D. Fox,,44,40
2,5:42.0,W. Cauley-Stein misses 2-pt hook shot from 8 ft,,44,40
2,5:42.0,Offensive rebound by Team,,44,40
2,5:42.0,,Loose ball foul by M. Belinelli (drawn by C. Brewer),44,40
2,5:35.0,D. Fox makes 2-pt jump shot from 9 ft,,46,40
2,5:17.0,,M. Belinelli makes 2-pt jump shot from 18 ft (assist by B. Forbes),46,42
2,4:58.0,Turnover by W. Cauley-Stein (lost ball; steal by D. DeRozan),,46,42
2,4:53.0,,B. Forbes misses 2-pt layup from 5 ft,46,42
2,4:49.0,,Offensive rebound by D. DeRozan,46,42
2,4:49.0,,D. DeRozan makes 2-pt layup from 1 ft,46,44
2,4:39.0,D. Fox misses 3-pt jump shot from 25 ft,,46,44
2,4:39.0,,Defensive rebound by Team,46,44
2,4:23.0,,D. DeRozan makes 2-pt jump shot from 5 ft,46,46
2,4:08.0,Turnover by N. Bjelica (lost ball; steal by M. Belinelli),,46,46
2,4:07.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by D. DeRozan),46,49
2,3:50.0,Personal foul by B. Forbes (drawn by B. Bogdanović),,46,49
2,3:50.0,B. Hield enters the game for C. Brewer,,46,49
2,3:50.0,,R. Gay enters the game for B. Forbes,46,49
2,3:42.0,Personal foul by D. DeRozan (drawn by N. Bjelica),,46,49
2,3:42.0,N. Bjelica misses free throw 1 of 2,,46,49
2,3:42.0,Offensive rebound by Team,,46,49
2,3:42.0,N. Bjelica makes free throw 2 of 2,,47,49
2,3:26.0,,Shooting foul by N. Bjelica (drawn by M. Belinelli),47,49
2,3:26.0,,M. Belinelli makes free throw 1 of 2,47,50
2,3:26.0,H. Barnes enters the game for B. Bogdanović,,47,50
2,3:26.0,,M. Belinelli makes free throw 2 of 2,47,51
2,3:16.0,W. Cauley-Stein makes 2-pt layup from 9 ft (assist by D. Fox),,49,51
2,2:59.0,,D. White misses 2-pt jump shot from 3 ft,49,51
2,2:59.0,,Offensive rebound by L. Aldridge,49,51
2,2:52.0,,L. Aldridge misses 2-pt layup from 1 ft,49,51
2,2:50.0,,Offensive rebound by L. Aldridge,49,51
2,2:50.0,,L. Aldridge makes 2-pt layup from 1 ft,49,53
2,2:43.0,H. Barnes misses 3-pt jump shot from 25 ft,,49,53
2,2:39.0,,Defensive rebound by R. Gay,49,53
2,2:34.0,,R. Gay misses 2-pt jump shot from 8 ft,49,53
2,2:31.0,Defensive rebound by H. Barnes,,49,53
2,2:22.0,B. Hield misses 2-pt jump shot from 10 ft,,49,53
2,2:19.0,,Defensive rebound by L. Aldridge,49,53
2,2:08.0,,R. Gay makes 2-pt dunk from 3 ft (assist by D. White),49,55
2,2:00.0,D. Fox makes 2-pt layup from 2 ft,,51,55
2,2:00.0,Shooting foul by D. White (drawn by D. Fox),,51,55
2,2:00.0,K. Koufos enters the game for W. Cauley-Stein,,51,55
2,2:00.0,D. Fox makes free throw 1 of 1,,52,55
2,1:37.0,,R. Gay makes 2-pt jump shot from 14 ft,52,57
2,1:37.0,C. Brewer enters the game for N. Bjelica,,52,57
2,1:12.0,H. Barnes misses 2-pt jump shot from 3 ft (block by L. Aldridge),,52,57
2,1:11.0,Offensive rebound by Team,,52,57
2,1:11.0,,Loose ball foul by D. DeRozan (drawn by H. Barnes),52,57
2,1:11.0,H. Barnes makes free throw 1 of 2,,53,57
2,1:11.0,H. Barnes makes free throw 2 of 2,,54,57
2,0:57.0,,Turnover by D. White (lost ball; steal by D. Fox),54,57
2,0:55.0,Turnover by K. Koufos (traveling),,54,57
2,0:49.0,,D. White misses 2-pt layup from 3 ft (block by C. Brewer),54,57
2,0:45.0,Defensive rebound by B. Hield,,54,57
2,0:44.0,D. Fox makes 2-pt layup from 3 ft (assist by B. Hield),,56,57
2,0:32.0,,D. DeRozan misses 2-pt jump shot from 18 ft,56,57
2,0:29.0,Defensive rebound by B. Hield,,56,57
2,0:26.0,B. Hield makes 2-pt jump shot from 13 ft,,58,57
2,0:08.0,,L. Aldridge misses 2-pt jump shot from 17 ft,58,57
2,0:05.0,Defensive rebound by H. Barnes,,58,57
2,0:00.0,B. Hield misses 2-pt layup from 2 ft,,58,57
2,0:00.0,Offensive rebound by Team,,58,57
3,11:35.0,D. Fox misses 2-pt jump shot from 17 ft,,58,57
3,11:32.0,,Defensive rebound by D. White,58,57
3,11:17.0,,D. White makes 2-pt jump shot from 9 ft (assist by R. Gay),58,59
3,11:10.0,B. Hield makes 2-pt layup from 4 ft (assist by D. Fox),,60,59
3,10:52.0,,D. White misses 2-pt jump shot from 14 ft,60,59
3,10:52.0,,Offensive rebound by L. Aldridge,60,59
3,10:45.0,,L. Aldridge makes 2-pt layup at rim,60,61
3,10:34.0,B. Hield makes 2-pt jump shot from 11 ft,,62,61
3,10:22.0,,R. Gay misses 3-pt jump shot from 27 ft,62,61
3,10:17.0,,Offensive rebound by B. Forbes,62,61
3,10:10.0,,D. White makes 2-pt jump shot from 15 ft,62,63
3,9:50.0,H. Barnes makes 2-pt jump shot from 8 ft,,64,63
3,9:38.0,,D. White makes 2-pt layup from 2 ft,64,65
3,9:24.0,Shooting foul by B. Forbes (drawn by B. Hield),,64,65
3,9:24.0,B. Hield makes free throw 1 of 2,,65,65
3,9:24.0,B. Hield misses free throw 2 of 2,,65,65
3,9:22.0,,Defensive rebound by R. Gay,65,65
3,9:14.0,,Offensive foul by D. White (drawn by D. Fox),65,65
3,9:14.0,,Turnover by D. White (offensive foul),65,65
3,9:04.0,H. Barnes misses 2-pt layup from 2 ft (block by D. White),,65,65
3,9:04.0,,Defensive rebound by Team,65,65
3,9:04.0,Technical foul by G. Popovich,,65,65
3,9:04.0,Technical foul by G. Popovich,,65,65
3,9:04.0,B. Hield makes technical free throw,,66,65
3,9:04.0,B. Hield makes technical free throw,,67,65
3,8:49.0,,D. DeRozan misses 2-pt jump shot from 18 ft,67,65
3,8:45.0,Defensive rebound by W. Cauley-Stein,,67,65
3,8:32.0,H. Barnes misses 3-pt jump shot from 24 ft,,67,65
3,8:29.0,,Defensive rebound by D. White,67,65
3,8:26.0,,Turnover by D. White (bad pass; steal by W. Cauley-Stein),67,65
3,8:23.0,Shooting foul by L. Aldridge (drawn by D. Fox),,67,65
3,8:23.0,D. Fox makes free throw 1 of 2,,68,65
3,8:23.0,D. Fox misses free throw 2 of 2,,68,65
3,8:21.0,,Defensive rebound by L. Aldridge,68,65
3,8:01.0,,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge),68,65
3,8:01.0,,L. Aldridge misses free throw 1 of 2,68,65
3,8:01.0,,Offensive rebound by Team,68,65
3,8:01.0,,L. Aldridge misses free throw 2 of 2,68,65
3,7:58.0,Defensive rebound by W. Cauley-Stein,,68,65
3,7:48.0,D. Fox misses 2-pt jump shot from 8 ft,,68,65
3,7:46.0,,Defensive rebound by B. Forbes,68,65
3,7:40.0,,B. Forbes makes 2-pt jump shot from 19 ft,68,67
3,7:23.0,W. Cauley-Stein makes 2-pt layup from 2 ft,,70,67
3,7:23.0,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),,70,67
3,7:23.0,W. Cauley-Stein makes free throw 1 of 1,,71,67
3,7:05.0,,D. DeRozan makes 2-pt jump shot from 9 ft,71,69
3,6:53.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,71,69
3,6:50.0,,Defensive rebound by R. Gay,71,69
3,6:44.0,,Personal foul by W. Cauley-Stein (drawn by L. Aldridge),71,69
3,6:44.0,,San Antonio full timeout,71,69
3,6:44.0,B. Bogdanović enters the game for N. Bjelica,,71,69
3,6:44.0,K. Koufos enters the game for W. Cauley-Stein,,71,69
3,6:33.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. White),71,72
3,6:05.0,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Barnes),,74,72
3,5:47.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),74,75
3,5:33.0,B. Hield makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,77,75
3,5:14.0,,L. Aldridge misses 2-pt hook shot from 3 ft,77,75
3,5:11.0,Defensive rebound by K. Koufos,,77,75
3,5:10.0,Offensive foul by D. Fox (drawn by D. White),,77,75
3,5:10.0,Turnover by D. Fox (offensive foul),,77,75
3,5:10.0,,D. Bertāns enters the game for R. Gay,77,75
3,5:10.0,,P. Mills enters the game for D. White,77,75
3,4:56.0,,D. Bertāns misses 3-pt jump shot from 25 ft,77,75
3,4:52.0,Defensive rebound by K. Koufos,,77,75
3,4:46.0,Personal foul by D. DeRozan (drawn by B. Hield),,77,75
3,4:46.0,,M. Belinelli enters the game for B. Forbes,77,75
3,4:37.0,Turnover by H. Barnes (bad pass),,77,75
3,4:24.0,,Personal foul by H. Barnes (drawn by D. DeRozan),77,75
3,4:20.0,,Personal foul by K. Koufos (drawn by D. Bertāns),77,75
3,4:07.0,,L. Aldridge misses 3-pt jump shot from 25 ft,77,75
3,4:04.0,Defensive rebound by K. Koufos,,77,75
3,3:54.0,B. Hield misses 2-pt layup from 3 ft,,77,75
3,3:52.0,,Defensive rebound by D. Bertāns,77,75
3,3:47.0,,M. Belinelli makes 2-pt layup from 5 ft (assist by D. Bertāns),77,77
3,3:33.0,Turnover by K. Koufos (lost ball; steal by P. Mills),,77,77
3,3:15.0,,P. Mills misses 3-pt jump shot from 26 ft,77,77
3,3:11.0,Defensive rebound by K. Koufos,,77,77
3,3:02.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,77,77
3,2:59.0,,Defensive rebound by L. Aldridge,77,77
3,2:49.0,,M. Belinelli makes 2-pt jump shot from 7 ft (assist by L. Aldridge),77,79
3,2:49.0,,Shooting foul by K. Koufos (drawn by M. Belinelli),77,79
3,2:49.0,Sacramento full timeout,,77,79
3,2:49.0,C. Brewer enters the game for D. Fox,,77,79
3,2:49.0,Y. Ferrell enters the game for B. Hield,,77,79
3,2:49.0,,J. Poeltl enters the game for L. Aldridge,77,79
3,2:49.0,,M. Belinelli misses free throw 1 of 1,77,79
3,2:47.0,Defensive rebound by K. Koufos,,77,79
3,2:35.0,H. Barnes misses 2-pt jump shot from 16 ft,,77,79
3,2:32.0,,Defensive rebound by P. Mills,77,79
3,2:23.0,,D. Bertāns makes 3-pt jump shot from 23 ft (assist by D. DeRozan),77,82
3,2:05.0,B. Bogdanović makes 3-pt jump shot from 27 ft,,80,82
3,1:42.0,,Turnover by D. Bertāns (bad pass; steal by Y. Ferrell),80,82
3,1:33.0,B. Bogdanović makes 3-pt jump shot from 26 ft,,83,82
3,1:33.0,Shooting foul by D. Bertāns (drawn by B. Bogdanović),,83,82
3,1:33.0,,R. Gay enters the game for D. DeRozan,83,82
3,1:33.0,B. Bogdanović makes free throw 1 of 1,,84,82
3,1:17.0,,R. Gay makes 3-pt jump shot from 25 ft,84,85
3,0:56.0,H. Barnes misses 2-pt jump shot from 4 ft,,84,85
3,0:54.0,,Defensive rebound by P. Mills,84,85
3,0:52.0,,P. Mills misses 3-pt jump shot from 26 ft,84,85
3,0:49.0,,Offensive rebound by J. Poeltl,84,85
3,0:49.0,,J. Poeltl misses 2-pt layup at rim,84,85
3,0:49.0,,Offensive rebound by Team,84,85
3,0:49.0,Loose ball foul by C. Brewer (drawn by J. Poeltl),,84,85
3,0:49.0,,J. Poeltl makes free throw 1 of 2,84,86
3,0:49.0,,J. Poeltl makes free throw 2 of 2,84,87
3,0:38.0,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,87,87
3,0:23.0,,P. Mills misses 3-pt jump shot from 24 ft,87,87
3,0:20.0,Defensive rebound by B. Bogdanović,,87,87
3,0:05.0,Y. Ferrell makes 2-pt jump shot from 4 ft (assist by K. Koufos),,89,87
3,0:03.0,,Turnover by P. Mills (bad pass; steal by B. Bogdanović),89,87
3,0:01.0,B. Bogdanović misses 3-pt jump shot from 54 ft,,89,87
3,0:01.0,Offensive rebound by Team,,89,87
4,11:39.0,,M. Belinelli misses 3-pt jump shot from 25 ft,89,87
4,11:36.0,Defensive rebound by K. Koufos,,89,87
4,11:18.0,N. Bjelica misses 2-pt hook shot from 6 ft,,89,87
4,11:16.0,,Defensive rebound by R. Gay,89,87
4,11:06.0,,P. Mills misses 3-pt jump shot from 24 ft,89,87
4,11:04.0,Defensive rebound by C. Brewer,,89,87
4,10:56.0,C. Brewer misses 3-pt jump shot from 24 ft,,89,87
4,10:55.0,,Defensive rebound by J. Poeltl,89,87
4,10:54.0,,D. White misses 2-pt jump shot from 20 ft,89,87
4,10:41.0,Defensive rebound by K. Koufos,,89,87
4,10:25.0,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,92,87
4,10:22.0,,San Antonio full timeout,92,87
4,10:22.0,W. Cauley-Stein enters the game for K. Koufos,,92,87
4,10:22.0,,B. Forbes enters the game for P. Mills,92,87
4,10:07.0,,D. White misses 3-pt jump shot from 24 ft,92,87
4,10:04.0,Defensive rebound by N. Bjelica,,92,87
4,9:48.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,94,87
4,9:35.0,,Turnover by R. Gay (step out of bounds),94,87
4,9:11.0,B. Bogdanović makes 2-pt jump shot from 11 ft,,96,87
4,8:59.0,,M. Belinelli misses 2-pt layup from 4 ft,96,87
4,8:57.0,Defensive rebound by C. Brewer,,96,87
4,8:48.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,96,87
4,8:44.0,Offensive rebound by N. Bjelica,,96,87
4,8:44.0,N. Bjelica makes 2-pt layup from 1 ft,,98,87
4,8:31.0,,Personal foul by N. Bjelica (drawn by M. Belinelli),98,87
4,8:31.0,,L. Aldridge enters the game for M. Belinelli,98,87
4,8:31.0,,D. DeRozan enters the game for J. Poeltl,98,87
4,8:19.0,,D. White misses 2-pt jump shot from 4 ft,98,87
4,8:15.0,,Offensive rebound by L. Aldridge,98,87
4,8:15.0,,L. Aldridge misses 2-pt layup at rim,98,87
4,8:14.0,Defensive rebound by W. Cauley-Stein,,98,87
4,8:03.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,98,87
4,8:02.0,Offensive rebound by C. Brewer,,98,87
4,7:58.0,Turnover by Y. Ferrell (bad pass; steal by L. Aldridge),,98,87
4,7:53.0,,B. Forbes makes 2-pt layup from 1 ft (assist by D. DeRozan),98,89
4,7:53.0,Sacramento full timeout,,98,89
4,7:37.0,Shooting foul by D. White (drawn by B. Bogdanović),,98,89
4,7:37.0,B. Bogdanović makes free throw 1 of 2,,99,89
4,7:37.0,B. Bogdanović makes free throw 2 of 2,,100,89
4,7:22.0,,Turnover by D. DeRozan (bad pass; steal by W. Cauley-Stein),100,89
4,7:19.0,Shooting foul by D. DeRozan (drawn by C. Brewer),,100,89
4,7:19.0,C. Brewer misses free throw 1 of 2,,100,89
4,7:19.0,Offensive rebound by Team,,100,89
4,7:19.0,D. Fox enters the game for Y. Ferrell,,100,89
4,7:19.0,C. Brewer makes free throw 2 of 2,,101,89
4,7:00.0,,D. DeRozan makes 2-pt jump shot from 11 ft,101,91
4,6:39.0,Turnover by W. Cauley-Stein (bad pass; steal by L. Aldridge),,101,91
4,6:22.0,,Shooting foul by C. Brewer (drawn by B. Forbes),101,91
4,6:22.0,,B. Forbes makes free throw 1 of 3,101,92
4,6:22.0,,B. Forbes makes free throw 2 of 3,101,93
4,6:22.0,H. Barnes enters the game for N. Bjelica,,101,93
4,6:22.0,B. Hield enters the game for C. Brewer,,101,93
4,6:22.0,,D. Bertāns enters the game for R. Gay,101,93
4,6:22.0,,P. Mills enters the game for D. White,101,93
4,6:22.0,,B. Forbes makes free throw 3 of 3,101,94
4,6:08.0,D. Fox misses 2-pt jump shot from 11 ft,,101,94
4,6:05.0,,Defensive rebound by L. Aldridge,101,94
4,5:59.0,,B. Forbes misses 3-pt jump shot from 25 ft,101,94
4,5:57.0,,Offensive rebound by L. Aldridge,101,94
4,5:57.0,,L. Aldridge makes 2-pt layup from 2 ft,101,96
4,5:57.0,,Shooting foul by B. Hield (drawn by L. Aldridge),101,96
4,5:57.0,,L. Aldridge misses free throw 1 of 1,101,96
4,5:54.0,Defensive rebound by B. Bogdanović,,101,96
4,5:32.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,101,96
4,5:30.0,,Defensive rebound by Team,101,96
4,5:21.0,,L. Aldridge makes 2-pt hook shot from 3 ft (assist by D. DeRozan),101,98
4,5:21.0,,Shooting foul by W. Cauley-Stein (drawn by L. Aldridge),101,98
4,5:21.0,,L. Aldridge makes free throw 1 of 1,101,99
4,5:07.0,W. Cauley-Stein makes 2-pt jump shot from 18 ft,,103,99
4,4:46.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Forbes),103,102
4,4:27.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,103,102
4,4:24.0,,Defensive rebound by D. DeRozan,103,102
4,4:23.0,Violation by Team (kicked ball),,103,102
4,4:09.0,,L. Aldridge misses 2-pt jump shot from 19 ft,103,102
