QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
1,4:13.0,G. Hill enters the game for E. Bledsoe,,20,9
1,4:13.0,E. İlyasova enters the game for B. Lopez,,20,9
1,4:13.0,,J. Carter enters the game for G. Temple,20,9
1,4:13.0,,J. Green misses free throw 1 of 2,20,9
1,4:13.0,,Offensive rebound by Team,20,9
1,4:13.0,,J. Green makes free throw 2 of 2,20,10
1,3:58.0,D. Wilson misses 2-pt hook shot from 7 ft,,20,10
1,3:55.0,,Defensive rebound by J. Green,20,10
1,3:45.0,,Turnover by J. Green (bad pass; steal by G. Hill),20,10
1,3:41.0,G. Hill misses 2-pt layup from 2 ft (block by J. Green),,20,10
1,3:39.0,Offensive rebound by S. Brown,,20,10
1,3:39.0,Shooting foul by O. Casspi (drawn by S. Brown),,20,10
1,3:39.0,S. Brown makes free throw 1 of 2,,21,10
1,3:39.0,M. Brogdon enters the game for K. Middleton,,21,10
1,3:39.0,,J. Noah enters the game for M. Gasol,21,10
1,3:39.0,S. Brown misses free throw 2 of 2,,21,10
1,3:37.0,,Defensive rebound by O. Casspi,21,10
1,3:23.0,,J. Noah misses 2-pt layup from 2 ft,21,10
1,3:21.0,,Offensive rebound by Team,21,10
1,3:14.0,,S. Mack misses 2-pt jump shot from 8 ft,21,10
1,3:12.0,Defensive rebound by G. Hill,,21,10
1,3:04.0,Turnover by S. Brown (bad pass; steal by J. Green),,21,10
1,3:01.0,,O. Casspi makes 2-pt layup from 2 ft (assist by J. Green),21,12
1,3:01.0,,Shooting foul by G. Hill (drawn by O. Casspi),21,12
1,3:01.0,Milwaukee full timeout,,21,12
1,3:01.0,,O. Casspi misses free throw 1 of 1,21,12
1,2:57.0,Defensive rebound by G. Hill,,21,12
1,2:51.0,Personal foul by S. Mack (drawn by G. Hill),,21,12
1,2:51.0,G. Hill makes free throw 1 of 2,,22,12
1,2:51.0,G. Hill makes free throw 2 of 2,,23,12
1,2:41.0,,O. Casspi misses 2-pt hook shot from 3 ft,23,12
1,2:36.0,Defensive rebound by S. Brown,,23,12
1,2:28.0,D. Wilson makes 3-pt jump shot from 22 ft (assist by M. Brogdon),,26,12
1,2:15.0,,J. Green makes 2-pt dunk from 1 ft (assist by S. Mack),26,14
1,2:15.0,,Shooting foul by E. İlyasova (drawn by J. Green),26,14
1,2:15.0,,J. Green makes free throw 1 of 1,26,15
1,1:55.0,E. İlyasova misses 3-pt jump shot from 26 ft,,26,15
1,1:51.0,,Defensive rebound by J. Noah,26,15
1,1:38.0,,J. Carter misses 3-pt jump shot from 26 ft,26,15
1,1:35.0,,Offensive rebound by J. Green,26,15
1,1:31.0,,S. Mack misses 2-pt layup from 1 ft,26,15
1,1:26.0,,Offensive rebound by O. Casspi,26,15
1,1:26.0,,O. Casspi misses 2-pt layup from 1 ft,26,15
1,1:25.0,,Offensive rebound by O. Casspi,26,15
1,1:25.0,,O. Casspi makes 2-pt layup from 1 ft,26,17
1,1:17.0,M. Brogdon misses 2-pt layup from 2 ft (block by J. Green),,26,17
1,1:14.0,,Defensive rebound by J. Noah,26,17
1,0:56.0,,J. Green makes 3-pt jump shot from 26 ft (assist by S. Mack),26,20
1,0:45.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Hill),,28,20
1,0:31.0,,S. Mack misses 3-pt jump shot from 23 ft,28,20
1,0:28.0,Defensive rebound by E. İlyasova,,28,20
1,0:10.0,G. Hill misses 3-pt jump shot from 26 ft,,28,20
1,0:07.0,,Defensive rebound by J. Noah,28,20
1,0:00.0,,Turnover by S. Mack (bad pass),28,20
1,0:00.0,S. Brown misses 3-pt jump shot from 43 ft,,28,20
1,0:00.0,Offensive rebound by Team,,28,20
2,11:36.0,Turnover by Team (shot clock),,28,20
2,11:24.0,,S. Mack makes 2-pt jump shot from 9 ft (assist by J. Green),28,22
2,11:09.0,M. Brogdon misses 2-pt layup from 4 ft,,28,22
2,11:06.0,,Defensive rebound by J. Noah,28,22
2,11:05.0,,Turnover by J. Green (step out of bounds),28,22
2,11:05.0,E. Bledsoe enters the game for G. Hill,,28,22
2,10:51.0,E. Bledsoe misses 2-pt layup from 4 ft (block by J. Carter),,28,22
2,10:48.0,Offensive rebound by Team,,28,22
2,10:43.0,E. İlyasova misses 3-pt jump shot from 25 ft,,28,22
2,10:40.0,,Defensive rebound by J. Green,28,22
2,10:26.0,,O. Casspi makes 2-pt layup from 4 ft (assist by S. Mack),28,24
2,10:17.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Carter),,28,24
2,10:00.0,,S. Mack makes 2-pt jump shot from 12 ft,28,26
2,9:59.0,Milwaukee full timeout,,28,26
2,9:59.0,D. Wilson enters the game for E. İlyasova,,28,26
2,9:42.0,D. Wilson misses 3-pt jump shot from 23 ft,,28,26
2,9:40.0,Offensive rebound by Team,,28,26
2,9:31.0,M. Brogdon makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),,30,26
2,9:06.0,,J. Noah misses 2-pt layup from 2 ft (block by G. Antetokounmpo),30,26
2,9:04.0,,Offensive rebound by S. Mack,30,26
2,9:04.0,,Turnover by Team (shot clock),30,26
2,8:56.0,M. Brogdon misses 3-pt jump shot from 25 ft,,30,26
2,8:52.0,,Defensive rebound by J. Noah,30,26
2,8:40.0,,S. Mack makes 2-pt jump shot from 11 ft (assist by J. Green),30,28
2,8:16.0,M. Brogdon misses 2-pt layup at rim,,30,28
2,8:14.0,,Defensive rebound by J. Noah,30,28
2,8:09.0,,Turnover by O. Casspi (bad pass),30,28
2,8:09.0,K. Middleton enters the game for M. Brogdon,,30,28
2,8:09.0,,M. Conley enters the game for S. Mack,30,28
2,8:09.0,,J. Jackson enters the game for J. Noah,30,28
2,7:52.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,32,28
2,7:36.0,,J. Green misses 3-pt jump shot from 25 ft,32,28
2,7:32.0,Defensive rebound by G. Antetokounmpo,,32,28
2,7:27.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,32,28
2,7:22.0,,Defensive rebound by O. Casspi,32,28
2,7:13.0,,M. Conley makes 2-pt jump shot from 20 ft (assist by O. Casspi),32,30
2,7:13.0,,G. Temple enters the game for O. Casspi,32,30
2,6:54.0,K. Middleton misses 2-pt layup from 1 ft (block by G. Temple),,32,30
2,6:54.0,,Defensive rebound by Team,32,30
2,6:54.0,B. Lopez enters the game for D. Wilson,,32,30
2,6:43.0,,Personal foul by T. Snell (drawn by J. Green),32,30
2,6:43.0,G. Hill enters the game for T. Snell,,32,30
2,6:27.0,,J. Jackson misses 3-pt jump shot from 23 ft,32,30
2,6:26.0,,Offensive rebound by J. Green,32,30
2,6:26.0,,Personal foul by K. Middleton (drawn by J. Green),32,30
2,6:22.0,,M. Conley misses 2-pt layup from 4 ft,32,30
2,6:20.0,Defensive rebound by K. Middleton,,32,30
2,6:15.0,E. Bledsoe misses 2-pt layup from 1 ft (block by J. Jackson),,32,30
2,6:10.0,,Defensive rebound by J. Green,32,30
2,6:07.0,,J. Carter misses 2-pt jump shot from 9 ft,32,30
2,6:06.0,Defensive rebound by Team,,32,30
2,6:06.0,D. Wilson enters the game for G. Antetokounmpo,,32,30
2,6:06.0,,M. Gasol enters the game for J. Green,32,30
2,6:02.0,Personal foul by G. Temple (drawn by K. Middleton),,32,30
2,5:50.0,K. Middleton makes 2-pt jump shot from 7 ft,,34,30
2,5:34.0,,M. Conley makes 2-pt jump shot from 23 ft (assist by M. Gasol),34,32
2,5:11.0,G. Hill makes 3-pt jump shot from 24 ft (assist by B. Lopez),,37,32
2,5:09.0,Loose ball foul by E. Bledsoe (drawn by M. Conley),,37,32
2,4:48.0,,J. Carter misses 3-pt jump shot from 26 ft,37,32
2,4:45.0,Defensive rebound by G. Hill,,37,32
2,4:38.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,37,32
2,4:36.0,,Defensive rebound by Team,37,32
2,4:36.0,Loose ball foul by G. Hill (drawn by G. Temple),,37,32
2,4:36.0,S. Brown enters the game for E. Bledsoe,,37,32
2,4:24.0,,M. Conley misses 2-pt jump shot from 17 ft,37,32
2,4:21.0,Defensive rebound by D. Wilson,,37,32
2,4:13.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by S. Brown),,40,32
2,3:45.0,,M. Gasol misses 3-pt jump shot from 26 ft,40,32
2,3:43.0,,Offensive rebound by Team,40,32
2,3:43.0,,O. Casspi enters the game for J. Carter,40,32
2,3:31.0,,M. Gasol misses 2-pt layup from 5 ft (block by D. Wilson),40,32
2,3:28.0,Defensive rebound by S. Brown,,40,32
2,3:27.0,Turnover by S. Brown (bad pass),,40,32
2,3:13.0,,J. Jackson misses 2-pt jump shot from 7 ft,40,32
2,3:10.0,,Offensive rebound by J. Jackson,40,32
2,3:07.0,,G. Temple misses 3-pt jump shot from 23 ft,40,32
2,3:04.0,Defensive rebound by B. Lopez,,40,32
2,2:53.0,Turnover by K. Middleton (lost ball; steal by J. Jackson),,40,32
2,2:47.0,,O. Casspi makes 2-pt layup at rim (assist by M. Conley),40,34
2,2:47.0,,Violation by Team (delay of game),40,34
2,2:34.0,B. Lopez misses 3-pt jump shot from 26 ft,,40,34
2,2:30.0,,Defensive rebound by J. Jackson,40,34
2,2:12.0,,M. Gasol makes 2-pt layup from 4 ft (assist by G. Temple),40,36
2,1:56.0,Offensive foul by S. Brown (drawn by M. Gasol),,40,36
2,1:56.0,Turnover by S. Brown (offensive foul),,40,36
2,1:56.0,,Memphis full timeout,40,36
2,1:56.0,G. Antetokounmpo enters the game for G. Hill,,40,36
2,1:56.0,M. Brogdon enters the game for D. Wilson,,40,36
2,1:56.0,,J. Green enters the game for G. Temple,40,36
2,1:37.0,,J. Jackson misses 2-pt layup from 6 ft,40,36
2,1:32.0,,Offensive rebound by J. Green,40,36
2,1:32.0,,J. Green makes 2-pt dunk from 1 ft,40,38
2,1:20.0,B. Lopez makes 2-pt jump shot from 14 ft (assist by S. Brown),,42,38
2,1:09.0,,Shooting foul by M. Brogdon (drawn by M. Conley),42,38
2,1:09.0,,M. Conley makes free throw 1 of 3,42,39
2,1:09.0,,M. Conley makes free throw 2 of 3,42,40
2,1:09.0,,M. Conley makes free throw 3 of 3,42,41
2,0:59.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by S. Brown),,44,41
2,0:46.0,,M. Conley makes 2-pt jump shot from 14 ft (assist by M. Gasol),44,43
2,0:38.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Brogdon),,46,43
2,0:38.0,Shooting foul by J. Jackson (drawn by G. Antetokounmpo),,46,43
2,0:38.0,,G. Temple enters the game for J. Green,46,43
2,0:38.0,G. Antetokounmpo makes free throw 1 of 1,,47,43
2,0:22.0,,O. Casspi misses 2-pt layup from 3 ft (block by B. Lopez),47,43
2,0:19.0,Defensive rebound by B. Lopez,,47,43
2,0:16.0,M. Brogdon misses 2-pt layup from 2 ft,,47,43
2,0:15.0,,Defensive rebound by M. Gasol,47,43
2,0:15.0,,Personal foul by G. Antetokounmpo (drawn by M. Gasol),47,43
2,0:15.0,,M. Gasol makes free throw 1 of 2,47,44
2,0:15.0,,J. Green enters the game for J. Jackson,47,44
2,0:15.0,,M. Gasol makes free throw 2 of 2,47,45
2,0:05.0,G. Antetokounmpo makes 2-pt layup at rim,,49,45
2,0:05.0,Shooting foul by J. Green (drawn by G. Antetokounmpo),,49,45
2,0:05.0,G. Antetokounmpo makes free throw 1 of 1,,50,45
2,0:00.0,,M. Conley misses 3-pt jump shot from 29 ft (block by M. Brogdon),50,45
2,0:00.0,,Offensive rebound by Team,50,45
3,11:47.0,Shooting foul by J. Jackson (drawn by G. Antetokounmpo),,50,45
3,11:47.0,G. Antetokounmpo makes free throw 1 of 2,,51,45
3,11:47.0,G. Antetokounmpo makes free throw 2 of 2,,52,45
3,11:28.0,,G. Temple makes 2-pt jump shot from 8 ft,52,47
3,11:20.0,K. Middleton misses 2-pt jump shot from 2 ft (block by J. Holiday),,52,47
3,11:15.0,,Defensive rebound by J. Jackson,52,47
3,11:10.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),52,50
3,10:51.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by K. Middleton),,54,50
3,10:27.0,,M. Gasol misses 2-pt dunk from 1 ft (block by G. Antetokounmpo),54,50
3,10:23.0,Defensive rebound by M. Brogdon,,54,50
3,10:19.0,K. Middleton misses 3-pt jump shot from 23 ft,,54,50
3,10:16.0,,Defensive rebound by M. Conley,54,50
3,10:12.0,,M. Conley misses 2-pt jump shot from 8 ft,54,50
3,10:12.0,,Offensive rebound by Team,54,50
3,10:12.0,Loose ball foul by K. Middleton (drawn by J. Jackson),,54,50
3,10:06.0,,J. Holiday misses 2-pt jump shot from 6 ft,54,50
3,10:04.0,Defensive rebound by G. Antetokounmpo,,54,50
3,9:58.0,G. Antetokounmpo misses 2-pt layup at rim (block by G. Temple),,54,50
3,9:58.0,,Defensive rebound by J. Holiday,54,50
3,9:52.0,,Turnover by J. Holiday (bad pass; steal by G. Antetokounmpo),54,50
3,9:49.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,54,50
3,9:44.0,Offensive rebound by G. Antetokounmpo,,54,50
3,9:44.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,56,50
3,9:39.0,,M. Conley misses 2-pt jump shot from 17 ft,56,50
3,9:36.0,Defensive rebound by E. Bledsoe,,56,50
3,9:25.0,Turnover by K. Middleton (bad pass; steal by J. Holiday),,56,50
3,9:23.0,,Personal foul by G. Antetokounmpo (drawn by J. Holiday),56,50
3,9:14.0,,Personal foul by G. Antetokounmpo (drawn by J. Jackson),56,50
3,9:06.0,,J. Jackson makes 2-pt layup from 6 ft,56,52
3,9:06.0,,Shooting foul by M. Brogdon (drawn by J. Jackson),56,52
3,9:06.0,,J. Jackson makes free throw 1 of 1,56,53
3,8:56.0,B. Lopez makes 2-pt layup at rim (assist by E. Bledsoe),,58,53
3,8:35.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),58,56
3,8:17.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,58,56
3,8:15.0,,Defensive rebound by J. Holiday,58,56
3,8:09.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),58,59
3,8:07.0,Milwaukee full timeout,,58,59
3,8:07.0,D. Wilson enters the game for G. Antetokounmpo,,58,59
3,7:55.0,E. Bledsoe misses 2-pt layup from 2 ft,,58,59
3,7:51.0,Offensive rebound by B. Lopez,,58,59
3,7:47.0,Shooting foul by M. Conley (drawn by E. Bledsoe),,58,59
3,7:47.0,E. Bledsoe makes free throw 1 of 2,,59,59
3,7:47.0,S. Brown enters the game for M. Brogdon,,59,59
3,7:47.0,E. Bledsoe makes free throw 2 of 2,,60,59
3,7:34.0,,Offensive foul by J. Jackson (drawn by D. Wilson),60,59
3,7:34.0,,Turnover by J. Jackson (offensive foul),60,59
3,7:34.0,,J. Green enters the game for J. Jackson,60,59
3,7:26.0,E. Bledsoe makes 3-pt jump shot from 27 ft,,63,59
3,7:02.0,,Turnover by J. Holiday (bad pass; steal by E. Bledsoe),63,59
3,6:57.0,E. Bledsoe makes 2-pt layup at rim,,65,59
3,6:50.0,,Memphis full timeout,65,59
3,6:50.0,,O. Casspi enters the game for J. Holiday,65,59
3,6:43.0,,M. Conley misses 3-pt jump shot from 28 ft,65,59
3,6:36.0,Defensive rebound by D. Wilson,,65,59
3,6:32.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),,67,59
3,6:14.0,,Turnover by M. Gasol (lost ball; steal by S. Brown),67,59
3,6:00.0,S. Brown makes 3-pt jump shot from 27 ft (assist by D. Wilson),,70,59
3,5:35.0,,M. Conley misses 2-pt jump shot from 21 ft,70,59
3,5:31.0,Defensive rebound by K. Middleton,,70,59
3,5:30.0,Turnover by E. Bledsoe (lost ball; steal by M. Conley),,70,59
3,5:20.0,,O. Casspi misses 2-pt layup from 4 ft (block by D. Wilson),70,59
3,5:17.0,Defensive rebound by E. Bledsoe,,70,59
3,5:13.0,S. Brown makes 2-pt layup at rim (assist by D. Wilson),,72,59
3,4:59.0,,Turnover by M. Conley (bad pass; steal by E. Bledsoe),72,59
3,4:55.0,K. Middleton makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,74,59
3,4:55.0,,Memphis full timeout,74,59
3,4:55.0,,J. Carter enters the game for M. Conley,74,59
3,4:55.0,,S. Mack enters the game for G. Temple,74,59
3,4:40.0,,M. Gasol misses 2-pt jump shot from 13 ft,74,59
3,4:37.0,Defensive rebound by S. Brown,,74,59
3,4:27.0,B. Lopez misses 2-pt jump shot from 5 ft,,74,59
3,4:23.0,,Defensive rebound by J. Green,74,59
3,4:17.0,,Turnover by J. Green (bad pass; steal by K. Middleton),74,59
3,4:14.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by K. Middleton),,77,59
3,3:53.0,,S. Mack misses 2-pt jump shot from 12 ft,77,59
3,3:49.0,,Offensive rebound by J. Carter,77,59
3,3:42.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by O. Casspi),77,61
3,3:25.0,D. Wilson makes 3-pt jump shot from 23 ft,,80,61
3,3:07.0,,J. Green makes 3-pt jump shot from 25 ft (assist by S. Mack),80,64
3,2:52.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,80,64
3,2:49.0,,Defensive rebound by M. Gasol,80,64
3,2:43.0,,O. Casspi makes 2-pt jump shot from 7 ft (assist by J. Carter),80,66
3,2:34.0,K. Middleton makes 2-pt jump shot from 6 ft,,82,66
3,2:17.0,,Turnover by M. Gasol (lost ball; steal by E. Bledsoe),82,66
3,2:10.0,D. Wilson makes 3-pt jump shot from 23 ft (assist by S. Brown),,85,66
3,1:55.0,,S. Mack makes 2-pt layup from 1 ft,85,68
3,1:40.0,D. Wilson makes 2-pt dunk at rim (assist by E. Bledsoe),,87,68
3,1:39.0,,Memphis full timeout,87,68
3,1:39.0,M. Brogdon enters the game for E. Bledsoe,,87,68
3,1:39.0,G. Hill enters the game for B. Lopez,,87,68
3,1:39.0,E. İlyasova enters the game for K. Middleton,,87,68
3,1:39.0,,J. Noah enters the game for M. Gasol,87,68
3,1:20.0,,Offensive foul by J. Carter (drawn by E. İlyasova),87,68
3,1:20.0,,Turnover by J. Carter (offensive foul),87,68
3,1:06.0,D. Wilson makes 2-pt jump shot from 20 ft (assist by M. Brogdon),,89,68
3,0:47.0,,J. Green misses 2-pt jump shot from 14 ft,89,68
3,0:44.0,Defensive rebound by M. Brogdon,,89,68
3,0:39.0,G. Hill makes 2-pt layup from 1 ft (assist by M. Brogdon),,91,68
3,0:29.0,,J. Noah makes 2-pt dunk at rim (assist by S. Mack),91,70
3,0:08.0,G. Hill misses 2-pt layup from 1 ft (block by J. Green),,91,70
3,0:05.0,,Defensive rebound by J. Carter,91,70
3,0:03.0,,S. Mack makes 3-pt jump shot from 26 ft (assist by J. Carter),91,73
4,11:44.0,,Turnover by J. Green (bad pass; steal by E. İlyasova),91,73
4,11:40.0,G. Hill makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,93,73
4,11:28.0,,S. Mack misses 3-pt jump shot from 24 ft,93,73
4,11:26.0,Defensive rebound by M. Brogdon,,93,73
4,11:23.0,Turnover by M. Brogdon (out of bounds lost ball),,93,73
4,11:12.0,,J. Noah makes 2-pt layup from 1 ft (assist by S. Mack),93,75
4,10:46.0,M. Brogdon makes 3-pt jump shot from 30 ft (assist by P. Connaughton),,96,75
4,10:34.0,,Def 3 sec tech foul by Team,96,75
4,10:34.0,,J. Green makes technical free throw,96,76
4,10:24.0,,J. Green misses 2-pt hook shot from 7 ft,96,76
4,10:21.0,Defensive rebound by E. İlyasova,,96,76
4,10:17.0,G. Antetokounmpo makes 2-pt layup at rim (assist by G. Hill),,98,76
4,10:01.0,,J. Carter misses 2-pt jump shot from 16 ft,98,76
4,9:58.0,Defensive rebound by M. Brogdon,,98,76
4,9:48.0,P. Connaughton misses 3-pt jump shot from 24 ft,,98,76
4,9:45.0,Offensive rebound by M. Brogdon,,98,76
4,9:45.0,,M. Conley enters the game for J. Carter,98,76
4,9:34.0,Shooting foul by J. Green (drawn by G. Antetokounmpo),,98,76
4,9:34.0,,Technical foul by J. Noah,98,76
4,9:34.0,M. Brogdon misses technical free throw,,98,76
4,9:34.0,Offensive rebound by Team,,98,76
4,9:34.0,G. Antetokounmpo makes free throw 1 of 2,,99,76
4,9:34.0,G. Antetokounmpo makes free throw 2 of 2,,100,76
4,9:20.0,,M. Conley misses 2-pt jump shot from 13 ft,100,76
4,9:18.0,Defensive rebound by G. Antetokounmpo,,100,76
4,9:13.0,E. İlyasova misses 3-pt jump shot from 25 ft,,100,76
4,9:10.0,Offensive rebound by P. Connaughton,,100,76
4,9:01.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,103,76
4,8:47.0,,J. Green misses 3-pt jump shot from 26 ft,103,76
4,8:43.0,Defensive rebound by G. Antetokounmpo,,103,76
4,8:36.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,105,76
4,8:36.0,,Memphis full timeout,105,76
4,8:36.0,S. Brown enters the game for G. Antetokounmpo,,105,76
4,8:36.0,T. Maker enters the game for G. Hill,,105,76
4,8:36.0,,J. Carter enters the game for S. Mack,105,76
4,8:36.0,,J. Jackson enters the game for J. Noah,105,76
4,8:23.0,,J. Jackson misses 2-pt jump shot from 8 ft,105,76
4,8:20.0,,Offensive rebound by J. Green,105,76
4,8:18.0,,J. Green misses 2-pt layup from 1 ft (block by S. Brown),105,76
4,8:18.0,,Offensive rebound by J. Green,105,76
4,8:18.0,,Shooting foul by E. İlyasova (drawn by J. Green),105,76
4,8:18.0,,J. Green makes free throw 1 of 2,105,77
4,8:18.0,,J. Green misses free throw 2 of 2,105,77
4,8:15.0,Defensive rebound by T. Maker,,105,77
4,7:58.0,S. Brown makes 3-pt jump shot from 27 ft (assist by P. Connaughton),,108,77
4,7:52.0,,Personal foul by S. Brown (drawn by J. Jackson),108,77
4,7:52.0,,J. Holiday enters the game for M. Conley,108,77
4,7:41.0,,O. Casspi misses 3-pt jump shot from 26 ft,108,77
4,7:37.0,Defensive rebound by M. Brogdon,,108,77
4,7:28.0,M. Brogdon misses 2-pt layup from 4 ft (block by J. Carter),,108,77
4,7:28.0,,Defensive rebound by J. Jackson,108,77
4,7:17.0,,J. Green misses 3-pt jump shot from 24 ft,108,77
4,7:14.0,Defensive rebound by S. Brown,,108,77
4,6:58.0,E. İlyasova misses 3-pt jump shot from 23 ft,,108,77
