QUARTER,TIME_REMAINING,TORONTO_ACTION,ATLANTA_ACTION,TORONTO_SCORE,ATLANTA_SCORE
2,11:10.0,Defensive rebound by G. Monroe,,31,24
2,11:03.0,Turnover by L. Brown (bad pass; steal by J. Anderson),,31,24
2,10:55.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by J. Collins),31,27
2,10:38.0,G. Monroe misses 2-pt layup from 1 ft,,31,27
2,10:36.0,,Defensive rebound by D. Dedmon,31,27
2,10:25.0,,D. Dedmon misses 3-pt jump shot from 25 ft,31,27
2,10:21.0,Defensive rebound by D. Green,,31,27
2,10:14.0,S. Ibaka misses 3-pt jump shot from 25 ft,,31,27
2,10:10.0,,Defensive rebound by K. Bazemore,31,27
2,10:10.0,K. Lowry enters the game for D. Green,,31,27
2,10:10.0,,T. Young enters the game for J. Lin,31,27
2,9:56.0,,J. Anderson misses 3-pt jump shot from 25 ft,31,27
2,9:53.0,Defensive rebound by L. Brown,,31,27
2,9:45.0,L. Brown misses 2-pt layup from 2 ft,,31,27
2,9:42.0,,Defensive rebound by K. Bazemore,31,27
2,9:42.0,,Turnover by K. Bazemore (bad pass),31,27
2,9:35.0,S. Ibaka misses 3-pt jump shot from 23 ft,,31,27
2,9:33.0,Offensive rebound by D. Wright,,31,27
2,9:32.0,Turnover by D. Wright (lost ball; steal by D. Dedmon),,31,27
2,9:26.0,,K. Bazemore makes 2-pt dunk from 1 ft (assist by T. Young),31,29
2,9:06.0,L. Brown makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,34,29
2,9:06.0,Loose ball foul by G. Monroe (drawn by D. Dedmon),,34,29
2,8:53.0,,D. Dedmon misses 3-pt jump shot from 25 ft,34,29
2,8:49.0,Defensive rebound by K. Lowry,,34,29
2,8:43.0,G. Monroe misses 2-pt layup from 2 ft (block by D. Dedmon),,34,29
2,8:43.0,Offensive rebound by Team,,34,29
2,8:43.0,,T. Prince enters the game for J. Anderson,34,29
2,8:41.0,D. Wright makes 2-pt dunk from 1 ft (assist by K. Lowry),,36,29
2,8:38.0,,Atlanta full timeout,36,29
2,8:25.0,,T. Young makes 2-pt jump shot from 2 ft,36,31
2,8:04.0,S. Ibaka misses 3-pt jump shot from 24 ft,,36,31
2,7:58.0,,Defensive rebound by T. Young,36,31
2,7:53.0,,Turnover by J. Collins (traveling),36,31
2,7:53.0,J. Valančiūnas enters the game for G. Monroe,,36,31
2,7:33.0,D. Wright makes 2-pt layup from 2 ft (assist by K. Lowry),,38,31
2,7:12.0,,J. Collins misses 2-pt layup from 4 ft,38,31
2,7:09.0,Defensive rebound by K. Lowry,,38,31
2,7:07.0,K. Lowry misses 3-pt jump shot from 26 ft,,38,31
2,7:04.0,Offensive rebound by J. Valančiūnas,,38,31
2,6:59.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),,40,31
2,6:44.0,,Shooting foul by L. Brown (drawn by T. Prince),40,31
2,6:44.0,,T. Prince makes free throw 1 of 2,40,32
2,6:44.0,F. VanVleet enters the game for L. Brown,,40,32
2,6:44.0,,T. Prince misses free throw 2 of 2,40,32
2,6:42.0,,Offensive rebound by D. Dedmon,40,32
2,6:36.0,,T. Young makes 2-pt jump shot from 14 ft (assist by T. Prince),40,34
2,6:26.0,K. Lowry makes 2-pt layup from 1 ft,,42,34
2,6:09.0,,T. Young misses 3-pt jump shot from 26 ft,42,34
2,6:06.0,Defensive rebound by D. Wright,,42,34
2,5:57.0,D. Wright misses 2-pt layup from 1 ft,,42,34
2,5:53.0,,Defensive rebound by D. Dedmon,42,34
2,5:50.0,,T. Prince misses 3-pt jump shot from 25 ft,42,34
2,5:46.0,Defensive rebound by S. Ibaka,,42,34
2,5:39.0,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),,44,34
2,5:29.0,,Atlanta full timeout,44,34
2,5:29.0,,V. Carter enters the game for K. Bazemore,44,34
2,5:29.0,,K. Huerter enters the game for J. Collins,44,34
2,5:29.0,,M. Plumlee enters the game for D. Dedmon,44,34
2,5:13.0,,V. Carter misses 2-pt jump shot from 22 ft,44,34
2,5:10.0,Defensive rebound by S. Ibaka,,44,34
2,4:59.0,Shooting foul by M. Plumlee (drawn by J. Valančiūnas),,44,34
2,4:59.0,J. Valančiūnas makes free throw 1 of 2,,45,34
2,4:59.0,J. Valančiūnas makes free throw 2 of 2,,46,34
2,4:38.0,,Personal foul by S. Ibaka (drawn by T. Young),46,34
2,4:38.0,D. Green enters the game for S. Ibaka,,46,34
2,4:38.0,P. Siakam enters the game for D. Wright,,46,34
2,4:26.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Young),46,36
2,4:10.0,P. Siakam makes 2-pt layup from 6 ft (assist by F. VanVleet),,48,36
2,3:55.0,,T. Prince misses 3-pt jump shot from 26 ft,48,36
2,3:51.0,,Offensive rebound by V. Carter,48,36
2,3:45.0,,M. Plumlee misses 2-pt jump shot from 11 ft,48,36
2,3:44.0,Defensive rebound by Team,,48,36
2,3:21.0,F. VanVleet misses 2-pt layup from 3 ft (block by K. Huerter),,48,36
2,3:18.0,,Defensive rebound by K. Huerter,48,36
2,3:17.0,,Shooting foul by D. Green (drawn by T. Prince),48,36
2,3:17.0,,T. Prince makes free throw 1 of 2,48,37
2,3:17.0,,J. Lin enters the game for T. Young,48,37
2,3:17.0,,T. Prince makes free throw 2 of 2,48,38
2,3:01.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by D. Green),,51,38
2,2:44.0,,T. Prince misses 2-pt jump shot from 11 ft,51,38
2,2:41.0,Defensive rebound by K. Lowry,,51,38
2,2:36.0,D. Green misses 2-pt layup from 1 ft,,51,38
2,2:33.0,,Defensive rebound by V. Carter,51,38
2,2:29.0,,K. Huerter misses 2-pt layup from 1 ft,51,38
2,2:24.0,,Offensive rebound by K. Huerter,51,38
2,2:24.0,,K. Huerter misses 2-pt layup from 1 ft,51,38
2,2:23.0,Defensive rebound by J. Valančiūnas,,51,38
2,2:23.0,Personal foul by T. Prince (drawn by K. Lowry),,51,38
2,2:23.0,,J. Anderson enters the game for M. Plumlee,51,38
2,2:23.0,,D. Dedmon enters the game for T. Prince,51,38
2,2:23.0,,Violation by Team (delay of game),51,38
2,2:06.0,K. Lowry misses 3-pt jump shot from 26 ft (block by J. Anderson),,51,38
2,2:03.0,,Defensive rebound by J. Lin,51,38
2,2:01.0,,J. Lin makes 2-pt layup from 1 ft,51,40
2,1:48.0,Personal foul by J. Anderson (drawn by F. VanVleet),,51,40
2,1:35.0,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by P. Siakam),,53,40
2,1:19.0,,J. Lin makes 2-pt jump shot from 15 ft,53,42
2,1:02.0,D. Green misses 3-pt jump shot from 25 ft,,53,42
2,1:01.0,Offensive rebound by Team,,53,42
2,1:01.0,,Loose ball foul by J. Lin (drawn by J. Valančiūnas),53,42
2,1:01.0,J. Valančiūnas makes free throw 1 of 2,,54,42
2,1:01.0,D. Wright enters the game for D. Green,,54,42
2,1:01.0,J. Valančiūnas makes free throw 2 of 2,,55,42
2,0:51.0,,V. Carter misses 2-pt layup from 2 ft,55,42
2,0:46.0,Defensive rebound by J. Valančiūnas,,55,42
2,0:42.0,Turnover by K. Lowry (traveling),,55,42
2,0:42.0,Violation by Team (delay of game),,55,42
2,0:28.0,,J. Anderson makes 2-pt layup from 2 ft (assist by K. Huerter),55,44
2,0:05.0,K. Lowry misses 2-pt jump shot from 11 ft,,55,44
2,0:00.0,,Defensive rebound by D. Dedmon,55,44
3,11:41.0,,J. Collins misses 2-pt layup from 1 ft,55,44
3,11:37.0,Defensive rebound by J. Valančiūnas,,55,44
3,11:36.0,Shooting foul by K. Bazemore (drawn by P. Siakam),,55,44
3,11:36.0,P. Siakam misses free throw 1 of 2,,55,44
3,11:36.0,Offensive rebound by Team,,55,44
3,11:36.0,P. Siakam makes free throw 2 of 2,,56,44
3,11:18.0,,J. Collins misses 3-pt jump shot from 25 ft,56,44
3,11:14.0,Defensive rebound by K. Lowry,,56,44
3,11:03.0,P. Siakam makes 2-pt jump shot from 12 ft (assist by K. Lowry),,58,44
3,10:48.0,,K. Bazemore makes 2-pt layup from 4 ft (assist by J. Collins),58,46
3,10:31.0,K. Lowry makes 2-pt layup from 1 ft (assist by J. Valančiūnas),,60,46
3,10:31.0,Shooting foul by K. Bazemore (drawn by K. Lowry),,60,46
3,10:31.0,K. Lowry makes free throw 1 of 1,,61,46
3,10:22.0,,T. Young misses 2-pt jump shot from 14 ft,61,46
3,10:18.0,Defensive rebound by K. Lowry,,61,46
3,10:12.0,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by K. Lowry),,63,46
3,10:12.0,,Atlanta full timeout,63,46
3,10:12.0,,D. Bembry enters the game for K. Bazemore,63,46
3,10:12.0,,V. Carter enters the game for J. Collins,63,46
3,10:12.0,,K. Huerter enters the game for D. Dedmon,63,46
3,10:12.0,,J. Lin enters the game for T. Prince,63,46
3,10:12.0,,M. Plumlee enters the game for T. Young,63,46
3,9:56.0,,D. Bembry makes 2-pt layup from 4 ft,63,48
3,9:41.0,Turnover by D. Green (bad pass; steal by J. Lin),,63,48
3,9:36.0,,J. Lin makes 2-pt layup from 1 ft,63,50
3,9:19.0,Shooting foul by V. Carter (drawn by P. Siakam),,63,50
3,9:19.0,P. Siakam makes free throw 1 of 2,,64,50
3,9:19.0,P. Siakam makes free throw 2 of 2,,65,50
3,9:07.0,,D. Bembry misses 2-pt jump shot from 12 ft,65,50
3,9:03.0,Defensive rebound by P. Siakam,,65,50
3,8:56.0,J. Valančiūnas makes 2-pt layup from 11 ft (assist by K. Lowry),,67,50
3,8:35.0,,K. Huerter makes 2-pt jump shot from 13 ft,67,52
3,8:28.0,Turnover by K. Lowry (bad pass),,67,52
3,8:04.0,,V. Carter misses 2-pt layup from 1 ft,67,52
3,8:00.0,Defensive rebound by K. Lowry,,67,52
3,7:58.0,F. VanVleet misses 3-pt jump shot from 25 ft,,67,52
3,7:55.0,,Defensive rebound by D. Bembry,67,52
3,7:51.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by D. Bembry),67,55
3,7:33.0,Shooting foul by J. Lin (drawn by J. Valančiūnas),,67,55
3,7:33.0,J. Valančiūnas misses free throw 1 of 2,,67,55
3,7:33.0,Offensive rebound by Team,,67,55
3,7:33.0,J. Valančiūnas misses free throw 2 of 2,,67,55
3,7:30.0,,Defensive rebound by V. Carter,67,55
3,7:14.0,,Shooting foul by J. Valančiūnas (drawn by M. Plumlee),67,55
3,7:14.0,,M. Plumlee misses free throw 1 of 2,67,55
3,7:14.0,,Offensive rebound by Team,67,55
3,7:14.0,,M. Plumlee makes free throw 2 of 2,67,56
3,7:03.0,P. Siakam makes 2-pt layup from 5 ft,,69,56
3,6:50.0,,V. Carter misses 3-pt jump shot from 25 ft,69,56
3,6:46.0,,Offensive rebound by M. Plumlee,69,56
3,6:44.0,,K. Huerter misses 3-pt jump shot from 23 ft,69,56
3,6:41.0,Defensive rebound by J. Valančiūnas,,69,56
3,6:33.0,Shooting foul by V. Carter (drawn by J. Valančiūnas),,69,56
3,6:33.0,J. Valančiūnas misses free throw 1 of 2,,69,56
3,6:33.0,Offensive rebound by Team,,69,56
3,6:33.0,,J. Anderson enters the game for V. Carter,69,56
3,6:33.0,,J. Collins enters the game for K. Huerter,69,56
3,6:33.0,J. Valančiūnas makes free throw 2 of 2,,70,56
3,6:24.0,,Turnover by J. Anderson (bad pass; steal by D. Green),70,56
3,6:17.0,,Violation by Team (kicked ball),70,56
3,6:06.0,F. VanVleet makes 2-pt jump shot from 14 ft (assist by K. Lowry),,72,56
3,5:55.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by M. Plumlee),72,59
3,5:46.0,Personal foul by D. Bembry (drawn by K. Lowry),,72,59
3,5:46.0,K. Lowry makes free throw 1 of 2,,73,59
3,5:46.0,,T. Prince enters the game for D. Bembry,73,59
3,5:46.0,K. Lowry makes free throw 2 of 2,,74,59
3,5:26.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Collins),74,61
3,5:18.0,K. Lowry misses 3-pt jump shot from 25 ft,,74,61
3,5:14.0,,Defensive rebound by M. Plumlee,74,61
3,5:14.0,,Personal foul by D. Green (drawn by J. Lin),74,61
3,5:03.0,,Def 3 sec tech foul by Team,74,61
3,5:03.0,,T. Prince makes technical free throw,74,62
3,4:55.0,,T. Prince makes 2-pt jump shot from 11 ft,74,64
3,4:30.0,D. Green makes 3-pt jump shot from 22 ft (assist by K. Lowry),,77,64
3,4:17.0,,M. Plumlee makes 2-pt layup from 8 ft,77,66
3,4:05.0,Turnover by P. Siakam (bad pass; steal by M. Plumlee),,77,66
3,3:56.0,,J. Anderson misses 3-pt jump shot from 24 ft,77,66
3,3:55.0,Defensive rebound by J. Valančiūnas,,77,66
3,3:55.0,Toronto full timeout,,77,66
3,3:55.0,S. Ibaka enters the game for J. Valančiūnas,,77,66
3,3:55.0,D. Wright enters the game for F. VanVleet,,77,66
3,3:55.0,,D. Dedmon enters the game for J. Lin,77,66
3,3:55.0,,T. Young enters the game for M. Plumlee,77,66
3,3:41.0,D. Green misses 3-pt jump shot from 23 ft (block by T. Prince),,77,66
3,3:37.0,,Defensive rebound by J. Collins,77,66
3,3:32.0,,Turnover by T. Young (lost ball; steal by D. Green),77,66
3,3:10.0,K. Lowry makes 2-pt jump shot from 20 ft,,79,66
3,2:55.0,,J. Collins misses 2-pt jump shot from 14 ft,79,66
3,2:52.0,Defensive rebound by K. Lowry,,79,66
3,2:47.0,P. Siakam misses 3-pt jump shot from 24 ft,,79,66
3,2:44.0,Offensive rebound by K. Lowry,,79,66
3,2:42.0,D. Green misses 3-pt jump shot from 23 ft,,79,66
3,2:38.0,Offensive rebound by P. Siakam,,79,66
3,2:33.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,81,66
3,2:33.0,,Atlanta full timeout,81,66
3,2:33.0,L. Brown enters the game for D. Green,,81,66
3,2:17.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),81,69
3,2:05.0,Def 3 sec tech foul by Team,,81,69
3,2:05.0,K. Lowry makes technical free throw,,82,69
3,1:58.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,84,69
3,1:58.0,Shooting foul by J. Collins (drawn by P. Siakam),,84,69
3,1:58.0,P. Siakam misses free throw 1 of 1,,84,69
3,1:58.0,,Defensive rebound by J. Collins,84,69
3,1:48.0,,T. Young misses 2-pt jump shot from 12 ft,84,69
3,1:46.0,Defensive rebound by S. Ibaka,,84,69
3,1:40.0,Shooting foul by D. Dedmon (drawn by S. Ibaka),,84,69
3,1:40.0,S. Ibaka makes free throw 1 of 2,,85,69
3,1:40.0,G. Monroe enters the game for K. Lowry,,85,69
3,1:40.0,F. VanVleet enters the game for P. Siakam,,85,69
3,1:40.0,,K. Huerter enters the game for J. Anderson,85,69
3,1:40.0,S. Ibaka makes free throw 2 of 2,,86,69
3,1:16.0,,T. Prince misses 3-pt jump shot from 25 ft,86,69
3,1:12.0,Defensive rebound by L. Brown,,86,69
3,1:00.0,Turnover by S. Ibaka (lost ball; steal by D. Dedmon),,86,69
3,0:56.0,,T. Prince misses 3-pt jump shot from 25 ft,86,69
3,0:52.0,Defensive rebound by G. Monroe,,86,69
3,0:44.0,Turnover by D. Wright (lost ball; steal by T. Young),,86,69
3,0:44.0,,Personal foul by D. Wright (drawn by T. Young),86,69
3,0:31.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),86,71
3,0:07.0,Turnover by Team (shot clock),,86,71
3,0:00.0,,Shooting foul by D. Wright (drawn by T. Young),86,71
3,0:00.0,,T. Young makes free throw 1 of 2,86,72
3,0:00.0,,T. Young makes free throw 2 of 2,86,73
4,11:35.0,D. Wright misses 3-pt jump shot from 25 ft,,86,73
4,11:31.0,,Defensive rebound by D. Dedmon,86,73
4,11:25.0,,D. Bembry makes 2-pt layup from 1 ft,86,75
4,11:11.0,D. Wright makes 2-pt layup from 2 ft (assist by F. VanVleet),,88,75
4,11:00.0,,T. Young misses 2-pt layup from 2 ft,88,75
4,10:56.0,Defensive rebound by S. Ibaka,,88,75
4,10:54.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by L. Brown),,90,75
4,10:37.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by D. Bembry),90,78
4,10:18.0,Offensive foul by S. Ibaka (drawn by D. Bembry),,90,78
4,10:18.0,Turnover by S. Ibaka (offensive foul),,90,78
4,10:18.0,D. Green enters the game for L. Brown,,90,78
4,10:00.0,,D. Bembry misses 3-pt jump shot from 25 ft,90,78
4,9:55.0,Defensive rebound by S. Ibaka,,90,78
4,9:38.0,F. VanVleet misses 2-pt layup from 7 ft,,90,78
4,9:37.0,Offensive rebound by G. Monroe,,90,78
4,9:37.0,G. Monroe misses 2-pt layup from 4 ft,,90,78
4,9:37.0,,Defensive rebound by D. Bembry,90,78
4,9:37.0,,Personal foul by G. Monroe (drawn by D. Bembry),90,78
4,9:27.0,,K. Huerter misses 2-pt jump shot from 12 ft,90,78
4,9:25.0,,Offensive rebound by K. Huerter,90,78
4,9:19.0,,D. Dedmon misses 2-pt jump shot from 13 ft,90,78
4,9:19.0,Defensive rebound by Team,,90,78
4,9:19.0,,Loose ball foul by D. Dedmon (drawn by G. Monroe),90,78
4,9:19.0,,J. Lin enters the game for D. Dedmon,90,78
4,9:19.0,,M. Plumlee enters the game for T. Young,90,78
4,9:05.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. Wright),,93,78
4,8:49.0,,Turnover by J. Collins (lost ball; steal by G. Monroe),93,78
4,8:49.0,Personal foul by J. Collins (drawn by D. Wright),,93,78
4,8:49.0,P. Siakam enters the game for G. Monroe,,93,78
4,8:28.0,D. Wright misses 2-pt layup at rim,,93,78
4,8:27.0,Offensive rebound by S. Ibaka,,93,78
4,8:27.0,S. Ibaka makes 2-pt layup from 1 ft,,95,78
4,8:27.0,,Violation by Team (def goaltending),95,78
4,8:17.0,,J. Lin makes 2-pt jump shot from 19 ft (assist by J. Collins),95,80
4,7:58.0,S. Ibaka makes 2-pt hook shot from 7 ft (assist by P. Siakam),,97,80
4,7:45.0,,Turnover by J. Lin (bad pass; steal by P. Siakam),97,80
4,7:34.0,D. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,100,80
4,7:32.0,,Atlanta full timeout,100,80
4,7:32.0,,V. Carter enters the game for K. Huerter,100,80
4,7:32.0,,T. Prince enters the game for M. Plumlee,100,80
4,7:18.0,,V. Carter misses 2-pt jump shot from 11 ft,100,80
4,7:15.0,,Offensive rebound by J. Collins,100,80
4,7:14.0,,J. Collins makes 2-pt layup from 2 ft,100,82
4,6:57.0,P. Siakam makes 2-pt jump shot from 6 ft (assist by F. VanVleet),,102,82
4,6:47.0,,V. Carter misses 3-pt jump shot from 25 ft,102,82
4,6:44.0,Defensive rebound by S. Ibaka,,102,82
4,6:38.0,Offensive foul by S. Ibaka (drawn by T. Prince),,102,82
4,6:38.0,Turnover by S. Ibaka (offensive foul),,102,82
4,6:21.0,,J. Collins makes 2-pt layup from 2 ft,102,84
4,6:00.0,P. Siakam makes 3-pt jump shot from 23 ft,,105,84
4,5:52.0,,J. Lin makes 3-pt jump shot from 25 ft,105,87
4,5:39.0,F. VanVleet misses 2-pt layup from 5 ft,,105,87
4,5:37.0,,Defensive rebound by J. Collins,105,87
