QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
4,1:13.0,Defensive rebound by D. DeRozan,,108,104
4,0:57.0,D. DeRozan misses 3-pt jump shot from 22 ft,,108,104
4,0:53.0,,Defensive rebound by R. Arcidiacono,108,104
4,0:48.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by Z. LaVine),108,107
4,0:28.0,B. Forbes misses 3-pt jump shot from 26 ft,,108,107
4,0:24.0,,Defensive rebound by J. Holiday,108,107
4,0:04.0,,Z. LaVine misses 3-pt jump shot from 25 ft,108,107
4,0:03.0,Defensive rebound by L. Aldridge,,108,107
4,0:03.0,Personal take foul by R. Arcidiacono (drawn by L. Aldridge),,108,107
4,0:03.0,R. Gay enters the game for D. Bertāns,,108,107
4,0:00.0,Turnover by B. Forbes (bad pass; steal by R. Arcidiacono),,108,107
4,0:00.0,,R. Arcidiacono misses 2-pt jump shot from 18 ft,108,107
4,0:00.0,,Offensive rebound by Team,108,107
