QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
3,10:34.0,,Turnover by D. Fox (bad pass; steal by J. Hart),70,61
3,10:31.0,Turnover by K. Kuzma (bad pass; steal by D. Fox),,70,61
3,10:16.0,,Personal foul by B. Ingram (drawn by N. Bjelica),70,61
3,10:08.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,70,61
3,10:06.0,Defensive rebound by L. Ball,,70,61
3,10:02.0,I. Zubac misses 2-pt layup from 3 ft,,70,61
3,9:59.0,,Defensive rebound by B. Hield,70,61
3,9:49.0,,W. Cauley-Stein misses 2-pt hook shot from 5 ft,70,61
3,9:45.0,Defensive rebound by J. Hart,,70,61
3,9:41.0,K. Kuzma misses 3-pt jump shot from 25 ft,,70,61
3,9:37.0,,Defensive rebound by I. Shumpert,70,61
3,9:33.0,,I. Shumpert makes 3-pt jump shot from 25 ft,70,64
3,9:17.0,Turnover by I. Zubac (lost ball; steal by D. Fox),,70,64
3,9:12.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),70,67
3,8:46.0,J. Hart misses 2-pt layup from 2 ft,,70,67
3,8:44.0,,Defensive rebound by B. Hield,70,67
3,8:41.0,,B. Hield misses 3-pt jump shot from 26 ft,70,67
3,8:38.0,Defensive rebound by I. Zubac,,70,67
3,8:35.0,,Violation by Team (kicked ball),70,67
3,8:24.0,I. Zubac misses 2-pt dunk from 2 ft (block by B. Hield),,70,67
3,8:22.0,,Defensive rebound by D. Fox,70,67
3,8:20.0,,N. Bjelica makes 2-pt dunk from 2 ft (assist by D. Fox),70,69
3,8:20.0,LA Lakers full timeout,,70,69
3,8:03.0,L. Ball makes 2-pt jump shot from 5 ft,,72,69
3,7:50.0,,I. Shumpert misses 3-pt jump shot from 25 ft,72,69
3,7:47.0,Defensive rebound by J. Hart,,72,69
3,7:36.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by L. Ball),,75,69
3,7:23.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft (assist by D. Fox),75,71
3,7:17.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),,77,71
3,6:59.0,,Shooting foul by I. Zubac (drawn by N. Bjelica),77,71
3,6:59.0,,N. Bjelica misses free throw 1 of 2,77,71
3,6:59.0,,Offensive rebound by Team,77,71
3,6:59.0,,Y. Ferrell enters the game for D. Fox,77,71
3,6:59.0,,N. Bjelica makes free throw 2 of 2,77,72
3,6:44.0,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,80,72
3,6:30.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,80,72
3,6:27.0,Defensive rebound by K. Kuzma,,80,72
3,6:08.0,B. Ingram misses 2-pt jump shot from 15 ft,,80,72
3,6:06.0,Offensive rebound by I. Zubac,,80,72
3,6:06.0,I. Zubac misses 2-pt layup from 4 ft (block by N. Bjelica),,80,72
3,6:06.0,Offensive rebound by Team,,80,72
3,6:06.0,,B. Bogdanović enters the game for B. Hield,80,72
3,5:54.0,Turnover by K. Kuzma (traveling),,80,72
3,5:37.0,,N. Bjelica misses 3-pt jump shot from 24 ft,80,72
3,5:33.0,Defensive rebound by J. Hart,,80,72
3,5:27.0,B. Ingram misses 3-pt jump shot from 25 ft,,80,72
3,5:25.0,,Defensive rebound by N. Bjelica,80,72
3,5:14.0,,Y. Ferrell makes 2-pt jump shot from 11 ft,80,74
3,4:56.0,J. Hart makes 3-pt jump shot from 22 ft (assist by K. Kuzma),,83,74
3,4:42.0,,Turnover by B. Bogdanović (bad pass; steal by L. Ball),83,74
3,4:42.0,K. Caldwell-Pope enters the game for L. Ball,,83,74
3,4:42.0,T. Chandler enters the game for I. Zubac,,83,74
3,4:42.0,,J. Jackson enters the game for N. Bjelica,83,74
3,4:19.0,B. Ingram misses 2-pt jump shot from 17 ft,,83,74
3,4:14.0,Offensive rebound by T. Chandler,,83,74
3,4:11.0,Shooting foul by I. Shumpert (drawn by K. Kuzma),,83,74
3,4:11.0,K. Kuzma misses free throw 1 of 2,,83,74
3,4:11.0,Offensive rebound by Team,,83,74
3,4:11.0,K. Kuzma makes free throw 2 of 2,,84,74
3,3:57.0,,Y. Ferrell makes 2-pt jump shot from 15 ft,84,76
3,3:39.0,Turnover by T. Chandler (offensive foul),,84,76
3,3:39.0,Offensive foul by T. Chandler (drawn by I. Shumpert),,84,76
3,3:39.0,L. Stephenson enters the game for K. Kuzma,,84,76
3,3:18.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,84,78
3,2:52.0,B. Ingram makes 2-pt jump shot from 13 ft,,86,78
3,2:44.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,86,78
3,2:41.0,Defensive rebound by T. Chandler,,86,78
3,2:30.0,K. Caldwell-Pope makes 2-pt jump shot from 11 ft (assist by L. Stephenson),,88,78
3,2:30.0,Shooting foul by I. Shumpert (drawn by K. Caldwell-Pope),,88,78
3,2:30.0,,Sacramento full timeout,88,78
3,2:30.0,K. Kuzma enters the game for T. Chandler,,88,78
3,2:30.0,,N. Bjelica enters the game for W. Cauley-Stein,88,78
3,2:30.0,,D. Fox enters the game for Y. Ferrell,88,78
3,2:30.0,,B. Hield enters the game for I. Shumpert,88,78
3,2:30.0,K. Caldwell-Pope misses free throw 1 of 1,,88,78
3,2:25.0,,Defensive rebound by D. Fox,88,78
3,2:14.0,,D. Fox misses 2-pt jump shot from 8 ft,88,78
3,2:11.0,Defensive rebound by K. Kuzma,,88,78
3,1:53.0,K. Kuzma makes 2-pt jump shot from 5 ft (assist by J. Hart),,90,78
3,1:35.0,,Turnover by B. Hield (bad pass; steal by J. Hart),90,78
3,1:33.0,J. Hart makes 2-pt layup from 1 ft,,92,78
3,1:15.0,,Personal foul by L. Stephenson (drawn by N. Bjelica),92,78
3,1:09.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),92,80
3,0:58.0,J. Hart misses 3-pt jump shot from 25 ft,,92,80
3,0:54.0,,Defensive rebound by J. Jackson,92,80
3,0:49.0,,Personal foul by J. Hart (drawn by B. Bogdanović),92,80
3,0:49.0,,N. Bjelica makes free throw 1 of 2,92,81
3,0:49.0,A. Caruso enters the game for J. Hart,,92,81
3,0:49.0,,N. Bjelica makes free throw 2 of 2,92,82
3,0:28.0,L. Stephenson misses 3-pt jump shot from 25 ft,,92,82
3,0:24.0,Offensive rebound by A. Caruso,,92,82
3,0:22.0,L. Stephenson makes 2-pt layup from 1 ft (assist by K. Kuzma),,94,82
3,0:22.0,Shooting foul by B. Hield (drawn by L. Stephenson),,94,82
3,0:22.0,,I. Shumpert enters the game for B. Bogdanović,94,82
3,0:22.0,L. Stephenson makes free throw 1 of 1,,95,82
3,0:00.0,,D. Fox makes 2-pt jump shot from 12 ft,95,84
4,11:53.0,,Personal foul by A. Caruso (drawn by N. Bjelica),95,84
4,11:43.0,,N. Bjelica misses 2-pt jump shot from 5 ft,95,84
4,11:40.0,Defensive rebound by K. Kuzma,,95,84
4,11:28.0,L. Stephenson makes 2-pt jump shot from 17 ft,,97,84
4,11:11.0,,D. Fox misses 3-pt jump shot from 25 ft,97,84
4,11:11.0,,Offensive rebound by N. Bjelica,97,84
4,11:06.0,,N. Bjelica makes 2-pt layup from 2 ft,97,86
4,10:41.0,Turnover by Team (shot clock),,97,86
4,10:28.0,,Turnover by J. Jackson (bad pass),97,86
4,10:12.0,Turnover by K. Kuzma (bad pass; steal by I. Shumpert),,97,86
4,10:01.0,,I. Shumpert misses 3-pt jump shot from 26 ft,97,86
4,9:57.0,Defensive rebound by L. Ball,,97,86
4,9:50.0,L. Stephenson misses 3-pt jump shot from 25 ft,,97,86
4,9:46.0,,Defensive rebound by N. Bjelica,97,86
4,9:36.0,,B. Hield misses 3-pt jump shot from 25 ft,97,86
4,9:32.0,Defensive rebound by L. Stephenson,,97,86
4,9:22.0,K. Kuzma misses 2-pt jump shot from 6 ft,,97,86
4,9:17.0,,Defensive rebound by N. Bjelica,97,86
4,9:10.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by I. Shumpert),97,89
4,9:09.0,LA Lakers full timeout,,97,89
4,9:09.0,J. Hart enters the game for A. Caruso,,97,89
4,9:09.0,B. Ingram enters the game for K. Kuzma,,97,89
4,8:52.0,Turnover by B. Ingram (out of bounds lost ball),,97,89
4,8:37.0,,Turnover by D. Fox (bad pass; steal by J. Hart),97,89
4,8:30.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,97,89
4,8:27.0,Offensive rebound by K. Caldwell-Pope,,97,89
4,8:26.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,99,89
4,8:23.0,,Turnover by B. Hield (out of bounds lost ball),99,89
4,8:19.0,J. Hart makes 2-pt layup from 2 ft (assist by L. Ball),,101,89
4,8:19.0,,Sacramento full timeout,101,89
4,8:19.0,T. Chandler enters the game for L. Stephenson,,101,89
4,8:19.0,,B. Bogdanović enters the game for N. Bjelica,101,89
4,8:19.0,,W. Cauley-Stein enters the game for B. Hield,101,89
4,8:02.0,,J. Jackson misses 3-pt jump shot from 23 ft,101,89
4,8:00.0,Defensive rebound by J. Hart,,101,89
4,7:39.0,B. Ingram misses 2-pt jump shot from 17 ft (block by B. Bogdanović),,101,89
4,7:35.0,,Defensive rebound by W. Cauley-Stein,101,89
4,7:29.0,,J. Jackson misses 3-pt jump shot from 24 ft,101,89
4,7:25.0,Defensive rebound by T. Chandler,,101,89
4,7:11.0,Shooting foul by J. Jackson (drawn by T. Chandler),,101,89
4,7:11.0,T. Chandler misses free throw 1 of 2,,101,89
4,7:11.0,Offensive rebound by Team,,101,89
