QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
1,0:07.0,,Defensive rebound by E. Freedom,31,28
1,0:01.0,,R. Hood misses 3-pt jump shot from 26 ft,31,28
1,0:01.0,,Offensive rebound by Team,31,28
2,11:49.0,D. Sabonis makes 2-pt jump shot from 14 ft (assist by T. Evans),,33,28
2,11:26.0,,Personal foul by C. Joseph (drawn by Z. Collins),33,28
2,11:17.0,,E. Turner misses 2-pt jump shot from 12 ft,33,28
2,11:13.0,Defensive rebound by T. Young,,33,28
2,10:52.0,T. Young misses 2-pt jump shot from 16 ft,,33,28
2,10:48.0,,Defensive rebound by E. Freedom,33,28
2,10:43.0,,R. Hood misses 3-pt jump shot from 24 ft,33,28
2,10:41.0,,Offensive rebound by Team,33,28
2,10:33.0,,Z. Collins misses 3-pt jump shot from 25 ft,33,28
2,10:30.0,Defensive rebound by D. Sabonis,,33,28
2,10:17.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by T. Young),,36,28
2,9:50.0,,E. Freedom makes 2-pt hook shot from 2 ft (assist by Z. Collins),36,30
2,9:42.0,Personal foul by R. Hood (drawn by C. Joseph),,36,30
2,9:36.0,D. McDermott makes 2-pt jump shot from 9 ft (assist by T. Young),,38,30
2,9:22.0,,S. Curry misses 3-pt jump shot from 26 ft,38,30
2,9:19.0,Defensive rebound by C. Joseph,,38,30
2,9:13.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by T. Evans),,41,30
2,9:12.0,,Portland full timeout,41,30
2,8:47.0,,Turnover by Team (shot clock),41,30
2,8:36.0,T. Young misses 2-pt layup from 4 ft,,41,30
2,8:34.0,,Defensive rebound by S. Curry,41,30
2,8:34.0,,Personal foul by T. Young (drawn by S. Curry),41,30
2,8:24.0,,Shooting foul by C. Joseph (drawn by S. Curry),41,30
2,8:24.0,,S. Curry makes free throw 1 of 2,41,31
2,8:24.0,,S. Curry makes free throw 2 of 2,41,32
2,8:12.0,Personal foul by S. Curry (drawn by C. Joseph),,41,32
2,8:12.0,,D. Lillard enters the game for S. Curry,41,32
2,8:06.0,D. Sabonis misses 2-pt jump shot from 19 ft,,41,32
2,8:03.0,,Defensive rebound by E. Turner,41,32
2,7:53.0,,D. Lillard makes 2-pt jump shot from 22 ft (assist by R. Hood),41,34
2,7:46.0,T. Young misses 2-pt hook shot from 5 ft,,41,34
2,7:45.0,,Defensive rebound by Team,41,34
2,7:32.0,,Shooting foul by D. Sabonis (drawn by D. Lillard),41,34
2,7:32.0,,D. Lillard makes free throw 1 of 2,41,35
2,7:32.0,,D. Lillard makes free throw 2 of 2,41,36
2,7:17.0,T. Evans misses 3-pt jump shot from 27 ft,,41,36
2,7:14.0,Offensive rebound by D. Sabonis,,41,36
2,7:11.0,Turnover by D. Sabonis (bad pass; steal by R. Hood),,41,36
2,7:07.0,,Turnover by R. Hood (lost ball; steal by C. Joseph),41,36
2,7:03.0,Turnover by D. McDermott (bad pass; steal by D. Lillard),,41,36
2,6:53.0,,Turnover by E. Freedom (bad pass; steal by C. Joseph),41,36
2,6:48.0,T. Evans misses 2-pt layup from 2 ft (block by Z. Collins),,41,36
2,6:40.0,,Defensive rebound by E. Freedom,41,36
2,6:40.0,,R. Hood makes 2-pt layup from 1 ft (assist by D. Lillard),41,38
2,6:38.0,Indiana full timeout,,41,38
2,6:38.0,B. Bogdanović enters the game for T. Evans,,41,38
2,6:38.0,W. Matthews enters the game for D. McDermott,,41,38
2,6:38.0,M. Turner enters the game for T. Young,,41,38
2,6:38.0,,J. Nurkić enters the game for E. Freedom,41,38
2,6:28.0,Turnover by D. Sabonis (lost ball; steal by D. Lillard),,41,38
2,6:11.0,,D. Lillard misses 3-pt jump shot from 26 ft,41,38
2,6:08.0,Defensive rebound by D. Sabonis,,41,38
2,5:54.0,M. Turner makes 2-pt jump shot from 22 ft (assist by B. Bogdanović),,43,38
2,5:33.0,,R. Hood misses 2-pt jump shot from 10 ft,43,38
2,5:30.0,,Offensive rebound by J. Nurkić,43,38
2,5:24.0,,Z. Collins misses 2-pt layup from 2 ft,43,38
2,5:14.0,,Offensive rebound by J. Nurkić,43,38
2,5:14.0,,J. Nurkić makes 2-pt dunk from 1 ft,43,40
2,5:11.0,M. Turner misses 2-pt layup from 4 ft,,43,40
2,5:08.0,,Defensive rebound by D. Lillard,43,40
2,4:55.0,,Personal foul by M. Turner (drawn by D. Lillard),43,40
2,4:55.0,,D. Lillard makes free throw 1 of 2,43,41
2,4:55.0,D. Collison enters the game for C. Joseph,,43,41
2,4:55.0,,M. Harkless enters the game for R. Hood,43,41
2,4:55.0,,D. Lillard makes free throw 2 of 2,43,42
2,4:45.0,Personal foul by E. Turner (drawn by M. Turner),,43,42
2,4:32.0,W. Matthews misses 2-pt jump shot from 11 ft,,43,42
2,4:29.0,,Defensive rebound by Team,43,42
2,4:17.0,,J. Nurkić misses 2-pt hook shot from 5 ft,43,42
2,4:16.0,,Offensive rebound by M. Harkless,43,42
2,4:16.0,,M. Harkless misses 2-pt layup from 1 ft,43,42
2,4:15.0,,Offensive rebound by J. Nurkić,43,42
2,4:14.0,,J. Nurkić misses 2-pt jump shot from 1 ft (block by D. Sabonis),43,42
2,4:14.0,,Offensive rebound by J. Nurkić,43,42
2,4:09.0,,J. Nurkić makes 2-pt layup from 1 ft,43,44
2,3:54.0,W. Matthews misses 3-pt jump shot from 26 ft,,43,44
2,3:51.0,,Defensive rebound by E. Turner,43,44
2,3:39.0,,Z. Collins makes 2-pt dunk at rim (assist by D. Lillard),43,46
2,3:22.0,Shooting foul by J. Nurkić (drawn by M. Turner),,43,46
2,3:22.0,M. Turner misses free throw 1 of 2,,43,46
2,3:22.0,Offensive rebound by Team,,43,46
2,3:22.0,T. Young enters the game for D. Sabonis,,43,46
2,3:22.0,,R. Hood enters the game for E. Turner,43,46
2,3:22.0,M. Turner makes free throw 2 of 2,,44,46
2,3:06.0,,J. Nurkić misses 2-pt jump shot from 12 ft,44,46
2,3:04.0,Defensive rebound by T. Young,,44,46
2,2:55.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,44,46
2,2:52.0,Offensive rebound by M. Turner,,44,46
2,2:48.0,M. Turner misses 3-pt jump shot from 26 ft,,44,46
2,2:45.0,,Defensive rebound by Z. Collins,44,46
2,2:35.0,,Turnover by J. Nurkić (bad pass; steal by B. Bogdanović),44,46
2,2:33.0,Shooting foul by J. Nurkić (drawn by M. Turner),,44,46
2,2:33.0,M. Turner makes free throw 1 of 2,,45,46
2,2:33.0,,E. Freedom enters the game for J. Nurkić,45,46
2,2:33.0,M. Turner makes free throw 2 of 2,,46,46
2,2:14.0,,Turnover by D. Lillard (bad pass; steal by T. Young),46,46
2,2:10.0,D. Collison makes 2-pt layup from 2 ft (assist by T. Young),,48,46
2,1:48.0,,D. Lillard makes 3-pt jump shot from 26 ft,48,49
2,1:29.0,B. Bogdanović misses 2-pt layup from 5 ft (block by M. Harkless),,48,49
2,1:29.0,,Defensive rebound by M. Harkless,48,49
2,1:10.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by D. Lillard),48,52
2,0:54.0,D. Collison misses 2-pt jump shot from 19 ft,,48,52
2,0:51.0,,Defensive rebound by Z. Collins,48,52
2,0:33.0,,D. Lillard makes 3-pt jump shot from 31 ft,48,55
2,0:28.0,Turnover by D. Collison (lost ball; steal by M. Harkless),,48,55
2,0:08.0,,E. Freedom misses 2-pt layup from 1 ft,48,55
2,0:06.0,Defensive rebound by T. Young,,48,55
2,0:04.0,D. Collison misses 3-pt jump shot from 27 ft,,48,55
2,0:04.0,,Defensive rebound by M. Harkless,48,55
2,0:00.0,,M. Harkless misses 3-pt jump shot from 48 ft,48,55
2,0:00.0,,Offensive rebound by Team,48,55
3,11:49.0,B. Bogdanović misses 2-pt layup from 3 ft (block by R. Hood),,48,55
3,11:45.0,,Defensive rebound by Team,48,55
3,11:31.0,,R. Hood misses 2-pt jump shot from 20 ft,48,55
3,11:27.0,Defensive rebound by M. Turner,,48,55
3,11:16.0,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),,51,55
3,11:00.0,,M. Harkless makes 2-pt jump shot from 2 ft,51,57
3,11:00.0,,Shooting foul by M. Turner (drawn by M. Harkless),51,57
3,11:00.0,,M. Harkless makes free throw 1 of 1,51,58
3,10:39.0,Shooting foul by D. Lillard (drawn by W. Matthews),,51,58
3,10:39.0,W. Matthews makes free throw 1 of 2,,52,58
3,10:39.0,W. Matthews makes free throw 2 of 2,,53,58
3,10:25.0,,Turnover by D. Lillard (bad pass; steal by M. Turner),53,58
3,10:22.0,D. Collison misses 2-pt layup from 1 ft,,53,58
3,10:19.0,,Defensive rebound by J. Nurkić,53,58
3,10:14.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),53,61
3,9:55.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,55,61
3,9:41.0,,A. Aminu makes 2-pt jump shot from 3 ft,55,63
3,9:23.0,T. Young makes 2-pt layup from 1 ft,,57,63
3,9:15.0,,Personal foul by D. Collison (drawn by D. Lillard),57,63
3,9:08.0,,D. Lillard misses 3-pt jump shot from 27 ft,57,63
3,9:03.0,Defensive rebound by T. Young,,57,63
3,9:01.0,Offensive foul by D. Collison (drawn by D. Lillard),,57,63
3,9:01.0,Turnover by D. Collison (offensive foul),,57,63
3,8:40.0,,M. Harkless makes 3-pt jump shot from 26 ft (assist by R. Hood),57,66
3,8:19.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,57,66
3,8:16.0,,Defensive rebound by M. Harkless,57,66
3,8:10.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by M. Harkless),57,69
3,8:09.0,Indiana full timeout,,57,69
3,7:58.0,Turnover by T. Young (bad pass; steal by D. Lillard),,57,69
3,7:44.0,,A. Aminu misses 2-pt hook shot from 3 ft,57,69
3,7:42.0,Defensive rebound by D. Collison,,57,69
3,7:39.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Collison),,60,69
3,7:21.0,,Shooting foul by B. Bogdanović (drawn by M. Harkless),60,69
3,7:21.0,,M. Harkless makes free throw 1 of 2,60,70
3,7:21.0,,M. Harkless makes free throw 2 of 2,60,71
3,7:08.0,M. Turner misses 2-pt jump shot from 19 ft,,60,71
3,7:05.0,,Defensive rebound by M. Harkless,60,71
3,6:56.0,,A. Aminu makes 3-pt jump shot from 27 ft (assist by D. Lillard),60,74
3,6:34.0,Turnover by M. Turner (bad pass),,60,74
3,6:22.0,,D. Lillard makes 3-pt jump shot from 29 ft,60,77
3,6:08.0,B. Bogdanović makes 2-pt layup from 1 ft,,62,77
3,6:08.0,,Violation by Team (def goaltending),62,77
3,5:56.0,,D. Lillard misses 3-pt jump shot from 31 ft,62,77
3,5:56.0,Defensive rebound by W. Matthews,,62,77
3,5:47.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by W. Matthews),,64,77
3,5:47.0,Shooting foul by M. Harkless (drawn by B. Bogdanović),,64,77
3,5:47.0,,J. Layman enters the game for R. Hood,64,77
3,5:47.0,B. Bogdanović makes free throw 1 of 1,,65,77
3,5:26.0,,J. Layman misses 2-pt jump shot from 13 ft (block by W. Matthews),65,77
3,5:20.0,Defensive rebound by M. Turner,,65,77
3,5:13.0,T. Young misses 3-pt jump shot from 23 ft,,65,77
3,5:11.0,,Defensive rebound by J. Layman,65,77
3,4:57.0,,Turnover by A. Aminu (bad pass; steal by D. Collison),65,77
3,4:52.0,Turnover by B. Bogdanović (out of bounds lost ball),,65,77
3,4:52.0,D. Sabonis enters the game for T. Young,,65,77
3,4:39.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),65,80
3,4:17.0,Personal foul by A. Aminu (drawn by D. Sabonis),,65,80
3,4:17.0,C. Joseph enters the game for B. Bogdanović,,65,80
3,4:17.0,,S. Curry enters the game for M. Harkless,65,80
3,4:07.0,M. Turner makes 2-pt jump shot from 19 ft (assist by C. Joseph),,67,80
3,3:48.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),67,82
3,3:33.0,Turnover by D. Sabonis (3 sec),,67,82
3,3:20.0,,S. Curry misses 2-pt jump shot from 20 ft,67,82
3,3:17.0,,Offensive rebound by A. Aminu,67,82
3,3:17.0,,A. Aminu misses 2-pt jump shot from 6 ft,67,82
3,3:16.0,Defensive rebound by Team,,67,82
3,3:03.0,D. Collison makes 3-pt jump shot from 25 ft (assist by C. Joseph),,70,82
3,2:46.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),70,85
3,2:24.0,M. Turner makes 2-pt layup at rim (assist by D. Sabonis),,72,85
3,2:23.0,,Portland full timeout,72,85
3,2:23.0,D. McDermott enters the game for D. Collison,,72,85
3,2:23.0,T. Young enters the game for M. Turner,,72,85
3,2:04.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Lillard),72,88
3,1:53.0,Personal foul by D. Lillard (drawn by W. Matthews),,72,88
3,1:53.0,T. Evans enters the game for W. Matthews,,72,88
3,1:41.0,Turnover by T. Young (bad pass),,72,88
3,1:21.0,,J. Layman misses 3-pt jump shot from 24 ft,72,88
3,1:18.0,Defensive rebound by T. Young,,72,88
3,0:59.0,D. Sabonis misses 2-pt hook shot from 4 ft,,72,88
3,0:57.0,,Defensive rebound by J. Layman,72,88
3,0:50.0,,J. Nurkić misses 2-pt layup from 2 ft (block by T. Young),72,88
3,0:50.0,,Offensive rebound by Team,72,88
3,0:44.0,,Turnover by A. Aminu (bad pass; steal by T. Evans),72,88
3,0:41.0,Turnover by T. Evans (bad pass; steal by S. Curry),,72,88
3,0:30.0,,D. Lillard misses 3-pt jump shot from 34 ft,72,88
3,0:27.0,Defensive rebound by D. Sabonis,,72,88
3,0:05.0,Turnover by Team (shot clock),,72,88
3,0:05.0,,R. Hood enters the game for J. Nurkić,72,88
3,0:02.0,,Personal take foul by T. Evans (drawn by S. Curry),72,88
3,0:02.0,,E. Turner enters the game for J. Layman,72,88
3,0:00.0,,D. Lillard misses 3-pt jump shot from 35 ft,72,88
3,0:00.0,,Offensive rebound by Team,72,88
4,11:44.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by E. Turner),72,91
4,11:18.0,D. Sabonis misses 2-pt jump shot from 13 ft,,72,91
4,11:16.0,,Defensive rebound by E. Turner,72,91
4,11:03.0,,R. Hood makes 2-pt jump shot from 16 ft (assist by S. Curry),72,93
4,10:48.0,Personal foul by R. Hood (drawn by T. Evans),,72,93
4,10:32.0,C. Joseph misses 2-pt jump shot from 7 ft,,72,93
4,10:26.0,Offensive rebound by T. Young,,72,93
4,10:26.0,T. Young misses 2-pt layup from 1 ft,,72,93
4,10:26.0,,Defensive rebound by R. Hood,72,93
4,10:14.0,,Turnover by E. Turner (bad pass; steal by C. Joseph),72,93
4,10:10.0,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),,74,93
4,9:45.0,,S. Curry misses 2-pt layup from 2 ft,74,93
4,9:43.0,Defensive rebound by D. Sabonis,,74,93
4,9:35.0,D. McDermott misses 3-pt jump shot from 23 ft,,74,93
4,9:32.0,Offensive rebound by C. Joseph,,74,93
4,9:23.0,D. McDermott misses 2-pt layup from 1 ft,,74,93
4,9:22.0,Offensive rebound by Team,,74,93
4,9:20.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by T. Evans),,77,93
4,8:55.0,,Z. Collins misses 2-pt hook shot from 10 ft,77,93
4,8:51.0,Defensive rebound by D. Sabonis,,77,93
4,8:47.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,80,93
4,8:47.0,,Portland full timeout,80,93
4,8:31.0,,E. Freedom misses 3-pt jump shot from 26 ft,80,93
4,8:27.0,Defensive rebound by T. Young,,80,93
4,8:12.0,D. McDermott misses 2-pt layup from 1 ft (block by E. Turner),,80,93
4,8:09.0,,Defensive rebound by E. Turner,80,93
4,7:58.0,,Personal foul by D. Sabonis (drawn by E. Freedom),80,93
4,7:58.0,,D. Lillard enters the game for R. Hood,80,93
4,7:50.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Lillard),80,96
4,7:36.0,T. Evans makes 2-pt jump shot from 20 ft,,82,96
4,7:23.0,,Personal foul by T. Evans (drawn by S. Curry),82,96
4,7:14.0,,D. Lillard misses 2-pt layup from 2 ft,82,96
4,7:12.0,Defensive rebound by C. Joseph,,82,96
4,7:04.0,Shooting foul by Z. Collins (drawn by D. Sabonis),,82,96
4,7:04.0,D. Sabonis misses free throw 1 of 2,,82,96
4,7:04.0,Offensive rebound by Team,,82,96
4,7:04.0,,A. Aminu enters the game for Z. Collins,82,96
4,7:04.0,,J. Nurkić enters the game for E. Freedom,82,96
4,7:04.0,D. Sabonis makes free throw 2 of 2,,83,96
4,6:41.0,,D. Lillard makes 2-pt layup from 2 ft,83,98
4,6:26.0,T. Evans makes 2-pt jump shot from 19 ft,,85,98
4,6:00.0,,A. Aminu misses 3-pt jump shot from 25 ft,85,98
4,5:57.0,Defensive rebound by T. Young,,85,98
4,5:55.0,T. Evans makes 2-pt layup from 1 ft,,87,98
4,5:55.0,Shooting foul by E. Turner (drawn by T. Evans),,87,98
4,5:55.0,M. Turner enters the game for T. Young,,87,98
4,5:55.0,,M. Harkless enters the game for E. Turner,87,98
4,5:55.0,T. Evans makes free throw 1 of 1,,88,98
4,5:31.0,,J. Nurkić makes 2-pt jump shot from 6 ft (assist by M. Harkless),88,100
4,5:30.0,Indiana full timeout,,88,100
4,5:11.0,M. Turner misses 2-pt hook shot from 8 ft,,88,100
4,5:09.0,,Defensive rebound by J. Nurkić,88,100
4,4:59.0,,M. Harkless misses 2-pt jump shot from 13 ft,88,100
4,4:56.0,Defensive rebound by C. Joseph,,88,100
4,4:44.0,T. Evans misses 2-pt jump shot from 17 ft (block by S. Curry),,88,100
4,4:44.0,Offensive rebound by Team,,88,100
4,4:44.0,B. Bogdanović enters the game for D. McDermott,,88,100
4,4:34.0,Shooting foul by A. Aminu (drawn by M. Turner),,88,100
4,4:34.0,M. Turner makes free throw 1 of 2,,89,100
4,4:34.0,M. Turner misses free throw 2 of 2,,89,100
4,4:31.0,,Defensive rebound by A. Aminu,89,100
4,4:26.0,,Offensive foul by D. Lillard (drawn by C. Joseph),89,100
4,4:26.0,,Turnover by D. Lillard (offensive foul),89,100
4,4:15.0,Turnover by D. Sabonis (lost ball; steal by A. Aminu),,89,100
4,4:02.0,,Turnover by J. Nurkić (bad pass; steal by B. Bogdanović),89,100
4,3:41.0,M. Turner misses 3-pt jump shot from 26 ft,,89,100
4,3:39.0,,Defensive rebound by Team,89,100
4,3:39.0,Loose ball foul by D. Sabonis (drawn by M. Harkless),,89,100
4,3:39.0,,Portland full timeout,89,100
4,3:39.0,D. Collison enters the game for T. Evans,,89,100
4,3:39.0,W. Matthews enters the game for C. Joseph,,89,100
4,3:39.0,T. Young enters the game for D. Sabonis,,89,100
4,3:23.0,,S. Curry misses 3-pt jump shot from 23 ft,89,100
4,3:22.0,,Offensive rebound by J. Nurkić,89,100
4,3:12.0,,J. Nurkić misses 2-pt jump shot from 8 ft,89,100
4,3:10.0,Defensive rebound by Team,,89,100
4,2:57.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Matthews),,91,100
4,2:41.0,,J. Nurkić misses 2-pt hook shot from 9 ft,91,100
4,2:36.0,Defensive rebound by M. Turner,,91,100
4,2:26.0,T. Young misses 3-pt jump shot from 23 ft,,91,100
4,2:24.0,,Defensive rebound by J. Nurkić,91,100
4,2:06.0,,Turnover by D. Lillard (bad pass),91,100
4,1:56.0,W. Matthews misses 3-pt jump shot from 26 ft,,91,100
4,1:55.0,,Defensive rebound by J. Nurkić,91,100
4,1:55.0,,Personal foul by T. Young (drawn by J. Nurkić),91,100
4,1:35.0,,Turnover by D. Lillard (lost ball; steal by B. Bogdanović),91,100
4,1:30.0,Shooting foul by J. Nurkić (drawn by M. Turner),,91,100
4,1:30.0,M. Turner makes free throw 1 of 2,,92,100
4,1:30.0,M. Turner makes free throw 2 of 2,,93,100
4,1:08.0,,Shooting foul by M. Turner (drawn by D. Lillard),93,100
4,1:08.0,,D. Lillard misses free throw 1 of 3,93,100
4,1:08.0,,Offensive rebound by Team,93,100
4,1:08.0,,D. Lillard makes free throw 2 of 3,93,101
4,1:08.0,,D. Lillard makes free throw 3 of 3,93,102
4,1:00.0,Shooting foul by J. Nurkić (drawn by B. Bogdanović),,93,102
4,1:00.0,B. Bogdanović makes free throw 1 of 2,,94,102
4,1:00.0,B. Bogdanović makes free throw 2 of 2,,95,102
4,0:54.0,,Offensive foul by J. Nurkić (drawn by W. Matthews),95,102
