QUARTER,TIME_REMAINING,TORONTO_ACTION,MIAMI_ACTION,TORONTO_SCORE,MIAMI_SCORE
1,7:31.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by R. McGruder),8,14
1,7:16.0,S. Ibaka misses 2-pt jump shot from 22 ft,,8,14
1,7:13.0,,Defensive rebound by J. Johnson,8,14
1,7:07.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by J. Johnson),8,17
1,6:51.0,K. Leonard misses 2-pt jump shot from 13 ft,,8,17
1,6:47.0,,Defensive rebound by J. Johnson,8,17
1,6:34.0,,H. Whiteside makes 2-pt jump shot from 18 ft (assist by J. Winslow),8,19
1,6:09.0,K. Leonard misses 3-pt jump shot from 27 ft,,8,19
1,6:08.0,Offensive rebound by Team,,8,19
1,6:08.0,O. Anunoby enters the game for P. Siakam,,8,19
1,5:54.0,K. Leonard makes 2-pt hook shot from 7 ft,,10,19
1,5:32.0,,J. Johnson misses 2-pt jump shot from 10 ft,10,19
1,5:28.0,Defensive rebound by O. Anunoby,,10,19
1,5:25.0,F. VanVleet misses 3-pt jump shot from 27 ft,,10,19
1,5:21.0,,Defensive rebound by H. Whiteside,10,19
1,5:15.0,,H. Whiteside makes 2-pt dunk from 3 ft,10,21
1,5:10.0,Turnover by K. Leonard (bad pass; steal by J. Winslow),,10,21
1,5:03.0,,J. Johnson makes 2-pt layup from 4 ft (assist by J. Winslow),10,23
1,5:03.0,Toronto full timeout,,10,23
1,5:03.0,G. Monroe enters the game for D. Green,,10,23
1,5:03.0,N. Powell enters the game for S. Ibaka,,10,23
1,5:03.0,,D. Wade enters the game for R. McGruder,10,23
1,4:50.0,O. Anunoby makes 3-pt jump shot from 26 ft (assist by K. Leonard),,13,23
1,4:34.0,,J. Richardson misses 2-pt jump shot from 20 ft,13,23
1,4:29.0,Defensive rebound by K. Leonard,,13,23
1,4:27.0,Shooting foul by J. Richardson (drawn by K. Leonard),,13,23
1,4:27.0,K. Leonard misses free throw 1 of 2,,13,23
1,4:27.0,Offensive rebound by Team,,13,23
1,4:27.0,,T. Johnson enters the game for J. Richardson,13,23
1,4:27.0,K. Leonard makes free throw 2 of 2,,14,23
1,4:11.0,,T. Johnson makes 2-pt jump shot from 5 ft (assist by H. Whiteside),14,25
1,3:58.0,G. Monroe makes 2-pt layup from 4 ft (assist by N. Powell),,16,25
1,3:45.0,,Turnover by D. Wade (step out of bounds),16,25
1,3:45.0,,B. Adebayo enters the game for J. Johnson,16,25
1,3:45.0,,K. Olynyk enters the game for H. Whiteside,16,25
1,3:25.0,N. Powell misses 3-pt jump shot from 26 ft,,16,25
1,3:23.0,,Defensive rebound by Team,16,25
1,3:23.0,Loose ball foul by G. Monroe (drawn by B. Adebayo),,16,25
1,3:11.0,,B. Adebayo misses 2-pt jump shot from 9 ft,16,25
1,3:09.0,Defensive rebound by O. Anunoby,,16,25
1,3:05.0,Turnover by F. VanVleet (lost ball; steal by D. Wade),,16,25
1,3:00.0,,K. Olynyk makes 2-pt layup from 3 ft (assist by D. Wade),16,27
1,2:39.0,F. VanVleet makes 2-pt jump shot from 17 ft,,18,27
1,2:20.0,,J. Winslow misses 2-pt jump shot from 13 ft,18,27
1,2:16.0,Defensive rebound by O. Anunoby,,18,27
1,2:09.0,G. Monroe makes 2-pt layup from 4 ft (assist by O. Anunoby),,20,27
1,2:01.0,,Miami full timeout,20,27
1,2:01.0,D. Green enters the game for K. Leonard,,20,27
1,2:01.0,D. Wright enters the game for F. VanVleet,,20,27
1,2:01.0,,D. Jones enters the game for J. Winslow,20,27
1,1:49.0,,Turnover by D. Jones (bad pass; steal by D. Wright),20,27
1,1:45.0,Turnover by O. Anunoby (lost ball; steal by T. Johnson),,20,27
1,1:40.0,,D. Jones makes 2-pt dunk from 3 ft (assist by K. Olynyk),20,29
1,1:19.0,O. Anunoby misses 3-pt jump shot from 27 ft,,20,29
1,1:15.0,,Defensive rebound by B. Adebayo,20,29
1,1:08.0,,B. Adebayo makes 2-pt dunk from 4 ft (assist by T. Johnson),20,31
1,0:57.0,D. Wright misses 2-pt layup from 4 ft,,20,31
1,0:54.0,Offensive rebound by G. Monroe,,20,31
1,0:54.0,G. Monroe makes 2-pt hook shot from 9 ft,,22,31
1,0:54.0,Shooting foul by D. Jones (drawn by G. Monroe),,22,31
1,0:54.0,G. Monroe makes free throw 1 of 1,,23,31
1,0:37.0,,D. Wade misses 2-pt jump shot from 16 ft,23,31
1,0:32.0,Defensive rebound by D. Wright,,23,31
1,0:24.0,G. Monroe misses 2-pt hook shot from 14 ft,,23,31
1,0:20.0,,Defensive rebound by T. Johnson,23,31
1,0:08.0,,Personal foul by D. Green (drawn by D. Wade),23,31
1,0:08.0,P. Siakam enters the game for G. Monroe,,23,31
1,0:01.0,,T. Johnson misses 3-pt jump shot from 26 ft,23,31
1,0:01.0,,Offensive rebound by Team,23,31
2,11:38.0,N. Powell misses 3-pt jump shot from 23 ft,,23,31
2,11:33.0,Offensive rebound by O. Anunoby,,23,31
2,11:33.0,O. Anunoby misses 2-pt dunk from 1 ft,,23,31
2,11:32.0,,Defensive rebound by B. Adebayo,23,31
2,11:23.0,,Turnover by D. Jones (bad pass; steal by D. Wright),23,31
2,11:17.0,Turnover by P. Siakam (out of bounds lost ball),,23,31
2,11:04.0,,K. Olynyk misses 3-pt jump shot from 26 ft,23,31
2,11:01.0,Defensive rebound by D. Green,,23,31
2,10:56.0,Turnover by D. Green (bad pass; steal by K. Olynyk),,23,31
2,10:44.0,,Shooting foul by N. Powell (drawn by D. Wade),23,31
2,10:44.0,,D. Wade makes free throw 1 of 2,23,32
2,10:44.0,,D. Wade misses free throw 2 of 2,23,32
2,10:42.0,Defensive rebound by D. Wright,,23,32
2,10:26.0,O. Anunoby makes 2-pt layup from 4 ft,,25,32
2,10:06.0,,T. Johnson misses 3-pt jump shot from 26 ft,25,32
2,10:02.0,Defensive rebound by N. Powell,,25,32
2,9:59.0,D. Green makes 3-pt jump shot from 27 ft (assist by N. Powell),,28,32
2,9:34.0,,Turnover by T. Johnson (bad pass; steal by D. Green),28,32
2,9:28.0,O. Anunoby misses 3-pt jump shot from 23 ft,,28,32
2,9:26.0,,Defensive rebound by B. Adebayo,28,32
2,9:20.0,,Personal foul by N. Powell (drawn by K. Olynyk),28,32
2,9:20.0,S. Ibaka enters the game for N. Powell,,28,32
2,9:10.0,,D. Wade makes 2-pt hook shot from 6 ft,28,34
2,8:52.0,D. Green misses 3-pt jump shot from 23 ft,,28,34
2,8:50.0,Offensive rebound by Team,,28,34
2,8:46.0,D. Green makes 3-pt jump shot from 23 ft (assist by D. Wright),,31,34
2,8:35.0,,D. Wade misses 2-pt layup from 3 ft,31,34
2,8:34.0,Defensive rebound by Team,,31,34
2,8:34.0,,Loose ball foul by B. Adebayo (drawn by S. Ibaka),31,34
2,8:21.0,D. Wright makes 2-pt jump shot from 9 ft,,33,34
2,8:14.0,,Miami full timeout,33,34
2,8:14.0,,J. Richardson enters the game for B. Adebayo,33,34
2,8:14.0,,H. Whiteside enters the game for D. Wade,33,34
2,7:59.0,,Personal foul by S. Ibaka (drawn by H. Whiteside),33,34
2,7:51.0,,D. Jones makes 2-pt layup from 3 ft (assist by T. Johnson),33,36
2,7:51.0,,Shooting foul by O. Anunoby (drawn by D. Jones),33,36
2,7:51.0,,D. Jones makes free throw 1 of 1,33,37
2,7:38.0,Turnover by D. Green (out of bounds lost ball),,33,37
2,7:26.0,,Turnover by D. Jones (traveling),33,37
2,7:26.0,K. Leonard enters the game for O. Anunoby,,33,37
2,7:08.0,P. Siakam misses 2-pt layup from 7 ft (block by H. Whiteside),,33,37
2,7:05.0,,Defensive rebound by T. Johnson,33,37
2,7:02.0,,J. Richardson makes 3-pt jump shot from 27 ft (assist by T. Johnson),33,40
2,6:45.0,Shooting foul by H. Whiteside (drawn by D. Wright),,33,40
2,6:45.0,D. Wright misses free throw 1 of 2,,33,40
2,6:45.0,Offensive rebound by Team,,33,40
2,6:45.0,F. VanVleet enters the game for D. Green,,33,40
2,6:45.0,,J. Winslow enters the game for K. Olynyk,33,40
2,6:45.0,D. Wright makes free throw 2 of 2,,34,40
2,6:32.0,,J. Richardson misses 2-pt jump shot from 9 ft (block by S. Ibaka),34,40
2,6:29.0,Defensive rebound by D. Wright,,34,40
2,6:20.0,S. Ibaka misses 3-pt jump shot from 27 ft,,34,40
2,6:16.0,,Defensive rebound by H. Whiteside,34,40
2,6:09.0,,J. Richardson misses 3-pt jump shot from 22 ft (block by P. Siakam),34,40
2,6:03.0,Defensive rebound by K. Leonard,,34,40
2,5:59.0,P. Siakam misses 2-pt jump shot from 22 ft,,34,40
2,5:55.0,,Defensive rebound by H. Whiteside,34,40
2,5:41.0,,J. Winslow misses 2-pt jump shot from 6 ft,34,40
2,5:39.0,,Offensive rebound by H. Whiteside,34,40
2,5:37.0,,H. Whiteside misses 2-pt hook shot from 7 ft,34,40
2,5:35.0,Defensive rebound by S. Ibaka,,34,40
2,5:30.0,S. Ibaka makes 3-pt jump shot from 28 ft (assist by F. VanVleet),,37,40
2,5:14.0,,J. Winslow makes 2-pt jump shot from 12 ft,37,42
2,5:00.0,Shooting foul by H. Whiteside (drawn by S. Ibaka),,37,42
2,5:00.0,S. Ibaka makes free throw 1 of 2,,38,42
2,5:00.0,,J. Johnson enters the game for D. Jones,38,42
2,5:00.0,S. Ibaka misses free throw 2 of 2,,38,42
2,4:57.0,,Defensive rebound by H. Whiteside,38,42
2,4:40.0,,H. Whiteside makes 2-pt dunk from 4 ft (assist by J. Richardson),38,44
2,4:23.0,F. VanVleet misses 2-pt jump shot from 20 ft,,38,44
2,4:20.0,,Defensive rebound by H. Whiteside,38,44
2,4:20.0,O. Anunoby enters the game for P. Siakam,,38,44
2,4:20.0,N. Powell enters the game for D. Wright,,38,44
2,4:03.0,,T. Johnson makes 3-pt jump shot from 27 ft (assist by J. Richardson),38,47
2,3:45.0,K. Leonard misses 3-pt jump shot from 27 ft,,38,47
2,3:42.0,,Defensive rebound by J. Johnson,38,47
2,3:38.0,,Personal foul by F. VanVleet (drawn by T. Johnson),38,47
2,3:38.0,,T. Johnson makes free throw 1 of 2,38,48
2,3:38.0,,T. Johnson makes free throw 2 of 2,38,49
2,3:21.0,K. Leonard misses 2-pt layup from 6 ft,,38,49
2,3:18.0,Offensive rebound by S. Ibaka,,38,49
2,3:17.0,S. Ibaka misses 2-pt layup from 5 ft (block by H. Whiteside),,38,49
2,3:17.0,Offensive rebound by O. Anunoby,,38,49
2,3:11.0,S. Ibaka misses 2-pt layup from 6 ft (block by H. Whiteside),,38,49
2,3:07.0,,Defensive rebound by T. Johnson,38,49
2,2:49.0,,J. Johnson makes 2-pt dunk from 4 ft,38,51
2,2:48.0,Toronto full timeout,,38,51
2,2:35.0,K. Leonard misses 2-pt hook shot from 6 ft,,38,51
2,2:32.0,,Defensive rebound by H. Whiteside,38,51
2,2:21.0,,Turnover by J. Johnson (bad pass; steal by K. Leonard),38,51
2,2:17.0,F. VanVleet misses 2-pt layup from 5 ft (block by T. Johnson),,38,51
2,2:13.0,,Defensive rebound by J. Richardson,38,51
2,2:10.0,,J. Johnson makes 2-pt layup from 4 ft (assist by T. Johnson),38,53
2,1:57.0,F. VanVleet misses 3-pt jump shot from 26 ft,,38,53
2,1:56.0,,Defensive rebound by Team,38,53
2,1:56.0,D. Green enters the game for S. Ibaka,,38,53
2,1:56.0,G. Monroe enters the game for N. Powell,,38,53
2,1:42.0,,J. Johnson misses 3-pt jump shot from 25 ft,38,53
2,1:38.0,Defensive rebound by K. Leonard,,38,53
2,1:38.0,Shooting foul by J. Winslow (drawn by K. Leonard),,38,53
2,1:38.0,K. Leonard makes free throw 1 of 2,,39,53
2,1:38.0,,B. Adebayo enters the game for T. Johnson,39,53
2,1:38.0,,D. Wade enters the game for H. Whiteside,39,53
2,1:38.0,K. Leonard makes free throw 2 of 2,,40,53
2,1:21.0,,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Winslow),40,56
2,1:04.0,Shooting foul by B. Adebayo (drawn by K. Leonard),,40,56
2,1:04.0,K. Leonard makes free throw 1 of 2,,41,56
2,1:04.0,K. Leonard makes free throw 2 of 2,,42,56
2,0:46.0,,J. Richardson makes 2-pt jump shot from 16 ft,42,58
2,0:34.0,K. Leonard makes 2-pt layup from 5 ft,,44,58
2,0:34.0,,Violation by Team (def goaltending),44,58
2,0:09.0,,D. Wade misses 3-pt jump shot from 24 ft,44,58
2,0:06.0,Defensive rebound by G. Monroe,,44,58
3,11:39.0,D. Green makes 2-pt jump shot from 18 ft (assist by S. Ibaka),,46,58
3,11:20.0,,R. McGruder makes 3-pt jump shot from 27 ft (assist by J. Richardson),46,61
3,11:05.0,S. Ibaka misses 2-pt jump shot from 7 ft,,46,61
3,11:01.0,,Defensive rebound by H. Whiteside,46,61
3,10:52.0,,J. Winslow misses 2-pt jump shot from 10 ft,46,61
3,10:51.0,Defensive rebound by Team,,46,61
3,10:33.0,Turnover by P. Siakam (lost ball; steal by J. Johnson),,46,61
3,10:29.0,,Turnover by R. McGruder (traveling),46,61
3,10:19.0,Offensive foul by P. Siakam (drawn by J. Richardson),,46,61
3,10:19.0,Turnover by P. Siakam (offensive foul),,46,61
3,10:09.0,,Shooting foul by P. Siakam (drawn by J. Richardson),46,61
3,10:09.0,,J. Richardson makes free throw 1 of 2,46,62
3,10:09.0,,J. Richardson makes free throw 2 of 2,46,63
3,9:50.0,Turnover by D. Green (out of bounds lost ball),,46,63
3,9:35.0,,R. McGruder misses 3-pt jump shot from 28 ft,46,63
3,9:32.0,Defensive rebound by D. Green,,46,63
3,9:24.0,S. Ibaka misses 2-pt jump shot from 18 ft,,46,63
3,9:23.0,Offensive rebound by D. Green,,46,63
3,9:23.0,D. Green makes 2-pt layup at rim,,48,63
3,9:05.0,,Shooting foul by S. Ibaka (drawn by H. Whiteside),48,63
3,9:05.0,,H. Whiteside misses free throw 1 of 2,48,63
3,9:05.0,,Offensive rebound by Team,48,63
3,9:05.0,,H. Whiteside misses free throw 2 of 2,48,63
3,9:02.0,Defensive rebound by K. Leonard,,48,63
3,8:48.0,D. Green misses 3-pt jump shot from 24 ft,,48,63
3,8:45.0,Offensive rebound by K. Leonard,,48,63
3,8:44.0,K. Leonard makes 2-pt layup from 3 ft,,50,63
3,8:32.0,,J. Winslow makes 2-pt dunk from 3 ft,50,65
3,8:21.0,Turnover by K. Leonard (bad pass; steal by J. Richardson),,50,65
3,8:16.0,,J. Richardson makes 2-pt layup from 3 ft,50,67
3,7:53.0,F. VanVleet makes 3-pt jump shot from 28 ft (assist by D. Green),,53,67
3,7:30.0,,H. Whiteside misses 2-pt hook shot from 9 ft,53,67
3,7:27.0,Defensive rebound by P. Siakam,,53,67
3,7:22.0,K. Leonard misses 3-pt jump shot from 26 ft,,53,67
3,7:20.0,,Defensive rebound by J. Richardson,53,67
3,7:09.0,,R. McGruder makes 2-pt jump shot from 10 ft,53,69
3,6:53.0,F. VanVleet makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,56,69
3,6:46.0,,Miami full timeout,56,69
3,6:46.0,,B. Adebayo enters the game for J. Richardson,56,69
3,6:46.0,,D. Wade enters the game for H. Whiteside,56,69
3,6:34.0,,J. Johnson misses 2-pt layup from 5 ft,56,69
3,6:29.0,Defensive rebound by P. Siakam,,56,69
3,6:20.0,K. Leonard makes 3-pt jump shot from 26 ft,,59,69
3,6:01.0,,D. Wade makes 2-pt jump shot from 10 ft,59,71
3,5:42.0,P. Siakam makes 2-pt layup from 5 ft (assist by D. Green),,61,71
3,5:26.0,,J. Winslow makes 3-pt jump shot from 23 ft (assist by D. Wade),61,74
3,5:14.0,Shooting foul by B. Adebayo (drawn by K. Leonard),,61,74
3,5:14.0,K. Leonard makes free throw 1 of 2,,62,74
3,5:14.0,K. Leonard makes free throw 2 of 2,,63,74
3,5:01.0,,Personal foul by P. Siakam (drawn by B. Adebayo),63,74
3,4:52.0,,J. Winslow misses 3-pt jump shot from 26 ft,63,74
3,4:49.0,Defensive rebound by P. Siakam,,63,74
3,4:43.0,P. Siakam makes 2-pt layup from 3 ft,,65,74
3,4:26.0,,B. Adebayo misses 2-pt hook shot from 6 ft,65,74
3,4:23.0,Defensive rebound by P. Siakam,,65,74
3,4:20.0,K. Leonard makes 2-pt jump shot from 7 ft (assist by P. Siakam),,67,74
3,4:20.0,Shooting foul by D. Wade (drawn by K. Leonard),,67,74
3,4:20.0,,T. Johnson enters the game for R. McGruder,67,74
3,4:20.0,K. Leonard makes free throw 1 of 1,,68,74
3,4:07.0,,J. Winslow misses 3-pt jump shot from 27 ft,68,74
3,4:03.0,Defensive rebound by D. Green,,68,74
3,3:59.0,D. Green makes 3-pt jump shot from 27 ft,,71,74
3,3:58.0,,Miami full timeout,71,74
3,3:41.0,,D. Wade makes 2-pt jump shot from 10 ft (assist by J. Winslow),71,76
3,3:19.0,Personal foul by J. Winslow (drawn by D. Green),,71,76
3,3:19.0,O. Anunoby enters the game for P. Siakam,,71,76
3,3:19.0,,J. Richardson enters the game for J. Winslow,71,76
3,3:05.0,Shooting foul by T. Johnson (drawn by F. VanVleet),,71,76
3,3:05.0,F. VanVleet makes free throw 1 of 2,,72,76
3,3:05.0,F. VanVleet makes free throw 2 of 2,,73,76
3,2:44.0,,J. Johnson misses 3-pt jump shot from 26 ft,73,76
3,2:40.0,Defensive rebound by K. Leonard,,73,76
3,2:26.0,K. Leonard misses 2-pt jump shot from 6 ft,,73,76
3,2:22.0,,Defensive rebound by J. Johnson,73,76
3,2:16.0,,D. Wade misses 2-pt jump shot from 17 ft,73,76
3,2:12.0,Defensive rebound by O. Anunoby,,73,76
3,1:57.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by S. Ibaka),,76,76
3,1:39.0,,Turnover by J. Richardson (bad pass; steal by K. Leonard),76,76
3,1:33.0,F. VanVleet misses 3-pt jump shot from 23 ft,,76,76
3,1:29.0,Offensive rebound by K. Leonard,,76,76
3,1:28.0,K. Leonard misses 2-pt layup from 6 ft (block by J. Richardson),,76,76
3,1:26.0,Offensive rebound by K. Leonard,,76,76
3,1:26.0,K. Leonard makes 2-pt layup from 4 ft,,78,76
3,1:16.0,,J. Richardson makes 3-pt jump shot from 28 ft (assist by D. Wade),78,79
3,0:53.0,K. Leonard misses 2-pt jump shot from 15 ft,,78,79
3,0:49.0,,Defensive rebound by J. Johnson,78,79
3,0:36.0,Violation by Team (kicked ball),,78,79
3,0:36.0,N. Powell enters the game for D. Green,,78,79
3,0:36.0,P. Siakam enters the game for S. Ibaka,,78,79
3,0:36.0,D. Wright enters the game for K. Leonard,,78,79
3,0:36.0,,K. Olynyk enters the game for J. Johnson,78,79
3,0:28.0,,D. Wade misses 3-pt jump shot from 27 ft,78,79
3,0:24.0,Defensive rebound by F. VanVleet,,78,79
3,0:03.0,N. Powell makes 3-pt jump shot from 23 ft (assist by D. Wright),,81,79
3,0:00.0,,Turnover by D. Wade (out of bounds lost ball),81,79
4,11:44.0,,J. Richardson misses 3-pt jump shot from 26 ft,81,79
4,11:39.0,Defensive rebound by N. Powell,,81,79
4,11:35.0,F. VanVleet misses 2-pt layup from 2 ft (block by D. Wade),,81,79
4,11:31.0,,Defensive rebound by K. Olynyk,81,79
4,11:27.0,,Turnover by K. Olynyk (lost ball; steal by O. Anunoby),81,79
4,11:21.0,D. Wright makes 2-pt layup from 3 ft,,83,79
4,10:49.0,,Turnover by T. Johnson (lost ball; steal by O. Anunoby),83,79
4,10:38.0,Turnover by P. Siakam (traveling),,83,79
4,10:38.0,,H. Whiteside enters the game for B. Adebayo,83,79
4,10:22.0,,H. Whiteside makes 2-pt dunk from 5 ft (assist by D. Wade),83,81
4,10:00.0,P. Siakam misses 3-pt jump shot from 25 ft,,83,81
4,9:57.0,,Defensive rebound by K. Olynyk,83,81
4,9:47.0,,T. Johnson makes 3-pt jump shot from 27 ft (assist by D. Wade),83,84
4,9:23.0,N. Powell makes 2-pt jump shot from 16 ft,,85,84
4,9:00.0,,H. Whiteside makes 2-pt layup from 3 ft (assist by J. Richardson),85,86
4,9:00.0,,Shooting foul by P. Siakam (drawn by H. Whiteside),85,86
4,9:00.0,G. Monroe enters the game for F. VanVleet,,85,86
4,9:00.0,,H. Whiteside misses free throw 1 of 1,85,86
4,9:00.0,Defensive rebound by Team,,85,86
4,8:42.0,,Violation by Team (kicked ball),85,86
4,8:42.0,Toronto full timeout,,85,86
4,8:35.0,Shooting foul by T. Johnson (drawn by P. Siakam),,85,86
4,8:35.0,P. Siakam makes free throw 1 of 2,,86,86
4,8:35.0,P. Siakam misses free throw 2 of 2,,86,86
4,8:32.0,,Defensive rebound by H. Whiteside,86,86
4,8:17.0,,D. Wade misses 2-pt jump shot from 7 ft,86,86
4,8:14.0,,Offensive rebound by K. Olynyk,86,86
4,8:12.0,,K. Olynyk makes 2-pt layup from 6 ft,86,88
4,7:59.0,D. Wright makes 2-pt layup from 3 ft (assist by N. Powell),,88,88
4,7:40.0,,T. Johnson misses 3-pt jump shot from 26 ft,88,88
4,7:36.0,Defensive rebound by P. Siakam,,88,88
4,7:27.0,Shooting foul by H. Whiteside (drawn by G. Monroe),,88,88
4,7:27.0,G. Monroe makes free throw 1 of 2,,89,88
4,7:27.0,,J. Winslow enters the game for D. Wade,89,88
4,7:27.0,G. Monroe makes free throw 2 of 2,,90,88
4,7:16.0,,K. Olynyk misses 3-pt jump shot from 26 ft,90,88
4,7:12.0,Defensive rebound by O. Anunoby,,90,88
4,7:02.0,Turnover by N. Powell (lost ball; steal by K. Olynyk),,90,88
4,6:49.0,,J. Winslow makes 3-pt jump shot from 27 ft (assist by T. Johnson),90,91
4,6:23.0,D. Wright misses 3-pt jump shot from 26 ft,,90,91
4,6:23.0,Offensive rebound by Team,,90,91
4,6:23.0,,Loose ball foul by H. Whiteside (drawn by G. Monroe),90,91
4,6:23.0,D. Green enters the game for N. Powell,,90,91
4,6:23.0,K. Leonard enters the game for P. Siakam,,90,91
4,6:23.0,F. VanVleet enters the game for D. Wright,,90,91
4,6:12.0,Personal foul by J. Winslow (drawn by K. Leonard),,90,91
4,5:59.0,G. Monroe misses 2-pt layup from 4 ft,,90,91
4,5:55.0,,Defensive rebound by T. Johnson,90,91
4,5:46.0,,K. Olynyk misses 2-pt jump shot from 11 ft,90,91
4,5:41.0,Defensive rebound by D. Green,,90,91
4,5:35.0,Turnover by D. Green (bad pass; steal by T. Johnson),,90,91
4,5:21.0,,T. Johnson misses 2-pt jump shot from 22 ft,90,91
4,5:17.0,Defensive rebound by D. Green,,90,91
4,4:57.0,F. VanVleet misses 3-pt jump shot from 27 ft,,90,91
4,4:52.0,Offensive rebound by G. Monroe,,90,91
4,4:51.0,G. Monroe misses 2-pt layup from 4 ft,,90,91
4,4:49.0,Offensive rebound by O. Anunoby,,90,91
4,4:46.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by O. Anunoby),,93,91
4,4:38.0,,Miami full timeout,93,91
4,4:38.0,S. Ibaka enters the game for O. Anunoby,,93,91
4,4:38.0,P. Siakam enters the game for G. Monroe,,93,91
4,4:38.0,,J. Johnson enters the game for K. Olynyk,93,91
4,4:28.0,,Personal foul by D. Green (drawn by J. Winslow),93,91
4,4:13.0,,T. Johnson makes 2-pt jump shot from 6 ft (assist by J. Richardson),93,93
4,3:46.0,K. Leonard misses 2-pt jump shot from 13 ft,,93,93
4,3:43.0,,Defensive rebound by T. Johnson,93,93
4,3:28.0,,J. Richardson makes 2-pt jump shot from 17 ft (assist by T. Johnson),93,95
4,3:12.0,Turnover by P. Siakam (lost ball; steal by J. Johnson),,93,95
4,2:58.0,,J. Winslow makes 2-pt jump shot from 5 ft,93,97
4,2:57.0,Toronto full timeout,,93,97
4,2:54.0,Turnover by P. Siakam (bad pass; steal by T. Johnson),,93,97
4,2:54.0,,Shooting foul by P. Siakam (drawn by T. Johnson),93,97
4,2:54.0,,T. Johnson misses free throw 1 of 2,93,97
4,2:54.0,,Offensive rebound by Team,93,97
4,2:54.0,,T. Johnson misses free throw 2 of 2,93,97
4,2:51.0,Defensive rebound by P. Siakam,,93,97
4,2:43.0,K. Leonard misses 2-pt jump shot from 18 ft,,93,97
4,2:40.0,,Defensive rebound by T. Johnson,93,97
4,2:27.0,,J. Winslow makes 2-pt jump shot from 4 ft,93,99
4,2:13.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by P. Siakam),,96,99
4,1:54.0,,Turnover by J. Winslow (bad pass; steal by P. Siakam),96,99
4,1:52.0,P. Siakam makes 2-pt layup from 3 ft,,98,99
4,1:52.0,Shooting foul by T. Johnson (drawn by P. Siakam),,98,99
4,1:52.0,,D. Wade enters the game for T. Johnson,98,99
4,1:52.0,P. Siakam makes free throw 1 of 1,,99,99
4,1:29.0,,J. Richardson misses 2-pt jump shot from 9 ft,99,99
4,1:25.0,Defensive rebound by P. Siakam,,99,99
4,1:19.0,Personal foul by J. Winslow (drawn by K. Leonard),,99,99
4,1:19.0,K. Leonard makes free throw 1 of 2,,100,99
4,1:19.0,K. Leonard makes free throw 2 of 2,,101,99
4,1:19.0,,Miami full timeout,101,99
4,1:04.0,,D. Wade makes 3-pt jump shot from 28 ft,101,102
4,0:53.0,K. Leonard makes 2-pt jump shot from 18 ft,,103,102
4,0:35.0,,J. Winslow makes 2-pt layup from 3 ft (assist by D. Wade),103,104
4,0:22.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,106,104
4,0:22.0,,Miami full timeout,106,104
4,0:14.0,,Personal foul by F. VanVleet (drawn by J. Richardson),106,104
4,0:04.0,,D. Wade misses 3-pt jump shot from 27 ft,106,104
