QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
3,11:06.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,64,72
3,10:52.0,,Personal foul by T. Bryant (drawn by R. Gobert),64,72
3,10:50.0,,Turnover by D. Mitchell (out of bounds lost ball),64,72
3,10:38.0,Personal foul by D. Mitchell (drawn by B. Beal),,64,72
3,10:30.0,T. Bryant misses 3-pt jump shot from 25 ft,,64,72
3,10:27.0,Offensive rebound by T. Bryant,,64,72
3,10:22.0,T. Satoranský misses 2-pt layup from 3 ft,,64,72
3,10:19.0,Offensive rebound by T. Brown,,64,72
3,10:13.0,B. Portis misses 2-pt hook shot from 5 ft,,64,72
3,10:12.0,,Defensive rebound by R. Gobert,64,72
3,10:12.0,,Personal foul by T. Bryant (drawn by R. Gobert),64,72
3,9:57.0,,J. Crowder misses 3-pt jump shot from 24 ft,64,72
3,9:54.0,Defensive rebound by T. Satoranský,,64,72
3,9:47.0,Personal foul by R. Rubio (drawn by T. Bryant),,64,72
3,9:39.0,T. Bryant makes 2-pt jump shot from 19 ft (assist by T. Satoranský),,66,72
3,9:12.0,,R. Rubio misses 3-pt jump shot from 24 ft,66,72
3,9:09.0,,Offensive rebound by R. Gobert,66,72
3,9:08.0,,R. Gobert makes 2-pt layup from 3 ft,66,74
3,8:51.0,B. Beal makes 2-pt jump shot from 18 ft (assist by B. Portis),,68,74
3,8:39.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),68,76
3,8:33.0,B. Beal misses 2-pt jump shot from 24 ft,,68,76
3,8:29.0,Offensive rebound by B. Beal,,68,76
3,8:23.0,B. Portis misses 3-pt jump shot from 23 ft,,68,76
3,8:21.0,,Defensive rebound by Team,68,76
3,8:10.0,,D. Mitchell misses 2-pt layup from 2 ft,68,76
3,8:07.0,Defensive rebound by B. Portis,,68,76
3,7:57.0,T. Brown makes 3-pt jump shot from 26 ft (assist by T. Bryant),,71,76
3,7:41.0,,J. Ingles misses 3-pt jump shot from 23 ft,71,76
3,7:39.0,Defensive rebound by B. Portis,,71,76
3,7:30.0,T. Brown misses 3-pt jump shot from 23 ft,,71,76
3,7:26.0,,Defensive rebound by R. Gobert,71,76
3,7:18.0,,Personal foul by B. Portis (drawn by R. Gobert),71,76
3,7:18.0,,Utah full timeout,71,76
3,7:18.0,,E. Udoh enters the game for R. Gobert,71,76
3,7:05.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Ingles),71,79
3,6:45.0,T. Bryant makes 2-pt dunk from 3 ft (assist by B. Beal),,73,79
3,6:18.0,,J. Ingles misses 2-pt jump shot from 11 ft,73,79
3,6:15.0,Defensive rebound by B. Beal,,73,79
