QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
1,7:24.0,J. Wall makes 3-pt jump shot from 24 ft (assist by J. Green),,9,7
1,7:09.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by A. Drummond),9,10
1,6:54.0,J. Wall misses 3-pt jump shot from 26 ft,,9,10
1,6:54.0,,Defensive rebound by R. Bullock,9,10
1,6:49.0,,Personal foul by J. Green (drawn by A. Drummond),9,10
1,6:49.0,,Detroit full timeout,9,10
1,6:33.0,,R. Jackson misses 2-pt hook shot from 4 ft,9,10
1,6:33.0,,Offensive rebound by R. Jackson,9,10
1,6:32.0,,R. Jackson makes 2-pt layup from 1 ft,9,12
1,6:14.0,B. Beal makes 2-pt layup from 2 ft,,11,12
1,6:03.0,,Turnover by B. Griffin (bad pass; steal by B. Beal),11,12
1,5:59.0,Shooting foul by R. Jackson (drawn by J. Green),,11,12
1,5:59.0,J. Green makes free throw 1 of 2,,12,12
1,5:59.0,M. Morris enters the game for T. Bryant,,12,12
1,5:59.0,J. Green makes free throw 2 of 2,,13,12
1,5:46.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Bullock),13,15
1,5:24.0,M. Morris misses 2-pt layup from 1 ft (block by A. Drummond),,13,15
1,5:24.0,Offensive rebound by M. Morris,,13,15
1,5:24.0,,J. Calderón enters the game for B. Brown,13,15
1,5:24.0,,L. Galloway enters the game for R. Jackson,13,15
1,5:23.0,Away from play foul by J. Calderón (drawn by T. Ariza),,13,15
1,5:23.0,T. Ariza makes free throw 1 of 1,,14,15
1,5:11.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,17,15
1,5:01.0,,B. Griffin makes 2-pt jump shot from 6 ft (assist by J. Calderón),17,17
1,5:01.0,,Shooting foul by J. Green (drawn by B. Griffin),17,17
1,5:01.0,I. Mahinmi enters the game for J. Green,,17,17
1,5:01.0,,B. Griffin makes free throw 1 of 1,17,18
1,4:53.0,Turnover by T. Ariza (bad pass),,17,18
1,4:39.0,,A. Drummond misses 2-pt layup from 3 ft,17,18
1,4:38.0,Defensive rebound by B. Beal,,17,18
1,4:33.0,B. Beal misses 3-pt jump shot from 25 ft,,17,18
1,4:30.0,,Defensive rebound by A. Drummond,17,18
1,4:24.0,,B. Griffin misses 3-pt jump shot from 24 ft,17,18
1,4:24.0,Defensive rebound by T. Ariza,,17,18
1,4:11.0,J. Wall makes 2-pt layup from 2 ft,,19,18
1,4:11.0,Shooting foul by R. Bullock (drawn by J. Wall),,19,18
1,4:11.0,J. Wall makes free throw 1 of 1,,20,18
1,3:49.0,,R. Bullock misses 2-pt layup from 5 ft (block by I. Mahinmi),20,18
1,3:47.0,Defensive rebound by T. Ariza,,20,18
1,3:42.0,I. Mahinmi makes 2-pt dunk from 2 ft (assist by T. Ariza),,22,18
1,3:25.0,,L. Galloway misses 2-pt jump shot from 11 ft,22,18
1,3:23.0,Defensive rebound by J. Wall,,22,18
1,3:22.0,Turnover by J. Wall (lost ball; steal by A. Drummond),,22,18
1,3:19.0,,A. Drummond makes 2-pt dunk from 1 ft,22,20
1,3:10.0,J. Wall makes 3-pt jump shot from 26 ft (assist by M. Morris),,25,20
1,2:56.0,,L. Galloway makes 2-pt jump shot from 16 ft (assist by B. Griffin),25,22
1,2:54.0,Washington full timeout,,25,22
1,2:54.0,,S. Johnson enters the game for R. Bullock,25,22
1,2:54.0,,J. Leuer enters the game for B. Griffin,25,22
1,2:37.0,Personal foul by S. Johnson (drawn by M. Morris),,25,22
1,2:37.0,M. Morris misses free throw 1 of 2,,25,22
1,2:37.0,Offensive rebound by Team,,25,22
1,2:37.0,T. Satoranský enters the game for B. Beal,,25,22
1,2:37.0,M. Morris makes free throw 2 of 2,,26,22
1,2:26.0,,Turnover by J. Calderón (bad pass; steal by M. Morris),26,22
1,2:08.0,Shooting foul by S. Johnson (drawn by M. Morris),,26,22
1,2:08.0,M. Morris makes free throw 1 of 2,,27,22
1,2:08.0,M. Morris makes free throw 2 of 2,,28,22
1,1:56.0,,S. Johnson misses 3-pt jump shot from 27 ft,28,22
1,1:49.0,Defensive rebound by J. Wall,,28,22
1,1:48.0,J. Wall misses 3-pt jump shot from 25 ft,,28,22
1,1:45.0,,Defensive rebound by L. Galloway,28,22
1,1:40.0,,L. Galloway makes 3-pt jump shot from 27 ft (assist by J. Calderón),28,25
1,1:23.0,Turnover by J. Wall (bad pass),,28,25
1,0:59.0,,S. Johnson makes 2-pt jump shot from 12 ft,28,27
1,0:46.0,Turnover by T. Satoranský (traveling),,28,27
1,0:33.0,Violation by Team (kicked ball),,28,27
1,0:26.0,,L. Galloway misses 3-pt jump shot from 26 ft,28,27
1,0:23.0,Defensive rebound by M. Morris,,28,27
1,0:01.0,T. Ariza misses 3-pt jump shot from 23 ft,,28,27
1,0:01.0,,Defensive rebound by Team,28,27
2,11:43.0,M. Morris makes 2-pt jump shot from 8 ft,,30,27
2,11:26.0,,L. Galloway misses 3-pt jump shot from 25 ft,30,27
2,11:23.0,Defensive rebound by I. Mahinmi,,30,27
2,11:17.0,B. Beal misses 2-pt jump shot from 9 ft,,30,27
2,11:14.0,,Defensive rebound by Z. Pachulia,30,27
2,10:58.0,,S. Johnson makes 3-pt jump shot from 29 ft (assist by R. Jackson),30,30
2,10:47.0,T. Satoranský makes 2-pt dunk from 1 ft,,32,30
2,10:21.0,,L. Galloway makes 2-pt layup from 1 ft (assist by Z. Pachulia),32,32
2,9:59.0,Personal foul by J. Leuer (drawn by M. Morris),,32,32
2,9:51.0,M. Morris misses 3-pt jump shot from 23 ft,,32,32
2,9:48.0,,Defensive rebound by J. Leuer,32,32
2,9:28.0,,Turnover by S. Johnson (lost ball; steal by C. Randle),32,32
2,9:16.0,B. Beal misses 2-pt jump shot from 16 ft,,32,32
2,9:13.0,,Defensive rebound by J. Leuer,32,32
2,9:09.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by S. Johnson),32,35
2,8:50.0,Turnover by T. Satoranský (bad pass; steal by S. Johnson),,32,35
2,8:44.0,,Turnover by R. Jackson (bad pass; steal by T. Satoranský),32,35
2,8:37.0,C. Randle misses 3-pt jump shot from 26 ft,,32,35
2,8:34.0,,Defensive rebound by Z. Pachulia,32,35
2,8:28.0,,R. Jackson misses 2-pt dunk at rim,32,35
2,8:27.0,,Offensive rebound by L. Galloway,32,35
2,8:26.0,,L. Galloway makes 3-pt jump shot from 22 ft,32,38
2,8:26.0,Washington full timeout,,32,38
2,8:01.0,I. Mahinmi makes 2-pt dunk from 1 ft (assist by M. Morris),,34,38
2,7:52.0,,Turnover by R. Jackson (bad pass; steal by I. Mahinmi),34,38
2,7:48.0,C. Randle makes 2-pt layup from 1 ft (assist by I. Mahinmi),,36,38
2,7:29.0,,J. Leuer makes 2-pt layup at rim (assist by R. Jackson),36,40
2,7:29.0,,Shooting foul by I. Mahinmi (drawn by J. Leuer),36,40
2,7:29.0,J. Green enters the game for I. Mahinmi,,36,40
2,7:29.0,J. Wall enters the game for C. Randle,,36,40
2,7:29.0,,J. Leuer makes free throw 1 of 1,36,41
2,7:05.0,J. Green makes 2-pt jump shot from 10 ft,,38,41
2,6:47.0,,Z. Pachulia makes 2-pt layup from 1 ft,38,43
2,6:47.0,,Shooting foul by T. Satoranský (drawn by Z. Pachulia),38,43
2,6:47.0,,R. Bullock enters the game for S. Johnson,38,43
2,6:47.0,,Z. Pachulia makes free throw 1 of 1,38,44
2,6:35.0,J. Wall makes 2-pt jump shot from 3 ft,,40,44
2,6:25.0,,Personal foul by J. Green (drawn by Z. Pachulia),40,44
2,6:25.0,T. Ariza enters the game for J. Green,,40,44
2,6:25.0,I. Mahinmi enters the game for T. Satoranský,,40,44
2,6:25.0,,B. Griffin enters the game for J. Leuer,40,44
2,6:17.0,,Turnover by Z. Pachulia (bad pass; steal by M. Morris),40,44
2,6:01.0,J. Wall misses 2-pt layup from 2 ft,,40,44
2,6:01.0,Offensive rebound by I. Mahinmi,,40,44
2,6:01.0,I. Mahinmi makes 2-pt layup at rim,,42,44
2,6:01.0,Shooting foul by L. Galloway (drawn by I. Mahinmi),,42,44
2,6:01.0,I. Mahinmi misses free throw 1 of 1,,42,44
2,6:01.0,,Defensive rebound by Team,42,44
2,5:50.0,,R. Jackson misses 2-pt dunk from 1 ft,42,44
2,5:50.0,,Offensive rebound by Team,42,44
2,5:50.0,,Turnover by R. Jackson (illegal assist),42,44
2,5:50.0,,A. Drummond enters the game for Z. Pachulia,42,44
2,5:29.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by J. Wall),,44,44
2,5:13.0,,B. Griffin misses 3-pt jump shot from 26 ft,44,44
2,5:09.0,Defensive rebound by J. Wall,,44,44
2,5:01.0,J. Wall makes 2-pt jump shot from 17 ft,,46,44
2,4:55.0,,Detroit full timeout,46,44
2,4:55.0,,J. Calderón enters the game for R. Jackson,46,44
2,4:38.0,,B. Griffin makes 2-pt layup from 3 ft,46,46
2,4:22.0,Turnover by I. Mahinmi (step out of bounds),,46,46
2,4:03.0,,R. Bullock misses 3-pt jump shot from 26 ft,46,46
2,4:01.0,Defensive rebound by Team,,46,46
2,3:48.0,B. Beal makes 2-pt jump shot from 18 ft,,48,46
2,3:26.0,,A. Drummond misses 2-pt layup from 2 ft,48,46
2,3:24.0,Defensive rebound by I. Mahinmi,,48,46
2,3:19.0,Turnover by I. Mahinmi (offensive foul),,48,46
2,3:19.0,Offensive foul by I. Mahinmi (drawn by A. Drummond),,48,46
2,3:11.0,,Personal foul by M. Morris (drawn by B. Griffin),48,46
2,3:11.0,Technical foul by M. Morris,,48,46
2,3:11.0,,R. Bullock makes technical free throw,48,47
2,3:03.0,,B. Griffin misses 3-pt jump shot from 28 ft,48,47
2,3:00.0,Defensive rebound by J. Wall,,48,47
2,2:51.0,J. Wall makes 2-pt jump shot from 15 ft,,50,47
2,2:37.0,,L. Galloway makes 2-pt jump shot from 20 ft,50,49
2,2:19.0,T. Ariza misses 2-pt hook shot from 4 ft,,50,49
2,2:19.0,,Defensive rebound by L. Galloway,50,49
2,2:19.0,,Personal foul by I. Mahinmi (drawn by L. Galloway),50,49
2,2:19.0,,L. Galloway makes free throw 1 of 2,50,50
2,2:19.0,T. Bryant enters the game for I. Mahinmi,,50,50
2,2:19.0,,L. Galloway makes free throw 2 of 2,50,51
2,2:06.0,J. Wall makes 2-pt layup from 1 ft,,52,51
2,1:54.0,,Turnover by A. Drummond (out of bounds lost ball),52,51
2,1:54.0,,B. Brown enters the game for L. Galloway,52,51
2,1:45.0,Personal foul by B. Brown (drawn by J. Wall),,52,51
2,1:42.0,M. Morris misses 3-pt jump shot from 27 ft,,52,51
2,1:38.0,,Defensive rebound by R. Bullock,52,51
2,1:20.0,,Turnover by A. Drummond (lost ball; steal by T. Bryant),52,51
2,1:10.0,J. Wall makes 2-pt layup from 2 ft,,54,51
2,0:47.0,,B. Griffin misses 3-pt jump shot from 23 ft,54,51
2,0:44.0,Defensive rebound by J. Wall,,54,51
2,0:36.0,Turnover by J. Wall (lost ball; steal by B. Griffin),,54,51
2,0:24.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by J. Calderón),54,54
2,0:00.0,Shooting foul by B. Griffin (drawn by T. Bryant),,54,54
2,0:00.0,T. Bryant misses free throw 1 of 2,,54,54
2,0:00.0,Offensive rebound by Team,,54,54
2,0:00.0,,L. Galloway enters the game for B. Brown,54,54
2,0:00.0,T. Bryant makes free throw 2 of 2,,55,54
3,11:43.0,J. Green misses 2-pt jump shot from 22 ft,,55,54
3,11:39.0,,Defensive rebound by R. Jackson,55,54
3,11:37.0,,Personal foul by J. Green (drawn by B. Griffin),55,54
3,11:27.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Jackson),55,57
3,11:20.0,Turnover by T. Bryant (bad pass; steal by A. Drummond),,55,57
3,11:16.0,,B. Brown makes 3-pt jump shot from 25 ft (assist by A. Drummond),55,60
3,11:00.0,B. Beal misses 2-pt jump shot from 20 ft,,55,60
3,11:00.0,,Defensive rebound by B. Griffin,55,60
3,10:57.0,,Shooting foul by T. Bryant (drawn by A. Drummond),55,60
3,10:57.0,,A. Drummond makes free throw 1 of 2,55,61
3,10:57.0,M. Morris enters the game for J. Green,,55,61
3,10:57.0,,A. Drummond makes free throw 2 of 2,55,62
3,10:45.0,M. Morris misses 3-pt jump shot from 25 ft,,55,62
3,10:41.0,Offensive rebound by M. Morris,,55,62
3,10:39.0,Turnover by M. Morris (bad pass; steal by R. Jackson),,55,62
3,10:36.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),55,64
3,10:36.0,Washington full timeout,,55,64
3,10:22.0,B. Beal misses 2-pt jump shot from 15 ft (block by A. Drummond),,55,64
3,10:19.0,,Defensive rebound by B. Griffin,55,64
3,10:16.0,,B. Brown makes 2-pt layup from 3 ft (assist by B. Griffin),55,66
3,10:01.0,M. Morris makes 2-pt dunk from 1 ft (assist by J. Wall),,57,66
3,9:42.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),57,68
3,9:25.0,Personal foul by B. Brown (drawn by B. Beal),,57,68
3,9:11.0,M. Morris misses 2-pt jump shot from 10 ft,,57,68
3,9:07.0,,Defensive rebound by A. Drummond,57,68
3,8:59.0,,R. Jackson makes 3-pt jump shot from 22 ft (assist by B. Griffin),57,71
3,8:40.0,J. Wall misses 2-pt jump shot from 20 ft,,57,71
3,8:37.0,,Defensive rebound by B. Griffin,57,71
3,8:31.0,,Turnover by B. Griffin (out of bounds lost ball),57,71
3,8:17.0,T. Ariza misses 2-pt jump shot from 8 ft,,57,71
3,8:16.0,,Defensive rebound by B. Griffin,57,71
3,8:04.0,,A. Drummond makes 2-pt hook shot from 6 ft,57,73
3,7:46.0,B. Beal misses 2-pt layup from 4 ft,,57,73
3,7:45.0,,Defensive rebound by A. Drummond,57,73
3,7:38.0,,A. Drummond misses 2-pt jump shot from 3 ft,57,73
3,7:35.0,,Offensive rebound by A. Drummond,57,73
3,7:35.0,,A. Drummond misses 2-pt layup at rim,57,73
3,7:35.0,,Offensive rebound by R. Jackson,57,73
3,7:32.0,,R. Jackson misses 3-pt jump shot from 25 ft,57,73
3,7:31.0,,Offensive rebound by A. Drummond,57,73
3,7:19.0,,R. Jackson makes 3-pt jump shot from 24 ft,57,76
3,7:18.0,Washington full timeout,,57,76
3,7:18.0,I. Mahinmi enters the game for T. Bryant,,57,76
3,7:03.0,Personal foul by R. Bullock (drawn by I. Mahinmi),,57,76
3,6:55.0,Turnover by B. Beal (bad pass; steal by B. Brown),,57,76
3,6:50.0,,B. Brown misses 2-pt layup from 2 ft (block by B. Beal),57,76
3,6:47.0,,Offensive rebound by B. Griffin,57,76
3,6:39.0,,Shooting foul by T. Ariza (drawn by B. Brown),57,76
3,6:39.0,,B. Brown misses free throw 1 of 2,57,76
3,6:39.0,,Offensive rebound by Team,57,76
3,6:39.0,,B. Brown makes free throw 2 of 2,57,77
3,6:24.0,M. Morris makes 2-pt layup from 2 ft (assist by J. Wall),,59,77
3,6:03.0,,Turnover by A. Drummond (offensive foul),59,77
3,6:03.0,,Offensive foul by A. Drummond (drawn by I. Mahinmi),59,77
3,5:51.0,T. Ariza misses 3-pt jump shot from 23 ft,,59,77
3,5:48.0,,Defensive rebound by A. Drummond,59,77
3,5:35.0,,B. Brown makes 2-pt layup from 1 ft (assist by B. Griffin),59,79
3,5:35.0,Violation by Team (def goaltending),,59,79
3,5:25.0,B. Beal makes 2-pt layup from 1 ft,,61,79
3,5:20.0,,Detroit full timeout,61,79
3,5:20.0,,J. Calderón enters the game for R. Jackson,61,79
3,5:05.0,,B. Brown misses 3-pt jump shot from 23 ft (block by J. Wall),61,79
3,5:05.0,,Offensive rebound by Team,61,79
3,5:05.0,Technical foul by I. Mahinmi,,61,79
3,5:05.0,,Technical foul by A. Drummond,61,79
3,5:05.0,Technical foul by J. Wall,,61,79
3,5:05.0,,R. Bullock makes technical free throw,61,80
3,4:51.0,,B. Brown misses 3-pt jump shot from 27 ft (block by B. Beal),61,80
3,4:48.0,Defensive rebound by M. Morris,,61,80
3,4:44.0,B. Beal misses 3-pt jump shot from 26 ft,,61,80
3,4:44.0,Offensive rebound by M. Morris,,61,80
3,4:42.0,M. Morris misses 2-pt layup from 1 ft,,61,80
3,4:41.0,,Defensive rebound by B. Griffin,61,80
3,4:34.0,,B. Griffin makes 3-pt jump shot from 25 ft,61,83
3,4:17.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Wall),,64,83
3,3:55.0,,B. Griffin misses 3-pt jump shot from 25 ft,64,83
3,3:51.0,Defensive rebound by J. Wall,,64,83
3,3:47.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Wall),,67,83
3,3:23.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Bullock),67,85
3,3:06.0,J. Wall misses 3-pt jump shot from 25 ft,,67,85
3,3:03.0,,Defensive rebound by J. Calderón,67,85
3,2:54.0,,J. Calderón misses 3-pt jump shot from 25 ft,67,85
3,2:49.0,Defensive rebound by J. Wall,,67,85
3,2:43.0,B. Beal makes 2-pt jump shot from 18 ft,,69,85
3,2:17.0,,R. Bullock misses 3-pt jump shot from 22 ft,69,85
3,2:15.0,,Offensive rebound by B. Brown,69,85
3,2:14.0,,R. Bullock misses 3-pt jump shot from 23 ft,69,85
3,2:13.0,Defensive rebound by Team,,69,85
3,2:13.0,,Loose ball foul by A. Drummond (drawn by I. Mahinmi),69,85
3,2:13.0,,L. Galloway enters the game for B. Brown,69,85
3,2:13.0,,S. Johnson enters the game for R. Bullock,69,85
3,2:13.0,,J. Leuer enters the game for B. Griffin,69,85
3,2:02.0,B. Beal misses 2-pt layup from 1 ft (block by J. Leuer),,69,85
3,2:02.0,Offensive rebound by Team,,69,85
3,1:54.0,T. Ariza misses 2-pt layup at rim,,69,85
3,1:47.0,,Defensive rebound by S. Johnson,69,85
3,1:41.0,,L. Galloway misses 3-pt jump shot from 27 ft,69,85
3,1:34.0,Defensive rebound by B. Beal,,69,85
3,1:31.0,Turnover by J. Wall (bad pass),,69,85
3,1:12.0,,Turnover by A. Drummond (offensive foul),69,85
3,1:12.0,,Offensive foul by A. Drummond (drawn by B. Beal),69,85
3,1:12.0,T. Satoranský enters the game for T. Ariza,,69,85
3,1:12.0,,Z. Pachulia enters the game for A. Drummond,69,85
3,1:02.0,J. Wall misses 2-pt layup from 3 ft,,69,85
3,0:59.0,,Defensive rebound by Z. Pachulia,69,85
3,0:51.0,,J. Calderón misses 2-pt jump shot from 20 ft,69,85
3,0:44.0,,Offensive rebound by L. Galloway,69,85
3,0:40.0,,S. Johnson misses 3-pt jump shot from 26 ft,69,85
3,0:37.0,Defensive rebound by I. Mahinmi,,69,85
3,0:33.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,72,85
3,0:17.0,,Personal foul by J. Wall (drawn by Z. Pachulia),72,85
3,0:10.0,,J. Leuer misses 3-pt jump shot from 23 ft,72,85
3,0:06.0,Defensive rebound by M. Morris,,72,85
3,0:01.0,J. Wall misses 2-pt layup from 2 ft,,72,85
3,0:01.0,,Defensive rebound by Z. Pachulia,72,85
3,0:00.0,,Z. Pachulia misses 3-pt jump shot from 75 ft,72,85
3,0:00.0,,Offensive rebound by Team,72,85
4,11:42.0,,Turnover by J. Leuer (traveling),72,85
4,11:22.0,I. Mahinmi misses 2-pt hook shot from 6 ft,,72,85
4,11:20.0,,Defensive rebound by Team,72,85
4,10:55.0,,Turnover by Team (shot clock),72,85
4,10:43.0,B. Beal makes 2-pt layup from 1 ft,,74,85
4,10:17.0,,J. Calderón misses 3-pt jump shot from 25 ft,74,85
4,10:17.0,,Offensive rebound by Team,74,85
4,10:17.0,Loose ball foul by I. Mahinmi (drawn by Z. Pachulia),,74,85
4,10:11.0,,L. Galloway makes 2-pt jump shot from 20 ft (assist by Z. Pachulia),74,87
4,9:51.0,B. Beal misses 3-pt jump shot from 24 ft,,74,87
4,9:49.0,Offensive rebound by I. Mahinmi,,74,87
4,9:48.0,C. Randle misses 3-pt jump shot from 25 ft,,74,87
4,9:45.0,,Defensive rebound by S. Johnson,74,87
4,9:34.0,,Turnover by J. Leuer (lost ball; steal by I. Mahinmi),74,87
4,9:33.0,Personal foul by Z. Pachulia (drawn by T. Satoranský),,74,87
4,9:16.0,Shooting foul by Z. Pachulia (drawn by I. Mahinmi),,74,87
4,9:16.0,I. Mahinmi makes free throw 1 of 2,,75,87
4,9:16.0,T. Ariza enters the game for M. Morris,,75,87
4,9:16.0,,R. Jackson enters the game for J. Calderón,75,87
4,9:16.0,I. Mahinmi makes free throw 2 of 2,,76,87
4,9:03.0,,Turnover by R. Jackson (bad pass; steal by I. Mahinmi),76,87
4,8:57.0,B. Beal makes 2-pt layup from 2 ft,,78,87
4,8:56.0,,Detroit full timeout,78,87
4,8:56.0,,B. Griffin enters the game for J. Leuer,78,87
4,8:33.0,,L. Galloway makes 3-pt jump shot from 24 ft,78,90
4,8:18.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by B. Beal),,81,90
4,8:05.0,,Personal foul by I. Mahinmi (drawn by R. Jackson),81,90
4,7:59.0,,Turnover by R. Jackson (bad pass; steal by T. Ariza),81,90
4,7:50.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,84,90
4,7:29.0,,Turnover by Z. Pachulia (3 sec),84,90
4,7:17.0,T. Ariza misses 3-pt jump shot from 27 ft,,84,90
4,7:14.0,,Defensive rebound by B. Griffin,84,90
4,6:57.0,,B. Griffin misses 2-pt jump shot from 16 ft,84,90
4,6:55.0,,Offensive rebound by Z. Pachulia,84,90
4,6:54.0,,Z. Pachulia makes 2-pt layup from 1 ft,84,92
4,6:40.0,Personal foul by Z. Pachulia (drawn by T. Ariza),,84,92
4,6:40.0,J. Wall enters the game for C. Randle,,84,92
4,6:40.0,,R. Bullock enters the game for L. Galloway,84,92
4,6:40.0,,A. Drummond enters the game for Z. Pachulia,84,92
4,6:26.0,B. Beal makes 2-pt layup from 2 ft,,86,92
4,6:07.0,,R. Jackson misses 3-pt jump shot from 22 ft,86,92
4,6:04.0,Defensive rebound by B. Beal,,86,92
4,6:01.0,Turnover by B. Beal (traveling),,86,92
4,5:59.0,,Turnover by B. Griffin (bad pass; steal by T. Ariza),86,92
4,5:46.0,T. Ariza makes 3-pt jump shot from 27 ft (assist by J. Wall),,89,92
4,5:27.0,,Turnover by R. Jackson (bad pass; steal by T. Satoranský),89,92
4,5:15.0,T. Ariza misses 3-pt jump shot from 26 ft,,89,92
4,5:13.0,,Defensive rebound by B. Griffin,89,92
4,5:05.0,,Personal foul by I. Mahinmi (drawn by B. Griffin),89,92
4,5:05.0,M. Morris enters the game for I. Mahinmi,,89,92
4,4:54.0,,R. Jackson makes 2-pt jump shot from 17 ft (assist by A. Drummond),89,94
4,4:35.0,M. Morris misses 3-pt jump shot from 25 ft,,89,94
4,4:35.0,,Defensive rebound by Team,89,94
4,4:08.0,,R. Jackson misses 2-pt hook shot from 6 ft,89,94
4,4:08.0,,Offensive rebound by Team,89,94
4,4:08.0,,Detroit full timeout,89,94
4,4:08.0,,B. Brown enters the game for S. Johnson,89,94
4,3:57.0,,Turnover by B. Griffin (traveling),89,94
4,3:36.0,J. Wall makes 2-pt layup from 2 ft,,91,94
4,3:24.0,,Personal foul by T. Ariza (drawn by B. Griffin),91,94
4,3:12.0,,B. Griffin makes 2-pt jump shot from 14 ft (assist by R. Jackson),91,96
4,3:04.0,B. Beal makes 2-pt dunk at rim,,93,96
4,2:57.0,,Personal foul by T. Ariza (drawn by R. Jackson),93,96
4,2:57.0,,R. Jackson makes free throw 1 of 2,93,97
4,2:57.0,,R. Jackson makes free throw 2 of 2,93,98
4,2:47.0,J. Wall misses 2-pt layup at rim,,93,98
4,2:44.0,,Defensive rebound by A. Drummond,93,98
4,2:32.0,,Personal foul by M. Morris (drawn by A. Drummond),93,98
4,2:32.0,,A. Drummond makes free throw 1 of 2,93,99
4,2:32.0,,A. Drummond makes free throw 2 of 2,93,100
4,2:22.0,M. Morris misses 3-pt jump shot from 23 ft,,93,100
4,2:17.0,,Defensive rebound by B. Brown,93,100
4,2:10.0,,Offensive foul by R. Jackson (drawn by T. Ariza),93,100
4,2:10.0,,Turnover by R. Jackson (offensive foul),93,100
4,2:10.0,,Violation by Team (delay of game),93,100
4,2:00.0,Turnover by J. Wall (bad pass; steal by B. Griffin),,93,100
4,1:47.0,,A. Drummond misses 2-pt hook shot from 4 ft,93,100
4,1:47.0,Defensive rebound by T. Ariza,,93,100
4,1:47.0,Personal foul by A. Drummond (drawn by T. Ariza),,93,100
4,1:39.0,T. Ariza misses 2-pt layup at rim,,93,100
4,1:36.0,,Defensive rebound by B. Brown,93,100
4,1:22.0,,Turnover by R. Bullock (bad pass; steal by T. Ariza),93,100
4,1:17.0,B. Beal misses 3-pt jump shot from 26 ft,,93,100
4,1:14.0,,Defensive rebound by A. Drummond,93,100
4,1:14.0,,Detroit full timeout,93,100
4,1:08.0,,Turnover by R. Jackson (lost ball; steal by B. Beal),93,100
4,1:05.0,B. Beal misses 3-pt jump shot from 26 ft,,93,100
4,1:04.0,,Defensive rebound by R. Bullock,93,100
