QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PHILADELPHIA_ACTION,LA CLIPPERS_SCORE,PHILADELPHIA_SCORE
1,3:03.0,,Defensive rebound by M. Muscala,18,23
1,2:59.0,,Personal foul by A. Bradley (drawn by B. Simmons),18,23
1,2:59.0,L. Williams enters the game for A. Bradley,,18,23
1,2:59.0,,J. Embiid enters the game for A. Johnson,18,23
1,2:59.0,,M. Fultz enters the game for B. Simmons,18,23
1,2:47.0,,J. Embiid makes 2-pt hook shot from 10 ft (assist by J. Redick),18,25
1,2:24.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,18,25
1,2:22.0,,Defensive rebound by M. Fultz,18,25
1,2:18.0,,Shooting foul by M. Scott (drawn by M. Fultz),18,25
1,2:18.0,,M. Fultz misses free throw 1 of 2,18,25
1,2:18.0,,Offensive rebound by Team,18,25
1,2:18.0,,M. Fultz makes free throw 2 of 2,18,26
1,2:09.0,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,,20,26
1,2:09.0,Shooting foul by M. Muscala (drawn by S. Gilgeous-Alexander),,20,26
1,2:09.0,M. Teodosić enters the game for T. Harris,,20,26
1,2:09.0,S. Gilgeous-Alexander makes free throw 1 of 1,,21,26
1,1:57.0,,M. Fultz misses 2-pt jump shot from 13 ft,21,26
1,1:55.0,Defensive rebound by Team,,21,26
1,1:44.0,L. Williams misses 3-pt jump shot from 27 ft,,21,26
1,1:43.0,Offensive rebound by Team,,21,26
1,1:35.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,23,26
1,1:22.0,,Offensive foul by M. Muscala (drawn by L. Williams),23,26
1,1:22.0,,Turnover by M. Muscala (offensive foul),23,26
1,1:11.0,L. Williams misses 2-pt layup from 2 ft (block by J. Embiid),,23,26
1,1:07.0,,Defensive rebound by J. Redick,23,26
1,1:05.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by M. Fultz),23,29
1,0:57.0,M. Harrell makes 2-pt layup at rim (assist by M. Teodosić),,25,29
1,0:50.0,,J. Embiid makes 2-pt jump shot from 4 ft,25,31
1,0:50.0,,Shooting foul by M. Harrell (drawn by J. Embiid),25,31
1,0:50.0,,J. Embiid makes free throw 1 of 1,25,32
1,0:36.0,Personal foul by J. Redick (drawn by L. Williams),,25,32
1,0:36.0,L. Williams makes free throw 1 of 2,,26,32
1,0:36.0,L. Williams makes free throw 2 of 2,,27,32
1,0:27.0,,J. Redick misses 3-pt jump shot from 26 ft,27,32
1,0:25.0,Defensive rebound by S. Gilgeous-Alexander,,27,32
1,0:21.0,L. Williams makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),,30,32
1,0:06.0,,Personal foul by S. Gilgeous-Alexander (drawn by J. Redick),30,32
1,0:06.0,,J. Redick makes free throw 1 of 2,30,33
1,0:06.0,,J. Redick makes free throw 2 of 2,30,34
1,0:01.0,M. Harrell misses 2-pt jump shot from 12 ft,,30,34
1,0:01.0,,Defensive rebound by J. Embiid,30,34
2,11:44.0,,J. Embiid makes 2-pt layup at rim,30,36
2,11:44.0,,Shooting foul by M. Harrell (drawn by J. Embiid),30,36
2,11:44.0,,J. Embiid makes free throw 1 of 1,30,37
2,11:25.0,M. Scott makes 3-pt jump shot from 23 ft (assist by M. Teodosić),,33,37
2,11:12.0,,J. Embiid misses 2-pt layup from 2 ft,33,37
2,11:10.0,,Offensive rebound by J. Embiid,33,37
2,11:08.0,,J. Embiid misses 2-pt hook shot from 3 ft,33,37
2,11:06.0,Defensive rebound by M. Scott,,33,37
2,10:52.0,M. Teodosić misses 3-pt jump shot from 27 ft,,33,37
2,10:48.0,,Defensive rebound by R. Covington,33,37
2,10:40.0,,M. Fultz makes 2-pt layup from 2 ft,33,39
2,10:25.0,M. Harrell makes 2-pt hook shot from 3 ft (assist by L. Williams),,35,39
2,10:11.0,,M. Fultz makes 2-pt layup from 2 ft,35,41
2,10:04.0,Turnover by M. Teodosić (traveling),,35,41
2,9:52.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Redick),35,41
2,9:52.0,,J. Redick makes free throw 1 of 2,35,42
2,9:52.0,,J. Redick makes free throw 2 of 2,35,43
2,9:42.0,L. Williams makes 2-pt jump shot from 10 ft (assist by M. Harrell),,37,43
2,9:31.0,,J. Embiid makes 2-pt jump shot from 16 ft,37,45
2,9:19.0,M. Teodosić misses 2-pt jump shot from 9 ft,,37,45
2,9:17.0,,Defensive rebound by J. Embiid,37,45
2,9:12.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),37,48
2,9:06.0,LA Clippers full timeout,,37,48
2,9:06.0,P. Beverley enters the game for M. Scott,,37,48
2,9:06.0,D. Gallinari enters the game for M. Teodosić,,37,48
2,9:06.0,,B. Simmons enters the game for M. Fultz,37,48
2,8:59.0,Shooting foul by D. Šarić (drawn by L. Williams),,37,48
2,8:59.0,L. Williams makes free throw 1 of 2,,38,48
2,8:59.0,L. Williams makes free throw 2 of 2,,39,48
2,8:49.0,,Offensive foul by J. Embiid (drawn by L. Williams),39,48
2,8:49.0,,Turnover by J. Embiid (offensive foul),39,48
2,8:38.0,Turnover by L. Williams (lost ball; steal by R. Covington),,39,48
2,8:33.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),39,50
2,8:10.0,D. Gallinari misses 2-pt jump shot from 9 ft (block by J. Embiid),,39,50
2,8:09.0,,Defensive rebound by J. Embiid,39,50
2,8:04.0,,Turnover by B. Simmons (bad pass; steal by M. Harrell),39,50
2,7:57.0,S. Gilgeous-Alexander misses 2-pt jump shot from 7 ft,,39,50
2,7:54.0,,Defensive rebound by R. Covington,39,50
2,7:43.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Redick),39,53
2,7:27.0,P. Beverley misses 3-pt jump shot from 24 ft,,39,53
2,7:25.0,,Defensive rebound by J. Embiid,39,53
2,7:07.0,,D. Šarić misses 2-pt layup from 4 ft,39,53
2,7:04.0,Defensive rebound by D. Gallinari,,39,53
2,7:02.0,Turnover by D. Gallinari (bad pass),,39,53
2,7:02.0,A. Bradley enters the game for S. Gilgeous-Alexander,,39,53
2,7:02.0,M. Gortat enters the game for M. Harrell,,39,53
2,7:02.0,T. Harris enters the game for L. Williams,,39,53
2,7:02.0,,L. Shamet enters the game for J. Redick,39,53
2,6:52.0,,L. Shamet makes 2-pt layup from 3 ft (assist by D. Šarić),39,55
2,6:52.0,,Shooting foul by M. Gortat (drawn by L. Shamet),39,55
2,6:52.0,,A. Johnson enters the game for J. Embiid,39,55
2,6:52.0,,L. Shamet misses free throw 1 of 1,39,55
2,6:52.0,Defensive rebound by M. Gortat,,39,55
2,6:35.0,A. Bradley misses 2-pt jump shot from 19 ft,,39,55
2,6:32.0,,Defensive rebound by D. Šarić,39,55
2,6:27.0,,B. Simmons makes 2-pt layup from 3 ft,39,57
2,6:12.0,P. Beverley makes 2-pt layup from 2 ft,,41,57
2,5:55.0,,D. Šarić misses 2-pt jump shot from 21 ft,41,57
2,5:53.0,Defensive rebound by T. Harris,,41,57
2,5:50.0,T. Harris makes 2-pt layup from 4 ft,,43,57
2,5:50.0,,Philadelphia full timeout,43,57
2,5:50.0,,M. Muscala enters the game for D. Šarić,43,57
2,5:33.0,,R. Covington makes 2-pt layup at rim (assist by B. Simmons),43,59
2,5:21.0,Personal foul by A. Johnson (drawn by D. Gallinari),,43,59
2,5:17.0,D. Gallinari misses 3-pt jump shot from 26 ft,,43,59
2,5:13.0,,Defensive rebound by R. Covington,43,59
2,5:07.0,,A. Johnson makes 2-pt layup from 3 ft (assist by B. Simmons),43,61
2,5:07.0,,Shooting foul by M. Gortat (drawn by A. Johnson),43,61
2,5:07.0,,A. Johnson makes free throw 1 of 1,43,62
2,4:58.0,Personal foul by L. Shamet (drawn by P. Beverley),,43,62
2,4:49.0,D. Gallinari misses 3-pt jump shot from 25 ft,,43,62
2,4:47.0,Offensive rebound by M. Gortat,,43,62
2,4:45.0,Turnover by M. Gortat (lost ball; steal by R. Covington),,43,62
2,4:31.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),43,65
2,4:18.0,M. Gortat misses 2-pt layup from 2 ft,,43,65
2,4:17.0,,Defensive rebound by R. Covington,43,65
2,4:09.0,,B. Simmons misses 2-pt jump shot from 12 ft,43,65
2,4:06.0,Defensive rebound by P. Beverley,,43,65
2,4:01.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),,46,65
2,3:47.0,,Turnover by B. Simmons (lost ball; steal by P. Beverley),46,65
2,3:43.0,Shooting foul by M. Muscala (drawn by D. Gallinari),,46,65
2,3:43.0,,J. Embiid enters the game for A. Johnson,46,65
2,3:43.0,D. Gallinari makes free throw 1 of 2,,47,65
2,3:43.0,,J. Redick enters the game for R. Covington,47,65
2,3:43.0,D. Gallinari makes free throw 2 of 2,,48,65
2,3:36.0,,Personal foul by M. Gortat (drawn by J. Redick),48,65
2,3:36.0,,J. Redick misses free throw 1 of 2,48,65
2,3:36.0,,Offensive rebound by Team,48,65
2,3:36.0,,J. Redick makes free throw 2 of 2,48,66
2,3:25.0,Personal foul by L. Shamet (drawn by P. Beverley),,48,66
2,3:25.0,P. Beverley misses free throw 1 of 2,,48,66
2,3:25.0,Offensive rebound by Team,,48,66
2,3:25.0,P. Beverley makes free throw 2 of 2,,49,66
2,3:18.0,Violation by Team (kicked ball),,49,66
2,3:07.0,,J. Embiid misses 2-pt hook shot from 8 ft,49,66
2,3:05.0,Defensive rebound by T. Harris,,49,66
2,3:02.0,Offensive foul by P. Beverley (drawn by L. Shamet),,49,66
2,3:02.0,Turnover by P. Beverley (offensive foul),,49,66
2,2:53.0,,J. Redick misses 2-pt jump shot from 21 ft,49,66
2,2:47.0,Defensive rebound by D. Gallinari,,49,66
2,2:47.0,Turnover by M. Gortat (offensive foul),,49,66
2,2:47.0,Offensive foul by M. Gortat (drawn by M. Muscala),,49,66
2,2:47.0,M. Harrell enters the game for M. Gortat,,49,66
2,2:34.0,,J. Embiid misses 2-pt jump shot from 4 ft (block by M. Harrell),49,66
2,2:34.0,,Offensive rebound by Team,49,66
2,2:34.0,L. Williams enters the game for P. Beverley,,49,66
2,2:27.0,,J. Embiid makes 2-pt dunk from 1 ft,49,68
2,2:27.0,,Shooting foul by M. Harrell (drawn by J. Embiid),49,68
2,2:27.0,,J. Embiid misses free throw 1 of 1,49,68
2,2:27.0,Defensive rebound by T. Harris,,49,68
2,2:10.0,T. Harris makes 2-pt jump shot from 8 ft,,51,68
2,1:58.0,,J. Redick misses 2-pt layup from 3 ft,51,68
2,1:58.0,Defensive rebound by Team,,51,68
2,1:58.0,,Loose ball foul by J. Embiid (drawn by M. Harrell),51,68
2,1:58.0,M. Harrell misses free throw 1 of 2,,51,68
2,1:58.0,Offensive rebound by Team,,51,68
2,1:58.0,,A. Johnson enters the game for J. Embiid,51,68
2,1:58.0,,D. Šarić enters the game for M. Muscala,51,68
2,1:58.0,M. Harrell makes free throw 2 of 2,,52,68
2,1:46.0,,Shooting foul by M. Harrell (drawn by J. Redick),52,68
2,1:46.0,,J. Redick makes free throw 1 of 2,52,69
2,1:46.0,B. Marjanović enters the game for M. Harrell,,52,69
2,1:46.0,,J. Redick makes free throw 2 of 2,52,70
2,1:38.0,Turnover by B. Marjanović (3 sec),,52,70
2,1:17.0,,B. Simmons makes 2-pt hook shot from 12 ft,52,72
2,1:07.0,Shooting foul by L. Shamet (drawn by B. Marjanović),,52,72
2,1:07.0,B. Marjanović misses free throw 1 of 2,,52,72
2,1:07.0,Offensive rebound by Team,,52,72
2,1:07.0,B. Marjanović makes free throw 2 of 2,,53,72
2,0:58.0,,Turnover by A. Johnson (bad pass; steal by B. Marjanović),53,72
2,0:50.0,B. Marjanović makes 2-pt layup at rim (assist by T. Harris),,55,72
2,0:30.0,,D. Šarić misses 2-pt layup from 2 ft,55,72
2,0:28.0,Defensive rebound by B. Marjanović,,55,72
2,0:11.0,L. Williams makes 2-pt jump shot from 8 ft,,57,72
2,0:01.0,,B. Simmons misses 2-pt hook shot from 5 ft,57,72
2,0:01.0,Defensive rebound by T. Harris,,57,72
3,11:36.0,,R. Covington misses 2-pt jump shot from 19 ft,57,72
3,11:32.0,Defensive rebound by D. Gallinari,,57,72
3,11:27.0,D. Gallinari misses 3-pt jump shot from 25 ft,,57,72
3,11:25.0,Offensive rebound by Team,,57,72
3,11:18.0,D. Gallinari makes 2-pt layup from 3 ft,,59,72
3,10:56.0,,J. Embiid misses 2-pt jump shot from 10 ft,59,72
3,10:54.0,Defensive rebound by Team,,59,72
3,10:54.0,,Loose ball foul by D. Šarić (drawn by D. Gallinari),59,72
3,10:41.0,B. Marjanović makes 2-pt dunk from 2 ft (assist by T. Harris),,61,72
3,10:41.0,,Philadelphia full timeout,61,72
3,10:29.0,,D. Šarić misses 2-pt hook shot from 2 ft (block by B. Marjanović),61,72
3,10:29.0,,Offensive rebound by Team,61,72
3,10:22.0,,J. Embiid misses 2-pt jump shot from 19 ft,61,72
3,10:19.0,Defensive rebound by P. Beverley,,61,72
3,10:09.0,Offensive foul by B. Marjanović (drawn by R. Covington),,61,72
3,10:09.0,Turnover by B. Marjanović (offensive foul),,61,72
3,9:57.0,,R. Covington makes 2-pt jump shot from 16 ft (assist by B. Simmons),61,74
3,9:37.0,T. Harris misses 2-pt layup from 2 ft,,61,74
3,9:37.0,,Defensive rebound by Team,61,74
3,9:15.0,,J. Redick misses 2-pt layup from 2 ft,61,74
3,9:12.0,Defensive rebound by B. Marjanović,,61,74
3,9:02.0,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Marjanović),,64,74
3,8:45.0,,Shooting foul by D. Gallinari (drawn by D. Šarić),64,74
3,8:45.0,,D. Šarić makes free throw 1 of 2,64,75
3,8:45.0,,D. Šarić makes free throw 2 of 2,64,76
3,8:35.0,B. Marjanović makes 2-pt layup from 1 ft (assist by P. Beverley),,66,76
3,8:19.0,,Turnover by D. Šarić (lost ball; steal by P. Beverley),66,76
3,8:14.0,D. Gallinari misses 2-pt jump shot from 15 ft,,66,76
3,8:11.0,,Defensive rebound by J. Embiid,66,76
3,8:01.0,,J. Embiid misses 3-pt jump shot from 25 ft,66,76
3,7:57.0,Defensive rebound by T. Harris,,66,76
3,7:45.0,A. Bradley misses 2-pt jump shot from 13 ft,,66,76
3,7:41.0,Offensive rebound by A. Bradley,,66,76
3,7:41.0,A. Bradley misses 2-pt layup from 1 ft,,66,76
3,7:38.0,Offensive rebound by B. Marjanović,,66,76
3,7:38.0,B. Marjanović makes 2-pt layup from 2 ft,,68,76
3,7:26.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by D. Šarić),68,78
3,7:06.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,71,78
3,6:55.0,,J. Embiid misses 3-pt jump shot from 25 ft,71,78
3,6:53.0,Defensive rebound by B. Marjanović,,71,78
3,6:45.0,T. Harris makes 2-pt jump shot from 8 ft,,73,78
3,6:29.0,,Turnover by J. Redick (lost ball; steal by A. Bradley),73,78
3,6:26.0,Shooting foul by B. Simmons (drawn by P. Beverley),,73,78
3,6:26.0,P. Beverley misses free throw 1 of 2,,73,78
3,6:26.0,Offensive rebound by Team,,73,78
3,6:26.0,,A. Johnson enters the game for J. Embiid,73,78
3,6:26.0,,M. Muscala enters the game for J. Redick,73,78
3,6:26.0,,L. Shamet enters the game for D. Šarić,73,78
3,6:26.0,P. Beverley makes free throw 2 of 2,,74,78
3,6:15.0,,L. Shamet misses 3-pt jump shot from 28 ft,74,78
3,6:12.0,Defensive rebound by D. Gallinari,,74,78
3,6:06.0,P. Beverley misses 3-pt jump shot from 26 ft,,74,78
3,6:03.0,,Defensive rebound by R. Covington,74,78
3,5:52.0,,A. Johnson misses 2-pt hook shot from 7 ft,74,78
3,5:49.0,Defensive rebound by B. Marjanović,,74,78
3,5:40.0,T. Harris makes 2-pt jump shot from 13 ft,,76,78
3,5:27.0,,Personal foul by P. Beverley (drawn by R. Covington),76,78
3,5:23.0,,Personal foul by P. Beverley (drawn by A. Johnson),76,78
3,5:23.0,,Turnover by (5 sec),76,78
3,5:11.0,Shooting foul by R. Covington (drawn by T. Harris),,76,78
3,5:11.0,T. Harris makes free throw 1 of 2,,77,78
3,5:11.0,M. Harrell enters the game for B. Marjanović,,77,78
3,5:11.0,T. Harris makes free throw 2 of 2,,78,78
3,4:53.0,,B. Simmons misses 2-pt jump shot from 11 ft,78,78
3,4:49.0,Defensive rebound by D. Gallinari,,78,78
3,4:39.0,M. Harrell misses 2-pt layup from 2 ft,,78,78
3,4:37.0,,Defensive rebound by A. Johnson,78,78
3,4:25.0,,L. Shamet makes 2-pt jump shot from 14 ft (assist by M. Muscala),78,80
3,4:04.0,T. Harris misses 3-pt jump shot from 26 ft,,78,80
3,4:04.0,Offensive rebound by P. Beverley,,78,80
3,3:58.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),,81,80
3,3:58.0,,Philadelphia full timeout,81,80
3,3:58.0,S. Gilgeous-Alexander enters the game for P. Beverley,,81,80
3,3:58.0,,J. Embiid enters the game for R. Covington,81,80
3,3:58.0,,M. Fultz enters the game for A. Johnson,81,80
3,3:58.0,,J. Redick enters the game for B. Simmons,81,80
3,3:44.0,,Turnover by J. Redick (bad pass),81,80
3,3:34.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,84,80
3,3:18.0,,Personal foul by M. Harrell (drawn by J. Embiid),84,80
3,3:18.0,B. Marjanović enters the game for D. Gallinari,,84,80
3,3:18.0,L. Williams enters the game for M. Harrell,,84,80
3,3:12.0,,Turnover by J. Redick (offensive foul),84,80
3,3:12.0,,Offensive foul by J. Redick (drawn by A. Bradley),84,80
3,3:03.0,Turnover by T. Harris (out of bounds lost ball),,84,80
3,2:56.0,,M. Fultz misses 2-pt jump shot from 3 ft (block by S. Gilgeous-Alexander),84,80
3,2:53.0,,Offensive rebound by M. Fultz,84,80
3,2:51.0,,M. Muscala misses 3-pt jump shot from 26 ft,84,80
3,2:47.0,,Offensive rebound by J. Embiid,84,80
3,2:46.0,,M. Muscala misses 2-pt layup from 3 ft (block by B. Marjanović),84,80
3,2:46.0,,Offensive rebound by Team,84,80
3,2:43.0,,J. Redick misses 3-pt jump shot from 24 ft,84,80
3,2:43.0,Defensive rebound by T. Harris,,84,80
3,2:35.0,L. Williams misses 2-pt jump shot from 17 ft,,84,80
3,2:32.0,,Defensive rebound by L. Shamet,84,80
3,2:25.0,,J. Embiid misses 2-pt layup from 3 ft,84,80
3,2:22.0,Defensive rebound by T. Harris,,84,80
3,2:20.0,Personal take foul by M. Fultz (drawn by T. Harris),,84,80
3,2:06.0,T. Harris misses 2-pt hook shot from 9 ft,,84,80
3,2:04.0,,Defensive rebound by J. Embiid,84,80
3,2:00.0,,M. Fultz makes 2-pt layup from 1 ft,84,82
3,2:00.0,Violation by Team (def goaltending),,84,82
3,1:47.0,L. Williams misses 2-pt jump shot from 17 ft,,84,82
3,1:44.0,,Defensive rebound by J. Embiid,84,82
3,1:41.0,,M. Muscala makes 3-pt jump shot from 28 ft (assist by M. Fultz),84,85
3,1:41.0,,Shooting foul by L. Williams (drawn by M. Muscala),84,85
3,1:41.0,LA Clippers full timeout,,84,85
3,1:41.0,,M. Muscala makes free throw 1 of 1,84,86
3,1:21.0,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,,84,86
3,1:18.0,,Defensive rebound by M. Fultz,84,86
3,1:14.0,,M. Fultz makes 2-pt layup from 2 ft,84,88
3,1:01.0,B. Marjanović misses 2-pt jump shot from 20 ft,,84,88
3,0:59.0,,Defensive rebound by J. Embiid,84,88
3,0:46.0,,J. Embiid misses 2-pt layup from 3 ft (block by B. Marjanović),84,88
3,0:42.0,Defensive rebound by S. Gilgeous-Alexander,,84,88
3,0:36.0,Shooting foul by M. Muscala (drawn by L. Williams),,84,88
3,0:36.0,L. Williams makes free throw 1 of 2,,85,88
3,0:36.0,P. Beverley enters the game for A. Bradley,,85,88
3,0:36.0,M. Scott enters the game for T. Harris,,85,88
3,0:36.0,L. Williams makes free throw 2 of 2,,86,88
3,0:26.0,,J. Embiid misses 2-pt jump shot from 12 ft,86,88
3,0:24.0,Defensive rebound by M. Scott,,86,88
3,0:05.0,Offensive foul by M. Scott (drawn by L. Shamet),,86,88
3,0:05.0,Turnover by M. Scott (offensive foul),,86,88
3,0:05.0,T. Wallace enters the game for L. Williams,,86,88
3,0:00.0,,M. Fultz makes 2-pt layup from 2 ft,86,90
4,12:00.0,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft,,88,90
4,11:35.0,,J. Embiid makes 2-pt jump shot from 15 ft (assist by M. Muscala),88,92
4,11:25.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft (block by J. Embiid),,88,92
4,11:25.0,Offensive rebound by Team,,88,92
4,11:23.0,Personal foul by M. Muscala (drawn by B. Marjanović),,88,92
4,11:19.0,Turnover by B. Marjanović (bad pass; steal by R. Covington),,88,92
4,11:15.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by R. Covington),88,95
4,10:56.0,L. Williams misses 2-pt jump shot from 7 ft (block by R. Covington),,88,95
4,10:52.0,Offensive rebound by L. Williams,,88,95
4,10:52.0,L. Williams misses 2-pt layup from 3 ft,,88,95
4,10:52.0,Offensive rebound by M. Scott,,88,95
4,10:43.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft (block by J. Embiid),,88,95
4,10:40.0,,Defensive rebound by M. Fultz,88,95
4,10:39.0,,Shooting foul by M. Scott (drawn by M. Fultz),88,95
4,10:39.0,,M. Fultz makes free throw 1 of 2,88,96
4,10:39.0,D. Gallinari enters the game for M. Scott,,88,96
4,10:39.0,,D. Šarić enters the game for M. Muscala,88,96
4,10:39.0,,M. Fultz misses free throw 2 of 2,88,96
4,10:37.0,Defensive rebound by B. Marjanović,,88,96
4,10:28.0,P. Beverley misses 3-pt jump shot from 25 ft,,88,96
4,10:24.0,,Defensive rebound by M. Fultz,88,96
4,10:20.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by M. Fultz),88,99
4,10:19.0,LA Clippers full timeout,,88,99
4,10:09.0,L. Williams makes 2-pt jump shot from 11 ft,,90,99
4,9:53.0,,Personal foul by B. Marjanović (drawn by J. Embiid),90,99
4,9:47.0,,J. Redick misses 2-pt jump shot from 22 ft,90,99
4,9:41.0,,Offensive rebound by J. Embiid,90,99
