QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
1,4:29.0,Defensive rebound by T. Ariza,,17,14
1,4:21.0,T. Satoranský misses 3-pt jump shot from 25 ft,,17,14
1,4:16.0,,Defensive rebound by A. Žižić,17,14
1,4:11.0,,Turnover by C. Osman (bad pass),17,14
1,4:11.0,O. Porter enters the game for J. Green,,17,14
1,4:11.0,,J. Clarkson enters the game for R. Hood,17,14
1,4:11.0,,L. Nance enters the game for A. Žižić,17,14
1,4:00.0,B. Beal makes 2-pt layup from 1 ft,,19,14
1,3:34.0,,L. Nance makes 2-pt jump shot from 21 ft (assist by C. Sexton),19,16
1,3:26.0,T. Ariza misses 3-pt jump shot from 27 ft,,19,16
1,3:23.0,,Defensive rebound by L. Nance,19,16
1,3:12.0,,C. Osman makes 2-pt jump shot from 12 ft (assist by A. Burks),19,18
1,3:05.0,Washington full timeout,,19,18
1,3:05.0,I. Mahinmi enters the game for T. Bryant,,19,18
1,3:05.0,C. Randle enters the game for T. Satoranský,,19,18
1,3:05.0,,M. Dellavedova enters the game for C. Sexton,19,18
1,2:54.0,B. Beal misses 2-pt jump shot from 17 ft,,19,18
1,2:51.0,,Defensive rebound by M. Dellavedova,19,18
1,2:43.0,,J. Clarkson makes 3-pt jump shot from 23 ft (assist by A. Burks),19,21
1,2:29.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by B. Beal),,22,21
1,2:08.0,,L. Nance misses 2-pt layup from 3 ft,22,21
1,2:08.0,,Offensive rebound by Team,22,21
1,2:06.0,,C. Osman misses 3-pt jump shot from 27 ft,22,21
1,2:05.0,Defensive rebound by Team,,22,21
1,1:44.0,I. Mahinmi misses 2-pt hook shot from 7 ft,,22,21
1,1:42.0,,Defensive rebound by L. Nance,22,21
1,1:34.0,,M. Dellavedova misses 2-pt jump shot from 5 ft,22,21
1,1:31.0,Defensive rebound by I. Mahinmi,,22,21
1,1:22.0,B. Beal makes 2-pt jump shot from 21 ft (assist by I. Mahinmi),,24,21
1,1:07.0,,C. Osman makes 2-pt layup from 1 ft (assist by A. Burks),24,23
1,0:57.0,O. Porter misses 3-pt jump shot from 25 ft,,24,23
1,0:53.0,,Defensive rebound by A. Burks,24,23
1,0:39.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),24,25
1,0:26.0,O. Porter misses 2-pt jump shot from 4 ft (block by L. Nance),,24,25
1,0:26.0,Offensive rebound by Team,,24,25
1,0:26.0,T. Brown enters the game for T. Ariza,,24,25
1,0:22.0,B. Beal misses 3-pt jump shot from 24 ft,,24,25
1,0:20.0,,Defensive rebound by L. Nance,24,25
1,0:04.0,,Personal foul by I. Mahinmi (drawn by L. Nance),24,25
1,0:00.0,,Shooting foul by O. Porter (drawn by M. Dellavedova),24,25
1,0:00.0,,M. Dellavedova misses free throw 1 of 2,24,25
1,0:00.0,,Offensive rebound by Team,24,25
1,0:00.0,,M. Dellavedova makes free throw 2 of 2,24,26
2,11:45.0,,J. Clarkson makes 2-pt jump shot from 6 ft,24,28
2,11:25.0,O. Porter misses 2-pt jump shot from 16 ft,,24,28
2,11:22.0,,Defensive rebound by R. Hood,24,28
2,11:12.0,,Turnover by J. Clarkson (bad pass),24,28
2,11:04.0,T. Satoranský makes 2-pt jump shot from 19 ft,,26,28
2,10:51.0,,Turnover by J. Clarkson (lost ball; steal by C. Randle),26,28
2,10:47.0,T. Brown makes 2-pt jump shot from 13 ft (assist by T. Satoranský),,28,28
2,10:47.0,Shooting foul by R. Hood (drawn by T. Satoranský),,28,28
2,10:47.0,T. Brown misses free throw 1 of 1,,28,28
2,10:44.0,,Defensive rebound by L. Nance,28,28
2,10:44.0,,Offensive foul by M. Dellavedova (drawn by C. Randle),28,28
2,10:44.0,,Turnover by M. Dellavedova (offensive foul),28,28
2,10:31.0,Personal foul by J. Clarkson (drawn by O. Porter),,28,28
2,10:26.0,T. Brown misses 3-pt jump shot from 26 ft,,28,28
2,10:23.0,,Defensive rebound by R. Hood,28,28
2,10:06.0,,L. Nance makes 2-pt layup from 1 ft (assist by R. Hood),28,30
2,9:52.0,T. Satoranský misses 2-pt jump shot from 19 ft,,28,30
2,9:49.0,,Defensive rebound by L. Nance,28,30
2,9:36.0,,Personal foul by C. Randle (drawn by L. Nance),28,30
2,9:36.0,,A. Žižić enters the game for L. Nance,28,30
2,9:29.0,,R. Hood misses 3-pt jump shot from 24 ft,28,30
2,9:26.0,Defensive rebound by T. Brown,,28,30
2,9:13.0,Turnover by C. Randle (bad pass; steal by R. Hood),,28,30
2,9:01.0,,D. Adel misses 2-pt layup from 1 ft,28,30
2,8:58.0,Defensive rebound by T. Brown,,28,30
2,8:53.0,Shooting foul by D. Adel (drawn by T. Brown),,28,30
2,8:53.0,T. Brown misses free throw 1 of 2,,28,30
2,8:53.0,Offensive rebound by Team,,28,30
2,8:53.0,T. Brown makes free throw 2 of 2,,29,30
2,8:38.0,,J. Clarkson misses 2-pt jump shot from 7 ft,29,30
2,8:31.0,,Offensive rebound by A. Žižić,29,30
2,8:31.0,,A. Žižić makes 2-pt dunk from 1 ft,29,32
2,8:20.0,C. Randle misses 3-pt jump shot from 24 ft,,29,32
2,8:18.0,,Defensive rebound by R. Hood,29,32
2,8:07.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),29,35
2,8:06.0,Washington full timeout,,29,35
2,8:06.0,B. Beal enters the game for T. Brown,,29,35
2,8:06.0,J. Green enters the game for C. Randle,,29,35
2,7:48.0,O. Porter makes 2-pt jump shot from 16 ft,,31,35
2,7:33.0,,Personal foul by I. Mahinmi (drawn by A. Žižić),31,35
2,7:20.0,,J. Clarkson misses 2-pt jump shot from 15 ft,31,35
2,7:18.0,Defensive rebound by J. Green,,31,35
2,7:12.0,O. Porter misses 3-pt jump shot from 24 ft,,31,35
2,7:10.0,,Defensive rebound by Team,31,35
2,7:10.0,,C. Sexton enters the game for M. Dellavedova,31,35
2,6:49.0,,Turnover by J. Clarkson (bad pass; steal by T. Satoranský),31,35
2,6:47.0,Shooting foul by R. Hood (drawn by T. Satoranský),,31,35
2,6:47.0,T. Satoranský misses free throw 1 of 2,,31,35
2,6:47.0,Offensive rebound by Team,,31,35
2,6:47.0,,A. Burks enters the game for J. Clarkson,31,35
2,6:47.0,,C. Osman enters the game for R. Hood,31,35
2,6:47.0,T. Satoranský makes free throw 2 of 2,,32,35
2,6:21.0,,C. Sexton misses 3-pt jump shot from 28 ft,32,35
2,6:18.0,Defensive rebound by O. Porter,,32,35
2,6:06.0,Turnover by T. Satoranský (bad pass),,32,35
2,6:06.0,T. Ariza enters the game for I. Mahinmi,,32,35
2,5:48.0,,Turnover by D. Adel (out of bounds lost ball),32,35
2,5:41.0,B. Beal misses 3-pt jump shot from 25 ft,,32,35
2,5:38.0,,Defensive rebound by C. Osman,32,35
2,5:15.0,,C. Sexton misses 2-pt jump shot from 13 ft,32,35
2,5:14.0,Defensive rebound by B. Beal,,32,35
2,5:04.0,T. Ariza misses 3-pt jump shot from 24 ft,,32,35
2,4:58.0,,Defensive rebound by A. Žižić,32,35
2,4:54.0,,Cleveland full timeout,32,35
2,4:42.0,,A. Žižić misses 2-pt hook shot from 7 ft,32,35
2,4:40.0,Defensive rebound by T. Ariza,,32,35
2,4:29.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,34,35
2,4:13.0,,C. Osman misses 2-pt jump shot from 16 ft,34,35
2,4:13.0,,Offensive rebound by Team,34,35
2,4:13.0,Loose ball foul by O. Porter (drawn by A. Žižić),,34,35
2,4:13.0,,J. Clarkson enters the game for D. Adel,34,35
2,4:13.0,,L. Nance enters the game for A. Žižić,34,35
2,4:00.0,,A. Burks misses 2-pt jump shot from 19 ft,34,35
2,3:57.0,Defensive rebound by T. Satoranský,,34,35
2,3:54.0,Personal foul by C. Osman (drawn by B. Beal),,34,35
2,3:54.0,B. Beal makes free throw 1 of 2,,35,35
2,3:54.0,B. Beal makes free throw 2 of 2,,36,35
2,3:47.0,,Shooting foul by T. Satoranský (drawn by C. Sexton),36,35
2,3:47.0,,C. Sexton makes free throw 1 of 2,36,36
2,3:47.0,,C. Sexton makes free throw 2 of 2,36,37
2,3:29.0,T. Ariza misses 3-pt jump shot from 25 ft,,36,37
2,3:27.0,,Defensive rebound by J. Clarkson,36,37
2,3:09.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),36,40
2,2:52.0,O. Porter makes 2-pt jump shot from 21 ft (assist by B. Beal),,38,40
2,2:35.0,,L. Nance makes 2-pt hook shot from 8 ft,38,42
2,2:24.0,B. Beal misses 3-pt jump shot from 25 ft,,38,42
2,2:22.0,,Defensive rebound by A. Burks,38,42
2,2:20.0,,C. Osman makes 2-pt layup from 1 ft (assist by A. Burks),38,44
2,2:20.0,,Shooting foul by J. Green (drawn by C. Osman),38,44
2,2:20.0,T. Bryant enters the game for O. Porter,,38,44
2,2:20.0,,C. Osman misses free throw 1 of 1,38,44
2,2:17.0,Defensive rebound by T. Ariza,,38,44
2,1:58.0,J. Green makes 3-pt jump shot from 24 ft (assist by B. Beal),,41,44
2,1:35.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by A. Burks),41,47
2,1:23.0,T. Bryant makes 3-pt jump shot from 29 ft (assist by T. Ariza),,44,47
2,1:09.0,,C. Sexton makes 2-pt jump shot at rim,44,49
2,1:02.0,T. Satoranský misses 2-pt layup from 3 ft,,44,49
2,1:02.0,,Defensive rebound by L. Nance,44,49
2,0:56.0,,C. Sexton makes 2-pt jump shot from 13 ft (assist by L. Nance),44,51
2,0:42.0,T. Bryant misses 2-pt layup from 7 ft,,44,51
2,0:40.0,,Defensive rebound by J. Clarkson,44,51
2,0:35.0,,J. Clarkson misses 2-pt jump shot from 11 ft,44,51
2,0:33.0,Defensive rebound by B. Beal,,44,51
2,0:29.0,B. Beal misses 3-pt jump shot from 26 ft,,44,51
2,0:23.0,,Defensive rebound by J. Clarkson,44,51
2,0:08.0,,J. Clarkson makes 2-pt layup at rim,44,53
2,0:01.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,47,53
3,11:39.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by A. Burks),47,56
3,11:24.0,B. Beal makes 2-pt jump shot from 20 ft (assist by T. Bryant),,49,56
3,10:58.0,,Personal foul by T. Bryant (drawn by A. Burks),49,56
3,10:46.0,,A. Burks misses 3-pt jump shot from 25 ft,49,56
3,10:44.0,Defensive rebound by T. Bryant,,49,56
3,10:28.0,J. Green misses 3-pt jump shot from 24 ft,,49,56
3,10:26.0,,Defensive rebound by A. Žižić,49,56
3,10:08.0,,A. Burks makes 2-pt jump shot from 8 ft (assist by C. Osman),49,58
3,9:57.0,T. Satoranský misses 2-pt jump shot from 10 ft,,49,58
3,9:55.0,,Defensive rebound by A. Žižić,49,58
3,9:38.0,,C. Osman makes 3-pt jump shot from 26 ft,49,61
3,9:35.0,Washington full timeout,,49,61
3,9:22.0,J. Green makes 2-pt jump shot from 8 ft (assist by B. Beal),,51,61
3,9:09.0,,Turnover by C. Sexton (bad pass; steal by J. Green),51,61
3,9:06.0,Turnover by B. Beal (bad pass),,51,61
3,8:55.0,,C. Sexton misses 2-pt jump shot from 11 ft,51,61
3,8:52.0,Defensive rebound by J. Green,,51,61
3,8:48.0,Personal foul by R. Hood (drawn by T. Bryant),,51,61
3,8:42.0,Shooting foul by A. Burks (drawn by B. Beal),,51,61
3,8:42.0,B. Beal misses free throw 1 of 2,,51,61
3,8:42.0,Offensive rebound by Team,,51,61
3,8:42.0,B. Beal makes free throw 2 of 2,,52,61
3,8:33.0,,Turnover by A. Burks (bad pass),52,61
3,8:21.0,Personal foul by C. Sexton (drawn by T. Satoranský),,52,61
3,8:09.0,T. Ariza misses 2-pt jump shot from 6 ft,,52,61
3,8:07.0,,Defensive rebound by A. Žižić,52,61
3,7:52.0,,A. Žižić makes 2-pt dunk from 1 ft (assist by A. Burks),52,63
3,7:45.0,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Ariza),,55,63
3,7:28.0,,C. Osman makes 2-pt jump shot from 19 ft (assist by R. Hood),55,65
3,7:18.0,T. Bryant misses 2-pt layup from 1 ft,,55,65
3,7:15.0,,Defensive rebound by C. Osman,55,65
3,7:06.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by A. Burks),55,68
3,6:41.0,T. Satoranský misses 2-pt jump shot from 6 ft,,55,68
3,6:39.0,,Defensive rebound by A. Žižić,55,68
3,6:31.0,,A. Burks makes 2-pt layup at rim (assist by A. Žižić),55,70
3,6:30.0,Washington full timeout,,55,70
3,6:30.0,O. Porter enters the game for T. Bryant,,55,70
3,6:20.0,O. Porter makes 2-pt jump shot from 14 ft (assist by T. Satoranský),,57,70
3,6:05.0,,Personal foul by T. Ariza (drawn by C. Osman),57,70
3,5:51.0,,C. Sexton misses 2-pt jump shot from 21 ft,57,70
3,5:49.0,Defensive rebound by T. Satoranský,,57,70
3,5:43.0,B. Beal misses 3-pt jump shot from 24 ft,,57,70
3,5:41.0,,Defensive rebound by A. Žižić,57,70
3,5:26.0,,Shooting foul by T. Ariza (drawn by C. Osman),57,70
3,5:26.0,,C. Osman misses free throw 1 of 3,57,70
3,5:26.0,,Offensive rebound by Team,57,70
3,5:26.0,,C. Osman makes free throw 2 of 3,57,71
3,5:26.0,,J. Clarkson enters the game for R. Hood,57,71
3,5:26.0,,C. Osman misses free throw 3 of 3,57,71
3,5:23.0,,Offensive rebound by A. Burks,57,71
3,5:21.0,,A. Burks makes 3-pt jump shot from 24 ft,57,74
3,5:12.0,T. Satoranský makes 2-pt dunk from 1 ft (assist by T. Ariza),,59,74
3,4:51.0,,C. Sexton misses 3-pt jump shot from 25 ft,59,74
3,4:49.0,Defensive rebound by T. Satoranský,,59,74
3,4:39.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Ariza),,61,74
3,4:38.0,,Cleveland full timeout,61,74
3,4:38.0,,L. Nance enters the game for A. Žižić,61,74
3,4:22.0,,J. Clarkson makes 2-pt layup from 2 ft,61,76
3,4:04.0,T. Ariza misses 3-pt jump shot from 33 ft,,61,76
3,4:01.0,,Defensive rebound by J. Clarkson,61,76
3,3:45.0,,L. Nance misses 2-pt hook shot from 11 ft,61,76
3,3:43.0,Defensive rebound by B. Beal,,61,76
3,3:30.0,B. Beal misses 2-pt jump shot from 21 ft,,61,76
3,3:28.0,,Defensive rebound by A. Burks,61,76
3,3:10.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by C. Osman),61,79
3,2:54.0,Personal foul by C. Sexton (drawn by B. Beal),,61,79
3,2:54.0,S. Dekker enters the game for J. Green,,61,79
3,2:54.0,,M. Dellavedova enters the game for C. Sexton,61,79
3,2:34.0,O. Porter misses 3-pt jump shot from 26 ft,,61,79
3,2:31.0,,Defensive rebound by L. Nance,61,79
3,2:14.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by C. Osman),61,82
3,2:04.0,S. Dekker makes 2-pt layup from 1 ft (assist by T. Satoranský),,63,82
3,1:54.0,,Personal foul by O. Porter (drawn by L. Nance),63,82
3,1:54.0,I. Mahinmi enters the game for T. Ariza,,63,82
3,1:54.0,C. Randle enters the game for T. Satoranský,,63,82
3,1:44.0,,C. Osman makes 2-pt layup from 1 ft,63,84
3,1:28.0,Shooting foul by L. Nance (drawn by B. Beal),,63,84
3,1:28.0,B. Beal makes free throw 1 of 2,,64,84
3,1:28.0,B. Beal makes free throw 2 of 2,,65,84
3,1:15.0,,L. Nance makes 2-pt dunk from 2 ft (assist by C. Osman),65,86
3,0:53.0,O. Porter makes 2-pt layup at rim (assist by B. Beal),,67,86
3,0:38.0,,A. Burks misses 3-pt jump shot from 25 ft,67,86
3,0:36.0,Defensive rebound by C. Randle,,67,86
3,0:31.0,C. Randle misses 3-pt jump shot from 26 ft,,67,86
3,0:27.0,,Defensive rebound by J. Clarkson,67,86
3,0:08.0,,L. Nance makes 2-pt dunk from 2 ft (assist by J. Clarkson),67,88
3,0:02.0,B. Beal makes 2-pt layup at rim,,69,88
4,11:42.0,S. Dekker misses 3-pt jump shot from 25 ft,,69,88
4,11:39.0,,Defensive rebound by L. Nance,69,88
4,11:23.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Osman),69,91
4,11:16.0,Personal foul by M. Dellavedova (drawn by B. Beal),,69,91
4,11:16.0,,D. Adel enters the game for C. Osman,69,91
4,11:05.0,G. Payton misses 3-pt jump shot from 24 ft,,69,91
4,11:02.0,,Defensive rebound by L. Nance,69,91
4,10:44.0,,J. Clarkson makes 3-pt jump shot from 27 ft,69,94
4,10:34.0,O. Porter makes 3-pt jump shot from 26 ft (assist by B. Beal),,72,94
4,10:14.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,72,94
4,10:12.0,Defensive rebound by S. Dekker,,72,94
4,10:03.0,Personal foul by M. Dellavedova (drawn by I. Mahinmi),,72,94
4,9:57.0,G. Payton makes 2-pt layup from 1 ft (assist by O. Porter),,74,94
4,9:44.0,,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by L. Nance),74,97
4,9:28.0,B. Beal makes 2-pt jump shot from 10 ft,,76,97
4,9:13.0,,J. Clarkson misses 3-pt jump shot from 25 ft,76,97
4,9:11.0,,Offensive rebound by D. Adel,76,97
4,9:08.0,,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by D. Adel),76,100
4,8:54.0,B. Beal makes 3-pt jump shot from 27 ft (assist by O. Porter),,79,100
4,8:38.0,,Shooting foul by I. Mahinmi (drawn by J. Clarkson),79,100
4,8:38.0,,J. Clarkson makes free throw 1 of 2,79,101
4,8:38.0,,J. Clarkson misses free throw 2 of 2,79,101
4,8:35.0,Defensive rebound by I. Mahinmi,,79,101
4,8:28.0,Shooting foul by D. Adel (drawn by S. Dekker),,79,101
4,8:28.0,S. Dekker misses free throw 1 of 2,,79,101
4,8:28.0,Offensive rebound by Team,,79,101
4,8:28.0,S. Dekker makes free throw 2 of 2,,80,101
4,8:15.0,,Personal foul by I. Mahinmi (drawn by M. Dellavedova),80,101
4,8:15.0,J. McRae enters the game for B. Beal,,80,101
4,8:06.0,,Shooting foul by I. Mahinmi (drawn by L. Nance),80,101
4,8:06.0,,L. Nance makes free throw 1 of 2,80,102
4,8:06.0,,L. Nance misses free throw 2 of 2,80,102
4,8:03.0,Defensive rebound by O. Porter,,80,102
4,7:49.0,O. Porter misses 3-pt jump shot from 25 ft,,80,102
4,7:47.0,Offensive rebound by S. Dekker,,80,102
4,7:41.0,Turnover by J. McRae (step out of bounds),,80,102
4,7:20.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,80,102
4,7:15.0,Defensive rebound by O. Porter,,80,102
4,7:10.0,O. Porter misses 2-pt jump shot from 12 ft,,80,102
4,7:07.0,,Defensive rebound by L. Nance,80,102
4,6:58.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by R. Hood),80,105
4,6:51.0,S. Dekker makes 2-pt dunk at rim (assist by G. Payton),,82,105
4,6:51.0,,Cleveland full timeout,82,105
4,6:51.0,T. Brown enters the game for O. Porter,,82,105
4,6:51.0,,A. Žižić enters the game for L. Nance,82,105
4,6:36.0,,R. Hood misses 2-pt jump shot from 16 ft,82,105
4,6:36.0,,Offensive rebound by Team,82,105
4,6:36.0,Loose ball foul by I. Mahinmi (drawn by A. Žižić),,82,105
4,6:36.0,T. Bryant enters the game for I. Mahinmi,,82,105
4,6:27.0,,D. Adel misses 3-pt jump shot from 29 ft,82,105
4,6:25.0,Defensive rebound by T. Bryant,,82,105
4,6:16.0,S. Dekker makes 2-pt layup from 1 ft,,84,105
4,5:51.0,,Turnover by A. Žižić (bad pass; steal by G. Payton),84,105
4,5:45.0,G. Payton makes 2-pt layup at rim,,86,105
4,5:31.0,,A. Žižić makes 2-pt layup from 1 ft (assist by M. Dellavedova),86,107
4,5:20.0,T. Bryant misses 3-pt jump shot from 25 ft,,86,107
4,5:18.0,,Defensive rebound by M. Dellavedova,86,107
4,5:08.0,,Turnover by M. Dellavedova (bad pass; steal by J. McRae),86,107
4,5:03.0,J. McRae makes 2-pt jump shot from 6 ft,,88,107
4,5:03.0,,Cleveland full timeout,88,107
4,5:03.0,,C. Sexton enters the game for M. Dellavedova,88,107
4,4:47.0,,C. Sexton misses 3-pt jump shot from 25 ft,88,107
4,4:44.0,,Offensive rebound by R. Hood,88,107
4,4:37.0,,C. Sexton misses 2-pt layup from 4 ft (block by G. Payton),88,107
4,4:35.0,,Offensive rebound by Team,88,107
4,4:33.0,,J. Clarkson misses 3-pt jump shot from 23 ft,88,107
4,4:31.0,,Offensive rebound by Team,88,107
4,4:31.0,,Turnover by Team (shot clock),88,107
4,4:23.0,Shooting foul by A. Žižić (drawn by T. Brown),,88,107
4,4:23.0,T. Brown misses free throw 1 of 2,,88,107
4,4:23.0,Offensive rebound by Team,,88,107
4,4:23.0,,A. Burks enters the game for D. Adel,88,107
4,4:23.0,,C. Osman enters the game for J. Clarkson,88,107
4,4:23.0,T. Brown makes free throw 2 of 2,,89,107
4,4:07.0,,Turnover by A. Žižić (bad pass),89,107
4,3:56.0,Shooting foul by A. Burks (drawn by T. Bryant),,89,107
4,3:56.0,T. Bryant makes free throw 1 of 2,,90,107
4,3:56.0,,L. Nance enters the game for A. Žižić,90,107
4,3:56.0,T. Bryant makes free throw 2 of 2,,91,107
4,3:37.0,,R. Hood makes 2-pt jump shot from 9 ft,91,109
4,3:25.0,G. Payton makes 3-pt jump shot from 24 ft (assist by J. McRae),,94,109
4,3:01.0,,Turnover by C. Osman (bad pass; steal by J. McRae),94,109
4,2:59.0,J. McRae makes 2-pt layup at rim,,96,109
4,2:59.0,Shooting foul by C. Osman (drawn by J. McRae),,96,109
4,2:59.0,J. McRae makes free throw 1 of 1,,97,109
4,2:42.0,,C. Osman misses 3-pt jump shot from 27 ft,97,109
4,2:37.0,Defensive rebound by J. McRae,,97,109
4,2:35.0,G. Payton makes 2-pt layup at rim (assist by S. Dekker),,99,109
4,2:35.0,,Cleveland full timeout,99,109
4,2:35.0,,J. Clarkson enters the game for R. Hood,99,109
4,2:14.0,,J. Clarkson makes 2-pt jump shot from 10 ft (assist by A. Burks),99,111
4,2:04.0,G. Payton makes 2-pt dunk from 1 ft (assist by T. Bryant),,101,111
4,1:52.0,,Shooting foul by T. Bryant (drawn by C. Osman),101,111
4,1:52.0,,C. Osman misses free throw 1 of 2,101,111
4,1:52.0,,Offensive rebound by Team,101,111
4,1:52.0,,C. Osman makes free throw 2 of 2,101,112
4,1:42.0,J. McRae makes 2-pt jump shot from 12 ft (assist by T. Bryant),,103,112
4,1:18.0,,C. Osman misses 3-pt jump shot from 23 ft,103,112
4,1:16.0,,Offensive rebound by C. Sexton,103,112
4,1:10.0,,Turnover by C. Sexton (lost ball; steal by G. Payton),103,112
4,1:05.0,G. Payton misses 2-pt layup from 1 ft,,103,112
4,1:03.0,,Defensive rebound by L. Nance,103,112
4,0:55.0,,Personal foul by G. Payton (drawn by A. Burks),103,112
4,0:55.0,,A. Burks makes free throw 1 of 2,103,113
4,0:55.0,,A. Burks misses free throw 2 of 2,103,113
4,0:52.0,Defensive rebound by S. Dekker,,103,113
4,0:46.0,S. Dekker misses 2-pt layup from 2 ft,,103,113
4,0:44.0,Offensive rebound by G. Payton,,103,113
4,0:43.0,G. Payton misses 2-pt layup from 1 ft,,103,113
4,0:43.0,,Defensive rebound by C. Sexton,103,113
4,0:42.0,,Personal foul by T. Brown (drawn by C. Sexton),103,113
4,0:42.0,,C. Sexton makes free throw 1 of 2,103,114
4,0:42.0,,C. Sexton makes free throw 2 of 2,103,115
