QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
2,11:40.0,J. Embiid makes 2-pt jump shot from 13 ft,,41,20
2,11:24.0,,Turnover by J. Hart (bad pass; steal by J. Butler),41,20
2,11:19.0,Shooting foul by L. Stephenson (drawn by J. Embiid),,41,20
2,11:19.0,J. Embiid makes free throw 1 of 2,,42,20
2,11:19.0,J. Embiid makes free throw 2 of 2,,43,20
2,11:12.0,,L. Stephenson misses 3-pt jump shot from 26 ft,43,20
2,11:08.0,Defensive rebound by J. Embiid,,43,20
2,10:51.0,Turnover by J. Embiid (bad pass; steal by S. Mykhailiuk),,43,20
2,10:44.0,,L. Stephenson misses 2-pt layup from 2 ft,43,20
2,10:42.0,Defensive rebound by J. Butler,,43,20
2,10:38.0,W. Chandler misses 3-pt jump shot from 23 ft,,43,20
2,10:33.0,,Defensive rebound by L. Stephenson,43,20
2,10:23.0,,Turnover by B. Ingram (bad pass; steal by W. Chandler),43,20
2,10:12.0,J. Embiid misses 3-pt jump shot from 25 ft,,43,20
2,10:09.0,,Defensive rebound by L. Stephenson,43,20
2,10:09.0,T. McConnell enters the game for J. Butler,,43,20
2,10:09.0,L. Shamet enters the game for J. Redick,,43,20
2,10:09.0,,J. McGee enters the game for T. Chandler,43,20
2,10:09.0,,R. Rondo enters the game for L. Stephenson,43,20
2,9:45.0,,J. McGee misses 2-pt layup from 2 ft,43,20
2,9:41.0,,Offensive rebound by J. McGee,43,20
2,9:41.0,,J. McGee makes 2-pt layup from 1 ft,43,22
2,9:22.0,J. Embiid misses 2-pt layup from 6 ft,,43,22
2,9:16.0,Offensive rebound by J. Embiid,,43,22
2,9:16.0,J. Embiid makes 2-pt layup at rim,,45,22
2,9:07.0,,J. McGee misses 2-pt jump shot from 15 ft,45,22
2,9:04.0,Defensive rebound by T. McConnell,,45,22
2,8:52.0,Turnover by W. Chandler (lost ball; steal by R. Rondo),,45,22
2,8:44.0,,J. Hart makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),45,24
2,8:32.0,L. Shamet misses 2-pt jump shot from 22 ft,,45,24
2,8:28.0,,Defensive rebound by S. Mykhailiuk,45,24
2,8:21.0,,R. Rondo misses 2-pt layup from 3 ft,45,24
2,8:17.0,Defensive rebound by J. Embiid,,45,24
2,8:14.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by J. Embiid),,48,24
2,7:59.0,,B. Ingram makes 2-pt jump shot from 12 ft,48,26
2,7:58.0,Philadelphia full timeout,,48,26
2,7:58.0,C. Brewer enters the game for W. Chandler,,48,26
2,7:58.0,B. Simmons enters the game for J. Embiid,,48,26
2,7:44.0,B. Simmons misses 2-pt layup from 4 ft,,48,26
2,7:41.0,Offensive rebound by B. Simmons,,48,26
2,7:40.0,M. Muscala misses 3-pt jump shot from 23 ft,,48,26
2,7:37.0,,Defensive rebound by J. McGee,48,26
2,7:33.0,,J. Hart makes 2-pt layup from 1 ft (assist by R. Rondo),48,28
2,7:18.0,L. Shamet misses 3-pt jump shot from 26 ft,,48,28
2,7:12.0,Offensive rebound by T. McConnell,,48,28
2,7:12.0,Personal foul by S. Mykhailiuk (drawn by T. McConnell),,48,28
2,7:12.0,J. Redick enters the game for L. Shamet,,48,28
2,7:04.0,M. Muscala misses 2-pt jump shot from 22 ft,,48,28
2,6:59.0,,Defensive rebound by R. Rondo,48,28
2,6:54.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by R. Rondo),48,30
2,6:33.0,M. Muscala misses 2-pt layup from 2 ft (block by J. Hart),,48,30
2,6:32.0,Offensive rebound by Team,,48,30
2,6:26.0,T. McConnell misses 3-pt jump shot from 27 ft,,48,30
2,6:24.0,,Defensive rebound by S. Mykhailiuk,48,30
2,6:23.0,,B. Ingram makes 2-pt dunk at rim (assist by S. Mykhailiuk),48,32
2,6:07.0,T. McConnell misses 2-pt jump shot from 11 ft,,48,32
2,6:04.0,,Defensive rebound by R. Rondo,48,32
2,6:00.0,,S. Mykhailiuk makes 2-pt dunk from 1 ft (assist by R. Rondo),48,34
2,5:38.0,J. Redick misses 3-pt jump shot from 28 ft,,48,34
2,5:34.0,,Defensive rebound by J. McGee,48,34
2,5:33.0,,Turnover by J. McGee (bad pass; steal by J. Redick),48,34
2,5:28.0,J. Redick misses 2-pt jump shot from 11 ft,,48,34
2,5:27.0,,Defensive rebound by R. Rondo,48,34
2,5:25.0,,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by R. Rondo),48,37
2,5:09.0,J. Redick misses 2-pt jump shot from 22 ft,,48,37
2,5:06.0,Offensive rebound by B. Simmons,,48,37
2,5:05.0,B. Simmons misses 2-pt layup from 1 ft (block by J. Hart),,48,37
2,5:05.0,,Defensive rebound by J. Hart,48,37
2,4:59.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by R. Rondo),48,39
2,4:59.0,,Shooting foul by C. Brewer (drawn by B. Ingram),48,39
2,4:59.0,Philadelphia full timeout,,48,39
2,4:59.0,W. Chandler enters the game for T. McConnell,,48,39
2,4:59.0,J. Embiid enters the game for M. Muscala,,48,39
2,4:59.0,,B. Ingram makes free throw 1 of 1,48,40
2,4:38.0,Turnover by B. Simmons (bad pass; steal by J. McGee),,48,40
2,4:32.0,,Turnover by J. Hart (bad pass; steal by W. Chandler),48,40
2,4:25.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by B. Simmons),,51,40
2,4:19.0,,Turnover by R. Rondo (lost ball; steal by C. Brewer),51,40
2,4:14.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by C. Brewer),,54,40
2,3:59.0,,S. Mykhailiuk misses 2-pt jump shot from 18 ft,54,40
2,3:52.0,,Offensive rebound by J. McGee,54,40
2,3:52.0,,J. McGee misses 2-pt layup from 1 ft,54,40
2,3:51.0,Defensive rebound by J. Embiid,,54,40
2,3:37.0,B. Simmons misses 2-pt hook shot from 8 ft,,54,40
2,3:35.0,,Defensive rebound by J. McGee,54,40
2,3:28.0,,R. Rondo makes 3-pt jump shot from 26 ft,54,43
2,3:11.0,Personal foul by J. Hart (drawn by B. Simmons),,54,43
2,3:11.0,J. Butler enters the game for C. Brewer,,54,43
2,3:11.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,54,43
2,3:09.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Butler),,57,43
2,2:52.0,,J. McGee makes 2-pt layup from 1 ft (assist by B. Ingram),57,45
2,2:40.0,W. Chandler misses 3-pt jump shot from 27 ft,,57,45
2,2:37.0,,Defensive rebound by J. McGee,57,45
2,2:26.0,,Turnover by R. Rondo (bad pass),57,45
2,2:11.0,Turnover by J. Butler (out of bounds lost ball),,57,45
2,1:49.0,,B. Ingram makes 2-pt jump shot from 9 ft,57,47
2,1:35.0,W. Chandler misses 3-pt jump shot from 23 ft,,57,47
2,1:32.0,,Defensive rebound by B. Ingram,57,47
2,1:25.0,,J. Hart misses 3-pt jump shot from 24 ft,57,47
2,1:20.0,Defensive rebound by B. Simmons,,57,47
2,1:17.0,J. Embiid misses 3-pt jump shot from 30 ft,,57,47
2,1:13.0,Offensive rebound by J. Butler,,57,47
2,1:03.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),,60,47
2,0:47.0,,Personal foul by J. Redick (drawn by K. Caldwell-Pope),60,47
2,0:46.0,,J. McGee makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),60,49
2,0:37.0,Shooting foul by J. McGee (drawn by J. Embiid),,60,49
2,0:37.0,J. Embiid makes free throw 1 of 2,,61,49
2,0:37.0,J. Embiid makes free throw 2 of 2,,62,49
2,0:29.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by R. Rondo),62,51
2,0:09.0,Turnover by J. Embiid (lost ball; steal by K. Caldwell-Pope),,62,51
2,0:06.0,,B. Ingram makes 2-pt dunk from 1 ft,62,53
2,0:05.0,Personal foul by J. Hart (drawn by J. Butler),,62,53
2,0:05.0,J. Butler makes free throw 1 of 2,,63,53
2,0:05.0,,S. Mykhailiuk enters the game for J. Hart,63,53
2,0:05.0,J. Butler makes free throw 2 of 2,,64,53
2,0:00.0,,R. Rondo misses 2-pt layup from 1 ft,64,53
2,0:00.0,,Offensive rebound by Team,64,53
3,11:45.0,Shooting foul by I. Zubac (drawn by J. Embiid),,64,53
3,11:45.0,J. Embiid makes free throw 1 of 2,,65,53
3,11:45.0,J. Embiid makes free throw 2 of 2,,66,53
3,11:30.0,,M. Beasley makes 2-pt hook shot from 4 ft,66,55
3,11:13.0,W. Chandler misses 3-pt jump shot from 26 ft,,66,55
3,11:09.0,,Defensive rebound by K. Caldwell-Pope,66,55
3,11:01.0,,K. Caldwell-Pope makes 2-pt jump shot from 10 ft,66,57
3,10:46.0,J. Redick makes 2-pt jump shot from 7 ft (assist by J. Embiid),,68,57
3,10:24.0,,M. Beasley misses 2-pt jump shot from 10 ft (block by W. Chandler),68,57
3,10:21.0,,Offensive rebound by I. Zubac,68,57
3,10:20.0,,B. Ingram makes 2-pt jump shot from 16 ft (assist by I. Zubac),68,59
3,10:05.0,B. Simmons makes 2-pt hook shot from 3 ft,,70,59
3,9:53.0,,I. Zubac misses 2-pt hook shot from 3 ft,70,59
3,9:50.0,Defensive rebound by J. Embiid,,70,59
3,9:46.0,B. Simmons makes 2-pt hook shot from 5 ft (assist by W. Chandler),,72,59
3,9:22.0,,B. Ingram makes 2-pt jump shot from 17 ft,72,61
3,9:04.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,75,61
3,8:52.0,,Flagrant foul type 1 by J. Embiid (drawn by I. Zubac),75,61
3,8:52.0,,I. Zubac misses flagrant free throw 1 of 2,75,61
3,8:52.0,,Offensive rebound by Team,75,61
3,8:52.0,,I. Zubac makes flagrant free throw 2 of 2,75,62
3,8:41.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by R. Rondo),75,64
3,8:22.0,Offensive foul by J. Embiid (drawn by B. Ingram),,75,64
3,8:22.0,Turnover by J. Embiid (offensive foul),,75,64
3,7:57.0,,R. Rondo misses 2-pt jump shot from 5 ft,75,64
3,7:53.0,Defensive rebound by J. Embiid,,75,64
3,7:48.0,J. Butler makes 3-pt jump shot from 22 ft (assist by J. Embiid),,78,64
3,7:37.0,,Turnover by R. Rondo (bad pass),78,64
3,7:25.0,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),,80,64
3,7:11.0,,B. Ingram makes 2-pt jump shot from 18 ft (assist by I. Zubac),80,66
3,7:00.0,Personal foul by M. Beasley (drawn by B. Simmons),,80,66
3,7:00.0,C. Brewer enters the game for J. Butler,,80,66
3,7:00.0,T. McConnell enters the game for W. Chandler,,80,66
3,7:00.0,M. Muscala enters the game for J. Embiid,,80,66
3,7:00.0,L. Shamet enters the game for J. Redick,,80,66
3,7:00.0,,J. Hart enters the game for M. Beasley,80,66
3,6:45.0,B. Simmons misses 2-pt jump shot from 14 ft,,80,66
3,6:41.0,,Defensive rebound by B. Ingram,80,66
3,6:30.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by K. Caldwell-Pope),80,68
3,6:30.0,Philadelphia full timeout,,80,68
3,6:21.0,T. McConnell misses 2-pt jump shot from 16 ft,,80,68
3,6:19.0,,Defensive rebound by R. Rondo,80,68
3,6:06.0,,Shooting foul by M. Muscala (drawn by J. Hart),80,68
3,6:06.0,,J. Hart misses free throw 1 of 2,80,68
3,6:06.0,,Offensive rebound by Team,80,68
3,6:06.0,,J. Hart misses free throw 2 of 2,80,68
3,6:02.0,Defensive rebound by B. Simmons,,80,68
3,5:53.0,B. Simmons misses 2-pt layup from 1 ft,,80,68
3,5:50.0,,Defensive rebound by K. Caldwell-Pope,80,68
3,5:48.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Rondo),80,71
3,5:37.0,C. Brewer misses 3-pt jump shot from 24 ft,,80,71
3,5:30.0,Offensive rebound by M. Muscala,,80,71
3,5:30.0,M. Muscala makes 2-pt layup from 1 ft,,82,71
3,5:22.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,82,71
3,5:20.0,,Offensive rebound by I. Zubac,82,71
3,5:20.0,,Shooting foul by B. Simmons (drawn by I. Zubac),82,71
3,5:20.0,,I. Zubac makes free throw 1 of 2,82,72
3,5:20.0,,I. Zubac makes free throw 2 of 2,82,73
3,5:16.0,Personal foul by J. Hart (drawn by B. Simmons),,82,73
3,5:04.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),,85,73
3,4:46.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,85,73
3,4:42.0,Defensive rebound by M. Muscala,,85,73
3,4:38.0,B. Simmons misses 2-pt layup from 3 ft,,85,73
3,4:38.0,,Defensive rebound by Team,85,73
3,4:38.0,Loose ball foul by M. Muscala (drawn by J. Hart),,85,73
3,4:19.0,,B. Ingram misses 2-pt jump shot from 17 ft,85,73
3,4:14.0,Defensive rebound by M. Muscala,,85,73
3,4:01.0,C. Brewer misses 2-pt layup from 7 ft,,85,73
3,3:56.0,,Defensive rebound by B. Ingram,85,73
3,3:54.0,,Turnover by R. Rondo (bad pass; steal by B. Simmons),85,73
3,3:52.0,Personal foul by R. Rondo (drawn by B. Simmons),,85,73
3,3:52.0,J. Butler enters the game for T. McConnell,,85,73
3,3:52.0,W. Chandler enters the game for M. Muscala,,85,73
3,3:52.0,J. Embiid enters the game for B. Simmons,,85,73
3,3:52.0,,J. McGee enters the game for K. Caldwell-Pope,85,73
3,3:52.0,,S. Mykhailiuk enters the game for I. Zubac,85,73
3,3:50.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by C. Brewer),,88,73
3,3:33.0,,Personal foul by W. Chandler (drawn by B. Ingram),88,73
3,3:33.0,,B. Ingram makes free throw 1 of 2,88,74
3,3:33.0,,B. Ingram makes free throw 2 of 2,88,75
3,3:14.0,Turnover by J. Embiid (bad pass; steal by S. Mykhailiuk),,88,75
3,2:55.0,,J. Hart misses 3-pt jump shot from 25 ft,88,75
3,2:51.0,Defensive rebound by J. Butler,,88,75
3,2:38.0,Def 3 sec tech foul by Team,,88,75
3,2:38.0,,LA Lakers full timeout,88,75
3,2:38.0,M. Muscala enters the game for C. Brewer,,88,75
3,2:38.0,J. Redick enters the game for L. Shamet,,88,75
3,2:38.0,,L. Stephenson enters the game for R. Rondo,88,75
3,2:38.0,J. Embiid makes technical free throw,,89,75
3,2:29.0,M. Muscala makes 2-pt dunk from 1 ft (assist by J. Redick),,91,75
3,2:12.0,,Shooting foul by J. Embiid (drawn by J. McGee),91,75
3,2:12.0,,J. McGee makes free throw 1 of 2,91,76
3,2:12.0,,J. McGee makes free throw 2 of 2,91,77
3,2:01.0,Personal foul by J. Hart (drawn by M. Muscala),,91,77
3,2:01.0,M. Muscala makes free throw 1 of 2,,92,77
3,2:01.0,M. Muscala makes free throw 2 of 2,,93,77
3,1:43.0,,J. McGee misses 2-pt hook shot from 5 ft,93,77
3,1:40.0,Defensive rebound by J. Embiid,,93,77
3,1:25.0,J. Embiid makes 2-pt jump shot from 15 ft (assist by J. Butler),,95,77
3,1:11.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,95,77
3,1:08.0,Defensive rebound by J. Embiid,,95,77
3,0:58.0,Personal foul by J. McGee (drawn by J. Embiid),,95,77
3,0:58.0,J. Embiid misses free throw 1 of 2,,95,77
3,0:58.0,Offensive rebound by Team,,95,77
3,0:58.0,J. Embiid makes free throw 2 of 2,,96,77
3,0:42.0,,Turnover by L. Stephenson (bad pass; steal by J. Butler),96,77
3,0:35.0,Turnover by J. Redick (bad pass; steal by L. Stephenson),,96,77
3,0:30.0,,J. Hart makes 2-pt layup from 2 ft,96,79
3,0:11.0,Turnover by J. Embiid (traveling),,96,79
3,0:01.0,,B. Ingram makes 2-pt jump shot from 15 ft,96,81
4,11:37.0,,S. Mykhailiuk misses 2-pt hook shot from 7 ft,96,81
4,11:35.0,Defensive rebound by C. Brewer,,96,81
4,11:21.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),,98,81
4,10:54.0,,R. Rondo misses 2-pt layup from 8 ft,98,81
4,10:51.0,,Offensive rebound by J. McGee,98,81
4,10:51.0,,J. McGee makes 2-pt layup at rim,98,83
4,10:31.0,J. Embiid misses 2-pt hook shot from 4 ft,,98,83
4,10:30.0,Offensive rebound by J. Butler,,98,83
4,10:29.0,J. Butler misses 2-pt layup at rim,,98,83
4,10:28.0,,Defensive rebound by J. McGee,98,83
4,10:19.0,,L. Stephenson makes 3-pt jump shot from 23 ft (assist by J. Hart),98,86
4,10:05.0,Shooting foul by J. McGee (drawn by J. Embiid),,98,86
4,10:05.0,J. Embiid misses free throw 1 of 2,,98,86
4,10:05.0,Offensive rebound by Team,,98,86
4,10:05.0,L. Shamet enters the game for J. Redick,,98,86
4,10:05.0,,I. Zubac enters the game for J. McGee,98,86
4,10:05.0,J. Embiid makes free throw 2 of 2,,99,86
4,9:50.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,99,86
4,9:46.0,Defensive rebound by B. Simmons,,99,86
4,9:43.0,J. Embiid misses 2-pt dunk from 2 ft,,99,86
4,9:40.0,,Defensive rebound by Team,99,86
4,9:34.0,,J. Hart makes 3-pt jump shot from 23 ft (assist by I. Zubac),99,89
4,9:30.0,Philadelphia full timeout,,99,89
4,9:30.0,T. McConnell enters the game for J. Butler,,99,89
4,9:30.0,M. Muscala enters the game for J. Embiid,,99,89
4,9:15.0,L. Shamet misses 3-pt jump shot from 24 ft,,99,89
4,9:12.0,,Defensive rebound by R. Rondo,99,89
4,9:02.0,,S. Mykhailiuk misses 2-pt layup from 6 ft (block by T. McConnell),99,89
4,9:01.0,,Offensive rebound by Team,99,89
4,8:59.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,99,89
4,8:54.0,,Offensive rebound by L. Stephenson,99,89
4,8:50.0,,Turnover by L. Stephenson (out of bounds lost ball),99,89
4,8:39.0,Shooting foul by R. Rondo (drawn by C. Brewer),,99,89
4,8:39.0,C. Brewer makes free throw 1 of 3,,100,89
4,8:39.0,C. Brewer misses free throw 2 of 3,,100,89
4,8:39.0,Offensive rebound by Team,,100,89
4,8:39.0,C. Brewer makes free throw 3 of 3,,101,89
4,8:27.0,,L. Stephenson misses 3-pt jump shot from 23 ft,101,89
