QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
1,8:42.0,Defensive rebound by J. McGee,,3,10
1,8:28.0,B. Ingram makes 2-pt jump shot from 9 ft,,5,10
1,8:14.0,,Turnover by D. Mitchell (traveling),5,10
1,8:03.0,Turnover by K. Kuzma (bad pass; steal by R. Gobert),,5,10
1,7:56.0,,Personal foul by J. McGee (drawn by R. Gobert),5,10
1,7:48.0,,D. Mitchell makes 2-pt jump shot from 16 ft,5,12
1,7:37.0,J. Hart misses 3-pt jump shot from 25 ft,,5,12
1,7:34.0,,Defensive rebound by D. Favors,5,12
1,7:23.0,,D. Mitchell makes 3-pt jump shot from 26 ft,5,15
1,7:10.0,L. Ball makes 2-pt jump shot from 12 ft,,7,15
1,6:55.0,,D. Mitchell makes 2-pt layup from 2 ft,7,17
1,6:37.0,J. McGee makes 2-pt jump shot from 7 ft (assist by L. Ball),,9,17
1,6:16.0,,D. Mitchell misses 2-pt layup from 2 ft,9,17
1,6:11.0,,Offensive rebound by R. Gobert,9,17
1,6:11.0,,R. Gobert makes 2-pt dunk from 1 ft,9,19
1,6:01.0,K. Kuzma misses 2-pt layup from 3 ft (block by D. Favors),,9,19
1,5:58.0,,Defensive rebound by J. Ingles,9,19
1,5:49.0,,D. Favors misses 3-pt jump shot from 26 ft,9,19
1,5:45.0,Defensive rebound by J. McGee,,9,19
1,5:38.0,L. Ball misses 3-pt jump shot from 24 ft,,9,19
1,5:35.0,,Defensive rebound by D. Favors,9,19
1,5:27.0,,D. Mitchell misses 2-pt layup from 3 ft,9,19
1,5:25.0,Defensive rebound by J. McGee,,9,19
1,5:21.0,B. Ingram makes 3-pt jump shot from 23 ft (assist by J. Hart),,12,19
1,5:19.0,,Utah full timeout,12,19
1,5:19.0,T. Chandler enters the game for J. McGee,,12,19
1,5:19.0,,J. Crowder enters the game for D. Favors,12,19
1,5:19.0,,K. Korver enters the game for J. Ingles,12,19
1,4:59.0,,D. Mitchell misses 2-pt jump shot from 12 ft,12,19
1,4:50.0,Defensive rebound by J. Hart,,12,19
1,4:48.0,L. Ball misses 3-pt jump shot from 26 ft,,12,19
1,4:43.0,,Defensive rebound by D. Mitchell,12,19
1,4:38.0,,J. Crowder misses 3-pt jump shot from 26 ft,12,19
1,4:36.0,Defensive rebound by B. Ingram,,12,19
1,4:30.0,Shooting foul by R. Gobert (drawn by B. Ingram),,12,19
1,4:30.0,B. Ingram misses free throw 1 of 2,,12,19
1,4:30.0,Offensive rebound by Team,,12,19
1,4:30.0,B. Ingram misses free throw 2 of 2,,12,19
1,4:28.0,,Defensive rebound by R. Gobert,12,19
1,4:19.0,,K. Korver misses 2-pt jump shot from 15 ft,12,19
1,4:11.0,Defensive rebound by T. Chandler,,12,19
1,4:03.0,L. Ball misses 2-pt jump shot from 7 ft,,12,19
1,4:00.0,,Defensive rebound by R. Gobert,12,19
1,3:53.0,,Shooting foul by L. Ball (drawn by R. Gobert),12,19
1,3:53.0,,R. Gobert misses free throw 1 of 2,12,19
1,3:53.0,,Offensive rebound by Team,12,19
1,3:53.0,K. Caldwell-Pope enters the game for L. Ball,,12,19
1,3:53.0,,R. Gobert makes free throw 2 of 2,12,20
1,3:42.0,B. Ingram makes 2-pt layup from 2 ft,,14,20
1,3:30.0,,D. Mitchell misses 2-pt jump shot from 19 ft,14,20
1,3:27.0,Defensive rebound by T. Chandler,,14,20
1,3:05.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by K. Kuzma),,17,20
1,2:58.0,,Turnover by K. Korver (offensive foul),17,20
1,2:58.0,,Offensive foul by K. Korver (drawn by J. Hart),17,20
1,2:58.0,,D. Favors enters the game for R. Gobert,17,20
1,2:58.0,,J. Ingles enters the game for D. Mitchell,17,20
1,2:44.0,J. Hart makes 3-pt jump shot from 25 ft (assist by T. Chandler),,20,20
1,2:28.0,,Shooting foul by J. Hart (drawn by K. Korver),20,20
1,2:28.0,,K. Korver makes free throw 1 of 3,20,21
1,2:28.0,,K. Korver makes free throw 2 of 3,20,22
1,2:28.0,,K. Korver makes free throw 3 of 3,20,23
1,2:28.0,,G. Niang enters the game for R. O'Neale,20,23
1,2:03.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft (block by K. Korver),,20,23
1,2:03.0,Offensive rebound by Team,,20,23
1,2:03.0,Turnover by Team (shot clock),,20,23
1,1:51.0,,J. Ingles makes 2-pt layup from 4 ft,20,25
1,1:32.0,K. Kuzma misses 2-pt layup from 3 ft,,20,25
1,1:28.0,Offensive rebound by T. Chandler,,20,25
1,1:28.0,T. Chandler makes 2-pt layup at rim,,22,25
1,1:18.0,,G. Niang misses 2-pt hook shot from 6 ft,22,25
1,1:17.0,,Offensive rebound by D. Favors,22,25
1,1:16.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Favors),22,28
1,1:00.0,B. Ingram makes 2-pt dunk from 2 ft,,24,28
1,0:49.0,,Personal foul by K. Caldwell-Pope (drawn by K. Korver),24,28
1,0:43.0,,D. Favors makes 2-pt dunk from 2 ft (assist by K. Korver),24,30
1,0:35.0,J. Hart misses 3-pt jump shot from 23 ft,,24,30
1,0:32.0,,Defensive rebound by K. Korver,24,30
1,0:23.0,,Shooting foul by T. Chandler (drawn by D. Favors),24,30
1,0:23.0,,D. Favors makes free throw 1 of 2,24,31
1,0:23.0,,R. O'Neale enters the game for G. Niang,24,31
1,0:23.0,,D. Favors makes free throw 2 of 2,24,32
1,0:05.0,Personal foul by R. O'Neale (drawn by B. Ingram),,24,32
1,0:00.0,B. Ingram makes 2-pt jump shot from 19 ft,,26,32
2,11:46.0,,Personal foul by L. Stephenson (drawn by K. Korver),26,32
2,11:38.0,,J. Ingles misses 3-pt jump shot from 26 ft,26,32
2,11:36.0,Defensive rebound by Team,,26,32
2,11:26.0,Turnover by K. Caldwell-Pope (dbl dribble),,26,32
2,11:14.0,,Personal foul by L. Ball (drawn by D. Favors),26,32
2,11:01.0,,J. Crowder misses 2-pt jump shot from 19 ft,26,32
2,10:57.0,Defensive rebound by I. Zubac,,26,32
2,10:48.0,L. Ball misses 3-pt jump shot from 26 ft,,26,32
2,10:45.0,,Defensive rebound by J. Ingles,26,32
2,10:40.0,,D. Favors makes 2-pt layup from 4 ft (assist by J. Ingles),26,34
2,10:40.0,,Shooting foul by I. Zubac (drawn by D. Favors),26,34
2,10:40.0,,D. Favors misses free throw 1 of 1,26,34
2,10:38.0,Defensive rebound by I. Zubac,,26,34
2,10:30.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by L. Ball),,28,34
2,10:16.0,,Turnover by J. Crowder (bad pass; steal by K. Caldwell-Pope),28,34
2,10:16.0,Personal foul by K. Korver (drawn by K. Caldwell-Pope),,28,34
2,10:01.0,I. Zubac makes 2-pt layup from 3 ft (assist by L. Ball),,30,34
2,9:45.0,,J. Crowder misses 2-pt layup from 3 ft,30,34
2,9:42.0,,Offensive rebound by D. Favors,30,34
2,9:42.0,,D. Favors misses 2-pt layup from 1 ft,30,34
2,9:42.0,,Offensive rebound by D. Favors,30,34
2,9:41.0,,Shooting foul by L. Ball (drawn by D. Favors),30,34
2,9:41.0,,D. Favors makes free throw 1 of 2,30,35
2,9:41.0,,D. Favors makes free throw 2 of 2,30,36
2,9:29.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,30,36
2,9:26.0,,Defensive rebound by J. Crowder,30,36
2,9:17.0,,Turnover by J. Ingles (bad pass; steal by L. Stephenson),30,36
2,9:16.0,Personal take foul by G. Niang (drawn by L. Ball),,30,36
2,9:16.0,,D. Mitchell enters the game for J. Ingles,30,36
2,9:16.0,,R. O'Neale enters the game for K. Korver,30,36
2,9:06.0,M. Beasley misses 2-pt jump shot from 14 ft,,30,36
2,9:03.0,,Defensive rebound by D. Favors,30,36
2,8:53.0,,D. Mitchell makes 2-pt layup from 4 ft,30,38
2,8:36.0,I. Zubac misses 2-pt hook shot from 11 ft,,30,38
2,8:33.0,,Defensive rebound by D. Favors,30,38
2,8:23.0,,D. Favors misses 2-pt layup from 2 ft (block by I. Zubac),30,38
2,8:21.0,Defensive rebound by K. Caldwell-Pope,,30,38
2,8:21.0,Personal take foul by R. O'Neale (drawn by K. Caldwell-Pope),,30,38
2,8:10.0,I. Zubac makes 2-pt layup from 1 ft (assist by L. Stephenson),,32,38
2,8:02.0,,Utah full timeout,32,38
2,8:02.0,J. Hart enters the game for L. Ball,,32,38
2,8:02.0,B. Ingram enters the game for K. Caldwell-Pope,,32,38
2,8:02.0,,R. Gobert enters the game for D. Favors,32,38
2,7:56.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Gobert),32,41
2,7:35.0,I. Zubac makes 2-pt dunk from 1 ft (assist by M. Beasley),,34,41
2,7:29.0,,Shooting foul by M. Beasley (drawn by J. Crowder),34,41
2,7:29.0,,J. Crowder makes free throw 1 of 3,34,42
2,7:29.0,,J. Crowder makes free throw 2 of 3,34,43
2,7:29.0,,J. Crowder misses free throw 3 of 3,34,43
2,7:26.0,Defensive rebound by M. Beasley,,34,43
2,7:11.0,I. Zubac misses 2-pt layup from 2 ft,,34,43
2,7:08.0,Offensive rebound by I. Zubac,,34,43
2,7:08.0,I. Zubac misses 2-pt layup at rim,,34,43
2,7:07.0,Offensive rebound by I. Zubac,,34,43
2,7:07.0,I. Zubac misses 2-pt layup at rim,,34,43
2,7:06.0,,Defensive rebound by D. Mitchell,34,43
2,7:00.0,,R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell),34,46
2,6:53.0,LA Lakers full timeout,,34,46
2,6:53.0,K. Kuzma enters the game for L. Stephenson,,34,46
2,6:53.0,J. McGee enters the game for I. Zubac,,34,46
2,6:53.0,,D. Favors enters the game for J. Crowder,34,46
2,6:32.0,M. Beasley misses 2-pt layup from 6 ft,,34,46
2,6:29.0,,Defensive rebound by R. Gobert,34,46
2,6:25.0,,R. O'Neale misses 3-pt jump shot from 23 ft,34,46
2,6:23.0,,Offensive rebound by Team,34,46
2,6:16.0,,D. Mitchell makes 2-pt layup from 3 ft (assist by R. Gobert),34,48
2,6:05.0,Shooting foul by D. Favors (drawn by K. Kuzma),,34,48
2,6:05.0,K. Kuzma misses free throw 1 of 2,,34,48
2,6:05.0,Offensive rebound by Team,,34,48
2,6:05.0,M. Wagner enters the game for M. Beasley,,34,48
2,6:05.0,K. Kuzma makes free throw 2 of 2,,35,48
2,5:53.0,,G. Niang misses 3-pt jump shot from 24 ft,35,48
2,5:50.0,Defensive rebound by J. McGee,,35,48
2,5:41.0,K. Kuzma misses 2-pt jump shot from 18 ft,,35,48
2,5:37.0,,Defensive rebound by R. Gobert,35,48
2,5:28.0,,D. Favors misses 3-pt jump shot from 23 ft,35,48
2,5:23.0,Defensive rebound by B. Ingram,,35,48
2,5:17.0,B. Ingram misses 2-pt layup from 3 ft,,35,48
2,5:14.0,,Defensive rebound by R. O'Neale,35,48
2,5:12.0,,Personal foul by J. Hart (drawn by D. Favors),35,48
2,5:12.0,,D. Favors misses free throw 1 of 2,35,48
2,5:12.0,,Offensive rebound by Team,35,48
2,5:12.0,,J. Ingles enters the game for G. Niang,35,48
2,5:12.0,,D. Favors makes free throw 2 of 2,35,49
2,5:01.0,Turnover by B. Ingram (bad pass; steal by J. Ingles),,35,49
2,4:57.0,,Shooting foul by J. McGee (drawn by R. Gobert),35,49
2,4:57.0,,R. Gobert misses free throw 1 of 2,35,49
2,4:57.0,,Offensive rebound by Team,35,49
2,4:57.0,,J. Crowder enters the game for D. Favors,35,49
2,4:57.0,,R. Gobert misses free throw 2 of 2,35,49
2,4:55.0,Defensive rebound by J. McGee,,35,49
2,4:43.0,Turnover by J. Hart (bad pass; steal by R. Gobert),,35,49
2,4:33.0,,J. Crowder misses 3-pt jump shot from 25 ft,35,49
2,4:30.0,Defensive rebound by K. Kuzma,,35,49
2,4:18.0,J. McGee misses 3-pt jump shot from 25 ft,,35,49
2,4:14.0,,Defensive rebound by R. Gobert,35,49
2,4:08.0,,R. O'Neale misses 3-pt jump shot from 24 ft,35,49
2,4:03.0,Defensive rebound by B. Ingram,,35,49
2,4:02.0,Turnover by B. Ingram (bad pass; steal by J. Crowder),,35,49
2,3:56.0,,R. O'Neale misses 3-pt jump shot from 23 ft,35,49
2,3:51.0,Defensive rebound by J. Hart,,35,49
2,3:47.0,Personal foul by D. Mitchell (drawn by M. Wagner),,35,49
2,3:47.0,M. Wagner makes free throw 1 of 2,,36,49
2,3:47.0,M. Wagner makes free throw 2 of 2,,37,49
2,3:32.0,,J. Ingles makes 2-pt layup from 3 ft,37,51
2,3:11.0,M. Wagner misses 2-pt layup from 7 ft (block by J. Crowder),,37,51
2,3:07.0,Offensive rebound by M. Wagner,,37,51
2,3:06.0,J. McGee misses 2-pt hook shot from 5 ft,,37,51
2,3:04.0,,Defensive rebound by R. Gobert,37,51
2,2:55.0,,D. Mitchell makes 2-pt dunk from 3 ft,37,53
2,2:47.0,Shooting foul by R. Gobert (drawn by J. Hart),,37,53
2,2:47.0,J. Hart misses free throw 1 of 2,,37,53
2,2:47.0,Offensive rebound by Team,,37,53
2,2:47.0,K. Caldwell-Pope enters the game for M. Wagner,,37,53
2,2:47.0,J. Hart makes free throw 2 of 2,,38,53
2,2:36.0,,R. Gobert misses 2-pt dunk from 2 ft (block by J. McGee),38,53
2,2:32.0,Defensive rebound by K. Kuzma,,38,53
2,2:31.0,K. Kuzma misses 2-pt layup from 1 ft (block by D. Mitchell),,38,53
2,2:27.0,,Defensive rebound by J. Crowder,38,53
2,2:26.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),38,55
2,2:08.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,38,55
2,2:06.0,,Defensive rebound by J. Crowder,38,55
2,2:00.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),38,58
2,1:59.0,LA Lakers full timeout,,38,58
2,1:45.0,Turnover by B. Ingram (lost ball; steal by R. O'Neale),,38,58
2,1:42.0,,Turnover by J. Ingles (out of bounds lost ball),38,58
2,1:36.0,B. Ingram misses 2-pt layup from 2 ft (block by R. Gobert),,38,58
2,1:32.0,,Defensive rebound by D. Mitchell,38,58
2,1:32.0,,Personal foul by J. Hart (drawn by D. Mitchell),38,58
2,1:32.0,,D. Mitchell misses free throw 1 of 2,38,58
2,1:32.0,,Offensive rebound by Team,38,58
2,1:32.0,L. Stephenson enters the game for J. Hart,,38,58
2,1:32.0,,D. Mitchell makes free throw 2 of 2,38,59
2,1:27.0,K. Kuzma misses 3-pt jump shot from 26 ft,,38,59
2,1:23.0,Offensive rebound by J. McGee,,38,59
2,1:23.0,J. McGee misses 2-pt layup at rim,,38,59
2,1:22.0,,Defensive rebound by R. Gobert,38,59
2,1:14.0,,J. Ingles misses 3-pt jump shot from 25 ft,38,59
2,1:11.0,Defensive rebound by J. McGee,,38,59
2,0:55.0,J. McGee makes 2-pt jump shot from 9 ft,,40,59
2,0:36.0,,D. Mitchell misses 2-pt jump shot from 9 ft,40,59
2,0:31.0,Defensive rebound by K. Kuzma,,40,59
2,0:29.0,Shooting foul by D. Mitchell (drawn by B. Ingram),,40,59
2,0:29.0,B. Ingram makes free throw 1 of 2,,41,59
2,0:29.0,B. Ingram misses free throw 2 of 2,,41,59
2,0:28.0,,Defensive rebound by J. Ingles,41,59
2,0:10.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),41,62
2,0:03.0,K. Kuzma misses 3-pt jump shot from 29 ft,,41,62
2,0:03.0,,Defensive rebound by R. O'Neale,41,62
2,0:00.0,,R. O'Neale misses 3-pt jump shot from 70 ft,41,62
2,0:00.0,,Offensive rebound by Team,41,62
3,11:43.0,,D. Mitchell makes 2-pt jump shot from 21 ft,41,64
3,11:20.0,B. Ingram makes 2-pt dunk from 2 ft (assist by J. McGee),,43,64
3,10:58.0,,D. Mitchell makes 2-pt jump shot from 7 ft,43,66
3,10:43.0,K. Kuzma misses 2-pt layup from 4 ft,,43,66
3,10:42.0,,Defensive rebound by R. Gobert,43,66
3,10:25.0,,D. Favors misses 2-pt layup from 3 ft,43,66
3,10:22.0,Defensive rebound by K. Kuzma,,43,66
3,10:09.0,J. McGee misses 2-pt hook shot from 6 ft,,43,66
3,10:06.0,,Defensive rebound by J. Ingles,43,66
3,9:55.0,,R. Gobert misses 2-pt layup from 4 ft,43,66
3,9:53.0,,Offensive rebound by R. Gobert,43,66
3,9:51.0,,Turnover by R. Gobert (bad pass; steal by L. Ball),43,66
3,9:46.0,K. Kuzma misses 3-pt jump shot from 25 ft,,43,66
3,9:41.0,Offensive rebound by L. Ball,,43,66
3,9:41.0,L. Ball misses 2-pt layup from 1 ft,,43,66
3,9:40.0,Offensive rebound by L. Ball,,43,66
3,9:39.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by L. Ball),,45,66
3,9:39.0,,Utah full timeout,45,66
3,9:39.0,I. Zubac enters the game for J. McGee,,45,66
3,9:14.0,,D. Mitchell misses 2-pt jump shot from 23 ft,45,66
3,9:13.0,Defensive rebound by B. Ingram,,45,66
3,9:06.0,Turnover by J. Hart (bad pass; steal by D. Mitchell),,45,66
3,9:02.0,,J. Ingles misses 3-pt jump shot from 25 ft,45,66
3,9:00.0,,Offensive rebound by R. Gobert,45,66
3,9:00.0,,Shooting foul by I. Zubac (drawn by R. Gobert),45,66
3,9:00.0,,R. Gobert misses free throw 1 of 2,45,66
3,9:00.0,,Offensive rebound by Team,45,66
3,9:00.0,,R. Gobert makes free throw 2 of 2,45,67
3,8:47.0,L. Ball misses 2-pt jump shot from 10 ft,,45,67
3,8:45.0,Offensive rebound by Team,,45,67
3,8:45.0,,Loose ball foul by R. O'Neale (drawn by L. Ball),45,67
3,8:35.0,L. Ball makes 3-pt jump shot from 26 ft,,48,67
3,8:16.0,,D. Mitchell misses 2-pt layup from 9 ft,48,67
3,8:14.0,,Offensive rebound by R. Gobert,48,67
3,8:14.0,,R. Gobert misses 2-pt layup from 1 ft,48,67
3,8:14.0,,Offensive rebound by R. Gobert,48,67
3,8:14.0,,R. Gobert misses 2-pt layup from 3 ft,48,67
3,8:14.0,,Offensive rebound by Team,48,67
3,8:14.0,,J. Crowder enters the game for D. Favors,48,67
3,8:14.0,,K. Korver enters the game for R. O'Neale,48,67
3,8:08.0,,J. Ingles misses 2-pt jump shot from 16 ft,48,67
3,8:04.0,Defensive rebound by K. Kuzma,,48,67
3,8:01.0,L. Ball misses 2-pt layup from 2 ft,,48,67
3,7:59.0,Offensive rebound by J. Hart,,48,67
3,7:58.0,J. Hart misses 2-pt layup from 3 ft,,48,67
3,7:55.0,Offensive rebound by L. Ball,,48,67
3,7:55.0,L. Ball makes 2-pt layup from 1 ft,,50,67
3,7:42.0,,D. Mitchell makes 2-pt jump shot from 9 ft,50,69
3,7:30.0,I. Zubac misses 2-pt jump shot from 10 ft,,50,69
3,7:27.0,,Defensive rebound by J. Ingles,50,69
3,7:19.0,,Personal foul by J. Hart (drawn by R. Gobert),50,69
3,7:19.0,K. Caldwell-Pope enters the game for I. Zubac,,50,69
3,7:19.0,,R. O'Neale enters the game for J. Ingles,50,69
3,7:09.0,,R. O'Neale misses 3-pt jump shot from 25 ft,50,69
3,7:06.0,,Offensive rebound by J. Crowder,50,69
3,7:04.0,,K. Korver misses 3-pt jump shot from 30 ft,50,69
3,7:03.0,,Offensive rebound by Team,50,69
3,7:03.0,,Flagrant foul type 1 by J. Hart (drawn by R. Gobert),50,69
3,7:03.0,,R. Gobert makes flagrant free throw 1 of 2,50,70
3,7:03.0,,R. Gobert makes flagrant free throw 2 of 2,50,71
3,7:03.0,M. Beasley enters the game for J. Hart,,50,71
3,6:56.0,,K. Korver misses 3-pt jump shot from 26 ft,50,71
3,6:49.0,Defensive rebound by M. Beasley,,50,71
3,6:47.0,Shooting foul by J. Crowder (drawn by M. Beasley),,50,71
3,6:47.0,M. Beasley makes free throw 1 of 2,,51,71
3,6:47.0,M. Beasley makes free throw 2 of 2,,52,71
3,6:38.0,,Turnover by R. Gobert (offensive foul),52,71
3,6:38.0,,Offensive foul by R. Gobert (drawn by K. Caldwell-Pope),52,71
3,6:24.0,M. Beasley makes 2-pt layup from 2 ft,,54,71
3,6:15.0,,Personal foul by L. Ball (drawn by R. Gobert),54,71
3,6:08.0,,D. Mitchell misses 3-pt jump shot from 26 ft,54,71
3,6:04.0,Defensive rebound by L. Ball,,54,71
3,6:01.0,Shooting foul by D. Mitchell (drawn by K. Kuzma),,54,71
3,6:01.0,K. Kuzma makes free throw 1 of 2,,55,71
3,6:01.0,K. Kuzma makes free throw 2 of 2,,56,71
3,5:51.0,,J. Crowder makes 2-pt layup from 2 ft (assist by D. Mitchell),56,73
3,5:38.0,M. Beasley misses 3-pt jump shot from 22 ft,,56,73
3,5:37.0,,Defensive rebound by J. Crowder,56,73
3,5:29.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Crowder),56,76
3,5:14.0,K. Kuzma makes 2-pt layup from 2 ft,,58,76
3,4:50.0,,J. Crowder misses 2-pt layup from 2 ft,58,76
3,4:48.0,Defensive rebound by L. Ball,,58,76
3,4:44.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,58,76
3,4:44.0,,Defensive rebound by J. Crowder,58,76
3,4:33.0,,D. Mitchell misses 2-pt layup from 3 ft,58,76
3,4:29.0,,Offensive rebound by K. Korver,58,76
3,4:29.0,,Turnover by K. Korver (back court),58,76
3,4:21.0,Turnover by K. Caldwell-Pope (out of bounds lost ball),,58,76
3,4:10.0,,J. Crowder misses 3-pt jump shot from 26 ft,58,76
3,4:07.0,Defensive rebound by L. Ball,,58,76
3,4:05.0,M. Beasley makes 2-pt dunk from 2 ft (assist by L. Ball),,60,76
3,3:36.0,,Turnover by R. O'Neale (traveling),60,76
3,3:36.0,,D. Favors enters the game for R. Gobert,60,76
3,3:36.0,,J. Ingles enters the game for D. Mitchell,60,76
3,3:24.0,M. Beasley makes 2-pt jump shot from 12 ft,,62,76
3,3:15.0,,Turnover by J. Ingles (bad pass; steal by L. Ball),62,76
3,3:10.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,62,76
3,3:06.0,Offensive rebound by K. Kuzma,,62,76
3,3:05.0,K. Kuzma misses 2-pt layup from 4 ft,,62,76
3,3:03.0,Offensive rebound by K. Caldwell-Pope,,62,76
3,3:03.0,K. Caldwell-Pope makes 2-pt layup from 1 ft,,64,76
3,3:03.0,,Utah full timeout,64,76
3,3:03.0,,G. Niang enters the game for R. O'Neale,64,76
3,2:54.0,,G. Niang misses 2-pt hook shot from 5 ft,64,76
3,2:51.0,Defensive rebound by K. Caldwell-Pope,,64,76
3,2:42.0,Shooting foul by J. Crowder (drawn by M. Beasley),,64,76
3,2:42.0,M. Beasley makes free throw 1 of 2,,65,76
3,2:42.0,M. Beasley makes free throw 2 of 2,,66,76
3,2:26.0,,Shooting foul by M. Beasley (drawn by J. Crowder),66,76
3,2:26.0,,J. Crowder misses free throw 1 of 3,66,76
3,2:26.0,,Offensive rebound by Team,66,76
3,2:26.0,,J. Crowder misses free throw 2 of 3,66,76
3,2:26.0,,Offensive rebound by Team,66,76
3,2:26.0,,J. Crowder makes free throw 3 of 3,66,77
3,2:12.0,L. Ball misses 2-pt layup from 3 ft,,66,77
3,2:10.0,,Defensive rebound by D. Favors,66,77
3,2:03.0,,Shooting foul by L. Ball (drawn by D. Favors),66,77
3,2:03.0,,D. Favors makes free throw 1 of 2,66,78
3,2:03.0,L. Stephenson enters the game for L. Ball,,66,78
3,2:03.0,,D. Favors makes free throw 2 of 2,66,79
3,1:43.0,M. Beasley misses 2-pt jump shot from 16 ft,,66,79
3,1:34.0,Offensive rebound by K. Kuzma,,66,79
3,1:34.0,K. Kuzma makes 2-pt layup from 1 ft,,68,79
3,1:30.0,,Turnover by G. Niang (bad pass; steal by L. Stephenson),68,79
3,1:25.0,K. Kuzma misses 2-pt layup from 4 ft (block by J. Crowder),,68,79
3,1:22.0,,Defensive rebound by D. Favors,68,79
3,1:18.0,,G. Niang misses 3-pt jump shot from 25 ft,68,79
3,1:14.0,Defensive rebound by K. Kuzma,,68,79
3,1:10.0,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by G. Niang),,68,79
3,1:08.0,Offensive rebound by K. Caldwell-Pope,,68,79
3,1:07.0,K. Caldwell-Pope misses 2-pt layup from 3 ft,,68,79
3,1:04.0,Offensive rebound by K. Caldwell-Pope,,68,79
3,1:03.0,K. Kuzma misses 3-pt jump shot from 25 ft,,68,79
3,1:00.0,,Defensive rebound by D. Favors,68,79
3,0:50.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),68,81
3,0:37.0,M. Beasley misses 3-pt jump shot from 24 ft,,68,81
3,0:34.0,,Defensive rebound by J. Ingles,68,81
3,0:24.0,,Turnover by J. Crowder (lost ball; steal by M. Beasley),68,81
3,0:20.0,K. Kuzma misses 2-pt jump shot from 11 ft,,68,81
3,0:17.0,,Defensive rebound by J. Ingles,68,81
3,0:13.0,,Personal foul by K. Caldwell-Pope (drawn by J. Ingles),68,81
3,0:13.0,,J. Ingles makes free throw 1 of 2,68,82
3,0:13.0,,R. O'Neale enters the game for K. Korver,68,82
3,0:13.0,,J. Ingles makes free throw 2 of 2,68,83
