QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ORLANDO_ACTION,OKLAHOMA CITY_SCORE,ORLANDO_SCORE
3,11:03.0,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),,73,63
3,11:02.0,,Orlando full timeout,73,63
3,10:50.0,,Turnover by E. Fournier (lost ball; steal by N. Noel),73,63
3,10:38.0,Turnover by R. Westbrook (bad pass; steal by N. Vučević),,73,63
3,10:19.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by N. Vučević),73,66
3,10:00.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),,76,66
3,9:39.0,,Turnover by E. Fournier (bad pass; steal by P. George),76,66
3,9:28.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by P. George),,79,66
3,9:10.0,,Personal foul by N. Noel (drawn by E. Fournier),79,66
3,9:04.0,,E. Fournier misses 3-pt jump shot from 25 ft,79,66
3,9:01.0,Defensive rebound by R. Westbrook,,79,66
3,8:57.0,H. Diallo misses 2-pt layup from 1 ft (block by N. Vučević),,79,66
3,8:53.0,Offensive rebound by H. Diallo,,79,66
3,8:52.0,H. Diallo misses 2-pt layup from 1 ft (block by N. Vučević),,79,66
3,8:49.0,Offensive rebound by N. Noel,,79,66
3,8:48.0,N. Noel misses 2-pt layup from 2 ft,,79,66
3,8:47.0,,Defensive rebound by N. Vučević,79,66
3,8:43.0,,Turnover by D. Augustin (bad pass; steal by J. Grant),79,66
3,8:23.0,H. Diallo makes 2-pt jump shot from 22 ft (assist by J. Grant),,81,66
3,8:05.0,,N. Vučević misses 2-pt layup from 2 ft,81,66
3,7:57.0,,Offensive rebound by N. Vučević,81,66
3,7:57.0,,N. Vučević makes 2-pt layup from 1 ft,81,68
3,7:55.0,P. George misses 3-pt jump shot from 26 ft,,81,68
3,7:53.0,,Defensive rebound by N. Vučević,81,68
3,7:47.0,,D. Augustin makes 2-pt layup from 3 ft,81,70
3,7:32.0,Turnover by R. Westbrook (bad pass; steal by E. Fournier),,81,70
3,7:28.0,,A. Gordon misses 2-pt layup from 4 ft (block by R. Westbrook),81,70
3,7:22.0,,Offensive rebound by A. Gordon,81,70
3,7:21.0,,D. Augustin misses 3-pt jump shot from 26 ft,81,70
3,7:21.0,Defensive rebound by R. Westbrook,,81,70
3,7:14.0,N. Noel misses 2-pt jump shot from 13 ft,,81,70
3,7:12.0,,Defensive rebound by N. Vučević,81,70
3,7:00.0,,E. Fournier misses 3-pt jump shot from 25 ft,81,70
3,6:57.0,,Offensive rebound by A. Gordon,81,70
3,6:53.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),81,73
3,6:53.0,Oklahoma City full timeout,,81,73
3,6:43.0,H. Diallo makes 2-pt dunk from 1 ft (assist by R. Westbrook),,83,73
3,6:26.0,,J. Isaac makes 2-pt layup from 1 ft (assist by N. Vučević),83,75
3,6:06.0,P. George misses 2-pt jump shot from 16 ft,,83,75
3,6:04.0,,Defensive rebound by E. Fournier,83,75
3,5:54.0,,J. Isaac misses 2-pt jump shot from 19 ft,83,75
3,5:53.0,Defensive rebound by J. Grant,,83,75
3,5:48.0,P. George misses 2-pt jump shot from 10 ft,,83,75
3,5:43.0,,Defensive rebound by N. Vučević,83,75
3,5:36.0,,A. Gordon misses 3-pt jump shot from 24 ft,83,75
3,5:34.0,,Offensive rebound by N. Vučević,83,75
3,5:25.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),83,77
3,5:06.0,R. Westbrook misses 2-pt jump shot from 13 ft,,83,77
3,5:04.0,,Defensive rebound by J. Isaac,83,77
3,4:59.0,,Shooting foul by H. Diallo (drawn by D. Augustin),83,77
3,4:59.0,,D. Augustin makes free throw 1 of 3,83,78
3,4:59.0,,D. Augustin makes free throw 2 of 3,83,79
3,4:59.0,P. Patterson enters the game for P. George,,83,79
3,4:59.0,D. Schröder enters the game for N. Noel,,83,79
3,4:59.0,,T. Ross enters the game for A. Gordon,83,79
3,4:59.0,,D. Augustin makes free throw 3 of 3,83,80
3,4:49.0,R. Westbrook misses 2-pt dunk from 2 ft,,83,80
3,4:49.0,,Defensive rebound by Team,83,80
3,4:49.0,A. Nader enters the game for H. Diallo,,83,80
3,4:49.0,,J. Grant enters the game for D. Augustin,83,80
3,4:34.0,,E. Fournier makes 2-pt jump shot from 10 ft,83,82
3,4:09.0,D. Schröder misses 2-pt layup from 4 ft (block by J. Isaac),,83,82
3,4:05.0,,Defensive rebound by J. Isaac,83,82
3,3:56.0,,N. Vučević misses 2-pt jump shot from 20 ft,83,82
3,3:54.0,Defensive rebound by R. Westbrook,,83,82
3,3:49.0,Shooting foul by E. Fournier (drawn by R. Westbrook),,83,82
3,3:49.0,R. Westbrook makes free throw 1 of 2,,84,82
3,3:49.0,,J. Simmons enters the game for E. Fournier,84,82
3,3:49.0,R. Westbrook misses free throw 2 of 2,,84,82
3,3:47.0,,Defensive rebound by J. Isaac,84,82
3,3:37.0,,Turnover by J. Grant (traveling),84,82
3,3:26.0,A. Nader misses 3-pt jump shot from 24 ft,,84,82
3,3:23.0,,Defensive rebound by N. Vučević,84,82
3,3:19.0,,T. Ross misses 3-pt jump shot from 23 ft,84,82
3,3:10.0,,Offensive rebound by J. Isaac,84,82
3,3:10.0,,N. Vučević makes 2-pt dunk from 8 ft (assist by J. Simmons),84,84
3,2:51.0,R. Westbrook misses 3-pt jump shot from 23 ft,,84,84
3,2:48.0,,Defensive rebound by J. Grant,84,84
3,2:45.0,,J. Grant makes 2-pt jump shot from 17 ft,84,86
3,2:27.0,A. Nader makes 2-pt jump shot from 10 ft (assist by P. Patterson),,86,86
3,2:04.0,,J. Isaac misses 3-pt jump shot from 24 ft,86,86
3,2:01.0,,Offensive rebound by J. Simmons,86,86
3,1:59.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by J. Simmons),86,89
3,1:44.0,P. Patterson misses 3-pt jump shot from 24 ft,,86,89
3,1:42.0,,Defensive rebound by J. Grant,86,89
3,1:40.0,,J. Grant makes 2-pt layup from 1 ft,86,91
3,1:40.0,,Shooting foul by D. Schröder (drawn by J. Grant),86,91
3,1:40.0,Oklahoma City full timeout,,86,91
3,1:40.0,P. George enters the game for R. Westbrook,,86,91
3,1:40.0,,M. Bamba enters the game for J. Isaac,86,91
3,1:40.0,,A. Gordon enters the game for N. Vučević,86,91
3,1:40.0,,J. Grant makes free throw 1 of 1,86,92
3,1:26.0,Shooting foul by M. Bamba (drawn by P. George),,86,92
3,1:26.0,P. George misses free throw 1 of 2,,86,92
3,1:26.0,Offensive rebound by Team,,86,92
3,1:26.0,P. George misses free throw 2 of 2,,86,92
3,1:24.0,,Defensive rebound by A. Gordon,86,92
3,1:08.0,,Shooting foul by A. Nader (drawn by J. Simmons),86,92
3,1:08.0,,J. Simmons makes free throw 1 of 2,86,93
3,1:08.0,,J. Simmons makes free throw 2 of 2,86,94
3,0:53.0,J. Grant makes 2-pt layup from 1 ft,,88,94
3,0:36.0,,T. Ross misses 2-pt jump shot from 18 ft,88,94
3,0:34.0,Defensive rebound by P. George,,88,94
3,0:20.0,A. Nader makes 3-pt jump shot from 27 ft (assist by D. Schröder),,91,94
3,0:04.0,,J. Simmons misses 3-pt jump shot from 24 ft,91,94
3,0:01.0,,Offensive rebound by M. Bamba,91,94
4,11:43.0,,Turnover by J. Simmons (traveling),91,94
4,11:31.0,P. George misses 2-pt layup from 2 ft,,91,94
4,11:27.0,,Defensive rebound by M. Bamba,91,94
4,11:16.0,,A. Gordon misses 2-pt jump shot from 17 ft,91,94
4,11:13.0,,Offensive rebound by D. Augustin,91,94
4,11:03.0,,D. Augustin misses 2-pt layup from 2 ft,91,94
4,10:58.0,Defensive rebound by P. Patterson,,91,94
4,10:57.0,A. Nader misses 2-pt layup from 2 ft,,91,94
4,10:54.0,,Defensive rebound by J. Simmons,91,94
4,10:47.0,,M. Bamba makes 2-pt dunk from 2 ft (assist by J. Simmons),91,96
4,10:29.0,N. Noel makes 2-pt layup from 1 ft (assist by D. Schröder),,93,96
4,10:21.0,,Personal foul by N. Noel (drawn by D. Augustin),93,96
4,10:21.0,H. Diallo enters the game for A. Nader,,93,96
4,10:12.0,,T. Ross misses 3-pt jump shot from 26 ft,93,96
4,10:04.0,,Offensive rebound by A. Gordon,93,96
4,10:04.0,,A. Gordon makes 2-pt layup from 1 ft,93,98
4,9:57.0,D. Schröder makes 2-pt jump shot from 13 ft,,95,98
4,9:44.0,,T. Ross misses 2-pt dunk from 3 ft (block by N. Noel),95,98
4,9:44.0,,Offensive rebound by Team,95,98
4,9:43.0,,A. Gordon misses 2-pt jump shot from 15 ft,95,98
4,9:40.0,,Offensive rebound by A. Gordon,95,98
4,9:28.0,,T. Ross misses 3-pt jump shot from 27 ft,95,98
4,9:23.0,Defensive rebound by N. Noel,,95,98
4,9:20.0,D. Schröder makes 2-pt jump shot from 9 ft,,97,98
4,9:20.0,Shooting foul by D. Augustin (drawn by D. Schröder),,97,98
4,9:20.0,J. Grant enters the game for P. George,,97,98
4,9:20.0,R. Westbrook enters the game for P. Patterson,,97,98
4,9:20.0,D. Schröder makes free throw 1 of 1,,98,98
4,9:05.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),98,101
4,8:55.0,D. Schröder makes 3-pt jump shot from 25 ft,,101,101
4,8:25.0,,D. Augustin misses 2-pt jump shot from 13 ft,101,101
4,8:21.0,Defensive rebound by N. Noel,,101,101
4,8:18.0,Shooting foul by J. Simmons (drawn by R. Westbrook),,101,101
4,8:18.0,R. Westbrook misses free throw 1 of 2,,101,101
4,8:18.0,Offensive rebound by Team,,101,101
4,8:18.0,,J. Grant enters the game for D. Augustin,101,101
4,8:18.0,R. Westbrook makes free throw 2 of 2,,102,101
4,8:02.0,,A. Gordon misses 3-pt jump shot from 25 ft,102,101
4,7:58.0,Defensive rebound by D. Schröder,,102,101
4,7:50.0,D. Schröder makes 2-pt jump shot from 17 ft,,104,101
4,7:24.0,,J. Simmons misses 3-pt jump shot from 27 ft,104,101
4,7:21.0,Defensive rebound by R. Westbrook,,104,101
4,7:18.0,R. Westbrook makes 2-pt layup from 1 ft,,106,101
4,7:18.0,,Orlando full timeout,106,101
4,7:18.0,P. George enters the game for H. Diallo,,106,101
4,7:18.0,,E. Fournier enters the game for M. Bamba,106,101
4,7:18.0,,J. Isaac enters the game for T. Ross,106,101
4,7:18.0,,N. Vučević enters the game for J. Simmons,106,101
4,6:58.0,,J. Grant misses 2-pt layup from 2 ft,106,101
4,6:56.0,Defensive rebound by R. Westbrook,,106,101
4,6:49.0,P. George makes 2-pt layup from 2 ft (assist by N. Noel),,108,101
4,6:31.0,,J. Isaac makes 2-pt layup from 1 ft (assist by N. Vučević),108,103
4,6:15.0,D. Schröder makes 2-pt jump shot from 15 ft,,110,103
4,5:49.0,,N. Vučević misses 2-pt jump shot from 20 ft,110,103
